# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ilvC//udp//
OmpR	argH//glcB//fadD//glpC//nrfD//deoA//garR//ygeA//
OxyR	galM//glpA//purC//paaY//deoA//lysA//murC//glcE//gcvH//recF//chbF//yqjH//citE//
PaaX	metF//ruvB//ldtC//paaG//argC//argG//nrdD//metA//pdeL//
PdeL	nadB//
PdhR	nrdB//guaB//allB//moaA//napH//caiD//astE//cysG//glmS//fabD//melA//tdcD//murQ//arsC//citX//deoB//accC//tyrA//pgaC//nagA//phnG//cueO//
PepA	hmp//phnL//
PgrR	atoA//paaG//
PhoB	hycE//sbcC//fumC//alkB//rutD//ttdA//ppsA//purH//hycG//waaZ//trpB//ppsA//purC//hypF//lsrF//
PhoP	ygeA//garR//mraY//
PspF	citF//
PurR	entC//eno//putA//cadA//trpB//nrdE//fadJ//nagB//phnP//fdhF//glpD//epd//
PutA	phnI//ppsA//
PuuR	allA//fau//eno//zwf//deoD//lpd//
QseB	
RbsR	napB//hcaD//paaI//garK//nemA//napH//
RcdA	nagB//
RclR	
RcnR	rutE//
RcsAB	nanA//hemL//
RcsB	entF//cysK//
RcsB-BglJ	dgcZ//rbsD//
RelB	mhpD//
RelB-RelE	gltB//
RhaR	
RhaS	guaA//ttdB//ulaG//frdC//
Rob	napH//ada//mhpC//udp//
RstA	murD//
RutR	pck//carA//narG//mhpF//epd//sodA//fumB//dgcZ//chbF//fadE//
SdiA	
SgrR	tyrB//malQ//alaC//
SlyA	truB//purC//paaK//paaY//puuE//lpd//lacA//ttdA//aceF//
SoxR	purB//
SoxS	pfkA//ascB//mhpD//mraY//nirB//poxB//deoC//pdeR//napA//ttdA//mhpD//tauD//fau//icd//yqhD//galM//
StpA	astD//
SutR	wrbA//trpB//
TdcA	puuA//sodA//phoA//hycE//caiB//
TdcR	alaS//metC//aroL//alaC//malY//
TorR	ahpC//poxB//nanK//hyi//
TreR	waaY//astD//
TrpR	trpB//caiB//pdeR//feaB//narI//glpX//ccp//fbaA//cynT//
TtdR	metA//fadI//
TyrR	uvrB//phnH//bioD//pgaB//appA//cueO//nfsA//tnaA//srkA//
UhpA	frc//
UlaR	atoA//malP//tauD//cyoE//murI//
UvrY	glpA//argG//
UxuR	dmsA//paaG//aceF//
XylR	paaJ//ddlB//aceA//
YdeO	ttdB//sufS//narI//
YefM	cysK//
YefM-YoeB	ddlB//
YhaJ	
YjjQ	
YpdB	
YqhC	tynA//napH//
YqjI	narI//
ZntR	recF//
ZraR	
Zur	hemL//
