# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	gcl//napB//
KdpE	gapA//
LacI	dgcZ//aroG//frdD//
LeuO	puuA//entF//tyrA//
LexA	putA//dgcZ//galM//dmsC//gpmA//hcaD//trpE//ribA//murF//
LldR	fadH//dmsA//
LrhA	
LsrR	phoA//gcvT//uxuA//wzb//nadB//
MalI	gltD//pgaD//
MalT	carB//napG//nfsA//dkgA//
MarA	pgaB//uxuB//paaY//malQ//mhpE//galM//argH//ldtC//nagB//hyaC//deoB//mhpA//
MarR	
MatA	phnI//
MazE	gdhA//
MazE-MazF	hycC//
McbR	
MelR	waaZ//cysK//
MetJ	araA//moaD//alkA//arsC//deoB//
MetR	arsC//murQ//paaA//
MhpR	wzb//trpB//fadD//cyoE//hmp//ahpF//
Mlc	arsC//napA//sbcC//
MlrA	purC//
MngR	phnO//purN//
MntR	hcaE//
ModE	ynfH//cdd//ahpC//lsrF//ulaF//hyaA//garR//glpK//mazG//paaE//paaC//add//galM//entD//icd//
MprA	lpd//
MqsA	glcB//fadI//
MraZ	yqjH//fumC//sodA//tynA//gloA//rutC//ychF//mngB//ulaD//puuD//
MurR	dmsC//aldA//aroF//
Nac	phnL//hcaE//ogt//ftnA//
NadR	pyrC//
NagC	cysE//ynfE//rutE//ppsA//glcD//nrfC//oxc//ahpC//gcvH//phnJ//fadH//ydcS//nanK//cyoE//
NanR	uxuA//mhpF//arsC//entA//poxB//purM//
NarL	nrfA//rhaB//torA//paaI//mazG//dgcZ//glxR//ynfF//phnL//allB//paaC//tynA//moaE//nemA//metA//eno//nanA//glmU//aceA//pgaB//lpxC//phnP//glpB//citE//
NarP	deoD//dgkA//dgcZ//dmsC//ssuE//ahpF//tauD//aldA//sodA//
NemR	araB//glpX//
NhaR	accC//nagB//pykF//narH//rutA//
NikR	acnA//
NimR	phnP//
NorR	lacZ//
NrdR	accC//moaE//hycD//xylB//
NsrR	deoB//recD//napB//phoA//astB//purB//
NtrC	cynS//paaC//entF//nfsB//adiA//argC//dmsA//tyrB//
OmpR	paaY//frdC//truB//deoB//garK//gltB//mdh//truB//
OxyR	patD//waaY//ruvA//phnP//argE//nanK//ldtD//purH//gpmA//fadJ//citC//ycjG//eda//
PaaX	ulaD//yfdE//aceB//ugpQ//dgcZ//purN//hycF//astE//frc//
PdeL	hycC//
PdhR	hyi//phnM//glmS//rutA//gapA//yfdE//gadB//alkB//trpB//lpd//narH//fabD//paaY//aspA//fadE//phnO//pgk//moaC//galT//tynA//uxuA//ulaE//
PepA	garR//aceA//
PgrR	astE//ftsI//
PhoB	torA//ndh//gloA//truB//accA//rimK//ulaD//nrdB//chbF//argC//gapA//ynfG//recB//murC//tdcB//
PhoP	gltD//guaB//ygeA//
PspF	gltD//
PurR	deoD//metA//deoC//malP//gcvT//nanM//alaC//moaD//cyoE//ttdB//sbcC//caiD//
PutA	ada//pyrC//
PuuR	lpxC//purD//alkA//deoC//paaG//hycE//
QseB	
RbsR	gadB//melA//dkgA//paaA//eno//bglB//
RcdA	argC//
RclR	
RcnR	argH//
RcsAB	folA//carA//
RcsB	phnJ//trpA//
RcsB-BglJ	wzc//hypB//
RelB	dapB//
RelB-RelE	trpB//
RhaR	
RhaS	alaC//hycG//astD//atoB//
Rob	lpd//aceE//nfsB//napB//
RstA	phnP//
RutR	tynA//umuC//gntK//gntK//pck//fadJ//ruvA//metA//galM//purC//
SdiA	
SgrR	aspA//fes//ttdB//
SlyA	malP//wrbA//ppiA//ubiX//dgcZ//nfsA//bioF//phnN//fabH//
SoxR	ygeA//
SoxS	mhpE//rutB//lpxC//folE//yqjH//hmp//garR//bioF//paaJ//hycB//eda//murD//lpxC//ssuD//rutC//moaE//
StpA	glpA//
SutR	caiD//rhaB//
TdcA	ynfE//argG//paaB//malY//rutD//
TdcR	murQ//eda//ada//katG//citE//
TorR	yedX//fbaA//rutD//dmsB//
TreR	polB//puuA//
TrpR	sufS//cyoE//udp//deoB//ynfE//hycG//fabI//rnpB//yfdE//
TtdR	murC//gloA//
TyrR	puuE//nfsB//edd//uxuB//caiB//hyi//katG//moaC//pgaB//
UhpA	cysG//
UlaR	frdC//puuD//torA//glcD//epd//
UvrY	ulaG//nrfA//
UxuR	astD//mazG//chbG//
XylR	adiA//chbG//hemL//
YdeO	ada//murC//murI//
YefM	relA//
YefM-YoeB	ubiX//
YhaJ	
YjjQ	
YpdB	
YqhC	hycB//purF//
YqjI	ribA//
ZntR	pgaC//
ZraR	
Zur	ftsI//
