# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	bioB//ruvA//
EnvR	phnH//ynfF//
EvgA	hcaE//cynT//rbsK//fadH//pgaC//
ExuR	
FabR	hcaD//bioD//frdD//
FadR	gadA//nemA//trpD//glmU//gadA//pdeR//paaJ//nrdD//hyaB//hemL//ynfF//icd//uxuB//lsrF//nanE//
FeaR	glcE//yqjH//
FhlA	glpK//glmS//lsrK//putA//astA//tdcE//ulaF//
FlhDC	tyrA//malQ//
FliZ	citE//phnM//fabI//glcE//entD//
Fur	hycD//sufS//fdhF//hyi//frdB//gltD//bioB//cadA//astE//entE//murD//truB//pflB//araB//caiD//tam//phnI//trpD//cysK//lpd//acnA//rhaA//ftnA//atoD//citF//pgaC//paaA//murC//tdcD//malQ//acnA//
GadE	lsrG//mhpF//garR//
GadE-RcsB	accC//fadJ//malY//recB//ribA//
GadW	tdcD//mpaA//trpC//
GadX	argG//lpd//entD//kbaZ//ilvC//
GalR	paaE//caiA//trpA//pdeL//yqhD//
GalS	dgkA//nrfA//rimK//pyrC//appA//
GcvA	hcp//mhpE//alkB//
GlcC	nirB//glpD//folE//
GlpR	glcF//mtlD//feaB//hypB//bioD//pgk//srkA//
GlrR	
GntR	tauD//cysE//garK//ascB//dgcZ//
HU	paaG//paaA//gpmA//nemA//
HcaR	fdhF//polA//
HdfR	
HigA	alaS//
HigB-HigA	pnp//
HipAB	aroH//rutA//
HipB	trpB//guaB//dapB//
HprR	malP//ulaG//
HypT	ynfH//gpmA//
IclR	ynfH//lsrK//murD//
IlvY	alaS//
IscR	argD//glxK//ygeA//lacZ//gdhA//xylA//nagA//
KdgR	argC//
KdpE	cyoE//
LacI	napB//aldA//citX//
LeuO	pyrC//mtlD//feaB//
LexA	cysG//kbaY//waaZ//fabH//tyrA//mhpC//cynT//ldtC//ogt//
LldR	cysG//pgaB//
LrhA	
LsrR	rimK//aroG//patD//paaB//tdcE//
MalI	paaJ//aceA//
MalT	hycB//hcaC//wrbA//oxc//
MarA	glcE//glpQ//fes//hycC//ynfG//nrfC//glmU//lsrF//frdB//alkB//entF//hcp//
MarR	
MatA	hmp//
MazE	glpC//
MazE-MazF	yqjH//
McbR	
MelR	napB//ndh//
MetJ	adiA//murG//accD//fabH//astA//
MetR	mazG//ppsA//purH//
MhpR	deoB//ppsA//aroH//lldD//paaJ//astD//
Mlc	torA//puuA//tam//
MlrA	caiC//
MngR	purC//ulaF//
MntR	cadA//
ModE	galM//metA//edd//rimK//garL//astC//rutD//lldD//luxS//araD//astB//purD//aroL//moaA//hcaE//
MprA	dmsA//
MqsA	ssuD//xylA//
MraZ	paaZ//trpE//atoD//adhE//deoC//eda//umuC//relA//argI//eno//
MurR	puuC//ahpF//caiA//
Nac	deoB//citC//codA//citG//
NadR	ynfH//
NagC	fbaA//ulaG//purF//ahpF//appA//fdhF//tam//chbF//ogt//pck//tdcE//rutE//ydcS//ttdA//
NanR	rsmH//pykF//recF//entB//astB//metE//
NarL	ccp//pspE//xylB//rutC//fadJ//lsrF//sufS//citE//glpQ//mazG//paaH//entE//bioB//nrfA//nemA//citE//pnp//lsrK//atoA//trpB//napH//tauD//torC//murI//
NarP	accC//tam//cdd//ppsA//iscS//ttdB//frc//nadB//glpK//
NemR	ycjG//paaK//
NhaR	glxR//hemH//glmU//malQ//ahpF//
NikR	nagB//
NimR	glmU//
NorR	astC//
NrdR	glpA//aroG//glcF//mpaA//
NsrR	ynfH//fabI//rutA//ribA//hycF//paaB//
NtrC	fadH//recB//napA//glxR//chbG//galT//glmS//slt//
OmpR	garL//gloA//katG//glmU//moaE//lsrK//paaZ//nanA//
OxyR	fadH//folA//bioC//slt//torA//rutB//pnp//paaC//fes//ynfF//xylA//ychF//glmS//
PaaX	rutB//umuD//atoA//murC//entE//atoA//paaG//yedX//lacZ//
PdeL	hycF//
PdhR	glpX//polB//bioA//astD//garL//umuD//ndh//nfsA//glpC//ogt//cynT//moaE//dgkA//torA//hycC//paaK//cueO//umuD//ascB//nrdE//bioF//astD//
PepA	edd//truB//
PgrR	dapB//deoC//
PhoB	dgcZ//purN//hypB//gadA//guaA//zwf//hycD//narG//carA//fadE//ccp//mdh//ttdB//deoB//ulaD//
PhoP	hcaF//oxc//dapD//
PspF	phnM//
PurR	hyi//galM//phnN//fabI//dapB//nanM//entB//rhaA//slt//pfkA//argC//hyaA//
PutA	hycF//ttdA//
PuuR	folA//cynT//pgaD//fbaA//kbaZ//lacZ//
QseB	
RbsR	galT//ppiA//tauD//hycF//citX//atoD//
RcdA	nadB//
RclR	
RcnR	hycC//
RcsAB	paaH//fumC//
RcsB	glyA//entA//
RcsB-BglJ	rhaB//caiA//
RelB	aroF//
RelB-RelE	waaZ//
RhaR	
RhaS	aroH//atoB//pgaD//accD//
Rob	tdcE//aldA//gapA//ynfE//
RstA	ung//
RutR	hycG//fabD//tdcE//ynfE//glpX//galM//ddlB//alkA//polB//murE//
SdiA	
SgrR	purA//ssuD//aceF//
SlyA	mhpC//murC//nanK//torA//aroH//nagB//malP//argI//puuE//
SoxR	hcaC//
SoxS	phnG//sufS//moaD//glpA//rbsD//ada//nirB//ttdA//paaK//caiA//codA//recD//pgaC//cysE//caiA//narI//
StpA	frdB//
SutR	pgaB//hycB//
TdcA	ftnA//tyrB//nrdE//bioD//astA//
TdcR	purM//fbaA//rsmH//lsrG//nrdE//
TorR	dmsC//puuE//bioD//napA//
TreR	paaY//rhaD//
TrpR	pgaC//purH//nrdF//gloA//ribA//aroH//pnp//aroF//malQ//
TtdR	mtlD//glcF//
TyrR	glpX//yedX//fadE//gltB//umuD//xylB//cynS//wzb//edd//
UhpA	hycF//
UlaR	gcvP//lsrK//nrdB//dgcZ//nirB//
UvrY	murD//aroF//
UxuR	ulaE//umuC//lacZ//
XylR	ubiX//hemH//aldA//
YdeO	waaY//rutE//nanM//
YefM	phoA//
YefM-YoeB	bioD//
YhaJ	
YjjQ	
YpdB	
YqhC	umpH//gloA//
YqjI	fadJ//
ZntR	puuB//
ZraR	
Zur	glcE//
