# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysE//entC//
Fur	moaD//narH//aroF//ndh//aceE//hyaB//waaZ//fadH//alkB//rbsD//gpmA//phnM//dkgA//nanK//entH//pdeL//narI//rutE//gcl//argH//mhpE//cysG//rutE//purH//purM//tyrB//aspA//xylA//chbG//lsrK//fes//
GadE	atoB//murE//argB//
GadE-RcsB	dkgA//yedX//bglB//yqhD//grxA//
GadW	mazG//phnG//rutA//
GadX	lsrK//metF//glyA//ulaE//chbG//
GalR	accC//dgcZ//deoD//lacA//eda//
GalS	malQ//yqjH//trpC//feaB//allB//
GcvA	pgaD//guaA//argF//
GlcC	lldD//waaY//paaA//
GlpR	citC//caiB//nrdB//mhpA//cynS//paaG//tdcD//
GlrR	
GntR	argE//ychF//mpaA//rnpB//nrdF//
HU	dmsB//ttdB//hycD//acnA//
HcaR	garL//paaJ//
HdfR	
HigA	hmp//
HigB-HigA	aceF//
HipAB	nrdA//ulaE//
HipB	dgcZ//lysC//fabH//
HprR	mhpC//truB//
HypT	glpX//polA//
IclR	garK//nanK//gpmA//
IlvY	glpB//
IscR	oxc//ruvA//add//fabD//aldA//nrdD//citC//
KdgR	argF//
KdpE	dmsB//
LacI	frdC//paaG//lpxC//
LeuO	argB//aroF//fadJ//
LexA	puuB//chbF//ruvA//fumB//eno//rutE//aroH//xylA//puuD//
LldR	ubiX//dgcZ//
LrhA	
LsrR	citC//hycF//dgkA//galK//codA//
MalI	adiA//fadD//
MalT	frdB//gltB//rutA//ugpQ//
MarA	lysC//ulaG//pspE//cdd//cysE//napB//malQ//yqhD//tdcB//sufS//malQ//phnH//
MarR	
MatA	nanM//
MazE	deoD//
MazE-MazF	grxA//
McbR	
MelR	paaY//galK//
MetJ	argH//fumC//araB//aceA//ygeA//
MetR	phnM//alaC//hcaC//
MhpR	galE//fau//murC//hycD//fadI//galK//
Mlc	ruvA//entA//murC//
MlrA	gltD//
MngR	torC//hemH//
MntR	rbsK//
ModE	paaI//patD//ulaF//nrfC//murQ//fadJ//fadE//chbG//tdcG//cdd//uxuA//glmS//aceB//truB//tynA//
MprA	citX//
MqsA	gltD//moaD//
MraZ	gapA//entF//polA//lacA//ulaF//ruvB//glcF//mpaA//rhaA//bioB//
MurR	waaZ//narG//mtlD//
Nac	trpD//lsrG//pyrC//ulaG//
NadR	torC//
NagC	hyaA//astB//allB//paaJ//accA//ydcS//fes//fabB//metA//ssuD//ttdB//cynT//bglB//ribA//
NanR	citE//nrdB//garK//gltB//tam//cysE//
NarL	bioA//hyaB//aroG//dgcZ//eno//ulaF//pspE//murQ//hycC//arsC//icd//rsmH//hycE//paaH//purM//hycG//tdcG//rbsD//glxR//xylB//adhE//ung//deoB//cysM//
NarP	fabB//phnP//codA//fadD//katG//metE//paaB//fdhF//garK//
NemR	fabB//frdB//
NhaR	argB//cysG//purD//fumB//garL//
NikR	cysK//
NimR	nanK//
NorR	puuA//
NrdR	trpC//tauD//cynT//chbF//
NsrR	gapA//gadA//gpmA//xylA//bioD//recF//
NtrC	citE//deoA//nanE//ftsI//paaG//hcaC//ccp//tdcE//
OmpR	rutB//yfdE//pflB//mdh//napG//mhpF//ycjG//pgk//
OxyR	yedX//fbaA//acnA//accA//fes//trpA//rbsK//murF//pck//rimK//nrdA//glpK//cadA//
PaaX	glxR//araD//umuC//hemH//add//hycF//fes//fdhF//codA//
PdeL	rhaB//
PdhR	waaZ//cadA//wzc//mhpE//galK//phnJ//hmp//codA//sufS//puuC//xylA//malQ//dmsA//moaE//rsmH//pgaC//yqjH//napA//treC//appA//gcl//guaA//
PepA	acnA//tam//
PgrR	napG//torC//
PhoB	yfdE//argH//glpA//pgaB//argH//paaZ//gapA//bioC//glnA//uxuA//hycG//kbaZ//guaA//atoA//ynfH//
PhoP	purN//astC//atoB//
PspF	fabI//
PurR	nanA//nagA//entE//guaB//entB//putA//pfkA//tdcG//entD//hycF//guaA//ttdA//
PutA	udp//hyaB//
PuuR	hycC//mpaA//chbF//nanE//pflB//cyoE//
QseB	
RbsR	pgaD//hyi//rhaA//metE//fdhF//galM//
RcdA	napG//
RclR	
RcnR	atoB//
RcsAB	umuC//pykF//
RcsB	ssuE//cadA//
RcsB-BglJ	hycC//purC//
RelB	fabH//
RelB-RelE	glpQ//
RhaR	
RhaS	ddlB//paaF//gcvT//hycB//
Rob	slt//dkgA//murQ//ttdA//
RstA	lsrG//
RutR	paaC//ruvA//bioB//sufS//eda//treC//hcaF//rutB//argD//accA//
SdiA	
SgrR	edd//rutA//argG//
SlyA	aroG//purA//adiA//cueO//hemL//moaD//icd//codA//torC//
SoxR	aceE//
SoxS	yqhD//guaB//argA//hypF//uxuB//ascB//deoB//tyrB//caiB//nrfA//feaB//phnL//frc//adiA//caiA//metF//
StpA	ogt//
SutR	hyaC//nrfA//
TdcA	argB//ssuE//murI//pgk//pgaB//
TdcR	fadI//citX//tdcG//folA//bioA//
TorR	yqhD//nirD//glcD//cysK//
TreR	pflB//fadI//
TrpR	galM//rhaD//ulaF//dmsC//argC//astD//mngB//lysC//phnL//
TtdR	citE//murI//
TyrR	cynS//pykF//puuB//nanE//trpB//hyaC//glmS//pykF//cueO//
UhpA	relA//
UlaR	purH//putA//fbaA//mhpA//fumB//
UvrY	ulaE//ynfE//
UxuR	tynA//mhpB//hycB//
XylR	citF//dgcZ//purN//
YdeO	phnG//astB//pyrC//
YefM	nfsA//
YefM-YoeB	hcaF//
YhaJ	
YjjQ	
YpdB	
YqhC	purC//polB//
YqjI	pdeL//
ZntR	sbcD//
ZraR	
Zur	argB//
