# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hcp//nirD//
LldR	gltB//astA//
LrhA	
LsrR	phnO//ung//lsrG//paaC//hypB//
MalI	cynS//purA//
MalT	ilvC//glpC//yfdE//nanE//
MarA	entD//putA//gcvP//hcaF//yqhD//putA//bioA//uxuB//ydcS//ahpF//alkA//bioC//
MarR	
MatA	paaF//
MazE	phnH//
MazE-MazF	rhaB//
McbR	
MelR	phnO//narH//
MetJ	putA//uxuA//ugpQ//astE//accA//
MetR	aceB//glnA//garL//
MhpR	atoA//paaB//rutC//frdA//fau//hemL//
Mlc	trpE//ynfH//paaA//
MlrA	glcF//
MngR	frdC//lsrF//
MntR	fadI//
ModE	kbaY//yedX//uxuA//rhaD//mngB//sufS//trpA//slt//frdD//mdh//icd//ssuE//sufS//hycE//hcp//
MprA	ung//
MqsA	glpB//entB//
MraZ	narI//gcvH//lacZ//codA//galM//ddlB//pdeR//paaH//paaZ//fabD//
MurR	mdh//astA//rnpB//
Nac	nrdE//recF//paaF//paaC//
NadR	argA//
NagC	sbcD//ldtD//fadH//ynfE//citF//mhpE//tauD//purB//frdC//pgaB//recD//puuC//trpE//ulaE//
NanR	ldtD//cynT//fadD//deoC//udp//purN//
NarL	recD//pdeR//citD//chbG//glmS//purB//carB//trpA//moaD//phnL//relA//yqjH//fumB//phoA//relA//araB//putA//dgkA//umpH//fbaA//pspE//accD//accD//codA//
NarP	ung//lpd//purM//edd//umuC//citG//hmp//garL//codA//
NemR	ulaF//guaA//
NhaR	phnO//aroF//paaB//hypF//yedX//
NikR	lysC//
NimR	gloA//
NorR	rhaB//
NrdR	pflB//carA//citD//paaK//
NsrR	xylB//nrdB//relA//gltD//paaA//fdhF//
NtrC	tyrB//glcD//phnJ//dgcC//nrdB//ada//hycD//malY//
OmpR	mraY//oxc//rutD//ftsI//nanA//folE//hycD//nanA//
OxyR	puuA//paaK//epd//cynS//atoD//astA//hcaF//malQ//ynfF//moaE//ftnA//mtlD//argH//
PaaX	astB//glpQ//cysE//galE//glcF//nanE//entD//hyaC//nanA//
PdeL	citG//
PdhR	murI//narI//cynT//xylA//garL//icd//gadB//pgk//fes//galE//nrfC//ldtC//dmsB//murF//ascB//galM//umuC//acnA//kbaY//oxc//purA//tyrB//
PepA	fabI//ruvB//
PgrR	ttdB//glyA//
PhoB	bioB//waaY//glpB//frdB//katG//hycB//ndh//frc//garL//ulaF//glxR//grxA//caiC//ddlB//kbaY//
PhoP	aceA//hcaE//trpE//
PspF	ulaD//
PurR	lysC//napB//aspA//yedX//udp//nirB//lacA//metA//eno//citF//torA//ftnA//
PutA	mhpD//rnpB//
PuuR	codA//bioB//chbF//nrfD//lldD//fbaA//
QseB	
RbsR	nrdA//argG//ychF//paaH//mngB//sbcD//
RcdA	alkB//
RclR	
RcnR	argC//
RcsAB	deoD//uvrB//
RcsB	adhE//ndh//
RcsB-BglJ	pdeL//mhpC//
RelB	purC//
RelB-RelE	entB//
RhaR	
RhaS	pfkA//gdhA//paaH//truB//
Rob	gdhA//aceF//puuD//hycG//
RstA	carA//
RutR	entC//phnI//nagB//rhaA//paaY//garR//frdD//astE//deoB//ssuD//
SdiA	
SgrR	fabG//glpD//nrdE//
SlyA	caiC//paaF//trpD//napA//oxc//paaH//ddlB//nanE//ddlB//
SoxR	tynA//
SoxS	glpC//nrfA//paaZ//icd//glcB//purA//gltD//folE//garK//rimK//pdeL//cynT//nagA//argE//umpH//paaE//
StpA	nrdF//
SutR	murD//glpX//
TdcA	hcaC//bioB//glmU//ldtD//garR//
TdcR	cysG//nrdD//srkA//metC//nrfD//
TorR	ascB//citG//paaA//argF//
TreR	malQ//citG//
TrpR	argC//hycF//ynfF//carB//moaE//entE//murI//fadI//malY//
TtdR	tdcD//nfsB//
TyrR	pykF//citX//tynA//icd//hcaE//hycD//frdD//waaY//ftnA//
UhpA	dkgA//
UlaR	pfkA//paaJ//caiD//frdC//murD//
UvrY	argE//ulaD//
UxuR	purF//gadA//hemL//
XylR	ftsI//bioB//hcaC//
YdeO	sbcD//paaY//ugpQ//
YefM	purD//
YefM-YoeB	lsrK//
YhaJ	
YjjQ	
YpdB	
YqhC	mhpC//fadI//
YqjI	poxB//
ZntR	katG//
ZraR	
Zur	truB//
