# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cysK//lysC//
OmpR	aroF//moaC//ahpC//feaB//rsmH//nanE//fadD//pspE//
OxyR	hemL//bioC//murC//oxc//putA//glpQ//pyrC//murE//carB//nfsA//deoA//entE//tnaA//
PaaX	mraY//dapD//galK//tdcD//purN//oxc//pgaD//kbaZ//napB//
PdeL	gadA//
PdhR	galT//ychF//tauD//galK//phnP//malQ//argG//patD//acnA//trpC//entH//appA//gloA//gcvP//wrbA//ogt//frdC//trpE//nanM//glpQ//phnG//hycC//
PepA	lsrK//treC//
PgrR	ttdB//dapB//
PhoB	aspA//allA//paaC//patD//argI//glxR//torC//aroG//umuC//citD//tdcD//udp//napA//argE//narG//
PhoP	lysC//ttdA//ldtD//
PspF	fabG//
PurR	galE//ubiX//rhaA//glpA//aspA//metF//fabG//lsrK//hemH//ilvC//sbcD//ppsA//
PutA	metA//pflB//
PuuR	glxK//astC//nrdA//trpA//rutB//treC//
QseB	
RbsR	putA//argC//bioC//gloA//fabI//pck//
RcdA	astD//
RclR	
RcnR	glpC//
RcsAB	cysG//pck//
RcsB	phnI//wzb//
RcsB-BglJ	cysM//pgaD//
RelB	garK//
RelB-RelE	cadA//
RhaR	
RhaS	murD//alaC//tyrB//lldD//
Rob	hcaC//fabA//purM//rsmH//
RstA	murC//
RutR	zwf//udp//entF//tynA//nfsB//araA//napB//napB//cadA//tdcE//
SdiA	
SgrR	tynA//cysK//bioA//
SlyA	murD//glcF//astA//glmU//bioD//nrfA//citG//rimK//ycjG//
SoxR	cadA//
SoxS	astB//mhpD//ldtC//katG//argA//mdh//dgcZ//frdA//aspA//glxK//glpK//galM//appA//astD//fdhF//hemL//
StpA	nanM//
SutR	gcl//mhpB//
TdcA	nanK//mngB//phnH//cysK//fabG//
TdcR	alkB//frdB//ttdB//ynfG//fumB//
TorR	phnL//sufS//udp//lacA//
TreR	cadA//glmU//
TrpR	cadA//caiB//galM//bioA//garR//araD//rutB//recD//nanA//
TtdR	puuD//glcD//
TyrR	truB//narG//dmsB//acnA//sbcC//araD//nrfC//pnp//ynfG//
UhpA	tdcE//
UlaR	ndh//glnA//paaY//hcaC//astC//
UvrY	hyaC//folA//
UxuR	carA//lsrK//alaC//
XylR	frdC//accC//nrfC//
YdeO	astB//carA//hycD//
YefM	araD//
YefM-YoeB	tnaA//
YhaJ	
YjjQ	
YpdB	
YqhC	trpD//aroL//
YqjI	recB//
ZntR	ruvA//
ZraR	
Zur	fbaA//
