# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rutA//ssuE//
NagC	bioC//ftsI//pgk//cynS//garL//glmU//argE//glmS//ynfG//bioF//uxuB//katG//tdcE//sodA//
NanR	acnA//glcD//deoD//trpC//ldtC//citX//
NarL	puuE//ydcS//recD//pdeR//ssuD//nagA//narI//pykF//codA//rimK//paaA//accC//paaH//icd//tyrA//glpQ//pykF//nanK//murI//garL//fabG//ugpQ//citC//paaF//
NarP	rbsK//pdeR//fumC//mpaA//paaH//xylB//moaD//murG//pdeR//
NemR	iscS//entC//
NhaR	torA//murQ//deoC//add//dgcC//
NikR	ruvB//
NimR	phnH//
NorR	dgkA//
NrdR	alkB//bglB//purA//nfsB//
NsrR	srkA//atoD//pdeL//hmp//recF//fadH//
NtrC	sbcD//cyoE//polA//aceB//fabD//lysA//caiC//paaI//
OmpR	moaA//frdC//hcaE//astD//eda//moaA//phnL//glpA//
OxyR	dmsA//fabB//zwf//pflB//glmU//nagA//araD//ahpF//glcF//hcaD//garR//lldD//hcaB//
PaaX	bglB//fumB//puuD//murF//paaZ//aroF//recD//lysC//citC//
PdeL	alaC//
PdhR	dgcZ//paaZ//paaZ//glxK//pfkA//hycF//tdcD//srkA//astA//hcp//tynA//alkB//eno//ldtD//truB//glmU//aroL//phnN//rutA//rnpB//hyaC//lysC//
PepA	nagB//caiB//
PgrR	ulaG//yqhD//
PhoB	fau//murD//arsC//napB//ruvA//bioB//guaA//ascB//patD//glpA//metF//atoB//hcp//pck//nrfD//
PhoP	pgaC//nrdB//umuD//
PspF	alaS//
PurR	cueO//cysK//zwf//hcaC//trpD//glxK//cueO//phnG//lsrF//guaA//kbaZ//mazG//
PutA	allB//aceE//
PuuR	astB//metA//murE//purC//edd//fbaA//
QseB	
RbsR	accD//patD//alaS//pgk//yedX//srkA//
RcdA	araD//
RclR	
RcnR	patD//
RcsAB	nanE//epd//
RcsB	mngB//gdhA//
RcsB-BglJ	dmsA//pflB//
RelB	acnA//
RelB-RelE	trpB//
RhaR	
RhaS	chbF//pdeL//paaH//araD//
Rob	fadD//gltB//rhaB//ahpF//
RstA	zwf//
RutR	lpd//tam//ppiA//nrdB//fes//gdhA//dmsA//glpK//recB//astD//
SdiA	
SgrR	aspA//nagA//ychF//
SlyA	edd//rbsD//zwf//phnM//phnJ//rhaB//allB//frdA//hcaE//
SoxR	glpD//
SoxS	sodA//atoD//ppsA//carB//purC//pgk//dmsC//phnN//caiC//puuB//pfkA//lsrG//moaC//hyaC//fabG//purH//
StpA	aceE//
SutR	putA//oxc//
TdcA	ynfE//hcaD//ruvB//adiA//glxK//
TdcR	argH//relA//bglB//tdcG//gntK//
TorR	glpK//gltB//astE//nrdA//
TreR	iscS//astC//
TrpR	treC//argD//waaZ//galE//hyaC//bioA//pnp//hycG//adhE//
TtdR	uxuB//glpA//
TyrR	hypF//rnpB//pgk//mtlD//aroL//gntK//gcl//frc//grxA//
UhpA	garL//
UlaR	glpX//glpD//murG//entF//tnaA//
UvrY	astE//pyrC//
UxuR	aspA//citG//ddlB//
XylR	malP//argC//fabD//
YdeO	rutA//hemH//napA//
YefM	eno//
YefM-YoeB	paaZ//
YhaJ	
YjjQ	
YpdB	
YqhC	rbsD//lacZ//
YqjI	paaE//
ZntR	nrfA//
ZraR	
Zur	moaC//
