# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	waaZ//araB//
RcsB-BglJ	tynA//hemH//
RelB	paaC//
RelB-RelE	hycC//
RhaR	
RhaS	icd//oxc//sodA//acnA//
Rob	argF//rutA//ruvB//astD//
RstA	sodA//
RutR	napG//torA//mhpF//paaK//purB//trpB//fau//gltB//hyaC//pykF//
SdiA	
SgrR	nrfC//zwf//aroL//
SlyA	moaA//tauD//ttdB//eda//lpd//argC//argA//lysA//puuC//
SoxR	iscS//
SoxS	mdh//nrfD//hycF//lsrG//ribA//rhaD//iscS//nfsB//atoD//purH//ulaF//sodA//tdcE//phnO//cadA//entF//
StpA	ccp//
SutR	ftnA//purM//
TdcA	allA//paaJ//nrdE//rhaA//trpD//
TdcR	lsrK//ppsA//malQ//gadA//sufS//
TorR	paaH//mhpC//bglB//fes//
TreR	entF//pdeR//
TrpR	napA//ynfH//accD//kbaY//rimK//caiC//yedX//atoB//paaF//
TtdR	pykF//kbaZ//
TyrR	caiA//nanM//lpxC//purD//hcp//aroG//hcp//adiA//luxS//
UhpA	hyi//
UlaR	ycjG//hcaD//chbF//purN//ynfF//
UvrY	tdcD//lpd//
UxuR	glcE//hycE//sbcC//
XylR	tdcB//relA//paaZ//
YdeO	tdcG//paaB//puuB//
YefM	pdeL//
YefM-YoeB	cueO//
YhaJ	
YjjQ	
YpdB	
YqhC	ulaF//purM//
YqjI	nfsB//
ZntR	metA//
ZraR	
Zur	caiB//
