# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	katG//uvrB//
DeoR	rutA//umuD//metA//ynfG//
DicA	
DinJ-YafQ	hycF//
DnaA	entH//ubiX//cynS//hyi//nrfA//dmsB//
DpiA	phnL//eda//tdcE//metA//ldtD//
EnvR	frdD//recB//
EvgA	hcaF//argE//nrdA//mngB//trpC//
ExuR	
FabR	trpD//aspA//umpH//
FadR	epd//lysA//hcaB//tdcB//puuA//purF//trpB//umuC//hycF//phoA//pck//tdcG//citG//fadD//glpC//
FeaR	glxK//mpaA//
FhlA	citG//pgk//purA//carB//ynfH//garL//luxS//
FlhDC	icd//ychF//
FliZ	ulaE//pflB//ychF//phnJ//aceB//
Fur	ahpF//phnH//nrdE//luxS//galK//sbcC//atoB//glmU//accA//araB//gcl//fabG//nanA//guaB//guaA//lpd//nfsB//udp//citE//glnA//wrbA//pgk//lysC//lacZ//rutE//alaC//dgkA//wrbA//ynfH//araB//ynfH//
GadE	nagB//waaY//fau//
GadE-RcsB	tauD//cueO//fadE//frdC//yqjH//
GadW	entA//fau//allB//
GadX	galM//hycD//glmU//chbG//narG//
GalR	xylB//tdcE//eno//hyi//aceE//
GalS	polB//tdcE//fadI//aceA//nemA//
GcvA	katG//pck//umpH//
GlcC	argH//dgcC//citE//
GlpR	paaF//narG//cyoE//tam//slt//puuB//sbcC//
GlrR	
GntR	fadJ//bioA//allB//pnp//paaH//
HU	garK//guaA//waaY//tdcE//
HcaR	purF//rutE//
HdfR	
HigA	deoC//
HigB-HigA	entD//
HipAB	argC//accC//
HipB	ulaD//ccp//malY//
HprR	lysA//ung//
HypT	ldtD//pdeR//
IclR	galT//ynfG//metE//
IlvY	bglB//
IscR	rutE//lacZ//cadA//puuC//malP//caiC//phnG//
KdgR	tauD//
KdpE	yedX//
LacI	cysM//entF//nadB//
LeuO	aldA//mraY//feaB//
LexA	ascB//bglB//nrfC//patD//kbaZ//cynT//phnH//torA//citC//
LldR	truB//recD//
LrhA	
LsrR	nanM//carB//luxS//metC//ppiA//
MalI	ulaE//fabB//
MalT	gcvP//ldtD//paaA//metE//
MarA	phnG//entC//ulaF//purB//argC//allB//hypB//waaZ//nrdA//araA//oxc//fumB//
MarR	
MatA	glpD//
MazE	gdhA//
MazE-MazF	udp//
McbR	
MelR	glcD//ttdB//
MetJ	purN//sbcD//chbF//glcB//galM//
MetR	astB//nrdA//bioD//
MhpR	garK//ndh//astD//galM//chbF//metE//
Mlc	metE//trpB//paaF//
MlrA	ttdB//
MngR	ynfH//katG//
MntR	purA//
ModE	entA//iscS//add//galK//aceF//paaI//srkA//glpA//ulaF//garK//rbsD//nfsB//ssuE//purM//waaZ//
MprA	recF//
MqsA	lldD//astC//
MraZ	paaJ//chbG//ddlB//hyi//dgkA//nrfD//phnM//phnM//iscS//purH//
MurR	guaB//xylB//hemL//
Nac	trpA//ung//ada//astC//
NadR	paaY//
NagC	phnO//glmS//mhpE//caiC//putA//moaD//gcl//aroF//hcaE//rutE//wzc//lpxC//nfsA//ynfE//
NanR	cynS//entC//nrfD//dgcC//ygeA//aceB//
NarL	uxuB//metF//murQ//trpE//lysA//malQ//mraY//deoB//napB//yqjH//argI//paaK//glmU//pyrC//bioB//hycD//xylB//waaZ//epd//ascB//mtlD//lpd//lacZ//phoA//
NarP	polA//nfsA//astB//cysG//ynfH//atoD//alaC//murC//caiC//
NemR	deoC//nemA//
NhaR	ulaG//carA//katG//cueO//metA//
NikR	gcvH//
NimR	accA//
NorR	nemA//
NrdR	alaC//caiA//cadA//umuD//
NsrR	trpB//accA//fabH//ilvC//dmsB//poxB//
NtrC	recD//zwf//lpxC//ttdA//iscS//puuA//moaA//fumC//
OmpR	ulaF//paaG//ssuE//dmsA//ribA//nanK//icd//ndh//
OxyR	ldtC//glpQ//paaY//nrdD//pspE//frdD//ftnA//alkB//rutA//fadH//alkB//lldD//paaH//
PaaX	adiA//malY//frdD//pflB//recF//hcaC//hypB//hyaA//sufS//
PdeL	citX//
PdhR	ygeA//ilvC//metC//fabB//glpQ//astB//katG//ulaG//pdeL//deoD//trpB//hycB//ldtC//cyoE//caiA//frc//glxR//murG//edd//gltD//nfsA//moaA//
PepA	phnP//mdh//
PgrR	glxR//glmU//
PhoB	argD//frdC//entB//rbsK//murI//ruvA//melA//ruvB//galT//citD//truB//argC//sodA//tynA//citC//
PhoP	citC//melA//pgk//
PspF	folA//
PurR	entC//paaK//ribA//astD//codA//ynfH//mhpE//moaE//ruvA//trpB//fes//ruvA//
PutA	gcvH//ycjG//
PuuR	poxB//mtlD//accA//purC//cysG//cyoE//
QseB	
RbsR	rutC//argF//wzb//ycjG//ydcS//paaA//
RcdA	nanA//
RclR	
RcnR	deoC//
RcsAB	phnM//entB//
RcsB	nemA//nrfA//
RcsB-BglJ	adiA//murC//
RelB	atoB//
RelB-RelE	hycF//
RhaR	
RhaS	polB//tdcD//slt//bioA//
Rob	hyi//napB//lysA//waaZ//
RstA	astE//
RutR	ldtC//ogt//glpD//paaK//frdA//gadB//rhaB//fumC//rbsK//tdcE//
SdiA	
SgrR	ubiX//aspA//lsrK//
SlyA	nirB//glpK//rsmH//nfsA//ycjG//ynfH//aldA//ftnA//alkB//
SoxR	glxR//
SoxS	mhpB//moaA//mhpD//bioA//ttdB//ada//trpC//zwf//katG//mazG//glyA//mdh//argB//fumB//gcvH//dkgA//
StpA	nrfA//
SutR	srkA//xylA//
TdcA	polB//ygeA//pyrC//chbG//mhpA//
TdcR	caiA//ulaF//paaY//glpX//narH//
TorR	tdcB//paaA//argI//hycE//
TreR	tyrB//paaA//
TrpR	ulaE//hyaB//hmp//mngB//recB//ribA//iscS//allA//pck//
TtdR	gltD//mhpD//
TyrR	ascB//appA//cadA//argC//entH//umuD//moaE//ygeA//argG//
UhpA	galT//
UlaR	citG//phnN//ascB//putA//chbG//
UvrY	purH//deoC//
UxuR	lacA//lsrF//puuA//
XylR	hycD//eno//trpE//
YdeO	galE//cynT//xylB//
YefM	guaB//
YefM-YoeB	waaY//
YhaJ	
YjjQ	
YpdB	
YqhC	astD//rimK//
YqjI	pspE//
ZntR	aceA//
ZraR	
Zur	luxS//
