# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpB//xylB//
GlcC	tyrB//mtlD//lacZ//
GlpR	gcvT//aroG//mhpF//alaS//malP//argE//gadB//
GlrR	
GntR	paaB//xylB//ftsI//lpd//dmsA//
HU	moaA//lysC//fumB//glpB//
HcaR	tdcE//mraY//
HdfR	
HigA	ynfF//
HigB-HigA	ilvC//
HipAB	fadI//cysG//
HipB	fau//paaI//guaB//
HprR	entF//hcaD//
HypT	add//cynS//
IclR	ycjG//mdh//deoD//
IlvY	tdcG//
IscR	glnA//pspE//carA//argI//yedX//tdcG//ogt//
KdgR	sbcD//
KdpE	aceB//
LacI	pnp//tdcB//paaY//
LeuO	malQ//uxuA//grxA//
LexA	lldD//nirD//mhpD//pnp//bioA//citF//paaK//bioF//umuC//
LldR	pck//recF//
LrhA	
LsrR	argH//nirD//astB//iscS//ynfG//
MalI	purC//araB//
MalT	grxA//ynfG//rutC//glmU//
MarA	appA//galK//hyaA//fumB//purA//glcE//hcaC//trpD//paaH//torC//folE//mpaA//
MarR	
MatA	argI//
MazE	sbcD//
MazE-MazF	galT//
McbR	
MelR	pgaD//ttdA//
MetJ	yfdE//rnpB//putA//pspE//caiD//
MetR	ydcS//cynS//ycjG//
MhpR	iscS//ung//pgaC//nfsA//dmsA//hycD//
Mlc	ruvA//hcaF//aceA//
MlrA	pfkA//
MngR	fumB//bioB//
MntR	paaZ//
ModE	paaG//gcvP//murC//moaC//accA//argH//nagA//gapA//lpxC//tynA//nagA//glmU//argI//trpD//umuD//
MprA	udp//
MqsA	rhaB//nrfD//
MraZ	lysA//tyrA//ssuD//ftsI//pyrC//gntK//murC//phnH//narH//aroF//
MurR	purM//fadH//gpmA//
Nac	hmp//ppsA//caiC//eno//
NadR	hmp//
NagC	recD//carB//cdd//entA//metE//narG//ydcS//umuD//fabB//dgcC//paaI//cysE//ftnA//relA//
NanR	garR//aroL//napA//araD//purM//glmU//
NarL	adhE//trpB//accA//trpC//astC//astB//fabA//nirD//entC//iscS//poxB//nfsB//paaF//pflB//hyaC//pnp//tynA//aceE//hycC//nanE//aroH//cysE//gntK//argE//
NarP	ruvB//trpB//gdhA//ahpF//dmsC//cysG//frdC//yedX//narH//
NemR	poxB//lacZ//
NhaR	tyrA//hycF//malY//guaB//paaH//
NikR	folE//
NimR	nrdF//
NorR	glcD//
NrdR	ftnA//guaA//paaG//malQ//
NsrR	nanK//polB//hmp//metC//argB//ndh//
NtrC	gadA//nrdB//garL//narI//gloA//pgaB//ycjG//bioC//
OmpR	purA//tam//torC//purD//lpd//rutB//paaC//accA//
OxyR	cyoE//phnL//relA//dgcZ//bioB//murI//glpD//entF//purM//ubiX//phnP//glmS//lysC//
PaaX	sbcD//fadE//nirB//ldtD//tdcB//arsC//chbF//gntK//tnaA//
PdeL	tdcD//
PdhR	murF//relA//accD//pgaC//sbcC//ygeA//gltD//araB//fadH//ycjG//hcaC//uxuA//grxA//citX//luxS//metA//dgcC//ppiA//nrdD//mhpE//glyA//tdcD//
PepA	rutC//lpd//
PgrR	argG//polB//
PhoB	mhpB//astA//yfdE//trpC//narI//guaB//nirD//tynA//ulaF//tyrA//accA//trpA//glpC//cysM//aroF//
PhoP	mhpE//fabI//xylB//
PspF	cynS//
PurR	lysA//bioD//mraY//feaB//narI//nirB//katG//citG//fabA//murI//lpd//purC//
PutA	argD//ruvA//
PuuR	fumB//caiD//phnG//metF//truB//lsrG//
QseB	
RbsR	glcD//citE//purN//dmsC//feaB//mhpB//
RcdA	katG//
RclR	
RcnR	ddlB//
RcsAB	entA//nadB//
RcsB	aspA//fumC//
RcsB-BglJ	ynfH//gdhA//
RelB	polB//
RelB-RelE	metA//
RhaR	
RhaS	paaC//citG//frc//gdhA//
Rob	cyoE//caiA//ruvA//entC//
RstA	lacZ//
RutR	feaB//feaB//lysA//argA//ttdB//tyrB//torC//hemH//polB//argI//
SdiA	
SgrR	aspA//astB//dmsA//
SlyA	aceB//phnH//galK//napB//deoC//ygeA//hycC//ung//argA//
SoxR	tdcD//
SoxS	purN//relA//hyaA//hycD//sufS//cysE//sodA//paaB//hmp//nfsB//bioF//pflB//pnp//srkA//frdC//gcvH//
StpA	paaC//
SutR	nfsB//ascB//
TdcA	glpX//ubiX//glxK//rutC//paaZ//
TdcR	nrdB//nanK//eda//cysG//deoC//
TorR	cadA//gltD//bioD//aroF//
TreR	pflB//araB//
TrpR	citD//kbaY//hycB//pgaD//ssuE//lysA//argD//ahpC//glpB//
TtdR	adiA//ycjG//
TyrR	nrdB//wrbA//gltB//codA//rhaA//frdD//sodA//dgcC//glpK//
UhpA	nrdD//
UlaR	lysC//truB//patD//glpC//trpD//
UvrY	ldtC//moaE//
UxuR	glmS//adhE//ynfG//
XylR	pfkA//pnp//ssuE//
YdeO	entC//gcvP//carA//
YefM	astB//
YefM-YoeB	deoA//
YhaJ	
YjjQ	
YpdB	
YqhC	paaC//uxuB//
YqjI	moaC//
ZntR	napB//
ZraR	
Zur	argI//
