# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mhpC//purB//
MurR	paaI//citC//umpH//
Nac	acnA//glpX//nagA//phnO//
NadR	purF//
NagC	argA//edd//murI//lpd//astA//astE//allA//phnN//entA//phnM//garL//ynfG//ascB//puuE//
NanR	fdhF//puuA//hyaC//gpmA//pspE//gltB//
NarL	recF//hcaB//garL//dgcC//tdcE//allA//aceB//recB//argC//trpE//paaZ//ccp//nfsA//pflB//ttdB//rbsK//bioB//astE//moaC//rutE//citD//torA//sodA//recD//
NarP	wrbA//entB//ulaF//dgcC//cynT//metF//paaF//trpC//glpA//
NemR	ruvB//puuB//
NhaR	ulaD//dkgA//purH//fau//trpA//
NikR	tdcE//
NimR	tynA//
NorR	ulaG//
NrdR	uvrB//ppiA//nrdF//carB//
NsrR	aroG//paaG//trpD//atoA//rhaD//glpD//
NtrC	glpD//nrfA//hyaA//moaD//deoD//argE//paaG//kbaY//
OmpR	yqjH//ribA//lsrG//guaB//ydcS//nfsB//astD//garR//
OxyR	murQ//glxR//fadH//aroG//tdcD//glxK//wzc//iscS//tdcD//nadB//codA//mhpF//aroF//
PaaX	frdD//ulaG//ygeA//nanK//lacA//glcF//hcaC//nfsA//relA//
PdeL	argE//
PdhR	iscS//astA//gloA//trpA//metE//kbaZ//guaB//bglB//napB//gcvH//paaH//chbF//paaI//ycjG//hcaE//gltB//mhpE//mhpD//argC//fes//dkgA//purH//
PepA	mhpA//aceB//
PgrR	carB//ung//
PhoB	phnO//folA//astD//aceF//paaE//entF//gcvT//moaD//lysA//nirD//rutB//purC//guaA//puuB//rhaD//
PhoP	phnO//fadJ//citG//
PspF	purN//
PurR	nirB//ascB//tyrB//nrdD//mdh//adhE//fadD//hycE//ssuD//aceA//ddlB//citE//
PutA	allA//astA//
PuuR	ruvB//paaK//grxA//paaA//argG//allB//
QseB	
RbsR	umuD//tauD//paaH//ugpQ//citD//ldtD//
RcdA	mhpA//
RclR	
RcnR	aroG//
RcsAB	ndh//metC//
RcsB	citC//lysC//
RcsB-BglJ	bioD//argF//
RelB	frdA//
RelB-RelE	fabD//
RhaR	
RhaS	ldtC//recB//glxK//phnN//
Rob	dapB//bioB//ddlB//pfkA//
RstA	tam//
RutR	gcvT//ulaD//fau//ddlB//argI//grxA//ppsA//galM//gcvT//tyrB//
SdiA	
SgrR	hcaD//tam//cueO//
SlyA	ahpC//codA//glxK//fes//argB//pck//allA//paaG//hyaC//
SoxR	nagA//
SoxS	arsC//umpH//hycD//sbcD//aldA//garK//dgcC//nanK//zwf//fabH//folE//guaB//ynfG//lysA//ada//glnA//
StpA	putA//
SutR	pgaD//glcE//
TdcA	metC//eda//atoB//entC//hycF//
TdcR	puuD//mraY//aceA//dmsB//purM//
TorR	hcp//phnO//aroH//hcaC//
TreR	uxuB//hcaF//
TrpR	araB//rsmH//phoA//ppiA//fadD//gcl//glmU//aldA//icd//
TtdR	yqhD//moaD//
TyrR	nirD//araA//aceF//dmsC//fadD//umpH//kbaY//glyA//rutB//
UhpA	acnA//
UlaR	gpmA//melA//frdC//trpC//fadD//
UvrY	carA//lldD//
UxuR	hyaC//pgaB//nrfC//
XylR	glcF//trpE//dgcZ//
YdeO	puuD//hycD//glmS//
YefM	tnaA//
YefM-YoeB	phnH//
YhaJ	
YjjQ	
YpdB	
YqhC	ulaG//carA//
YqjI	chbF//
ZntR	grxA//
ZraR	
Zur	aroG//
