# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rsmH//allB//
LsrR	lysC//deoD//pflB//malY//fes//
MalI	ulaD//guaB//
MalT	garR//torA//umpH//argE//
MarA	nanE//gltD//dmsA//ssuE//trpB//accA//aroH//deoB//garR//entH//lpxC//phnO//
MarR	
MatA	caiA//
MazE	yedX//
MazE-MazF	fabH//
McbR	
MelR	narG//dkgA//
MetJ	glpC//yedX//ppiA//recD//glmU//
MetR	entH//phnJ//cysM//
MhpR	ugpQ//lacZ//guaB//glcF//allB//adhE//
Mlc	entA//bioD//alkA//
MlrA	trpE//
MngR	nagB//rbsK//
MntR	nagA//
ModE	murG//deoD//gpmA//araA//purD//phnP//hcaF//murC//ccp//gdhA//citD//ychF//tynA//tauD//argH//
MprA	hycB//
MqsA	yqhD//aceA//
MraZ	hyaC//pyrC//umuD//hycD//yfdE//ppiA//accA//purN//cyoE//cynT//
MurR	phnJ//pspE//fabI//
Nac	nrdD//pdeL//paaH//nrfA//
NadR	wzc//
NagC	ulaE//argC//cdd//napB//astD//folE//pdeR//ruvB//glcF//nrfD//deoA//rbsD//bioD//hyi//
NanR	nrdF//polA//ogt//xylA//entA//ttdB//
NarL	rbsD//slt//hcp//umuC//feaB//feaB//polB//mpaA//ahpC//chbF//accC//mhpE//tdcE//codA//ynfF//narH//alaS//accD//arsC//murF//purB//glpC//galT//nrdD//
NarP	deoA//rutD//appA//fabI//napH//putA//aldA//fadI//argC//
NemR	araB//nagB//
NhaR	metF//trpC//argG//rimK//trpC//
NikR	atoD//
NimR	paaK//
NorR	torA//
NrdR	tyrA//ftnA//lysC//moaC//
NsrR	deoC//mtlD//yedX//purD//aroF//lacZ//
NtrC	ogt//ulaD//udp//paaI//dmsB//hypB//nrdF//atoD//
OmpR	paaE//aroF//mhpF//tdcB//umuC//deoC//ulaG//ldtD//
OxyR	glpQ//aceE//edd//puuA//gdhA//lacA//ftsI//waaY//fabI//katG//puuD//ada//aroG//
PaaX	nadB//lpd//aroG//gcvT//nemA//hyi//entH//paaC//argI//
PdeL	sodA//
PdhR	gltB//mhpE//lacZ//gadA//accC//srkA//entH//caiA//aroF//wzb//dgcC//aroF//ulaG//fabG//narH//ftsI//xylB//puuC//nemA//phoA//metA//hcaF//
PepA	edd//rimK//
PgrR	patD//ruvA//
PhoB	caiB//gltB//mngB//glxR//cysG//malY//ttdA//allA//phnL//poxB//nrdA//ribA//dapB//relA//citF//
PhoP	purA//ahpF//rhaB//
PspF	relA//
PurR	argC//purD//frdD//metA//ycjG//nrdA//lsrK//murF//tyrB//trpD//ugpQ//deoA//
PutA	hcp//lacA//
PuuR	fadI//nrdE//umuD//tdcD//sbcD//glpK//
QseB	
RbsR	nrdF//astB//nrfA//chbG//lsrF//ynfG//
RcdA	add//
RclR	
RcnR	napH//
RcsAB	hycE//frdD//
RcsB	ruvB//lsrG//
RcsB-BglJ	adiA//gcl//
RelB	zwf//
RelB-RelE	rimK//
RhaR	
RhaS	waaY//hyi//astA//waaY//
Rob	hcaF//phnL//hycB//ynfF//
RstA	phnI//
RutR	cueO//gcl//tynA//hycB//glpK//citF//aroG//bioC//allA//ndh//
SdiA	
SgrR	gcvH//fadI//glpD//
SlyA	argF//entD//pspE//ttdB//umuC//nagA//caiC//pyrC//fabD//
SoxR	galE//
SoxS	gadB//napG//ulaE//napA//paaB//cadA//allA//murC//carA//grxA//citC//garR//murD//ddlB//garL//entB//
StpA	nrdA//
SutR	kbaY//dmsB//
TdcA	citD//glpK//fdhF//phnG//pykF//
TdcR	wzc//aceB//truB//astB//rutA//
TorR	bioA//trpD//nemA//entC//
TreR	glpK//ynfF//
TrpR	entC//atoD//pgaC//paaK//ahpC//recB//araD//nagA//paaC//
TtdR	mhpC//ascB//
TyrR	ppiA//ssuD//melA//gcl//yqhD//cyoE//xylB//hcaE//nrdF//
UhpA	acnA//
UlaR	fadH//hycC//phnO//chbG//astB//
UvrY	ahpC//yedX//
UxuR	glnA//argF//mdh//
XylR	cyoE//pspE//fadD//
YdeO	fumB//paaF//fadI//
YefM	entE//
YefM-YoeB	caiB//
YhaJ	
YjjQ	
YpdB	
YqhC	truB//frc//
YqjI	lysA//
ZntR	aroL//
ZraR	
Zur	argF//
