# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argE//metF//
SoxS	alkB//xylB//paaC//malP//umuD//murQ//yfdE//caiD//murI//nirD//frdD//astE//phnJ//glcD//phnM//kbaY//
StpA	ftnA//
SutR	hcp//araD//
TdcA	dapB//accD//yedX//mhpD//phnH//
TdcR	nrdA//astE//hcaE//epd//xylB//
TorR	deoB//sbcD//cueO//codA//
TreR	frc//ada//
TrpR	melA//aroL//sbcD//fabD//gltB//citX//ugpQ//trpC//cyoE//
TtdR	cysM//acnA//
TyrR	murF//atoB//rsmH//aroL//wzc//glcB//napH//malQ//hypB//
UhpA	gadB//
UlaR	tauD//lacZ//accA//ahpC//entD//
UvrY	phnM//glpC//
UxuR	tynA//accC//glmU//
XylR	purA//ulaE//cysG//
YdeO	pgaD//argF//srkA//
YefM	melA//
YefM-YoeB	garL//
YhaJ	
YjjQ	
YpdB	
YqhC	chbG//moaE//
YqjI	moaE//
ZntR	frdD//
ZraR	
Zur	deoC//
