# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	xylA//paaC//
KdgR	treC//
KdpE	hypF//
LacI	ttdB//galM//dgcC//
LeuO	fabA//lsrG//melA//
LexA	caiD//aroF//garL//paaF//zwf//pgaD//ahpC//purA//phnN//
LldR	gadB//deoB//
LrhA	
LsrR	gltD//phnN//phnO//lsrK//gpmA//
MalI	fumC//hcaD//
MalT	sufS//rsmH//cynS//citG//
MarA	sodA//feaB//hcp//zwf//astA//hcp//gltD//ilvC//hcaC//gadA//puuC//ahpF//
MarR	
MatA	purD//
MazE	hcaF//
MazE-MazF	cysE//
McbR	
MelR	glpK//mtlD//
MetJ	dgkA//murC//polB//ydcS//cysE//
MetR	aroG//trpD//murE//
MhpR	mngB//yqjH//alkA//rhaA//fabA//bioC//
Mlc	ldtD//dmsB//ydcS//
MlrA	glnA//
MngR	fumC//citX//
MntR	wzb//
ModE	phnL//accC//astD//add//paaY//ada//atoB//aspA//tauD//bglB//fes//citX//nrdE//paaA//chbF//
MprA	ilvC//
MqsA	ulaE//entC//
MraZ	glyA//ogt//ftsI//ada//guaA//edd//hcaD//gadA//aroF//gcl//
MurR	argC//yfdE//nirB//
Nac	astC//glcF//aroL//pyrC//
NadR	nanM//
NagC	alaS//poxB//rutB//bioD//nrdD//appA//cysG//yedX//xylB//paaI//glpB//pgaB//sodA//argG//
NanR	cyoE//gadB//aroG//epd//narH//citE//
NarL	hycC//lsrG//dmsC//feaB//entB//dapD//tnaA//fadE//kbaZ//fabA//hycE//tauD//ycjG//glcD//astE//ftnA//nrdA//paaI//entB//hcaD//napH//alkA//phnG//cynT//
NarP	entA//adhE//araD//mhpC//cadA//umuD//tdcD//ppiA//narG//
NemR	glpC//grxA//
NhaR	paaG//hycG//ftnA//hcaD//cysK//
NikR	rsmH//
NimR	paaC//
NorR	lsrG//
NrdR	glcF//rutC//waaY//phnI//
NsrR	hemL//kbaZ//hemL//tyrB//glmU//aceB//
NtrC	araA//adhE//astC//hmp//rutC//phnL//uxuB//glcF//
OmpR	astD//poxB//moaC//pck//lsrF//pspE//ssuE//gltD//
OxyR	galE//glcE//dapD//astD//mhpA//aroF//galK//phnG//trpD//trpA//entC//fabA//sodA//
PaaX	allA//tdcD//phnM//tam//ung//argD//pdeL//hycB//trpB//
PdeL	astB//
PdhR	patD//glpC//frdB//glpX//astE//gadA//deoC//lysC//ttdA//fadI//ftsI//bglB//murC//relA//nagA//torA//atoB//glxR//sodA//nrdE//hemL//nrdA//
PepA	astE//citD//
PgrR	murG//ychF//
PhoB	ascB//lsrK//phnI//ruvB//phnG//fadE//mazG//astC//phnM//pfkA//trpB//nrfA//hycG//lpxC//lsrG//
PhoP	aceB//wzc//astD//
PspF	hmp//
PurR	wrbA//tdcG//gcvP//hycB//pgaB//phnI//purH//purA//paaF//tauD//glnA//aldA//
PutA	garL//grxA//
PuuR	waaZ//tam//accC//atoD//cysM//phnJ//
QseB	
RbsR	hycF//relA//ccp//citD//galM//puuC//
RcdA	nrdA//
RclR	
RcnR	luxS//
RcsAB	ulaF//mdh//
RcsB	ulaG//acnA//
RcsB-BglJ	tnaA//tyrA//
RelB	nanM//
RelB-RelE	lpd//
RhaR	
RhaS	ttdB//bioA//truB//tnaA//
Rob	truB//mhpA//ahpF//garL//
RstA	paaZ//
RutR	kbaY//rhaB//lysC//bglB//carA//paaC//moaA//argI//ynfH//glpB//
SdiA	
SgrR	gapA//tdcE//ruvA//
SlyA	gapA//purD//entD//trpD//narH//cyoE//nanE//ynfG//folA//
SoxR	astB//
SoxS	paaG//aceF//lsrG//purD//glcD//yqjH//hcp//nrfA//murG//tynA//phnH//glyA//accC//deoC//recD//lldD//
StpA	narH//
SutR	pdeR//frdB//
TdcA	gntK//cynS//alaS//mhpF//ynfF//
TdcR	metA//lsrF//frc//ddlB//cysK//
TorR	ubiX//glxR//hemL//moaA//
TreR	ygeA//lacZ//
TrpR	hycC//nirB//aceF//ttdB//yqjH//pdeL//hyaB//citE//paaC//
TtdR	phnL//ynfE//
TyrR	atoA//cysG//argA//rbsD//pgaC//astD//cysM//astA//astD//
UhpA	argC//
UlaR	bioD//alkA//lpd//putA//epd//
UvrY	dmsB//bglB//
UxuR	astD//ruvB//paaY//
XylR	gcvP//carB//paaJ//
YdeO	argA//paaA//folA//
YefM	bioF//
YefM-YoeB	nrdE//
YhaJ	
YjjQ	
YpdB	
YqhC	zwf//moaC//
YqjI	deoC//
ZntR	phnO//
ZraR	
Zur	rutD//
