# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ftsI//purN//
RutR	appA//murE//aceA//trpA//gcvP//tdcD//glpA//argI//paaJ//hyaA//
SdiA	
SgrR	alkB//ilvC//lsrF//
SlyA	ndh//gadB//deoD//pspE//cueO//murF//zwf//deoC//glcB//
SoxR	metF//
SoxS	alaC//nrdE//polB//purM//wzb//lacZ//grxA//rbsD//metE//aroL//ppiA//ttdA//rhaD//argF//paaF//alaS//
StpA	sufS//
SutR	eda//galM//
TdcA	ahpC//fes//dgcC//murD//rutE//
TdcR	nanK//nadB//citX//eda//lldD//
TorR	aceF//ftsI//nfsA//glpX//
TreR	puuA//glpB//
TrpR	tam//rhaB//nanK//gloA//puuB//lsrK//astD//hycC//nrdD//
TtdR	carA//murQ//
TyrR	dgcC//kbaY//garR//hmp//ynfE//hycF//ahpF//glmS//chbF//
UhpA	fdhF//
UlaR	torA//citX//mhpC//glyA//paaE//
UvrY	gcvP//dmsA//
UxuR	xylB//lldD//argF//
XylR	hcaF//napB//dapD//
YdeO	nanA//nrdF//rhaA//
YefM	ulaG//
YefM-YoeB	gadB//
YhaJ	
YjjQ	
YpdB	
YqhC	glpB//citC//
YqjI	araB//
ZntR	torC//
ZraR	
Zur	paaC//
