# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	purN//entH//
MarA	rsmH//mhpA//ilvC//fadH//rutD//bioA//wzc//luxS//argB//gcl//paaA//fabI//
MarR	
MatA	argA//
MazE	lysA//
MazE-MazF	rbsD//
McbR	
MelR	caiA//nanM//
MetJ	moaA//atoB//paaH//moaE//grxA//
MetR	rhaA//phnN//tdcG//
MhpR	tyrA//paaC//mhpE//sufS//lysC//waaY//
Mlc	umpH//sufS//nanK//
MlrA	mhpA//
MngR	hcaB//bioA//
MntR	nanA//
ModE	lpd//mazG//dmsC//entB//mhpD//hyaB//glnA//bioC//tdcE//rsmH//fdhF//kbaZ//entE//gapA//purH//
MprA	purN//
MqsA	xylA//eda//
MraZ	nrdF//malQ//fumC//umuD//phnI//garR//dgcZ//allA//tdcD//ulaG//
MurR	hyaB//ssuD//citG//
Nac	purD//ulaD//rbsD//ttdA//
NadR	murG//
NagC	tynA//cysK//paaZ//cadA//ulaF//cdd//purN//nirB//hycC//uxuA//torC//xylA//pyrC//ppiA//
NanR	lysA//citE//bioF//entC//nfsA//mazG//
NarL	fumC//galT//dmsC//entB//trpD//frdC//garK//dkgA//fumB//puuD//ychF//puuD//lpd//gapA//murG//dapD//garK//tauD//ssuE//guaB//uxuB//hyi//argG//caiB//
NarP	ygeA//hyaC//truB//entD//hycB//trpD//galT//paaE//uvrB//
NemR	hcaC//nrdB//
NhaR	polA//nanK//metF//malQ//ulaG//
NikR	polB//
NimR	ycjG//
NorR	murD//
NrdR	ung//citD//purH//narH//
NsrR	cysK//fabB//galT//tynA//napA//nrfD//
NtrC	hyaC//ahpF//mhpC//argC//moaD//ulaE//hcaC//narG//
OmpR	entB//glcE//kbaZ//glnA//garK//puuE//purM//feaB//
OxyR	puuB//entE//ruvB//murE//moaD//caiA//astB//frdD//ulaG//entA//purF//uxuA//araB//
PaaX	ychF//narH//truB//entH//nanK//trpD//add//sufS//pgaC//
PdeL	carB//
PdhR	ycjG//alaC//pdeR//wzc//arsC//hypF//lacA//caiD//mhpB//hypB//glpC//torA//dgcC//rutA//ugpQ//argG//hycF//ugpQ//nagB//purM//fdhF//atoB//
PepA	citD//edd//
PgrR	cynT//ccp//
PhoB	adiA//eno//ribA//hycE//nrdB//fabG//accA//hyi//mhpD//gltD//ldtC//tauD//nanK//gapA//murI//
PhoP	slt//gcl//kbaZ//
PspF	accD//
PurR	mtlD//gapA//fadE//rhaD//ndh//araA//aceE//paaJ//recD//astE//mpaA//trpC//
PutA	eno//glmS//
PuuR	fabB//aroL//nanE//nrdD//hyaA//hemL//
QseB	
RbsR	glcE//argF//mtlD//ugpQ//caiD//hyi//
RcdA	edd//
RclR	
RcnR	murQ//
RcsAB	lldD//hycE//
RcsB	aroG//murE//
RcsB-BglJ	glcB//adhE//
RelB	gadA//
RelB-RelE	phnO//
RhaR	
RhaS	glmU//dgcZ//ribA//murD//
Rob	pdeL//eno//tdcE//ahpF//
RstA	pgaB//
RutR	lacA//glnA//purN//alaS//dapB//uxuB//tdcB//fabD//hcaB//hycF//
SdiA	
SgrR	bglB//pck//dgcZ//
SlyA	gpmA//ribA//dmsA//cyoE//paaB//guaA//fbaA//glpK//gcvP//
SoxR	lpd//
SoxS	nrdD//entF//phnL//puuB//purB//ssuE//aceE//rutA//ssuD//moaA//cynS//dmsA//glcE//glpB//adhE//mhpD//
StpA	phnM//
SutR	murG//murF//
TdcA	gpmA//citX//rbsD//cyoE//nanA//
TdcR	bioF//dmsA//pdeL//phnO//fumC//
TorR	dkgA//glpB//kbaZ//glmU//
TreR	hcp//frdA//
TrpR	ulaG//murE//citE//metC//hyaB//puuD//guaA//paaK//phnG//
TtdR	hcaB//hyaB//
TyrR	aroL//malY//ftnA//nanM//aceB//moaC//iscS//puuE//araA//
UhpA	purH//
UlaR	nadB//gapA//umuD//ubiX//bioC//
UvrY	nrfD//tdcD//
UxuR	gltD//hcaD//pdeL//
XylR	kbaY//torC//lsrK//
YdeO	phnP//wzb//entF//
YefM	udp//
YefM-YoeB	umuD//
YhaJ	
YjjQ	
YpdB	
YqhC	aceE//rsmH//
YqjI	bioA//
ZntR	ssuD//
ZraR	
Zur	ssuE//
