# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	bioD//rsmH//
UlaR	hyaA//torC//paaC//dapB//ribA//
UvrY	nanA//tdcB//
UxuR	aceA//pdeL//argD//
XylR	cueO//torA//malP//
YdeO	ftnA//nrdB//ulaE//
YefM	guaA//
YefM-YoeB	ruvB//
YhaJ	
YjjQ	
YpdB	
YqhC	ddlB//argI//
YqjI	folA//
ZntR	ung//
ZraR	
Zur	rutB//
