# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dhaK//ugpQ//
DnaA_neg	entB//lhgO//purA//hyi//yeaE//
DnaA_pos	tdcB//paaC//nirD//
DpiA_neg	
DpiA_pos	phnH//gntK//glk//puuB//trpC//
DsdC_neg	
DsdC_pos	tpiA//bioB//
EbgR_neg	
EnvR_neg	fabB//nanM//
EnvY_pos	tynA//lysA//
EvgA_pos	paaZ//pflB//rbsD//tdcG//murG//accA//
ExuR_neg	bioB//nrdF//hypB//pspE//dapB//pgaC//
FabR_neg	fumC//fucU//
FadR_neg	ndh//gor//nrfD//hycD//glpX//argE//trpD//guaA//hemL//
FadR_pos	tadA//eda//glgA//hmp//xapA//murQ//ahpF//fadJ//gcvT//
FeaR_pos	rutA//tadA//
FhlA_pos	cysM//atoA//puuB//nfsB//gatD//entA//fabZ//
FlhDC_neg	pflB//gor//
FlhDC_pos	napC//nanE//galE//mpaA//sucB//recF//tnaA//trpE//dapB//
FliZ_neg	nrdF//mltF//cueO//pgk//phnN//
FucR_pos	idnD//ynfF//argF//nagA//dhaK//fucU//
Fur_neg	alkA//guaA//glpC//treC//aspC//sdhA//nagA//sdhD//pdeL//amn//gpmA//hemL//fau//lacZ//paaI//glcF//sdhD//cysN//murG//purE//nrdA//atoB//purD//allC//puuE//nrfC//napH//deoA//pykF//caiA//mpl//glpK//astD//folA//oxc//gntK//entD//trpA//araB//phnI//ribA//dmsA//araA//purC//aroH//argE//umuD//yeaG//tynA//puuB//purD//phnJ//mazG//fucO//
Fur_pos	ampC//rffC//cueO//nfsB//argA//lsrF//fabI//pflB//glmU//chbF//leuA//fruK//rbsK//entD//gudD//pdeH//uidA//
GadE-RcsB_pos	narG//phnO//allE//gpmA//
GadE_pos	asnB//glpX//bacA//galT//nrdA//fadH//tehB//leuB//malQ//ybaS//
GadW_neg	fadE//ldtB//alaS//
GadW_pos	citX//purN//fadJ//asnA//
GadX_neg	phr//gltB//
GadX_pos	srlD//leuB//phr//galT//sgbE//pdeR//recF//rutE//asnA//argA//
GalR_neg	glgX//rffH//nanK//hycB//nrfA//garK//
GalR_pos	ahpC//pykF//yfdE//dmsC//
GalS_neg	metF//hycE//mtlD//hemH//hycE//napH//
GalS_pos	mhpA//cysI//prs//cynT//
GatR_neg	ahpC//gdhA//paaB//
GcvA_neg	sgbU//ulaD//rffT//
GcvA_pos	paaH//trpC//dsdA//
GlcC_neg	
GlcC_pos	glcB//fdhF//xylA//
GlpR_neg	hyi//ldtD//patA//gcvP//nrfC//pgm//fbaA//
GlrR_pos	
GntR_neg	gdhA//pykF//dkgA//fadD//nrdB//dhaL//nrdF//purF//yiaK//
GutM_pos	pdeR//aroG//hycB//
GutR_neg	moaE//cdd//srlD//
HU_neg	udp//ttdB//rfe//glnA//nrdB//entA//gntK//
HU_pos	
HcaR_neg	
HcaR_pos	mazG//fumC//
HdfR_neg	
HdfR_pos	
HigA_neg	udp//
HigB-HigA_neg	accD//
HipAB_neg	ynfH//moaA//
HipB_neg	phnH//psd//trpC//
HyfR_pos	rutA//
HypT_neg	uxaB//fabI//
HypT_pos	fadA//mhpB//nirB//dinB//fadJ//
IclR_neg	fadA//fruK//atoB//
IdnR_neg	waaH//tdcB//
IdnR_pos	galM//puuD//nrdD//glgC//
IlvY_neg	
IlvY_pos	accD//
IscR_neg	dkgB//aroH//ttdB//pncB//
IscR_pos	murD//sucA//
KdgR_neg	prpC//leuA//
KdpE_pos	relA//
LacI_neg	hyi//astD//sucC//
LeuO_neg	
LeuO_pos	fruK//cysJ//murF//folE//phoA//uxuA//
LexA_neg	atoD//ttdA//sgbE//pgaD//atoB//uxuA//paaG//cysE//dmsC//narG//alkB//iscS//entD//carA//phnN//uidA//aceA//gnd//garK//pfkA//nanM//
LldR_neg	atoB//gltD//
LldR_pos	feaB//feaB//
LrhA_neg	
LrhA_pos	
LsrR_neg	nagA//fabH//fabD//citF//nrdF//
LysR_neg	
LysR_pos	caiD//
MalI_neg	lysC//murD//
MalT_pos	fabH//acnA//feaB//purC//ubiA//fabZ//
MarA_neg	aldA//
MarA_pos	relA//lpd//rbsD//glpK//cysK//caiB//rfe//ubiX//murQ//frc//hemH//glk//yeaG//aroL//ubiC//araA//glcE//mngB//sucD//rffT//lpxC//tynA//
MarR_neg	
MatA_neg	hcp//
MatA_pos	
MazE-MazF_neg	alaS//
MazE_neg	cysD//
McbR_neg	
McbR_pos	
MelR_neg	gabD//glgA//
MelR_pos	aceA//moaA//
MetJ_neg	gcvP//hyaA//aroG//lpxC//chbG//pdeH//rbsD//cadA//galE//nanE//
MetR_neg	gatZ//
MetR_pos	astB//ung//lpd//uxuA//
MhpR_pos	gatY//pgk//glgP//nirD//glnA//hcp//
Mlc_neg	cdd//pck//gdhA//ascB//
MlrA_pos	uidA//
MngR_neg	metK//feaB//
MntR_neg	nanM//
MntR_pos	entE//
ModE_neg	nrfD//ulaD//glpK//hyi//ynfE//tdcB//frdD//treC//
ModE_pos	wecC//entH//leuB//entE//caiC//citE//
MprA_neg	argG//hmp//uidA//
MqsA_neg	alkA//hycB//
MraZ_neg	mpl//ynfF//yeaE//caiD//malZ//glxK//purB//hcaE//ascB//puuE//lysA//
MtlR_neg	ndh//yibQ//aroL//
MurR_neg	phnO//arsC//umpH//
MurR_pos	
Nac_neg	metH//nrfB//folE//
Nac_pos	atoD//fucO//entC//glpC//rsmH//rhaD//ftsI//
NadR_neg	astB//puuA//ascB//accB//
NagC_neg	napG//hemH//rbsK//paaI//fucI//edd//alaC//aceB//purC//rimK//deoB//yeaG//folE//argE//talA//pgaB//yqjH//speB//
NagC_pos	lacA//cysM//
NanR_neg	kbaY//rimK//ynfG//fes//nanM//hycC//
NanR_pos	
NarL_neg	kbaY//hyi//frc//lsrG//melA//uxuA//sucA//fumC//bglB//polB//phr//frdA//torC//fucA//alkB//ldtC//dhaL//nrdA//dapB//mhpC//acnB//lysA//puuC//nrdD//
NarL_pos	wecB//cysN//fucO//fadB//polA//metC//paaJ//astB//allE//gatZ//araA//glmU//tnaA//
NarP_neg	leuD//dkgA//argE//
NarP_pos	dmsC//entC//uvrB//narH//glpB//glnA//hyaA//yibQ//mnmG//sgbH//
NemR_neg	asnA//poxB//
NhaR_pos	argD//rffC//moaD//dsdA//nanM//
NikR_neg	lysC//
NimR_neg	aspC//
NorR_neg	
NorR_pos	purM//
NrdR_neg	nagA//mhpF//cynS//glcB//
NsrR_neg	slt//entH//pfkA//galM//gpmA//serA//rbsK//phnL//ldtD//sodB//rffG//fucA//nanM//malY//pgm//bioC//umuC//aceE//aroH//katE//rffG//garK//napB//fabG//puuC//dgcC//pgaC//dkgA//fumC//murE//wzc//atoD//phnJ//wrbA//fruK//acnB//
NtrC_neg	hyaA//mpl//
NtrC_pos	entD//accC//atoB//ogt//fau//betB//pdeH//fucA//nrdB//nagB//glgP//speA//murC//gapA//paaI//frdD//iscS//mhpB//speB//katG//dhaL//
OmpR_neg	nirD//pdeL//bglB//uxuB//nrfA//
OmpR_pos	bioA//araB//purB//rfe//
OxyR_neg	acnB//deoB//galK//astE//cysG//
OxyR_pos	glpB//puuB//dapB//garD//astC//yiaK//lsrF//purK//napC//
PaaX_neg	glpX//mraY//glcD//acnA//ynfF//lacA//gcvH//cysC//glcD//
PdeL_pos	dinB//
PdhR_neg	napG//ribA//glcF//paaG//sgbU//ftnA//moaD//fucO//guaB//ruvA//entD//leuB//purA//mpaA//nadB//putA//waaZ//murC//glgX//pgk//asnB//cynS//feaB//gltB//
PdhR_pos	glcD//gnd//
PepA_neg	trpE//bioA//
PgrR_neg	murD//accB//
PhoB_neg	acnA//slt//astE//glgP//
PhoB_pos	talA//ulaE//chbG//hycC//phnH//entA//aspC//citX//nanM//tktB//katE//astA//narI//cysH//aceA//glmU//
PhoP_neg	rhaD//lpxD//pgaD//
PhoP_pos	polA//bioF//dgkA//ahpC//ybjG//citC//cysG//alkB//wecB//lacA//sdhC//dinB//galT//ftnA//aroF//glpA//ascB//paaY//sgbU//leuB//sodB//aldA//dgcZ//wrbA//putA//fabA//yfdE//purF//murF//icd//pgaC//nanM//
PrpR_neg	
PrpR_pos	lysC//gloA//hyaC//moaE//
PspF_neg	
PspF_pos	purL//
PurR_neg	ftsI//cysK//argF//napG//idnD//tpiA//fruK//ugpQ//phnO//argG//lpxD//sodB//mraY//trpC//hycD//murF//dgcC//garD//glgP//adhE//purD//phnI//alsE//gatD//mtlD//gadA//
PutA_neg	murG//glxK//
PuuR_neg	mazG//glnA//ribA//nrfD//murI//rffM//
QseB_pos	
RbsR_neg	malS//rpiB//entD//lsrF//polA//
RbsR_pos	glpD//
RcdA_neg	
RcdA_pos	pnp//
RclR_pos	
RcnR_neg	purD//
RcsAB_neg	entB//
RcsAB_pos	citC//prpC//
RcsB-BglJ_pos	appA//tdcE//
RcsB_neg	hypB//
RcsB_pos	phoA//dgkA//pgm//
RelB-RelE_neg	rutE//
RelB_neg	paaJ//
RhaR_pos	
RhaS_pos	glgX//ttdB//paaC//puuE//
Rob_neg	
Rob_pos	napH//iscS//rhaB//acnB//tdcE//gabT//dmsB//xylA//gatY//sucB//asnB//bioD//frdD//alaC//garK//yqjH//dkgA//tyrA//ynfH//
RstA_neg	arsC//asnA//
RstA_pos	paaC//
RtcR_pos	glpB//yqhD//
RutR_neg	cysJ//nagA//nadA//araB//aroG//dkgB//prpE//napA//paaI//yeaG//
RutR_pos	ycjG//
SdiA_neg	
SdiA_pos	
SgrR_neg	speB//
SgrR_pos	caiD//cadA//
SlyA_pos	
SoxR_neg	
SoxR_pos	sucA//
SoxS_neg	
SoxS_pos	murD//fucO//purD//deoD//narG//entD//glpB//trpE//lsrF//aceA//rsmH//allE//astA//argA//glpK//aspA//bglB//pykF//purH//aceE//fadM//rffG//prpB//fadH//aspA//metH//
StpA_neg	entH//frdC//tadA//
SutR_neg	hycD//nrfA//
SutR_pos	
TdcA_pos	sdhC//metE//nrdF//uidA//ppiA//
TdcR_pos	nadB//phnJ//gor//gabD//napH//
TorR_neg	sodB//
TorR_pos	phnH//pncB//malP//
TreR_neg	glpK//malQ//
TrpR_neg	sgbH//purL//waaH//ilvC//recF//glpX//adhE//malP//codA//
TyrR_neg	purA//narH//lldD//gntK//rnpB//gor//alaS//
TyrR_pos	cysH//oxc//narH//
UhpA_pos	frdA//
UidR_neg	accD//nrdD//
UlaR_neg	glmS//ybjG//ubiC//argE//cysI//
UvrY_pos	nanA//thrS//
UxuR_neg	fadI//tam//alkA//argF//rffG//
XapR_pos	bacA//epd//
XylR_neg	
XylR_pos	hemH//nagB//cysJ//
YdeO_neg	
YdeO_pos	gor//nrdA//fdhF//
YedW_neg	phnO//serA//
YedW_pos	rnpB//
YefM-YoeB_neg	fabI//
YefM_neg	ulaF//
YehT_pos	
YeiL_pos	
YiaJ_neg	gcvP//ddlB//tam//ynfF//ahpC//napA//
YjjQ_neg	garD//
YpdB_pos	
YqhC_pos	tauD//ndh//
YqjI_neg	glgX//
ZntR_pos	paaC//
ZraR_pos	
Zur_neg	ahpF//
