# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	gcvP//pnp//
GalS_pos	nirB//ychF//icd//caiB//
GatR_neg	citG//wzc//pgaD//
GcvA_neg	kbaY//moaA//udp//
GcvA_pos	napG//yiaK//gdhA//
GlcC_neg	
GlcC_pos	ilvC//wzb//sodA//
GlpR_neg	paaC//ychF//moaA//hycD//ugpQ//aspC//nrfB//
GlrR_pos	
GntR_neg	tehB//sdhB//araA//fabH//purD//astA//alkB//dacC//gdhA//
GutM_pos	fucO//psd//cysN//
GutR_neg	ftsI//yiaK//feaB//
HU_neg	dgcZ//mnmG//sucB//polB//accA//allE//ynfF//
HU_pos	
HcaR_neg	
HcaR_pos	gatD//entH//
HdfR_neg	
HdfR_pos	
HigA_neg	ycjG//
HigB-HigA_neg	lsrK//
HipAB_neg	entE//leuB//
HipB_neg	rpiB//amn//rutE//
HyfR_pos	tdcG//
HypT_neg	ssuE//fabZ//
HypT_pos	napC//gntK//lyxK//glpK//fabA//
IclR_neg	paaE//hcaB//wzc//
IdnR_neg	sgbU//guaB//
IdnR_pos	lldD//astC//melA//metK//
IlvY_neg	
IlvY_pos	trpB//
IscR_neg	lyxK//poxB//wzc//moeA//
IscR_pos	napH//acnA//
KdgR_neg	cadA//nrfC//
KdpE_pos	entC//
LacI_neg	xylA//pgpC//purA//
LeuO_neg	
LeuO_pos	patD//sdhA//ycjG//rffT//glcB//serA//
LexA_neg	entA//gabT//xylA//uxaB//phnO//dkgA//accB//accA//puuE//gltB//purB//moeA//nanE//glxR//ftsI//hcaE//hcaC//luxS//dmsB//fabA//glcE//
LldR_neg	fau//tpiA//
LldR_pos	metF//hcaF//
LrhA_neg	
LrhA_pos	
LsrR_neg	ulaD//tdcB//paaZ//pgk//gnd//
LysR_neg	
LysR_pos	nrfA//
MalI_neg	cyoE//eno//
MalT_pos	fabA//garR//nrfB//sdhB//waaZ//ynfH//
MarA_neg	pyrD//
MarA_pos	pck//gor//carB//pfkA//tnaA//psd//paaJ//glgX//icd//ttdA//astB//lhgO//murC//gutQ//rhaB//paaZ//gnd//katG//nanM//lhgO//guaA//gutQ//
MarR_neg	
MatA_neg	gabT//
MatA_pos	
MazE-MazF_neg	nrfC//
MazE_neg	atoB//
McbR_neg	
McbR_pos	
MelR_neg	luxS//ddlB//
MelR_pos	fabA//glxK//
MetJ_neg	glgP//torA//ilvC//alaC//alkA//fabD//fadI//iscS//cyoE//ppc//
MetR_neg	aldA//
MetR_pos	citE//ppiA//wzc//dmsC//
MhpR_pos	ldtC//chbG//mhpB//pncB//rimK//citE//
Mlc_neg	katG//murC//ubiC//mdh//
MlrA_pos	rutD//
MngR_neg	alaC//uxaC//
MntR_neg	puuE//
MntR_pos	srlD//
ModE_neg	glk//oxc//leuA//pdeH//astB//tauD//bioB//glyA//
ModE_pos	ada//argA//rhaA//aceE//prpD//cysG//
MprA_neg	kbaY//mnmG//tdcE//
MqsA_neg	glxK//rhaB//
MraZ_neg	murI//napB//lpxA//lpd//aspC//hemH//ftnA//dhaK//cysI//rutA//ruvA//
MtlR_neg	fabH//uxuB//pheT//
MurR_neg	galK//ppiA//idnD//
MurR_pos	
Nac_neg	rfe//asnA//puuE//
Nac_pos	prpE//pgaC//phnL//lsrG//purL//rffC//argB//
NadR_neg	yeaG//ppc//dmsA//idnO//
NagC_neg	accC//galT//gcvH//hycC//hycB//gltD//ynfH//fabZ//glpB//alkA//gudD//malQ//narH//frdA//tyrB//galE//pykF//add//
NagC_pos	glmU//ulaF//
NanR_neg	glyA//fabH//mngB//gabT//rffH//nanE//
NanR_pos	
NarL_neg	metF//alaC//purB//garL//accC//uvrC//adhE//paaY//relA//puuC//allD//hycB//gpmM//caiC//dinB//moaA//moaD//fadJ//aroF//accD//rhaD//trpB//glcD//ppc//
NarL_pos	sdhC//gatZ//astC//edd//napG//hemH//ulaG//gadA//purD//gpmA//uvrB//rpiB//mazG//
NarP_neg	glk//rutE//dmsA//
NarP_pos	murF//nrfD//malP//acnA//fadB//ynfE//argA//cyoE//tdcG//ubiC//
NemR_neg	fabD//citX//
NhaR_pos	caiD//cysN//napG//tdcD//pdeH//
NikR_neg	sgbU//
NimR_neg	tdcD//
NorR_neg	
NorR_pos	citC//
NrdR_neg	murC//asnA//mhpA//pck//
NsrR_neg	napC//fucO//fadD//ychF//fabH//acnA//fadI//cynS//frdD//moeA//ilvC//pykF//mnmG//cysI//citD//puuA//sucD//luxS//tktB//cysM//nrdF//uxuA//nadB//nrfA//xylB//sodA//talA//nfsA//lsrF//narH//hcaC//glcE//xapA//metA//purL//uxaC//
NtrC_neg	mhpA//araA//
NtrC_pos	metF//dhaM//fabB//fabD//entE//citE//pyrC//edd//leuC//metL//dkgB//purE//mtlD//phnH//hcp//deoB//gnd//glnA//paaB//asnB//carB//
OmpR_neg	psd//hemL//hyi//waaZ//gcl//
OmpR_pos	argH//yfdE//glpX//sgbU//
OxyR_neg	patA//pnp//rutD//ndh//hcaE//
OxyR_pos	caiC//waaY//malQ//ndh//murF//galK//metA//idnD//aroG//
PaaX_neg	garL//atoB//leuB//ppiA//ybjG//mngB//caiD//pagP//mazG//
PdeL_pos	caiA//
PdhR_neg	uvrC//adhE//cysD//ychF//leuC//tdcE//fucU//entE//phoA//dmsC//glpQ//ugpQ//hycD//ahpC//ribA//pgaD//caiC//lhgO//argA//allB//pgaB//lldD//adhE//idnD//
PdhR_pos	argG//atoB//
PepA_neg	gltB//mhpF//
PgrR_neg	bioF//bioC//
PhoB_neg	fabI//tdcB//tam//napA//
PhoB_pos	argE//nrdF//gapA//mhpB//fadI//torC//dinB//srlD//poxB//tadA//mltF//purE//umuC//tynA//ynfE//astB//
PhoP_neg	garR//umpH//prpD//
PhoP_pos	melA//hcaE//mpl//prpC//allB//uidA//glgB//uxaA//srlD//phnO//sucA//ddlB//mltF//narH//fabZ//idnK//cysC//dkgA//astB//pgk//lysA//betA//metK//nirB//murF//astC//dapB//deoB//napA//mtlD//rbsK//ruvA//
PrpR_neg	
PrpR_pos	cysN//fabD//nanK//uxaC//
PspF_neg	
PspF_pos	aroF//
PurR_neg	gadA//rutC//cadA//alaS//eno//pnp//lldD//rffG//epd//fucK//ubiX//pdeH//polA//fes//tauD//hycF//hyaA//deoD//tdcB//citX//ogt//metK//pdeH//ftsI//chbG//dhaM//
PutA_neg	alsE//phnL//
PuuR_neg	lacA//lpxA//sdhC//mhpA//gcvT//tktB//
QseB_pos	
RbsR_neg	dmsA//gudD//metF//glgC//glxK//
RbsR_pos	moeB//
RcdA_neg	
RcdA_pos	aceB//
RclR_pos	
RcnR_neg	sucA//
RcsAB_neg	nadA//
RcsAB_pos	citC//glgC//
RcsB-BglJ_pos	glyA//uvrA//
RcsB_neg	hycE//
RcsB_pos	cysE//metF//lysC//
RelB-RelE_neg	rutD//
RelB_neg	pgaC//
RhaR_pos	
RhaS_pos	argD//gadA//fadB//acnB//
Rob_neg	
Rob_pos	aceF//fadE//phnN//mraY//ulaD//allD//rffH//fabA//glpC//sdhA//puuB//galK//tnaA//rffG//glmU//betB//leuD//uxuA//paaG//
RstA_neg	dgkA//mngB//
RstA_pos	argA//
RtcR_pos	lldD//umuD//
RutR_neg	argA//ugpQ//folA//malS//ogt//ybaS//tyrB//zwf//ulaG//nfsB//
RutR_pos	gatY//
SdiA_neg	
SdiA_pos	
SgrR_neg	ulaG//
SgrR_pos	tpiA//citG//
SlyA_pos	
SoxR_neg	
SoxR_pos	phoA//
SoxS_neg	
SoxS_pos	metH//ldtC//lsrK//paaJ//glnA//gpmM//malY//nrfA//prpE//nadB//pyrD//pgaC//glnA//fes//ddlB//moaD//entD//hypF//lpxC//lysA//rffT//nirD//guaA//glnA//leuD//entH//
StpA_neg	luxS//prpD//prpE//
SutR_neg	amn//phnL//
SutR_pos	
TdcA_pos	cysM//oxc//speA//pgpC//rhaB//
TdcR_pos	prpC//pgpC//nrfA//sodA//sucC//
TorR_neg	rffG//
TorR_pos	ruvA//fau//allE//
TreR_neg	pncB//mazG//
TrpR_neg	moeA//aspA//deoC//alkB//fadJ//alaS//prpE//allC//putA//
TyrR_neg	fbaA//caiC//rbsD//caiA//yfdE//allE//phnJ//
TyrR_pos	betA//metA//uxuB//
UhpA_pos	fadD//
UidR_neg	tam//narI//
UlaR_neg	luxS//ampC//gcvP//mpl//talA//
UvrY_pos	atoB//metA//
UxuR_neg	allA//hycD//pspE//pgi//tadA//
XapR_pos	aldA//ybjG//
XylR_neg	
XylR_pos	relA//citX//gloA//
YdeO_neg	
YdeO_pos	aspA//hyaC//betA//
YedW_neg	fadJ//nfsA//
YedW_pos	citD//
YefM-YoeB_neg	glk//
YefM_neg	fadI//
YehT_pos	
YeiL_pos	
YiaJ_neg	hycF//glk//sgbE//glpX//ssuE//paaC//
YjjQ_neg	aroH//
YpdB_pos	
YqhC_pos	acnA//rsmH//
YqjI_neg	slt//
ZntR_pos	hypF//
ZraR_pos	
Zur_neg	metB//
