# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	uidA//astB//
HU_pos	
HcaR_neg	
HcaR_pos	purB//eno//
HdfR_neg	
HdfR_pos	
HigA_neg	yeaE//
HigB-HigA_neg	paaI//
HipAB_neg	murQ//metC//
HipB_neg	astD//pgaB//pgm//
HyfR_pos	putA//
HypT_neg	fes//paaK//
HypT_pos	dinB//dapB//melA//ldtB//ychF//
IclR_neg	glcB//galK//deoA//
IdnR_neg	glpX//nanE//
IdnR_pos	ssuE//dkgB//napA//alkA//
IlvY_neg	
IlvY_pos	dapD//
IscR_neg	malY//mazG//cysE//pagP//
IscR_pos	entC//cadA//
KdgR_neg	malY//purD//
KdpE_pos	garD//
LacI_neg	gcvH//moaA//sgbU//
LeuO_neg	
LeuO_pos	katG//gadA//ribA//treC//argC//waaZ//
LexA_neg	narH//puuA//alaS//bglB//waaH//add//dgkA//mhpD//nrdE//purE//glxR//ynfF//entC//bioC//rbsD//glpD//bioC//ung//argC//galE//waaH//
LldR_neg	entB//leuC//
LldR_pos	purB//acnA//
LrhA_neg	
LrhA_pos	
LsrR_neg	argC//tam//narH//entD//fbaA//
LysR_neg	
LysR_pos	uxaA//
MalI_neg	glgB//uvrB//
MalT_pos	idnO//mazG//cysM//nrdA//cysE//uvrB//
MarA_neg	nrdB//
MarA_pos	astE//pykF//rutD//frdB//caiC//astB//ldtB//argI//pdeR//metA//purC//acnB//nanE//oxc//aceF//tdcD//fabA//pflB//ynfG//hycF//paaE//wecC//
MarR_neg	
MatA_neg	ppsA//
MatA_pos	
MazE-MazF_neg	allD//
MazE_neg	purA//
McbR_neg	
McbR_pos	
MelR_neg	glpQ//lldD//
MelR_pos	malQ//cynS//
MetJ_neg	rdoA//ulaE//purM//galE//nrdD//sgbU//trpC//trpB//lsrK//edd//
MetR_neg	malS//
MetR_pos	galE//paaE//wzb//malS//
MhpR_pos	ulaE//sucC//glmU//deoA//fabD//fadD//
Mlc_neg	metK//nemA//ppc//uxaB//
MlrA_pos	aspC//
MngR_neg	asnA//puuE//
MntR_neg	entH//
MntR_pos	cysH//
ModE_neg	relA//asnB//hyaB//slt//mngB//dhaL//treC//aroH//
ModE_pos	citC//pgaB//gltD//xapA//ddlB//lysC//
MprA_neg	tyrA//malQ//gatY//
MqsA_neg	fabZ//rfe//
MraZ_neg	accB//lpxD//slt//gcvH//paaE//fucU//allB//argH//hyaB//asnA//atoA//
MtlR_neg	napB//uidA//bacA//
MurR_neg	purF//glgB//argB//
MurR_pos	
Nac_neg	hcaF//glpB//sdhD//
Nac_pos	arsC//alkB//nirB//nanK//phnI//tehB//idnK//
NadR_neg	pdeR//tehB//lacA//cysG//
NagC_neg	gudD//accD//glnA//malP//narI//bioC//murQ//argE//fadB//citX//citG//glxK//cysD//argF//aroL//sdhA//nfsA//trpD//
NagC_pos	moaD//purK//
NanR_neg	codA//glgP//yqjH//narH//moaA//cadA//
NanR_pos	
NarL_neg	arsC//phnM//puuE//fabD//nadA//glcD//appA//relA//polB//nanE//ttdB//sgbE//bioC//waaH//cysH//mazG//malZ//kbaZ//pgm//glmU//uxaA//icd//entH//idnK//
NarL_pos	katG//accD//nanA//hcp//fucO//sucD//cysG//dapB//deoC//glpQ//fadB//aceE//chbF//
NarP_neg	nfsB//glmU//fadA//
NarP_pos	gpmM//dapB//paaY//narH//alaS//paaK//cysJ//lpxD//puuD//entE//
NemR_neg	alkA//fbaA//
NhaR_pos	sdhC//phnH//gudD//cueO//ubiC//
NikR_neg	sodB//
NimR_neg	phnG//
NorR_neg	
NorR_pos	glcE//
NrdR_neg	galM//rhaA//kbaZ//yiaK//
NsrR_neg	narH//ftsI//poxB//nadA//tyrB//fabI//glpC//eda//feaB//add//lacA//nanK//purB//ldtB//epd//pyrC//fadI//cysD//frdC//speB//mltF//ynfG//speB//frdC//araB//oxc//tdcG//hycB//sdhC//adiA//ubiC//adiA//tauD//edd//recF//nrdE//
NtrC_neg	kbaZ//uvrB//
NtrC_pos	fucK//frdC//gadA//tdcG//ubiC//entC//ahpC//glxK//lacA//recF//ybjG//allE//rnpB//wecC//lpxD//malY//ybaS//caiA//ftsI//fabD//idnO//
OmpR_neg	citD//citX//nagA//aldA//citG//
OmpR_pos	pncB//fabA//nemA//fabG//
OxyR_neg	glcF//prpC//uxaB//frdA//wecB//
OxyR_pos	ynfH//glyA//gatY//nrdE//argG//tyrB//garR//yeaG//glgB//
PaaX_neg	paaB//mhpE//katE//rbsK//caiA//phnI//pdeR//folE//nrdB//
PdeL_pos	purK//
PdhR_neg	treC//pagP//epd//idnK//dhaK//idnO//napB//galK//purL//gntK//metB//pdeR//puuA//betA//allB//ynfG//treC//fadD//udp//lacA//metB//murI//alkB//astB//
PdhR_pos	idnD//glmS//
PepA_neg	fucA//nrfA//
PgrR_neg	fabH//allB//
PhoB_neg	citE//ribA//galM//uxuA//
PhoB_pos	cysM//gadA//deoB//paaA//rhaA//rutC//caiB//ubiX//pfkA//purM//pgi//fumC//rutD//frdA//phnM//aceE//
PhoP_neg	atoD//ssuE//ulaE//
PhoP_pos	nadB//hmp//ribA//glgC//speB//rutD//frc//rhaD//trpA//ldtC//glcE//lpxA//metC//nrdF//malY//murE//allC//luxS//murE//nanE//glgX//metL//deoA//gatZ//puuC//fabB//cynS//purD//glpQ//sdhB//bglB//cysD//
PrpR_neg	
PrpR_pos	dapD//allE//carB//tyrB//
PspF_neg	
PspF_pos	pgi//
PurR_neg	nagB//carB//mdh//fucO//rimK//fabA//ung//glpQ//ulaE//glgX//tynA//mhpD//paaK//bioB//ddlB//argC//napH//carA//ddlB//dmsB//polA//rsmH//bioF//yqjH//phnP//tam//
PutA_neg	speA//murF//
PuuR_neg	bioB//moaE//fadM//bioC//waaH//gcvH//
QseB_pos	
RbsR_neg	hycB//rbsD//ulaF//talA//caiA//
RbsR_pos	ahpC//
RcdA_neg	
RcdA_pos	ybaS//
RclR_pos	
RcnR_neg	ogt//
RcsAB_neg	ppsA//
RcsAB_pos	atoA//pheT//
RcsB-BglJ_pos	talA//carA//
RcsB_neg	gadB//
RcsB_pos	oxc//ascB//lhgO//
RelB-RelE_neg	sgbE//
RelB_neg	rimK//
RhaR_pos	
RhaS_pos	leuC//glyA//nrdA//sucD//
Rob_neg	
Rob_pos	purB//astD//napH//nanM//rhaA//narH//astB//metK//entC//polA//entE//umuD//garR//rffC//gcvH//rpiB//gcvT//polB//adiA//
RstA_neg	hycD//citE//
RstA_pos	citC//
RtcR_pos	aceB//serA//
RutR_neg	fdhF//glpB//uxaA//sdhD//pgaD//wzc//caiB//allE//puuB//putA//
RutR_pos	uidA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ahpC//
SgrR_pos	nrdA//metL//
SlyA_pos	
SoxR_neg	
SoxR_pos	allD//
SoxS_neg	
SoxS_pos	dkgA//cueO//eno//wzb//fbaB//ulaG//napG//allC//lacA//argD//caiC//tpiA//mdh//ynfE//galT//murE//cynS//phoA//ychF//garR//lsrG//nfsA//pspE//zwf//glgC//betB//
StpA_neg	ynfE//phnP//hyaB//
SutR_neg	argD//mtlD//
SutR_pos	
TdcA_pos	puuB//malZ//mdh//atoD//glpK//
TdcR_pos	paaI//fadD//sdhD//entF//tynA//
TorR_neg	katE//
TorR_pos	glpC//murG//patA//
TreR_neg	mnmG//hypF//
TrpR_neg	lpxD//alaS//alkB//pdeH//astC//purF//tyrB//rffH//phnM//
TyrR_neg	uxaC//bioD//add//aroH//betB//glmU//ubiC//
TyrR_pos	accC//accC//hemL//
UhpA_pos	tadA//
UidR_neg	sgbU//fabB//
UlaR_neg	gatZ//cyoE//nagA//purM//trpB//
UvrY_pos	sucC//wrbA//
UxuR_neg	umpH//mltF//phnI//frdB//purC//
XapR_pos	fabB//trpD//
XylR_neg	
XylR_pos	pgk//xapA//astD//
YdeO_neg	
YdeO_pos	glcE//gudD//narG//
YedW_neg	aceE//pflB//
YedW_pos	paaG//
YefM-YoeB_neg	patD//
YefM_neg	paaH//
YehT_pos	
YeiL_pos	
YiaJ_neg	glxK//fadB//tpiA//narH//glpB//wzb//
YjjQ_neg	ubiX//
YpdB_pos	
YqhC_pos	napA//rffT//
YqjI_neg	rhaB//
ZntR_pos	nrdE//
ZraR_pos	
Zur_neg	uxaB//
