# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ahpF//deoD//
IlvY_neg	
IlvY_pos	cysN//
IscR_neg	ilvC//paaC//tpiA//melA//
IscR_pos	hyaB//metA//
KdgR_neg	aroG//phoA//
KdpE_pos	narG//
LacI_neg	murG//ulaD//pgk//
LeuO_neg	
LeuO_pos	metB//ubiA//glk//dmsB//trpE//lpxC//
LexA_neg	frc//ulaE//astE//yqhD//nrfD//glyA//talA//paaZ//fadM//pepD//recF//aspA//pgaC//galT//lacZ//waaZ//lsrK//deoD//garL//rhaA//rffG//
LldR_neg	nanM//glgB//
LldR_pos	ulaD//wzb//
LrhA_neg	
LrhA_pos	
LsrR_neg	araD//narG//fumB//ychF//fumB//
LysR_neg	
LysR_pos	pheS//
MalI_neg	ubiX//sufS//
MalT_pos	eno//prpE//puuB//glcB//nadA//cdd//
MarA_neg	phnM//
MarA_pos	frc//fbaB//phnL//srlD//trpE//citC//cysC//nanA//fabG//ruvB//pdeH//bioB//dgcC//carB//yeaG//allE//argA//argI//hypF//sucD//fbaA//paaC//
MarR_neg	
MatA_neg	alkB//
MatA_pos	
MazE-MazF_neg	fadD//
MazE_neg	galT//
McbR_neg	
McbR_pos	
MelR_neg	frdC//adhE//
MelR_pos	paaA//caiB//
MetJ_neg	wecC//hypF//tdcG//paaC//gdhA//alkB//torA//ftnA//lsrF//lpxA//
MetR_neg	gadB//
MetR_pos	malP//dapB//rutE//mhpB//
MhpR_pos	trpE//tdcD//alaC//arsC//mhpF//sdhC//
Mlc_neg	ung//pnp//dsdA//purK//
MlrA_pos	tpiA//
MngR_neg	astC//narG//
MntR_neg	malP//
MntR_pos	mhpB//
ModE_neg	ubiA//gltB//citX//cysE//hypF//lyxK//tadA//idnK//
ModE_pos	pagP//frdB//tktB//argG//nagB//alsE//
MprA_neg	katG//idnK//pdeR//
MqsA_neg	frdC//pykF//
MraZ_neg	moaD//citF//metK//metF//pheS//uxaB//napC//ppiA//glxK//wrbA//aceE//
MtlR_neg	umuD//lysC//malY//
MurR_neg	yibQ//citD//phnM//
MurR_pos	
Nac_neg	argI//alaS//allC//
Nac_pos	guaA//nanA//moaA//ldtB//garL//moeB//argA//
NadR_neg	waaZ//ada//murE//betB//
NagC_neg	pdeR//dhaL//idnO//yeaG//nanE//dkgA//acnA//pgaD//gpmA//rffG//pgm//aceB//fbaA//feaB//bioB//astD//glgC//ychF//
NagC_pos	citF//gpmM//
NanR_neg	ulaD//leuB//trpE//hmp//serA//argE//
NanR_pos	
NarL_neg	sdhA//yqhD//sgbE//araD//ybjG//fdhF//mhpE//uxaC//sodA//wzc//gcl//ppsA//glxK//napG//alsE//argF//hycG//paaA//cdd//gcvH//lyxK//ubiC//aceB//accD//
NarL_pos	prpD//malQ//alkA//pdeR//malP//guaA//cysJ//glxK//gapA//cysI//ascB//ampC//lpxA//
NarP_neg	nrdA//pagP//paaI//
NarP_pos	entB//rutD//purC//xylA//narI//lacA//srlD//speB//leuA//rffC//
NemR_neg	hcaE//sgbE//
NhaR_pos	prpB//dmsB//speB//garK//glgP//
NikR_neg	rnpB//
NimR_neg	ftsI//
NorR_neg	
NorR_pos	alkB//
NrdR_neg	allB//sdhA//rnpB//bacA//
NsrR_neg	nrfC//galK//tktB//ulaD//fabH//murQ//pdeR//purM//xapA//paaG//mhpF//ddlB//fabB//fucO//fadJ//recF//atoB//dmsA//fabD//lsrF//tadA//dhaL//leuD//malP//ogt//ddlB//gcvH//yibQ//dkgB//tehB//astD//ribA//uvrB//malS//fadB//hycE//
NtrC_neg	dhaK//frdB//
NtrC_pos	glk//sucC//astB//idnK//dapD//glgB//hycE//caiA//metC//mnmG//napG//sgbE//aceF//malS//putA//uvrA//gapA//dapD//entC//phnG//patD//
OmpR_neg	allC//betA//dgcC//tam//pflB//
OmpR_pos	ddlB//glmU//nrfC//yfdE//
OxyR_neg	yqhD//glpD//glmS//uxaC//udp//
OxyR_pos	ulaE//prpD//ppiA//sodB//truB//sucD//mhpE//adiA//glyA//
PaaX_neg	hemH//argI//citC//leuC//ung//glpX//fucK//bacA//phnO//
PdeL_pos	yibQ//
PdhR_neg	dhaL//pnp//uidA//lpd//wecC//rffC//lpxD//moeB//tehB//cysH//rffG//hcaD//lacA//pgk//tyrB//ruvB//napA//lacZ//purM//purK//rutD//cysD//uidA//citD//
PdhR_pos	bglB//nagB//
PepA_neg	allA//hcaE//
PgrR_neg	folA//puuA//
PhoB_neg	paaF//dkgB//hcp//atoB//
PhoB_pos	purD//add//frdB//betB//metA//sdhD//nrdF//fadB//rutC//phnJ//leuA//adhE//glpC//ahpF//epd//pheT//
PhoP_neg	guaB//rimK//sgbU//
PhoP_pos	yeaE//rhaB//glk//uvrC//aceA//pheS//sucB//pck//uxaB//argF//ugpQ//ubiX//atoA//cysM//bioB//xylB//entB//fau//metL//treC//sdhD//yfbR//entB//gltD//murE//glgB//tyrB//dgkA//fadA//patD//paaG//gabD//
PrpR_neg	
PrpR_pos	ruvA//cynT//ynfF//cysD//
PspF_neg	
PspF_pos	moaA//
PurR_neg	rutB//citC//paaJ//pncB//ogt//gabD//fruK//aspA//fau//moeB//hcaB//ogt//chbF//bioB//ampC//puuA//tdcG//hycD//gudD//gor//psd//ssuD//rffG//lpd//dhaM//umpH//
PutA_neg	gor//mtlD//
PuuR_neg	phnO//feaB//nfsA//uxuA//gcvH//sdhA//
QseB_pos	
RbsR_neg	fabA//glcE//pncB//tadA//fabZ//
RbsR_pos	bioA//
RcdA_neg	
RcdA_pos	pgpC//
RclR_pos	
RcnR_neg	dgcC//
RcsAB_neg	dgkA//
RcsAB_pos	ssuE//fabD//
RcsB-BglJ_pos	fabZ//sdhC//
RcsB_neg	glcF//
RcsB_pos	murC//citD//phnN//
RelB-RelE_neg	ampC//
RelB_neg	lhgO//
RhaR_pos	
RhaS_pos	rhaB//hmp//bacA//ruvB//
Rob_neg	
Rob_pos	talA//pgm//fabA//pgk//ahpC//glpD//dgcZ//glpK//murQ//rsmH//katE//relA//metE//garR//dinB//uxuA//accD//gltD//glcD//
RstA_neg	folE//slt//
RstA_pos	mazG//
RtcR_pos	fumC//ulaE//
RutR_neg	purN//purE//relA//hycG//ulaF//alsE//nanM//ascB//ulaG//leuB//
RutR_pos	fau//
SdiA_neg	
SdiA_pos	
SgrR_neg	gatZ//
SgrR_pos	argG//alsE//
SlyA_pos	
SoxR_neg	
SoxR_pos	uxaA//
SoxS_neg	
SoxS_pos	polB//sgbH//nrdD//mhpE//acnA//sgbH//serA//ubiA//nirD//sufS//lyxK//puuB//purD//gutQ//edd//atoA//gloA//pflB//mhpB//wecC//gor//ftnA//araA//waaY//malQ//phnO//
StpA_neg	bioF//ascB//uxaB//
SutR_neg	mhpC//purM//
SutR_pos	
TdcA_pos	aldA//idnO//uvrC//idnK//talA//
TdcR_pos	rhaA//fucK//astE//idnK//guaA//
TorR_neg	lpxD//
TorR_pos	tktB//cysJ//polB//
TreR_neg	ahpF//phnG//
TrpR_neg	glpQ//murQ//edd//bioC//malZ//rdoA//paaA//rutC//araB//
TyrR_neg	aroL//accD//mhpE//phnI//dhaL//glgB//rutE//
TyrR_pos	gutQ//entF//ubiA//
UhpA_pos	hyi//
UidR_neg	nrfB//argH//
UlaR_neg	murQ//gnd//aceF//ttdB//speA//
UvrY_pos	ldtC//pck//
UxuR_neg	codA//paaC//galK//hycF//fucI//
XapR_pos	torA//phnI//
XylR_neg	
XylR_pos	hemH//nanM//glcF//
YdeO_neg	
YdeO_pos	glpK//nanK//ubiC//
YedW_neg	glcB//purM//
YedW_pos	eda//
YefM-YoeB_neg	rutC//
YefM_neg	aceE//
YehT_pos	
YeiL_pos	
YiaJ_neg	gcl//aspA//cysG//lpd//gcl//pagP//
YjjQ_neg	garK//
YpdB_pos	
YqhC_pos	treC//ldtC//
YqjI_neg	mhpA//
ZntR_pos	cynT//
ZraR_pos	
Zur_neg	yfbR//
