# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	asnA//fes//
CpxR_pos	ribA//gltB//fadA//wzc//glgX//frdA//bioC//metC//astD//gcvP//iscS//garD//dkgA//bioA//fadM//fbaA//aspC//deoB//
Cra_neg	argA//sodB//pck//fadA//allB//entF//entA//cysD//nrdE//lyxK//fadI//pyrC//betA//pdeL//nrdF//astD//rffC//epd//dmsB//gadB//allA//tpiA//garL//glpQ//hcp//phnL//purH//murQ//araB//bacA//eno//glmU//ppiA//moaA//glyA//pflB//sdhB//nagB//nrfC//glyA//nrdF//hcaB//mhpA//cysK//ftsI//aceB//
Cra_pos	uvrC//purK//gltB//purH//udp//uidA//asnB//pykF//paaJ//paaJ//gutQ//katE//malY//ulaE//ttdB//entA//patD//
CreB_neg	glxR//
CreB_pos	tynA//
CsgD_neg	gcvP//yqjH//
CsgD_pos	pyrC//hyaC//mhpB//
CsiR_neg	gatY//bioF//yeaE//purN//
CspA_pos	rutC//
CueR_neg	murG//oxc//
CueR_pos	lpxA//caiC//
CusR_pos	murE//glpQ//phnO//
CynR_neg	
CynR_pos	nrdF//mhpF//citF//
CysB_neg	fruK//glpB//ttdB//
CysB_pos	paaZ//lpxD//lhgO//rpiB//dhaK//ldtB//lsrG//dhaK//murE//pheS//napB//glpD//garL//thrS//metL//
CytR_neg	mhpE//puuB//atoA//sdhB//citX//ascB//zwf//malP//hcaC//dkgB//
Dan_pos	gloA//argG//
DcuR_pos	glcB//lpxD//narH//gltD//
DeoR_neg	ahpF//ttdB//allA//hemL//ubiA//entD//
DhaR_neg	
DhaR_pos	ubiC//
DicA_neg	
DinJ-YafQ_neg	carA//
DnaA_neg	lpd//mpaA//dhaK//phnJ//dkgA//
DnaA_pos	nagB//sdhB//lldD//
DpiA_neg	
DpiA_pos	ung//nadB//hycF//rffG//pyrD//
DsdC_neg	
DsdC_pos	fumB//mhpC//
EbgR_neg	
EnvR_neg	puuB//paaF//
EnvY_pos	uvrB//hypF//
EvgA_pos	folA//gadA//ampC//fabB//dgcZ//bacA//
ExuR_neg	hyaB//kbaZ//pgi//mnmG//lpxC//nanK//
FabR_neg	ribA//dapB//
FadR_neg	paaI//alsE//truB//tnaA//nanE//ynfG//dkgB//sucA//glcB//
FadR_pos	tyrA//rffT//dgcZ//lysA//iscS//fruK//phnI//fabZ//ybjG//
FeaR_pos	ruvB//umuD//
FhlA_pos	phnO//glmS//ldtC//metA//bioB//pck//lysC//
FlhDC_neg	trpA//metK//
FlhDC_pos	fabI//ynfH//ubiX//galM//fucK//glgP//wecC//tadA//appA//
FliZ_neg	sodA//arsC//puuB//accB//rhaB//
FucR_pos	folA//nrdF//hycD//umpH//sodA//tehB//
Fur_neg	pgm//fabZ//entH//mpl//wzc//paaI//sucD//leuD//fruK//argE//gor//malS//pgaC//glgB//tynA//chbF//ddlB//acnA//gor//tam//fruK//hyaB//ugpQ//fabG//dgkA//glnA//rffH//narG//argG//bioB//mazG//hycC//srlD//sucB//pgk//araB//acnA//fabH//mhpB//cyoE//metH//rffH//purB//asnB//iscS//fbaA//ada//murF//gabD//aroL//appA//wzb//rffT//guaA//
Fur_pos	murC//uvrB//gpmA//pyrD//eda//aldA//fadI//metB//cysH//galK//uvrB//gadA//mhpE//mngB//katE//katG//rhaA//
GadE-RcsB_pos	acnB//paaB//mhpA//ybaS//
GadE_pos	aceB//xapA//cysG//gatY//aroH//paaG//moaE//ftsI//yqjH//hycF//
GadW_neg	xapA//purC//mngB//
GadW_pos	ubiX//cysK//tktB//ppsA//
GadX_neg	appA//xylB//
GadX_pos	serA//rbsD//fabA//yqjH//nadA//metF//rsmH//nadA//argF//ung//
GalR_neg	aroG//pgaC//ppsA//idnD//hcaF//gpmA//
GalR_pos	dhaL//fabB//sodA//tnaA//
GalS_neg	psd//fadA//rutE//rutB//nrfB//bioA//
GalS_pos	accD//leuA//astE//ahpC//
GatR_neg	ppiA//ychF//rffC//
GcvA_neg	cysN//talA//uxaA//
GcvA_pos	accA//hcaC//napH//
GlcC_neg	
GlcC_pos	galE//nanM//trpA//
GlpR_neg	prpC//gltB//glcD//ppsA//tyrB//metA//araB//
GlrR_pos	
GntR_neg	gcvT//nagA//tdcD//hypB//fumC//waaH//bglB//ndh//ilvC//
GutM_pos	kbaY//ycjG//prpC//
GutR_neg	metF//nfsA//mdh//
HU_neg	atoB//araA//metA//purK//nanA//aroH//bacA//
HU_pos	
HcaR_neg	
HcaR_pos	pheT//galM//
HdfR_neg	
HdfR_pos	
HigA_neg	aceB//
HigB-HigA_neg	speA//
HipAB_neg	murQ//udp//
HipB_neg	purC//hycD//frdD//
HyfR_pos	pgm//
HypT_neg	guaB//nrdB//
HypT_pos	yeaE//wecC//lpxA//zwf//gatZ//
IclR_neg	citX//cdd//purD//
IdnR_neg	paaG//fdhF//
IdnR_pos	hyaC//ppsA//wzb//glpX//
IlvY_neg	
IlvY_pos	leuD//
IscR_neg	hycB//wecC//nanM//dmsC//
IscR_pos	pykF//mhpB//
KdgR_neg	hcaE//feaB//
KdpE_pos	caiA//
LacI_neg	ogt//paaI//dhaM//
LeuO_neg	
LeuO_pos	amn//puuE//ldtC//fadI//rutB//rnpB//
LexA_neg	malS//citC//lldD//glpD//pdeH//metL//allD//tyrA//gatY//hycC//napA//caiB//gabT//napA//guaB//guaB//gpmA//cysG//trpE//purF//hycD//
LldR_neg	gcl//sdhC//
LldR_pos	fes//lsrF//
LrhA_neg	
LrhA_pos	
LsrR_neg	metC//trpE//talA//cyoE//ahpF//
LysR_neg	
LysR_pos	gnd//
MalI_neg	ppiA//argI//
MalT_pos	ssuE//paaA//dacC//ssuE//cysE//ttdB//
MarA_neg	fadB//
MarA_pos	gcvP//icd//umuC//cysK//deoC//thrS//purF//hycF//yfbR//adhE//uxuB//gor//citC//sgbH//fadJ//aspC//kbaZ//frdD//nrfC//deoA//paaI//dsdA//
MarR_neg	
MatA_neg	rbsK//
MatA_pos	
MazE-MazF_neg	sdhD//
MazE_neg	iscS//
McbR_neg	
McbR_pos	
MelR_neg	rutC//yfbR//
MelR_pos	gcl//frdC//
MetJ_neg	tktB//ppc//kbaZ//rbsD//ybjG//puuA//citC//metH//citF//hcp//
MetR_neg	fadI//
MetR_pos	malY//hemL//uvrA//ynfG//
MhpR_pos	waaZ//frc//nrfB//gudD//ubiX//wzb//
Mlc_neg	ogt//fucA//uxaC//pheS//
MlrA_pos	sucD//
MngR_neg	dgkA//lhgO//
MntR_neg	carB//
MntR_pos	trpE//
ModE_neg	iscS//bioA//nirD//alkB//puuA//yeaE//cyoE//cynT//
ModE_pos	patA//hcp//garR//metE//murF//gatY//
MprA_neg	moeA//argC//epd//
MqsA_neg	asnA//murQ//
MraZ_neg	dkgB//metF//ttdB//accB//dkgA//cynS//rffT//torA//glpB//leuC//mpl//
MtlR_neg	thrS//hemL//umuC//
MurR_neg	hyi//cysD//sucC//
MurR_pos	
Nac_neg	metB//pnp//ychF//
Nac_pos	pyrC//cysN//argD//araD//trpA//rnpB//nanK//
NadR_neg	argF//xapA//fruK//hycC//
NagC_neg	ssuE//glpK//cdd//paaF//yeaG//nrdF//lpd//uvrC//ruvA//aspA//cysE//paaY//ampC//aroG//trpD//ddlB//truB//allA//
NagC_pos	rnpB//gcl//
NanR_neg	add//aceF//uxaA//hyi//fabA//argF//
NanR_pos	
NarL_neg	prpC//pgk//phnH//rutD//phnG//pfkA//nfsA//putA//entA//cysC//mdh//pflB//argB//metK//carA//mhpF//mltF//phoA//narH//ulaE//citC//xylA//fucO//rutB//
NarL_pos	lhgO//tktB//rbsK//puuA//gpmM//tpiA//uxaB//treC//sodB//pheS//waaH//aldA//cdd//
NarP_neg	paaI//recF//puuE//
NarP_pos	wecC//puuA//wecC//nemA//nrfB//glxR//paaB//lpd//mltF//amn//
NemR_neg	fabB//arsC//
NhaR_pos	icd//patD//paaF//rutD//ndh//
NikR_neg	hemH//
NimR_neg	cadA//
NorR_neg	
NorR_pos	mhpC//
NrdR_neg	puuC//guaA//eno//cysI//
NsrR_neg	srlD//melA//cysK//rhaB//gabT//lldD//paaE//paaK//astB//phnG//lhgO//kbaY//argG//thrS//argE//mraY//dinB//fadM//citF//dhaK//paaC//oxc//hmp//puuA//kbaZ//aroF//yfdE//phnH//fadA//trpC//ung//sgbH//moeA//glgC//glgP//metB//
NtrC_neg	fabA//hypB//
NtrC_pos	bioD//glpB//fadI//paaZ//rffT//gadB//uvrA//cysE//yeaE//mnmG//ttdA//narI//argB//phnN//argD//paaG//purL//argD//araB//tynA//nadB//
OmpR_neg	aroH//polA//gatZ//polB//metH//
OmpR_pos	yqhD//deoD//ilvC//entF//
OxyR_neg	gabT//nfsA//deoC//lsrG//pepD//
OxyR_pos	acnA//ynfE//prpB//paaE//moaE//lpxA//fadE//uxaB//mraY//
PaaX_neg	ada//poxB//yeaE//tam//pncB//relA//hcaE//wecB//umuC//
PdeL_pos	bglB//
PdhR_neg	glgC//metL//entB//ttdA//fabZ//glpB//nanE//mpl//srlD//guaB//mnmG//purA//aroF//torA//zwf//garR//nrdD//idnO//alaC//puuA//rutC//ada//phr//arsC//
PdhR_pos	prpB//sdhD//
PepA_neg	uvrB//recF//
PgrR_neg	paaK//hyaA//
PhoB_neg	fadH//ascB//garD//dgcC//
PhoB_pos	eno//napH//fabA//bglB//ldtC//napB//cynS//uvrB//pfkA//entB//paaC//sdhC//mngB//atoB//mdh//sdhA//
PhoP_neg	purF//entH//gdhA//
PhoP_pos	glgC//iscS//uvrA//purN//fabB//ascB//fruK//nrfD//torA//allC//gatD//sgbH//mpaA//rutE//allA//yqhD//lpd//idnD//rffH//fes//eno//leuA//guaB//nagB//fadI//lhgO//sdhB//tdcE//pheS//napC//fadB//wecC//
PrpR_neg	
PrpR_pos	accD//allB//hemH//eda//
PspF_neg	
PspF_pos	leuA//
PurR_neg	rutE//galT//nrfB//dmsA//araB//speA//phnI//araD//tdcG//cueO//aroF//hemH//frc//pgaD//hyi//bioD//murG//frdA//betB//torC//lldD//aroH//astA//aroF//bioB//gdhA//
PutA_neg	garR//hyi//
PuuR_neg	recF//carB//argC//nanE//purE//glcB//
QseB_pos	
RbsR_neg	ttdA//yqhD//sufS//acnB//paaY//
RbsR_pos	purE//
RcdA_neg	
RcdA_pos	citF//
RclR_pos	
RcnR_neg	waaH//
RcsAB_neg	tdcE//
RcsAB_pos	glgA//fadI//
RcsB-BglJ_pos	pnp//lpxA//
RcsB_neg	yeaE//
RcsB_pos	cyoE//galT//umpH//
RelB-RelE_neg	hycD//
RelB_neg	glcD//
RhaR_pos	
RhaS_pos	astA//lhgO//ftnA//prpE//
Rob_neg	
Rob_pos	ycjG//yiaK//napG//phnM//paaB//nirB//fes//moeB//patA//dmsA//puuB//rnpB//prpB//mhpF//rhaB//gcvP//malZ//cysG//ldtB//
RstA_neg	glcB//ldtD//
RstA_pos	pgk//
RtcR_pos	gabT//moeB//
RutR_neg	tyrA//tnaA//lpd//metA//dsdA//hypF//fadJ//atoD//ndh//gatY//
RutR_pos	fabA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ycjG//
SgrR_pos	rfe//ssuE//
SlyA_pos	
SoxR_neg	
SoxR_pos	citF//
SoxS_neg	
SoxS_pos	narI//lysC//melA//hypF//prpD//tadA//rutE//sdhB//frdD//uxaA//tehB//pflB//add//cueO//cysE//rffM//allA//yfbR//alkB//mpl//pgk//gnd//gloA//nirD//prpC//astA//
StpA_neg	pyrD//ruvA//nanM//
SutR_neg	codA//hemL//
SutR_pos	
TdcA_pos	fadE//napC//tdcE//trpA//hypB//
TdcR_pos	mdh//glmU//aroG//citF//kbaY//
TorR_neg	rhaD//
TorR_pos	phnP//ruvB//caiB//
TreR_neg	phnG//nadA//
TrpR_neg	melA//sdhB//psd//wecB//nanE//caiB//adiA//rffM//pheT//
TyrR_neg	prpD//lsrF//mltF//mazG//paaK//alkA//paaZ//
TyrR_pos	cysI//moeB//ubiX//
UhpA_pos	speB//
UidR_neg	uvrB//pnp//
UlaR_neg	ynfH//fadD//hcaF//adiA//waaY//
UvrY_pos	dgcC//garL//
UxuR_neg	nanK//purE//puuC//slt//dmsA//
XapR_pos	cysC//hyaB//
XylR_neg	
XylR_pos	ampC//umuD//wecB//
YdeO_neg	
YdeO_pos	murE//fabA//carA//
YedW_neg	murI//dhaK//
YedW_pos	mhpF//
YefM-YoeB_neg	murE//
YefM_neg	metE//
YehT_pos	
YeiL_pos	
YiaJ_neg	uvrC//fadE//fdhF//tyrB//cysM//icd//
YjjQ_neg	rutD//
YpdB_pos	
YqhC_pos	citF//alkA//
YqjI_neg	tynA//
ZntR_pos	ppsA//
ZraR_pos	
Zur_neg	fadI//
