# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	psd//nrdD//
Cra_neg	cysH//paaI//cysD//fruK//cyoE//uxaA//citX//hycF//prpE//malZ//pfkA//nrdE//xylB//ogt//guaB//uvrB//metF//glgC//metC//mhpB//yqhD//pdeH//glxK//hcaD//thrS//phnG//add//trpD//eno//cysI//nirD//waaZ//lsrF//gnd//purC//hyaA//metF//mhpE//trpB//kbaY//caiC//glmU//fadB//gatY//fucO//sdhA//
Cra_pos	phoA//cysN//fabA//nagB//aceA//deoA//rbsK//mhpB//xylB//murC//mltF//frdC//entE//truB//alaS//poxB//hcp//
CreB_neg	ldtC//
CreB_pos	pspE//
CsgD_neg	glpK//glnA//
CsgD_pos	asnB//gloA//glcB//
CsiR_neg	leuD//ynfF//sdhD//deoA//
CspA_pos	glcF//
CueR_neg	rfe//ynfH//
CueR_pos	rpiB//cynS//
CusR_pos	sdhD//mltF//glpA//
CynR_neg	
CynR_pos	katG//paaJ//lsrK//
CysB_neg	ahpC//sdhB//glpX//
CysB_pos	oxc//tyrA//fucO//purF//waaH//citX//tdcE//ybaS//hypF//tktB//ynfF//add//dacC//ung//deoA//
CytR_neg	trpB//cadA//torC//ampC//folE//trpE//paaB//sdhC//citE//mhpE//
Dan_pos	bioC//nrdD//
DcuR_pos	ycjG//hcaD//purF//mltF//
DeoR_neg	mhpF//idnK//garK//epd//entH//pdeH//
DhaR_neg	
DhaR_pos	pgi//
DicA_neg	
DinJ-YafQ_neg	aspC//
DnaA_neg	nfsA//argH//entB//trpC//betA//
DnaA_pos	ynfG//asnB//aceB//
DpiA_neg	
DpiA_pos	sdhC//araB//entC//sodB//mltF//
DsdC_neg	
DsdC_pos	glpK//fabI//
EbgR_neg	
EnvR_neg	galE//napA//
EnvY_pos	murQ//uvrA//
EvgA_pos	uxaC//waaH//mtlD//rffC//nrfB//aroF//
ExuR_neg	ssuD//lacA//ilvC//gltD//leuD//glpD//
FabR_neg	gcvH//speA//
FadR_neg	puuE//fucO//zwf//alsE//hycD//alaS//ubiA//phoA//pnp//
FadR_pos	murC//aspC//uxuB//tyrA//cyoE//betA//hycB//paaY//pepD//
FeaR_pos	moaD//gnd//
FhlA_pos	kbaY//pdeL//truB//puuA//hyi//lpxD//dapD//
FlhDC_neg	tauD//mngB//
FlhDC_pos	hmp//glgP//polA//aspC//atoB//wzc//uxaB//eda//argF//
FliZ_neg	kbaZ//sgbU//dkgA//narI//ynfH//
FucR_pos	xapA//citG//yeaG//sucA//puuD//waaH//
Fur_neg	pflB//ldtD//gltD//hycC//alaS//puuD//hycF//bioA//argA//dhaM//folE//phr//purB//trpB//pheT//guaA//puuB//gntK//ndh//fabI//gloA//sucD//gatZ//phnI//aroL//cdd//ubiX//ynfG//murC//mhpA//cysK//alaC//polB//fucA//aroG//nrdD//deoD//dinB//idnK//uxaA//glcF//truB//mltF//fadM//rhaD//nrdD//ugpQ//aldA//citX//mazG//hyi//fadB//dapB//metL//
Fur_pos	rimK//paaJ//gadB//rbsD//ahpF//xylB//metF//nadB//thrS//ahpC//phnL//arsC//nrfB//dmsB//entF//prpB//ung//
GadE-RcsB_pos	astC//yfdE//mdh//sucB//
GadE_pos	rhaA//lacA//tpiA//fadA//mngB//purM//nrfA//ilvC//yfdE//metA//
GadW_neg	ftnA//alaS//mhpD//
GadW_pos	moaD//aroF//poxB//gcvP//
GadX_neg	sdhA//paaY//
GadX_pos	paaC//speB//galK//citG//napH//fabD//tdcD//fau//atoB//tyrA//
GalR_neg	wrbA//araB//glmS//nagA//dinB//ftnA//
GalR_pos	hcaD//murC//rnpB//leuD//
GalS_neg	prpB//nrdF//ppsA//galK//cysH//paaJ//
GalS_pos	lhgO//citD//pagP//glcB//
GatR_neg	eda//trpE//ulaD//
GcvA_neg	nrdD//puuC//citF//
GcvA_pos	cysE//glcD//ybjG//
GlcC_neg	
GlcC_pos	ampC//gutQ//galE//
GlpR_neg	bioB//acnB//purL//cyoE//allE//gatY//tynA//
GlrR_pos	
GntR_neg	cyoE//fucO//ftsI//fes//nadB//asnA//lacZ//metC//narH//
GutM_pos	gor//purA//hypF//
GutR_neg	mhpD//pdeR//purK//
HU_neg	astB//aroF//patD//torA//ftsI//fucA//ugpQ//
HU_pos	
HcaR_neg	
HcaR_pos	nrfC//glgA//
HdfR_neg	
HdfR_pos	
HigA_neg	ychF//
HigB-HigA_neg	accD//
HipAB_neg	malY//cynT//
HipB_neg	gltD//yfdE//murD//
HyfR_pos	gudD//
HypT_neg	lyxK//mltF//
HypT_pos	kbaY//nadB//treC//gltB//pck//
IclR_neg	dsdA//accA//pgaC//
IdnR_neg	ppc//hcp//
IdnR_pos	sucD//glgX//frdC//pgi//
IlvY_neg	
IlvY_pos	paaC//
IscR_neg	tpiA//fruK//caiD//pnp//
IscR_pos	bioF//narG//
KdgR_neg	edd//folA//
KdpE_pos	purL//
LacI_neg	dgcC//glgX//katG//
LeuO_neg	
LeuO_pos	cysG//purC//alkB//tdcG//fadH//tdcB//
LexA_neg	argI//pgaC//puuC//pgk//slt//kbaZ//lsrG//narH//phnM//pck//astC//ung//pgaC//truB//pyrC//puuC//paaJ//mhpC//prpB//leuD//speB//
LldR_neg	nrdB//codA//
LldR_pos	deoB//malQ//
LrhA_neg	
LrhA_pos	
LsrR_neg	idnO//pgaC//ruvB//sgbH//alaS//
LysR_neg	
LysR_pos	argE//
MalI_neg	trpB//purH//
MalT_pos	polA//nadB//gcvP//feaB//treC//lysC//
MarA_neg	cadA//
MarA_pos	poxB//frdB//phoA//alkA//yiaK//sdhA//murQ//tktB//gutQ//glcB//glpC//ycjG//puuD//cysG//nrfA//ldtC//gatD//garL//rffH//sucC//wrbA//ychF//
MarR_neg	
MatA_neg	gadA//
MatA_pos	
MazE-MazF_neg	putA//
MazE_neg	uxuA//
McbR_neg	
McbR_pos	
MelR_neg	moeA//cysJ//
MelR_pos	malY//fadE//
MetJ_neg	mnmG//ppiA//mraY//glpB//thrS//mhpD//ascB//ynfH//glmS//paaE//
MetR_neg	sucD//
MetR_pos	ynfG//aldA//hcaB//citG//
MhpR_pos	gpmA//lpxC//ddlB//bioD//mazG//putA//
Mlc_neg	lpxD//guaA//cysM//cysE//
MlrA_pos	sucC//
MngR_neg	nirB//sucC//
MntR_neg	aldA//
MntR_pos	cdd//
ModE_neg	glgA//cysE//atoB//nemA//ppsA//hcaB//mhpF//ddlB//
ModE_pos	chbF//arsC//tktB//rutE//ynfH//narG//
MprA_neg	glcD//ddlB//rnpB//
MqsA_neg	xylB//katG//
MraZ_neg	mhpD//galK//malZ//ruvA//nrfB//pyrD//prpC//paaZ//argI//narG//garL//
MtlR_neg	treC//mpl//eno//
MurR_neg	kbaY//fes//nirD//
MurR_pos	
Nac_neg	phnH//napB//cysN//
Nac_pos	glpA//guaB//hcaC//cyoE//moaD//wrbA//napH//
NadR_neg	cysN//cysJ//hcp//murE//
NagC_neg	uxuA//mhpF//mhpF//metL//entC//glnA//feaB//cdd//idnD//tdcB//rffC//luxS//nrfC//leuD//citD//hypB//argF//alaS//
NagC_pos	fabG//malS//
NanR_neg	dhaK//purN//glpC//fabD//paaI//polB//
NanR_pos	
NarL_neg	gor//prs//tdcD//xapA//malZ//phoA//puuD//dkgA//accA//ycjG//sucA//gltD//rutC//rhaD//cueO//moaD//waaH//arsC//pgpC//ftsI//pncB//astC//torC//alsE//
NarL_pos	nemA//purF//cadA//umpH//ugpQ//ynfH//sodA//glcD//gltB//rffC//paaE//purH//phnL//
NarP_neg	fabA//galK//thrS//
NarP_pos	mpaA//gapA//dmsC//tehB//nirD//polB//gcvP//recF//umpH//cynT//
NemR_neg	polB//fabZ//
NhaR_pos	entD//carB//gltD//hycG//hcaC//
NikR_neg	galT//
NimR_neg	mdh//
NorR_neg	
NorR_pos	dmsB//
NrdR_neg	pgaC//cueO//glcF//astC//
NsrR_neg	aldA//hyaB//lacZ//rnpB//malY//aspA//fadB//citE//rffM//murE//accC//pyrC//glnA//hcaD//hycE//ubiA//moeB//kbaY//fau//purM//gadB//rffG//ppsA//astC//leuD//dmsA//fabI//nrdB//cysJ//cyoE//pck//ubiA//galT//bioB//aroG//aroH//
NtrC_neg	ftnA//rdoA//
NtrC_pos	tynA//ldtD//fadJ//gpmM//nrfC//aroG//glgA//aceA//narH//allC//oxc//chbF//allC//ahpF//pspE//bioA//treC//ftnA//uxaB//tdcE//pck//
OmpR_neg	nrfB//ampC//glgX//sodA//rfe//
OmpR_pos	glgX//puuA//fabI//ynfH//
OxyR_neg	phnI//sdhC//acnB//citF//malP//
OxyR_pos	lysA//astC//allE//fes//aroG//entH//paaJ//amn//fes//
PaaX_neg	pdeH//atoA//prs//lldD//feaB//hycD//accB//uvrB//lsrK//
PdeL_pos	kbaY//
PdhR_neg	lpd//malQ//bioB//rpiB//rffG//galK//glgP//lldD//hyi//entA//rimK//argA//pheT//gor//fadI//rhaD//pheT//napG//gatD//aroF//rsmH//phnJ//argB//fadM//
PdhR_pos	frdB//leuA//
PepA_neg	ubiC//garD//
PgrR_neg	gloA//wzc//
PhoB_neg	pgpC//gapA//fadA//galM//
PhoB_pos	nirD//zwf//cysH//idnD//epd//mazG//dkgA//gadB//sucB//talA//cysK//lysC//uvrB//tktB//bioF//bioF//
PhoP_neg	codA//fabG//sgbU//
PhoP_pos	accA//trpE//pyrC//gapA//hyi//xylA//prpE//wzb//ybjG//cdd//pheS//nfsA//cadA//pgaB//paaB//idnD//aceA//ppsA//purA//nrdF//phnH//tdcD//feaB//rbsK//entB//rbsD//acnB//yqjH//guaB//betB//cysJ//nadB//
PrpR_neg	
PrpR_pos	gatZ//hcaC//murF//aroF//
PspF_neg	
PspF_pos	lacA//
PurR_neg	rsmH//ahpF//pykF//puuC//cysJ//waaH//frdD//accC//astB//chbG//hyaA//cysG//yeaG//rbsK//dhaK//nrfD//gcvP//astD//dhaK//nadB//phnP//folE//mhpF//gltD//fabH//hycC//
PutA_neg	bioD//glpK//
PuuR_neg	phnH//glgC//rfe//rutB//paaY//entH//
QseB_pos	
RbsR_neg	pyrD//bacA//glgX//pspE//umuC//
RbsR_pos	fabH//
RcdA_neg	
RcdA_pos	cynS//
RclR_pos	
RcnR_neg	tdcE//
RcsAB_neg	ndh//
RcsAB_pos	rffC//tauD//
RcsB-BglJ_pos	glxK//entH//
RcsB_neg	rbsD//
RcsB_pos	astD//nrdF//cdd//
RelB-RelE_neg	hcp//
RelB_neg	phnJ//
RhaR_pos	
RhaS_pos	lpxA//argA//pgaB//hcaB//
Rob_neg	
Rob_pos	aroF//cueO//fumC//glpK//ssuE//dsdA//oxc//ulaF//tynA//ubiC//carA//araD//idnD//rpiB//murE//torA//deoB//glpB//ynfG//
RstA_neg	wecB//feaB//
RstA_pos	amn//
RtcR_pos	garR//dapB//
RutR_neg	gatZ//dinB//tdcD//gadA//napB//gcvT//nanE//yeaG//ubiA//tdcG//
RutR_pos	hcaD//
SdiA_neg	
SdiA_pos	
SgrR_neg	slt//
SgrR_pos	tadA//uxuB//
SlyA_pos	
SoxR_neg	
SoxR_pos	napC//
SoxS_neg	
SoxS_pos	torC//gpmA//mnmG//araD//hypF//nrfB//purA//entE//hemL//tam//purM//leuB//glyA//argB//katE//murF//dmsA//tynA//fucK//metB//allD//gltD//fadB//hycB//waaH//metL//
StpA_neg	fumB//icd//lsrK//
SutR_neg	fdhF//lysA//
SutR_pos	
TdcA_pos	gdhA//frdD//hyaA//folA//dhaM//
TdcR_pos	xylB//trpD//tpiA//nrfD//polA//
TorR_neg	citD//
TorR_pos	rffG//phnL//citC//
TreR_neg	citE//cysN//
TrpR_neg	glcD//purB//tehB//gadA//tpiA//glmU//paaY//nagA//gltB//
TyrR_neg	napC//eno//tyrA//ybjG//carA//dgkA//ssuD//
TyrR_pos	amn//cynS//ssuE//
UhpA_pos	lpxC//
UidR_neg	deoD//ynfE//
UlaR_neg	wzb//mngB//nrdB//cynS//fabB//
UvrY_pos	gabD//pdeL//
UxuR_neg	uxuA//gor//nanK//luxS//idnO//
XapR_pos	sgbU//tam//
XylR_neg	
XylR_pos	hycD//rimK//fbaB//
YdeO_neg	
YdeO_pos	aroF//appA//allD//
YedW_neg	argB//gnd//
YedW_pos	metE//
YefM-YoeB_neg	paaY//
YefM_neg	nrfB//
YehT_pos	
YeiL_pos	
YiaJ_neg	ogt//tdcD//fes//rffT//alkA//pyrD//
YjjQ_neg	pdeH//
YpdB_pos	
YqhC_pos	idnK//poxB//
YqjI_neg	garL//
ZntR_pos	trpA//
ZraR_pos	
Zur_neg	srlD//
