# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	hycB//metE//
MalI_neg	yeaE//rbsD//
MalT_pos	yqjH//araD//hyi//appA//fabG//fau//
MarA_neg	gnd//
MarA_pos	entH//fabZ//uxuB//caiA//malP//uvrC//hcaF//bioD//ftsI//entF//mhpF//dkgA//glpA//alaS//alkA//icd//frdB//hcaC//paaA//metB//dacC//dgcZ//
MarR_neg	
MatA_neg	entB//
MatA_pos	
MazE-MazF_neg	oxc//
MazE_neg	araB//
McbR_neg	
McbR_pos	
MelR_neg	metF//sgbE//
MelR_pos	mhpC//speB//
MetJ_neg	lsrK//gltB//gapA//argF//fbaA//hcaF//entF//cysD//arsC//nrfB//
MetR_neg	phnH//
MetR_pos	deoB//nanE//argE//metA//
MhpR_pos	metL//asnB//uxaC//moaE//sdhA//pgk//
Mlc_neg	fau//metA//hcaF//pgaD//
MlrA_pos	torA//
MngR_neg	fes//fadA//
MntR_neg	fucI//
MntR_pos	patD//
ModE_neg	galE//fadB//gcvP//ulaE//cysN//rffH//lyxK//tynA//
ModE_pos	malY//umuC//ogt//paaF//prpC//gatD//
MprA_neg	glgP//entE//pagP//
MqsA_neg	gltB//udp//
MraZ_neg	ttdA//eno//hyi//pyrC//uvrB//lpxA//nrfD//pgaD//bioF//purC//gor//
MtlR_neg	argC//cyoE//paaI//
MurR_neg	hcaD//pheT//folA//
MurR_pos	
Nac_neg	hcaF//phnO//fumC//
Nac_pos	alkA//nagA//atoB//katE//argE//fadI//fadI//
NadR_neg	rhaD//nadB//ilvC//glpC//
NagC_neg	kbaZ//uvrC//hcaF//metE//entD//gudD//gabT//glcF//dhaL//yeaG//leuD//ndh//garK//cyoE//ulaF//hcaC//purK//aceA//
NagC_pos	glpB//nanA//
NanR_neg	nrdA//glcE//gcvT//gloA//nanE//dhaL//
NanR_pos	
NarL_neg	glcE//astE//pheS//argH//pgaB//ftsI//nirD//frdA//malS//cysM//ogt//malP//fruK//rutB//sucC//rutE//waaY//tktB//ssuE//ruvA//nrfC//narH//sufS//rhaB//
NarL_pos	allC//purB//uxuB//prpB//ubiX//malZ//rpiB//dmsC//gcl//frdC//allB//pgaD//atoD//
NarP_neg	appA//srlD//gutQ//
NarP_pos	ubiC//ulaF//rutC//guaA//uxaB//rutA//tdcE//mraY//moaE//wecC//
NemR_neg	polB//entH//
NhaR_pos	dmsC//lpxC//phr//dgcZ//lpxA//
NikR_neg	asnA//
NimR_neg	leuD//
NorR_neg	
NorR_pos	nrdF//
NrdR_neg	entD//nrfC//rhaA//trpD//
NsrR_neg	nadB//citX//phnH//glpK//citX//pck//mdh//cysD//dmsB//nrfD//metB//zwf//cynS//citX//napA//ogt//araB//umuD//rfe//gatD//pdeR//paaI//aroF//metK//ubiA//argC//umuD//cysC//napC//fadI//ugpQ//pheT//pykF//paaI//gpmM//katG//
NtrC_neg	rutE//lsrG//
NtrC_pos	pflB//glyA//narH//wrbA//fbaB//srlD//recF//araA//lacZ//pdeH//cysG//fadI//luxS//allC//allA//lsrF//uxaB//ung//pspE//fadD//melA//
OmpR_neg	pnp//aceF//glmS//mhpC//sucB//
OmpR_pos	pspE//umuC//ulaF//hcaD//
OxyR_neg	yqhD//speB//gcvT//purE//ttdA//
OxyR_pos	leuA//glcF//deoC//appA//aspC//ldtB//lsrF//hmp//malY//
PaaX_neg	moaE//nagB//lsrK//metE//dmsC//yfbR//paaH//bacA//fadD//
PdeL_pos	mdh//
PdhR_neg	glpA//lpxA//alkA//fadA//murE//patD//aspA//accB//malY//phnN//dapD//murF//xapA//murG//pncB//bioD//metF//purK//pdeR//purF//phnJ//umuC//paaB//ttdA//
PdhR_pos	pagP//fabD//
PepA_neg	ttdA//alkA//
PgrR_neg	hypB//tdcD//
PhoB_neg	gutQ//bioF//pck//hycF//
PhoB_pos	alaC//ybjG//galK//uxuA//puuA//aroH//tpiA//oxc//hycC//aceB//rffT//paaH//narH//nrdA//pdeH//frc//
PhoP_neg	moaA//lpxA//ascB//
PhoP_pos	hyaA//rutE//cueO//hycD//nanK//hycC//rutA//sucB//ndh//rpiB//fumC//gltB//cueO//bglB//alaC//gatY//ndh//trpA//ftsI//glpB//argD//moaA//nfsA//nrdB//tpiA//folE//polA//pdeL//citE//garL//ynfE//paaG//
PrpR_neg	
PrpR_pos	lsrG//nrfC//ahpF//lpxA//
PspF_neg	
PspF_pos	rimK//
PurR_neg	moeA//murG//alkA//ampC//uxaC//uxaC//entF//luxS//ldtB//hcp//nagA//accD//pykF//uxuA//fabH//pdeH//leuB//sucC//ahpC//gatY//hmp//pyrD//purE//phnH//fabI//pgaC//
PutA_neg	sucA//dsdA//
PuuR_neg	cysG//cyoE//nirB//gloA//sdhC//pykF//
QseB_pos	
RbsR_neg	glk//alaS//patA//accD//rutE//
RbsR_pos	phnN//
RcdA_neg	
RcdA_pos	mhpC//
RclR_pos	
RcnR_neg	narI//
RcsAB_neg	mnmG//
RcsAB_pos	fadI//pepD//
RcsB-BglJ_pos	lsrG//sdhB//
RcsB_neg	sgbU//
RcsB_pos	murE//glpD//gatZ//
RelB-RelE_neg	argA//
RelB_neg	waaH//
RhaR_pos	
RhaS_pos	argG//napA//cysD//hycF//
Rob_neg	
Rob_pos	entA//xylB//metF//deoA//gpmM//adhE//glpA//hycE//leuD//lpxA//dmsC//pheS//fes//nanK//pfkA//mazG//bioA//mngB//tynA//
RstA_neg	yiaK//mazG//
RstA_pos	gor//
RtcR_pos	glnA//mhpE//
RutR_neg	galM//uvrB//phnM//argH//gor//folA//hcp//chbF//umpH//ycjG//
RutR_pos	puuB//
SdiA_neg	
SdiA_pos	
SgrR_neg	glgA//
SgrR_pos	citG//glpX//
SlyA_pos	
SoxR_neg	
SoxR_pos	lacA//
SoxS_neg	
SoxS_pos	dmsA//ttdB//argE//pyrD//rpiB//hypB//carA//rpiB//nrdA//luxS//cysN//gcvP//speA//aceB//napA//lsrF//lpd//carA//uxaC//polA//dacC//gcvT//mnmG//phnN//purL//argG//
StpA_neg	nrfD//ychF//hyaB//
SutR_neg	cysM//leuD//
SutR_pos	
TdcA_pos	phnJ//alsE//nanK//fadH//astE//
TdcR_pos	cadA//pfkA//mnmG//melA//hcaB//
TorR_neg	tyrB//
TorR_pos	alaC//pdeH//nrdD//
TreR_neg	rhaD//ldtD//
TrpR_neg	umuD//aceF//entH//aroH//rsmH//atoD//trpA//lldD//mhpA//
TyrR_neg	cysE//glgA//accC//alaS//pyrD//fadE//dacC//
TyrR_pos	atoD//glmU//malP//
UhpA_pos	ilvC//
UidR_neg	glpC//napA//
UlaR_neg	ttdB//glcF//lpd//ogt//rbsD//
UvrY_pos	fabA//hcaE//
UxuR_neg	alaC//napA//glcD//fbaB//aldA//
XapR_pos	cynS//mpl//
XylR_neg	
XylR_pos	patA//frdA//hcaB//
YdeO_neg	
YdeO_pos	lpxD//atoD//leuA//
YedW_neg	aceB//gcl//
YedW_pos	hypB//
YefM-YoeB_neg	uxaB//
YefM_neg	pdeR//
YehT_pos	
YeiL_pos	
YiaJ_neg	rutC//allC//pheT//rnpB//lacZ//murF//
YjjQ_neg	appA//
YpdB_pos	
YqhC_pos	astA//hycE//
YqjI_neg	gatY//
ZntR_pos	pagP//
ZraR_pos	
Zur_neg	metB//
