# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ascB//sucC//
DicA_neg	
DinJ-YafQ_neg	fadH//
DnaA_neg	fadH//rhaB//pagP//rutD//gcvH//
DnaA_pos	arsC//pnp//argG//
DpiA_neg	
DpiA_pos	cdd//argF//umpH//araD//garD//
DsdC_neg	
DsdC_pos	aroG//hcaB//
EbgR_neg	
EnvR_neg	garK//yfbR//
EnvY_pos	araA//pagP//
EvgA_pos	pagP//waaY//tynA//ndh//pgk//fabH//
ExuR_neg	adhE//glk//glxK//paaF//glgC//arsC//
FabR_neg	pykF//dapD//
FadR_neg	atoD//yqjH//garR//pncB//pyrD//deoD//lhgO//ada//aroF//
FadR_pos	garL//paaB//cysK//gor//uxaB//mhpF//luxS//purC//caiB//
FeaR_pos	deoD//nrdD//
FhlA_pos	mhpD//paaA//purH//fadJ//rhaA//citX//tdcG//
FlhDC_neg	adhE//paaB//
FlhDC_pos	ulaD//betA//yeaG//malP//ynfF//glmU//dinB//hycE//hypF//
FliZ_neg	nrdD//wzc//rhaA//ynfE//rhaB//
FucR_pos	purK//fucU//alkA//ribA//fabG//gpmM//
Fur_neg	paaA//hycG//argF//cysG//putA//dapB//speB//purC//mnmG//pgaC//nadA//wrbA//fadB//metC//caiA//metH//waaH//pdeR//nadA//sgbH//murQ//puuB//icd//cysI//ulaG//bioD//uvrB//purM//cysK//leuD//tyrB//aceB//yiaK//narG//aceA//mpaA//glpB//argF//deoB//ilvC//purE//nrdB//mhpC//pagP//pfkA//rutE//aroL//argB//chbG//ulaD//fucI//dgcZ//uxaA//truB//
Fur_pos	murE//rimK//hyi//glpB//glcE//dhaL//gcvT//hypB//lacZ//rffC//fadI//fbaA//pheS//nagA//ulaD//ulaE//cysC//
GadE-RcsB_pos	alsE//galT//glmU//lyxK//
GadE_pos	asnB//hycE//ulaG//polB//purD//ruvA//araD//atoA//sucB//bioD//
GadW_neg	pgm//moaE//lsrK//
GadW_pos	tadA//rutE//narH//mhpA//
GadX_neg	glgA//cueO//
GadX_pos	yqjH//glmS//galE//nrdB//galT//phoA//gpmM//prpE//fabA//hcaF//
GalR_neg	moeA//rhaA//waaZ//napB//uvrC//pck//
GalR_pos	bioD//pheT//aroH//napG//
GalS_neg	galM//ilvC//udp//oxc//gntK//paaE//
GalS_pos	citG//yiaK//rhaA//moaD//
GatR_neg	glpD//napC//xylA//
GcvA_neg	yqjH//astA//galE//
GcvA_pos	moaE//pykF//rutB//
GlcC_neg	
GlcC_pos	nrdF//uxaB//argA//
GlpR_neg	patA//wzb//rutA//moaD//phnM//hcp//caiA//
GlrR_pos	
GntR_neg	sucA//sucD//pspE//gadA//fau//nagB//atoB//paaH//fau//
GutM_pos	lacA//tdcB//hcaC//
GutR_neg	fadD//astD//ugpQ//
HU_neg	caiC//dkgB//hycE//fucU//glpB//allC//aceB//
HU_pos	
HcaR_neg	
HcaR_pos	ahpC//ftnA//
HdfR_neg	
HdfR_pos	
HigA_neg	idnO//
HigB-HigA_neg	pspE//
HipAB_neg	mhpE//hcaE//
HipB_neg	talA//yqjH//nrdA//
HyfR_pos	aroL//
HypT_neg	ybaS//gpmA//
HypT_pos	prs//ubiA//waaH//nrdB//lysC//
IclR_neg	yeaE//sdhC//yfbR//
IdnR_neg	glcD//sgbH//
IdnR_pos	gpmM//cysE//nrdB//metE//
IlvY_neg	
IlvY_pos	nrfB//
IscR_neg	pheS//sdhC//purL//xapA//
IscR_pos	sodB//trpB//
KdgR_neg	alsE//cysN//
KdpE_pos	pepD//
LacI_neg	gcvP//pepD//rbsK//
LeuO_neg	
LeuO_pos	citF//mhpE//alsE//rutA//allE//rnpB//
LexA_neg	fbaB//gpmM//hycC//bioD//citC//icd//purB//nagB//pgi//frdB//xapA//alsE//phnN//pyrD//argC//trpB//fadE//mhpD//rnpB//hycB//dsdA//
LldR_neg	dinB//sufS//
LldR_pos	aroH//napH//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrfB//lsrK//argC//phnI//epd//
LysR_neg	
LysR_pos	entB//
MalI_neg	uxaB//cynT//
MalT_pos	cysE//ahpF//phnO//araA//fucO//kbaY//
MarA_neg	purK//
MarA_pos	pgpC//astE//tam//gatY//fadH//sdhB//puuB//nrdA//hyaA//cysK//argH//hcp//hycG//dsdA//sucA//napG//kbaY//pheS//purM//napH//acnA//ulaG//
MarR_neg	
MatA_neg	sucD//
MatA_pos	
MazE-MazF_neg	umuC//
MazE_neg	guaA//
McbR_neg	
McbR_pos	
MelR_neg	dgcZ//malP//
MelR_pos	cynT//entE//
MetJ_neg	katE//fabG//slt//hyaA//fucK//fadH//allE//accB//glcE//mazG//
MetR_neg	ogt//
MetR_pos	nrdD//phnP//pgaB//purK//
MhpR_pos	citX//rbsK//trpE//betB//ynfF//torC//
Mlc_neg	paaG//mhpF//glpB//nagB//
MlrA_pos	gpmA//
MngR_neg	yiaK//glyA//
MntR_neg	atoA//
MntR_pos	puuD//
ModE_neg	ppiA//phnO//argB//ppiA//lysA//tadA//garD//yfdE//
ModE_pos	mltF//ilvC//glcF//fabD//glgP//frdD//
MprA_neg	phnI//rffG//pgpC//
MqsA_neg	paaI//pykF//
MraZ_neg	cysG//yeaE//feaB//gapA//sodA//mhpE//purF//gntK//lpxD//alaS//argB//
MtlR_neg	rhaD//caiA//atoB//
MurR_neg	ahpF//nrdA//iscS//
MurR_pos	
Nac_neg	yiaK//murD//gcl//
Nac_pos	glcB//paaY//entB//nanA//fabG//ulaE//moaD//
NadR_neg	gloA//tdcD//lpxD//glmS//
NagC_neg	rsmH//aceE//pagP//rbsD//ulaE//argC//aroL//frdC//glcD//prpE//fumB//nrdD//fabB//hyi//fabG//metC//ogt//fbaA//
NagC_pos	phnJ//ynfG//
NanR_neg	ribA//wecC//alkA//waaY//bioF//nadB//
NanR_pos	
NarL_neg	eda//fabH//galM//truB//accB//narG//pheS//murF//fucU//deoB//dmsC//ttdA//argE//murE//rhaB//asnA//phnJ//yqhD//dmsA//ttdB//tyrB//cdd//cysJ//metF//
NarL_pos	ppsA//trpA//astD//aceF//citF//galM//cysE//gadA//lsrK//uxaB//paaB//fruK//hycE//
NarP_neg	paaB//uxuA//nirB//
NarP_pos	glmS//relA//rbsD//hcaD//mhpD//hycB//dsdA//cysN//ahpF//fucK//
NemR_neg	tktB//mhpE//
NhaR_pos	allB//rimK//idnO//ascB//folE//
NikR_neg	lsrK//
NimR_neg	entA//
NorR_neg	
NorR_pos	argE//
NrdR_neg	metK//prpD//hyaB//argE//
NsrR_neg	cysK//iscS//araD//speA//hycB//entD//allD//speB//dgcZ//hycF//bioA//glxR//glgP//garR//fadH//leuB//sucD//bioF//leuB//xapA//mhpC//ung//ndh//purF//chbG//torC//ulaE//fabB//sucA//gdhA//murG//epd//cysJ//glgB//gpmA//ybjG//
NtrC_neg	ilvC//xylA//
NtrC_pos	uvrC//sufS//phoA//mhpB//accA//purM//ilvC//psd//accA//gdhA//lacZ//hypF//sodA//umpH//dkgA//pyrC//gltB//hycE//rffM//ugpQ//fadA//
OmpR_neg	hycG//yfdE//rhaD//katE//lacA//
OmpR_pos	paaY//epd//ung//accC//
OxyR_neg	ubiA//ulaF//accA//sgbU//fadH//
OxyR_pos	pepD//allC//garR//metC//frdD//murG//garD//bioA//paaH//
PaaX_neg	puuE//torA//gapA//pheT//glk//gloA//speA//phnN//gadA//
PdeL_pos	gabT//
PdhR_neg	glpB//tdcG//frc//waaZ//pck//asnA//nrfA//garD//murQ//gltB//ssuE//pgi//cysN//trpC//allC//lpxA//garD//phr//patA//dmsB//araB//phoA//ddlB//napG//
PdhR_pos	katG//fabA//
PepA_neg	sufS//glpQ//
PgrR_neg	mpl//ung//
PhoB_neg	gatD//leuC//wrbA//deoD//
PhoB_pos	gdhA//fucA//rpiB//fadM//iscS//hycC//alsE//umuC//dmsC//cueO//bioA//pck//garR//asnA//accA//fadB//
PhoP_neg	pheT//purL//fucK//
PhoP_pos	fumB//glmU//araD//mpl//gadB//moeA//ycjG//ynfF//tehB//galK//dgcZ//oxc//dapD//nadA//tdcB//mraY//cynT//add//prpE//paaK//ada//rutA//napA//dgkA//ubiX//uxaC//hemL//dmsC//galM//astD//katE//galT//
PrpR_neg	
PrpR_pos	atoD//deoD//murG//nirD//
PspF_neg	
PspF_pos	prpC//
PurR_neg	tdcB//pck//ynfG//idnK//chbF//lyxK//garK//chbG//glcE//phr//nanA//iscS//gabD//pyrC//purM//patD//uxaA//melA//arsC//fabH//frdB//folE//gatY//sdhB//eno//dmsC//
PutA_neg	add//purF//
PuuR_neg	citD//rutE//murQ//tdcD//pheT//ychF//
QseB_pos	
RbsR_neg	sucA//glxR//narG//ddlB//nirD//
RbsR_pos	nirB//
RcdA_neg	
RcdA_pos	pflB//
RclR_pos	
RcnR_neg	dhaM//
RcsAB_neg	mhpA//
RcsAB_pos	tynA//xylB//
RcsB-BglJ_pos	tynA//tdcB//
RcsB_neg	lsrK//
RcsB_pos	ftsI//ldtB//mhpD//
RelB-RelE_neg	allD//
RelB_neg	uxuB//
RhaR_pos	
RhaS_pos	sucA//fadB//lysA//tynA//
Rob_neg	
Rob_pos	napC//gadA//cysM//rimK//arsC//acnB//hycB//trpD//ulaE//ulaE//moaD//pspE//argG//paaF//ruvA//rpiB//caiD//sdhD//thrS//
RstA_neg	moaD//metF//
RstA_pos	fbaA//
RtcR_pos	idnK//puuA//
RutR_neg	yiaK//galE//pgaD//yfbR//cysH//fabZ//nemA//pykF//mhpF//gapA//
RutR_pos	mhpF//
SdiA_neg	
SdiA_pos	
SgrR_neg	pgaB//
SgrR_pos	hcaF//metB//
SlyA_pos	
SoxR_neg	
SoxR_pos	rhaD//
SoxS_neg	
SoxS_pos	ppc//ascB//yfdE//astA//aroF//atoA//ubiX//tdcB//pykF//rsmH//sdhD//rpiB//ftsI//rhaD//hypB//katE//yeaE//ftsI//gltB//citE//ada//hyaC//napH//aroL//murI//frdD//
StpA_neg	moeA//chbG//atoB//
SutR_neg	malQ//araD//
SutR_pos	
TdcA_pos	paaK//trpD//sdhC//nanM//hycF//
TdcR_pos	ddlB//eno//ubiA//sgbH//gatY//
TorR_neg	rhaD//
TorR_pos	torA//araD//melA//
TreR_neg	glmS//cysE//
TrpR_neg	purL//astB//leuB//gpmA//hyaB//ppc//arsC//accC//caiA//
TyrR_neg	glpA//dapD//paaA//puuE//entE//gltD//bacA//
TyrR_pos	ldtB//cysH//putA//
UhpA_pos	nrdB//
UidR_neg	yiaK//araA//
UlaR_neg	pheS//puuB//phnM//pykF//purC//
UvrY_pos	nrfA//narG//
UxuR_neg	trpA//cysI//purE//fadM//tdcE//
XapR_pos	puuD//tdcE//
XylR_neg	
XylR_pos	phnJ//ychF//gapA//
YdeO_neg	
YdeO_pos	aldA//patD//pdeR//
YedW_neg	idnD//entH//
YedW_pos	add//
YefM-YoeB_neg	uxaC//
YefM_neg	glpB//
YehT_pos	
YeiL_pos	
YiaJ_neg	murE//tdcE//feaB//wecC//patD//narH//
YjjQ_neg	caiB//
YpdB_pos	
YqhC_pos	idnK//rffC//
YqjI_neg	lpxD//
ZntR_pos	argB//
ZraR_pos	
Zur_neg	glxK//
