# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	astC//accA//
MelR_neg	gpmM//frdD//
MelR_pos	xylA//rnpB//
MetJ_neg	prpD//phnH//pykF//leuD//ung//paaA//phnG//metC//waaZ//fabD//
MetR_neg	purE//
MetR_pos	rbsD//glnA//lpxA//sdhC//
MhpR_pos	gpmA//glk//prpD//yiaK//pyrC//fadH//
Mlc_neg	lsrK//pykF//malY//mhpD//
MlrA_pos	pgi//
MngR_neg	ttdA//hcaE//
MntR_neg	hcaB//
MntR_pos	cysG//
ModE_neg	waaY//sdhC//phnJ//astB//sufS//paaC//dacC//mnmG//
ModE_pos	phnL//paaG//fabG//fumB//narG//rutE//
MprA_neg	araD//cueO//carB//
MqsA_neg	dmsA//fumC//
MraZ_neg	aldA//glgC//acnB//glgP//lpxC//gcvH//napB//allC//argG//waaY//napB//
MtlR_neg	aroF//leuB//hypF//
MurR_neg	cyoE//sgbE//lpd//
MurR_pos	
Nac_neg	moaE//rdoA//aspC//
Nac_pos	speA//wecC//lsrG//ssuD//gcvH//pdeR//luxS//
NadR_neg	hyaC//accA//murE//glgC//
NagC_neg	relA//ybjG//slt//phoA//glpQ//pgaD//mhpF//glnA//lsrK//ogt//sgbH//narH//dinB//hcaE//moeB//gpmM//malQ//waaH//
NagC_pos	cysK//tynA//
NanR_neg	rffH//rutB//pagP//moaA//dgkA//gutQ//
NanR_pos	
NarL_neg	srlD//fadH//pgaC//napG//murI//napB//gloA//citF//nirB//nrfD//glgA//cysC//nanK//pykF//hcp//napB//galT//katG//ychF//waaY//nanM//dmsC//hycF//fumB//
NarL_pos	sufS//sucA//argI//gcl//paaC//malY//bglB//add//ogt//galM//cyoE//prs//frdA//
NarP_neg	kbaY//adiA//sdhB//
NarP_pos	nanA//fruK//umuD//arsC//fucO//luxS//cynT//rutD//cysC//rbsD//
NemR_neg	rffT//argF//
NhaR_pos	pncB//pheS//argE//cadA//nirB//
NikR_neg	nfsA//
NimR_neg	gatD//
NorR_neg	
NorR_pos	glgP//
NrdR_neg	aceF//glgX//leuD//astA//
NsrR_neg	arsC//paaC//uxaB//nagB//glcE//glgX//narH//napB//mhpD//dgcC//pgk//trpB//yiaK//hypF//sdhD//tdcB//argG//alaC//garD//glyA//galM//ldtD//purB//cysH//aspA//glpD//moeB//phnN//phr//entA//bioF//alkA//glgP//patA//yfbR//gadB//
NtrC_neg	ruvB//mpl//
NtrC_pos	yfbR//mdh//dinB//adhE//narH//phnO//argB//hcaF//waaH//kbaY//aceF//betB//prpD//hycF//pspE//puuD//argI//dgkA//paaH//bglB//garD//
OmpR_neg	carB//dacC//hyaC//tdcE//cyoE//
OmpR_pos	sucD//fumC//nfsA//lacA//
OxyR_neg	fumC//pspE//malQ//sucB//uxuB//
OxyR_pos	fadD//speB//mtlD//lpxC//rbsD//cdd//paaB//atoA//purM//
PaaX_neg	glnA//nfsA//ddlB//tadA//fau//tauD//speB//entA//phr//
PdeL_pos	mdh//
PdhR_neg	metH//phnH//tdcG//relA//alsE//rfe//trpD//entD//melA//bioB//sgbH//fadD//pykF//psd//aroH//ldtD//glyA//pdeL//aceF//acnA//lacA//caiA//mhpB//uxaB//
PdhR_pos	uxaC//idnD//
PepA_neg	ubiX//torA//
PgrR_neg	putA//napC//
PhoB_neg	purH//aroH//nfsA//hcaE//
PhoB_pos	nanK//ddlB//murQ//sdhD//dmsB//wzc//hycG//uidA//ssuE//ada//frc//feaB//puuB//nadB//citC//lysC//
PhoP_neg	gatZ//fes//phnI//
PhoP_pos	ynfG//adiA//torA//aceE//dapB//cyoE//glcE//cysI//phnI//hmp//carB//caiA//glpQ//yfbR//cynS//yqhD//frdB//astC//hycB//rutE//fucO//moaE//cysD//frdB//hycC//fabB//hycC//luxS//hemL//citD//astD//purL//
PrpR_neg	
PrpR_pos	galK//ruvA//asnA//luxS//
PspF_neg	
PspF_pos	glpX//
PurR_neg	zwf//lacZ//paaK//aceF//paaA//psd//entB//yfbR//phnJ//pgpC//uvrC//lacZ//speA//dhaK//tehB//hemL//nirD//rbsD//icd//fucK//rnpB//aroH//gpmA//mhpE//citD//fabH//
PutA_neg	phnN//trpB//
PuuR_neg	hycG//rhaA//purE//uvrC//rutC//nagA//
QseB_pos	
RbsR_neg	paaK//metC//gloA//lpd//eno//
RbsR_pos	feaB//
RcdA_neg	
RcdA_pos	fucK//
RclR_pos	
RcnR_neg	phoA//
RcsAB_neg	lsrG//
RcsAB_pos	alaC//astB//
RcsB-BglJ_pos	hcaD//ubiX//
RcsB_neg	polA//
RcsB_pos	recF//gltB//nanA//
RelB-RelE_neg	paaH//
RelB_neg	ascB//
RhaR_pos	
RhaS_pos	purB//argI//hcaC//uxuB//
Rob_neg	
Rob_pos	poxB//atoA//glgA//bioD//lsrG//glcB//gpmM//mnmG//murI//paaI//nanM//serA//cadA//glpD//pykF//glcE//xapA//treC//bioA//
RstA_neg	pepD//dapB//
RstA_pos	argB//
RtcR_pos	ascB//metA//
RutR_neg	entF//paaZ//astD//lsrG//dinB//malQ//speA//hyaC//glxK//lysA//
RutR_pos	acnB//
SdiA_neg	
SdiA_pos	
SgrR_neg	sodB//
SgrR_pos	araA//ubiA//
SlyA_pos	
SoxR_neg	
SoxR_pos	araD//
SoxS_neg	
SoxS_pos	metH//uxuB//tnaA//hycF//aceB//ynfE//sdhA//nirB//codA//dapB//ppiA//ndh//speA//mhpA//allD//fabH//wrbA//citC//phnL//aldA//hyaA//arsC//nagA//alaC//glpQ//gdhA//
StpA_neg	mpl//pgaB//nadA//
SutR_neg	psd//glk//
SutR_pos	
TdcA_pos	paaB//glk//nemA//alkB//sdhB//
TdcR_pos	idnO//guaB//nadB//paaF//bioC//
TorR_neg	mhpF//
TorR_pos	rffH//araD//moaA//
TreR_neg	citG//guaA//
TrpR_neg	tehB//prpD//glpK//hycC//caiC//zwf//paaK//glpB//glmU//
TyrR_neg	eda//garR//hemL//argI//tktB//glgA//umuC//
TyrR_pos	waaH//rbsK//ung//
UhpA_pos	treC//
UidR_neg	phnO//fadA//
UlaR_neg	lsrF//polA//puuC//murD//folA//
UvrY_pos	ychF//codA//
UxuR_neg	paaH//garK//rhaB//caiB//nrdA//
XapR_pos	nrfD//glpD//
XylR_neg	
XylR_pos	hcaC//puuD//citX//
YdeO_neg	
YdeO_pos	phnN//napB//bioA//
YedW_neg	fadA//fabI//
YedW_pos	pdeH//
YefM-YoeB_neg	entH//
YefM_neg	argC//
YehT_pos	
YeiL_pos	
YiaJ_neg	ubiA//aroH//tdcG//sdhC//ulaG//zwf//
YjjQ_neg	murE//
YpdB_pos	
YqhC_pos	cysM//mhpD//
YqjI_neg	ruvA//
ZntR_pos	uxaA//
ZraR_pos	
Zur_neg	moaA//
