#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sapD//fhuD//ybiT//ygcW//
GO_0000271_6	yjiR//rimI//aroL//rnlA//yafN//wzb//nanA//ydhK//relB//tomB//nudC//tomB//rplO//yhhT//yieL//fimC//murG//sgbE//yecS//fdhF//chiP//yahK//hprR//murR//mrp//mppA//eutA//yhjG//azoR//nrfG//umpG//bdcA//ybjG//murR//modA//tbpA//ldrD//holD//intA//lsrA//mgrB//chpB//hofP//dppB//ybaT//citT//atoC//speB//ribB//opgH//
GO_0000272_6	ftsE//prfA//lysS//purU//ulaF//prc//
GO_0000302_5	flgB//hfq//amiD//rfe//pgpB//rpiB//symE//trkH//cobC//yafC//torD//yedF//narG//ybhS//nuoI//sgcR//endA//tisB//smpB//narU//trpC//wecE//yohD//rpsI//fre//rpnD//pdxB//wbbK//nfi//csgF//rbsC//
GO_0000303_6	yeaK//dld//
GO_0000305_5	bdcA//flgE//otsA//
GO_0000372_11	citE//
GO_0000375_9	nadA//
GO_0000376_10	pinQ//
GO_0000413_9	cpsG//frmA//kdpD//oppF//afuC//ycaO//hemD//yceD//
GO_0000451_7	rlmF//trpR//sgrT//nadD//cedA//
GO_0000453_8	yjiR//cvpA//perR//hrpA//moeA//
GO_0000455_9	ymgA//iscR//ftnA//tap//cheR//fdoG//pdxB//
GO_0000462_11	malF//dinI//
GO_0000469_8	yfdS//
GO_0000470_10	waaJ//
GO_0000478_9	rzpD//
GO_0000715_6	hybD//
GO_0000716_7	bamE//
GO_0000724_8	aroE//
GO_0000725_7	bcr//betB//tdh//etk//yiiD//ybiW//
GO_0000726_7	bacA//
GO_0000731_7	abpA//fimZ//yciV//minD//sbcB//waaZ//pth//
GO_0000737_7	ulaR//
GO_0000738_7	envR//citG//alsK//
GO_0000746_4	ptsI//
GO_0000820_7	cecR//
GO_0000902_5	ybdM//
GO_0000910_4	ykgO//nrfB//hemA//rpsH//hflK//hexR//torC//alsC//tusA//fliK//deoC//yieL//rfbD//sbmA//priC//alaE//phoQ//cusR//
GO_0000917_6	araC//pspA//cheB//mreD//kdpB//
GO_0000918_6	oppF//emrE//pabC//rpnA//
GO_0000920_3	yfeR//hslR//pgm//serA//rseB//
GO_0000921_6	iscS//
GO_0000966_8	dxs//cas1//recT//lptF//
GO_0000967_10	ubiG//ettA//entC//
GO_0001101_4	yraR//yhaJ//arnE//prs//yeaK//yeiL//insA-2//astC//agaS//insA-1//waaL//trg//lexA//opgH//fimG//cheW//gmhB//queG//yiaL//tus//yeaE//yieE//yajL//csrD//abpA//nusG//
GO_0001121_7	prc//yjjU//
GO_0001123_8	fepD//
GO_0001124_8	pdeL//
GO_0001407_7	yidQ//yciF//bioA//nrfF//
GO_0001505_4	yhhY//frwB//fliG//acrR//ssuC//ibsD//kch//ydjJ//yhbO//flgJ//yegD//rng//yfiF//fdnG//ilvC//ubiH//
GO_0001510_5	ibaG//lpxC//rffH//satP//yobF//yihX//ugpE//yceD//flgH//yjjV//putP//ycjD//fabI//kgtP//dgoR//yidE//uspC//fcl//glnQ//csgF//intS//narG//yfbV//perR//hcaF//rpsQ//mgrB//pflB//tehB//cynS//yafE//ggt//cysU//secE//bglB//ubiJ//rhaD//birA//moeB//yihV//
GO_0001514_8	rplP//
GO_0001522_7	yqhD//phoP//yiiM//cueR//yiaF//gsiB//rplK//narW//fur//lapA//lsrB//speD//intA//
GO_0001539_4	lpxH//yiaA//mhpR//hrsA//rfaH//yqhC//rbbA//gltL//gyrA//selD//ydeO//prc//yggP//tktB//der//uspF//actP//yfbR//glmU//yjjI//thrS//yjbE//yegV//lpxK//fdhE//cstA//yphB//pgaD//hcaT//menD//yfcS//
GO_0001558_5	secM//nrdA//sugE//pagP//yjbB//dadA//tyrB//ihfB//
GO_0001561_6	pphB//
GO_0001666_4	yjiQ//
GO_0001676_6	mntS//yohC//yfeR//
GO_0001680_11	proP//
GO_0001682_11	umpG//
GO_0001731_7	upp//
GO_0001762_6	nemR//
GO_0001887_4	vsr//ytfR//emrE//
GO_0001896_5	pykF//yeeA//torS//rclC//
GO_0001907_5	zapA//mepH//ybcL//manA//
GO_0001932_8	yghB//yeaG//
GO_0001934_9	purL//
GO_0002047_6	ahpC//ssuC//
GO_0002097_8	mppA//serS//ubiI//rutR//miaB//fimH//kbp//tmk//puuC//djlC//pcnB//uxaB//rplX//panZ//hisG//purA//btuB//mdtE//rbn//
GO_0002098_9	thrC//rihB//potI//folC//tdcA//ybcJ//glnS//npr//cheA//ruvB//gudX//mdoD//exbD//
GO_0002099_9	yhjC//yghU//
GO_0002100_9	malG//
GO_0002101_9	torS//gpsA//
GO_0002128_7	atpD//ilvI//bamC//lon//
GO_0002130_8	pppA//
GO_0002131_9	rpiB//
GO_0002132_9	acpP//
GO_0002136_10	mdtK//
GO_0002143_9	ompL//casD//lsrC//asr//ybcC//priB//
GO_0002181_7	napF//modA//
GO_0002183_5	trg//
GO_0002184_8	flgB//
GO_0002188_6	rplX//
GO_0002190_6	yagU//
GO_0002192_8	gltP//
GO_0002252_3	fhuB//ftnA//rsmF//manA//selA//nrdA//pstS//scpC//sdhB//rsmD//
GO_0002790_6	iscS//yicJ//adeP//rhaB//rsmD//ribF//envZ//
GO_0002937_9	phnC//
GO_0002938_8	nuoF//
GO_0002939_7	pspD//
GO_0002943_8	rbsA//
GO_0002949_8	uvrY//fbp//otsA//ratA//
GO_0003333_7	yhaV//ygdG//ydjE//purR//livG//tdcG//frmB//fadK//topB//yegD//hyaD//nepI//kdsB//erfK//ogt//cysZ//csiR//fucP//glcF//mutY//csgA//yehT//yebS//yegT//torS//cysM//frmB//ttdT//gntU//rluB//lhr//fhuB//fepA//gltB//sapB//lpxK//rpsM//ycjY//waaO//lpxH//mhpD//frdD//satP//adiY//ppiC//murE//fecA//citG//plsC//
GO_0005975_4	ygaZ//lptE//fimB//hemF//yidP//gspJ//yajQ//yghG//oppD//ppiA//nrdB//ydaC//lplT//nrfA//ccmD//argO//ybjN//cyoD//puuE//gcvR//galE//purU//yjcS//nuoH//acrE//ygeR//betT//rpsL//umpH//ghxQ//rarD//acrD//emrE//paaC//malF//ygbI//mdtA//ada//bioB//hisI//uxaA//mqsA//yjjX//pyrL//blc//dnaA//gltP//narQ//ynbD//rpiB//hpf//fdnH//cusC//ygeX//zntA//dinB//leuS//phnJ//kgtP//ydfK//tatC//rutE//uidC//rpsQ//ypjD//ydcZ//lptB//gppA//yjiR//torR//ytfE//yjiM//prfA//cutC//ppiC//gcvR//sapA//secE//idnO//rseC//bcsQ//codA//rpoE//yfaV//yehP//ykfI//yhhT//tolB//rpiR//yfbR//rplM//potF//trmA//puuC//yddG//yggN//rlmL//nuoH//fdhF//epmA//fkpB//rlmM//yidQ//pyrD//lsrC//rsmA//mazF//rffH//dhaK//cysD//ycfL//coaA//osmY//rfbC//gutM//ydiP//cecR//ynfE//pflA//macA//trmB//adhE//nadA//cirA//hyaA//alaA//slmA//pstA//ptsN//cmtB//prfC//fliG//ubiG//rpnC//rdgB//speC//elfC//fetA//udp//nanT//hisB//ribA//tdcE//uacT//murQ//nagD//gpsA//topAI//gltI//gnd//speE//ydjJ//yehY//ycjD//pagP//yhjC//yjjX//ogrK//malX//pepB//entF//holD//ubiC//yhdH//sapA//puuD//recO//agaB//lrp//recN//srkA//yiaA//narJ//cecR//aer//rbbA//cydA//yhdJ//ribE//cspG//fadR//pflB//glgP//hipA//accB//puuE//nikA//clcA//yjjG//bolA//plsC//ygdG//yhgF//sodB//ybcM//glpF//asnB//trmL//cadB//malF//rsmC//htrE//gsiC//nupG//adeQ//nrdB//ibsD//envZ//afuC//lsrA//pinQ//ldtE//rpsJ//intZ//oppC//cpdB//murG//casB//yggW//cpsB//rbsB//osmY//proW//yejE//nanC//aroK//umpG//secB//ftsL//mcrB//mgrB//grpE//lapB//rplT//dsdX//ada//dcyD//leuS//gntK//lldR//shoB//glgB//rcdA//ptsG//ybcM//ynhF//rutD//rhsD//lptD//uup//wzzB//dgcE//ybhI//bioA//
GO_0005976_5	sfsA//yfiE//chaA//sufB//ispA//frdB//rcnB//zapC//ybjC//yccX//malK//nagZ//rzoR//yjhB//pgsA//dacB//uvrB//glvB//pepB//recO//maa//yhcN//ybhP//opgH//gshB//aroH//dapF//thiP//feaR//gudX//abgR//thrC//tcdA//torS//idnD//ygiN//yjhP//cyaY//hycI//xerD//tbpA//kup//mhpC//ispB//glnD//idnO//lsrB//ypdA//rplI//gyrA//ruvC//dcuR//rsuA//gutQ//ytfT//flgA//ynhF//pstA//yqhC//
GO_0005977_6	yddG//lpxP//kduI//ddpA//ybiW//rnhB//flgC//yhjR//
GO_0005978_7	sucB//sucB//adiA//insA-1//
GO_0005979_8	purA//
GO_0005980_7	argG//bglX//murG//
GO_0005981_7	malE//
GO_0005984_5	yhdX//tdk//prpB//yeeO//yidQ//ldrD//qseB//glxK//der//potE//srlD//
GO_0005985_6	nikA//
GO_0005986_7	cbl//
GO_0005988_6	coaD//appA//
GO_0005990_7	uxaC//ydcO//
GO_0005991_6	rcnB//pcm//yihX//dsdC//nikC//
GO_0005992_7	araA//ratA//
GO_0005993_7	kdpB//frlC//napF//
GO_0005994_6	minC//
GO_0005995_7	sucB//
GO_0005996_4	yafE//uvrC//ompL//yigL//glpX//yggE//lnt//yfaU//tolA//ybhI//rpsP//puuE//elfA//msrP//gloC//glnB//rapA//yiaL//ybaE//bdcR//secG//pdeL//ybdG//sufC//ynjA//fadD//cfa//cfa//cadA//rssB//yjhP//rng//yfeX//yadC//ydeI//ascB//ygfX//bepA//hupA//puuR//kefG//selD//pagP//fucK//trpB//csrA//rfaF//ptsP//gntR//pspD//aroH//thrL//hprR//menF//ddpA//yfcU//trmH//pdeL//pphB//intQ//ynjA//recD//rluF//mdtJ//putA//amiB//dacD//fbaA//yedX//yfaV//fliG//nudC//elaB//flgD//acnA//hokE//rfbD//frdC//kdpE//dut//lptD//pdeD//
GO_0005997_6	sucB//
GO_0005998_7	yjiA//
GO_0006000_6	waaH//fadK//zur//
GO_0006001_7	ybiI//ydiZ//
GO_0006002_5	yhaC//gudX//hprR//
GO_0006004_6	gatC//potF//alaS//rpmE//csgG//narI//
GO_0006006_6	nupG//macB//phr//cmtA//rnhA//tatC//pppA//srlB//yfaU//malY//sdhD//grpE//rihA//rhaT//cutA//dnaB//glnD//ebgR//glnH//alaE//yqcC//yhbQ//hns//
GO_0006007_7	sufE//nmpC//yaiW//
GO_0006011_5	topA//
GO_0006012_6	lipB//soxR//rpsO//ftsL//yhgH//rpmF//yieL//ygbN//aspC//
GO_0006013_6	proQ//yfbR//
GO_0006014_6	glgA//ftsE//clsC//
GO_0006015_7	rlmN//rzpD//
GO_0006020_5	uvrB//
GO_0006022_5	iraD//rimM//crl//abgR//asnB//cptB//yhdX//garD//yigB//nudB//yfbS//gudX//cheW//betI//ykgF//gpp//hisC//yejA//cpdB//proV//ycjW//nagC//ldrA//glpF//cdd//adeP//ptsI//yegS//asd//allD//galM//rhaD//wecC//tmcA//iaaA//rhmR//yadC//topA//yohC//cyaA//bglX//mcrB//gapC//clsC//guaD//insB-2//glnH//ftsE//ybeY//eptC//yghG//puuP//sbmC//yobA//hflC//mlaC//argT//mngB//nikB//sucD//mnmE//tdcR//alsC//
GO_0006023_6	fruB//aroD//yqhD//tmk//arnA//pyrL//uup//rsmE//pheM//amiB//yiaO//mltF//bioP//pgsA//gstB//suhB//ynfF//rlmL//dppF//cyoA//tcyN//mdtM//gdhA//cdgI//cpsB//flhC//yaaY//pepD//rmuC//shoB//acrA//ppiD//argR//eutD//dcuA//dkgB//rpnC//folM//puuR//
GO_0006024_7	msrP//dgcQ//uxuR//cbrA//yebG//puuP//dhaR//yjjW//flgI//trmB//nuoN//rpsL//elyC//yafO//hscB//fliG//ycdY//cyoD//ccmH//nrdG//yqcC//aslB//ygbN//puuA//yhbO//flgG//waaY//chbC//mscK//pepT//dnaK//gltD//ftsZ//ssuB//fis//dmsC//yabI//gatC//pyrL//
GO_0006026_6	yjbE//rluE//rplS//bioD2//hicB//prfA//cyoB//clpX//tatE//cheW//
GO_0006027_7	cyoB//yhdJ//phnL//secD//ydhC//wecB//tufA//waaF//dcd//waaL//
GO_0006040_5	yihQ//ssuB//eptC//lysS//rplK//rsmE//rhaD//pspD//cecR//pgsA//arcB//decR//mpaA//pphA//ygaZ//zntR//intZ//
GO_0006044_7	rph//fumC//rcnA//cadA//dapB//
GO_0006046_8	hcaT//cysH//accD//pgrR//
GO_0006047_5	metB//yfbS//yedP//narG//ccmA//rph//feoB//
GO_0006048_6	mobA//zupT//argI//yegS//yrdA//ldcC//
GO_0006050_6	ybiO//
GO_0006051_7	secY//
GO_0006053_8	ybgI//
GO_0006054_6	phnN//zinT//uvrA//copA//allB//murJ//aslB//
GO_0006056_6	adiY//
GO_0006057_7	yrbG//
GO_0006059_6	ygjK//ldrB//ampD//mnmC//
GO_0006060_7	aldB//
GO_0006062_8	yphD//
GO_0006063_5	recO//yaiW//entA//metR//ydeE//ccmC//nikE//idnT//bioC//
GO_0006064_6	glpR//ycgV//rraA//ydcP//rpsM//rpmG//
GO_0006066_4	iscR//rpnA//metF//pdxJ//nlpD//aldB//mtlD//fdnI//nudG//mdtP//arsB//clpS//yraR//phoA//ygjR//puuP//ypjD//adk//yhaV//glpA//arcC//bglF//mngB//yjbH//rhsD//tbpA//torA//ppk//iaaA//selU//dpiB//bluR//
GO_0006067_6	nrfB//mtlR//gsiA//
GO_0006071_6	paaE//ahpC//mdtJ//frdD//agaR//cysI//sbmA//
GO_0006072_6	chaC//ytfP//adhP//dnaB//mdtQ//
GO_0006073_6	puuA//kduI//dinQ//ybaE//amtB//lysU//hdfR//ghxP//rplN//ttcA//wecA//glrK//trkG//recO//rpmH//caiE//chpS//adhP//bamA//potI//
GO_0006081_4	nagK//ltaE//oxc//yphB//rcsC//aspC//ptrA//metI//mhpD//tsf//aceF//leuE//pinQ//mhpR//mnmG//fkpA//raiA//miaA//galU//aidB//cirA//glgX//metH//dinQ//ibaG//blc//torD//ilvN//rpsP//dadA//pnuC//nanS//aldA//fruB//ygfI//glnE//adk//iraD//cysS//glgP//dinD//hisD//yjhP//ftsL//idnO//cydB//ampH//yidE//entB//ddlB//kbp//ppsR//rfaB//aspS//fhlA//mltF//livJ//cueO//lasT//rfe//ypdA//bssR//ydfH//rnt//ccmF//fadM//tusB//
GO_0006082_4	hokE//ycfL//fimC//smpB//rplK//agaD//elaA//ypdA//osmC//entH//allR//hisA//hsdR//tabA//yfdG//ompR//yeeO//ade//wrbA//sucD//dut//yiaT//yaaY//fadR//dmlR//ycbB//cysP//mnmC//lysU//gloB//ushA//asd//lnt//fucP//flhE//rpmE//yjhH//kdsD//xylB//yfiF//oxc//cstA//mgtL//folE//ftsZ//cusC//hyaC//nirD//menH//yrfG//glpC//paaX//obgE//mipA//tusE//aroD//yadM//ppc//phoA//erfK//ihfA//arsR//aceB//trkA//menD//ligB//bioF//acrB//yebS//hybC//mdtJ//menI//glpD//yfgO//setB//selD//mreD//lexA//waaJ//deoR//pphA//dhaM//entC//rpnA//mtn//ycjR//rapA//yjfP//leuC//flgH//gcvR//ttdT//kefB//sanA//ynaI//sgbH//wzzB//pdxH//yggE//yihS//yjbE//mutM//fiu//mlaF//hsdR//envC//idnD//yfdO//yjeI//ycfS//glgA//mazF//mlaF//cysA//osmC//ralR//ibsC//yafE//dtpB//yihV//hscA//dkgB//ygbN//ybaT//fetB//tauA//rutC//nadC//yjjQ//lgoD//frdA//yfcA//atpC//hypB//rimP//manA//srlB//nlpE//hisI//speB//efeO//tdcG//rlmM//ybgQ//speE//mhpB//cysC//glrR//cynS//ybjD//prfA//emrD//patA//rfbC//dnaJ//ydcP//ypdA//chaC//sdhB//sdaB//ycaN//purT//fepD//yiaJ//yhjA//yneE//pdxA//ycaN//spy//tmk//dut//rpmA//patZ//pepD//mukB//phnO//yejA//fepE//waaG//focB//zapA//rplN//ilvN//casE//glnE//pdeL//sgcE//mhpR//argK//thiG//ydiB//narV//cheA//gppA//torA//gudP//malK//pyrH//yedF//sbmA//aas//tcyJ//deoC//alr//yfgO//glxK//dcyD//rfbB//yjhP//tauD//mlaC//rssB//sdaC//rpiB//elfG//pinE//degQ//zntA//abgR//rpiB//mutY//yafQ//rhtC//dppC//sdhA//yqcG//bepA//csdE//rhaD//artQ//yoaA//sgcA//aslB//yijE//acpS//fre//ibsC//yhjR//diaA//gsiB//rluE//artJ//uxaC//sxy//rpmF//hpt//ispB//pheT//symE//uvrA//purT//ygiS//stpA//uup//yheT//astB//ttcA//glgB//fklB//nikR//rsmF//rplX//gpr//cyoE//hscB//mdaB//hemD//ppiA//ttdT//ynhG//yahF//yadN//argB//aceK//cdh//dppA//dmsC//ygaZ//recJ//ymdB//casE//nagZ//hemN//ulaG//ybaO//hemE//thiG//leuO//glk//trmB//rfaD//alsE//mutS//gpp//nanA//rraA//yagJ//yciH//dcyD//yejE//ychH//norR//phnM//ibsE//fhuF//bamE//metB//alsC//wbbK//pgaB//yafS//lepA//rpnD//opgG//yhaO//clpX//hyaA//adeQ//abgB//ydeM//dgcQ//yhdJ//lpxT//dacB//cysU//glgP//ldtB//allD//proX//yfcA//cysA//hupB//xanP//ygaH//patD//nirD//bcsA//fnr//nrfG//pstC//btuR//tdcE//fetA//hlyE//metR//tyrA//argE//rlmH//gabT//galF//mdtD//queE//bglX//sbmC//mscL//cytR//otsB//fadD//gltX//fabZ//aldB//hyaC//hicB//mtlD//mgtL//iscR//ibsE//syd//alsC//yadN//chbC//ccmC//ispG//mrr//mreD//ftsI//yggT//hslR//abpA//fimB//argF//agaA//tpx//gpmM//gltI//entC//ycaO//eutR//fimZ//pyrH//rihA//ibaG//aer//sseA//yefM//yeeO//artI//kdpE//cysC//ariR//hisG//gadC//nupC//mgsA//dsbG//yhgF//rffM//ulaB//ccmC//metN//gntT//fimZ//yjgX//luxS//iscS//msbA//dcuR//yehD//sgcE//feaR//trpD//artI//fbaA//glnL//rclA//fliT//rpsA//kdpA//cysQ//tdcE//mhpR//pheT//yfdC//yraN//rfbX//mscS//ilvB//tnaC//ygjK//frsA//mnmG//ddpA//fpr//lysO//yiiD//helD//glrK//rfe//hofQ//cas2//metG//purA//pdeF//mrdB//otsB//spy//gnd//lysP//yabI//rcsB//
GO_0006083_6	nuoL//rayT//purL//emrE//glnS//rplN//
GO_0006084_6	ykgO//abpB//
GO_0006085_7	baeS//bglA//
GO_0006086_8	dps//
GO_0006089_5	tsaB//rnt//epmA//flgI//msbA//hisB//ais//dcuC//ydiO//lsrD//lnt//ddpX//uidC//fdhF//ynbD//znuC//yjiR//mngB//ulaE//pgi//envR//frmB//argR//malP//rihB//pepD//fecD//yebG//ybdN//
GO_0006090_8	yhcN//narY//betI//gloA//yadI//dfp//hemL//trmL//nrfC//nuoE//mdtF//ybaT//panD//rsmB//insE-1//yhjD//leuS//dtpD//alsC//rutB//fetA//ribF//pgk//yfiC//dcuD//holA//pepT//dusB//lsrA//ycfL//envY//
GO_0006091_4	chbF//hybD//ribD//mglC//rffH//atpA//msrB//murE//nuoB//tolQ//rimL//pabC//insF-1//ilvM//dgoD//phnC//mzrA//hisM//ydeM//hycI//cysN//paaZ//tatB//yfgI//yaaU//nei//adeD//aroA//exuR//glnS//rluB//dtpD//kduD//metL//flhE//cas3//tyrS//accC//eptC//moaE//kduD//proV//mntS//glsA1//nanT//atoB//wzzE//greB//yedA//hsdR//mhpC//rpsP//ymjB//recF//ydiK//rplR//polA//ompG//crr//rbn//ada//dcuD//nrdI//yajO//dsbG//btuR//yohC//rbfA//fklB//yajD//ykfI//yihW//clpS//fimH//dsbG//adiC//glcB//yraN//yggP//yiaT//yggW//allD//rcnB//paoC//rsmI//bcsQ//rffH//fixB//pepD//lolA//ykfI//waaA//ung//lamB//fsr//treB//deoA//rhlB//efeO//infB//ygeX//yaiW//yeaK//aslB//lpp//fklB//fadJ//chaA//fecD//ygcR//yhdW//modC//
GO_0006094_7	rseC//ygbL//rfbX//araD//insE-1//rpsO//ssuB//topAI//yhfK//ycfJ//
GO_0006096_6	arcC//pyrG//prpC//gltX//tolB//polB//rdgC//lolD//yaiV//yigL//rclA//atpH//tatA//galM//amiC//yeaE//rzpD//ccmF//
GO_0006097_5	mdfA//pstB//opgD//hypB//mtr//
GO_0006098_6	insH-6//mmuM//yneE//rnhB//arnT//
GO_0006099_4	gltI//yeeO//rihC//araD//dacB//btuE//potA//slmA//phnP//ompT//yejB//rraB//ybiJ//fliT//asnS//ygfI//idnD//
GO_0006101_6	exuT//topA//rpnC//yphC//alsE//cynX//clcA//ispA//paoC//kbp//yiaU//cpdA//mreD//psuT//dapA//gmhB//asmA//
GO_0006103_5	nei//rzpD//evgS//
GO_0006104_6	rbn//proX//exoX//
GO_0006105_5	gcl//sucA//polB//hofN//rimM//xapR//ldrA//sad//
GO_0006106_8	tcdA//
GO_0006107_8	ssuB//
GO_0006108_8	kdpC//cydA//pagP//fetA//ftsP//
GO_0006109_6	nemR//tldD//higA//malE//eutN//metF//yegS//dinG//hxpA//
GO_0006112_5	ydiV//tsaE//fimB//rhlB//rcnR//ansB//glcE//rho//
GO_0006113_5	eno//dinI//ydaC//recG//rlmH//glcA//nrfG//yoeB//yidK//ssuD//rplE//xapB//yidD//
GO_0006115_6	uxuB//
GO_0006117_5	uvrC//
GO_0006124_6	symE//
