#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	artM//ycbU//gcvP//lysU//
GO_0001123_8	yadV//
GO_0001124_8	yjcE//
GO_0001407_7	hupB//hslR//frdB//ftsZ//
GO_0001505_4	ldrD//yghW//nikA//yegD//alsB//argE//abgR//hemH//ebgR//yiaJ//dppA//hemD//xapR//hslV//putP//trpB//
GO_0001510_5	suhB//trxA//secE//udp//mdtQ//yahK//yagI//acrF//fepC//yciH//mazG//umpH//metE//ycjQ//folP//rplO//mlaC//yfdR//umpG//deoD//ribC//flgB//hxpB//yphC//tcdA//ydeO//chbB//mrcB//hycI//narG//relB//alaC//sgcX//ycaO//uspB//mepH//yghG//yjiY//rplB//xseA//
GO_0001514_8	brnQ//
GO_0001522_7	tadA//clpP//corA//uidA//hldE//sad//trkH//dctR//pdxH//ftnA//yfcG//eco//ymfA//
GO_0001539_4	fdoG//ptsN//ybiX//waaC//alaE//cspB//rssA//lpxT//rlpA//guaB//tusE//psuG//moaC//hslR//yfcP//araE//cydD//evgS//yahB//mtfA//lon//mntS//trg//puuC//rfaF//rlmM//srlA//rplO//azoR//yjcE//ycbX//
GO_0001558_5	yieL//mscK//rhmD//ptsI//lpcA//sad//ispG//ddpA//
GO_0001561_6	gutM//
GO_0001666_4	crfC//
GO_0001676_6	rpnD//glvB//ppiD//
GO_0001680_11	ugd//
GO_0001682_11	pyrF//
GO_0001731_7	eamA//
GO_0001762_6	bcr//
GO_0001887_4	uxaA//cusS//fliZ//
GO_0001896_5	lptE//prpC//ygiN//orn//
GO_0001907_5	bamA//yafQ//nupG//greA//
GO_0001932_8	rhmD//csgA//
GO_0001934_9	menA//
GO_0002047_6	fumC//yaaY//
GO_0002097_8	mglA//deoR//potC//chpB//wzzE//yahO//guaC//srlA//thiQ//sodB//fucI//pstS//rsgA//murP//chbF//nlpD//rapZ//tnaC//rnlA//
GO_0002098_9	truB//btuF//comR//hiuH//selA//gutQ//murI//bsmA//yeeA//yfhM//cas1//thiL//sohB//
GO_0002099_9	wzzE//nlpI//
GO_0002100_9	pntB//
GO_0002101_9	alaE//yjiX//
GO_0002128_7	trmI//yhdJ//dnaA//fepE//
GO_0002130_8	dtpB//
GO_0002131_9	waaG//
GO_0002132_9	adiC//
GO_0002136_10	gloC//
GO_0002143_9	maa//rmuC//yiiD//pldB//nrfG//narV//
GO_0002181_7	frmA//mdtN//
GO_0002183_5	uup//
GO_0002184_8	cysW//
GO_0002188_6	secG//
GO_0002190_6	amiD//
GO_0002192_8	cspE//
GO_0002252_3	yihO//soxR//phnK//queE//greA//thiC//betA//prpR//artQ//sgcA//
GO_0002790_6	ivy//intF//mdtP//yhjG//flgB//eptB//fabI//
GO_0002937_9	lnt//
GO_0002938_8	yggN//
GO_0002939_7	napA//
GO_0002943_8	rfaB//
GO_0002949_8	dinQ//gadE//ttdB//pyrB//
GO_0003333_7	deoD//nuoE//radD//yebK//paaE//radD//dppB//gsiC//rplA//pgpA//ydgA//hybA//grcA//hsdM//ykgA//ycbU//fabZ//malK//modB//clcA//rhaT//dld//rof//cysK//rbfA//narV//nanC//pyrE//yphD//ralR//tusA//ygcO//yqjH//secE//hofO//gatC//relA//metB//sbcC//hdeA//yehB//dcuC//asnB//ligB//ccmG//mdoG//xylA//ccmC//rpmH//
GO_0005975_4	recD//pnuC//uhpT//yihT//dmlA//ftsW//yidZ//truC//umpH//miaA//bolA//cysK//cobT//nemA//lolC//hsdR//yiaM//yghG//yqaB//ulaG//helD//moaE//rhaD//fieF//citC//mlaB//alsE//cutA//ynfF//pepT//kdsD//pinQ//ftnA//sgrT//rpnA//ydcP//dgcE//rplK//rpsT//matP//nuoE//tas//sgbH//hcaC//lepA//ttdR//nagK//pykF//polB//menH//eptA//gapA//csdE//rsmG//yhcF//rpsD//agaB//galE//iraP//sbp//yihV//tdcB//folX//araA//ymfA//puuE//ygaV//ispG//fhuC//ybhS//rplR//aes//prlC//narW//sapD//yfcF//ftsE//nirD//sulA//ccmE//mtlR//bglA//dppA//nuoN//leuE//menC//cas3//tusB//nirC//pth//rsmJ//nikR//gshB//ubiC//yhcN//yneL//tdcE//paoC//bipA//waaY//ybeY//tabA//mdtM//ybaQ//ybcM//dicB//dnaE//glmM//rfaQ//glcA//kdpA//glnA//glvB//yihQ//modB//norV//nuoB//phoR//yfcQ//gltB//mtgA//prpC//yciH//yiaA//uxaC//waaJ//malX//yebC//rseC//yggE//rclR//bglX//cdsA//atoB//bamD//tmk//hycI//cirA//maeA//fecB//pstB//purC//recA//yfdC//dctR//ybdN//ybcL//rnhB//wzyE//cysI//trmD//hemB//hemF//cynS//ybdN//fre//rffM//proC//asd//gatD//ydiF//ilvL//yagU//yaaA//cueO//slyD//dtd//tnaA//ade//chbC//yjbH//rlmI//cca//tdcE//hemG//seqA//selU//gyrB//bamD//rihC//sfmA//sucA//fabG//lptB//yhhT//hisS//phoR//fdhF//stpA//yqiJ//tmcA//mzrA//holE//torD//ompN//ybcQ//dmsA//lptB//coaE//yhfS//rfbD//pstA//cas3//mdtF//sdhB//ybiW//pstC//rpmA//yhaC//garD//katE//abpA//slt//flgE//trpS//mipA//nanA//uxuR//glgC//hemH//ndk//ydjM//corA//adk//rraB//fabG//bssS//mdtA//ybiT//ykgA//feaR//udp//xapB//proW//rusA//lysS//ydcI//yehT//nudC//sad//carA//yjfF//thrA//tqsA//nanC//purU//yggW//trmD//yfaU//selU//ugpC//rpsL//recT//prpC//
GO_0005976_5	greB//gspE//otsA//hprS//lacI//pdhR//mug//narV//fryB//rplS//ygeV//ispG//ymfK//fre//gudP//sfmD//rplW//rlmF//yahB//menH//acrB//rplN//manA//ybiY//queD//rho//cvrA//lpxB//afuC//epmA//gpt//pgpA//ygeR//waaZ//phnK//mukB//gluQ//bdm//ymgA//uspF//yiaF//pncB//ycfL//cysS//fdnG//cysA//fieF//srlA//gadC//cstA//ygjK//atpE//rrrQ//ccmC//ribA//bipA//yphC//gabP//ydeO//
GO_0005977_6	recA//lpxH//yrbG//lapA//setB//yjaA//gabT//mnmC//
GO_0005978_7	nuoB//treR//apt//yjjG//
GO_0005979_8	ivbL//
GO_0005980_7	lspA//coaE//lpxC//
GO_0005981_7	ybgI//
GO_0005984_5	glnE//dppA//rsfS//ssuD//dauA//shoB//rppH//ydcI//ycjY//ybiS//glyS//
GO_0005985_6	ldtD//
GO_0005986_7	queF//
GO_0005988_6	ccmF//dinI//
GO_0005990_7	rsfS//wza//
GO_0005991_6	clpS//tyrA//scpB//aceF//yoeE//
GO_0005992_7	msrQ//phoU//
GO_0005993_7	tynA//aidB//tnaA//
GO_0005994_6	nuoH//
GO_0005995_7	dps//
GO_0005996_4	sucB//fimH//kdgR//kdpA//pmbA//dnaG//ascG//polB//tdcE//purB//frlR//yoeB//tufA//rcsC//tig//fimD//yeeA//hlyE//sad//yihL//nirC//tcyJ//pflC//yafS//ftsL//narG//gfcE//entA//bepA//rsmF//ccmH//cyoE//rcsD//rfaF//rep//mglA//ldtA//yceK//yneL//ugpE//yadN//xylH//dgcF//frmB//xylB//galU//yebC//yihU//rpnB//rseB//agaW//seqA//setC//ychF//yjtD//nth//ybdH//elfC//betA//yphB//nuoH//rsgA//ftp//ycaN//ycbV//pgrR//fadL//gadA//tatE//waaO//ibpB//artJ//feoA//livK//dcuB//mtlA//clsA//epmC//znuC//yidP//syd//dmsC//
GO_0005997_6	rfaF//
GO_0005998_7	nlpE//
GO_0006000_6	opgC//ompR//yafN//
GO_0006001_7	glsA1//rcnA//
GO_0006002_5	uup//yoaB//pheS//
GO_0006004_6	hslU//rlmG//ttcA//dmsC//frwC//yddM//
GO_0006006_6	frwC//gmhB//topAI//yggD//yiaA//yfgO//hdfR//ydeE//sgbE//adeP//ycgB//xisR//trmO//insA-2//elfC//sdhE//mhpB//mdtK//mepM//frdB//narQ//yiaN//glsA//
GO_0006007_7	yhhZ//dnaX//yphB//
GO_0006011_5	eptB//
GO_0006012_6	yefM//pheA//nikE//envC//menH//cheY//clsA//sdhE//pagP//
GO_0006013_6	xylH//xapB//
GO_0006014_6	uxuR//queF//fcl//
GO_0006015_7	asnS//yajO//
GO_0006020_5	ldrB//
GO_0006022_5	deoD//rfaH//acrD//mioC//asd//ugd//ade//rpnA//rsmG//fumA//ygcW//cysA//ybeY//yehB//hicB//nagZ//tehA//wecC//degQ//frdB//hemG//qseB//mdtL//ybcL//proV//rhoL//moaC//rimL//hdeB//yfgJ//dicC//yihQ//dhaM//idi//mhpB//yahB//ygaZ//gltK//glnH//ybeY//ymgA//yeeO//cusF//agaB//fepB//rlmL//ftp//uvrC//eptB//ibpA//ldtA//recO//ilvA//yjaA//fes//moeB//rpoA//exoX//bglB//lpxM//sdhE//ykgF//insH-5//
GO_0006023_6	setA//casA//flgF//cysQ//cheZ//phoU//yebQ//gsiC//gapC//caiB//aldA//adeP//bdcR//gltK//rspB//dps//mhpA//hypC//treR//ybhI//parE//sgbE//thrC//ibsB//envZ//rhoL//cadC//yciA//speG//cusF//rnt//hycB//hofO//truA//dctR//cbeA//oppF//cysM//yhaV//
GO_0006024_7	dcd//fadM//yojI//galF//sgcX//phoU//mliC//bssS//yihI//cca//ybiA//yieK//ydjL//lptG//yfiR//rlmC//gcvP//yeeJ//yeeY//fimI//yfbR//yfdS//etp//yjgX//agaR//hypF//yggP//yhjC//yraJ//yidQ//nuoE//tcyN//ubiI//cpoB//cvrA//mglB//blc//ycjD//ldcA//
GO_0006026_6	putA//gpp//rarD//deoD//xisE//barA//bdcR//hisM//ulaA//ymfA//
GO_0006027_7	yjtD//recE//adhP//ykgA//yfbR//fiu//araA//fpr//torR//gapA//
GO_0006040_5	yhdW//rplS//hcaB//frlA//yiaJ//ydbD//erfK//tisB//artJ//ulaE//tldD//pgpC//amiB//poxB//prmB//eutB//rseB//
GO_0006044_7	acpS//ulaC//yceK//glnQ//wecB//
GO_0006046_8	rlpA//sdhE//avtA//yhjA//
GO_0006047_5	panF//yraI//bamD//rutR//dusB//yidR//tonB//
GO_0006048_6	greB//pspD//ftnA//trpL//sdaC//glnD//
GO_0006050_6	tabA//
GO_0006051_7	csgB//
GO_0006053_8	recR//
GO_0006054_6	yjcE//norV//rtcB//hofP//clsB//fre//lsrC//
GO_0006056_6	paoC//
GO_0006057_7	mdtP//
GO_0006059_6	yejE//rhoL//waaQ//rpmJ//
GO_0006060_7	nimR//
GO_0006062_8	cdh//
GO_0006063_5	waaO//yhdW//mrr//yfgO//panC//emrE//ydeM//mutH//dgcM//
GO_0006064_6	metL//bglX//citX//rhtC//ugpE//phnJ//
GO_0006066_4	tsx//birA//mdtF//insI-1//luxS//dmsA//yciG//lsrK//rpoD//pheT//citE//yidH//ibsA//zntA//pabA//proP//ftsX//waaF//rplF//ybgQ//ydjE//cbrA//yhjR//lpxT//agaA//pstA//flgD//tdk//rnlA//pheM//yieH//entC//
GO_0006067_6	cusF//zntA//tsx//
GO_0006071_6	yqjA//ygeA//murJ//ccmF//tktA//rfaQ//dinJ//
GO_0006072_6	dsbG//cbtA//rpmE//hflK//mepS//
GO_0006073_6	tabA//yqeG//livH//yjiQ//rpnB//coaA//ghxQ//bioH//pheT//guaC//relB//ligB//acrB//glxK//wzzE//nikA//yraK//dppA//yneL//yneL//
GO_0006081_4	yjhB//sapD//yjhH//kdpE//adeD//bglX//pstB//lysU//mtlR//nikR//yoaA//yadV//caiF//argI//bfr//allB//dgcQ//ftnA//kdpA//lpxL//betI//yjbF//fliT//mprA//gppA//yiaM//bglB//livM//tsaE//rsfS//galS//yidP//atpC//hrpA//tldD//hybA//fabR//msrP//yehU//glpG//gyrB//hypA//pitB//tomB//cydD//fliL//arcB//ftsQ//potI//lldR//dgcT//katE//clsA//wzzB//mltF//yccS//bioP//rhaS//uxuA//tktB//aroB//ybhR//gpsA//ygiB//pncB//allC//dnaN//
GO_0006082_4	mltA//yjiM//rne//cycA//yehX//gspE//queE//nuoL//yicJ//mdtQ//ccmE//mtr//paaD//dapD//proC//prfC//hyaC//cof//rsuA//sgcX//ydiV//gcvA//trpA//ddlA//rpmE//ybgP//ypdF//ugpB//metK//cpsB//pdeH//argC//artQ//citX//sppA//deoA//glcA//evgS//narW//yhjR//yddG//speD//torS//yjiM//fruA//dctR//ydeO//waaQ//hslJ//hscB//fecB//yahK//pphB//glmU//agaA//gcvH//lpxM//fdoH//creB//asmA//insE-1//ybcL//ebgR//ubiC//ftsN//dppA//wza//mepS//yajD//hicA//eutK//waaP//msrQ//cueR//yajD//ygeW//fadE//tdcE//ybdH//fimC//nrfF//nrdG//xseB//pspF//uvrA//recX//alaC//narX//atpD//aroP//paaX//fimI//mdtD//tusB//ghxQ//srmB//rluC//yajL//phnJ//yhcN//icd//tilS//oxc//pgl//narP//osmC//epmA//oxyR//lacY//viaA//ghxP//rep//rlpA//mcrA//menI//rplJ//garP//recG//betA//tqsA//pmbA//ycdY//sgcX//tatD//yobF//secD//uup//ydiK//yfaV//atoC//ompL//rcnB//rpoH//pepB//mhpB//arsR//ihfB//metB//yhdJ//ydcI//yaiV//feoB//thiE//fadH//tpiA//bisC//flhE//ydfG//ampD//mngA//gltX//mcbA//hypB//cynT//rhmD//fhuC//lpcA//clcB//deoA//tdcB//mscS//fadI//envC//hisF//amiD//ibsD//lolA//yfcV//glmU//amtB//ulaB//tadA//mgsA//eutD//efeO//casA//nanS//wzc//dcuA//caiD//ydeP//zwf//atpH//rzpR//dadA//yidA//zapB//yiaJ//eutN//rnhA//wcaJ//ddlA//setC//iscR//holB//gmk//arnD//nepI//yhjA//ycbB//fdx//fimH//mepA//gppA//yajR//mreD//ydiZ//atpG//chiP//rplI//fadJ//gcl//plsB//fabG//dmsC//hemF//mgtA//iscU//tolQ//uidA//ycdX//yhgF//sapF//cysN//yqeG//uxuA//ilvI//yahN//fadR//dnaA//aqpZ//gyrB//osmC//rpmF//dgkA//ftsY//pdxB//degP//zraR//tisB//kdgT//ghoS//yqiG//hisA//moaE//mrcB//agaR//dcyD//chbB//parC//sufC//yccS//otsB//rpmC//radA//hemE//citE//glpC//ymjB//mprA//ybiS//lysP//ampE//ligB//betB//prlC//lspA//btuR//ykgM//potC//fumB//phnP//phnH//rsmC//menA//yneJ//uxuR//ygiV//tcyJ//proB//yfdR//gcl//yobF//rarA//pcm//flgB//tus//ydeE//yqiI//pinE//ybdG//kbaY//cbeA//mreC//yafE//mnmA//purN//selD//ttdA//nlpD//yjtD//mntR//yddL//sapB//yqgF//dinG//malF//ydeT//yraJ//ftsN//add//gpmA//glcA//rutB//sdaB//cheW//fliD//mcrA//yceO//amiD//nrfG//nlpD//sucB//rimI//tadA//lsrC//potE//pgsA//cbrC//aspC//minD//ligB//rnlA//rplB//hupA//mioC//ampG//fabB//dicA//nudC//nuoG//alaS//rlmM//asnB//cobB//argT//ghxQ//glk//ygjR//rimJ//yeeJ//zinT//napC//lolB//alaS//bipA//prkB//glgP//dtpB//ibsA//yegD//ycfH//mtfA//ttdA//moaD//fruK//hcaR//tufA//yfeW//hemH//gutM//cadB//cobC//dsbC//yehU//tsx//thrS//intZ//dbpA//fruK//mhpR//recT//yibF//nudF//ibpA//lasT//waaB//uhpA//acnB//glpB//yehY//creC//emrD//dsbA//hybD//gadB//rlmC//hemF//ybgQ//mlaB//yggN//rutA//argT//melB//sxy//ebgR//fliM//xthA//ycgR//thiQ//epd//gpp//rzpR//melB//feaB//araE//insH-6//dgoD//clpP//ydjM//btuE//ybiH//mutM//hemN//artI//ybhR//cmtB//priC//pdxA//rfaC//envY//gutQ//ccmE//ugpA//pdxB//tolB//uxaC//ribC//rhaM//nrdH//emrY//cysC//gadB//rplK//aspC//narQ//yaiV//fumB//yiaM//purR//ychO//rayT//abgB//frsA//cydA//malP//yneE//amiD//yieF//ldrD//
GO_0006083_6	ycjP//feaB//tmk//macA//waaO//rseB//
GO_0006084_6	yeiG//mdtB//
GO_0006085_7	yiiD//yibF//
GO_0006086_8	hdfR//
GO_0006089_5	ypdI//ybdN//katG//uxuB//nagD//glgA//yehB//ychO//ynfL//mutT//yihQ//ybfE//hyaA//dnaA//fabI//mscK//ldrA//paaF//yggT//gcvP//yebQ//alsK//aroE//yibA//bssR//ybcM//csgE//infC//ydiZ//
GO_0006090_8	secM//oxc//baeR//cspC//caiF//pitB//insI4//melA//srmB//garP//maoP//yegT//yaaA//crr//holD//yjiY//yqgF//atoC//mscS//fbaA//phnM//spy//mdtQ//rpmF//murQ//tnaC//fecC//narV//yjcE//alaC//ndk//
GO_0006091_4	yihT//accC//ydbD//gspJ//fklB//xerD//eutK//lpxP//srlR//umpH//cdd//dauA//guaA//msrQ//ruvC//rpsI//gshB//rplE//mreD//ubiC//ygcW//rpsB//ung//yebZ//psuG//sspA//insB-4//bioP//prs//yccX//patA//pta//lgoD//essD//epmB//valS//ansB//adhE//malS//frmA//rnr//maeA//xylF//mhpD//dicC//mnmC//yciH//matP//pgaC//yhjV//rhaA//fabD//mmuP//chbA//bioD//ydjE//cysW//cysP//dcuA//slyD//metF//chbF//fadM//ispB//mzrA//actP//torR//kdpD//alpA//eamB//yphD//pflB//yjiM//hyfC//hybE//yneJ//tpx//ycjW//yneL//sohB//puuA//uvrA//bluR//ymfA//mutY//nuoF//ydeP//cusS//rbsR//cycA//cspB//ilvM//corA//secA//ruvB//yfdO//argG//lolD//rnd//nanC//leuA//rcsF//flhD//apaH//cas2//csgD//fic//fryB//hisC//ybcQ//idi//hemE//
GO_0006094_7	artM//mglB//ssuE//nuoH//yjeI//ybaO//fixC//pheT//hycI//murC//
GO_0006096_6	phoA//ilvB//lplT//aidB//xylE//gntK//cysU//ivbL//yieF//casB//rpsA//narZ//tolB//crl//moaB//argD//chpB//azoR//
GO_0006097_5	araG//ribA//hybB//opgD//exoX//
GO_0006098_6	yciG//glvC//ogt//mlaD//dusC//
GO_0006099_4	fimI//crcB//bamD//macA//mrcA//bamE//mog//elaA//adeQ//uspF//nudG//yagU//fic//eco//luxS//purL//lsrG//
GO_0006101_6	pphA//ymfA//lsrR//fbp//kefF//glpD//speG//agaW//yoeE//kdgR//mtfA//exuT//yciK//acrF//tesB//dedD//sdiA//
GO_0006103_5	mnmG//treF//wecA//
GO_0006104_6	pck//rrrD//rnt//
GO_0006105_5	yjeH//nlpE//coaD//rlmD//frmB//hns//yciG//appY//
GO_0006106_8	htpG//
GO_0006107_8	hcaB//
GO_0006108_8	argP//fimA//dgcF//fryB//ydjJ//
GO_0006109_6	potF//mtnN//cusA//aspC//sfmH//moaC//ynbC//tauD//holE//
GO_0006112_5	livJ//folC//mraZ//lptB//lpxL//pflA//btuR//lpxH//
GO_0006113_5	allB//cysS//dnaT//rssB//hybA//syd//cmoA//cpxP//narU//ygjH//cydA//hofN//rihB//
GO_0006115_6	hslU//
GO_0006117_5	mscL//
GO_0006124_6	rutG//
