#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	greB//cdaR//iscA//hslO//
GO_0000920_3	yjbE//bcp//tolR//yiaT//ynhF//
GO_0000921_6	rffC//
GO_0000966_8	hybO//malP//cpdB//crp//
GO_0000967_10	ompA//argP//yjcE//
GO_0001101_4	fbp//cptB//dps//btuE//nuoM//clsC//yhjD//cspD//yobA//lldD//ushA//xseB//yfdK//ttcA//pepD//ydcP//glcF//ybbN//recR//uxaB//pspF//iscX//sapC//ybdH//ygeV//hofP//
GO_0001121_7	moeA//dcd//
GO_0001123_8	sufA//
GO_0001124_8	sohB//
GO_0001407_7	argS//nrdE//yraK//nemA//
GO_0001505_4	nagK//ubiI//gshA//waaP//feoC//feaB//fucP//potC//livK//valS//yjjB//frvR//fiu//yagF//aroC//ariR//
GO_0001510_5	gadW//psd//ynbB//fepD//xdhB//rsmD//sufE//gntR//waaP//mdtF//ompN//mog//hchA//tsr//ybjL//fdrA//yhaM//clpS//fadI//panZ//deoB//yiaB//rfbX//purL//sbmA//garR//ddlA//rseB//rzoR//ompN//mutT//mqsA//dinI//mltB//murJ//cheB//tar//srkA//ydhK//rarA//
GO_0001514_8	waaB//
GO_0001522_7	patZ//ynaI//amiA//hisI//frdC//fdhE//gsiC//sohB//fdx//bioC//arfB//yghU//rcdA//
GO_0001539_4	tatD//rplQ//cobS//bioF//narY//ycjQ//aes//prpB//nrfF//ddlA//gntR//rpsB//soxR//nadC//yadI//pgi//frvR//dcuD//nanR//pflC//etk//exoX//btuR//iraD//torS//yebS//yibT//ygeV//ispU//dinJ//dkgA//
GO_0001558_5	ygbI//glnP//leuS//htpX//yobF//def//groS//ppk//
GO_0001561_6	phnP//
GO_0001666_4	lepA//
GO_0001676_6	nuoN//sapF//tas//
GO_0001680_11	rplY//
GO_0001682_11	emrY//
GO_0001731_7	hemE//
GO_0001762_6	cas3//
GO_0001887_4	flgM//ftsY//bssS//
GO_0001896_5	secD//aphA//hmp//crp//
GO_0001907_5	glmM//yhbY//rlmM//dkgA//
GO_0001932_8	nrfF//trpA//
GO_0001934_9	manA//
GO_0002047_6	nagK//metN//
GO_0002097_8	epd//envC//caiD//rhlE//prmC//ydeM//uof//yagU//ilvH//mpaA//lysS//hybF//xerD//fetA//yhhY//ybhA//caiB//alpA//rlmG//
GO_0002098_9	fepC//mgtL//yehW//intE//sfmA//phnH//obgE//syd//ydcO//bepA//ppiA//trg//bamB//
GO_0002099_9	ravA//dgoK//
GO_0002100_9	treB//
GO_0002101_9	moeB//rpsH//
GO_0002128_7	rcsB//pdeK//betA//mdfA//
GO_0002130_8	yihP//
GO_0002131_9	cysA//
GO_0002132_9	osmF//
GO_0002136_10	fepA//
GO_0002143_9	yjjU//phnO//secD//ybjX//tusD//galM//
GO_0002181_7	yfeR//potC//
GO_0002183_5	asmA//
GO_0002184_8	yjeH//
GO_0002188_6	pspC//
GO_0002190_6	nrfC//
GO_0002192_8	dmlR//
GO_0002252_3	matP//exoX//glpD//treC//ihfB//alaA//polB//ampG//folD//yahB//
GO_0002790_6	rpoH//yjiX//argO//hypB//phnC//fdhD//sohB//
GO_0002937_9	xanQ//
GO_0002938_8	yqeA//
GO_0002939_7	nagD//
GO_0002943_8	hchA//
GO_0002949_8	ilvC//recB//pdxY//waaP//
GO_0003333_7	yjjQ//nuoL//ytfP//ybgP//accD//dcuR//glsA2//lolD//acpS//gcl//solA//dcuB//yiaB//fimG//ybaM//kdsD//atoC//melB//yahI//acpP//yaaY//tonB//mraY//ugpB//cpxA//yafE//pdxH//yfbV//ybaL//napB//tehA//yihO//plsX//ptsG//tcyJ//ffh//ubiD//yagF//sapD//gltK//hyfF//fhuD//waaF//gspE//tatD//deoR//agaA//ydjE//mepM//
GO_0005975_4	mnmG//raiA//rfaC//ada//aroD//leuD//citC//hisI//ycjW//yraK//mscS//ypdC//rhlB//lsrB//rpiB//mtr//ispG//lacZ//satP//ypdC//birA//ydaC//rhaS//mcbR//ndh//tnaA//kdpF//hofC//glnA//yddG//rpsH//gpmM//gutM//glpD//nuoB//rdgC//bsmA//hiuH//yggN//skp//hflK//pgpA//ygeV//msrP//gntK//ompT//yhaJ//setA//feoC//bioD//dicA//fumC//dgcN//ygjR//xanQ//rbsD//minC//pcnB//kduI//lpp//fepE//hlyE//ydfK//fdnG//hprS//rlmE//rcsA//relA//aphA//rlmB//tisB//dedD//caiB//wcaC//pckA//bioD//feaB//yphC//gatD//yhbX//yfiE//allC//mog//aaeR//rffG//alaC//proX//aroF//araG//rpsI//yfeD//dgcM//fumB//tsaC//pheP//arnA//ppsR//ndk//cysK//erpA//cheW//dusC//bdcR//bisC//flgB//yihR//mlaE//fau//hybD//oppB//gpsA//rarD//yqhC//mnaT//yoeE//amiA//guaA//yraR//yadM//chbB//maa//livJ//rihC//pgrR//fimI//ldtA//rutF//yeaK//nuoL//yiaM//ybhA//ydfH//ulaA//yjjU//ydeT//narH//dkgA//epmC//yhhZ//yaaJ//rdgC//agaI//yhfK//yhfK//tag//ftsQ//yjhP//htpG//motA//rpoE//csdA//yciG//ptsN//pgm//nupG//garP//flhC//cpxA//surE//clpA//glcF//xerD//rhmR//elfC//mrcA//pykF//aphA//nimR//cysZ//panE//gatZ//hfq//flgF//yihL//recD//ttdA//cycA//allC//chbA//lsrB//proP//mdtF//hfq//ydfH//trxA//entB//rph//yfcV//cysI//yajD//hisF//ybdM//nanE//cspI//folE//ybdR//ansA//recC//spoT//grxD//narK//prkB//ytfQ//araF//rpsM//nlpE//epmC//phnK//phoU//ubiC//zinT//purU//sdaC//ybiX//rpmF//rhaD//menB//dmlR//trpE//ldtC//fimE//intQ//kilR//yheT//rpoE//gmk//yghW//allD//ompC//lpcA//csgE//yhhT//sufE//yebQ//rplA//ybcQ//fixC//purT//cas2//opgD//setA//atpD//sapB//rpsP//yieK//glnK//phoA//cysM//nemR//csiD//pdeF//insI3//tsf//glgC//
GO_0005976_5	proS//yaaJ//yefM//rfaD//acrD//ybhP//acs//yodD//atpB//yahF//grpE//focB//araG//yehC//dnaK//fadB//lplA//nlpI//pspC//bdm//gadW//rplQ//entC//secD//uspC//ihfB//yjcO//mntH//smpB//yqiG//yebQ//ppiD//glcF//prlC//tatB//tcyN//tusC//rclC//dnaJ//glcD//yjeI//ydjJ//ycdY//prfB//lpxT//zupT//selD//nfuA//bcr//mtn//raiA//holB//pyrG//der//nagK//elfA//yqcG//ydeE//phnH//
GO_0005977_6	gabD//ddpA//tolC//xthA//rusA//yfcR//glpA//chbG//
GO_0005978_7	iscR//rsmJ//torY//yccS//
GO_0005979_8	gloB//
GO_0005980_7	cbeA//ulaB//pepD//
GO_0005981_7	ptsP//
GO_0005984_5	hemH//sbmA//mrcB//ulaC//ydaN//lacZ//ubiX//ymgA//fumA//btuB//gadA//
GO_0005985_6	recR//
GO_0005986_7	sstT//
GO_0005988_6	rsmF//yjcO//
GO_0005990_7	cysN//potC//
GO_0005991_6	cusC//ompA//yihX//trmH//cbtA//
GO_0005992_7	yjhP//yrbG//
GO_0005993_7	glrR//hprS//hemL//
GO_0005994_6	dicC//
GO_0005995_7	murP//
GO_0005996_4	rpoD//mdtD//prmA//rutE//mtlR//yahD//ilvB//sgcB//nudG//wzc//atpH//yhjG//thiP//yrdA//lpxL//yihV//csgD//nirB//dsbG//dicB//rpoD//cbl//mutL//cecR//setB//grpE//znuA//asnB//tdcB//rhlE//mscS//yfcG//rcsD//puuR//ilvN//sthA//flgB//tsgA//nupC//tehA//bluR//sdhD//caiD//fucA//yfeW//mpaA//kdpF//ahpC//caiD//fimH//queA//mdtI//mppA//ybdG//yfdS//uhpB//yidA//nemA//truC//lysU//glgA//emrY//ydhK//ptsH//rppH//rdgB//emrD//hicA//lpxH//ycjW//rarA//dcp//lptD//hyi//citC//menI//satP//ilvE//fadI//lgoR//ydjJ//emrD//
GO_0005997_6	elaA//
GO_0005998_7	dgcE//
GO_0006000_6	cueO//yhaC//ilvL//
GO_0006001_7	csiR//speG//
GO_0006002_5	ygfA//ilvE//eutA//
GO_0006004_6	puuD//dcm//blr//malQ//frvA//tatE//
GO_0006006_6	pfkA//ndh//arsR//ybhP//glcE//yehD//nanR//yegD//glsA1//tauD//tolR//glmU//frdB//yfdK//shoB//degQ//argF//bdcA//btuF//trpS//dtpD//rseP//surE//
GO_0006007_7	ccmG//mdtL//carA//
GO_0006011_5	btuB//
GO_0006012_6	alsE//serC//araF//xseB//folA//yfdO//yidD//minE//nmpC//
GO_0006013_6	nanT//tus//
GO_0006014_6	cysB//dapF//rrrQ//
GO_0006015_7	dinG//mutT//
GO_0006020_5	lipA//
GO_0006022_5	arsC//yjjG//fimI//ftsB//rpoH//borD//rpsS//rplT//ilvA//agaI//yagI//yjiR//yahI//gpsA//dgcZ//mhpC//nanS//yheT//murC//leuB//sbcB//rhaS//cueO//waaC//fur//nanK//ydfK//xylH//der//rlmJ//rng//aroE//fepB//glcE//rstB//chbB//menE//chpB//yfdS//dauA//fhuD//tcyP//nrdB//dauA//cutC//pcm//aroP//lepA//rpe//fpr//pfkB//aaeA//rnpA//hemL//cdaR//htpG//yhcF//alsC//oppF//dcuD//queD//zapB//pppA//
GO_0006023_6	argF//crp//gpt//fliD//acrE//rhtC//yhjA//rplM//yehZ//elfG//astB//xanQ//mltB//ydcO//mlaD//ampG//fis//msrP//moaA//der//wcaC//kup//pinR//dnaK//ugpA//sdhA//recN//flhC//yfcR//tabA//waaQ//pinE//hofN//btuF//eutB//metI//glgB//tatE//norR//
GO_0006024_7	sgcA//yiiE//adiC//rpmC//cspB//tauC//ycfJ//solA//flgK//yafN//rhaR//fimZ//kbaY//rcsF//pepQ//viaA//mrcA//mzrA//groS//rseP//fucO//degQ//rcsD//ettA//yaaJ//kgtP//ybgP//dkgB//uspE//basR//artM//miaB//ygjR//recA//glgS//folA//yfdS//mdfA//rplD//
GO_0006026_6	mtgA//ydfD//pstA//torC//mtlA//valS//roxA//yneJ//panF//surA//
GO_0006027_7	atpH//yiaO//yjiR//nupX//secA//minC//mdtM//argP//waaO//mrcB//
GO_0006040_5	nfi//yjfF//murE//atoS//modA//waaP//waaG//puuP//cmtA//ygeV//nhaA//ycaO//acpP//hycH//hldE//yjiR//preA//
GO_0006044_7	rpnB//uxaB//hycI//lgoR//clpP//
GO_0006046_8	yiaB//tdcA//envZ//ascB//
GO_0006047_5	arsC//ycbB//thiD//hdeD//glcD//minD//tsgA//
GO_0006048_6	fadK//rrrQ//ycgR//yjbE//yhjV//entA//
GO_0006050_6	glpX//
GO_0006051_7	fadK//
GO_0006053_8	pta//
GO_0006054_6	sapF//flgB//fadI//yihR//tnaB//lysC//secD//
GO_0006056_6	cedA//
GO_0006057_7	hldE//
GO_0006059_6	mzrA//rpnC//rpmF//gapA//
GO_0006060_7	rhaM//
GO_0006062_8	yehA//
GO_0006063_5	nadK//wzyE//manZ//nadD//ldhA//csiD//agaR//yfiC//adeD//
GO_0006064_6	yjhI//yejB//sspA//fbaA//entF//sdhE//
GO_0006066_4	deoR//ydeO//rpmG//hycH//aroG//ybdR//rihA//plsB//ybhI//hldE//ybiX//rsfS//rplF//glrK//ybgP//asnB//gudP//gsiA//adhE//kdpC//degQ//prc//trpC//ygfX//yjfP//kch//dhaK//yciG//trpE//melR//tufA//sseA//
GO_0006067_6	ydiQ//yggT//fadE//
GO_0006071_6	galM//arnF//yaiP//pcnB//yggN//rsmJ//ykfM//
GO_0006072_6	aphA//mipA//adeD//fryA//ydiV//
GO_0006073_6	menF//chbG//ydiO//cysE//rpsM//cobB//csgA//metF//tdcF//lapA//nrfA//frmR//hscA//yiaL//yraJ//rbfA//yhjD//ttdT//cbtA//lacZ//
GO_0006081_4	yhdX//hflK//ybjX//yfcV//cmoM//hicB//asd//sdaC//ftsH//cbeA//nuoE//lipA//purN//rffT//otsB//frlB//hyaD//nimT//dcuR//hofN//sgcR//torR//soxS//ogt//eco//ppx//yhjB//basR//fadK//rihA//yrbG//fetB//yggX//paaJ//hrsA//malQ//yfcV//oxc//mngB//cmoM//wcaJ//cusF//mraZ//ansB//ydjH//ulaC//rutR//ssuA//crl//cvpA//yeeJ//rsmB//ugd//nanT//ybdG//proW//xylG//ftnA//gspI//ldhA//psuT//lnt//lolA//yfbV//mgsA//accA//erpA//
GO_0006082_4	hrsA//azoR//ulaC//ghoT//csdA//idnK//prfC//hofN//ushA//ybdN//nanE//yeiG//cpdA//nuoE//mpaA//ydeP//elaA//waaQ//potE//phnI//yddL//uraA//csgA//rffT//livM//mglA//ushA//shiA//rutR//fliM//aspA//hemA//oppC//intS//skp//roxA//hipB//btuR//ymgC//yneL//radD//tolR//bhsA//yeaK//putP//glcC//hofM//casC//ycjY//ygaV//dhaM//hdeB//rplA//glrK//pgaA//tabA//yggX//yihQ//speC//kdpF//dhaM//epmA//rplN//galU//hipB//flgD//yahB//glpT//xisE//bhsA//zntA//ompL//appB//yjbH//yihP//gadE//glgP//frdD//bdcA//hflC//rph//sspB//yheT//nagB//btuR//cspE//narJ//aaeB//dsdC//bipA//dgoK//fecB//paoC//focB//pinE//frlA//zntA//arcC//abgA//lexA//yhbQ//scpC//pnuC//sfmH//tatC//ugpE//zupT//topAI//dppD//yaaU//arnA//flgI//insA-1//paaK//livK//mntH//phoP//fumC//rpe//ghrB//hdeD//lysA//argS//yfiF//psd//rlmL//ygaZ//menD//pdxA//ygeW//tag//ibsA//cysC//mutL//cfa//arcC//hypE//dmsC//ygbL//acrB//yeeL//yebG//ynfL//hofN//rmf//manY//ycjD//yadM//gcvT//yijE//kdpB//yhjC//ortT//agaR//malS//trxA//ispF//rlmJ//helD//yadG//srkA//yagE//yejF//yciG//ygfI//sfmD//yneJ//rseP//eamB//luxS//sufE//trpS//ptsN//ygiS//yeaG//fadB//fliD//dcuA//sugE//nfsB//hemE//znuA//ynbB//recA//flgK//relA//adeP//yobF//rutD//dnaJ//ynfK//fucO//ftsH//torA//fdnG//argF//yihI//sucC//znuC//qseC//rbsA//yphC//ssuC//cynX//lptD//gatZ//yoeE//murJ//murJ//yidL//rseC//tamB//yfdS//uspC//dbpA//dgcF//zapA//fhuD//preT//gshB//prpD//dinB//uhpC//speG//xylA//sstT//insH-5//rsmB//glsA1//ispG//proX//acrD//rihC//crcB//asmA//yoaA//gudX//fdnG//yidQ//yiiE//mhpC//ybiV//yhhY//rapZ//amtB//ompA//recB//epmA//glnL//yhjD//pitB//tamA//lsrR//ytfT//rtcB//fimC//hpt//nsrR//decR//waaL//hyi//rsmI//uspG//bglF//nlpI//fliK//chbA//sdiA//apaH//argR//rsmI//ibpA//ddpX//zapD//zraS//alsE//eco//cysS//rclR//lgt//intA//arsB//zapC//betI//prlF//acpT//mug//uhpB//yehU//glcC//hybG//rpoE//sgrR//pabB//hscC//yihV//secY//insA-2//opgH//sgcB//dnaN//csgB//murD//paoC//ynfF//gatB//casA//ygfA//ptsP//atpC//adiY//mutY//waaY//adeD//ccmE//dinG//ydcZ//yeeO//artM//yeaG//hslR//nac//cas1//ygaH//nagK//lptD//ycaN//uidR//baeS//nadC//deoC//recN//lpxL//queG//yeaV//yneJ//csdA//ilvI//guaA//rpsG//fimI//flgG//dcp//sixA//prpB//rpsP//rpe//ybjG//hflK//pbpC//mrcB//adeD//lsrC//potC//oppA//stpA//ybhS//arnA//rluF//pyrL//dpiA//frsA//cas1//opgE//hofO//narX//ydaV//sixA//cysG//yahD//purR//ycjY//ybiI//dsdX//ddlA//ugd//degQ//arcB//asd//dsbD//malE//mltB//mgrB//lolC//prpB//leuD//yqaE//flgI//emrE//rpsR//nagD//glcD//ftsW//pstS//csgE//tbpA//kdpC//putA//parC//yeeY//yhcN//rutF//patZ//dsdA//zur//ilvH//ftsB//mhpA//ydcT//glpD//yhdX//glk//yafS//dppD//cpoB//mog//ykfI//kdgR//htrE//metI//rutA//deoB//gph//malF//tas//argE//fdnI//gsiD//trkA//rpmG//atoB//csgA//ttcA//mntP//bioH//hflK//chbG//rnc//mlc//pgl//argP//basR//dnaN//fdx//yjcE//rutA//ftnB//ldcA//npr//comR//fimC//tyrA//pth//lptA//ybbN//hyfR//arcC//rlmC//pepD//manY//
GO_0006083_6	asmA//cydB//ptsH//frr//pfkA//ghrB//
GO_0006084_6	pncB//bcp//
GO_0006085_7	yfjR//yraN//
GO_0006086_8	ygiB//
GO_0006089_5	nupX//yfdC//mdtP//ydfD//mngR//insB-2//sgbE//lgoT//aqpZ//gltB//yafE//pabB//cusA//sdaB//dosP//dgoR//puuC//arnB//rcsB//sbcB//phnH//rhaM//bioC//ccmF//yeeA//sgcE//pinE//glyA//ybaE//
GO_0006090_8	hypA//recG//potC//tabA//yghG//trpL//focA//rpiA//mlc//malP//rcnA//ffh//recT//rsmA//yiaO//ypdB//ahr//asnS//hiuH//ybhF//pal//alsK//ppsA//hexR//araC//ybaK//gcl//lgoT//phnN//yjiY//yfdK//
GO_0006091_4	acrA//betI//ybhD//mlaD//murF//atpE//yohD//rpsP//ubiD//ttcA//trpD//insF-1//folC//luxS//mlaC//prpB//rpsK//bamD//ymdB//yhgF//htpG//yiaM//yehZ//mepM//cobU//hyfR//hflX//sapF//recA//phnM//fadI//alaC//perR//trpD//fepG//yjcS//rsmF//hscA//eutN//tyrA//glgS//tesB//ispH//yagU//fucP//insI-2//ygiN//glyA//mtlD//tabA//rcnA//endA//evgS//tauA//rpiR//tesB//glpR//hisQ//aldB//hybA//aaeB//ugpC//yhbQ//rplB//mtfA//minE//bfr//gcvR//argC//guaD//cobS//ygiV//hyaA//cedA//trpE//ybhD//ytfQ//garK//sufC//ynfH//ascG//gcvT//rbsA//bglJ//acrB//gntP//curA//sucA//fliA//paaC//ycgB//ydjE//agp//hemA//cdd//zupT//cfa//rfbX//mutL//emrE//mog//sgcA//ycjW//pspC//envR//ftsP//insH-5//yfeR//yihS//soxS//kbaZ//adeP//
GO_0006094_7	araA//arnT//yohD//kdpA//sgcC//bisC//truA//mipA//panC//fimA//
GO_0006096_6	ccmH//malZ//efp//glxR//rbsB//acnB//cspA//mdoD//hisG//hcaD//sfmA//yoeE//fixA//nagA//acrD//argR//dacC//csrA//
GO_0006097_5	yjjX//secY//acrB//crl//rdgC//
GO_0006098_6	ybcJ//csiR//ybhF//yahD//dnaG//
GO_0006099_4	ycjD//dapD//kilR//hupA//basS//amtB//dctR//hyfC//rseB//uspC//narV//groS//eptA//narG//yaaA//yfdS//rplO//
GO_0006101_6	rhsD//carB//ybdM//zapA//yejB//hemH//clsB//smrA//uup//deoD//tsaD//bioC//ybiY//zinT//hlyE//intZ//hisP//
GO_0006103_5	ompT//carB//ydiR//
GO_0006104_6	acpP//entD//yaiV//
GO_0006105_5	yadG//paaG//dgt//purD//oppB//cheR//leuO//tdcE//
GO_0006106_8	tsaE//
GO_0006107_8	lsrC//
GO_0006108_8	ascB//gpr//insI4//pgaD//yceD//
GO_0006109_6	zitB//yfcU//osmE//tusA//rnr//nirB//fkpB//guaD//treF//
GO_0006112_5	glpF//qorA//rlmC//motA//gluQ//rcsF//prfB//yeiE//
GO_0006113_5	wcaC//argF//polB//uspE//nudB//yagI//xthA//dapF//gatC//nagK//rpsD//msrC//decR//
GO_0006115_6	yegS//
GO_0006117_5	cvpA//
GO_0006124_6	deoR//
