#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	citT//fecB//potD//rstB//
GO_0005975_4	frdA//yoaA//glpG//msrC//yfcV//wzzB//secM//torC//rplI//rzpR//glpT//nfi//ypdF//gadX//chbG//yobF//rpoA//polB//fur//ffh//mlaB//ivy//deoD//puuB//mdtN//rfaC//yacG//hisD//add//yqhD//dusC//ydfK//argI//fadH//erpA//entA//folD//livG//galU//glpB//perR//aroG//treB//umuC//pdeF//elaB//yraN//btuF//ulaE//leuE//gltX//fepG//xanP//nrdB//agaR//intS//rplT//deoA//clsC//yfcF//hdeD//pheM//dsdX//cpsG//bglX//guaD//rzoR//ybdH//yhgF//yiiD//nagD//nikD//nrfA//ibsB//narV//mlaD//acrB//kdpB//ubiH//fdnI//hxpB//ygiN//purN//nrfC//ygjR//miaB//ybdO//gntR//rhlE//sufS//sdhD//cobS//bsmA//sohB//truD//torI//araE//katG//yigL//fiu//mqsR//flgK//glgA//mepM//yidP//yihV//znuA//sgbE//yjiR//edd//aldB//ycaO//mhpA//gltP//mlaB//dtpA//intQ//mdtN//fepA//aspS//modA//fabA//pgpB//zinT//yghU//selD//rplL//chbA//katG//cheB//dgoT//cydB//entF//fimF//ruvB//hofN//ytfQ//pdeL//bluR//ilvB//sufC//aspS//yjjQ//dcuR//tatE//macA//emrB//lsrG//cyoC//yidQ//sbmA//mdlA//lgoR//ydhJ//trmH//tdh//mnaT//elbB//yegS//tnaA//tatE//epmA//yedX//def//wbbK//yfcP//ariR//torY//deaD//clsA//yajO//epmB//yqjH//rbsC//sbmA//suhB//yfbV//cmoM//melA//ydcZ//yciH//mobA//htpG//cho//appB//ompN//yebK//pyrD//folM//dnaB//yciV//modB//mnmA//yiiE//fadH//sgcR//coaD//ymfK//gadE//bssR//leuO//chaA//mdtK//dmlA//kdsB//lsrG//dnaX//acrZ//ybjN//valS//yhjB//rpsI//hybA//yibH//waaS//fadK//yhiM//yobF//prpR//livM//ynjD//yqaA//wecA//sufE//ilvE//aas//glvC//tolQ//hslO//lldD//zinT//ydiF//yciG//sulA//garR//rlmJ//cmoB//ampH//spy//insA-1//aroA//potC//ddpA//yhhT//pldB//araH//rhaM//metQ//gsiA//wcaJ//yiiE//yohC//amiB//aceF//
GO_0005976_5	uhpB//chpB//iscX//dusB//ribE//wzyE//yidA//recQ//yadK//pnuC//cmoM//paaF//nadE//rzpR//purB//kdpD//ycbX//carA//avtA//fhlA//mnmC//rodZ//ygjR//exbD//erpA//mngB//bioD2//hemA//ldrD//ycbX//napD//sdhD//yihR//pth//fixB//aroA//dhaM//insI1//uspG//sgcB//gcvA//fecA//gcd//dgoT//wza//cyoA//tyrS//ndk//yadI//sxy//malK//ydbD//nanS//bdcR//ddlB//glnS//mlaE//speE//ompG//
GO_0005977_6	ubiA//cysQ//yjhP//osmC//sucA//lacI//pdxB//gspJ//
GO_0005978_7	umuD//radA//mdtN//yafN//
GO_0005979_8	waaQ//
GO_0005980_7	argH//ygdG//agaR//
GO_0005981_7	cpdB//
GO_0005984_5	narL//glgS//cmoB//folP//carA//yabI//gatA//yhjR//artP//ispU//dtpA//
GO_0005985_6	narW//
GO_0005986_7	folX//
GO_0005988_6	potF//mlaE//
GO_0005990_7	fabB//glsA2//
GO_0005991_6	gltS//evgA//cbl//pepD//leuD//
GO_0005992_7	yphB//lysO//
GO_0005993_7	yjtD//qseC//yhcN//
GO_0005994_6	bluR//
GO_0005995_7	yagU//
GO_0005996_4	glcC//bioA//ygiV//pspD//lexA//artQ//yagF//tatE//gpmA//yiaM//borD//ybhI//yjeH//yhcH//rffC//norR//mglC//map//argP//yhjB//yphB//nuoE//arsB//ftsX//rlmD//pgaB//nagA//rsfS//hybG//narP//chpB//rplB//cobS//sapD//ydcR//rfaF//symE//rsuA//ycfS//upp//yaaY//fruB//fepE//ydcP//radA//ycjW//priA//kdsD//ppc//yehB//chpS//pncB//fabG//adiC//sucB//zntR//yadM//ybhJ//yiaN//thiD//intQ//lpxT//opgC//exoX//amiB//glgC//yefM//puuC//mug//nrdG//yhaV//yjaZ//dgcN//narU//mazG//thyA//flgG//thiP//rfaC//yeeJ//epmA//htrE//
GO_0005997_6	gmk//
GO_0005998_7	asnC//
GO_0006000_6	yidK//narL//cmtA//
GO_0006001_7	mtnN//entA//
GO_0006002_5	ybiI//nrdE//waaS//
GO_0006004_6	ridA//aldB//yggE//agaI//pspA//rutE//
GO_0006006_6	cobT//dusC//actP//pepT//idnD//dedD//solA//yiiD//yeaE//yojI//dinB//rsmJ//psuT//ycdY//amiC//folA//polB//glnA//yfcR//orn//glpG//lnt//glpR//
GO_0006007_7	yegV//ycgV//yajO//
GO_0006011_5	entE//
GO_0006012_6	rsmD//pspF//rof//tusC//agaW//sdaC//kgtP//msrC//yeaV//
GO_0006013_6	rhaB//uxuB//
GO_0006014_6	yfcP//fliZ//recQ//
GO_0006015_7	tauD//pyrL//
GO_0006020_5	cheZ//
GO_0006022_5	tusB//wcaB//envY//gldA//coaE//yfeO//rpsK//rppH//ldrD//tauB//puuC//trpC//pnuC//priC//murD//cyoC//bglJ//tmcA//wcaB//mdtG//yiaU//ileS//hybF//ykgF//gfcE//topA//rpsG//recT//rpoH//sdhB//menF//frr//srmB//cmk//kdpA//nrfA//pgaD//borD//polB//prmB//serC//glrK//glcB//yeiE//csgE//fabR//ubiB//fadM//gltD//hemH//yraR//wza//gspF//tusE//ilvM//glmM//mlc//prpB//tmcA//qseB//pntA//zapD//yahN//
GO_0006023_6	bglJ//flgJ//sspB//rnt//ychF//bolA//frvB//dgcQ//dnaT//def//dtpC//trmO//ycjU//decR//msrB//yaiW//mdtM//zapE//ppiC//yedP//yfcV//cobS//yhiM//pitA//yfcS//yadN//uhpC//trpB//phnH//poxB//rne//argO//nudC//yqeG//thiP//hda//setB//tnaB//ydeO//
GO_0006024_7	wcaB//yjfP//yebC//rbsR//pheM//prpD//araG//yfhH//yadI//tsx//aceB//fepE//dsdC//gmhB//etp//nrfB//cheZ//elbB//chbA//gapA//recB//cecR//slyA//pepQ//fryB//degP//cysB//alkB//trpE//ybbY//dauA//yoaA//gntK//mgsA//fabR//ybgQ//hisM//fkpA//lpxM//
GO_0006026_6	cspC//sgbE//uspG//alkB//ugpE//lamB//recC//purD//cynT//yidA//
GO_0006027_7	afuC//cydC//ompF//lnt//nlpI//thiI//yhjB//purA//ybjX//yegS//
GO_0006040_5	yfgI//yiaN//treB//guaC//rsmG//phoE//uup//metE//fliT//dxr//yciF//fixC//fimA//hinT//pdeH//rutC//yiaM//
GO_0006044_7	artQ//ydeM//yacG//yciA//nanS//
GO_0006046_8	yciK//ybbW//uxuR//mtfA//
GO_0006047_5	tap//lpxT//tufB//tamA//btuB//dsbC//dxr//
GO_0006048_6	rpsP//hybB//yneL//leuD//fadD//gyrA//
GO_0006050_6	pinE//
GO_0006051_7	serS//
GO_0006053_8	pdxA//
GO_0006054_6	sufE//mgtL//ymfK//frmR//dicB//fliZ//menH//
GO_0006056_6	yfiC//
GO_0006057_7	erpA//
GO_0006059_6	mdtE//rtcB//lptA//cydC//
GO_0006060_7	norW//
GO_0006062_8	birA//
GO_0006063_5	bamC//ggt//yihL//clsA//ascG//hcaT//nuoI//yjhI//kdpC//
GO_0006064_6	malI//moeB//abgB//ribA//dxr//phnP//
GO_0006066_4	waaP//pspC//yfbS//yqaA//yhaM//yfeW//nanR//hisS//ybiJ//yadC//cheY//tcyL//lsrC//gcd//ypdI//tdh//dhaK//sulA//rcnB//tig//ileS//tsgA//ttdB//emrE//mtr//yhaJ//pepT//yehX//nanE//yihT//yieF//yjhC//
GO_0006067_6	yjiX//yegT//birA//
GO_0006071_6	chbC//mdh//ybhI//yeaV//rihB//opgG//yhcD//
GO_0006072_6	bamA//sutR//thiP//glnH//nfi//
GO_0006073_6	wzyE//nadC//agaI//fimG//yraN//kgtP//kdgR//mnmG//clcB//mqsR//atpC//yfcQ//btuC//thiD//gluQ//ndk//yhgF//hisG//bglA//ybiX//
GO_0006081_4	tyrA//cysZ//ansB//eamB//abgT//ftsE//ydcP//glgS//hypA//oxc//rfaB//hpf//gapA//oxyR//hybO//mtfA//abgB//yggT//kbaZ//lexA//xerD//folA//yebZ//nanK//flhC//gpt//ispF//pgrR//cysB//ygdG//rcnB//recD//dctA//hybG//recG//yjeH//tesB//ypjD//csgF//glpR//phnN//ycjR//cpdA//paaE//atpB//intA//dinI//fpr//cvrA//yjbB//aes//paaG//sgrR//glcB//acrD//treA//rpmE//ldcA//dgt//pepA//cspE//intA//yggE//queG//trpL//dnaG//thiH//
GO_0006082_4	afuC//carA//yddM//uvrA//rutC//yggT//recX//citC//hemD//gpp//clcB//yihS//sufC//rraA//fhuD//ompN//ubiX//bamC//hybD//fliZ//glgA//phnL//cysH//rplQ//narH//dfp//yehA//yggE//cvrA//holC//osmY//cedA//slmA//mtr//polB//hipA//fdhD//fucA//dhaK//dcuS//galS//tehA//trg//yhcH//dgcT//dacC//ybjI//gcl//dcuS//uhpA//alsA//ldhA//hipA//ycfJ//insE-1//ybcM//betT//ydeM//glnL//cpxA//tyrA//galE//xerC//mgrB//frvR//caiF//tcyN//comR//seqA//cobT//mhpA//cynS//ppsA//ydhQ//rcnR//mlaF//glcA//yddM//uacT//cusR//ybhA//ybbN//ygiW//cecR//cobB//yhhZ//ybdG//arnE//yqaA//betI//arnB//dnaG//bisC//fbaA//yjjG//bioH//ivy//aldA//fepD//slt//yaiW//hcaF//cas1//torI//yfdC//trpS//galM//hofP//ygaZ//valS//lptC//znuB//sgbE//acpH//potI//sodC//yehP//yjtD//ydcM//cpdB//pbpC//kilR//recR//relB//cueO//hisQ//mcrB//yghU//narI//envZ//def//gdhA//rayT//gapC//yddL//atoC//araG//lpxC//glvB//mtgA//fixC//yfdO//feaB//rsmH//tamA//relA//aroD//ligB//lpp//yhaJ//epd//rng//fieF//glgA//yciF//tcyP//ycfS//galR//barA//ybgI//yggE//recA//ychF//yedP//aidB//gltL//gatB//umuC//malK//cspI//malX//kduI//malS//mrdB//rsmJ//tatE//ydjL//blr//hprR//tsaD//ruvA//tus//rraB//ldtA//pheT//hpt//gspF//rplL//ugpA//etk//leuO//mmuP//narL//radD//lsrG//dtpA//potE//mdtM//mutL//yieK//skp//yabI//ygeR//cusS//rpmJ//pflA//glcA//gmd//aceK//metQ//phnL//mtnN//umpG//yejB//secF//phnL//ilvH//yhfS//bisC//cedA//ptsN//infB//mltA//gmhB//casE//tdcB//dpiA//trpB//cydA//prpC//caiE//ghxQ//dsbG//moaE//recO//sohB//tatD//cspE//narY//lsrB//ivbL//kefC//appB//argI//yfgO//melA//dcuA//ftsE//arcC//alr//tmcA//rpmC//poxB//hprS//ulaA//nirB//hfq//yihR//dcm//menD//pta//pgsA//abpB//pspF//hdeB//paaZ//mazG//fdx//cbtA//rbsC//fimH//ychF//psuT//artP//waaY//ykgM//proX//sspA//rplE//feaR//pabB//rplQ//purF//uspG//mhpB//opgC//appA//nikD//phoR//insI-1//xylH//hinT//ubiE//infB//malI//ftsZ//rcsB//agp//bamB//gltK//bioD1//ldtD//yeaD//mdfA//tdcC//pphA//mscM//glsB//pgi//cusF//glcA//tyrR//mltG//kdgT//pcm//ydhQ//yfcF//cysH//leuC//cdgI//nagA//cho//rpsL//rtcB//livJ//ibsD//lptE//rhoL//tamA//ydaV//metB//cheZ//panZ//curA//yegD//greB//tehB//proC//hisH//cycA//nagE//rpsD//hdeA//rsmF//yahK//ihfA//fadE//appB//ddlB//fur//dinG//glpG//sdaA//gapC//hycI//dpiA//yieK//yidA//glsB//glrR//degS//dsbC//tamA//yaiV//uhpT//ribE//glgA//arcB//asr//tdcF//fadH//cyoC//gcd//metF//putP//rfbC//rpsI//melA//flgB//ycaN//betT//yaiP//yjhI//prfA//yjeH//hda//casB//lysR//nei//rplT//ispB//yidE//yfgI//cysW//bcp//ybiA//lpxK//osmY//clsB//emrD//yqgF//ftsB//yneE//yneL//glxR//sapC//gyrB//fbp//mnmA//yceO//wza//nuoE//pta//mhpC//gnsB//rfbX//hpt//speE//cutA//mdh//oppF//ydiR//mdtA//allS//rpsL//nirD//ybiA//mdtM//sspA//evgA//ssuE//aceF//eutR//yhcD//hisQ//dppD//tatD//tsaE//mmuP//ygiB//moaB//fliK//yhgH//rpe//adk//yceD//phnP//ygbM//afuC//gyrA//ypjD//yafC//rhsD//pntB//ybaL//glpG//rfaH//mgrB//upp//glpG//
GO_0006083_6	waaG//guaA//holA//ybiO//mmuM//pgi//
GO_0006084_6	malX//etk//
GO_0006085_7	casD//araC//
GO_0006086_8	elfD//
GO_0006089_5	cbtA//ybcQ//fecD//frlC//nei//rhaA//truD//flgH//yieK//ldtB//ybaE//yqeF//fruA//nuoB//hyfF//yfhH//glpA//arfA//lspA//aceK//yieK//ycaN//yigB//rplJ//waaY//flhD//zraS//rpsL//iscX//
GO_0006090_8	sgcR//fdhE//pdxJ//fpr//hcp//yfeW//ychH//rhtB//katG//proV//glgC//artJ//fixC//rbn//mnmE//agaW//elfC//yciA//fhuC//dsbG//yhdZ//hlyE//ybaK//hisH//rpmJ//trmI//ulaD//hofN//frdD//mnmA//rpsP//
GO_0006091_4	aroL//rimM//nupC//malG//cas2//malK//betT//panD//malI//slyD//yahN//proQ//dnaK//recT//lpxM//hchA//yahB//dmsA//waaF//cas1//ydeO//mrdB//lptD//rarD//tyrR//minC//ndk//mdtB//cspI//rhaR//slyD//trkA//pdxA//rplF//mnaT//rcsF//rutG//mepA//gudX//opgC//csrD//yfaV//hinT//ycbX//rluA//flgK//ratA//manZ//cheA//yggN//mlaE//dicB//adiA//elaD//tonB//glnE//atoS//appA//treA//hflC//psuT//ytfE//mutS//agaB//shiA//frwC//deoC//eptA//frdB//cbrC//hemD//hlyE//rbn//tldD//hemG//speA//mntP//ykgA//gcvR//aldA//cadB//hyaA//uup//ynfK//ybeF//fdrA//sapD//rlmC//rhlB//mcrB//kdpE//yhbQ//ackA//lysS//mntS//malX//frmA//clpX//putA//ahpC//dppF//rzpR//mngB//dinJ//ibsB//yhcN//ycfJ//rutA//fimF//hisQ//fadM//bluR//
GO_0006094_7	nadD//rraB//hprR//ptsI//ydcR//wzzE//dadA//yehP//wzzB//pck//
GO_0006096_6	yhcH//nemR//ruvC//rfaF//gsiB//hybB//etk//yjhP//ldrA//fbp//bioA//dppC//smpB//malF//yqaB//adhE//fimD//roxA//
GO_0006097_5	hybD//chiP//rhaD//cra//yciA//
GO_0006098_6	folM//entS//hldE//pgaD//gppA//
GO_0006099_4	phoA//dgoK//setC//ivy//yihW//kbaZ//basR//yagU//rplX//ssuE//mhpD//kgtP//yijO//eptC//yjcO//napF//ydiB//
GO_0006101_6	ykgO//yggN//dsbD//rbsR//dcuS//malK//rraB//smrA//srkA//gltB//rpmJ//aceA//fepD//trxA//hcaE//ampG//lolD//
GO_0006103_5	hinT//asmA//rzoR//
GO_0006104_6	uvrC//purU//rpmA//
GO_0006105_5	sodB//sbmC//frr//phnG//cysG//aroB//cusB//aroC//
GO_0006106_8	tauB//
GO_0006107_8	surA//
GO_0006108_8	rmuC//puuB//argP//yebZ//mltA//
GO_0006109_6	znuC//ccmH//phnM//glmU//treR//ldrB//trpGD//mdtP//hemH//
GO_0006112_5	topAI//yjiQ//ynhF//proB//ydgA//btuR//ybhJ//pyrH//
GO_0006113_5	lacZ//chaA//gspF//emrB//paaB//gltD//yidD//afuB//ybaK//dcuA//dfp//ycfS//glsA//
GO_0006115_6	ygcO//
GO_0006117_5	fadA//
GO_0006124_6	mscL//
