#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flgA//thrL//yedP//fryA//
GO_0000302_5	csiR//cysE//rbsR//corA//hupB//dtpC//epmB//yjeI//ftnB//yraN//fabR//mltF//hemN//leuC//lldD//marR//pcm//yfaX//iraM//sspB//asnA//rcsA//lacZ//fabR//ygjR//ycjU//gutM//dicC//proW//metR//fecB//
GO_0000303_6	gatB//rimL//
GO_0000305_5	atoS//rsuA//cedA//
GO_0000372_11	aer//
GO_0000375_9	ycaO//
GO_0000376_10	yiaJ//
GO_0000413_9	pgpB//mcrB//fimH//copA//kbp//ebgR//ahpC//pdxA//
GO_0000451_7	bioF//yedF//xthA//hslJ//eutN//
GO_0000453_8	cpoB//selD//setB//yqjA//narU//
GO_0000455_9	stpA//sdhD//ydbK//yjbG//evgA//srkA//dtpD//
GO_0000462_11	prmA//gcvT//
GO_0000469_8	nadA//
GO_0000470_10	mdoD//
GO_0000478_9	cheZ//
GO_0000715_6	talB//
GO_0000716_7	sstT//
GO_0000724_8	ada//
GO_0000725_7	tdcB//casB//ynfL//nrfD//ybhR//dnaG//
GO_0000726_7	cmtB//
GO_0000731_7	glnQ//yedF//tatA//argH//ttdA//add//rsmF//
GO_0000737_7	aslB//
GO_0000738_7	rhaT//opgH//lptG//
GO_0000746_4	cpdA//
GO_0000820_7	ycjU//
GO_0000902_5	yehC//
GO_0000910_4	rplP//yihV//hybE//ilvI//yeiG//ftnB//yibA//lptA//pdxA//yibT//arfA//trmA//melA//emrE//rpsJ//dinJ//yaiP//rbsK//
GO_0000917_6	pgaC//surE//rsgA//recD//pheP//
GO_0000918_6	ubiH//intS//nupC//parE//
GO_0000920_3	yjjQ//ybiO//sulA//yfiC//yagI//
GO_0000921_6	msrP//
GO_0000966_8	holD//fliM//dauA//mdtM//
GO_0000967_10	dedD//uhpA//sad//
GO_0001101_4	ycfS//guaA//aes//yafQ//ybjG//dfp//napF//yhaV//nirB//mnmA//uraA//yhfK//cadA//yifB//ccmG//ompN//dppF//arsC//accD//rpoS//phr//moaC//pldB//yihQ//narQ//hxpB//
GO_0001121_7	mrr//elaB//
GO_0001123_8	ftsL//
GO_0001124_8	lpxD//
GO_0001407_7	creB//sdaB//yebZ//ygjH//
GO_0001505_4	cpdB//pheM//crp//serA//smrA//lacI//sdhC//rpsB//uup//potB//tap//yhcN//fryC//ygiV//sgcA//paaH//
GO_0001510_5	tatC//mltA//yeeY//yehY//bioP//tatB//emrD//ycaN//yqeF//ymfA//ettA//nusG//erfK//yohD//paaX//dcuD//ppsR//hyaB//glxK//atpB//nuoG//solA//rhtB//hofN//rlpA//ffh//crr//ftsE//aceB//serS//trpS//yfcV//elfA//sgcC//ygbI//wecA//rluC//lptF//ymdB//arfB//
GO_0001514_8	rpmC//
GO_0001522_7	udp//insI-2//dnaE//ascG//gpp//pspG//pepN//rnhB//sanA//gpsA//flhE//rtcB//acrE//
GO_0001539_4	hypF//wzb//bcsA//pgrR//ynaI//lysR//otsA//speB//torY//btuD//ymgF//adeD//crl//hipB//fimB//tsaB//erfK//prmB//ytfE//gspJ//yfeD//bdm//yjcE//yjiM//srkA//cydD//glpX//gmhB//secY//pckA//lysR//
GO_0001558_5	bamE//nikD//iscA//hrpA//mdtJ//fimA//dppF//cdaR//
GO_0001561_6	hisQ//
GO_0001666_4	metN//
GO_0001676_6	aslB//ilvH//lsrC//
GO_0001680_11	hxpA//
GO_0001682_11	glpA//
GO_0001731_7	prmB//
GO_0001762_6	ppk//
GO_0001887_4	nrdA//baeS//iscA//
GO_0001896_5	ispU//sgbU//fnr//abgR//
GO_0001907_5	trkA//mdfA//pgl//feaR//
GO_0001932_8	entB//fetA//
GO_0001934_9	ygbN//
GO_0002047_6	zupT//tdk//
GO_0002097_8	sucB//mdoD//yccX//cpsG//ynfK//rusA//ybaO//oppD//narY//ompG//cyoA//menC//dcuB//nudB//dnaN//gcvR//intA//rhmD//dsbA//
GO_0002098_9	ulaE//dusB//yeeJ//yafO//yqaE//lplT//rfe//rpsJ//metH//yfeW//phnP//dsbB//btuB//
GO_0002099_9	dicC//rffH//
GO_0002100_9	tsx//
GO_0002101_9	yrfG//yiaA//
GO_0002128_7	tufA//map//rraA//ygfI//
GO_0002130_8	oppF//
GO_0002131_9	glvB//
GO_0002132_9	pyrF//
GO_0002136_10	glpD//
GO_0002143_9	katE//btuD//yedA//thrL//ompA//fumA//
GO_0002181_7	asnC//xseA//
GO_0002183_5	relB//
GO_0002184_8	npr//
GO_0002188_6	btuE//
GO_0002190_6	rplF//
GO_0002192_8	tsr//
GO_0002252_3	rnpA//tnaB//ytfR//ycbV//ratA//cyoC//prfC//gstA//potB//yiaT//
GO_0002790_6	proS//rbsC//yahO//torS//ytfR//cpxA//tonB//
GO_0002937_9	yihT//
GO_0002938_8	tatB//
GO_0002939_7	ydeO//
GO_0002943_8	ushA//
GO_0002949_8	spy//yjiR//hisG//ivbL//
GO_0003333_7	rlmD//lldP//glcD//cmtA//rlmA//deoR//pgm//sodC//tehB//rffT//mntR//deoA//rhtA//yraH//intF//holD//hemE//ybiH//prs//degP//mdtE//purU//flgB//hipA//murI//aceK//aroB//agaS//yebS//greB//lpoA//proP//tar//nhaB//scpC//cusR//thyA//rhaA//entA//cas3//bioC//yfcV//rhaR//eutB//iraP//moaD//ygiW//uhpB//tusD//
GO_0005975_4	yebZ//mnmC//ssuB//recC//ynfH//uvrA//ascG//gatY//yehA//ynjD//iscS//btuD//dnaQ//yphC//rhaA//yfgI//gsiD//fecA//gspF//pgaC//potI//pepT//mcrB//ybjL//fbaA//iscU//ydcO//nrfD//higB//sgbU//kefF//yadC//rrrQ//rlmG//yaaJ//feoB//gntU//pncB//adiY//yfcQ//ykgM//ybiS//yhbS//pheP//ydiR//rsmF//acrE//pncB//queE//tomB//cspE//yfeO//glvB//gcl//fimG//lnt//dcuA//yfdK//rpnD//yehZ//corA//clpB//nfi//pal//lapA//pgl//gmk//katG//ytfE//lepB//endA//yneL//yoeB//rpsD//lasT//purL//recC//ynfH//htrE//gpmA//trmI//xthA//ydcP//murJ//malS//hicA//rutF//hscB//pheT//rplS//higB//mlaB//tomB//epmB//nudB//tcyP//ydfK//waaA//ade//crcB//asnC//mtlR//yihU//yfjR//ackA//yadI//ribC//rffG//ybdZ//cysC//ygeW//leuE//chiP//bamB//ypdF//yqeG//thyA//fic//aes//speC//nuoG//ybeF//yehX//torA//nlpI//agaS//dtpB//csiD//fre//gsiD//gmhB//ompW//rfaF//cysG//rpsH//lipA//lsrG//astC//rhaD//flgG//pdxY//thrC//ftsW//cspB//lipA//rlmN//yhbX//dppD//yfaE//rrrD//frlA//ettA//yahI//mdoG//ligB//cheZ//xapA//insH-5//hpt//lpxM//yagI//gcvR//acrA//yidC//ulaB//ybfE//cysZ//rfaE//waaP//rplM//nusG//mtfA//recQ//araB//murD//yphC//ilvB//epmA//pgpC//ftsI//tamB//gudD//nfuA//kdgT//yiaF//tatC//mtr//rstB//yccX//citE//yehT//cvrA//entH//ygaZ//rsmI//dpiB//pgrR//adeQ//ypjD//fumC//spy//ybdN//acrA//clpX//torI//yahN//betT//rclR//evgS//idnO//manA//mpaA//moeB//yjjV//yrbG//yhaC//metQ//flgH//uhpA//efeO//topB//thiL//pstS//nudC//msrC//pspD//lolD//nanK//patD//puuA//mscM//arsB//ompW//ygeA//cycA//dcuS//otsB//rcdA//ybfE//rfbB//glrR//ydhQ//ccmC//glpG//ldtD//mdtN//yegS//kbaZ//ppiD//araB//cycA//insI-2//yqaA//gspF//
GO_0005976_5	mrdA//narU//yhaM//ubiC//rpmJ//yjiX//queC//rplR//dcm//apaH//rsmA//casC//hemN//tdcB//dctA//xapB//yacG//ilvM//ibaG//ynfK//bfr//mdtC//treA//ybiX//trkG//zitB//uvrC//ynfK//qorA//ynaI//fieF//yrdA//epmC//yhjB//murP//yhbO//yqiG//paaC//yafE//phnO//hemB//yidC//rutG//araB//bluR//frvR//rcnA//trpR//ybdH//clpP//cydD//mdtA//pfkB//alsK//dacD//hypT//hinT//trmJ//dxr//
GO_0005977_6	alsA//focA//glnE//pntA//ybfA//recE//uhpC//ynbC//
GO_0005978_7	rbbA//cvrA//nuoL//ynbB//
GO_0005979_8	cca//
GO_0005980_7	hmp//ydjM//blc//
GO_0005981_7	nupG//
GO_0005984_5	rfaC//rcsB//rpmG//thyA//folX//tomB//hyaA//pyrF//sfsB//feoA//chpS//
GO_0005985_6	btuR//
GO_0005986_7	mdtJ//
GO_0005988_6	cydA//glpK//
GO_0005990_7	ydaN//rfaD//
GO_0005991_6	tag//rsgA//bioC//rclA//nuoM//
GO_0005992_7	potG//eutA//
GO_0005993_7	uspE//sfmF//mfd//
GO_0005994_6	ytfQ//
GO_0005995_7	intE//
GO_0005996_4	nrfE//mdtK//nlpD//ccmE//insB-4//plaP//abgT//ldhA//cysQ//entS//oppD//ydiQ//shoB//mlaE//fepC//hemL//prfB//insI-1//ulaA//rtcB//tdcF//nupC//epmA//etp//rihC//setA//yebK//msrP//nanT//pbpC//astC//dcuR//rimI//ygaV//gltS//alaC//glxK//yfgI//fimF//yfaE//dsdC//zitB//yibT//rzpD//aroG//uraA//nagC//lpxB//recN//uvrY//mutM//lysR//rplP//elaD//prs//mog//fiu//lpxT//sufC//fre//lpcA//folM//yggF//ftsX//gltI//yqeF//yagE//bglA//ispF//waaU//dicA//argG//tsf//fabH//rsmI//aes//hisG//iscS//truC//adiC//atpD//lldR//
GO_0005997_6	moeB//
GO_0005998_7	cbrC//
GO_0006000_6	cpdA//dgcE//shoB//
GO_0006001_7	phnJ//ecpR//
GO_0006002_5	ybcJ//tabA//rplB//
GO_0006004_6	rhaR//ymdB//lldD//yjiA//ycbX//gutM//
GO_0006006_6	sdaB//hxpB//hybB//frlA//tdcB//tsaB//ascF//cspI//mdtL//bfr//mdlB//blr//yqiG//yfhM//nikA//apaH//mscK//yebG//yhbQ//mlaE//mdtP//mazF//trmA//
GO_0006007_7	serA//recO//flgB//
GO_0006011_5	bssR//
GO_0006012_6	bcr//ygeV//deoA//clsB//galP//yagE//kdsA//fetA//rsmE//
GO_0006013_6	pppA//yhiM//
GO_0006014_6	ftsY//mdtP//ybeY//
GO_0006015_7	trmD//cysW//
GO_0006020_5	napD//
GO_0006022_5	ispU//fadB//ygeR//rhaM//hslV//ydgA//fimZ//cueR//nadB//sdhC//agaA//bioF//mug//yafE//glsB//secE//rpsG//hemL//yhiM//ortT//nadE//speA//paaH//cyoE//lipA//cutC//rhaB//purC//yhaC//livM//sufA//yhdJ//cpoB//eutD//crr//chaC//xanP//ybeF//rpsN//yfeR//hemG//speC//asnC//fliA//purD//entA//ybiH//sapC//ybjL//ybhF//gapC//tamB//rraA//rph//amiD//dhaK//gnsB//eutN//nuoI//ynfF//ccmH//rffC//fepA//
GO_0006023_6	ccmD//cdgI//tdcB//pcm//ydeT//nadA//aer//ahpC//holE//shiA//xylE//yggW//aldB//fnr//ascB//pykA//aaeB//dinI//srmB//trpE//tisB//dapB//btuB//glnK//rtcR//zur//putP//tonB//truC//uxaA//pspF//ulaC//yhjB//solA//rep//rplP//miaA//intQ//ubiB//
GO_0006024_7	hisS//narL//sgcB//mgtL//rep//hisP//degS//yhbQ//yadC//cysI//potA//mcrA//epd//fhuD//yagE//hcaT//nepI//aroE//hypE//ruvC//ygdG//ydgA//mcbA//paaE//ldrA//mdtQ//aroK//ycdX//ppsR//cysI//mcbR//mtlA//nudF//mscL//yieF//yaaJ//bcsQ//ulaF//zapB//
GO_0006026_6	glyS//xylG//treR//rimI//pldB//ytfR//pncB//pal//grcA//clpX//
GO_0006027_7	yjhB//yajL//cfa//eptB//elaA//paaJ//ycbV//arsR//hyfR//yfiE//
GO_0006040_5	lplT//trpGD//alpA//phnC//truB//ybgP//argR//trkG//paaX//pyrD//lysA//ugpE//fdhF//fruK//hcaF//galS//btuD//
GO_0006044_7	menH//bglF//proP//rapA//osmC//
GO_0006046_8	minE//kbaZ//hdhA//waaG//
GO_0006047_5	betB//clsC//astC//nadC//phnG//codA//ydiB//
GO_0006048_6	rcnR//cheR//mdtA//prpD//cedA//dnaC//
GO_0006050_6	waaF//
GO_0006051_7	csgA//
GO_0006053_8	gatB//
GO_0006054_6	rapA//yhaJ//ygdG//ymdB//yiaO//hemB//orn//
GO_0006056_6	gspI//
GO_0006057_7	yebS//
GO_0006059_6	rihA//yafE//purN//uof//
GO_0006060_7	idi//
GO_0006062_8	ilvM//
GO_0006063_5	lptF//gatB//ptsH//dinD//prmB//cyoB//yraJ//sucB//deoD//
GO_0006064_6	xthA//ybgI//tsf//ydfH//glsA2//lolB//
GO_0006066_4	tcyP//nfo//pckA//rbsC//ampG//fhuC//fdnH//rfbX//ibaG//cbpM//lysA//blc//elfG//rcsA//recA//agaC//yhfK//mukB//rffG//qseC//purT//torC//rhaT//citT//metF//hisD//recB//chiP//ynfE//trkG//dld//yahN//
GO_0006067_6	tyrS//recN//abgB//
GO_0006071_6	glcF//waaP//accD//elfC//ldrD//metB//mdtM//
GO_0006072_6	folC//acrF//creC//flgA//rcsD//
GO_0006073_6	lptD//mdfA//yeeY//pnp//eptB//nuoM//holE//dtpB//ispA//abgR//apaH//ftnA//yghO//mtlA//ybdR//ybjD//mraZ//glsA1//exbD//rhtB//
GO_0006081_4	rsmA//yidL//yqjA//radA//ackA//hprS//garR//sohB//ccmD//mdh//rsmG//hcaF//rtcB//yraN//hha//pdxA//sfmH//ydgA//mlaE//murG//ybcC//yfgO//psd//tmk//tusE//mdtN//cheB//tnaC//fumC//murC//hycH//yieE//artQ//queE//yhdZ//ugpC//fepE//nudF//ftp//fhlA//fabA//waaB//yiaJ//ddpA//btuD//uvrD//galK//ydaC//glnH//brnQ//acpS//aaeB//rluA//nanS//asr//nadC//mntH//yagG//ycjR//xylG//msrP//secM//fbaA//rplC//ppsR//pstC//dnaT//
GO_0006082_4	baeS//fimF//icd//zapE//sucD//srlB//eutA//yefM//rplC//zapE//mrr//kdsC//cydB//ydjH//uhpC//adk//mazF//rpmA//lsrD//yedP//hypA//cysW//mepA//surA//fdnG//yiaN//sgcB//fryA//tcyJ//adiY//tas//murP//yeaG//yraH//rsmH//zitB//ccmC//nagZ//ygiV//ravA//hfq//glnH//iscR//pflC//ydgA//yfdG//lolB//yiaL//cpxR//yjbH//amiA//mngR//yobA//yhcH//yfiR//ispF//yahI//rnhA//uvrA//fimC//ycbV//rhaR//ybhS//agaR//potA//folA//ilvE//nadB//ygcW//pabA//sucA//yidD//ubiA//hyaD//lsrR//ytfR//hdeD//ydaC//thrS//ascF//caiB//aroB//ygiB//yidQ//torS//yraK//phr//yehP//ydcT//mutM//epmA//feoC//ihfB//yadK//zur//rbsC//fabZ//fimZ//accA//gadA//rnr//murG//cytR//rarD//yjhP//acnB//cmoM//appC//nemA//tar//afuC//bglH//mpaA//fepC//surE//rhlE//yciV//rmuC//rrrQ//cysP//rcnR//fdrA//rfbX//yieF//yiaN//yadK//prlC//der//surE//flgM//mgtA//lpxL//mdtI//prc//ykgM//rpiA//leuA//cueR//yadG//rsfS//wbbK//cpoB//fecA//ychH//yidR//ygeR//ppiA//pheT//sodC//lipA//pdeF//fdnG//nrdF//yehC//ppsR//ubiG//plsB//ftsN//rpoS//proA//insA-1//prlC//lysR//xylB//phoU//hslU//yjjB//yfiR//dxr//era//metI//ais//wcaJ//hyi//deoB//uxuB//feaB//uhpB//luxS//holB//trpC//pgaA//yagI//zntA//fryA//waaC//galR//mcbA//waaP//flgE//opgE//bdcR//rcsD//nuoN//eutB//acrD//lapB//asmA//trmD//ycaN//ftp//frwB//yjiM//csgA//ltaE//ygiB//rapZ//menH//narZ//gltL//yciF//ispA//pta//rpsQ//uof//carA//pykF//tolQ//ftp//baeR//rplN//prpR//cheW//nhaA//ydbD//mtlA//dmsB//fliL//citT//mdtJ//groL//mrp//yoaA//ddlA//tnaA//hycA//basR//yahO//mltB//moaA//casD//leuO//lon//pal//maoP//mak//tcyP//ribA//groS//cvrA//yibA//hyfC//fbp//ftsH//insA-2//ftp//yiiD//yfbS//lon//bssS//ykgM//cpdA//uspF//hokE//wcaB//yceK//xseA//yihI//thyA//metF//yajD//sapA//gnsB//yeiL//parC//fdx//rnlB//nikE//hemF//fucA//glmM//oppD//yjiA//ydiR//argO//nhaA//hscB//yfeD//waaO//epd//napF//gadX//ftsX//hcaE//modA//pdhR//bcr//dmlA//uspE//trmA//clpP//idnO//nhaR//yegD//afuC//fixA//murE//proB//rimL//phoU//mdh//dnaN//rhoL//rpmA//fdoH//narL//insE-1//ihfB//pdxH//fimD//ydiO//fdoI//ahpC//atpB//cytR//fur//pheT//ruvA//fliD//rcnB//thyA//oppD//rpmB//thiH//cusS//gapA//plsX//nagC//accC//argO//araG//dtpB//ldtE//gpsA//rapA//yeeY//yafE//cpsB//holE//nikB//preT//tehA//pntB//puuP//msrB//gshB//flgE//recO//ydfD//rssB//metF//dctA//yceD//frwB//cysM//cyoD//dgkA//uof//thiP//melA//yqgF//ldtB//ytfR//accD//ytfP//amiD//glk//srlE//cyaA//pdeF//valS//yfcQ//fecD//nagK//glyA//ybdO//wzb//alpA//ftsW//tamB//frdA//nanC//ydiP//rlmD//ybhP//tusE//ilvH//gltD//ygiS//fixB//ybdM//orn//tatE//hscA//hypF//alaA//rep//trpC//dacC//accA//nhaR//trmB//yejE//gntT//bioP//tar//gatZ//mdtK//htrE//ybeF//fimE//glxK//ygeX//hypE//ugpB//entE//garL//mepM//elaB//rlmA//rffG//yqiI//kdgT//mazG//rfaH//ogt//rfaH//iscX//glvB//yjbG//nhaB//lpp//dcuD//ydeM//hcp//rffG//alaC//narZ//nuoE//parE//yqaB//cas2//rnpA//intQ//gntK//elyC//pdeL//cpxR//rpmE//phnM//
GO_0006083_6	tmcA//rhsD//ydhC//nuoH//cho//ydeT//
GO_0006084_6	kgtP//rsmA//
GO_0006085_7	nhaA//acpS//
GO_0006086_8	ybeY//
GO_0006089_5	yieE//puuD//atoS//ortT//ansB//recD//pgpB//wcaJ//cheA//yfiE//lolB//dinJ//ilvN//hsdR//ispG//citG//yiaJ//astC//galP//yejE//mdlB//endA//ccmC//aldB//metE//elfD//potF//wza//argK//
GO_0006090_8	ybcL//glsB//rlmI//atoS//ybeQ//lolC//mdtB//yidE//citG//rhaB//talB//pgsA//lolD//glnH//rhmD//yhhT//cusA//hypE//rlpA//dcyD//ybdZ//allB//msrB//parC//bamE//galU//tas//accB//yhdX//thrB//agaB//
GO_0006091_4	chpB//proS//corA//metR//argK//gpr//higB//otsA//cspA//dpiB//ycjP//fes//ychH//zupT//fucO//fumB//dcm//sufD//mscM//znuB//glpD//yehP//malX//pspA//nadD//fdnH//cbeA//clcA//yqjI//cysK//bolA//yidC//lldR//fimF//ldtB//greB//trg//yfcQ//selU//essD//secA//cbrC//ghoT//aceB//dsdA//der//dhaL//evgA//ybcL//lpoB//gltI//sgcE//yajD//ibpA//mdtD//bsmA//pgm//dnaC//ampH//yggP//fliA//lpp//hpf//glcC//miaA//fryB//gmk//frmR//nudF//osmF//yfeX//yhjB//metF//ydfH//mscK//bipA//lgoT//aroL//dhaL//ycaO//wcaJ//gpmM//tatE//cysD//hscA//ybbN//mutH//yqiH//deoB//rpiR//paaE//trmI//cysH//yddA//caiB//adhE//hemC//trg//mipA//rbsD//cytR//kbaY//rihC//qseC//rnd//phnO//lit//tmcA//ybiT//potD//ybiX//dtpD//
GO_0006094_7	corA//ariR//pstS//sfsB//menA//yaiP//metI//yhbO//gspI//rbsB//
GO_0006096_6	nusG//yqaB//ydeO//hyfR//cytR//yibH//dgcQ//mdtE//fimA//ldrA//cyoE//proA//acpS//glnB//dsdC//yieH//sspB//holD//
GO_0006097_5	rpsI//corA//ybgP//sufS//sufE//
GO_0006098_6	rhtC//modA//dnaJ//ccmE//hyaA//
GO_0006099_4	cedA//dsdC//xylF//lsrC//umuD//tag//mdtQ//yaaA//dcuA//pncB//zntR//hofN//phnM//pagP//fucI//garL//yefM//
GO_0006101_6	yjhG//speA//der//fimF//yiaM//yneJ//dcp//rplX//recF//gltL//rarA//dosP//ymfA//rng//aceK//trmD//yjjW//
GO_0006103_5	nanS//zupT//ahr//
GO_0006104_6	ypdA//hyfC//insI4//
GO_0006105_5	trmD//garR//hflD//mazG//fdoI//moaA//dsbA//hdhA//
GO_0006106_8	yjcE//
GO_0006107_8	xylH//
GO_0006108_8	rluB//yaaY//glnB//gspE//mhpD//
GO_0006109_6	sgrT//zapD//lrp//fabD//modA//glyS//nudB//ybaL//dacC//
GO_0006112_5	lpxM//trmL//mlaC//fadL//yihR//ruvA//metR//pdeK//
GO_0006113_5	ascG//envC//nfo//iap//glgP//glyS//ampD//gsiB//nuoE//yqaA//nrdR//ybgI//fdoH//
GO_0006115_6	rbsK//
GO_0006117_5	holB//
GO_0006124_6	fdhD//
