#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	osmF//mdaB//rfaE//slt//
GO_0006022_5	rlmI//parE//rcsC//lpxH//yjeI//ugpA//mdtQ//nemA//nfuA//ccmE//ycbV//acrR//ubiG//yeaD//sufC//speD//rlmG//yeaD//ibsB//rimP//recE//rutC//thiC//bioP//nac//nrdF//dauA//gpmA//artM//ascB//dinB//cpdB//yedA//opgB//fur//ispU//trpC//trpS//waaA//yfaL//ycfS//cysH//chbR//mtn//rpiB//mdh//nuoI//bioA//pnp//ilvL//dgt//umpG//dsbA//yfdK//ydaC//caiF//helD//metG//ilvI//djlC//dsbG//hslU//pgpB//
GO_0006023_6	yjcO//purR//ridA//rfbB//ldtA//bipA//cobU//yebQ//yrbG//alsK//gudP//alaC//zapE//nagA//acpT//tdcB//menH//hokE//ais//cysC//frwC//thiE//tauC//fabR//zapC//fryA//carB//malI//trmO//yicJ//ompR//ogt//holC//entB//ulaF//ptrA//galF//metC//hdhA//
GO_0006024_7	emrE//rpoS//exuR//tdcE//ftsH//cutC//menC//ade//alaE//chbA//ompT//pgk//rlmM//dnaN//livJ//cstA//gpp//gadB//tldD//ssuE//mngR//fliG//artJ//yehY//prlC//kdpE//poxB//rfe//yciF//ppsR//trmA//gpt//fucO//agaR//trmB//yciT//yfcR//hslU//yadM//
GO_0006026_6	waaP//rhlE//alaE//ampH//gntT//yihQ//menF//gabT//rcnR//yajD//
GO_0006027_7	cynX//phnP//yqhC//pdxA//nadD//miaB//rclC//gutM//yejB//yagJ//
GO_0006040_5	ybcQ//yhcH//adeQ//cspD//yegT//otsA//flgC//yajQ//rpnA//yibH//zupT//rusA//yaiP//tbpA//ybdM//prfC//zitB//
GO_0006044_7	recJ//purN//lpxB//envZ//leuE//
GO_0006046_8	mukB//ydaV//glgS//orn//
GO_0006047_5	flhE//ykgF//yjaA//ppiA//crr//alsB//pspC//
GO_0006048_6	glsA1//yhcD//ispB//ftp//wcaJ//yihT//
GO_0006050_6	frdA//
GO_0006051_7	yehB//
GO_0006053_8	exbB//
GO_0006054_6	dctR//hypC//ydcP//glnH//cmoB//ldcA//ytfQ//
GO_0006056_6	shiA//
GO_0006057_7	tufA//
GO_0006059_6	rpsE//ydfK//lacZ//mazF//
GO_0006060_7	icd//
GO_0006062_8	yiiD//
GO_0006063_5	yqaE//bipA//ygeR//mgrB//yfaL//yefM//eutD//gpp//ttdR//
GO_0006064_6	yddA//eamA//plsX//fieF//ggt//rodZ//
GO_0006066_4	livM//wcaB//tusC//aroF//rplN//lolE//tldD//selD//nrfA//ybhP//ugpE//ada//cspA//pspC//malG//prkB//rhmD//yidC//allR//hexR//yiaJ//atoB//pspG//elyC//cueR//gltX//trpC//rimO//dtpD//ptrA//cbrC//asnA//
GO_0006067_6	ydiQ//hdeA//glcD//
GO_0006071_6	yihU//mhpC//rsmD//fpr//pppA//kdpD//yfeW//
GO_0006072_6	tolB//amiB//evgA//zipA//tcyN//
GO_0006073_6	fdnG//radA//trmL//araF//yrbG//csgE//yhbO//bioD1//hybC//fklB//mcbA//ybiY//recQ//hicA//lpxC//waaZ//ybaT//pabC//eutN//rplJ//
GO_0006081_4	erpA//lacZ//purR//dppA//adhE//yraI//casB//trmJ//envC//yfaL//tdk//selB//hcaR//yhdX//uspF//erpA//ydjM//ydiZ//ftsN//dinD//dbpA//ppiA//gcvR//nrfC//qseB//xanP//rffH//gpr//tadA//perR//bsmA//mdtO//yeeL//plaP//rpoS//wcaB//speA//bssS//fbp//atpC//zapC//mlaB//tyrR//rnhB//frdD//caiT//acs//holD//pyrF//ycjW//paaB//mhpT//shiA//gudX//yjaA//napB//yjhP//cysA//yibT//smpB//moaD//icd//yehD//rpmE//nudB//yafS//yehB//
GO_0006082_4	ugpC//paaH//ptsP//mcrB//rbfA//murJ//gatZ//folD//yfiF//hypA//kdsD//fecD//feaR//yggP//evgA//purN//mprA//bcr//ssuB//yjbE//alaC//yjcE//ldrD//gadC//ydeI//minE//minD//carA//endA//hprS//ibpB//sdhC//rarD//yjjG//glcF//ilvC//adiC//pncB//yphD//araB//dapD//rutC//malF//ydcS//yibF//yhgF//ribD//narQ//murR//rpsH//agaB//speF//yibH//rpmB//dapA//hypE//ygiV//dnaB//rng//ssuE//yicJ//ydeT//fumC//sdhE//argP//murJ//prc//rhaM//acrF//ubiG//yiaM//hokB//nudF//yihW//rihB//arnE//tdcR//acpP//fcl//nth//acrZ//tnaA//sulA//ypdB//lexA//appY//yjjB//dnaK//wcaB//ybaQ//fdoG//glpA//idnO//ftsW//afuB//yraI//rsmI//ribA//trmL//ymfK//aes//pdxK//yfcP//narX//dinD//gldA//hyfF//ilvA//mazG//wzzE//hpf//yegD//fruB//rimO//norV//ftsK//yajL//skp//mdtP//bcp//livJ//lptD//menC//yahO//gsiC//treB//lpxK//yjiA//crcB//ccmA//rhmD//rffT//queE//fhuB//mreC//rdgB//ybjL//adeD//lptA//ygfZ//nadE//cysW//zntR//tsf//ydfD//mngB//btuB//gntP//ybjN//malZ//nikA//galR//tdcA//ydcO//insI1//nrdR//rlmJ//ldrB//roxA//gsiA//amiA//purF//gadX//alsE//yraJ//glpA//norV//scpB//alpA//sdhE//nrfA//nikB//abgA//ligA//cheR//narZ//raiA//yheT//viaA//phnP//gabP//nikR//yfdO//rlmL//ppsR//mzrA//rsmJ//pgm//ldtC//opgC//glcD//yfjV//glpD//sbcB//obgE//uidC//ydjJ//dosP//yiiM//ykgA//gph//mgtA//plaP//btuB//ortT//mngA//chbC//purU//lptC//ycjP//rayT//cpxA//waaC//yihR//mgsA//ybjL//curA//lysU//yfcP//cspG//rplD//citE//menF//yfcF//ppx//opgE//ugpA//nudB//zapD//insA-2//arnA//murQ//leuC//lrp//fetB//clcA//rspB//dppB//ydgA//ftsB//glpC//mqsR//ubiF//wcaC//narP//rplW//recR//cycA//seqA//ybdH//ydeM//ltaE//rhlE//cof//glgA//gadC//thiI//rplQ//dadA//waaH//cmoA//baeR//purF//glnP//hisH//ddlB//fixB//yfcF//mlaC//pldB//aroL//yebC//proX//hypD//fetA//ftp//abpA//dctA//menF//ubiX//dapA//surA//chbF//yhbO//yciH//rbsB//lnt//aqpZ//cysS//yjiM//qseC//iraD//elfD//pykA//entF//ygjH//emrD//treR//dnaE//galE//hslO//sfmH//fbaA//hokE//frc//ybbW//glyS//sapB//thrC//nuoG//wbbK//ydeO//gfcE//rlmA//yhjB//gltX//yhiM//proA//acrZ//rzpD//ilvE//galT//lit//tsx//ybfE//ribF//rho//araD//ybhA//sucA//rutA//betI//modB//ybhS//purF//lyxK//uacT//lsrR//mdtP//cdd//sfmC//narQ//trpGD//acrB//menF//ykgM//glnP//spy//motA//purA//pdeF//thiI//rsmC//yedL//flgE//glpK//yagU//mdtP//narY//waaA//rhsD//yhjA//ccmG//mngA//galT//deoB//nfo//prc//kduD//rsmE//pgsA//sgbH//cdh//ispF//mltD//cspC//nepI//yajO//sapB//rfaF//ugpB//lldR//csgD//argI//yfjR//hdeD//dapA//araB//sgbH//ychF//truC//zapB//yjhI//purA//fadA//yjiQ//hpf//hslR//flgD//yiaT//uup//torI//murB//hxpB//fimH//ydeE//yggX//ynhG//fsr//ansB//mntH//napD//agaA//nuoL//flhE//yahB//yghO//rplE//recA//gltL//yfdR//tmcA//csgG//phnL//rstB//nagZ//ygeX//rdgC//yhbX//yeaV//lasT//rimL//tdcC//yhbQ//dinD//fpr//nemA//mlaE//tsaE//cysP//gsiC//nikE//ycaO//oxc//fumB//argO//ccmD//dcp//hycI//gatZ//yjhB//mntR//creB//fadJ//yihW//paaK//pheM//ttdA//ybcQ//ybiI//
GO_0006083_6	soxR//tusE//ygdG//sstT//djlC//fabI//
GO_0006084_6	cspB//pgpA//
GO_0006085_7	mtlD//uof//
GO_0006086_8	alaS//
GO_0006089_5	rph//ghoS//minE//ydeO//gloB//yhjC//csdE//hemH//kdgT//rplE//ydcZ//atpG//dnaC//ptsH//yijE//ccmF//clcA//moaA//argR//pgaD//cecR//ydcM//glgC//fumA//mtr//rnd//ycjD//purN//rraA//
GO_0006090_8	manA//trpC//wcaB//opgG//ynhG//phoB//trpC//yjhI//ivbL//ybjC//gfcE//yqiJ//rpsN//folM//yagE//murJ//gcvP//bglA//ybjG//trpB//mrr//yadI//intE//hflX//uidA//hsdM//rpiA//ftnA//fucK//yahI//yehT//
GO_0006091_4	xapR//waaB//eco//rpsS//gsiB//argA//rstB//hslU//folX//rssA//sspA//malE//ompT//yedP//bdcR//sgcA//slyD//panE//comR//ygbL//rnb//fumB//agaD//hycA//melB//rhtC//ispH//fadA//dcuR//rpoE//arcA//rplB//arnA//nadD//nimR//ytfP//yohD//glnK//yggE//ssuD//pgpA//qorA//exuR//lnt//thrS//rpnA//yqhD//tcyJ//galK//yiiM//flgD//yaaJ//ybbN//rpsJ//pykA//miaA//rep//frmB//ompT//hdeA//ydeM//yijE//gspE//abgB//yaaY//gstA//lolC//frdD//fnr//selB//galF//tolC//chbA//nikD//lolC//narG//ptsP//dsdC//yaaA//bglJ//phoE//msrQ//yhbQ//ybiJ//hchA//ghxQ//groL//higA//htrE//sdaB//selU//ydiP//bioD1//ydiK//cusS//tsr//acrB//yebZ//afuC//ypdC//fryB//dtpC//pntA//iraD//ydeT//lipB//acs//gstA//frvA//ydaN//queD//potB//
GO_0006094_7	frwC//yagI//chbR//betA//bipA//xerD//mog//rclC//pdxA//narV//
GO_0006096_6	lldD//ybiI//ynjA//glpT//puuR//rsuA//nrfE//ydfD//ybaT//ybdO//djlC//rfaF//tufB//ycjU//cas2//hdfR//ortT//fdrA//
GO_0006097_5	uhpC//glpR//rlmN//marA//ybjX//
GO_0006098_6	exbB//uxaC//tdcG//ccmG//yjbB//
GO_0006099_4	ychH//thiE//galE//kduI//rutA//murF//yafO//etk//paoC//pspC//pcnB//yfcF//rfbB//puuE//argB//gsiC//hsdM//
GO_0006101_6	yihI//cyoC//pinR//nudF//hybB//ybjD//hlyE//frvR//ddpA//hemN//cydB//ddpX//ygeV//yidD//ytfQ//nagC//rpnD//
GO_0006103_5	aroK//yhjX//pabB//
GO_0006104_6	mazG//rplN//ais//
GO_0006105_5	leuB//mtn//yiaA//folE//aroC//queC//nagB//potA//
GO_0006106_8	ldrA//
GO_0006107_8	tonB//
GO_0006108_8	arsR//rrrQ//tusB//mltC//mhpD//
GO_0006109_6	asnS//epd//ftsP//torY//uup//ispF//hemA//yhcN//rlmF//
GO_0006112_5	entE//sapB//yheT//bioP//soxS//rzpD//menD//dnaX//
GO_0006113_5	mtgA//yidD//gsiC//parE//ykgM//ycbV//cysE//prlF//carA//azoR//rhaS//rhoL//pdxJ//
GO_0006115_6	manZ//
GO_0006117_5	yjeH//
GO_0006124_6	ybcF//
