#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rfaE//mdtM//setC//paaB//
GO_0001505_4	insI-2//gspF//pgaB//fliM//folC//nuoF//trkH//mrcB//ynaI//ubiE//rcnB//iclR//rimJ//yjhG//hisD//lrp//
GO_0001510_5	idnK//ydjK//yraR//rpnA//nikR//panC//dinI//ilvB//fieF//pgaB//ykfM//yjcO//artP//topB//prpB//sgrR//potI//yafN//narH//sgrT//trmB//yeeO//oxyR//actP//fieF//zitB//kdgR//sugE//lexA//acrB//malS//ybeQ//yfiF//ulaB//kbp//dgcJ//hybA//rplL//argP//yqeF//
GO_0001514_8	maoP//
GO_0001522_7	ftsL//adiC//cysP//csgF//ydcS//glcF//bhsA//nfsB//yghU//ydeT//rseB//torS//mtlR//
GO_0001539_4	grpE//nlpD//rna//kefB//hlyE//nudG//yadK//napA//ybjN//hemL//carB//dsdC//ybcF//yiaJ//hypC//xylH//mgrB//dut//fklB//scpC//phnO//dsbG//ldrD//dcyD//purT//acnA//flhC//ygiV//slyD//recT//rnr//
GO_0001558_5	nrfA//flgC//rpmF//betA//ydaV//thiI//bglH//nagD//
GO_0001561_6	yehY//
GO_0001666_4	aqpZ//
GO_0001676_6	mdlB//envC//dps//
GO_0001680_11	dgcN//
GO_0001682_11	chaC//
GO_0001731_7	yihX//
GO_0001762_6	rlmM//
GO_0001887_4	ulaF//fdhD//ybhS//
GO_0001896_5	rfbB//elfA//hybO//yfeX//
GO_0001907_5	cvpA//yfdO//oppD//yieK//
GO_0001932_8	secG//gmk//
GO_0001934_9	sucB//
GO_0002047_6	mug//galK//
GO_0002097_8	yadK//moaD//insE-1//frr//selA//aroE//curA//rffT//rcnA//rnlB//nikA//lyxK//msrQ//grxD//rlmG//recO//msrP//recF//kefF//
GO_0002098_9	ttcA//araE//galU//pphB//tauA//mqsA//ydaC//ldrD//rutG//carA//galK//cdgI//tauA//
GO_0002099_9	ugd//ybhF//
GO_0002100_9	rplY//
GO_0002101_9	ilvN//yfeW//
GO_0002128_7	yeeJ//pphB//ymgA//arcB//
GO_0002130_8	torC//
GO_0002131_9	fabD//
GO_0002132_9	map//
GO_0002136_10	ydbD//
GO_0002143_9	srlR//tig//curA//yfaX//mdtD//yfaL//
GO_0002181_7	acs//rihB//
GO_0002183_5	pagP//
GO_0002184_8	tonB//
GO_0002188_6	bamC//
GO_0002190_6	proS//
GO_0002192_8	rplP//
GO_0002252_3	serS//sodA//bioC//insI1//ynbB//nrdG//artP//yraN//yciG//metL//
GO_0002790_6	kup//dppF//rbfA//rutG//eutB//yqjI//rpoE//
GO_0002937_9	rhaB//
GO_0002938_8	yciT//
GO_0002939_7	recE//
GO_0002943_8	dgoK//
GO_0002949_8	proX//yjhB//ilvI//menD//
GO_0003333_7	yeeO//wzb//yfhH//yaiV//ybcF//melB//dnaJ//ompC//ghxP//yidE//panE//eutN//leuD//mdtK//secM//galU//rplW//fliZ//yjhP//mnaT//rnr//dnaA//rpoA//ydeE//cysW//proW//lpxT//rcnA//glxK//holB//nudF//znuC//ygeA//rhaB//rpmG//ydiB//dppA//cysH//ulaG//hipA//prfC//cusC//tktA//rpsM//cyoC//yqiH//serA//ybcM//yfdS//
GO_0005975_4	lspA//pepA//yceD//rnhA//pdxY//mtnN//ygiB//rpoH//yqhC//yjjX//paaH//rclB//ispA//trpGD//evgA//yoaB//ybiT//cyoC//cpxR//ybdG//iscU//pbpG//fdnI//rhaB//murB//dgcN//gntT//efp//frvR//mnmA//rne//tusC//nrfC//dgcF//menB//msrC//cspC//csgA//lhr//fucO//gltI//elfC//waaS//tufB//ulaB//zinT//uidC//ydiR//bcr//fklB//speA//cpxR//fepA//hisB//yqjH//htpG//truA//uhpB//murG//lexA//prmC//cadB//infB//yfhM//treF//znuA//gapA//rhtC//minC//paaC//mntS//casC//gcvR//motA//leuS//arnE//emrK//rpsM//recA//livM//ycjD//ispB//eptA//lysA//gltX//cynS//hinT//arcC//gloC//ibsA//mhpA//glmM//yajR//hipB//ymgF//prs//ortT//ibaG//rbn//fdhF//uidC//cdd//borD//maa//yjhC//eutA//chbR//lpoA//holC//artQ//acrB//nac//citE//rpmJ//csgF//secF//ada//bglX//fryC//sufD//dinJ//uxaB//rne//asnA//yhbQ//nadB//elfA//yfbU//opgD//rpmA//chbC//fieF//yqiH//frvR//perR//sodC//yihL//yajO//ddlA//ndh//rluF//rho//qseB//yfcA//lgoT//yadM//dgt//aes//glcF//nanE//elfG//yihO//lldD//yihW//recR//btuD//yiiD//leuB//fklB//galP//deoB//appB//sgbU//cspG//yeaK//frdD//tolR//metG//yqcG//yfhM//fumC//pdxB//lyxK//hcaB//aspS//glnP//dgcE//rdgB//ridA//ybaK//fimI//gntU//yhdW//rihA//lsrK//iscU//nirB//yggN//etk//ybaM//metB//srlE//xdhB//yagE//umpH//tsaE//ccmG//csiD//accD//ybfA//pgpC//ynaE//mdtG//uidC//thiL//mepM//kdsD//mdlB//rutF//recG//ycaO//ulaD//citX//flgF//gatY//artM//nth//yciG//leuB//prkB//gppA//yneJ//xerC//ortT//ihfB//iscR//ybfE//dsbC//ebgA//thiL//ytfP//tilS//murA//yfbS//ribF//ydjM//folC//lpxB//glpD//tsgA//moeB//pheA//ubiC//yaaA//recE//leuA//atpE//rcsD//tcdA//ubiD//puuP//uxaA//epmB//yieF//
GO_0005976_5	hemE//sgcC//lpoA//dapF//ydiR//yjbH//ycbX//rsmD//araG//tcyN//sgcX//argR//glsA1//hisP//ccmF//hypT//xthA//dcd//rep//rpsP//lpoA//wecE//ygbN//xapB//ygiV//gntP//hdfR//artJ//bioF//miaB//rfaD//glgA//fimB//nikA//casC//crfC//macA//ybdM//cusA//ygcO//psuT//pta//coaE//dinQ//cpdB//yhjA//yidE//chiP//yhaC//mtfA//dmlA//cynX//rlmJ//speA//sufB//cra//idnD//adeD//iscU//
GO_0005977_6	osmE//sgcA//hscB//gloB//puuD//hicB//yadN//ihfA//
GO_0005978_7	guaD//pcnB//agp//trmA//
GO_0005979_8	ais//
GO_0005980_7	tpiA//agp//livG//
GO_0005981_7	napA//
GO_0005984_5	glvB//mppA//ybiX//napA//ydaC//slt//aroK//accD//yijE//dhaK//fkpB//
GO_0005985_6	hemA//
GO_0005986_7	rplE//
GO_0005988_6	malS//wecA//
GO_0005990_7	cspC//glnS//
GO_0005991_6	yggP//dgoR//moeA//tadA//cyaA//
GO_0005992_7	emrK//serS//
GO_0005993_7	fnr//ybiX//dppB//
GO_0005994_6	trg//
GO_0005995_7	allD//
GO_0005996_4	kbaZ//sgcX//rluA//rpiA//yedF//rimM//yacG//ubiG//tdcG//ybhD//cutA//cbpM//rutB//ldtC//holE//acrR//pstC//ogrK//serA//hypB//fadA//msrC//hsdM//ydcR//tsaC//paaB//ggt//rhaM//tnaC//ydjJ//rsmE//yhgF//pldB//rutF//yagG//diaA//cydA//dosP//caiE//ghrB//hha//yegV//manX//appY//murB//gadX//yahB//bamD//metF//ariR//eutN//gntT//rsfS//trxC//ydjL//queC//paaA//cyoB//hexR//yccS//pyrE//waaO//dinJ//ymfA//hypF//tamB//osmC//dppC//lpxB//msrC//hscA//ralR//tag//moaD//tolQ//putP//nmpC//nsrR//casA//puuB//ldrD//ybcM//
GO_0005997_6	nimT//
GO_0005998_7	ydfD//
GO_0006000_6	cbrA//eco//yjbE//
GO_0006001_7	sppA//sdhB//
GO_0006002_5	agp//epd//sthA//
GO_0006004_6	wzzE//emrK//bcsA//mak//hisF//dadA//
GO_0006006_6	yigB//casC//mdtA//hycA//kduD//chiP//ydbD//rplD//rluD//fetB//mlaF//yjbE//ycgB//ilvH//ygcO//livF//hyaA//cyoE//ymdB//ygaZ//yqhC//acs//ybdZ//
GO_0006007_7	rimL//flgA//sfmF//
GO_0006011_5	srlE//
GO_0006012_6	curA//mipA//tig//cpdB//argO//atpA//infC//ubiH//fmt//
GO_0006013_6	frr//xanQ//
GO_0006014_6	yahI//yneL//frlB//
GO_0006015_7	rhaR//ygeX//
GO_0006020_5	ampG//
GO_0006022_5	asnA//hcaF//sufE//yieL//yfbU//ibsE//pcnB//cydC//dsdX//yhaV//tdk//fepD//bamB//yhbY//hycH//menB//spoT//csgD//hscC//sppA//ycdX//recN//ubiI//metI//epd//glpD//coaA//ynbD//lpp//garK//hcp//potD//ilvH//smrA//fixC//ydiR//cueR//narQ//ygfZ//entB//arfA//fabR//trkA//ydcP//talB//mngA//topB//rplE//bluR//dnaC//rpsG//ybaM//metF//ppk//thiH//ahr//yeeY//yjiR//mhpC//tusA//araB//rpnB//hybF//
GO_0006023_6	purC//sspB//corA//uidA//yccA//mipA//yccX//ubiD//tig//chbF//insB-2//ybeY//cyaY//ftsX//yehA//fdnI//ycjQ//lexA//ribC//yhjX//groS//asnA//yciE//panE//dcuS//cdd//lsrK//curA//fieF//ldrA//casA//nhaB//ribB//perR//mrdA//yneE//malK//gshB//iscR//
GO_0006024_7	ilvA//hipA//rapZ//mntP//dcuA//prs//cspA//gatB//yabI//yhcN//frwC//atpB//mltF//fabG//speG//metL//yehW//yciK//dcuB//ttdR//cysK//feoB//yjaZ//nrdD//yqgB//ybcJ//dppC//rfaC//ftsK//rutR//nusA//csgA//mtgA//ydcP//cstA//rfe//ynaI//rplA//yedX//
GO_0006026_6	srmB//tig//cadB//npr//yfiR//ilvD//tsf//rpoH//bluF//gloC//
GO_0006027_7	yggT//fadJ//ascB//adeD//paaF//asr//lplT//fpr//gmhB//yfcQ//
GO_0006040_5	ppx//lolC//mlc//bglB//yhcD//yafC//cpxA//hemG//tnaA//hofM//pinQ//stpA//waaA//gsiA//eutD//rarA//yfbR//
GO_0006044_7	argG//udk//pppA//flgM//xapR//
GO_0006046_8	fixB//uxaB//yabI//tqsA//
GO_0006047_5	ycfS//insI4//zraR//argG//cysG//add//hypF//
GO_0006048_6	rutG//pykA//ghxP//frdC//dinG//sufE//
GO_0006050_6	xylE//
GO_0006051_7	panF//
GO_0006053_8	acpH//
GO_0006054_6	actP//wrbA//sdhB//ybaM//nemR//fdx//nrfA//
GO_0006056_6	hemA//
GO_0006057_7	ttdA//
GO_0006059_6	yqaE//cmoB//amtB//galP//
GO_0006060_7	mfd//
GO_0006062_8	topA//
GO_0006063_5	hldE//purC//mdtE//cmtA//dhaR//rpoD//tsaB//speE//bluF//
GO_0006064_6	ydcT//yfbU//sbcB//dcuA//purD//gutM//
GO_0006066_4	ydcP//allS//mcrA//cynX//speA//yfiF//sufA//frvR//nhaR//trkA//proP//ydcS//uxaC//abpA//pnuC//ldrB//ackA//yggP//dmsC//puuP//moaB//prmB//fklB//wcaB//gadA//cysU//waaO//cdgI//ydjL//pncB//rhmD//mcbA//
GO_0006067_6	ychO//glpX//htpX//
GO_0006071_6	kdsD//trpB//casA//zitB//aslB//hyfC//mglB//
GO_0006072_6	tar//yqiH//ribE//rfaG//nupC//
GO_0006073_6	ycaN//dgcM//hypT//treB//aceF//cysZ//yhhZ//tldD//trpD//wrbA//yhcN//ybaT//flgK//fadB//blr//wza//tqsA//glmU//wzyE//cspI//
GO_0006081_4	thrA//yehA//lptD//dsbD//yhbO//yagF//yggD//mltB//hyaB//tabA//srlD//manZ//dxs//kefF//dadA//yihR//ypdI//gsiA//thrA//afuC//rseB//folA//htrE//cho//yciT//nfo//malP//wcaB//prlC//sixA//yjcO//hyfF//ribA//betA//hisH//yjcO//radD//motA//chpS//proQ//chbR//yhdJ//ygbN//ddlB//rdgC//recD//plaP//sucD//sgrR//dsbB//pphA//glpR//ydaN//rplM//pdxA//rzoR//arcC//rcsD//sbcC//fadH//cpsG//ssuC//ymgC//argO//rhaB//uxuR//cyaY//
GO_0006082_4	rmuC//dbpA//lpxK//ldtB//recT//cmoM//tolB//gsiA//insH-6//sufD//rsmC//yehU//tcyL//insH-6//ybiH//waaG//rfaE//yafE//yhjD//uvrB//truC//torZ//yigB//rpnD//hflX//oppF//mutY//chbB//fur//adeP//adeQ//lptA//rpiR//aroB//puuA//cyoA//fetB//fadR//ispG//wecC//hscA//mmuP//mgrB//gyrA//tdk//rlmG//ftp//tap//fur//ubiD//sdhD//bglX//acpT//ygeW//yciG//sulA//dgoD//fcl//dps//psuT//fiu//torC//rhaT//ycaO//fecD//yiiE//kdsA//torI//bacA//trpS//ybbN//priA//dgoA//ispF//ycdX//sufC//ibpB//gltP//guaB//glcB//cydB//yhdX//yrbG//hemE//ldcC//relB//dcd//mutT//mdtN//mraY//ybaM//hyi//slyA//rplR//luxS//metH//ybhJ//yddM//trpGD//ptsH//ssuC//cspI//yjcS//yhfK//rlpA//lsrR//yfiR//yehT//nadA//gloB//tsx//mppA//fabR//pepB//dcuD//msrQ//kdgR//yegS//mscM//ldtB//xylR//accA//glcE//trmO//ygfI//hslJ//surA//sulA//mqsA//ybcL//yafS//mpaA//tauB//pstA//lexA//ydfG//livM//queA//glcA//map//yiaL//cueR//glpD//eutK//ynbD//yiaO//ydjL//hisA//recN//ycbB//tufB//tnaB//hyi//mtr//mug//cheZ//dgcT//prmC//hisP//pgsA//helD//trpE//mngA//pabB//fic//yhcH//yjjX//yfaU//yebK//ampD//coaE//sgcR//yecS//fixC//mhpD//yiaT//lpxD//alaS//moaE//iraM//rpsB//purA//tsr//galP//eutN//aes//arfA//maa//alsE//asmA//plsC//ftsW//dnaC//rsmA//cydB//ogrK//yajR//npr//yhhT//pgpC//frsA//dsdC//insA-1//fdoG//mrp//mntS//atpB//ybeF//wzc//ydcO//fdoI//fsr//mgrB//chaA//adk//sufD//pinQ//crr//dmlA//pgaA//dgoT//dsdA//qorA//csgG//pdeR//fdhD//slyA//nrdA//fepC//evgS//pdeL//lysU//mtgA//rpsI//ydfK//rcsB//lipB//sgcX//pdeF//wbbK//ssuA//fepA//gyrB//accC//ydjM//lysP//pdeF//hslR//fpr//yaiV//phr//yhjA//hflK//trpA//ynfL//cspB//adhP//ubiF//xerC//casB//ybeQ//acrB//slmA//cobC//ymfA//ascG//yhaC//cas2//yhaV//msrA//lysR//yedA//fpr//degQ//ybiI//ubiE//yedF//rstB//dsdA//yegS//ycbV//iclR//lpxH//fadM//aroD//pepB//tbpA//yjiR//gpt//codA//agaW//yeaD//secF//cysB//mrdA//glvB//purB//napB//rspB//holE//ralR//chbR//opgC//trpL//adhE//mdlA//ogrK//csgA//malP//hybE//rpmG//epd//arcA//gcl//clpS//ygaH//slt//dppB//pcm//ttdA//prpC//rfaD//trmB//yghW//ptsP//gdhA//yadI//hrsA//ompT//argK//dcuD//rhmR//sdiA//yjbF//arnA//pgaD//cysA//aroP//recT//csrD//lsrC//yfbS//lpd//secG//ybcF//tsaD//ycfJ//yfeX//yhhZ//ydgA//dcuS//mreC//yihR//ydbD//yhaJ//zapC//tgt//ubiG//panD//rsfS//rpsJ//ibsC//hipB//murI//plsC//hxpA//citC//rsmE//uhpT//dcm//opgE//ynaE//rsmF//rnt//dam//proX//bglF//rtcR//thiM//yfdC//rbsA//hisF//fecD//oxyR//puuE//ampD//bioF//ydfH//cof//arnE//yafN//citT//ppc//gcd//frmA//ynhF//mcrA//btuC//sdaC//mdtP//nimT//cheR//mutM//alaE//yfcU//yjjQ//tsgA//phnM//lipA//katE//narZ//mqsA//gloB//metK//ydcT//abgB//mdtI//yfaU//mioC//ycbU//fnr//yhiM//hchA//surE//fadJ//potG//ygcR//cvrA//uhpC//ybdG//uspF//moaC//yjjB//waaY//gatA//ghxP//rmuC//osmE//dps//gpp//prpR//wzyE//fliM//leuO//cbrA//kdpE//gnsB//tdk//mreC//gntT//yhjB//rplI//kgtP//rhmD//dgcQ//yfeD//yihW//rlmM//suhB//eutK//
GO_0006083_6	serC//ykgM//abgA//gatC//yfiC//deoA//
GO_0006084_6	rodZ//fixB//
GO_0006085_7	mscL//melA//
GO_0006086_8	cstA//
GO_0006089_5	ttdR//hypA//queA//sdhB//fes//cecR//nanS//prs//garL//ribF//pppA//hypC//glsA1//pspF//hscB//cheY//bglB//rlmA//ldtA//tktB//citE//intF//degS//cyoD//yjfP//deaD//yajO//nrdE//cysU//
GO_0006090_8	clsB//sufB//clpS//exbB//pheT//cpdB//macA//narW//gshB//ybiT//ldrA//ybjG//stpA//yihV//spy//yhbS//ligB//ugd//pgaA//trmL//ybiA//maeA//flgH//yidZ//gatZ//lpxH//waaJ//mnaT//frlC//bamB//rutF//
GO_0006091_4	rluF//mepA//atoB//arfB//nadA//proX//yehX//polB//soxS//cheW//ddpA//nrfB//ulaD//ybgI//rseB//yfeW//gcl//ycjD//yjiA//uidR//ygaZ//msrA//ydfD//bcsA//glpR//ghxP//thiI//glnQ//gyrA//aes//dacA//gltX//hycB//chbG//tilS//yfdS//menE//pdeD//argS//iscR//nrdE//potC//glsA2//dicA//dxs//yhjV//mtlD//shoB//cfa//lpxK//ygbL//pck//bioA//yfeD//hcaF//gph//yihI//mraZ//sixA//rlmD//yraN//tabA//glnK//paaZ//potE//pheT//ybjN//yehP//bglF//tabA//rcsD//fadM//sufC//tsaD//bssS//pstC//recA//ppsA//nsrR//frvR//nmpC//trpGD//yegV//etp//yhbQ//pyrF//tolA//yaiV//yedP//recC//xseA//ydiR//ybgP//hcaD//yciA//rlmE//recR//rluF//bssS//trpD//gsiA//accC//garD//cdaR//queA//mhpC//topAI//nhaR//hisQ//yidK//yraI//cysK//
GO_0006094_7	xisR//rhsD//elbB//dusB//yfeO//rhaD//tcdA//ymjB//tdcR//recT//
GO_0006096_6	lolB//yihL//arsC//fadH//ulaC//ghxQ//pphB//ompA//sgbU//kch//aroK//murQ//xthA//mnmC//ygaV//trmJ//yeiG//hisP//
GO_0006097_5	mrp//feoA//leuD//sbcD//iraM//
GO_0006098_6	lsrK//tag//phnL//yadK//mlaF//
GO_0006099_4	dppB//metK//ybeF//nirC//talB//glrR//bioD//sutR//xisR//gabT//yciF//chbG//allS//pepB//insI-1//ddlB//lipA//
GO_0006101_6	nrfF//insA-1//dnaA//acrD//dtpC//iap//yfbV//hcp//mdtL//rutG//etp//mnmE//mdtC//fecA//mioC//cmtB//ansB//
GO_0006103_5	sxy//fliG//lpxL//
GO_0006104_6	fepD//yfhH//yajL//
GO_0006105_5	tyrR//mraY//rarD//frwD//rplX//ftsX//sufA//thrL//
GO_0006106_8	tsaE//
GO_0006107_8	yahK//
GO_0006108_8	ppsA//carB//yacG//nagD//rmf//
GO_0006109_6	rplJ//narP//amiB//rzpR//sgcC//ymgF//matP//rfaD//fhuC//
GO_0006112_5	yihV//mak//rhaR//envY//allD//menF//fhlA//atpG//
GO_0006113_5	acnA//ygjK//elbB//mipA//ccmD//malX//yegS//minC//scpB//yrdA//lptD//ykgF//secE//
GO_0006115_6	sdhD//
GO_0006117_5	nirD//
GO_0006124_6	betB//
