#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	paaG//hyaB//relB//galS//
GO_0000160_5	yiiE//yciK//pitB//nagB//fdnI//ybiS//waaB//hldE//rfaE//proC//alkB//suhB//rng//dgcQ//aes//nrdI//lepA//gabT//rsmE//mnmC//waaL//ribC//apaH//tsaE//tufB//yqgB//ygfZ//frdC//nadE//carB//yiaO//prkB//talB//fic//coaA//ibsD//rlmG//tqsA//pstA//prs//envZ//ycjQ//evgS//
GO_0000162_7	nusA//oppB//poxB//rimI//yehY//setC//hslJ//borD//otsA//
GO_0000255_5	gfcE//rspB//zraR//ynfH//tcyN//
GO_0000256_6	priC//nac//ebgR//tdk//aaeR//
GO_0000270_7	mppA//panF//speG//flgC//ligA//yqcG//tcdA//hsdM//trmH//insB-2//pagP//ybbY//yidP//rutR//polA//lnt//yghG//carB//lysP//yfaX//yfdO//yieL//rnb//malY//lysS//rfaC//ybgI//leuS//rplE//mtnN//sstT//abgB//yceO//lysS//putA//yeeJ//idi//ychO//metK//ftp//ydcP//rpnB//yfeW//araD//nlpE//pdhR//nikE//oxc//hda//cydD//frlC//fetB//ydbK//csiR//prc//yfiF//prfA//zapA//holB//sgcE//ubiF//zupT//gpmA//
GO_0000271_6	norW//ydcP//ccmA//ibpA//bglH//ybjG//dnaX//ompT//rpsI//dgcM//hypC//ykfI//nuoE//gatD//cheR//ddpX//dps//rplK//fimA//narV//serS//guaC//waaO//pyrE//mdtE//iscU//kefG//pgpC//ffh//creC//ssuE//waaB//cspD//rsuA//sgcE//hypA//ykfI//ilvH//ftsH//cca//elyC//yneE//hprS//holA//yciE//nagE//apaH//fdhD//sgbH//fabB//
GO_0000272_6	yhgF//lipA//csiD//yphB//dacA//yheT//
GO_0000302_5	ygfZ//recX//mreD//waaB//basS//paaA//yidD//frvA//hyfC//yjgX//xapR//yfcQ//rpsH//ompF//bcsA//yhhY//pppA//ygjH//minE//scpB//cpxP//yjfP//rraA//cynT//hofC//cydC//tdcB//fimI//moaC//dgcT//yfcP//
GO_0000303_6	ghoT//hinT//
GO_0000305_5	paaD//tatE//garP//
GO_0000372_11	leuA//
GO_0000375_9	pgrR//
GO_0000376_10	hcaR//
GO_0000413_9	trg//ychH//fhuD//sgcA//sdhD//higA//waaU//allS//
GO_0000451_7	proQ//mglC//kilR//panC//yfgJ//
GO_0000453_8	mdtJ//bluR//pspF//flgC//yjiY//
GO_0000455_9	topA//yqeG//murR//lnt//acnA//galM//zwf//
GO_0000462_11	ybaQ//chbF//
GO_0000469_8	ynbC//
GO_0000470_10	mrdA//
GO_0000478_9	cytR//
GO_0000715_6	acpH//
GO_0000716_7	cof//
GO_0000724_8	lptD//
GO_0000725_7	hicB//yhhT//arsC//rbsC//nuoH//yadK//
GO_0000726_7	caiF//
GO_0000731_7	ynfK//bcsA//yjiY//sapD//fadB//tusB//aroL//
GO_0000737_7	ybeY//
GO_0000738_7	murJ//cusB//narY//
GO_0000746_4	lplA//
GO_0000820_7	yihT//
GO_0000902_5	dxs//
GO_0000910_4	feoA//deoD//moaC//acs//yhfS//thiE//rutB//ybiH//katG//bcsQ//ykfI//mdtD//yehX//chpS//ribA//uxaB//narY//livF//
GO_0000917_6	rimK//aspC//hcaF//wzb//tap//
GO_0000918_6	suhB//proS//thiI//cdh//
GO_0000920_3	eutN//asnS//hns//pdeK//nuoE//
GO_0000921_6	gstA//
GO_0000966_8	dapB//pflA//phoE//dppB//
GO_0000967_10	fadR//yhgH//ileS//
GO_0001101_4	panC//tyrB//yhaO//yadV//yceO//glpX//yqeF//yggE//cusC//napC//ygfI//ybhS//hisB//lysO//yedX//tcyP//trxA//zur//rpiR//degP//yehD//clpP//exoX//dbpA//htpG//yceD//
GO_0001121_7	tdcF//fimD//
GO_0001123_8	ptsI//
GO_0001124_8	arnF//
GO_0001407_7	lpxT//rplW//insI4//rhtA//
GO_0001505_4	dgoK//rpmH//frwB//gatB//ybhF//rpsM//folC//rnr//rsfS//fdx//tynA//kduI//ddlA//hisP//yahK//hslU//
GO_0001510_5	secY//mutS//mltF//treC//htpX//rclA//ydcS//ffh//ybhG//bcr//mtgA//rzoD//holC//sanA//ulaE//tyrB//argC//osmE//fryA//phoR//leuE//cysM//kdpA//pflA//lpxD//pcnB//dapB//yfiC//parE//cpxP//trmA//nupX//pntB//topB//uspG//yaaJ//hofC//insH-6//dgcF//ompW//
GO_0001514_8	mpaA//
GO_0001522_7	ypdC//rng//hyi//coaD//ydiZ//rimM//rplW//ycaN//abgA//nmpC//rplJ//nadC//ygiN//
GO_0001539_4	yehP//tnaC//lpoB//cysU//dacD//tisB//tatE//ydaV//actP//sohB//pth//trkG//argE//bluR//sulA//nfuA//hrsA//yddA//insA-2//aroK//ligA//recQ//fadE//slyA//yfeO//yqeA//cof//rraA//paaG//nadK//mlaC//
GO_0001558_5	ybaQ//cynT//accC//fdoH//holE//aroA//recQ//frvA//
GO_0001561_6	uhpB//
GO_0001666_4	abpA//
GO_0001676_6	ibpB//rpnA//uxaA//
GO_0001680_11	yjhI//
GO_0001682_11	fabZ//
GO_0001731_7	yajQ//
GO_0001762_6	smpB//
GO_0001887_4	exbD//hslO//hflK//
GO_0001896_5	tsaD//fmt//slt//yqjA//
GO_0001907_5	bdcR//mgtA//ftsQ//lsrA//
GO_0001932_8	eamB//slt//
GO_0001934_9	trmL//
GO_0002047_6	lplT//cspB//
GO_0002097_8	ggt//mdtK//hflK//cadA//ycjP//yfiF//fdx//nikA//slyD//prmC//kdpF//narU//rutR//dnaJ//cdgI//yphC//rfaQ//insI-2//ptrA//
GO_0002098_9	xapA//ligB//deoA//recN//paaJ//crcB//bacA//purB//nuoB//ygaH//tldD//pgpC//mioC//
GO_0002099_9	ydiK//ybaL//
GO_0002100_9	mdtK//
GO_0002101_9	yedF//hokB//
GO_0002128_7	rhaB//fdoI//hofN//ybdM//
GO_0002130_8	aroF//
GO_0002131_9	fieF//
GO_0002132_9	rpoE//
GO_0002136_10	menA//
GO_0002143_9	dkgB//arnE//cmk//ygfI//rplJ//pdeH//
GO_0002181_7	ybcM//yqaA//
GO_0002183_5	ydbK//
GO_0002184_8	abpB//
GO_0002188_6	lldD//
GO_0002190_6	lamB//
GO_0002192_8	setA//
GO_0002252_3	mgtA//yfaE//uspB//tas//dbpA//yciE//nimT//ldrB//rutD//rhaM//
GO_0002790_6	araF//ykgF//rcsD//tbpA//ackA//lon//cydD//
GO_0002937_9	oxyR//
GO_0002938_8	sufB//
GO_0002939_7	prlC//
GO_0002943_8	actP//
GO_0002949_8	ompG//rplP//glcB//dtpA//
GO_0003333_7	ldcA//ypdC//narV//appY//pgpA//wzzE//shoB//prc//pflC//artJ//tnaA//pcm//ygbL//gutM//tmcA//glpX//idi//cytR//topB//pdxH//lptG//rihC//yghB//adhE//secF//ygeX//yraI//ccmG//pyrB//yqeG//cusF//mhpT//pdxJ//mlaB//adhP//apaH//narI//insB-2//mlaF//rplJ//trkG//yraH//oppB//dsdX//hipA//iscU//ybhR//ycjU//betB//
GO_0005975_4	puuR//topB//arcB//cpxA//rlmC//fdnG//ribE//uspC//hsdR//sbmA//secB//mdtM//gudP//nlpA//yihU//mgsA//insH-6//udp//pstS//paaX//lepA//gloB//fadM//cpdA//dnaT//yidC//purC//nirB//cirA//sufE//acs//wza//rplO//prc//mdtB//cyaY//ada//gloC//deoA//tyrS//mcrB//allR//galK//mdlB//uspB//rnhA//ygiB//chbB//abgB//yihI//recD//xylF//srlD//adhE//holC//idnK//accB//dgcZ//eptB//cpxA//ccmC//elaD//yibA//tyrS//appC//pyrE//ybeQ//agaV//gltL//rfbD//ugd//folM//ydeM//spy//zraR//uvrC//chbF//recA//dcm//ilvE//rfbC//adiA//sugE//rhaB//nhaB//yiaT//djlC//yciH//yqeG//dnaK//dmlR//dgcF//csiD//manY//yaaJ//yhgF//yafE//ybaQ//fkpB//adeP//ribF//lptA//yfbU//cpoB//mmuM//amiD//ddpX//kefB//rfbB//yqaA//cusS//ybbY//slyA//essD//yafS//chbB//nuoE//ycaO//sfmF//mlaC//phoP//umpH//phoE//grcA//ilvC//uvrY//ybiV//ybcQ//ldcA//mtlD//sgcA//pphA//yfbU//prpC//uxuA//bglX//surE//mcbR//dinD//mcrA//mdtK//queF//rpmC//mutY//hldE//gloC//cho//maeA//ibsC//cpsG//ygeA//fkpA//tmcA//tldD//tldD//cas1//glmM//sapD//baeS//phnK//galT//yphD//rplD//pgk//add//uhpB//yehC//metE//gabD//yddA//metL//xanQ//argF//yfhH//yhaO//torA//znuA//agaV//cmoB//yegV//yejA//cycA//yjiA//eco//rpe//exbD//bioD2//cspG//hemB//yfcR//rlmM//phnJ//yrbG//menI//rbsR//araE//kdsA//miaB//nimT//frlC//rna//ftsP//yidH//mgrB//dctA//yjeH//galP//yahF//ubiE//treF//pgl//phnL//pgaC//infC//ybgP//cadB//prfB//xanP//mfd//sdaB//gntP//gcvT//yjjQ//tusA//pspD//gadB//hisP//caiE//yraI//waaF//crfC//tyrA//ybdH//fimB//aaeA//ybcL//ycbU//dgoR//ycgR//ybiT//dxs//ascB//trmB//dmsC//cynT//gadX//phoP//deoR//tisB//yejB//aldA//queD//nupX//ribB//
GO_0005976_5	rtcR//narX//tdcB//mmuM//efp//rraA//yddM//gntK//ycjU//dcm//rluB//satP//glnL//ulaR//gluQ//feoB//pyrD//ygaV//xylF//ypdA//malK//speG//ileS//tatC//ftsN//malI//mglA//ybaK//sulA//bdcA//rspB//cusS//cysA//ribC//secY//otsA//orn//livM//priC//cnu//serB//recT//ygbI//gcvP//kefF//kefB//trmO//rcsF//yfcV//yciE//fliZ//ligB//dhaK//mepA//tolA//cysQ//basR//flhD//cadC//
GO_0005977_6	nuoH//otsB//cyoA//cobB//bioD1//ykfI//cydC//cpxR//
GO_0005978_7	yhdZ//yciA//bioP//lepA//
GO_0005979_8	rhmD//
GO_0005980_7	iscX//holA//ybdN//
GO_0005981_7	proC//
GO_0005984_5	kdpA//dinQ//nagE//rpsM//yhaJ//nlpI//ynbB//kefC//sodA//dauA//rfaH//
GO_0005985_6	aspA//
GO_0005986_7	nanE//
GO_0005988_6	ldtB//phnC//
GO_0005990_7	btuE//ydhK//
GO_0005991_6	relA//aaeR//ptrA//cyaY//fdoI//
GO_0005992_7	yggW//arsB//
GO_0005993_7	argS//yghG//insI-1//
GO_0005994_6	yibT//
GO_0005995_7	nuoI//
GO_0005996_4	dpiA//mdoG//rsmE//yihX//pdxY//yeiL//hokB//yihR//rcnB//aaeB//bluF//rplX//yieE//galE//ackA//arcB//galR//insA-2//glpR//fimD//glyS//fabA//phoA//prmA//entF//alsC//caiE//pyrE//yciF//nlpE//citT//ybaO//tdcE//pspD//recC//glxR//mtr//pepQ//tap//gor//yebG//nagC//ilvA//cfa//hemC//degQ//cspG//ubiI//fliA//cysD//araC//rpnC//mlaD//truB//yhhZ//yraJ//ansB//pinQ//prpC//rhmR//gapA//clsC//hscA//fecB//katG//abgR//lpxB//yghB//fruA//yheT//garL//feoA//setA//hisA//rutA//cas2//yjjB//dgcN//intZ//torR//sgbU//tonB//
GO_0005997_6	serB//
GO_0005998_7	fdx//
GO_0006000_6	yfcV//ecpR//purB//
GO_0006001_7	acrZ//gstB//
GO_0006002_5	flhA//rep//waaC//
GO_0006004_6	waaS//degS//cmoA//gudX//hslO//yadI//
GO_0006006_6	pheS//cstA//pdeK//pmbA//ygfZ//yraN//msrA//rcsF//sbcC//ghoT//nanR//rpsM//pgaB//hns//ompL//mngA//gcvH//serS//yggN//ispA//ybaO//recD//idnD//
GO_0006007_7	amiA//arfB//rpmA//
GO_0006011_5	nfuA//
GO_0006012_6	rbsA//glgB//ynfH//rplE//yabI//iraP//menE//aroH//ybcL//
GO_0006013_6	gcvH//ibsB//
GO_0006014_6	cysS//hscA//fdhE//
GO_0006015_7	ychO//rplB//
GO_0006020_5	hxpA//
GO_0006022_5	yfiF//lrhA//rfaB//yfgO//sthA//tdcB//tadA//yfcA//sucD//hisS//yjjQ//yijE//yeiL//prkB//ghxP//yqiJ//dtpD//argA//cysZ//glyS//cbeA//surA//frvA//yojI//hupB//cpxR//mdaB//ttdB//trmI//ybeY//sapD//osmF//xylF//nagA//amyA//trg//ivbL//ynfE//hyaD//priB//elfD//acs//moaE//nanR//dcp//rsuA//fabB//rhaA//ispB//ftp//allS//ydfG//hybA//dgcF//rsmE//pitA//garR//baeS//symE//paaC//potI//phnO//oppA//
GO_0006023_6	zapA//glgX//mepS//glpG//ompL//motA//rpnB//tap//kefC//mltB//yafQ//tcyN//tusC//nrdI//flgG//moaE//mqsA//rpsA//yifB//cydD//bhsA//ampE//yidA//fhlA//yjbF//fimA//gpmM//paaX//kefC//chbC//cobT//atpD//bioH//serB//hofP//glgC//nadB//bdm//ugd//
GO_0006024_7	gyrB//lldR//selB//puuB//rbsK//mdfA//glcB//proX//manX//paaJ//yfiC//ydeO//waaB//ulaC//hchA//dfp//sseA//yfaX//djlC//hypA//fryA//yhjX//nagB//citX//cspB//rpsA//rppH//mdtL//bdm//flgE//flhD//oppF//prmA//gcl//ychO//garR//hns//dnaT//setA//
GO_0006026_6	dctA//yhbQ//hisS//mazF//sucA//ybdZ//yccA//tusD//miaB//rnlB//
GO_0006027_7	sodA//aceB//ftsA//srlA//rpiB//fryC//umuC//yjiA//rayT//dgoT//
GO_0006040_5	rpoA//topAI//dgcE//ydeO//yjaZ//flgI//waaF//plsX//tolC//cnu//yciF//ppiD//gyrB//carA//yehD//cycA//yidZ//
GO_0006044_7	tgt//ybcJ//dnaN//minE//yidE//
GO_0006046_8	speD//erfK//plsB//mcbA//
GO_0006047_5	rho//dapA//kefC//lpxT//sufE//ydcS//flgC//
GO_0006048_6	lrp//tcdA//ileS//ybcF//glrR//waaG//
GO_0006050_6	ribB//
GO_0006051_7	borD//
GO_0006053_8	hemN//
GO_0006054_6	oppF//mtn//rnb//hcaT//msrA//rnlB//satP//
GO_0006056_6	glnL//
GO_0006057_7	hokE//
GO_0006059_6	frr//lit//cecR//macB//
GO_0006060_7	rpmH//
GO_0006062_8	speE//
GO_0006063_5	insH-5//flgA//rna//rssB//uhpA//opgE//rsgA//mltB//mcbA//
GO_0006064_6	mdtE//yfdC//kdsB//ychH//djlC//hofN//
GO_0006066_4	nikD//ycdX//gmhB//pabC//ygiB//hyfC//fdhE//yhjC//abpA//glnS//xerC//yjaZ//yfaV//phoA//hpf//xylE//hicB//yejE//mtnN//thiG//livM//yqcC//hypB//entE//yrdA//nadD//minD//lpd//nrdI//hcaD//sdaC//arsB//
GO_0006067_6	galR//glnD//rsfS//
GO_0006071_6	cmoM//cusB//sufC//fimA//adeP//upp//ais//
GO_0006072_6	yagF//recE//bipA//yieE//tdcG//
GO_0006073_6	wecB//appB//dmsA//fepE//ybgQ//narX//yfdG//maeA//sgbH//epmA//rarD//thiG//mliC//fimI//yadG//aldA//pstA//ybiV//yibF//garK//
GO_0006081_4	clpB//kdgT//phnK//sdaC//dinQ//lsrG//tpx//betT//arnF//dam//rpmJ//atpE//fetA//rho//rph//pinR//cobB//ldtE//yedL//nrfA//carA//yojI//hprS//opgG//serC//ycaO//proA//amiB//yijO//ispF//yhhY//sapC//ralR//yfcV//setA//guaB//dsdA//degS//chiP//plsB//lepA//wzzE//ptsH//tdcD//rzpD//lldD//decR//dxr//nadE//abgR//sodC//adiA//ybiV//ytfE//rcsC//fliM//ybjN//hofN//hycH//crp//acpT//lysS//yijO//ldrD//glpT//yciE//cpsG//
GO_0006082_4	yjtD//gltI//msrP//dctR//cydD//tsaD//hisS//mngB//yehC//holA//mrcB//frdC//gloB//psuG//ytfT//pgpA//nuoH//ynaE//cusC//bcsA//rsmA//gcl//rlmI//pabB//ycjQ//bcsA//dppD//arnF//yadI//ygcO//ttdB//rpmB//sufD//rhlB//yadC//yjhI//fkpB//yggN//cysH//ddlA//uspC//oppA//smpB//lgt//nuoB//rodZ//mepM//creC//prfC//arcB//tpiA//rpiB//fetB//acrZ//ompL//gltD//ibaG//trkH//fkpA//katE//kilR//hypT//eptA//caiF//ihfA//mhpT//secA//pitA//hcaR//ybaL//pspC//rcnB//hdhA//ogt//narV//minD//yecS//dinB//rplK//insF-1//yajR//kduI//gudX//pdeH//nirD//tsgA//gloA//blc//chbC//narQ//gdhA//cbtA//guaD//yddA//pgaA//fiu//yraN//yhjV//flgF//livF//fimI//kdpE//arcC//tauB//pgi//chbG//abgA//yacG//phoQ//yaiP//ygeW//ldrA//insH-5//gadE//yccS//mdh//sgbU//clpA//yjiM//gpt//yeiE//hypE//codB//acrD//fetA//rpsS//yagG//ybbW//znuB//lysC//aes//yigL//bcsA//yciA//galE//malE//abgR//fdhE//citC//ydiK//ydjE//ynfL//ykgO//rsgA//sgcR//agaB//yjbH//dicC//phnJ//proV//yeaV//dnaB//ebgR//trpL//pagP//hisC//trpL//rseB//menA//ribB//ygeR//yedF//cheB//ftnB//dnaJ//sgcC//hyfF//kefC//citE//mdtG//nimT//kdgT//wzyE//kefF//fdnI//rpmE//glpA//yqiJ//prmB//mrdA//dhaR//pldB//rhaA//frlC//pyrC//crl//gspE//fimB//lspA//yacG//citG//potI//narW//sufD//rpmA//narH//nrdF//sapD//ampG//ygfI//dxs//frlR//yciG//dhaM//rpiR//rne//dgoT//zapE//btuC//dgcT//dnaB//bcsQ//srlA//artM//cfa//guaC//ompF//lon//fic//flgE//hybA//gntT//ftsE//glmU//mgtA//betB//proV//torR//ssuB//clsB//insI4//glcE//ynfH//frdA//nikA//rbsC//xdhB//zapC//recR//manY//htpX//ftsL//minC//serB//obgE//malY//preA//moaE//yqeA//pspD//hemF//ftsZ//ibaG//gatY//yraK//cirA//thrC//ghrB//garK//ygeV//slyD//mutL//kdpA//intZ//yafN//moaD//lpxB//feaB//ilvC//ybcF//mhpB//yhhZ//fieF//cueR//hsdR//narJ//pepB//kduI//mutT//rpsT//rnlB//bcr//yahD//gfcE//yiaJ//yihI//glrK//yqiG//metL//opgD//trmI//aqpZ//rseP//yddM//rcsB//rhtA//ansB//accC//groL//pntA//tynA//cheW//folD//yoeE//yaaJ//flhE//ddlA//cvrA//yhfK//ravA//rtcR//yhjG//caiB//rpmG//rlmI//rfaH//yedP//hxpA//lpxT//pheM//yqaE//prfB//wcaJ//amiC//hokE//mtr//pspG//rihA//ddlA//yfcA//rluD//tmcA//mhpR//rpmA//degP//ymgC//yieH//cca//hycH//tauB//amyA//basR//dnaG//dut//sdhE//fruA//umuD//argF//nanE//tnaA//hchA//cutA//hybG//kdsB//yebZ//gsiB//arsR//nfsB//glpA//map//erfK//murB//aidB//yggP//fryA//livG//abgA//yicJ//proP//asnC//ligB//rssB//xylB//rhlE//yqcG//oppC//ascG//mipA//ftsY//yqcC//glxR//spy//murR//queG//puuB//degS//bipA//narK//dbpA//bglX//ydeE//rho//aphA//puuC//dgoK//glcF//malK//tsr//gpmA//bioA//glgB//sxy//fdnG//xylH//lyxK//ydiZ//sdaB//sanA//rcsD//prfA//sbp//gloB//yraJ//ybjX//serS//amiD//cvrA//ydeI//sbmA//norR//flgK//holB//yciV//npr//queD//rsmF//dicC//asnB//pstS//ycjP//abgB//dam//coaE//tdcD//mcrB//oppF//btuE//fepE//phoA//hexR//dpiB//metH//chaC//relB//ibsE//aqpZ//rpoA//livH//hyi//opgC//glvC//entA//malG//torI//lspA//bioP//pdxY//lpxD//pykA//rzoR//
GO_0006083_6	fimB//zapB//potB//envR//dnaX//gstB//
GO_0006084_6	greB//yraI//
GO_0006085_7	lptE//galU//
GO_0006086_8	csrA//
GO_0006089_5	trpD//dppD//yidP//patZ//ybiY//dppD//rlpA//murR//ibpA//sohB//def//chaA//yhdJ//rcsD//lipB//fadR//trmH//yghO//prc//lon//dapD//leuA//sucA//waaL//mngA//sutR//creB//patZ//yjaZ//
GO_0006090_8	oppA//aes//uspE//dcd//ruvC//tcyP//gntR//ybjG//slyA//bssR//rpoH//fabG//cysC//cysP//fliA//zwf//ygfX//fimZ//yccX//dicB//rnb//rcsC//sufS//ihfB//emrE//rhaD//ebgR//insI1//mntP//yeaG//ychH//
GO_0006091_4	yggW//yfeR//lipA//zitB//yneE//yjaZ//msrQ//cadC//kefG//pflB//rsmC//marA//abgT//yhdZ//yfdS//lsrD//tomB//mtgA//ybjC//sgcB//codA//yehY//glnL//yfiR//rbn//nemA//mreC//lpxP//era//rmuC//ccmA//pflA//cvrA//nanR//bfr//hyaD//ybaM//ddlB//tilS//yeaV//nagB//fadH//cbl//pppA//tauD//rssA//mliC//slt//rbsC//narW//yghU//nirC//rhmD//glpF//sad//aroG//hyaA//argR//mioC//ybjD//cobT//mdtJ//dnaG//intF//gntK//fdoI//rihA//cynX//livG//dhaM//thrS//ssuC//ydcR//gcvA//greB//amyA//xanQ//ascF//hofO//fecC//ybjC//rutB//yeeO//tyrA//ybaL//carA//atpE//yjtD//map//yfaV//dcuR//yrdA//yebK//dxs//corA//fdhD//malX//groL//hdeD//cueR//ssuE//secM//ygaH//frwC//sgcX//rffM//patD//yggW//yghW//rmf//rluF//murP//
GO_0006094_7	yjfF//thrA//sodC//ldrB//acpH//maeA//nrfC//hyaD//cecR//topB//
GO_0006096_6	ybiH//xdhB//tdcR//npr//gsiD//adeQ//cbl//wecA//fucA//ubiA//ldcC//nadA//frsA//modB//ybcF//pspD//pspF//manA//
GO_0006097_5	agaD//chbR//gshB//tdh//proS//
GO_0006098_6	ybcL//zupT//polB//ldcC//ybdH//
GO_0006099_4	obgE//yjiY//yfeW//srlA//tatC//ygbM//malS//fixB//ynaI//nhaA//arnT//fruK//dadA//yibA//prc//hcaE//menB//
GO_0006101_6	avtA//abgT//yoaA//hcp//yidE//hyfR//yaiV//ydeO//bdm//yhiM//norW//dosP//pgaB//mlc//ravA//puuP//yfiF//
GO_0006103_5	hicA//dmlR//cydA//
GO_0006104_6	paaD//fumB//pinR//
GO_0006105_5	ynjD//yhdH//dsbD//tolQ//ttdT//ynfK//hexR//araD//
GO_0006106_8	ynfF//
GO_0006107_8	nuoG//
GO_0006108_8	erfK//emrE//dtpC//intZ//bglH//
GO_0006109_6	chbG//recO//thrS//fixB//yeeO//rmuC//yidC//zitB//dgoD//
GO_0006112_5	ybdO//elbB//gabD//sgcC//rpsR//rnt//caiB//maeA//
GO_0006113_5	alaE//gpmM//truD//moaA//rpsH//ybdO//fepA//cspG//pheP//fre//ulaB//serS//abgR//
GO_0006115_6	fimC//
GO_0006117_5	insB-2//
GO_0006124_6	ribC//
