#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	dtpD//fdx//glrK//gnsB//
GO_0006020_5	thrB//
GO_0006022_5	lptB//livG//rsmH//araE//mnmA//ftsN//nuoN//hslO//hns//hcaR//tauA//yphB//argS//mhpD//nagC//mrdA//phoB//dinI//ydhJ//ackA//hfq//fdoI//grpE//phoR//hemN//nagE//yaaU//hyaB//torR//tomB//ldrD//lgoR//cvrA//elfG//potD//pdhR//hdfR//rpsQ//frdA//mrcA//hemN//kdpF//gsiA//setA//uspC//baeR//lysO//afuB//lysC//ycgB//soxR//yfeX//xylB//srmB//sfmC//yiaO//yqaB//ftsL//rlmJ//yehB//ydfK//fimF//nanS//
GO_0006023_6	rnpA//ydeI//mltG//preT//flgK//rpmG//gadC//yciF//ydfH//serC//hybB//ssb//yddM//yijE//gntP//mlaC//gloC//glgB//sbmC//gspE//ccmF//rna//treR//puuB//tpiA//priA//der//mppA//tpiA//ybaE//ycfS//htpX//mngA//uup//rpsQ//amiD//emrE//mngB//basR//
GO_0006024_7	clpP//caiT//phnI//dnaN//ybaE//lspA//folM//recF//yfcS//waaP//tusD//ushA//ebgA//narX//mdtC//yjjB//nanE//cysZ//appB//ubiH//rssB//dinI//tsgA//yajR//nrdB//yjjV//rplK//melA//oxyR//yehB//mltF//aer//yhbY//acpS//rhtC//ssuB//yiiM//napA//kdgT//
GO_0006026_6	wcaB//ynjA//rbsD//caiB//mdtL//leuD//msrA//gsiD//artP//yfeW//
GO_0006027_7	ydaC//ybiJ//glpG//secM//gatZ//recE//cysN//mlaC//preT//msrQ//
GO_0006040_5	grcA//recQ//mltC//waaL//flhD//envR//rsmJ//bglF//livJ//lptA//ycfS//gpt//atpF//nrdI//yifB//rarA//araE//
GO_0006044_7	yfgI//yagF//allB//priB//ybiI//
GO_0006046_8	dadA//gshB//cusS//artQ//
GO_0006047_5	hipB//apaH//otsA//ldrB//nuoH//hcp//nrfC//
GO_0006048_6	lptE//sodB//yciV//yraR//tcyJ//tusA//
GO_0006050_6	glpB//
GO_0006051_7	dcuD//
GO_0006053_8	ais//
GO_0006054_6	lpxM//focA//glpK//aslB//yghW//ycaO//gmhB//
GO_0006056_6	menB//
GO_0006057_7	waaO//
GO_0006059_6	bluR//folP//dapB//cbrA//
GO_0006060_7	rplM//
GO_0006062_8	ldhA//
GO_0006063_5	ptsH//ruvC//dinI//ompG//nikC//cusS//yhdW//dnaN//ftsW//
GO_0006064_6	tadA//yebS//ddlA//dgcF//ybiA//hiuH//
GO_0006066_4	purN//phnL//rpsP//moeA//asnC//rlmH//yegD//nikR//purU//yeiE//fabA//accA//wzzE//yfcQ//yajQ//glgP//paaJ//fumB//ycfS//mngB//hyfF//allS//era//fucA//rmf//afuB//yehC//ftsN//waaB//folD//eamA//rbsC//
GO_0006067_6	yraK//ydcZ//folE//
GO_0006071_6	pckA//dadA//ydiO//ybaK//cynX//thyA//argI//
GO_0006072_6	abpA//ilvM//sspA//erfK//insI3//
GO_0006073_6	glmU//ydiK//clcA//exuR//hybC//cysP//secD//insA-1//yaiP//frsA//pinR//phoB//dgoT//hxpB//yheT//yiiE//ubiF//tdcR//rcnB//hchA//
GO_0006081_4	glgS//xapB//appY//fadK//yodD//yhbY//srlA//ftsQ//tar//rlmL//yihS//opgG//mobA//dps//glpF//dusC//yneE//dkgB//eno//yqgB//mrcA//sgcX//pykF//srlE//ycbU//mscM//uvrA//mgsA//ybbN//wecA//pitB//dsbC//cytR//yejE//cbl//rpiA//gpsA//pgpC//opgB//rsmG//ihfB//rna//entB//lspA//kdpB//fepG//sapF//mdtM//symE//lptD//ydeM//fimC//gatA//paaF//rihA//ftnB//waaF//yeaV//flgG//xanQ//ybhI//lptC//pspF//treF//betA//tauC//trmI//
GO_0006082_4	yfiC//dcuR//pdeR//ygcR//yhjG//hisH//serA//glyS//rhaB//ybjL//prpD//npr//ypdF//sseA//ymfK//narJ//puuD//cyoA//bglX//ompF//dgkA//trpR//hokE//pgaA//dxs//xseB//ccmF//yihQ//hupB//flhA//pliG//ubiX//tcdA//spy//cstA//prlC//rpsB//zinT//wcaC//ybdO//waaS//hybC//ampH//ddlB//ssuD//tap//blr//bssS//ftp//speD//metN//frsA//nanT//yjaZ//yhdW//lsrA//clpP//ydgA//eutD//lsrK//kdgK//hscC//yedP//ycdX//aroC//efeO//hdeD//hscA//yeiG//waaH//sbcB//rcnA//cyoC//yfjV//thiG//xylF//malY//adk//cysP//frwB//ibpA//ilvD//hscB//yhbO//cbpM//yjjX//ulaB//ymdB//marR//ypdA//xylG//qseB//tktB//rluA//nudF//higA//yegS//elfG//eptC//queC//prmA//yjhG//ybhD//ybeF//cpdB//potB//rfaQ//adeQ//speF//zupT//rcsD//clsC//waaJ//mntH//hypE//zwf//dsdX//lacY//ygiW//pyrE//surA//paaX//frwB//preT//fixA//idi//btuE//pdeF//phnK//fklB//bglH//ynfF//yjiQ//cusS//accD//comR//rplN//feoC//cptB//paaX//tdcF//ulaG//ldcC//rfaB//ftsW//ybbN//ulaD//ydeE//lgoD//aroF//truB//ygfX//oppF//ebgA//trmL//pinE//yeeJ//yjhI//tatA//mhpA//napB//ykfM//yebC//fepE//gutM//paaK//cbpM//yagG//maa//secF//rpiR//hypB//opgG//add//yhcN//degS//dppA//gltI//yjeH//lpp//rstB//uidC//frr//cas2//ypjD//csdA//rplP//yceO//lpxP//nuoB//pphB//vsr//flhA//panD//lapB//ymdB//rpsP//ydaV//narG//lgoR//gldA//glxR//selU//ssuB//osmY//tolC//emrE//nusA//yfcF//kdsB//recD//rluA//xylR//ydgA//astC//radA//ybjL//dgcZ//moaB//ruvA//astB//sgbE//tatC//kdgK//lplA//ybjN//ymgC//rcsD//ybjI//polA//rplF//yjbH//modA//yneL//nusA//mntP//epd//cysA//cfa//ampE//cmoM//ruvA//cas1//ymfK//lpxT//yfcU//yihQ//mrdB//aroP//dpiA//yggE//ptsN//napC//yhcD//xylG//yfcG//hemC//galK//mrcB//nhaB//nikD//tdcD//pepN//kdpE//srlD//pheA//yciG//kdgT//dinD//ygiW//ytfR//gnsB//paaE//corA//xapA//dgoA//waaO//afuC//slt//yqeF//nrdD//opgC//ffh//mukB//trmL//puuP//folM//yaaY//malG//purU//deaD//chbR//trpA//fixB//mpaA//rutF//cnu//pinQ//rpsE//ybhR//rihA//mcbA//mzrA//yidR//iscA//fecD//glnP//fimA//rbsK//pbpG//agaR//bioA//nlpA//guaB//hslR//ygfA//sufS//secD//groL//treA//aroP//queF//prpB//ptsG//betT//relB//serA//torZ//hsdR//nrdI//ftsA//rng//ompT//tcdA//sbp//yjcS//sbmC//rusA//artI//mazG//yggT//intF//allD//nuoE//fadH//rluD//bcp//trpE//mscK//plsC//yejB//rbn//mutY//ispF//kdsA//aroD//cpxP//msrA//cobT//dinJ//ybdM//rfaD//yjjQ//rplW//rlmB//rhaA//tdh//frlA//metR//rsmE//paaB//tag//dnaB//cysC//rutC//lsrR//rsmF//gsiC//nagE//nirB//yhbX//ompL//ymgC//erpA//fdrA//recA//ygbM//rodZ//yafE//murJ//xisE//torR//dcuD//flgI//lpxC//htpG//chaA//dgoA//osmC//torA//fdhD//manX//aroH//opgB//galP//iraM//insI-1//hisI//flgM//ddpX//murI//ytfP//ydjH//cyoA//yiiM//yedF//yjjU//yggE//yieH//nudG//queC//ibpA//rppH//yidZ//fadD//fliS//fhlA//curA//corA//eno//srlD//minD//alaS//grpE//zntA//ompR//rplA//ribF//mhpT//metQ//pyrL//nanE//leuD//hemH//amiC//clcA//paaD//xthA//ybcJ//uvrY//msrB//mdtE//yajR//ydjL//bssR//mepM//uxaB//dsbA//mog//lptF//
GO_0006083_6	aspA//yhbY//pspD//ghrB//kdgK//hha//
GO_0006084_6	hfq//murP//
GO_0006085_7	argS//ykfM//
GO_0006086_8	etp//
GO_0006089_5	ychF//waaJ//sbcC//uxuA//murB//hflX//ydjE//kbaY//argG//rraA//ribD//nlpA//fadB//eutD//lptB//pdeR//cbrA//rbfA//insH-6//frsA//rsuA//dgoD//qseC//rlmC//cysQ//yihS//sfsA//yhdZ//yeaD//
GO_0006090_8	amyA//prpD//yagJ//acrA//ydbD//queA//ymgF//ihfA//glcD//msrA//ttdR//yebZ//xylB//tyrS//lgt//tusA//fliA//sdaA//rclR//mepS//pgaB//cdsA//kdsC//nuoB//pitA//fecD//cpdB//purC//metE//dicB//uhpA//
GO_0006091_4	citT//treB//btuD//gdhA//leuB//entH//emrK//rfaH//fecA//ygcO//agaB//rhaD//flhA//hybA//yedL//prmB//caiB//prfC//dcuB//ydiZ//yaaA//artQ//cobB//arnB//bglX//hdeA//pheS//ftsK//gntT//ptsN//yhjD//dsbD//yodD//amyA//fecC//aroH//fadL//ldrD//epmC//nagE//bluR//glpK//cobU//fhuD//putA//pdeK//nuoI//fkpA//rpmH//rph//fadD//fabG//trpL//mnmG//yfcV//flhA//caiB//nrfE//cysK//torI//galK//cynT//allB//waaF//ftsN//folE//opgE//sspA//ygiN//narH//yaiP//ybaQ//ptsN//basS//bioF//zapA//lrhA//waaS//yhdJ//arnA//yiiM//srmB//hflK//rarD//ugpE//xseB//thiL//lsrK//chbA//phnM//lolE//trmA//tsf//ihfA//scpB//rlmB//fdx//uhpC//ydfH//pal//aidB//ddpA//tauC//aer//rpoD//znuB//yfeO//macA//waaP//livK//ltaE//phnK//
GO_0006094_7	yihQ//phnN//purD//mgtA//yqgB//fadA//gfcE//pntA//pdxH//prpR//
GO_0006096_6	ratA//cyoB//rlpA//ampD//pflB//ygbL//ydaC//ycjY//flgA//rnlA//rfaE//yjhB//xthA//blr//narL//yjaA//yjjQ//rfbD//
GO_0006097_5	fabH//argB//kbaY//ndk//nlpA//
GO_0006098_6	sfmD//rnr//yhdJ//cpxA//ghxQ//
GO_0006099_4	rnt//lptB//paaA//tsaC//yebG//mepA//pfkB//pphB//insA-2//frvA//yidC//slyA//bssS//yfjV//ldrB//rpsD//dcuC//
GO_0006101_6	ubiH//narX//argF//fdoI//frc//rhoL//mrcB//lpxP//ptrA//yajR//wcaJ//nhaA//rluC//cirA//ilvD//znuC//mdtL//
GO_0006103_5	rutR//djlC//yphF//
GO_0006104_6	fepD//fimC//btuE//
GO_0006105_5	dgcT//tusA//recT//cdsA//ybeY//uspE//tcyP//codB//
GO_0006106_8	yebQ//
GO_0006107_8	ivy//
GO_0006108_8	yidQ//speG//kdpF//hicA//yphB//
GO_0006109_6	erpA//grpE//ilvA//wecC//atpH//paaX//narV//perR//thrL//
GO_0006112_5	ycdX//pck//fumB//gcl//yaiV//argT//yhaV//yaiW//
GO_0006113_5	mraY//polB//ffh//nanA//yeaE//murE//ung//aaeA//eutB//tdcG//emrB//rhaT//hslU//
GO_0006115_6	tap//
GO_0006117_5	ftsI//
GO_0006124_6	sbcC//
