#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	uxaA//pdxY//pppA//gltI//
GO_0006082_4	tsx//ampH//ugd//yegD//fimH//purN//caiD//citX//wrbA//lsrA//asnS//uspG//lldD//yjbG//hcaT//lacI//intE//tilS//rcsF//murJ//yfhM//cdaR//cobS//allR//hypD//holB//fliL//secG//aroK//appB//rcsC//aspC//glpD//seqA//tadA//rpoS//flgE//pepD//panB//alsA//rpsJ//fliG//rcdA//ldrB//mnmE//narP//ruvC//ttcA//uup//ortT//cysE//chpB//scpB//yqjA//folD//aceA//pfkA//phoP//sapD//amiC//pncB//osmC//mnaT//livF//rplK//speB//rsmF//gpmA//dhaL//metC//maa//menC//cyoC//nadD//ytfE//dam//atpC//iclR//elaA//secD//cueO//ydjK//ompN//ybdN//putP//yihW//pcm//lsrB//gltB//degS//araD//cysC//hldE//nanK//secD//gatA//dtpD//mdaB//ansA//rlmC//yfeX//purA//aroL//gltP//purT//groS//rho//glnB//dkgA//murG//gntK//pdxY//fadJ//gltP//dgcM//atoC//comR//gatC//pspD//pdeR//dgcT//menI//intS//ybjC//yciH//shoB//birA//zipA//trmA//hicB//hupB//gcvH//yafC//yihQ//yhdJ//norW//aroL//dsbA//mcrB//rdgC//caiB//pck//tomB//rcnA//malX//pyrC//hdfR//ppiD//ccmD//ispH//prfA//tag//aaeB//melB//manA//ftsL//wza//ibsC//gabT//potD//lasT//znuC//cyoE//ygjH//yqaB//phnO//rapA//rpnD//yobF//hpt//hdfR//cyoE//gudD//ycfL//ydaC//pstS//pbpC//lptG//emrY//cra//sbcD//cysC//norW//iclR//carB//atoB//ulaC//waaZ//fadL//acrR//phoU//cydA//folC//ruvB//ghxQ//pyrD//blr//pdxH//yphD//msrP//arsR//pyrB//preT//thiD//artM//glvB//rssA//hyfF//greA//ptsI//cvpA//ycfH//yhdZ//cyoD//hisP//frvA//frlC//hokE//cysZ//pdeF//nanS//yecS//maeA//rplI//ydjL//hybF//dkgB//uvrB//feaR//rrrQ//azoR//cysE//insI-1//cedA//caiT//nudC//ampD//guaC//mepH//yafO//yciV//lysS//prpR//arsB//chbG//argO//truB//yehW//btuE//ubiH//speA//hisQ//ycgR//nimR//atoS//nfuA//trpA//gltK//mobA//yciA//fruA//ydaC//csdA//fadI//uacT//rplF//puuP//slmA//rplO//rsmA//symE//zraR//lrp//fadH//ydaC//murG//yhbQ//rpsQ//ddlA//glpT//pgaC//ilvI//afuB//treA//ydeT//kilR//intF//yhaJ//zapC//mutS//tig//folM//flhC//zitB//metH//yadI//glgB//blr//fimD//torY//folM//tesB//rpiR//fetB//ppsA//cyoA//hybO//appB//vsr//yeiL//ampE//pyrG//mtn//artJ//nadB//yoeB//ypdA//potB//yhaV//ttdA//mhpT//ybcM//pgi//raiA//ynfE//bioD//cynX//emrB//yafE//dusC//hcp//tehB//yceO//nrfG//hisA//endA//ais//kduI//panF//rbsR//insK//dgoT//murB//glnL//gabD//ybeY//glvC//sufA//yghB//waaF//efp//dsbD//ibsD//yhdZ//waaL//ubiD//ycjY//mepM//acrZ//nadE//fnr//ubiD//dcuS//lepB//ybaL//ulaA//ybaO//etk//opgG//hybC//lysR//trxC//nrfE//ychO//ynbB//dgoT//ilvI//ampG//frvR//mppA//rcdA//potE//prs//dtpC//prfA//ymgA//paaF//yibA//nudC//dhaK//araG//gabP//phnH//tcdA//dpiA//ribC//otsB//ychH//feoA//yebK//fhuF//deaD//rne//artI//ybaL//deoB//yabI//hda//dacD//pcm//hslJ//wzyE//gadW//dsbC//ygcO//npr//rcnR//sufC//yqeG//rsmC//frwB//recJ//mlaD//osmE//intS//ugpA//ulaC//pnuC//folC//pabB//arnA//aaeA//yccS//mnmA//patZ//sgrT//nrdE//trpB//deoA//csrA//trpB//rfbB//etk//mlaF//phnM//hcaC//manA//era//hypC//cptB//rtcB//yjaZ//pppA//caiB//srlE//wzyE//secB//yjjQ//lptG//potC//
GO_0006083_6	soxS//djlC//pflB//rbsD//bdcR//livM//
GO_0006084_6	btuR//rbsA//
GO_0006085_7	glxK//elaD//
GO_0006086_8	viaA//
GO_0006089_5	nrdR//mdtJ//entA//mngB//lptG//ftsA//ahr//dnaC//metN//yneE//tsaB//oppA//rlmB//nrdE//putA//recC//rhaA//flhD//entD//gcvA//sad//ygbN//fadH//yehX//dnaX//cra//gntU//lhr//yfaL//
GO_0006090_8	wcaJ//curA//trpA//dnaB//hfq//adhP//nirD//yeiG//ugpA//metG//cdaR//cbrC//crl//thiM//yhcD//luxS//soxS//yfgI//tdk//topB//aldA//yfiF//rclR//pgaB//thiQ//waaJ//fadR//aroL//cheY//potH//prkB//
GO_0006091_4	ftsB//hiuH//ptrA//torR//tauB//pfkB//rplN//fimB//bioD2//fau//torD//exuR//frdC//sgcE//rutR//speA//rpsP//gspF//insH-5//yjbH//emrE//cho//recA//hofO//gppA//yiaL//sgrR//yfeW//intE//yiaA//recD//insH-5//bdcR//msrC//bioD//sufA//mcrA//ilvB//prs//ykgO//ssuC//nuoH//tyrB//viaA//argD//yeiG//amyA//nuoF//hypB//ubiF//ydeT//atpB//mtgA//queD//yabI//erpA//ybhG//pyrF//nagZ//fkpB//rbsK//dacC//dmsA//yajR//trpA//envZ//rplB//zitB//puuC//hybF//yfcA//ybaK//sspA//mutH//emrY//ybaL//yccS//bglJ//ihfB//ftsH//dinI//abpA//mglC//dgoR//kdgT//nfuA//dppC//ftsW//ivy//yagE//uvrC//sixA//araE//yjiY//psuT//yhhZ//yobF//sseA//trmA//bioF//malE//thiL//dnaN//dcp//ygbL//opgC//ybiX//gshA//ygdG//ascG//rseP//rpsA//
GO_0006094_7	entE//ridA//moeB//dcm//yehX//aas//yajD//hyfA//glyA//menI//
GO_0006096_6	prpD//exoX//ghrB//pepN//yieE//amiA//gfcE//bglB//symE//yfgI//yiaL//ubiB//narX//cpsB//araB//ubiH//hisG//nuoG//
GO_0006097_5	adhP//ybfE//fre//lsrD//rdgB//
GO_0006098_6	atoS//nrfF//phnK//hemD//mraZ//
GO_0006099_4	sdaB//aroA//acrR//ygaH//essD//agaV//ghxQ//cyaY//bglA//entA//trpD//dsbD//ynfH//queC//hypE//ldtC//argH//
GO_0006101_6	soxR//fliM//lpxM//fimE//ugpB//hipB//rpsP//glnS//yiaU//ycjW//hprR//sgcE//rcsD//accA//rpe//elfC//ygiN//
GO_0006103_5	yahB//sufS//ubiA//
GO_0006104_6	dgcT//nudF//yhiM//
GO_0006105_5	yciT//rof//pinQ//cpoB//parE//ppk//araF//uspC//
GO_0006106_8	lpoB//
GO_0006107_8	pheT//
GO_0006108_8	dmlR//mdoD//ftsL//feaB//hcaC//
GO_0006109_6	cdgI//yhaC//thiQ//lacI//zapD//gltX//fur//umpG//ybdN//
GO_0006112_5	paaZ//ykfM//dhaR//deaD//ribE//yidZ//yihP//pitA//
GO_0006113_5	ispB//kdgR//marR//betA//kdgR//grpE//ynbC//thiH//yraI//hyfC//norV//mpaA//pdxH//
GO_0006115_6	nrdF//
GO_0006117_5	cstA//
GO_0006124_6	talB//
