#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ydeE//mreB//psuG//ygbI//
GO_0001558_5	potC//cptB//rpnC//yahO//tar//tsaE//argA//bglA//
GO_0001561_6	rpsM//
GO_0001666_4	ycjQ//
GO_0001676_6	hscC//ppx//tonB//
GO_0001680_11	amiD//
GO_0001682_11	plsX//
GO_0001731_7	mdtO//
GO_0001762_6	oxc//
GO_0001887_4	rimK//hypT//accD//
GO_0001896_5	lpcA//pflA//nadK//uacT//
GO_0001907_5	galE//gluQ//ytfR//dmlA//
GO_0001932_8	pdeF//mazF//
GO_0001934_9	eutD//
GO_0002047_6	yehP//xanQ//
GO_0002097_8	nuoL//intF//entE//frlA//ydiB//uspF//ycjQ//fliG//ygiB//aes//phoQ//glpG//ugpE//cecR//polA//galM//opgD//yajO//fcl//
GO_0002098_9	ibsE//gspJ//malE//nusA//phr//arsC//guaA//aroK//tufB//adiA//phnL//sufA//rplK//
GO_0002099_9	cydC//holB//
GO_0002100_9	kbaZ//
GO_0002101_9	flgM//ppiC//
GO_0002128_7	yhjD//rhaS//pheP//pppA//
GO_0002130_8	yieL//
GO_0002131_9	sgcX//
GO_0002132_9	yejF//
GO_0002136_10	mdtD//
GO_0002143_9	yihU//ycjY//mdtJ//fimF//nirB//gabD//
GO_0002181_7	ilvA//ykgM//
GO_0002183_5	dsdC//
GO_0002184_8	qseC//
GO_0002188_6	mdtJ//
GO_0002190_6	entH//
GO_0002192_8	csgD//
GO_0002252_3	acpP//codA//yciH//cdh//aceB//yobF//intZ//dapF//yqgB//tamB//
GO_0002790_6	mdtM//aaeB//yiiM//surE//ldrA//amiC//yhcH//
GO_0002937_9	casD//
GO_0002938_8	exbB//
GO_0002939_7	yphC//
GO_0002943_8	soxS//
GO_0002949_8	dapD//ytfQ//ccmC//actP//
GO_0003333_7	dnaJ//ydaN//tnaB//yadI//dinI//yccX//ypdC//kdpA//ynhG//arsC//ycbX//yiiE//hypB//fepB//fdoG//wcaJ//ibsD//yjhB//yhcD//yciA//ravA//deoA//eno//ydhQ//pta//pppA//betT//recX//tar//gapA//rpsQ//gshA//nrdF//yeiL//paaC//coaA//rpsK//sdaA//dhaL//murG//btuB//alaS//argE//serA//yieE//ybhF//nrfE//narL//yddG//
GO_0005975_4	slmA//mreD//yhdH//prlC//rfbX//rpmE//yqhD//nlpD//mreC//fimD//yciF//gltI//galK//rlmH//ygfI//dcuS//prc//argC//manA//basS//rluC//yacG//yadC//glpC//aldB//macB//cas1//ftsH//dtpC//yfiF//aroG//rsmA//gcvT//sufD//ydeO//ynfL//cysA//rnlB//tcdA//narU//putP//ffh//mglC//ilvC//insB-2//ileS//ygfZ//fepA//fepB//ihfB//ibsB//ppx//dppD//abgR//htrE//ydeE//yceO//yddA//oppC//barA//waaS//osmE//chbB//sfmC//arfA//basR//wrbA//ibsA//pagP//prfC//proV//ycjU//lgoT//kefC//ackA//rbsR//metC//idnO//pabB//modC//mdtN//bdm//yfgO//phoA//pdxB//srlE//ccmH//recN//selU//rsmE//cstA//yihQ//yfiE//dppC//msrQ//nrdD//flhD//ygbN//nirB//yggF//waaG//hypB//rcsB//narV//lsrR//pgsA//rsmE//nrfE//nanT//exoX//recA//ydjE//atpA//cdgI//ybjL//puuC//dctR//katE//emrK//frmB//cobC//recJ//yidQ//ypdI//ppiA//glnB//ghoS//glsA1//yoaB//hxpB//yheT//ttdT//yjiR//cysQ//ygiB//btuF//oppB//ybhA//mqsR//yggD//rfbB//bioD2//thrL//elyC//hyi//ydhQ//insA-1//glmM//fryA//amiA//rmuC//ybdO//yidZ//yohC//ydiK//xisR//manA//ldrD//ddlA//ccmF//sbmC//recB//mdtA//ybaE//murP//topA//cysA//ilvE//ydfH//ydaV//ftsI//yfaE//prfC//coaD//uidA//gltK//selB//hslV//dgoT//ldhA//queG//lysC//ackA//rpmG//carB//nagK//ilvL//fieF//mutH//mfd//yjjG//efp//acpH//lon//rsmA//yafN//tar//dcuS//yieE//fadL//rlmB//lpxK//rof//exuT//apt//gpsA//yfeW//fimZ//tktA//ykfI//ubiC//fixB//yciA//mog//csgD//lpxC//cysA//rpsQ//bamC//rsfS//yfeD//ypdA//ypdC//sufA//hybG//ydiP//cysU//thrB//mnmG//glsA1//yhiM//glvB//blc//rutC//yoaA//puuE//torZ//yfcR//erfK//ushA//mukB//ispA//uvrA//yiaA//ibaG//hybG//intS//murD//otsB//eno//kgtP//nrfD//araA//trmO//
GO_0005976_5	ydeI//yaaY//yfgJ//tolR//hsrA//glrR//atpE//hyi//xylG//malG//glnE//zapD//glpC//hisP//mlaE//ygeX//carB//mglA//sfmH//dtpD//pliG//lpcA//araD//rsgA//ada//nrdH//lsrG//trpR//recD//dmsC//tdcA//trmD//narQ//dtpB//ycfL//lpxH//uspG//phnN//uhpB//ulaR//dacD//speE//tmcA//proV//tdcB//hslU//rbbA//artQ//phnL//tcdA//mhpT//rpmB//aspC//thiM//deoC//pphB//spy//glrR//pepA//
GO_0005977_6	gabT//nrdE//ybaL//yjjG//fimH//yqjA//uhpC//ygfA//
GO_0005978_7	proC//rplJ//galF//pgi//
GO_0005979_8	tynA//
GO_0005980_7	elfD//yieK//tsaC//
GO_0005981_7	fadM//
GO_0005984_5	trpS//ycjR//ettA//glxR//oxyR//psuG//maeA//ymfK//tomB//ttcA//nfuA//
GO_0005985_6	treC//
GO_0005986_7	ybhF//
GO_0005988_6	kdsA//nrdA//
GO_0005990_7	insI-1//waaG//
GO_0005991_6	rnb//mrdB//phnP//ychH//srlA//
GO_0005992_7	paaJ//yggP//
GO_0005993_7	galT//btuB//rne//
GO_0005994_6	sspB//
GO_0005995_7	hisH//
GO_0005996_4	lepB//agaB//avtA//degS//fdhE//gcvH//alaS//hdeA//ygjR//tdcA//lgoD//dcuA//mscK//lsrR//ybfA//alaE//hha//yegD//yfdR//oppB//fbp//yigL//yhbX//rpsI//fecC//glnL//rplJ//nfuA//yeaE//yhdJ//tusE//iscA//ibsE//treB//yigB//ndk//ibsC//pck//ftsX//frdA//flgH//ispH//ddlA//tatA//bssR//yhcH//fabB//murG//folC//yidQ//flgI//ygcW//ydiB//rspB//glxK//ydeI//pitB//cysD//ygcR//ybhI//yiaB//zitB//prmB//acrE//hemL//cysC//fucI//mdtE//yebC//flhD//mprA//alsE//rayT//mioC//ymfK//tatC//ynfK//csrA//tsx//secA//queF//ssuC//
GO_0005997_6	umpH//
GO_0005998_7	galS//
GO_0006000_6	intZ//znuC//yidL//
GO_0006001_7	ydfD//tatE//
GO_0006002_5	rhaM//ychF//ydcM//
GO_0006004_6	nupX//citG//pyrC//puuD//yhdJ//yfdC//
GO_0006006_6	idnT//fliS//kgtP//ispG//cmoB//dmlA//patZ//phoR//paaD//hemD//hdeD//fimH//gudX//ybeQ//rpiR//eco//yhjB//hslU//thiL//yegT//cra//galP//yagI//
GO_0006007_7	secA//mscM//evgA//
GO_0006011_5	ftsX//
GO_0006012_6	phoU//yagI//rnr//hybO//ynaI//bcsA//cpdA//adk//nadD//
GO_0006013_6	csgF//fetB//
GO_0006014_6	recR//bglA//yeaK//
GO_0006015_7	selD//relB//
GO_0006020_5	ribE//
GO_0006022_5	lamB//glgB//ycjY//ycdY//fliA//basR//pdeD//bdcR//intQ//cca//thiD//trxC//yjhH//pncB//ibpA//codB//fetB//phnO//alaE//uvrA//cdd//ydjK//dctR//trmH//hdfR//lsrC//argC//emrB//glsA2//mdtM//dgcF//yraI//glpR//yeiL//eptC//rlmH//yahO//yhdX//yciG//tabA//yfeX//yagU//ccmF//afuC//syd//nlpA//rluD//zraS//mlaE//prmC//trxC//ydcS//cspE//yceO//rsmA//nanC//npr//fecD//rsuA//trmA//dsbB//yejE//diaA//
GO_0006023_6	glgC//dnaN//glsA1//yfcS//ygcW//yeaD//ymgF//prmB//yagU//fixA//pphA//lsrK//norW//argC//yfdS//fadD//yggW//narX//ldrD//flgE//amyA//sgcX//mdtI//hyaC//kefB//trmL//dgcQ//ccmD//sgcR//epd//rapA//ymjB//yaaU//pgaA//rpsQ//yceO//tnaA//pflC//gltL//
GO_0006024_7	rarA//ybaK//rcnB//rhaR//sgcB//blc//wecB//iraM//rsmE//tolR//trpE//parC//dadA//cdsA//cysQ//rplR//yihQ//iscR//thiG//nanT//rpsS//katE//waaY//gcd//rnpA//rsmC//entB//yacG//cysK//phnJ//perR//arcB//ribC//mltF//waaH//elaD//hyaB//fadJ//bioA//
GO_0006026_6	yciH//murQ//ybcC//glpD//azoR//aroF//hcaE//narG//smpB//lysC//
GO_0006027_7	xdhB//cyoA//pdeH//rclR//nanS//panF//pspC//rluC//dsbA//fadR//
GO_0006040_5	rhaR//rnhB//treB//mltB//fucI//viaA//cysG//eamB//nrdA//mdtO//narI//ybjL//moeA//yfaL//csgG//ydbD//coaD//
GO_0006044_7	yedF//ybgP//hdfR//hisQ//uspF//
GO_0006046_8	tas//acrA//dapD//manZ//
GO_0006047_5	ydaV//cusA//degP//metK//yiaF//rimI//dcuB//
GO_0006048_6	map//tnaC//xylA//rfe//phnG//hemN//
GO_0006050_6	dgcT//
GO_0006051_7	cra//
GO_0006053_8	yhcD//
GO_0006054_6	tusD//amiB//leuE//frr//ybdH//frdD//artP//
GO_0006056_6	mtn//
GO_0006057_7	nimR//
GO_0006059_6	ftsY//smpB//arsR//yecS//
GO_0006060_7	pbpG//
GO_0006062_8	dinJ//
GO_0006063_5	nrfB//yehT//pyrD//bsmA//yejF//ubiH//yiaN//elyC//pfkB//
GO_0006064_6	menA//ybbW//yehD//yccX//rpmC//yadN//
GO_0006066_4	pstB//sdhA//ydcM//katG//rzpD//glk//rlmN//mgrB//sufA//eamB//recR//roxA//alaS//pepN//osmC//nfuA//nrfC//kduD//pstB//araG//cheA//crp//ibsA//menE//sdiA//ccmC//rlmH//ykgA//uidC//yddL//hofQ//yciF//
GO_0006067_6	dapF//paaC//rbsD//
GO_0006071_6	rcnB//moaA//tcyJ//truD//yciH//yahF//araC//
GO_0006072_6	ccmH//nlpE//rpsH//kduD//murE//
GO_0006073_6	fucP//opgH//nusG//yfcF//treC//ybdZ//nadA//hybO//mhpA//csdE//yihV//lpxK//ydeI//phnL//eutD//glgP//zur//pgaA//fabR//nhaA//
GO_0006081_4	fliS//mutY//groL//yhcN//dkgB//ynfK//fes//xapR//manY//sapD//recJ//nanA//paaK//rpsP//psd//ssuB//ftsE//yijE//yfeR//tynA//fur//yajO//coaD//rmf//tolC//glnA//ybdZ//yraH//bipA//ydhK//pykA//tauB//cueO//degP//lpxH//katE//rhlB//hypA//dgoD//tamA//mepM//rpsS//tsx//yahK//malK//viaA//btuB//rep//yaaY//caiT//zntA//tpiA//pta//yhjC//fumA//leuO//btuR//insA-1//dtpB//nudG//pflC//lhr//sspB//mrr//ilvM//asd//glnS//
GO_0006082_4	ilvH//murR//puuP//dfp//holD//garK//tdcG//cmtA//araE//mreB//ygbI//pyrC//recA//yieK//rmuC//yiaA//yfgO//yfeX//ybiS//queD//nirB//sodC//tap//yijE//cydB//panC//thiH//gadX//malG//atpE//clpP//btuC//entC//fixB//dtpA//preT//tauB//sucB//mdlB//copA//tnaB//tdcD//priB//tusC//ygfI//ldcA//rodZ//aas//nudC//nirC//dmsB//rfaG//hypC//cspG//bcsA//arcB//malF//elyC//cysG//purB//zitB//ibsC//thiQ//yjbG//frdA//frwD//ygcO//ssuB//frc//ymdB//tonB//yjiY//nuoI//yegD//yjiQ//gntK//phoU//cysG//maeA//yqaA//ttdR//cho//folP//hofN//baeR//yciE//mreB//ftsE//ftsH//fabH//treB//galP//yihP//yjcO//hsdR//rpsJ//secD//ydaV//rffC//frr//ampG//artI//queC//cysN//nrdH//exbB//lldR//yidD//nudG//kefF//gpp//hisM//yraJ//ybjN//gltS//msrP//xseB//yhjC//mrdB//tktB//gsiA//araE//pgaD//infB//sapC//cheA//yqjH//ulaG//rnlB//ndk//gloA//sgcC//uvrA//bcsA//gmhB//potC//ybiA//hemE//menH//fmt//setB//torR//lpoB//rssB//mrcB//phnG//yciH//fabB//agaS//mdoD//rbfA//dgcQ//arnT//maeA//yaaA//sfmH//nikR//nanT//arnB//pgaD//yfeD//lptB//zapE//yaaA//insI-2//ybhG//fliM//yqcC//rplW//tsx//insI-2//ortT//patD//leuS//gshB//trg//yfcU//narZ//msrA//codA//tas//nuoE//queE//yraN//ygeA//atpH//elfD//mngB//suhB//clsC//hemE//frlA//rnt//mqsR//pitB//aaeB//valS//napD//ompA//metB//cpdB//ycbU//yfdR//ybeQ//plsX//pyrE//glnS//insK//fimD//yfeX//leuB//glgS//pdxH//fabG//cedA//ssuD//ccmH//ibaG//nagE//csrD//mdtB//nadK//alsA//fmt//yohC//alkA//bcp//ndk//ybaM//yedF//glk//agaD//yahB//phnM//maa//galS//yjjB//livJ//yiaL//marR//cysW//ydcS//tas//amiB//cmtB//fepE//hflK//sseA//tsaC//rutB//nadB//xapR//ykgM//pbpG//fucK//ybjN//pdeD//gldA//treF//rlmA//mglB//gapA//sad//hemF//yfbV//yahF//yjbH//atpD//yadM//pinE//skp//chbC//proW//hypE//accC//etp//alsA//yhbX//arnT//gabD//pgaD//rhaD//rplI//yqiH//recD//lnt//bcsA//bssR//hokE//glxR//melB//phnG//sodB//sufD//ftsE//lplA//ycbX//nikC//aaeR//pdeL//yggP//rclA//deoR//nuoL//pheA//nagE//dacC//plsX//hdhA//phnM//leuD//gcl//rbsD//sspB//emrB//cpsG//dosP//rpsB//nfi//tauD//rlmJ//dcuB//accA//yadI//nrdR//aaeB//cas2//ynfK//yggX//ygdG//frlB//waaS//lsrA//sodA//hofQ//btuC//secB//hipA//dacA//cdaR//ubiX//yaaU//lpxD//lpoB//ilvL//tatB//pcnB//tnaA//lapB//yiaA//tolB//cusC//bhsA//nadK//ruvC//rpsG//frvR//hcaT//ykfM//aroE//ompT//ilvB//murC//argO//gspF//ycjW//chpS//dgcE//ydiF//argK//yahN//phnH//nrdD//mug//cmtA//chiP//rutA//ybaT//dacB//pyrH//yihT//fdhE//argH//uhpB//fdx//fabG//yjeH//dctR//qseC//chiP//eutN//gutM//pdhR//cysP//yraJ//cysN//holD//recR//entF//ilvI//ppiA//mraY//leuO//exuR//ynfE//rutR//caiB//secY//allS//glnE//aroL//pepD//creB//eamA//lpxD//sdhB//ttdA//hflD//eno//cysM//sodA//torC//ybiI//uup//tcdA//chbA//fliG//idnD//hyaD//rpsG//rsmI//greB//ybfE//yobF//ycaN//cysQ//sppA//cheY//yijO//moaE//opgE//ykfI//rsmI//acnB//yidZ//frwB//dnaJ//ybiW//truA//ygiB//nagA//fecC//fliT//lptG//yecS//hflX//abgB//sbmA//nac//appC//
GO_0006083_6	kdpB//moaA//hemB//rbsR//cueR//dctR//
GO_0006084_6	fliK//caiT//
GO_0006085_7	chiP//mqsA//
GO_0006086_8	ilvI//
GO_0006089_5	iscS//oppB//uxaC//yihS//erpA//xisE//dacC//cpxR//garD//paaK//modA//yafC//rof//cydA//tdcF//tmk//hisG//ybhR//ilvA//csrA//ppiA//ydiR//insF-1//ygfA//srlB//ubiH//relA//yfdC//rpsA//
GO_0006090_8	yiaA//rnr//ushA//rayT//glpA//mlaE//decR//ridA//glxK//yfiE//nlpE//zapB//bepA//adeP//glvC//flgE//lptB//yrdA//yebK//mscS//ridA//hscC//appY//purD//ycgR//gmd//htrE//rsmG//panC//caiT//rpsQ//
GO_0006091_4	pal//yehT//pabB//dapB//ppc//mraZ//dnaC//ybaK//glpK//gabD//tmk//cysK//mrdA//lptG//dbpA//plsB//ftsP//ndh//pitB//hisB//yehY//idnO//rodZ//lspA//nudF//pta//hypA//rpsB//pdeD//dusC//pphB//adhE//sppA//lpxL//nagE//phoU//yhcN//kdsB//mdtI//yiaJ//frdC//arsC//dnaN//flgM//tusE//fimH//rplM//lapB//argB//cheZ//rpmA//yafN//yecS//dcuB//araC//fecA//fecC//ybjI//blc//livK//metE//rlmD//cydC//yqeF//gatD//rluD//nuoI//ycjW//ppiA//trpL//hofP//secF//pgaD//zapE//bluR//ygeV//yhcF//amtB//yjiY//kdpC//recX//msrB//rhaD//adeD//sdhE//yihP//tktA//guaA//ytfP//nrfE//rbsR//hybD//viaA//ahr//nhaA//ttdT//baeR//kdsD//yohD//rnd//narP//gatA//fadL//yoaB//dapD//yedL//yahD//metN//iraP//napA//waaQ//fimF//
GO_0006094_7	speD//malS//alsB//glrR//ynhF//ccmF//nrdD//zitB//yhjV//nuoM//
GO_0006096_6	pflC//pgaC//sdaC//fepA//ybiW//curA//gntK//cdh//yiaN//cspA//cheW//znuC//bipA//nlpI//prpR//dgcJ//metK//pspG//
GO_0006097_5	ypdI//lexA//yihI//rzoR//scpB//
GO_0006098_6	pgsA//rssA//csgE//ispU//shoB//
GO_0006099_4	hemN//uvrY//uvrA//nuoB//deoA//yjbF//rhaD//fepD//dppF//dnaG//ilvD//paaC//yigL//ariR//baeS//adeP//waaZ//
GO_0006101_6	yhjV//argH//nac//uxuR//ydiQ//arnA//pyrG//yeeY//endA//hflC//rimM//uup//gudP//hisF//rbbA//rutC//rzpD//
GO_0006103_5	menI//ydhK//atpE//
GO_0006104_6	cas1//aceA//holA//
GO_0006105_5	yegS//rluC//rplX//dmsB//uxuA//uacT//hyi//btuE//
GO_0006106_8	hupB//
GO_0006107_8	hdhA//
GO_0006108_8	bioF//dapB//yidZ//scpC//fliS//
GO_0006109_6	def//mrdA//fau//wecC//galM//ypjD//yjhI//ycbX//dkgA//
GO_0006112_5	srkA//era//sapF//ilvM//psd//sgcC//torR//nrdG//
GO_0006113_5	yahF//mhpD//uxaB//ynbC//btuD//nikD//nrdB//ydeM//rzpR//proA//iraP//leuA//rimL//
GO_0006115_6	menI//
GO_0006117_5	fis//
GO_0006124_6	rraB//
