#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	alpA//intS//gltB//prfB//
GO_0000271_6	trpS//yqeA//nrfB//acpT//elfG//ybdM//glpR//uvrA//yadI//bioH//fhlA//adeP//lysO//ftnA//lacI//sufB//nikR//coaA//melA//appB//fcl//dicB//hflD//frdD//ftsH//asnC//ykgM//gph//marA//paaE//ypdC//lacI//mngA//nhaR//ygcO//fdhF//fryA//prmA//hscC//ykgM//tsaD//zur//ispG//aqpZ//ppx//exuT//alr//ytfR//slmA//ybiA//
GO_0000272_6	fic//psd//fliA//rapA//moaC//flgE//
GO_0000302_5	rpsB//astB//tauD//narH//selD//dapD//sgcC//ffh//csdA//rfe//cpdA//mqsR//argB//dcuB//rfbC//ynhF//phnI//priA//agaD//prpB//moaA//mrcB//feoC//sodA//sgrT//dgcE//ldrD//mltB//motA//glmS//ydjK//
GO_0000303_6	gstA//ppk//
GO_0000305_5	borD//yqiH//pbpG//
GO_0000372_11	torY//
GO_0000375_9	rpsG//
GO_0000376_10	yciK//
GO_0000413_9	ldtB//sufE//rlmF//bhsA//bioC//yieL//fucO//hcaC//
GO_0000451_7	pstA//opgC//ftsH//rnc//ybgP//
GO_0000453_8	ligA//zur//yjjW//tdcC//pdeD//
GO_0000455_9	mfd//metQ//fecC//prmA//epmC//yefM//yjiA//
GO_0000462_11	prmC//rplB//
GO_0000469_8	dsdA//
GO_0000470_10	sbcC//
GO_0000478_9	erfK//
GO_0000715_6	malQ//
GO_0000716_7	yfbS//
GO_0000724_8	srlB//
GO_0000725_7	mntH//ycdY//rpmB//ubiC//livF//moaA//
GO_0000726_7	copA//
GO_0000731_7	tauD//amiB//bdm//sbcB//coaA//clpA//ibsB//
GO_0000737_7	rimI//
GO_0000738_7	chpS//zntA//glgX//
GO_0000746_4	yneJ//
GO_0000820_7	osmE//
GO_0000902_5	zapB//
GO_0000910_4	yddA//ynfH//mdtB//rsfS//minE//yiaJ//nuoG//ftsL//flgJ//cmoM//pinQ//flgD//lamB//ydcM//cysW//yfjV//fre//yaaJ//
GO_0000917_6	recD//mgrB//gstB//fruK//potC//
GO_0000918_6	acnA//cysQ//fdnH//yghG//
GO_0000920_3	rhlB//ada//phoB//ridA//csgF//
GO_0000921_6	rutF//
GO_0000966_8	ftsB//ydgA//frwB//surA//
GO_0000967_10	mdtO//nuoI//rpsR//
GO_0001101_4	yhcD//dnaC//yedX//ygeX//kdpD//rutG//lplT//tdh//mngB//ygfA//matP//parE//btuB//yghB//flgE//kdpD//rpnA//manY//ycdY//yiaA//pstA//syd//allC//ycgV//ytfR//cysE//
GO_0001121_7	yddG//fdnI//
GO_0001123_8	cvrA//
GO_0001124_8	ftsH//
GO_0001407_7	yccX//trmL//menI//kdsC//
GO_0001505_4	flgB//dsbA//yeaV//ycgV//yihS//nhaA//rplI//ygfZ//metK//yjcE//apaH//iscX//yfeX//xylR//rpnD//yqgB//
GO_0001510_5	arcB//paoC//ydeT//ytfR//lacY//cedA//dinG//ybfA//ftsP//sucA//lipA//rsuA//znuC//ybhP//hofM//ydiV//rplW//flgB//yddA//mrp//lsrG//rutC//entS//csgG//cueR//agaI//relE//gyrA//glrR//ybhD//yafN//mntP//gntU//betA//yiiE//abgA//malE//ygiN//artI//patD//
GO_0001514_8	pepT//
GO_0001522_7	thiI//treC//yjiA//nusA//nsrR//ibpB//fic//crp//acs//ebgR//recD//hybO//cyaA//
GO_0001539_4	cysH//citC//nanE//ilvH//tgt//abgT//menH//pncB//gatA//pabA//gntP//proS//uspF//asnC//yigB//yfiR//lldR//gltK//betA//mtlD//dnaK//ilvA//dinD//ydiV//yfbR//yagU//tatE//hofM//def//glcD//lplT//
GO_0001558_5	fhuD//yjjI//fucI//paaE//tyrB//dcyD//atpF//dicC//
GO_0001561_6	ychH//
GO_0001666_4	ydcM//
GO_0001676_6	yibF//argS//ydcT//
GO_0001680_11	arcA//
GO_0001682_11	argC//
GO_0001731_7	rfaD//
GO_0001762_6	ycjW//
GO_0001887_4	yajD//folA//ftsH//
GO_0001896_5	fhuC//ytfP//cmoB//puuR//
GO_0001907_5	setB//ilvL//ilvN//yihQ//
GO_0001932_8	dppD//tufB//
GO_0001934_9	mdtF//
GO_0002047_6	yahN//ftsY//
GO_0002097_8	fdhF//ygbM//secG//pitA//ygeA//efp//ybiI//mnmE//cspE//yghW//ydiQ//ybiV//nikA//pbpC//wza//tolR//yraI//uidR//cvrA//
GO_0002098_9	cyaY//prlC//tag//eutD//mliC//thrS//ydjE//murP//rplQ//gloB//aspA//menC//sapC//
GO_0002099_9	rbsC//potC//
GO_0002100_9	rpoD//
GO_0002101_9	yibA//rpsK//
GO_0002128_7	ytfT//gutQ//dacC//trkA//
GO_0002130_8	sufS//
GO_0002131_9	frvA//
GO_0002132_9	ygfI//
GO_0002136_10	oppA//
GO_0002143_9	dmsB//trmH//torD//trpB//envC//yjjU//
GO_0002181_7	pldB//csdE//
GO_0002183_5	ygcO//
GO_0002184_8	panZ//
GO_0002188_6	lipA//
GO_0002190_6	galP//
GO_0002192_8	eptB//
GO_0002252_3	mtnN//yqhD//dpiA//bdcR//hyfF//insI-1//fkpA//azoR//rplN//ffh//
GO_0002790_6	nagA//glnE//uspC//udp//kdpE//nudC//def//
GO_0002937_9	cspB//
GO_0002938_8	xapA//
GO_0002939_7	setA//
GO_0002943_8	rnb//
GO_0002949_8	mscS//infC//alaS//rsmC//
GO_0003333_7	yihV//yhgH//betT//fadI//phnL//rpsA//evgA//ygjR//gmhB//yieK//ydfG//galS//yiaO//lhr//mdtN//kefF//sgcC//yegS//thrB//fliA//rimP//yhjB//serA//trpR//livK//agaB//cusF//mdtM//atpD//fabH//ccmC//mglA//nuoE//gmd//lamB//waaH//rplP//cusA//argF//pcnB//csrA//rplI//frlR//ccmA//hyfA//fimB//nikE//prkB//qseC//
GO_0005975_4	garD//phoR//rpsJ//lpxT//ybdR//zapB//minC//yfdR//ompW//argB//nrdH//mutT//puuP//gspJ//zapB//recN//efp//polB//mazG//glmS//ypjD//sbcD//deoC//valS//bfr//dmsC//ybcM//guaB//fryB//ligA//insF-1//malQ//yajL//rlmL//phnK//sgrR//malK//marR//cydA//tcyP//puuE//pabA//hinT//alsC//bglJ//uvrY//clpS//ycgR//lexA//atpA//metN//fumB//ybaK//sfmA//cra//lolA//chbB//exuR//fdhD//miaA//tolQ//oppA//pdeD//ribD//frvA//pmbA//dgcE//pflC//fecA//tufA//mdoD//mdtA//nhaA//frdD//gatC//ompR//sufE//fdrA//yhiM//mcrA//mngB//dcyD//ppiC//fixA//fetA//yfeX//gsiC//fucO//aspA//talB//ybjG//csdE//rimJ//mlaC//hypB//phnI//tnaB//cspC//yghU//patD//arnE//ybiO//fimC//bisC//dnaX//queF//tatB//tnaC//glrK//mutL//purU//pnuC//dppF//ftp//creB//tatA//hdeA//trkH//abgT//napB//fdnI//topA//paaE//rlmL//dinJ//rimJ//menD//nagZ//glnH//csrA//acnA//rcnA//slyA//tdk//coaE//galP//yraH//gabT//frdC//msrQ//lysP//ppsR//chbG//nrdE//dcuR//ffh//narQ//ribA//ynfL//putA//livG//umpG//fsr//gabD//glgS//tdcG//potI//ybjC//pdeD//pyrH//pfkA//gstB//pdxB//rlmI//rsmH//upp//ybcM//cspD//clsB//pstA//mdoD//rfe//nanS//pth//yggN//artM//ttcA//flgA//sufC//yeeY//lacZ//araF//rsgA//asd//cysK//dhaR//yacG//waaJ//thiG//ymjB//nagE//ascG//fadM//wrbA//rpoS//cmk//yraH//rnhA//mdtA//ulaA//metG//gspI//efp//yidP//ompR//uxuB//tpx//rpsO//thiP//poxB//yjbE//csiD//dfp//fruA//trpE//ybaO//ybaQ//mtn//aas//galF//tcdA//nagA//lsrK//uxaB//fhuC//rlmH//ascF//barA//cobU//yihT//ydeO//pth//ybcF//rpiA//trmB//cyoA//ravA//mutL//fliS//htpX//narJ//ydjM//abgB//ldcC//mhpR//casD//tcyL//def//patZ//tsr//flgA//cusB//fdhE//glcA//
GO_0005976_5	tatE//deoR//trpC//aroD//tatE//nudG//dapD//ybhI//xthA//lon//mdtK//pykF//yddL//ldhA//xthA//fadE//rayT//prfC//yagJ//kbaY//argD//potC//eutD//hycH//malF//hipB//pspF//yhjC//clsA//yphF//hprS//sbmC//yfcV//thrC//sutR//ygcR//dnaT//gntU//tatE//cysI//xanP//lysS//ynfF//ybaK//rpsG//yfdK//mglA//soxR//iraM//suhB//modB//argK//ybjL//purN//ydaC//ttdT//yqaB//dtpA//uxaB//
GO_0005977_6	atpE//flgD//sapC//sgcX//rimK//ybcM//opgC//mreB//
GO_0005978_7	fmt//yadN//cbrC//xdhB//
GO_0005979_8	trxC//
GO_0005980_7	decR//yidE//menH//
GO_0005981_7	hinT//
GO_0005984_5	fimE//nikD//ilvA//dctA//tdcG//rlmM//secD//phoE//hns//yaiP//yieL//
GO_0005985_6	clsA//
GO_0005986_7	lepA//
GO_0005988_6	nagA//livM//
GO_0005990_7	acpP//emrE//
GO_0005991_6	proB//hofC//alr//bioB//znuA//
GO_0005992_7	asr//gadE//
GO_0005993_7	sdhC//eco//ssuC//
GO_0005994_6	ftsB//
GO_0005995_7	narZ//
GO_0005996_4	pdxK//cydB//ytfQ//ftnB//arnD//rluC//rutB//exuT//ppsA//paaD//phoQ//yiaB//bcsA//srlB//mqsA//sbcB//yggE//tusE//cedA//yagG//menD//trpR//intE//rutA//rutG//ibsB//aes//yoaB//nemR//yfjV//priB//thiL//tolR//narQ//tauB//gppA//wzc//psd//gpmM//yeaV//yfgO//znuB//umpH//yfgI//yhaC//allB//ugpB//rcsC//rffG//fnr//sulA//preT//accA//xapR//rbn//hexR//rimI//vsr//iscR//pgi//opgH//rnr//bcsA//galR//rpsA//dcuR//cysW//ribD//torS//rhaA//betI//fixC//yihI//hisH//glgC//pbpG//thiG//fepG//yahN//queC//ugpC//dgcF//
GO_0005997_6	cpxP//
GO_0005998_7	ybjN//
GO_0006000_6	yihL//rhoL//rrrQ//
GO_0006001_7	yihR//fabB//
GO_0006002_5	mntP//relE//dapB//
GO_0006004_6	yqiH//frdC//queA//pnuC//hrpA//xylA//
GO_0006006_6	plaP//yfaX//ybcF//trmB//hyaD//queE//nimT//hiuH//yihL//glxK//tdcD//yggW//ygaZ//gspF//galU//gudD//ftsP//lptC//paaX//copA//yajO//fetA//hyi//
GO_0006007_7	agaV//yoaA//crcB//
GO_0006011_5	lyxK//
GO_0006012_6	garP//eptC//flgA//araE//yebS//lptB//fur//hybD//lysO//
GO_0006013_6	recJ//tehA//
GO_0006014_6	betA//ilvM//yrdA//
GO_0006015_7	gpmM//dapD//
GO_0006020_5	yajQ//
GO_0006022_5	ftsZ//yobA//gutQ//rsgA//rplJ//dcyD//fnr//cusC//elfG//degS//mltG//rcdA//pliG//rapZ//dxs//dnaA//yaaY//pdeH//insI3//osmY//rsuA//lpxP//nrdR//wrbA//casA//asnA//ymgF//hflD//ycjR//trpR//relA//tsx//ymgA//iscX//recJ//araF//ynhF//ytfT//rffM//hsdM//ycjQ//mqsR//yodD//ybiH//ribA//ibaG//nfsB//lldR//evgA//atpH//ytfQ//ppx//uhpA//kbaZ//glnL//ycdX//potF//gapA//rhoL//nagB//ldcA//prs//barA//
GO_0006023_6	znuC//sucD//ybjD//gnd//yehY//trmD//queE//agaR//fepE//rpsK//hsdM//paaG//gpr//yfbR//ybeQ//ptsG//alsK//nrfC//rpoH//yjiA//rhsD//radD//mdtG//cysA//yggD//zntA//iscS//cynS//yqgB//secE//ybhA//cdh//cynT//xapB//yfcQ//ampE//asnB//yfdK//menF//
GO_0006024_7	rfbC//pitB//thrS//tsaB//helD//aceA//yphB//mtlR//ndh//patA//ygfA//yehB//tsaD//fimB//fkpB//glyS//yhjB//yeeA//obgE//glcF//yciG//yeaG//garD//yciT//glpX//yccA//wzb//menD//mutT//gpt//yihV//cbrC//ftsY//diaA//radA//cpsG//prpC//osmC//fdx//
GO_0006026_6	fepC//sbmC//serS//zinT//yfjV//acrZ//ygbL//ppc//fadA//metE//
GO_0006027_7	ortT//hybA//pgm//panD//epmB//relB//ynjA//tnaB//pspG//fhuC//
GO_0006040_5	purU//yjhP//yfaE//mreC//murC//fdhE//ybdM//glxR//idnK//cpxA//fimH//rclR//ybgP//lpxP//ymgF//rtcB//torC//
GO_0006044_7	potG//cpsG//nhaR//setA//lptF//
GO_0006046_8	narV//hemD//nagK//yegS//
GO_0006047_5	pdeF//rplP//rutR//cspE//glnA//pspG//ydiQ//
GO_0006048_6	rusA//csdA//yehA//trpB//frdC//xapR//
GO_0006050_6	aqpZ//
GO_0006051_7	rpmC//
GO_0006053_8	melA//
GO_0006054_6	thrC//acrA//eptB//norW//fumC//yfhH//gcd//
GO_0006056_6	smpB//
GO_0006057_7	glgB//
GO_0006059_6	ptsP//narG//yeaD//msrB//
GO_0006060_7	rfaF//
GO_0006062_8	hemN//
GO_0006063_5	menB//envZ//cheA//pck//ssuB//proW//dnaG//speB//plsX//
GO_0006064_6	aslB//mhpB//insI1//opgH//araA//lptC//
GO_0006066_4	mhpD//ybaE//thiM//hokB//nanR//yjjW//yohD//yahI//tilS//tusD//caiF//sfmC//atpE//dedD//miaB//mraY//menC//hdeA//ascG//tdcE//zinT//rimM//recA//xylA//rlmF//ssuA//dmsA//ybhP//rdgB//rsmA//ydcM//glpK//
GO_0006067_6	pflA//deoA//thiM//
GO_0006071_6	recJ//yagG//treR//eptB//citG//cvrA//tufB//
GO_0006072_6	fetA//cobU//bglB//purN//lacY//
GO_0006073_6	lpxH//nemA//mdaB//yehT//lplA//ybiS//dtpD//yhbY//rihC//pyrB//ompF//yiaL//creC//mdtL//ydfG//gltP//npr//ybcL//rzoD//dgcN//
GO_0006081_4	rpsK//cysS//artM//pgaB//pgpA//menC//elfC//frwC//glpD//speE//rhaR//hrpA//recO//basR//yjtD//lsrR//nagZ//rbsB//dsdC//arcB//nemA//fkpB//yfcQ//bcsQ//nadD//feaB//csiR//yedX//fimE//yhgH//yebG//tufB//trpS//yhjB//aroL//yggW//livJ//gsiC//rhaM//lpxD//rhaT//sgcR//yehB//lpd//dsbA//ttdB//relA//recT//rstB//hofM//gsiB//yjfP//ugpA//ulaB//cueO//allS//rcsA//metR//manZ//ygjK//cysK//roxA//era//crl//psuG//yihV//narW//
GO_0006082_4	gadB//cusC//uidA//glpR//dmsC//mepH//acnA//adiA//sbcD//aceA//ydcR//yefM//lysP//glcB//yadC//ftsZ//asd//marR//ygcR//nrfD//phnH//gspE//mtlR//treC//dps//exuT//recE//sstT//motA//gltX//acs//yqiG//psuG//bglH//alaE//ridA//appA//ldrD//gatZ//cecR//motA//lsrK//yraJ//fliG//tnaA//ibsB//mdfA//yehZ//metR//nusA//envC//btuE//recB//ilvA//rpsE//rpsB//amyA//minE//bluF//paaX//hrsA//sapF//csiD//zapE//yjhB//mltC//fadI//rarD//mltA//btuR//yeeO//potE//metQ//folP//pgk//yraN//allB//zupT//cobB//panD//pdxB//cdsA//ppc//mdtM//yehZ//gltK//treF//yihW//arcB//puuC//dhaL//nagZ//ftsK//pgaB//nsrR//yiiD//tsaE//mepH//mngR//dacC//tyrB//waaP//ybiJ//yihQ//cyoE//yhhT//yjcO//tpx//appB//mgrB//yehU//mtnN//yhdZ//casA//potH//sgbU//ycfH//yeaV//rnpA//rcsB//bamA//rplE//rpsO//lptF//hxpB//mak//prfA//lptB//sodC//rhaB//serC//ybeQ//purF//scpB//aroD//dedD//recT//yehD//udk//bglB//ygbI//sdaA//ldcA//ycjR//rutF//iraP//xylF//insI4//secM//yidP//yidR//rfe//atpA//rpnD//mprA//waaQ//paaD//ftsK//pstB//rplE//ycjR//udp//bcp//tyrS//yjhG//ibsD//guaA//yoaB//ygcR//argR//preT//kdpE//acpP//glvC//dgcM//yieK//yidE//clcB//ybaK//mukB//queG//mdtB//cobB//adiA//yjbF//fecB//ydiR//tdcB//malQ//dgcE//ydiP//dnaA//hypB//tsaD//rlpA//gloB//astB//hyi//yegT//higA//fimG//yjcS//rbsA//epd//gpmM//gpr//cof//sanA//malK//argA//insH-5//aspS//agaR//yciH//psuT//ftsX//yhcF//ddpX//gppA//yhdW//kduI//mutH//glcC//nuoM//dapA//rcsB//sgcB//lpoB//oxyR//pmbA//hycB//mdoG//nagC//yhjX//mdtB//lpcA//glpF//narJ//treF//ligB//fimG//hybD//rhmD//asnS//cysW//fucO//ykgM//hcaR//asnC//dpiB//yddG//priA//nanC//trpS//pdxJ//eamB//pnuC//pflB//glmU//yhdZ//pheM//nikE//ycbU//grxD//btuF//proB//nupC//fhuD//bssS//citE//tolA//rsmC//ompL//cmoA//nikB//yihT//yjeH//panZ//sdhD//valS//udp//manA//fabR//fdx//degS//rrrD//gsiC//aspS//mqsA//ttdT//csgA//rhmR//yedF//rluA//fadR//pabA//ridA//gpp//frvA//syd//sgbH//ftsP//grpE//ybcQ//gatD//malP//ymfA//sohB//fhuF//hxpA//ybcF//pgaC//cpxR//cysM//glnQ//tktB//fepD//lpd//bdcR//ydiV//relB//pldB//sdiA//fumB//araD//clcB//ccmE//fecB//metL//sgcA//mntP//sucD//glxK//iap//dicB//ybiS//hybA//arnA//flgH//ilvM//gsiB//bluF//ygiB//cof//pbpG//yefM//insI-1//tdcF//cpsG//yggT//ypdB//ccmF//glvC//cydB//gmd//selU//ridA//proV//yacG//dacB//acrE//gcvR//folD//ugpE//sodC//nikA//lysA//pdxB//cspE//galT//djlC//murB//adeP//qorA//yfbU//fecC//mdtP//yaiV//prs//cysH//tyrS//ydcO//fbaA//malQ//lnt//yciG//miaB//exbD//fimC//feaB//lysO//mtn//zntR//feaB//lapB//yihX//hfq//kdpD//yqaE//csdA//nadK//uof//pliG//nhaB//malY//lpxM//zntA//garD//ilvL//rihB//yagG//rpmF//yfdK//pstS//ymjB//waaP//mcrB//fimZ//nac//hha//ddlA//rlmJ//dsbD//ttdR//yfgJ//yfiC//glpD//rhlE//murI//panD//ycjW//nuoE//pspF//eutR//fabB//yggW//dinD//dgkA//truC//minD//hisI//yhjA//tus//eno//pepA//aaeA//plaP//truB//holE//glnH//uspB//rbsK//bdcR//pckA//pheS//frmR//entH//trmH//lysO//gpr//
GO_0006083_6	gcvH//hybE//rarD//dcuD//proQ//lsrR//
GO_0006084_6	sucC//der//
GO_0006085_7	queD//carB//
GO_0006086_8	rpnD//
GO_0006089_5	cysD//yfcF//rayT//cspA//lrp//yfiC//fdhF//yojI//gsiD//kup//mdlA//ttdA//ycbX//ribE//pflB//waaH//elaD//hflD//ftsE//yajQ//garD//fhuD//yehA//hcp//ybeF//fieF//mzrA//pckA//agaV//
GO_0006090_8	fdoH//yccX//deoD//hflD//ydeP//garR//oppF//waaH//sufD//murC//yihV//yihX//hisS//clpB//ubiB//bglH//vsr//higB//lgoR//srlB//dsbG//rclA//plsB//yidE//tabA//marA//pitA//cspG//yqeF//ackA//prmC//
GO_0006091_4	pgpA//waaH//copA//pinR//htpX//ybeQ//preT//fabR//trpD//nfuA//tolB//yfiF//fepC//lolB//yceD//ymdB//rfbX//cas2//yjjG//rnlB//artQ//yjjI//yfdR//rlmC//narZ//xylH//sutR//proX//mdtJ//yihT//opgD//rluE//yfcR//fabD//pagP//ycjQ//dosP//gutM//rfe//malE//fetB//gloC//rlmF//pbpC//opgC//holB//tauD//tyrA//lldR//kdgK//ybeY//ftsB//pfkB//rpmF//rstB//napC//ftsI//pstC//fucK//mepH//cysK//deoD//phnI//zapC//mmuM//ybhG//yhdZ//hflC//argS//clpP//flgB//potF//yebS//leuS//yfhH//ybjL//icd//appC//bglB//yaaY//truA//atpG//acnB//yohC//queC//menB//yhdX//yaiV//yciT//yehP//msrB//xylA//qseC//groL//menH//dam//glgX//ygjH//kdpA//ydcM//mtn//rpsS//yggE//feaR//malE//mdtJ//yedX//glcA//nrfC//rmuC//rnhB//otsA//
GO_0006094_7	torS//dtpB//flgJ//napC//yieK//yagU//ykfM//nrfG//dkgB//ftsA//
GO_0006096_6	malK//ygbI//tufB//yehZ//yphC//tatD//yebZ//thrA//folC//rpsR//aas//yedX//pagP//yhjB//cdgI//ilvE//yhaO//rpoD//
GO_0006097_5	pdeD//kch//csdE//gatZ//aldB//
GO_0006098_6	ihfB//aroF//waaC//aspA//exoX//
GO_0006099_4	oppD//gudP//cyoE//proX//trmB//chbC//codA//rapA//yjeH//malP//gpt//ynjA//rhtA//proX//ldtC//rfe//rcnA//
GO_0006101_6	mcrB//yebK//sucD//phnO//rclB//nanK//chpS//fdhF//mrr//envC//glk//ydeI//hycI//rplJ//dnaN//ynfH//hipB//
GO_0006103_5	cmoM//moaC//acpP//
GO_0006104_6	yejB//fadJ//mppA//
GO_0006105_5	argP//eutK//ynaE//gudD//mdtO//bglJ//lacI//zinT//
GO_0006106_8	yggE//
GO_0006107_8	slyD//
GO_0006108_8	murI//mlaF//ycbU//relB//lysP//
GO_0006109_6	ynfL//topB//fdnH//ccmC//nagZ//bamD//psd//tbpA//cpoB//
GO_0006112_5	galS//yihR//eamA//asd//treA//lpxH//rpmC//ybeF//
GO_0006113_5	hypE//eamA//ttdR//aqpZ//ydaV//rseP//glyS//thiI//hybG//ftnA//pyrD//cusB//yjjI//
GO_0006115_6	adiA//
GO_0006117_5	wcaC//
GO_0006124_6	nirC//
