#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	zntR//sgcA//casD//dgoD//
GO_0006952_4	ansB//rpmE//rhlE//kdpD//moaD//lgt//kduI//modB//ompW//lptB//speA//tag//
GO_0006970_4	fdx//fepD//intQ//yqgF//hofP//mutY//glpT//znuC//holC//tdcA//yebZ//mdlA//coaA//yddL//rutA//aroK//fsr//acpS//fimZ//efeO//trpGD//lgoT//ygaZ//rutC//dppB//rhtB//lplT//grpE//dtd//feoC//argI//lgoD//sdhD//rplE//lysP//yjgX//asmA//serB//
GO_0006972_5	leuD//yacG//gpmM//decR//fabR//melA//napF//fabA//fepB//hslO//tdk//ybiO//nuoF//fklB//
GO_0006974_5	hflX//yaaJ//lyxK//aroL//mocA//leuA//gadB//gloB//pcnB//paaC//ynbC//lpxH//rcsC//phr//ugpB//tnaB//thiE//rpnC//csgA//mltA//trmB//yfgI//atpF//ugpE//recG//rplS//ariR//kdpA//bacA//ompW//ibsE//afuC//feoB//fdhD//malX//entE//kdsB//yjiR//bamB//btuF//fepA//ymgC//lpxT//potC//proX//rffG//tonB//csgB//ybiT//arsR//yhbQ//rlmH//sdhE//srlD//pheM//cueR//radA//mnaT//garD//ugpE//menC//smpB//yidK//yfgO//uxaB//rpmG//lptB//ygbM//hflX//pgpC//narZ//hisS//selB//narQ//yebG//flgC//yggP//ompA//bepA//ydfK//galU//nadA//flgG//mtgA//rpnA//yhaC//folX//plsC//serS//hiuH//ybiV//cyoA//osmC//fbp//ybiO//acrB//agaW//idnK//mngR//thiI//melB//ycbX//mlaC//yjcS//diaA//frlB//yoaA//yihX//tcyP//blr//hofP//bioB//crcB//rpsH//holB//yehD//atpH//sgcC//yehX//chbR//truB//phnN//nrdD//yejE//mdtQ//phnM//yqgB//yddM//exuT//bdcA//cdd//fliL//htrE//hycB//prlC//emrE//xylF//argR//hcaC//pdeR//yiaJ//ypdF//paaF//rsmI//yraJ//ygeR//cutA//caiE//narI//ydfH//ispH//nuoB//idnD//dnaA//ydeO//chbC//gshA//yqjA//acpS//hprR//sufD//dtpB//cas2//ibsB//iscS//hofC//lit//trg//secG//hyfA//ssuD//queE//tesB//sodC//agaW//osmY//ybaK//hda//wecE//topB//parC//etp//gatD//thyA//frdC//fdx//epmC//ydfK//ygeX//ibaG//yfcP//ftsZ//nrdF//aceA//barA//topA//yoeB//dicA//rsmH//yggE//frmA//asnA//lrp//secG//ybhD//yehD//glmU//evgA//mdtQ//tdcA//glcD//yhjA//hdhA//rplQ//acnB//xerC//hyaD//nlpE//umpG//fimG//bglJ//yggW//prlF//rutD//fepA//ykgM//ypdA//menB//btuF//rho//fabH//yhjR//parE//yejB//cysW//kdsA//cheY//elfG//allC//pal//gcl//dsbC//yehZ//mutY//entE//dapD//
GO_0006979_4	entF//ydiR//cynT//mdtC//bamD//cheA//atpE//torD//dtpB//gapC//rpoH//metI//pgm//frmB//fucI//matP//agaD//rihC//rhaA//npr//yqhD//ynfH//fixB//panF//ppiD//yfeW//yagG//yqjA//arcA//modC//roxA//ydcZ//glsB//tauD//paaD//ibaG//torY//wcaJ//argF//araF//dinJ//mdtE//ybjG//argR//rhaA//eutD//ddlB//dcuS//aldB//blc//hybE//trpS//rpnB//aroE//gyrA//maa//malI//speD//narV//baeR//ileS//pheS//cecR//asnA//lsrB//kch//puuR//garD//ydiF//holC//csdA//mliC//lptF//sucD//glgC//fkpA//ltaE//idnO//hyaB//hypD//nuoF//ogt//nfuA//yjcE//intQ//queC//
GO_0006986_5	hcp//pspA//uspC//lpxL//gadC//rnlB//
GO_0006995_6	yajD//hflD//
GO_0006996_4	ybaM//mtn//sbcC//sufA//fdx//azoR//gshB//zntR//cydA//treC//rhmR//pheA//nth//psuT//nrdI//yjiM//nuoH//galS//flgE//ispA//puuP//tag//raiA//glcC//araH//fumB//yqcG//lolB//ccmC//yegS//mnaT//rhaB//pitA//mhpC//dgoD//opgD//atpA//zapB//pfkA//
GO_0007010_5	ydiO//
GO_0007059_3	sbcD//gstB//lolD//aer//ybjX//emrB//glk//mscS//ldhA//elaB//
GO_0007062_4	fucK//umpH//yfaE//recG//
GO_0007154_3	fliS//sapC//maoP//dmsA//kilR//rlmN//glnH//ybjX//rhaD//torS//clsC//kdpF//shoB//ybdN//yijO//cvrA//ampH//lacZ//tusD//mipA//speB//nlpD//yiaL//cdsA//sapA//glnA//plsB//pnuC//btuF//dcd//iap//ispF//torI//gadC//flgK//mlaF//sufD//hdeB//yqiI//gluQ//dnaG//yibH//ygiB//ibpA//mrdA//pdxB//iaaA//ddpX//rimJ//ttdR//nrdR//ybcQ//gcvH//elaD//hycB//
GO_0007155_3	dicA//yejE//csgD//cyaY//nfsB//yceK//yjeI//hdeA//yeaE//cycA//yihX//frc//metK//metH//argR//dtd//pabC//nuoE//tsx//ybhA//helD//pepN//ybhD//mnmA//yqeG//bssS//glpT//pitA//yghW//sgcB//prpD//udp//ybeQ//ykgA//yjcO//
GO_0007163_3	dapF//
GO_0007165_3	rhaS//cas2//msrB//fhuB//ypdF//cydD//rpmH//flgH//dnaX//glnD//cvrA//curA//yadM//lasT//nagE//gstB//hycH//ascB//dbpA//dosP//dapD//secD//wecE//diaA//trpGD//glpT//kbp//ygeR//ebgR//tqsA//pepQ//thiD//adeQ//glxK//dhaM//rusA//endA//rimO//fre//creB//msrC//tldD//arnT//wzzB//pldB//yhjV//osmY//rsuA//smpB//pheM//ybcJ//dctR//ydeE//cas1//ygeA//caiT//rclA//menA//dmsA//tsaD//
GO_0007166_4	ftsE//fruB//yidR//abgT//
GO_0007215_5	mdtL//feoA//hiuH//soxS//
GO_0007231_4	nth//
GO_0007234_5	rsmJ//
GO_0007267_3	emrD//lyxK//
GO_0007346_6	mscS//yfdR//rluE//
GO_0007584_4	mukB//ybcQ//ralR//barA//
GO_0008033_9	yciG//asmA//dsdC//yraN//treR//yhjD//yfbS//ypdI//rpmF//entF//ftsH//glpT//fruA//recN//grcA//plsB//ppsR//cycA//rpsQ//dnaE//yphB//thyA//ispH//relE//ghoT//fhlA//bamE//rfaG//paoC//chbA//maeA//rutD//ymgC//erfK//nuoE//ldrB//rimK//yhjX//dmsB//mepM//cysD//cysM//zitB//minD//cyoB//yadK//rhtC//perR//ybdH//rpiR//zapB//adeQ//hxpA//dppC//murD//cysM//
GO_0008104_4	yjeH//yidR//rplX//fdnG//ascB//rpmA//yfcQ//lgoD//emrB//rsmE//thiP//narQ//ruvB//dgcQ//afuB//potG//aroB//ybdZ//fabA//ybcQ//thrA//rnlA//fruB//glnH//yfdK//creC//mglB//chiP//dctA//pgpC//ygeX//setB//yohC//degQ//nrdR//gabP//atpA//atoS//rpmG//yagG//gloC//yeeJ//pyrE//yggD//rpmH//cvrA//mcrA//znuA//bioP//
GO_0008156_8	ydjL//yhjV//hcaC//ftsP//rpnD//yhjG//
GO_0008202_5	csgF//
GO_0008206_5	ygiV//
GO_0008213_7	ghoT//queD//yehA//iraD//artJ//yibT//uvrA//tdcR//
GO_0008216_5	dgoD//mreB//araH//
GO_0008219_3	topB//rpmJ//otsB//etk//ssuD//hupB//mrr//dxs//iraD//dgcN//gpsA//yeiG//uvrD//hxpB//rplR//
GO_0008272_6	metE//sbcD//recO//narJ//yjiA//ldtA//manZ//
GO_0008295_6	katE//cmoA//phnG//
GO_0008299_5	ydeE//fes//frwC//yfcR//mprA//pyrH//
GO_0008360_4	waaU//csgG//bioD2//pepB//tar//prmB//murQ//gspI//yraN//hdeA//iscU//slyA//hrpA//intZ//sgbU//hfq//
GO_0008361_5	sapB//cpsG//murE//nanT//arfB//
GO_0008380_8	recG//
GO_0008610_5	creC//pldB//thrB//fadE//rbsD//amtB//clpA//kdpF//crr//entF//idnK//flgJ//fliS//yqaA//aslB//emrD//coaD//aroK//creC//wcaC//cheZ//potI//insB-2//yqcG//fabD//syd//fimI//ttcA//cyaY//rbsR//phnM//mocA//carA//nlpE//hemC//hda//cspC//corA//dgoR//arcA//glcE//curA//artI//frlR//trmO//alsC//hypD//fimD//ydgA//hyaB//ibaG//nudB//hscC//insB-2//flgF//mdtC//kdpB//marR//ccmF//iraM//agaR//alsA//fliL//rhmD//araF//gnsB//fimI//
GO_0008614_5	allS//metG//yihQ//yohC//zntA//argI//ebgA//
GO_0008615_6	rna//hinT//yghW//lpxH//fliS//guaC//narQ//
GO_0008616_8	eutR//pepA//napC//cvrA//gadE//fadA//csiD//
GO_0008617_9	dusC//
GO_0008643_6	potG//epmA//atoB//uof//rsmG//yddM//setA//yohC//rplE//nirB//rclR//chaC//thiC//ubiF//rnb//fur//yihU//yjjU//gutM//phoU//dcyD//gspI//yahK//nrdR//zapC//recT//pepA//iclR//hisH//gcvH//ynfE//malG//ybdH//lapA//dmsC//ssuB//ybcQ//mazF//galS//cysW//cheB//acpT//phnK//bcr//hisG//tus//rrrQ//elfD//fadH//nrdF//chbR//allD//dgoT//uhpT//yebG//yjhC//rbbA//exuT//trmA//eno//fucI//eutB//intS//dcuR//livF//dtpD//yibF//dedD//nuoG//glyA//yoaA//fhuF//cadA//fdhD//araA//lepB//nusA//avtA//lpoA//yagJ//hdhA//potG//nagK//umuD//frlR//mnaT//dgt//ppiC//glgB//ftsK//glmM//rpoS//crfC//yciT//pppA//yeaK//yjiQ//kdpB//yihW//mqsR//nhaB//hypE//casA//chbC//rzpD//rpsS//truD//asd//ogrK//tdcG//mdtM//oppF//rplT//cysA//
GO_0008645_8	bluF//yajQ//thyA//envY//rbn//pheM//yejA//mlaE//amiC//rcsF//sxy//rffH//ruvA//bamC//pheA//rlmB//ybbW//pyrD//fepG//yajR//xylB//yfgJ//fcl//rplN//
GO_0008652_5	cysK//tdcR//abgT//pgaD//yceD//hisP//yjbE//chiP//cpsB//cmtA//lpoA//csgB//mngA//gmk//motA//tadA//waaQ//dtpA//mglA//glgA//rayT//yjbH//kdsA//gshA//sdhD//betT//iscU//mutS//ydbD//exuR//dppF//opgC//ybjL//malP//aspA//prpC//yibA//ibaG//lpxK//pdxB//cheB//cobS//fis//aroA//pdxB//yhdX//ynbB//gabP//ftsQ//cydD//btuC//csrD//ubiG//pphB//mglA//groS//obgE//yhbY//mgtA//mfd//dnaA//yadM//puuR//folE//ubiD//proV//caiE//ynaI//malG//hisC//rpnB//rutC//yahI//mhpC//yieF//ydiF//murR//tdcR//pgsA//ydbK//cusS//tyrA//opgC//fecB//ravA//decR//ubiA//glcF//paaD//mdtE//norR//mcrB//sdhD//znuA//tsaE//melA//rhmD//glxR//hmp//yfbR//dhaM//yhjV//fimF//yciH//dapB//ulaA//uacT//rffG//yddG//lsrB//pmbA//dgoR//frdA//fliZ//
GO_0008653_5	ribC//nfuA//hyaD//yciV//rnhB//iraM//fadH//yddL//ydiO//yqiI//dnaN//ilvE//trkH//
GO_0008654_5	hdhA//yedP//ackA//napC//ydeO//cpsG//recF//cueR//hprR//ybjI//pdeK//ompL//gatZ//galK//pepN//ubiB//ddpA//treF//selB//araE//dppD//dapA//oppF//thrC//argO//dgoR//ynjD//btuD//hybC//rpmC//adhE//ynjA//ynbB//eptC//hupB//
GO_0008655_5	yjjB//dnaT//ais//wcaJ//rnc//pgl//helD//
GO_0009050_6	ybhS//lpxC//
GO_0009052_6	ytfE//pstA//ileS//lldR//mutT//fumC//valS//
GO_0009056_3	yfcQ//mltC//ilvH//glnA//ydeT//dgcT//yjcE//pepT//yraK//sgcC//ispU//yjhH//proC//gsiC//yihO//borD//flgG//malF//ldtB//efeO//trmJ//mltD//clpP//cusF//cyoA//ybdZ//galU//envZ//manZ//rluE//slyD//ppk//prc//dicC//csgB//abgR//glgB//grcA//gapA//tdcG//pphA//yggP//yqjH//ygjH//lysA//yrdA//ychH//msrB//fliK//metI//sucA//argC//ddpX//pdeK//rtcB//garP//adhE//trpE//citT//hemD//exuT//ldcA//recD//ftnB//yaiP//sucC//gshA//tsaB//btuR//gatZ//cvrA//agaI//tolB//nadA//fabD//yggE//skp//exuT//rho//ddpA//ybdZ//dicC//uup//ydiQ//appA//trmB//recX//rcnB//glmU//tcyL//lolB//rayT//hypE//galT//ebgA//guaA//hscA//nfuA//zapD//rplT//yfaX//mglA//araA//gsiC//dinQ//dld//chbC//yciV//rpsD//frdB//yfeO//rsmE//mpaA//bdm//recA//gutM//sgcX//dsbG//ygeA//frvB//nuoI//ccmF//yehZ//topB//tsaE//rplI//nagK//zitB//selB//ompC//ynaI//hycI//aes//rpnA//gnsB//gldA//dnaX//yphF//ompN//dcuD//queC//arcC//pitA//dgoT//uhpT//ycdX//ybbY//cytR//thiG//wcaB//yidD//ychH//hisP//paaK//cysD//hemF//cheW//ybjL//rcsC//cysZ//xylE//mutT//glsA//ydeT//thiG//citC//yjjV//prpD//sapF//mtlA//mutL//narP//xseB//yicJ//melR//alpA//ratA//waaJ//rlmI//yadM//flgE//gstA//sufC//cycA//yihQ//ppc//hybA//araG//yqjI//norV//pdeL//rpoS//emrD//dppF//ptsI//puuB//dbpA//yihI//tpiA//puuD//gshB//tcyP//ulaG//dhaM//casE//allB//frdD//ygeV//rhlB//sspB//artM//recF//chaA//atpD//ynbB//ydiF//rseB//katE//pinR//ilvB//ubiE//panB//dusC//pnp//ugpE//ykgM//lgoD//yqjI//lnt//argT//gloB//nfsB//topA//fruB//csrA//hemB//lapB//yfcV//rplY//fliM//bhsA//lldP//ubiH//phoE//modB//pth//bhsA//nadD//ymgC//chpB//cysW//ompL//potD//dkgA//pspG//mgsA//ybjC//ppsA//rhaR//ypdC//rnpA//rssA//trpA//alsB//abgB//mnmE//uvrD//ykgO//sdaA//cspG//dkgA//cheB//narZ//secY//rimM//abgT//ptsP//rhsD//fixC//iraP//rfaD//yfjV//opgD//ompR//dsbD//hicA//eutK//napB//wcaJ//ymfK//yahD//radD//ycjY//caiE//tar//pal//coaE//hypT//coaE//ykgM//ubiH//ybgP//ortT//gcd//yegD//surA//trpC//rpoH//trxC//sugE//corA//mdh//malY//ybhS//nlpI//bcr//ldcC//mtn//paaD//ndk//hisP//mnmG//rclA//nrdI//yraR//yajD//rutG//sohB//hofN//yhfK//sfsA//aceF//lysO//soxS//epd//puuE//yehX//envR//glyA//glvC//casC//ycgR//murC//yajO//mltF//znuA//pstB//fes//cysB//hisP//yehA//nfsB//ycjP//folX//cbrA//pyrH//frlB//yggD//amtB//cra//nrdE//fdhD//bglA//csgD//menE//wzzE//ldtC//glpD//polA//napA//trpL//yidP//malG//glrR//relA//glpK//lysC//ydfH//ddpA//xapA//fimZ//ydjJ//dgcN//phoA//yhaC//tatE//der//msrA//nuoN//prkB//motA//yraI//fiu//pgpB//yraR//mzrA//pdxA//ydeE//opgH//clsB//lipA//trg//ybaQ//trpR//fkpB//bglH//selD//narU//lpxT//dxs//dfp//hsrA//potF//norV//ssuE//mazG//
GO_0009057_5	yjcS//ispF//ygaZ//dppC//sbcB//surA//potE//ribB//iscX//yhaC//rsmE//pfkB//treA//agaC//katE//hprR//tdh//cusR//adiC//dtpD//bipA//scpB//ygeX//ydcM//bamA//pdxJ//tyrR//ybjG//chbB//rpsK//frwC//nth//hemC//frwC//sbmC//ibsA//cho//frsA//paaB//yibA//yihO//ybdG//accB//csrA//puuD//holD//rpsK//ubiB//dsdA//lepA//rplK//murR//selB//focA//
GO_0009058_3	aroD//nagC//ribB//caiF//higA//rfaG//cspA//tolR//phnP//rsmE//puuR//infB//flgF//argH//yjiQ//rsgA//xylE//narY//atpH//pcnB//eco//yjfF//yoeB//btuD//pgpC//yebG//topAI//yiaF//tyrA//ypdI//bglX//fepE//artM//menC//hsrA//yiaO//bluR//gspF//kduD//citE//yiaL//mtfA//fimA//bioB//yeeA//xylB//rhsD//yfhM//malF//mcrA//ldtE//glpA//clpP//tdcB//ycfH//viaA//dfp//abgR//folC//dicB//eno//arnB//ygiN//trxA//uup//ynaE//mepA//glnL//yhaO//dtpA//rihA//phnO//intS//rclA//ppiD//hcaC//galR//cysB//nhaR//yeaG//endA//cbl//ortT//fdoH//yjbH//ffh//hsdR//artI//sohB//cmoA//pheM//nrfB//yidQ//lptB//lpcA//yfeO//proV//minC//rpmB//cof//rsmB//gltD//rhsD//rluC//fabD//metN//ycdX//nfi//ldtA//coaD//lpcA//rodZ//menH//ynfH//ccmA//mfd//yjbF//yaaA//ldtD//minE//mhpA//hcaF//atpB//ydcR//mngB//ybcF//pdeD//waaY//sucA//psuT//hisM//araE//gsiA//gltB//flgA//argB//aes//gcvP//yihV//ydcI//yfdK//tsr//rpoE//malQ//yfaX//rfaG//yiaN//entA//chbB//dapD//entF//ybaL//hcaR//pth//yfdK//xylG//yddM//flhA//deoC//hdhA//aroB//codB//yciK//thiC//cysE//yobF//yajR//ndk//gpr//holB//oppA//nuoH//tesB//pflB//nrfG//argT//yjjV//tdcG//rbsB//rhtA//ycbV//rsmI//appC//gyrA//amtB//yeeJ//gadA//glvC//yhbQ//ybiW//glcB//thiE//rmuC//hybC//dsdA//recX//gldA//htrE//rhlB//yagF//citT//rnr//appA//secG//ptsN//nfi//yqhD//nrdF//blr//ulaR//glnE//fhuD//yeeO//umpG//luxS//cysQ//glcF//tolA//csgB//borD//aidB//agaD//melR//fur//zntR//mliC//mdh//gadC//yagJ//xylH//ydgA//waaZ//potH//caiD//hisH//pdeH//flhA//kefF//yfiF//yjeI//lptB//tdcE//gatA//yqcC//tdcA//mlaC//osmC//ogrK//ssuC//bamA//slt//yehX//narW//yaiW//btuR//gsiA//gfcE//epmC//sulA//accA//iscS//glpD//napC//rpiA//dicA//uvrY//fes//insB-2//pphA//dppD//aphA//lacY//feoC//grpE//nuoF//malP//fdhF//prs//miaA//araC//fepB//grpE//dsbD//torA//rlmC//trkA//gpsA//intQ//pepT//nlpA//bioB//elaD//fixC//zraS//hemH//mutL//tamA//yidA//torZ//yfeD//yfhH//rof//dxs//cysE//rfaH//fryC//bglJ//aspS//def//frdC//frlA//folM//hflD//treR//phnL//rfaF//ade//gadC//rplS//cho//rseC//rpsH//znuA//panC//yeeA//cysI//yciA//arnE//alaA//potF//pagP//rhaR//trmJ//hybO//trxC//secG//yciG//abgT//ypdC//glsA//bioD//ydaC//lacI//ybhP//pdxY//gatA//dsdX//etk//nuoB//purB//fdx//kduD//mntS//yciE//mntH//lnt//bepA//yhjG//cbl//mcrA//yehW//lptA//yhjR//agp//osmY//dapD//puuP//dacD//murR//chpB//narV//prkB//gloC//dtpC//miaA//ilvI//sucC//nanK//nudG//yejF//rpmB//ptsI//tgt//emrY//dosP//menB//phoU//ydjK//rffT//frlB//ptsN//frmA//yeaV//murI//rcsA//narJ//dgoA//frvA//cdh//tdk//nrdH//araE//entF//agaR//rffT//rhaD//mrcB//lapB//bcp//rsmD//yhcN//uspC//nirC//arcA//ytfQ//ygcW//nadD//casB//eamB//rluF//ilvE//hexR//rstB//mraZ//yghU//ppiC//yggD//mdtL//hslO//frdB//ftsI//tesB//kdpB//rlmH//rhtB//yccX//sdhE//rplD//hprR//lpxK//fliZ//emrB//mnmC//elfC//ftsI//cvrA//degP//mog//etp//pykF//yagU//garL//betB//yagJ//phoE//dtd//hyi//leuD//cysI//trpS//yiiD//argP//ychF//hemC//nanC//rimP//pepN//grxD//mrdB//npr//kefB//macB//malK//torS//rclR//rapA//glrK//sufD//yiaO//rpsJ//rsmG//fcl//cyoB//insF-1//mtnN//yfcG//rlmM//sgcX//mhpC//kduI//pliG//serB//mlc//yihI//ushA//murD//rpsM//ghoT//dcuR//hycH//arnF//lptD//narQ//holD//nagK//rimL//insI4//dnaK//flhA//tolA//rclB//ccmA//ybdZ//curA//lgoT//tpx//ppc//yceO//ddpA//otsB//menI//chbA//ftsH//tabA//yhjV//plsX//yjjB//rfbD//rfbX//raiA//rclB//ldtA//sfmD//potI//rnpA//trxC//fkpA//hisA//yqiG//ampD//epmA//rpsE//zur//atpE//rplB//ypdA//mutT//tig//aspA//ybjX//fliT//yeaD//truC//uxuA//ycjQ//frmB//paaJ//rbsK//glrK//purB//rutG//spy//recA//spoT//yadK//uvrC//bssR//dcuR//gph//glpC//htpG//ypdA//yajO//yajD//sodC//rsmA//betI//intZ//dcp//comR//pfkB//arnA//yagE//pbpC//trpR//viaA//tmcA//ahpC//rpsO//yqgB//rppH//ydiZ//dedD//fixA//ispH//emrD//tauB//rfe//tusD//rplC//ndh//ybiA//cydA//fdhE//rplX//viaA//dacB//mscM//pppA//macB//rfbC//pnuC//rpe//alkB//rutB//seqA//cheZ//panC//rhtC//yqcC//ydiZ//acnB//hrsA//tamB//glpT//rdgC//pinQ//ghoT//gutM//yafE//ileS//bglF//glcF//rsgA//cra//yjbB//ftsH//yiaJ//pcm//nuoH//bacA//fiu//fryC//lsrC//exbD//tauC//hdhA//pal//fdhE//clpX//intA//nagC//pepQ//bssR//msrA//yeaG//pheA//ygbN//dkgA//otsB//mrp//araC//cmoB//phnC//thrC//ftsX//chbR//yhjC//fabA//ubiB//ompA//tas//mlaC//cusF//ycaO//wzzE//pykF//pepQ//kch//rpiR//folD//glnP//arnT//rpoA//codB//idnK//cspE//cho//hicA//trpB//yieE//dppA//ldrD//ycjY//ccmC//metK//treC//dcyD//ybdG//cof//rpsB//cspC//rffG//gor//ampD//nfo//sgcR//gltK//ydeT//ftnA//phr//livG//norV//malK//uxaA//mnmG//rpnC//lipB//tpx//intE//hemC//nrdF//sbcB//mnmG//eamA//glpT//secG//tus//argS//ydjH//gluQ//yqaB//hflD//tdcA//hflX//rutG//yraN//dgoR//glrR//elaB//yciE//rof//wzyE//pgi//abpB//rpoH//truC//ygjK//prs//xanQ//murB//sapB//rbfA//rsmC//hipA//cusC//ispA//lldP//dpiA//nuoE//nadK//glnA//matP//pyrG//yfiF//feaB//panD//
GO_0009059_5	caiB//priC//tktB//betA//yebK//ais//orn//asd//galK//pheS//yggN//bglF//dnaB//treF//lrhA//lolB//glcB//wecB//kdsD//gcvR//nrdH//mutS//fliZ//cdd//puuD//crfC//fetB//cbl//nuoE//metN//rcnA//mutS//flgH//alsK//pepB//ompT//glmS//pgrR//yifB//ihfB//puuR//mepM//acs//insK//treR//yggP//dnaJ//agaV//lptF//artQ//fcl//yeiG//aroL//fepB//fixA//mlaD//exbD//luxS//glnB//hyaC//holC//accC//ynfL//nuoM//iscU//insK//rpsE//csgA//uxuR//ybbN//gadB//ydiV//hisQ//sppA//mutL//spoT//grpE//menF//ydjL//ddlA//ydjH//nrfE//hchA//creC//tehA//lipB//umpH//rbsR//nagB//ompW//aas//insB-2//ispB//bisC//yfcU//moaE//dmlA//rplJ//pyrB//rluA//lamB//rlmF//higA//ppiD//nusG//ulaB//gltS//entC//ccmD//fumB//thrA//ddpX//fimD//modB//acrA//fucA//cheY//dgoK//mutS//yjcE//alpA//ygbI//rrrD//nuoM//nuoH//sodA//tus//ybdN//caiE//rutG//tpx//aroF//fliZ//gluQ//pyrG//yggT//aceF//dapB//rapA//znuA//gadA//dnaC//yqhD//znuA//mntR//livK//rne//yhdW//yabI//ssuD//vsr//rpnA//ogrK//hyfF//ppx//rrrD//lptD//dapA//cysW//asd//gcvA//yghB//betB//fimD//ymfA//thiG//icd//rcsF//dgoD//ndh//atpG//rlmD//yijO//hyaA//codB//soxR//arnB//cedA//gltX//fabI//spy//artQ//selU//tolQ//rluF//ivy//yajL//hisI//srlD//yphF//asd//hisQ//sgcR//alaE//baeS//cysZ//yjjW//betI//guaC//pdeH//ldtC//cdgI//phnI//araB//yhcF//mutM//rplI//uof//sdaB//frwC//cynX//pstC//rrrD//relE//cydA//gloB//mtlR//lpxC//malQ//yfiC//ilvE//sbcD//endA//plsX//parC//pbpC//arnF//yqgF//dnaT//srlB//cdd//glsB//phoQ//mtgA//torS//modA//yajQ//livG//mtlR//pta//matP//csdA//holD//purL//cdd//ptsP//nudF//gyrB//ydeT//groS//yjhH//yijE//ytfQ//kdpF//rbsA//rpnB//ydfH//cheR//murP//waaH//rhmD//moeB//uxuB//folM//yjtD//elaB//yhdX//mzrA//proA//tsr//bglB//allS//hemH//rsfS//ligA//hcaF//rsmG//yfeD//yneJ//betB//fau//dgcQ//yieF//opgE//acrD//lpd//mdtA//aidB//ssuC//phnH//xisR//pphB//ftsK//gudD//srlE//wecB//ynhF//eutD//pyrG//pinE//umpG//fumA//mqsA//waaL//hslO//iaaA//yihR//srmB//fes//gutQ//casD//tag//gspF//sfsA//purB//narI//mcrB//
GO_0009060_6	csdA//ygiW//corA//fimA//yihP//ynhG//ycfJ//aroP//epmC//elaA//dgoT//yfcR//hicB//gnd//galF//tdcE//rayT//eutD//trmA//potA//yqhD//cynT//ghoT//fecC//aroF//recN//
GO_0009061_6	pdeD//bglH//caiT//srlA//pepA//aldB//araF//rlmN//yphC//manY//sulA//polB//cbtA//pdxY//evgS//nadD//ribB//nirC//yggP//malX//lptB//mhpA//lplA//gatZ//essD//pgpA//dinQ//hns//sufE//msrA//fabG//frlB//fhuC//pinE//prmA//fdhE//eco//rfaB//glpR//atoS//murJ//tpiA//hypE//rplY//ybdH//ypdI//yaaY//crr//waaF//mppA//rpsR//pdxJ//gadC//dgt//ydcI//
GO_0009062_6	ppiC//rplL//cnu//agp//thrA//wzzB//allB//ycfH//zapE//priC//crr//nlpE//dgcJ//lysO//recC//yfjR//ulaD//potD//yphD//ilvI//envR//
GO_0009063_5	mhpD//nirD//mlaF//ahr//ybaL//ldtD//ydcP//pgrR//rplN//ydeM//lptE//potD//miaA//yhfS//torC//tamB//rhaS//epmB//nrfE//deoB//yccX//aroP//rpmH//yihW//lacY//kdsA//ybjN//yedF//nikE//ygcR//yhjA//artI//rclB//ybeQ//yjfP//lpcA//valS//mscK//fliG//mraZ//rraB//mnmC//rnt//ygbN//livF//mntS//ybcC//gltP//torA//mprA//nagB//zapC//gsiB//ykfM//cydD//
GO_0009064_6	glnQ//yqhC//agaC//yfcA//gadX//pgl//ihfB//sugE//dapB//sfsB//ybeY//yagF//yraJ//nadK//ackA//fdnI//exuT//dut//uxuR//tcyN//idnD//intA//ybcL//ybaO//moeB//ubiJ//rcsC//yaiW//allS//aqpZ//fecC//fliZ//fdnG//bluF//ahpC//nikE//pgaD//rhtA//hdeB//aphA//ilvM//ybjX//acpH//rnc//menD//ndk//
GO_0009065_7	uxaC//yajD//rayT//tilS//mscM//leuD//pliG//fliM//yhfK//zitB//lpxD//dsdX//ssuA//gatY//ybfA//rfbC//ilvH//yciE//
GO_0009066_6	cspA//metI//dhaL//ydcS//ssuC//yoeB//nrdA//frr//scpC//purC//slyA//ppiC//rfaE//yfeO//murE//ygjH//fdhF//frc//truA//metR//fbaA//frsA//rcsA//hflC//zinT//cheY//glcC//mntR//fecD//guaB//gcvH//mltA//puuR//lgoD//hflK//cydB//kdsC//agp//aslB//rihB//hprS//bioA//yfcA//ybiS//basR//rpmJ//uvrB//lptE//
GO_0009067_7	ubiJ//yqjH//cobT//yhgF//yibH//tgt//fdhE//yiiM//mglA//ycdY//mscS//msrA//nrfF//sufB//yieK//sugE//menF//yehD//srlE//metE//bolA//holC//bioD1//rhaS//yqgF//phoA//
GO_0009068_7	rluB//allC//uidC//yejE//lspA//fadH//mrr//acrD//betI//dacC//rplS//dtd//metI//
GO_0009069_6	tonB//sdaB//alaS//copA//menF//ydfK//rpe//gadE//ibsB//rpmA//cynS//yhaJ//ybaK//tyrR//rhsD//paaJ//gcl//glpB//yjhH//metC//rplN//yjhC//amiC//slmA//rsmB//idnT//aroA//ynbD//pal//flhD//insK//yhgF//murP//tktB//moeB//mcrA//
GO_0009070_7	sad//ogt//yjhB//mrdB//ydcP//minD//rseP//preT//moaD//thiI//nadE//mnmE//pyrD//paaD//abgT//pth//yhbY//clpS//rhaS//rzoR//
