#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	bdcR//ssb//gcvP//gnsB//
GO_0000162_7	lapB//rssA//thrL//grpE//dxs//dacB//dgoT//torZ//dctR//
GO_0000255_5	ftsZ//fabI//yedL//yfeD//emrK//
GO_0000256_6	asnA//yafE//ugpC//araC//clpA//
GO_0000270_7	dcuD//eco//rnlA//yfdG//gmk//minE//ypdB//glnP//dgcJ//narU//ibaG//amyA//amtB//treF//ruvA//mcrA//rclB//lhr//cueR//orn//chbC//yidH//lrhA//cobC//mhpA//cysZ//ycdX//yegV//dapD//crcB//purT//gltL//mdlA//ygfI//add//rpmE//cusR//gudX//alsC//rutF//phoP//ubiI//udp//yddA//insI-1//rimL//napB//ybjI//mscM//flhE//proS//tktA//nikC//nusA//rsmF//rbfA//arsC//ycaO//fryC//prpR//cheR//dgcF//cysI//
GO_0000271_6	yjhB//cysS//kbaY//ynhF//tomB//mnaT//ycjQ//envC//acrE//acrZ//dctR//yggP//lysO//glnK//hyfF//sgcE//nfsB//glvC//ghoT//mreC//rlmB//yfeR//dnaT//waaL//rssB//sapB//cpxP//dctR//yhdJ//tauC//actP//hypE//lsrA//xisE//bssR//yeaE//yhdH//mlaF//frc//trxC//rpmF//lpoA//phr//xylH//yjjI//rpsS//speD//iclR//yahB//hfq//
GO_0000272_6	yfiF//intQ//bioD1//ftsB//cyoB//rplL//
GO_0000302_5	pgaB//pmbA//yhcN//cysD//recT//queE//nudF//rlmC//pckA//ynjA//tpiA//yqhC//ydeO//tatB//zapC//lexA//proX//serB//nrfG//yahF//yecS//nadE//moaA//menD//ybjN//cbrA//yfgJ//ahpC//lpp//ptsH//hemF//
GO_0000303_6	mngB//pnuC//
GO_0000305_5	waaG//dusC//gph//
GO_0000372_11	prmA//
GO_0000375_9	seqA//
GO_0000376_10	yeeL//
GO_0000413_9	ampH//yebQ//ftsL//hyfA//glcC//arsB//gatC//serA//
GO_0000451_7	dcuA//yciH//garR//ypdC//gpsA//
GO_0000453_8	rlmH//priB//cvpA//cspB//uup//
GO_0000455_9	ycbX//yehX//pal//gpt//ugpA//waaP//rhaB//
GO_0000462_11	ldcC//ydjK//
GO_0000469_8	nusG//
GO_0000470_10	miaA//
GO_0000478_9	flhA//
GO_0000715_6	poxB//
GO_0000716_7	rffM//
GO_0000724_8	yjcE//
GO_0000725_7	ymgA//rplW//ygbM//rep//bhsA//yibH//
GO_0000726_7	galU//
GO_0000731_7	ompW//rrrQ//nimR//gppA//truC//cysW//deoA//
GO_0000737_7	setC//
GO_0000738_7	hemN//sucD//rffC//
GO_0000746_4	ybiW//
GO_0000820_7	kgtP//
GO_0000902_5	gudX//
GO_0000910_4	lplT//rihB//betT//ypdA//fdoH//yifB//pstA//alsK//helD//thrC//rplK//proC//srlE//fimB//rpsJ//alaC//nsrR//gsiA//
GO_0000917_6	yibF//phoU//nrfC//fmt//pgi//
GO_0000918_6	ygbN//ftsX//dbpA//yciA//
GO_0000920_3	moaC//mglC//queC//yneE//yciA//
GO_0000921_6	yciV//
GO_0000966_8	degS//emrY//maoP//cvpA//
GO_0000967_10	ispH//radD//puuE//
GO_0001101_4	yqaA//dnaJ//gpr//alsC//mog//tusB//glgC//cbpM//rclC//tabA//yihX//ulaR//exoX//dacB//galS//cydA//potA//narI//mnaT//arnE//viaA//uvrB//rpnB//artP//flgD//mtlA//
GO_0001121_7	xapA//dxr//
GO_0001123_8	corA//
GO_0001124_8	araB//
GO_0001407_7	mlc//hypD//lolA//agaR//
GO_0001505_4	hcaR//chpB//envZ//lptF//aroG//fhuB//sgcB//mhpA//ssuE//yadC//gnsB//cstA//apt//gpmA//nrfF//waaU//
GO_0001510_5	sfmD//iap//ymjB//argH//tdcD//ynjA//puuD//sucB//rimM//rlmC//sufA//hypF//nirC//psuT//ydjK//tsgA//yeeA//fimI//yddA//hupB//rimM//yigL//ispA//rph//gspF//ygbM//rnhB//cysQ//dppF//kdpA//nupC//ybgI//abgB//hldE//mscM//arnE//avtA//nusA//yijO//rlmB//
GO_0001514_8	fur//
GO_0001522_7	dhaM//mdaB//bioD//flhA//actP//folM//tdcB//glgP//ldrB//hemN//lgoD//yijO//pgrR//
GO_0001539_4	tqsA//gsiB//yidA//ubiA//idnO//yfaL//nrdE//prpD//modB//pepN//dtpB//argR//yaaJ//ompC//rhoL//dgoD//panF//yjjX//casD//zapC//ghoT//mdtQ//argE//treF//agaR//nuoM//ykgF//yahI//acrZ//ymgA//waaY//
GO_0001558_5	mtlR//gatY//fruB//yiaJ//ybiJ//murD//yjiX//qseB//
GO_0001561_6	rhaT//
GO_0001666_4	fimG//
GO_0001676_6	gpp//era//aspC//
GO_0001680_11	xanQ//
GO_0001682_11	ydiV//
GO_0001731_7	umuD//
GO_0001762_6	pinE//
GO_0001887_4	sfmF//ribA//truD//
GO_0001896_5	fliK//trpB//mcrB//ilvH//
GO_0001907_5	yijE//mutL//rlmN//nuoH//
GO_0001932_8	rplR//yccA//
GO_0001934_9	ugd//
GO_0002047_6	yagJ//osmE//
GO_0002097_8	yccX//pliG//rplI//pgaB//fumC//dgcE//ubiH//qseB//nirD//sthA//yejB//ubiG//ynbD//ybiY//nadC//crp//ydgA//chbC//gcl//
GO_0002098_9	tap//rbsD//mdtN//argO//sapB//yfgJ//ybcQ//yibA//dnaQ//yhjX//adk//entE//entS//
GO_0002099_9	cdgI//fbaA//
GO_0002100_9	cyoB//
GO_0002101_9	kch//motA//
GO_0002128_7	cpsB//allB//garD//yobF//
GO_0002130_8	yhiM//
GO_0002131_9	dapB//
GO_0002132_9	kduD//
GO_0002136_10	narK//
GO_0002143_9	fepC//cheB//yhdX//rrrD//entS//satP//
GO_0002181_7	gluQ//acrF//
GO_0002183_5	skp//
GO_0002184_8	recJ//
GO_0002188_6	rcsC//
GO_0002190_6	xdhB//
GO_0002192_8	lolB//
GO_0002252_3	eamB//pyrB//mdtM//tatD//pdeD//ruvB//galF//insA-2//malF//ygbI//
GO_0002790_6	casC//nadE//lpxB//emrY//acrA//araG//pgpA//
GO_0002937_9	dld//
GO_0002938_8	yiaJ//
GO_0002939_7	recG//
GO_0002943_8	rpsP//
GO_0002949_8	gldA//cysZ//pckA//eutR//
GO_0003333_7	ompC//iraP//rutE//sodA//tdcE//ydiR//sgbU//yfcF//clpB//bacA//ttdB//tdk//lptB//fepG//ycfS//ygaZ//hybD//kdpB//lpxC//bcp//galT//rfaE//hemD//tatC//nupX//cyaA//sfmH//tsx//tyrB//qseC//ykgF//arfB//recA//potG//serA//rsmG//rplP//ydcR//yfgO//xseA//ghxQ//purU//mutS//prlF//proV//rffG//frwC//basS//glpD//
GO_0005975_4	ribB//aaeB//mlaD//ydiR//elyC//yeeO//livJ//yfbU//cirA//cysG//roxA//oppA//acpT//lysA//hicA//degQ//ybbY//nhaR//panF//ldtB//mlaF//frvA//ibaG//nrdF//fepB//cysN//rpsN//mntP//rbsC//manZ//hofC//iscX//hyaA//yidD//yedX//adiA//gatA//pspF//recB//yhbO//kdsB//setC//psd//waaG//pgpC//dnaT//sodA//mmuP//menH//yagI//acpS//frdD//cspA//panD//mlaF//sgcB//ampD//exbB//cheW//xylB//lolD//ugpB//uhpB//fdrA//ldcC//nth//pstC//higA//bioH//purR//patD//ydhJ//rsmE//yohD//pabA//glpA//yhdJ//tatE//glsA1//yhjG//alsA//sspB//ftsB//nuoF//rutD//rutB//lolE//gltX//kilR//aaeA//aroL//znuC//yojI//rhtA//fkpA//dppD//glsA1//ompG//ffh//arsC//rhaA//yeiG//glcB//rhaT//rluC//csgD//sdhD//rnd//ttdB//accA//xanQ//dinJ//yeeO//xisR//nikD//kgtP//yiaM//asd//sodA//thiP//tilS//pitB//yidP//gpt//yjjU//ftsP//csrA//dbpA//rpmF//uvrY//gshA//yeaD//yhbS//ybaE//ompN//tatD//yfdK//rplI//ubiG//arcA//murJ//ymgF//yjhG//yghU//tpx//secE//lyxK//narW//thiQ//iraM//fabH//livJ//hyi//kdpC//ybjX//dxr//mepM//macB//dgoT//agaA//rplY//casE//mcbR//aceF//ybgP//pflB//tig//yghU//cysG//yhjA//yidZ//elfG//aphA//yiaU//insA-2//gpsA//dapF//putP//tsaB//aroF//btuC//ydhC//rclC//fabH//rfaE//mtfA//gcl//ompC//flgA//pnuC//yhjD//hisM//yafO//kdsC//deoC//xylB//coaE//yaiV//iclR//cycA//folM//ccmF//ycjR//ssuD//ybdN//nuoM//nlpD//yfaU//yidC//arcA//xdhB//aroK//gadA//uvrD//topA//kgtP//ycjR//yfgJ//ulaG//gatD//zapB//gpr//nadB//yjhC//phoE//yihW//fumA//ldtB//valS//amtB//pgaB//mdtQ//nanT//ydcS//waaQ//accC//hisD//yebS//ulaR//rpsQ//yraK//mntR//psuG//ygcR//glnL//nsrR//hofO//arfB//csgB//proW//waaS//rpmG//mscK//rsgA//
GO_0005976_5	hybO//proV//uhpB//flgF//lptF//purR//hybA//rplA//trpL//nudB//ivbL//hybA//ycbV//yqaE//fimH//ldtC//araA//yfhM//rffH//yeiE//yciA//ybgI//rclC//yhdW//garD//yjeH//yebC//thiG//alkB//norW//dgcQ//alsK//ydaN//lit//rpiR//nlpE//rpmF//adiY//tadA//mgtA//nuoI//ratA//truC//dgkA//chpS//frwC//hemH//cysP//rzpR//nth//afuC//cas1//tyrB//sodC//araC//ompL//srmB//hcp//dps//
GO_0005977_6	yraN//yhiM//fadL//pbpC//kdpA//agaA//treF//zraS//
GO_0005978_7	cydA//yqhD//insH-5//sulA//
GO_0005979_8	glxK//
GO_0005980_7	gabP//epmC//mrdB//
GO_0005981_7	rplF//
GO_0005984_5	livG//rpiB//yhbS//sfsA//rbn//tatB//manA//ybcL//yqeF//fimB//srlD//
GO_0005985_6	opgE//
GO_0005986_7	rcsC//
GO_0005988_6	dcuC//yiaJ//
GO_0005990_7	yecS//pepT//
GO_0005991_6	sfmA//rlmN//ybhP//bcp//gloC//
GO_0005992_7	abgR//rclR//
GO_0005993_7	argH//nrdR//entD//
GO_0005994_6	fepC//
GO_0005995_7	yccA//
GO_0005996_4	ldrB//aroF//uspE//hscA//dhaM//ybdR//ttcA//mtr//gntP//guaB//cysK//atpD//sgcC//opgB//yjjW//preT//kbaZ//ppiD//ilvD//rhaB//rhoL//pfkA//phoU//fimF//mdtQ//mliC//glnA//glxK//uvrD//sfsA//dsbG//hyaD//sufA//glnA//yhfK//aaeB//abgT//hisB//trmH//rcsA//ygiN//mltB//dgoT//narY//nagE//ung//intZ//cobS//codA//ygiS//npr//narV//pncB//yiaN//yieF//xapB//yadC//fkpA//opgB//bdcR//yfbS//cpdA//yggN//argF//fadH//intA//ycjW//yedP//degP//yaiW//cyoE//phnM//ynfE//slt//ydiQ//yeiE//prpC//lptA//mscK//cysS//acrE//galR//
GO_0005997_6	ruvA//
GO_0005998_7	cspA//
GO_0006000_6	csrD//metB//der//
GO_0006001_7	pdxY//yfcV//
GO_0006002_5	sthA//yidD//patZ//
GO_0006004_6	gsiC//casA//yccX//yidA//ycjD//ybcQ//
GO_0006006_6	gntK//rnc//rlpA//dbpA//mutM//tusC//modB//truC//lgoD//fixB//yibT//moaE//purC//dapB//yiaO//truA//murI//insI3//uspB//yphD//pabC//agaW//argS//
GO_0006007_7	betI//seqA//yeeO//
GO_0006011_5	pdxB//
GO_0006012_6	envC//yegD//minD//betT//yjeH//potA//apaH//ydcT//tauD//
GO_0006013_6	yegS//sufD//
GO_0006014_6	yeeY//rpsQ//flgE//
GO_0006015_7	fhuD//aas//
GO_0006020_5	yafO//
GO_0006022_5	rsmI//yqiJ//cydC//zraR//paaC//arcA//alaA//potC//pstS//wcaB//pabC//ccmG//ymdB//yidQ//yegV//fimF//dpiA//yciA//mazG//gntR//kdgK//mutY//ilvE//ybcC//fliT//glpR//hypA//elbB//arcC//argB//sxy//dtd//wecA//tatA//gpmA//cpxP//bluR//rbbA//hcaD//fumC//bglA//kefF//trmJ//yaaJ//trpE//cobT//yjjI//gcl//murI//dmlA//rplY//ydiK//rlmE//rplC//ydaC//cdh//ybaE//ddpX//acnB//mdtQ//fliD//insE-1//lapA//
GO_0006023_6	ybeF//glrK//frdD//mltF//surA//potA//trpS//glmU//sseA//ybdN//ypjD//mdtN//mrdB//hybB//ycfL//gspF//rpsH//pnp//dtpB//allS//aroB//atpF//polB//ulaR//mdtI//hrpA//psuT//arfA//yphF//rhmD//galP//galR//frr//nagD//minE//eno//shoB//coaE//fadR//
GO_0006024_7	prlF//thiI//sgbH//malG//rffC//osmE//tdcA//waaZ//csgB//menE//gatY//yoaB//cca//mtlA//minE//yfbV//macB//ypdI//ymfK//lolC//coaA//yahO//cvrA//uxuA//mlaF//ihfB//yeiL//narI//nrdI//mraY//sspB//ccmE//yedL//ssuC//bluR//lplA//aspS//yihW//glpX//
GO_0006026_6	asnB//rutA//prs//aroD//aceK//phr//yciE//csrA//amiA//panD//
GO_0006027_7	yjiY//fabG//rpmJ//lpd//yehY//folC//cycA//pgsA//ptsH//citT//
GO_0006040_5	dhaL//fimB//yfhM//glmS//dkgB//ldtE//glnK//sad//chbB//rbsA//lepA//flgC//srlE//alkA//dicB//alkA//aes//
GO_0006044_7	yidR//rutD//yodD//narQ//caiB//
GO_0006046_8	puuA//lon//uhpT//lepB//
GO_0006047_5	mrdB//garK//aroK//rhoL//tyrB//argH//tmcA//
GO_0006048_6	ypjD//agaB//yhcD//mngB//degP//fdoG//
GO_0006050_6	nudB//
GO_0006051_7	bcr//
GO_0006053_8	fabR//
GO_0006054_6	nrdG//sgbH//astC//cpdA//yafQ//dmsA//rhtB//
GO_0006056_6	yphB//
GO_0006057_7	nuoE//
GO_0006059_6	rplC//pntB//fecC//tyrA//
GO_0006060_7	yeiE//
GO_0006062_8	thiD//
GO_0006063_5	ykfM//rihA//livG//chpB//ytfT//hicA//yoeE//lgt//rhaM//
GO_0006064_6	murF//garR//tap//cysW//sodA//ynjA//
GO_0006066_4	acrR//araD//ssb//rsmF//yqiJ//tdcG//yraN//fimG//eutB//arfA//hemH//yqiJ//kdgR//ybdZ//frvA//metR//csrD//cmoB//uof//yrfG//kdgT//aes//dgoR//kdsB//zntA//fliA//pdxB//ilvM//ldrD//plsB//deoR//putP//
GO_0006067_6	yedP//mcbR//birA//
GO_0006071_6	ybaL//cvrA//potF//fre//malS//iscS//osmF//
GO_0006072_6	rpsR//lrhA//lptE//sfsB//ymgC//
GO_0006073_6	mngB//deaD//lpoB//elfD//adiY//serB//ccmG//yifB//alsA//astC//sapC//yiaM//cheR//nanS//nikE//gnsB//borD//allB//ygcW//wcaC//
GO_0006081_4	ftsK//yjiQ//rplP//yfdO//ibaG//fadE//ygfZ//efp//yaaA//yhjG//fliM//xthA//sbp//panF//mprA//yrbG//rhaA//mdoG//bamC//frwC//csgB//cutC//metH//hybA//abpA//ftsN//insK//fpr//elyC//kdpA//feaB//flgE//bssR//asnA//ycaO//tyrS//ispU//ubiA//rpnA//dgoA//dmlR//rplJ//rhaR//atpG//yjfF//ispA//pabA//pstA//vsr//folM//ygiB//ygbM//osmE//mcrA//poxB//sfmH//pabB//tsr//paaX//yidK//hycI//dgcM//rpiA//fpr//nrdA//yagI//bisC//
GO_0006082_4	alaA//pspA//pagP//mlaD//mdoD//nuoH//yghO//rlmM//cpsB//ibpB//lpxC//cysM//yheT//rdgB//yhaV//mdlB//insF-1//uspF//glsA//rutC//tsaE//prfA//mlaD//glnL//manX//serC//gabT//mlaE//ykfM//rffM//cueO//ydeO//yhaC//wcaJ//yihR//dnaN//hemN//bamA//ndh//thrB//dfp//narH//ubiD//ompC//appY//ssuA//frsA//chaC//gltX//phnN//creC//mltF//ibpB//ispA//sfmF//aroK//xerC//murQ//cpdB//nfuA//rffC//ymjB//nudG//yohC//fliL//ptsI//pspF//glcB//gspE//tolC//fabH//yhdW//htpG//kup//ypdA//yfdK//gstB//ydcM//gppA//matP//tldD//aspC//yggD//fruB//degQ//dgoA//gadA//mlaC//ygjK//appC//csiR//purB//glsB//apaH//dsdC//yedL//sgrR//puuB//ybbW//nhaA//atoS//moaE//glcA//hokE//ycgR//aldA//trg//narJ//lspA//arnE//rimJ//alkB//vsr//scpC//rrrQ//rfaE//yihR//argB//pspC//dut//atpE//rho//ygaV//cmoA//proS//ribE//ycgB//gldA//yjiM//relE//yibT//rlmE//fdx//ratA//trmL//ftsQ//nagA//rluC//caiF//ulaB//lptB//malQ//narI//dadA//caiF//purN//rsmA//scpB//ilvA//dgcF//hsdR//ycjW//nfsB//accA//minE//msbA//cspB//yeaD//ppiD//acnA//gabT//narI//gcvR//ligA//ycaN//sgbH//basS//yejF//pspD//ldhA//dpiA//bioC//prc//hemC//melB//cysG//hemE//nupG//xylB//rutE//yiaO//ampD//tktA//dppD//rcnR//yfgO//hybA//murI//paaA//flhA//ybiH//ubiG//pphA//sdhC//yehW//gstB//tus//ppiC//rusA//glsA2//ssuD//alsE//ftnA//ldtD//yjiA//glgP//lapB//yfcA//cirA//aspA//sfsA//fimH//yhdZ//mutH//mazG//atoB//zntA//yggF//arnF//livG//pepA//eutR//rspB//katE//glvB//artQ//xdhB//frdA//recJ//ridA//upp//rlmL//luxS//argK//folP//fkpA//menF//menH//yhcN//putA//htrE//torC//yajQ//cysP//rpiB//argG//opgG//yjgX//trxC//mzrA//rpsM//plsC//aphA//glnK//dhaL//prlF//pepA//arsB//gspF//fdoG//secE//mdtC//ykgA//nikA//asnS//sapA//moeA//rimJ//dam//yddM//tus//ftsQ//asd//dnaX//cdd//ubiE//frwD//metQ//ssuA//yeeL//uxaB//narP//lysU//thiL//yebS//dgcE//nrdB//tdcR//efp//waaO//decR//ycgB//mscL//rlmN//rutF//rpmJ//ftsL//garD//erpA//smrA//yiaF//rzpD//cdsA//glpB//mscK//mnaT//aspC//minD//yjjW//glcD//atpG//arsB//lgoR//glpD//asmA//mdtQ//nrdE//caiF//uvrC//mdtP//yggW//dcuR//yggD//frmA//gatY//yfeR//yahI//yecS//carA//yagI//flgA//yqjA//ispB//ilvM//lysC//yidA//fes//emrB//hexR//asr//atpH//mprA//mraZ//sseA//fecD//aroH//holC//nrdD//xisE//fryA//adhP//kefG//ulaC//tdcE//nsrR//lgoR//fliL//pstS//nadB//insI4//betB//yedA//prfC//fliS//hybD//fliL//holC//mnmE//ldtA//ygaV//aspS//yqeG//phoU//yhcD//glcE//mrr//dppD//nirC//sgbU//nuoL//nikR//iraD//cas1//ratA//shoB//prlF//trg//nagB//yibF//mltC//groS//rtcR//ybgI//mlaD//rstB//bssS//dam//flhD//tnaA//evgA//apt//cyoD//accD//kduD//intA//trmB//decR//malP//amiC//tdcE//rzoD//hemF//fau//lexA//dnaN//garD//frc//rplN//alaS//pstB//trg//yajD//ybiY//flgI//csdE//ptsP//ydjL//ychF//nrdG//satP//nikC//edd//cdaR//epmA//gpmM//erfK//fliT//cspE//hypC//ribB//minC//xerD//malS//mdfA//ydeO//fryC//pck//plsB//pykA//grxD//dppB//paaD//yddG//cheW//gadB//trmB//ypjD//rpiB//patD//insB-2//
GO_0006083_6	nagA//mrdA//fis//holB//nrdG//dsdX//
GO_0006084_6	speB//ymfA//
GO_0006085_7	cydB//yhgF//
GO_0006086_8	leuA//
GO_0006089_5	rrrD//arnE//fryB//glvB//yehU//tabA//rfaF//arnB//cusA//aphA//ybdM//aldA//phnM//yddM//ykgA//hscA//rfaE//mdtB//mdtO//murB//yhfK//nfi//gluQ//hofQ//rfaC//atoS//proW//leuS//dicC//
GO_0006090_8	yciE//yrfG//yhjG//cecR//tolA//fpr//ypdA//ptsI//hprS//ydiF//bioF//yphF//yebC//ygjH//satP//atpH//fimH//afuC//pyrF//fabZ//ybiA//prfA//motA//ybcJ//csrA//viaA//atoC//yobA//ilvL//agaS//prpD//
GO_0006091_4	wcaB//thrC//eutB//paaJ//pntA//ygcW//cbpM//lolD//hxpA//yjjX//uof//tqsA//hyaB//kdpE//ppsA//tamA//tatC//rbsB//allC//citE//recQ//abgB//rluD//lpxL//preA//mltG//waaY//narH//ychF//fruK//hypF//yggD//glgB//ybcF//yhfS//paaB//nadD//yfbV//kdpF//agaA//mutM//frvB//rplE//mtgA//creC//waaH//gsiC//fes//nsrR//nirB//ilvC//nikA//holE//bssS//sspA//murC//yidQ//nagZ//lacY//ibaG//fadI//tbpA//rluE//metL//rng//cdh//hns//rimJ//glk//waaC//frlB//grpE//srlD//araA//argK//elfC//yaaA//hiuH//kdpB//acpT//dgcN//mltG//lasT//intQ//yahD//rstB//mrp//gpsA//oxc//yqjH//dicB//accA//hdeD//pstS//yraN//yfcQ//ppiC//recJ//caiE//mdtP//pncB//dam//fecB//yaaU//xerD//frvR//pdeD//gspI//yjhI//fabB//ygiN//exuT//
GO_0006094_7	yciT//gpmM//cpdA//phnN//ybaT//tdh//yehX//hdeA//gpt//msrB//
GO_0006096_6	yhcD//livM//ycjU//mrdB//allS//bglX//mazG//panE//zipA//dacA//kdpA//appC//hycA//soxS//sdhB//lsrG//proB//ttdT//
GO_0006097_5	nuoI//ompR//hypD//rsmF//ydiF//
GO_0006098_6	ynjD//luxS//dedD//rpmE//bioH//
GO_0006099_4	yjhP//yjhH//dgoK//gadE//gmhB//nhaA//chbC//yghB//dcuB//rcsA//glvB//yiaT//rimJ//tsf//nadK//cdh//tehA//
GO_0006101_6	betI//adiA//elaD//frmR//idnD//hemB//mzrA//rhaR//ulaD//ulaG//ydiV//chpS//cmoA//yfiF//torZ//bioA//opgC//
GO_0006103_5	cdsA//gluQ//gmd//
GO_0006104_6	kduD//sanA//queC//
GO_0006105_5	yahF//fruK//zur//ygfZ//minD//yajL//mltC//dcm//
GO_0006106_8	mltA//
GO_0006107_8	paaB//
GO_0006108_8	ybgP//cyoC//pspG//moaC//gcvA//
GO_0006109_6	ldtC//nrdD//ileS//sdaC//gudP//lysC//ydjE//thiP//mhpC//
GO_0006112_5	fepB//yiaB//cadB//sgbE//waaC//ascB//trmL//tolR//
GO_0006113_5	btuC//ydeI//trpGD//yciT//hprR//murJ//betA//ypjD//msrB//yiaU//dppB//umuC//nfuA//
GO_0006115_6	metF//
GO_0006117_5	tmk//
GO_0006124_6	aidB//
