#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hyfC//crp//rplA//lysP//
GO_0006024_7	tmk//ttdB//mlaB//ftsB//leuA//rhmD//panC//sgcR//hemG//mngB//cyoC//wrbA//glpK//ahpC//ybdH//atpA//yggN//aqpZ//ftnB//adiY//rluF//nirB//appA//hcp//cyoE//aslB//nagC//ydaV//tsaB//rlmM//znuA//ydjL//mlaE//galM//yjjI//tamB//ybjC//ddlB//dhaM//
GO_0006026_6	ghxQ//recB//holE//rhaT//yceD//rhaD//paaE//dosP//purT//dinG//
GO_0006027_7	lacY//fimZ//minE//moaB//speD//hiuH//basR//yfcV//yhfS//metG//
GO_0006040_5	yaaY//accA//ynhF//yedL//sdhB//ydiV//srlR//elfA//rplD//paaX//tsaB//eutA//narW//gsiA//alsA//trxA//yggE//
GO_0006044_7	hha//tsaC//rhtB//pgpC//lldP//
GO_0006046_8	uxaA//nudC//pta//rimK//
GO_0006047_5	amiC//pphB//yahK//cusS//nuoN//tauB//dusC//
GO_0006048_6	paaF//rpsD//atoC//yiaA//hupB//sulA//
GO_0006050_6	rrrD//
GO_0006051_7	cspE//
GO_0006053_8	ycfS//
GO_0006054_6	yiaL//cysI//yaiV//pgpA//ycjQ//rpsH//glpT//
GO_0006056_6	cysI//
GO_0006057_7	ybgQ//
GO_0006059_6	yggP//livF//tbpA//waaC//
GO_0006060_7	dppB//
GO_0006062_8	glmM//
GO_0006063_5	yiaA//ung//nudB//gnd//setB//yagI//nsrR//wecB//yfhM//
GO_0006064_6	queD//mscM//rsfS//ynbB//ybaO//gatB//
GO_0006066_4	yqiG//sgcE//dgoT//metE//mnaT//glpG//cysK//agaA//mzrA//tas//ytfR//panD//mocA//yjcE//menD//rpsJ//mdtJ//prkB//sapF//glcA//eamB//tnaC//tufA//rsuA//hipB//ubiC//yccS//pgm//glpC//oppC//fetA//dgcN//
GO_0006067_6	treR//kdsC//phnN//
GO_0006071_6	gyrB//hisM//bcsQ//wecE//ptrA//bsmA//zraR//
GO_0006072_6	nfi//rpmF//leuA//glsA2//lldP//
GO_0006073_6	yagF//dgcN//glsA1//ddlB//rhtB//uxuB//paoC//yihI//rhlB//arsR//rapA//polA//ais//relA//glnP//rsmA//melB//moaB//lplA//ulaR//
GO_0006081_4	fhuB//sufA//ycaN//cutC//tomB//waaH//fadA//yiaJ//citT//dxr//ulaR//yqgF//aspS//elfD//yqaB//cmoA//fmt//rpsS//rpsA//yjbE//garL//alkA//gpsA//flgJ//rcsA//lldP//yehZ//pdxH//clsC//yhdX//waaF//sixA//codA//rnb//yafQ//cysS//trkA//yejB//shiA//sapA//sanA//narI//sfsA//yiiE//ygdG//lptA//nrdA//chbF//lyxK//eutK//tdk//tmcA//msrQ//sufS//rihB//secG//mgtA//nrdH//insA-2//dppB//tag//ybeY//speA//rffT//yafQ//opgE//yhbS//
GO_0006082_4	baeS//nrdB//glyS//sdiA//thyA//tktB//artP//ortT//ydiQ//atpG//hpf//argR//yiaL//maoP//mgtL//purB//mglA//garR//plsX//atpD//orn//mreB//uidA//phnN//uvrC//dicB//galE//dsbC//livH//yjcS//lsrB//ibpA//rseB//sdhA//ybaO//frlC//rfaE//glxK//uidR//casA//mglC//yqiH//pitB//ribD//wcaJ//ndh//xapB//wzzB//era//alsC//recB//appB//wecE//trmI//phoQ//ribF//ycdY//nrdD//cspI//ribF//rzoD//ung//yajD//yjjI//ydiO//relA//argD//trkA//yraR//cydD//fdhF//frlB//abgT//ffh//gcvT//frlC//ribB//tsr//yhjA//katG//basS//sppA//ygjH//secA//eptC//appA//yiiD//lipB//yejA//gspF//udk//paaC//hldE//yafQ//mppA//fliL//ravA//rfaE//treB//narW//lpxC//mutT//ybdZ//elfA//lpxC//lpxT//nirC//mdtD//mdtE//mcbR//ushA//exbD//map//ydiO//sufC//livH//hycB//ibpA//corA//hpt//dnaT//sapC//rhaS//cas3//rlmC//tdcA//recD//chaA//arnF//rnd//pcm//ubiC//argO//surA//etp//cfa//rsmF//alsK//treR//nadA//gltL//hemC//yqeG//flgC//cusA//fmt//elaD//hemF//panF//ypdA//rpsI//rpmA//cusR//mtfA//roxA//insI1//yedP//pabA//mltB//bdcR//yecS//mazG//ydiB//clpB//mngA//rfaE//orn//fabR//accD//hxpA//fur//phnL//aidB//wzyE//ghrB//dut//rffH//wzyE//rlpA//glgC//purU//livH//clpA//narL//fdnG//truB//rfaQ//fucP//ushA//glpK//gntR//rcsF//hflC//cysG//ghoS//ynhF//ulaG//ybjD//ascG//mrdA//phoA//insI3//rplL//dinJ//elfD//acrR//tas//pgk//iscA//znuC//tadA//tas//nanA//pppA//dinB//bglJ//hldE//wecA//tnaB//brnQ//arnB//yfeO//rhaM//yjbB//proW//fixC//rbn//agaC//rbsR//ortT//fdoI//plsC//nrdR//cytR//mzrA//yfeR//lapA//bcp//arfB//trpA//mglA//dcuS//ygaZ//zntA//tsaB//perR//ccmG//caiE//sbcB//menA//raiA//dxs//cyoE//yraR//ygbI//norW//ydeO//fadD//proX//sxy//chaA//roxA//livH//xisR//ygiS//rlmA//yggW//hisS//rpoH//higA//prkB//rfe//eutD//sufB//ispG//trkG//gsiB//fdx//kdsD//skp//hinT//rpmJ//zapC//rho//pdhR//alr//fetB//yhfS//yggW//glpT//gadB//ymjB//sgcE//bsmA//yggP//lptD//yciV//glgP//glvB//hypF//yhjG//osmY//ubiX//ppx//accA//viaA//tus//ypdF//eutK//hisG//tpiA//glyS//rpoH//ddpA//rsmJ//nlpI//ycjP//hrsA//tyrB//argB//rpnB//murD//rluB//ynbB//serB//rutC//casD//rfaE//rplE//hmp//ubiH//hxpA//recD//ilvL//yohC//rplW//ruvA//tig//rutD//ymfA//uspG//fliM//rppH//murC//nanA//dapA//psuT//yihO//speF//proP//infB//alaC//emrB//sufS//ybdG//evgA//rlmA//avtA//rph//rayT//oppD//gatC//bglJ//lrp//opgE//sucD//tdcB//livK//eptC//pgpA//ibsC//yadV//sapA//ftsX//cysM//mreB//flhA//afuB//yjiX//norW//uraA//pykA//mutY//paaC//proS//lpp//torR//glsA1//cobB//livG//galM//obgE//proP//yjaZ//mutS//pstS//patZ//clsC//citC//tehB//lgoD//argO//alaE//amiB//ddlB//sufC//yadG//satP//nrfG//shiA//alr//cobS//argE//frvB//ssuC//dcuB//yicJ//cysM//ilvD//tktA//glpG//purN//yebZ//xylA//hsdR//ybiX//wzzE//agaV//serA//sbmC//hslV//xerD//yphC//ycjU//yqiJ//yjbG//hypF//yfdO//rimJ//valS//dtd//cusC//flhD//rimJ//mdlA//yqiH//hisP//dhaK//idnD//uvrA//tnaC//prmC//gadX//gcl//glgP//lpoA//mglA//crr//prs//ydaN//
GO_0006083_6	yahO//ompT//baeR//ybbW//pinQ//yebS//
GO_0006084_6	dkgB//degP//
GO_0006085_7	bamB//secA//
GO_0006086_8	atpF//
GO_0006089_5	csrD//dinQ//zapC//entC//argF//napB//yahD//cspE//cmtA//atoS//yibH//ynjA//elbB//murP//glgA//pdxB//ybcL//ccmA//rplK//yjfP//pfkB//rpiR//nanC//glpK//ftsQ//zipA//aroC//yiaJ//metI//
GO_0006090_8	csgB//yhjV//ybjX//ldtA//acnA//rihB//narP//atpG//ybiT//fre//ycfH//uhpT//yeiG//glcD//lptC//phnP//pheA//mlaE//glcC//fecA//lldP//hycB//manA//ttdA//yqhC//rfaD//ydhQ//moeA//rluE//mraY//ivbL//
GO_0006091_4	ybaO//ycgR//tus//trmD//yhdX//hypT//agaS//prlC//cysD//nlpE//afuC//rayT//ybbW//livF//tcyN//arfB//mepH//gmhB//ydcR//cas2//speD//ampG//pflB//rlmA//mnaT//uidC//mtr//tbpA//sodC//tamA//tsaB//yfaL//ydjH//panB//hflD//trkG//folE//ydcT//fimI//pspA//atpD//ftsK//dsdA//mgsA//cutA//ynbB//bipA//argT//murB//dauA//tag//yfcG//ychF//entD//sugE//qseC//wrbA//dacC//tusE//pgl//metB//rstB//ghxP//solA//tatD//prmA//fic//ynhG//nfuA//yjhP//ynbD//emrD//waaC//astC//yjcO//sdaC//secM//dfp//kdpF//rpoE//hslO//viaA//napB//yjiM//rfaE//gppA//bluR//rhsD//bioD1//pstA//flgK//uxaA//prpB//hcaR//rlmD//sgrT//lldR//aceB//ldtD//arfB//nagE//sodB//murR//nadD//gpp//dinB//btuD//accD//epmC//yddA//fbp//birA//
GO_0006094_7	sapF//adeD//mreC//yqaB//exoX//murJ//zraR//yqeG//mrcB//rplO//
GO_0006096_6	secA//parC//agaB//gspI//yhbX//cydD//bglX//yafE//yajO//yqgB//fepG//dkgB//ybeF//manX//rrrD//fnr//yciF//purF//
GO_0006097_5	hypB//lrp//yfcQ//kgtP//arnT//
GO_0006098_6	ivy//alaS//pgl//zapD//yafQ//
GO_0006099_4	frvA//uvrY//rpsJ//dpiA//fabB//cspC//pgsA//nrfA//yfdS//fimB//malX//yfhH//mutL//ygeA//torI//tolQ//gntR//
GO_0006101_6	rfaD//kdpD//icd//yfbR//tyrS//nagC//rtcR//cdd//rpsB//mngB//yoaA//malK//rluB//malG//ubiC//ybdG//ubiG//
GO_0006103_5	ispB//sfsA//sbmA//
GO_0006104_6	rlpA//tusE//iraM//
GO_0006105_5	lasT//guaB//bdcA//leuC//lysS//parE//mrcA//sgcE//
GO_0006106_8	hypB//
GO_0006107_8	alaA//
GO_0006108_8	dbpA//clpX//rmf//hslU//ldtB//
GO_0006109_6	srlE//hybF//fnr//wcaC//ung//ubiA//gcvA//nrdG//deoC//
GO_0006112_5	csgE//ligA//melR//rpsI//rbfA//cheZ//ypdI//ygcW//
GO_0006113_5	fepD//araF//phoU//pliG//ybeY//yjcE//hprS//ftsI//rtcR//ybjD//nirB//metB//sucB//
GO_0006115_6	nikB//
GO_0006117_5	srlE//
GO_0006124_6	lpoB//
