#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	caiT//roxA//ftsB//xylB//
GO_0001514_8	uvrY//
GO_0001522_7	menB//ppsA//lysP//uxuR//betI//sapC//shoB//recE//fabB//opgH//yhaM//arnA//gatA//
GO_0001539_4	pck//stpA//ybhJ//folX//cdaR//glmS//amtB//yiaB//yehY//ydcO//cysA//agaA//rluD//trmO//tcyP//bcr//ynhG//rsmB//hyfC//hyfF//pgpA//yiaB//yfiC//mukB//yaiW//yeeY//glpD//lptD//ubiC//tatB//galU//
GO_0001558_5	alsB//hiuH//priA//yiaT//ribF//lysP//mscK//hcaR//
GO_0001561_6	fecA//
GO_0001666_4	ypdB//
GO_0001676_6	uvrC//rutC//yegV//
GO_0001680_11	rarD//
GO_0001682_11	sulA//
GO_0001731_7	purR//
GO_0001762_6	alsE//
GO_0001887_4	recB//pspC//sulA//
GO_0001896_5	yjhI//srlB//ilvI//ydjH//
GO_0001907_5	mlaC//tag//caiB//lipB//
GO_0001932_8	recC//oppC//
GO_0001934_9	adhP//
GO_0002047_6	basR//yhhZ//
GO_0002097_8	ydcR//yibH//ndh//ybjC//rfbB//yfjR//yeaK//sufE//chaA//ssuE//cysA//sgrR//hscA//ldcC//fecB//mnmC//mdaB//metE//fabB//
GO_0002098_9	narV//cusR//paaJ//rihC//gadC//pspC//bcsQ//mqsR//ghxP//aldB//rpsJ//hokB//bioP//
GO_0002099_9	prpR//aaeA//
GO_0002100_9	hybD//
GO_0002101_9	ampE//aroA//
GO_0002128_7	nei//yqcC//tktB//lgt//
GO_0002130_8	fbp//
GO_0002131_9	mtgA//
GO_0002132_9	sodC//
GO_0002136_10	nagZ//
GO_0002143_9	rclA//ybdG//hycB//araA//yidH//dcuA//
GO_0002181_7	hupB//mrcB//
GO_0002183_5	nagC//
GO_0002184_8	ydaC//
GO_0002188_6	cheB//
GO_0002190_6	rimL//
GO_0002192_8	yihW//
GO_0002252_3	rarA//prs//hycB//relE//ftsW//fliA//fucI//ahr//suhB//allR//
GO_0002790_6	yfhM//tolQ//ynaE//fieF//trmB//mtlR//atoS//
GO_0002937_9	rplQ//
GO_0002938_8	mdlB//
GO_0002939_7	efeO//
GO_0002943_8	carA//
GO_0002949_8	ttdR//yidQ//ybiT//ybdO//
GO_0003333_7	essD//eptA//yiaU//dmlA//pth//shiA//yjjI//lepB//yibF//hisG//mnmE//msrC//sxy//rhaB//envY//rsmG//glnD//argA//umuD//speC//ycjR//pepN//gpsA//yciV//gsiB//hycB//chbC//yjiR//relA//trmB//holD//uhpC//glpD//dgcM//yfdG//rseP//rplQ//tdcB//elaB//wzzE//nfsB//ibsA//fepG//flgD//phnH//fetA//hflD//waaS//sbmA//
GO_0005975_4	eptA//hcaC//nlpD//rpsT//sapF//ynfF//caiT//rdgB//arnA//fepB//dctR//dacB//purR//ybhG//dinQ//ybaK//yacG//sohB//ygbN//fimC//ftsI//kdsA//hybO//ydiB//trkG//sgrR//clpS//essD//rbn//ybcM//rnlA//secD//rpoE//mngB//maa//nfuA//sdhA//glpR//agaS//hypA//glgX//frsA//dgt//dmsB//tusA//ligA//kch//glcC//flhC//hofO//hofQ//gltB//yadK//rluD//lolB//menE//mmuP//mhpC//srlA//fliS//argF//umuD//lpoA//dxs//cysH//glsB//zraR//tyrB//dld//cydA//fdhD//lysO//caiB//cas3//flgI//ypdB//paaK//gntP//cadB//cysG//rutE//paaG//bioA//torR//cobC//rseP//lspA//yjbE//phr//mutT//qseB//ccmF//chaC//tyrB//rsmI//yebG//abpA//dctR//srlB//hofP//chaC//frc//mdtP//xapB//yafC//cusR//potG//prpC//raiA//rfbD//nac//prfA//mocA//mdtC//opgH//phoR//rluB//gabP//ldtD//lptF//yeeA//prlC//ansB//murF//metF//fdhE//trmH//metH//phnP//yghG//wcaC//yphC//infC//dnaJ//waaO//znuC//der//tabA//yhaV//yfbR//yphB//hisS//rsmG//ydiB//ompC//uvrB//cpdA//fes//allD//rppH//mrp//gadE//birA//bioA//narZ//lon//ibsA//ftp//mog//glnA//ybdN//potF//gltK//cbl//maoP//fdrA//yhhZ//fdoG//rpmH//yfaV//yadN//yhjR//gltL//ynbB//gpr//fixC//rne//yihR//yafE//acrB//argH//hemB//xylR//ubiD//raiA//trmJ//murB//atpF//brnQ//dhaR//citG//nrdD//garD//lacY//arnT//nikD//caiE//soxS//ycbX//infC//pldB//cspC//hisA//yqeA//ybhG//perR//mrp//atpE//hcaE//atpH//lptA//abgB//yhcF//ybiI//mipA//opgG//ygjH//yfaU//trmJ//murJ//ybgI//yqaA//gapC//hyfF//rlmL//solA//purB//mngR//glgB//nanA//cbrC//ybiT//cbtA//arnB//asnB//rlmD//hypD//yfcU//argH//hycI//rne//manX//rfbX//mog//dhaL//sgcC//narP//dkgA//ybiJ//pnp//nagK//srlR//frlC//puuR//
GO_0005976_5	gudX//cecR//yfeD//sbcC//hslO//rnlB//mlaE//rplE//mraY//xylF//ybhF//ygeX//sdiA//rpsL//crp//cheB//ymjB//ydfH//ydiK//fadB//yhaO//purT//yeeJ//mltG//uspC//ptsN//rdgC//csgE//yjhP//hyi//pinE//rfbB//nei//uxuB//ppx//dgcZ//accB//casC//hdfR//rmf//ptsG//priC//alsE//fliS//bioA//yojI//ydhK//proP//minE//hypE//yjhH//yqeG//norV//ygfA//dpiB//nemR//pykF//fliD//ydcT//
GO_0005977_6	rlmJ//recJ//ilvM//pta//satP//mppA//galU//mltA//
GO_0005978_7	nadK//prfC//ycgB//rpmB//
GO_0005979_8	acpT//
GO_0005980_7	fryB//lepA//appC//
GO_0005981_7	alsA//
GO_0005984_5	ssb//uspC//ycjP//ynhF//lipA//nupC//ypjD//tdk//gspE//fepE//tabA//
GO_0005985_6	fliL//
GO_0005986_7	ribB//
GO_0005988_6	glnH//nhaR//
GO_0005990_7	yeeA//mliC//
GO_0005991_6	fmt//yeeJ//fhuC//hdeB//map//
GO_0005992_7	speE//moaC//
GO_0005993_7	yehX//dgcJ//ftnA//
GO_0005994_6	tgt//
GO_0005995_7	lysC//
GO_0005996_4	lolB//moaC//yihW//yjbF//yqiH//ibsA//gpr//serS//iap//ydeT//ravA//mscM//cpsB//yicJ//lysP//ypdA//glcA//mltF//hda//rhtB//uidR//ybhR//waaG//dgcQ//ydcT//yehB//sapC//rsuA//ycjR//bglX//yidR//basR//nikD//ftnA//kefC//cysB//ycaO//ldcC//ynjA//ubiH//ybiA//glnD//ykfM//clpP//ruvB//epmA//fliG//xisE//mtgA//xisR//speE//mutL//minE//dcuB//pyrL//ldcA//rpsE//hemH//hemE//dppA//ynfL//yihI//metQ//ilvC//pspF//arnF//nagZ//rpnD//rimK//nei//cusR//ilvL//yiiE//oppA//yjcS//hypE//yihI//fruA//yehU//araD//fepG//lrhA//
GO_0005997_6	btuE//
GO_0005998_7	galE//
GO_0006000_6	umuC//ibpB//hemA//
GO_0006001_7	ydiR//yhcD//
GO_0006002_5	ydeT//dmlA//fadA//
GO_0006004_6	nrdH//aroD//frvB//leuC//menF//mazF//
GO_0006006_6	lnt//aes//bglB//opgE//ygbL//yfiR//flgC//tehA//casA//dusC//thiC//amyA//yeeY//cca//pgk//hemG//nimT//mgsA//cydC//speD//erpA//rplT//fruA//
GO_0006007_7	yiiD//glnH//nfo//
GO_0006011_5	recE//
GO_0006012_6	eamB//ykgO//acrA//opgB//mgtL//rsmD//emrK//mdtL//rmf//
GO_0006013_6	nmpC//avtA//
GO_0006014_6	wcaB//yedL//rhlB//
GO_0006015_7	hybC//ypjD//
GO_0006020_5	cadB//
GO_0006022_5	aroB//idnO//caiE//radD//ugpC//agaC//hha//cobU//ybcJ//gnsB//ilvE//mdlB//uup//ybbW//yjtD//nrdF//yaaU//mgsA//deoD//ghxP//fur//fimI//iscX//ycfH//ldtD//cobU//glpT//umuC//fsr//folC//ybiA//mcbR//iscU//ybaM//sgcB//accB//preT//rimL//plsB//alsB//alsB//rimP//baeR//priC//ycdY//secA//lapB//ldtB//argI//hisB//gntU//malS//yqaE//guaA//mntS//pyrB//yahD//fimF//yjaZ//galP//xapA//atoC//recA//
GO_0006023_6	nsrR//rrrQ//acpT//recA//ibsD//sfsB//fabZ//speF//dinD//argK//yfeD//yegS//yfdR//yaiP//cobC//hisM//ybfA//abgT//tmk//rpoH//matP//ydbK//dgcN//motA//ptsH//ydiR//ppsR//dacC//ubiA//agaI//hflD//yehW//yihI//htrE//yeiG//bisC//menF//dctA//ccmF//
GO_0006024_7	dsbB//nirC//hcaF//fkpA//fabH//secG//yegS//ampH//dppD//ynjA//fnr//tsf//yihP//clpP//dcuA//gntP//dgcJ//ycjY//ascB//priB//gntP//rimK//yiaN//intZ//uup//cyoD//ydjE//potG//fryC//gspF//waaH//der//nsrR//gstA//uspG//dadA//recJ//fic//dapD//
GO_0006026_6	smpB//hslV//pyrB//yneJ//hldE//rapA//yidD//yjiY//araE//setA//
GO_0006027_7	ftsE//artP//fdoG//ghxP//thiL//ppsA//rplO//guaC//intE//insA-1//
GO_0006040_5	zraR//glgP//yhjD//rtcR//msbA//yehA//topB//ygbM//thiI//preT//hybE//yheT//yfaU//iraP//rnt//hycB//cbrC//
GO_0006044_7	ulaE//oxc//yhfK//lacI//gatZ//
GO_0006046_8	efeO//mglB//tpiA//lolD//
GO_0006047_5	nirD//rutC//panB//uhpT//tdk//iscR//kefB//
GO_0006048_6	sapB//yagJ//dcp//waaF//rpmE//fryB//
GO_0006050_6	aas//
GO_0006051_7	cueR//
GO_0006053_8	entF//
GO_0006054_6	narQ//puuD//bssR//lpxL//gmd//arsR//gmd//
GO_0006056_6	cpxP//
GO_0006057_7	panC//
GO_0006059_6	mnmA//ribB//trpS//yafQ//
GO_0006060_7	sfmC//
GO_0006062_8	hyfA//
GO_0006063_5	hisB//yfeR//yggF//insK//aaeR//nei//mglA//gpr//cyoA//
GO_0006064_6	fdnH//fabG//moaA//rstB//entS//glcF//
GO_0006066_4	cytR//clpS//rsmG//yahF//gpmM//mutY//lpxD//mppA//fbp//norV//glgS//trpS//udk//prpC//yagJ//ulaF//prc//nadA//ibaG//thrL//baeS//mlc//rpnD//nemA//ada//feaB//ltaE//yihQ//nuoI//pflC//fruA//hslU//
GO_0006067_6	rapA//sufC//yafN//
GO_0006071_6	pykF//amiC//norW//iraP//cbeA//trpL//pyrE//
GO_0006072_6	dnaQ//flgH//rsuA//yfcU//aroD//
GO_0006073_6	uidC//envR//ghoT//insI3//idnK//yajO//higA//tyrS//ansA//flhE//ydfH//adhE//znuB//dmlA//rseC//baeS//sutR//relE//panF//fbaA//
GO_0006081_4	ygbN//rbfA//yphC//cobS//aaeR//rluB//ypdF//rimI//ybhF//yfcQ//cas1//cadC//polA//asnC//adiA//phoA//ykgO//tpiA//galK//ygcO//yaiW//yciV//glpK//ptsG//yhaM//nanK//insA-2//yjfP//nrdE//murJ//waaF//acrA//ycdX//chbG//ggt//ubiF//tmk//entE//hcaR//tnaC//nfuA//rpsQ//mdlB//plsC//galS//mglB//ydcI//lpxB//chiP//fliA//pspA//yjbH//kefC//chpB//entS//pgsA//sgcB//insH-5//fabR//fhuD//mlaE//tabA//rzpD//ilvD//tonB//rluB//lptE//
GO_0006082_4	cynS//glcF//pta//ycbV//adeQ//cobU//ahpC//lysU//cobS//iap//opgH//casD//ydcZ//phr//rnc//rffM//putA//sapC//amiC//ybaL//yhbS//dgoT//fadK//hemB//ydiZ//mcrB//rrrD//gadW//frlB//lpp//rplY//ydjJ//lldP//yidH//kefG//lnt//ydiZ//ybiI//fcl//ssuC//groL//frwD//gluQ//rplT//fhlA//poxB//ydjE//gor//umpH//pabB//ynfL//fabZ//ribC//argA//yhbS//nadD//dinB//treF//cysN//tdcG//fklB//gsiA//nanA//rbbA//lpcA//mntP//spy//yeiE//evgS//nhaA//oxc//cbrA//rtcB//pdeF//tynA//mutY//uhpB//chbA//ccmC//arsR//clcA//ynbB//cueR//lipB//thrB//opgD//deoR//ilvH//opgB//hcaR//rlmC//mepM//ssuC//evgS//recA//murA//ghxQ//eutR//glnD//rrrD//eutD//acrE//yceO//murR//metN//fliL//fadK//elfD//rihA//ybjX//kdsD//ssuC//leuB//agaS//btuR//pnuC//rplL//parC//ydfH//plaP//sdhA//araF//idnT//ybhG//crp//queA//pgpB//rof//cysE//rfaE//pyrL//rbn//cspG//yfhM//tnaA//srmB//tsgA//yhbQ//gloC//dedD//rluD//recC//paoC//gshB//frmA//yehC//yfbS//frwC//ygiS//pldB//ybaT//dgcT//tbpA//serC//yecS//mrr//gspE//queA//yceK//upp//aroG//proX//gmk//nsrR//tufA//yafC//galU//rsmF//acrZ//lpp//sapF//tnaC//ftsN//mcbR//sgcR//ygeW//ttdR//chaA//rbsR//rpsI//osmY//nfo//rpsM//rclB//thiI//rhaT//yiaO//hscB//yifB//yafS//dinQ//leuA//cspA//dnaT//ychO//recJ//glnK//scpB//yhcH//nrfA//glpB//mreC//dicB//mdoD//hemL//rdgC//lpxM//citX//rpiA//rhtB//hyfR//dapD//elbB//yhbX//yghB//thiI//fumA//holD//mgrB//gltX//yieH//rseB//envZ//purT//aroF//mqsR//yciH//cusS//yihW//sufS//ydcT//tehA//hisH//yqjI//glpD//pgaB//ynfE//dcd//pcnB//pal//rbsC//hemN//prpR//fimF//trg//gmd//dut//lgoT//yccX//rplR//ybcM//yjhC//ygeX//yaaU//agaD//yeeA//srmB//rpiA//purB//kdpB//gspJ//dgoA//rcsF//ppiD//gntU//yhjC//ygfA//glyA//hdeB//pgaD//dmlR//ychH//tnaA//yqcG//rpoS//cysU//dinG//yafE//fryB//emrY//asnS//gppA//gpmA//yjcO//pyrG//frdD//yrdA//argK//nikE//aroG//sapD//ftnB//mlaE//zwf//folX//hofN//dicC//gnd//flgG//fepG//gntP//narV//yjiY//ogt//lnt//ygeX//mngA//smpB//ybcL//mepS//yhjD//rpsQ//sgbH//caiB//rcdA//essD//pdhR//mltA//hflX//ybbW//dtpC//ssb//ogrK//ybhI//slyA//ivbL//purU//kilR//nmpC//clpB//nlpI//dusB//mdtJ//hdfR//sodB//mglC//guaD//dsbD//ybiO//evgS//ampH//yadI//ftsP//dgcN//idnT//yifB//waaH//sgcB//bdm//yehW//bepA//panC//kduD//sapD//dgoD//ompN//ygfX//lipA//deoD//nuoI//yhaM//idi//nepI//relE//prmC//iraM//csiD//waaL//rsmA//dcuR//ykgO//yhaO//potE//rplR//yqeF//ais//yebQ//fliS//tnaA//mutL//aaeA//intS//pagP//yeaV//carA//glgX//cmoB//yidE//rfbD//paaX//narL//rpnA//entB//rho//pgaB//aceF//ftsI//argE//ydeP//rsmH//galF//ynaE//caiE//waaG//yehD//rutG//ygcR//nuoN//iaaA//csgB//ybiS//uspE//rffG//yjiQ//arnD//hscB//lhr//bioB//rzpR//feoA//casD//xisR//fryA//polA//argS//ispH//ssuC//araF//yiaM//znuC//birA//ghoS//nfsB//kilR//envR//mreB//paaX//nei//gltD//ybhG//rnhB//caiE//kup//tamB//amyA//ymgF//yohD//wzc//potI//cusA//bssS//tauA//pdeR//malF//nlpA//argC//mltB//csdE//ymjB//rlmB//
GO_0006083_6	envY//narW//mrdB//cyaY//groL//atpA//
GO_0006084_6	bssR//dusC//
GO_0006085_7	uspB//livM//
GO_0006086_8	acnA//
GO_0006089_5	dnaQ//metB//kbaY//bhsA//mmuM//ynfE//fepE//tsgA//cysH//agaC//yigL//mdh//ydhC//dinD//fmt//bssR//sbp//ubiC//argO//tqsA//rlmH//ghxP//lldR//lgoD//fieF//trmD//xanP//lpxD//yihI//
GO_0006090_8	speB//thiH//gpmA//yfcV//hycI//yhiM//rpsL//alaA//sapF//uvrD//btuR//fimH//nei//lpp//hns//hscB//secE//polA//cyoE//hisS//fabD//paaA//cpxA//yaiW//asnA//hslO//thiH//agaS//def//bioP//rsmE//
GO_0006091_4	pgi//manA//cpdA//zipA//pspF//gpt//matP//yfcV//appC//ilvI//fdx//metQ//yedL//proX//yfbV//rlmL//yidH//gmk//pal//narY//htpG//rbsC//dxs//plsX//ibaG//hdeA//rpnA//rlmF//glnE//ybjL//mdtD//rlmG//mnaT//ibaG//moeB//mocA//hdeA//tag//xapR//dsbG//cueO//rppH//rnlB//ynhG//cirA//eptB//glnE//ftsA//mcbR//rseC//rplR//frwB//miaB//cecR//pdeF//msrP//yfcP//phoU//pgaC//ybcF//bluF//ccmC//ydfH//rsmH//chaC//rutR//lolA//yieK//gntU//manZ//treC//metB//nfuA//dacA//yahF//queD//fepD//selD//tnaA//mlc//comR//bglA//tcdA//yieH//fpr//truD//malI//gstA//gatY//aceA//carA//tas//eutR//yneJ//mglB//aaeB//adiY//leuC//cysI//zntA//dfp//macA//speB//yneJ//atoB//prmC//opgH//mdtP//glpB//gltS//shiA//argR//
GO_0006094_7	fhuF//argD//hyfR//fryA//ygiV//gntR//cvpA//rnc//cyoD//kdpF//
GO_0006096_6	cynS//gadA//yghB//sbcB//atpA//maeA//speG//mltG//ygfA//hyaB//secM//ykgA//rzoD//pcnB//erpA//ybcF//yoeE//yggN//
GO_0006097_5	sixA//ispA//appY//atpG//mltD//
GO_0006098_6	uidA//dedD//glxR//galE//rzoD//
GO_0006099_4	hcaC//ibsC//yhaM//ydcO//garD//hemB//ortT//casB//yiiE//uvrA//yiaM//nikA//ynfE//cdaR//ttdT//mdh//proW//
GO_0006101_6	ygaV//scpB//slmA//yebC//fadR//yafN//cyoD//yiaA//dtpD//exbB//mdtC//yodD//tusE//ssuA//mepA//carB//grpE//
GO_0006103_5	nemA//holC//puuC//
GO_0006104_6	yfjR//nth//mzrA//
GO_0006105_5	lipA//ydiR//dedD//yigL//adeP//iscX//phnK//mazG//
GO_0006106_8	allD//
GO_0006107_8	ygjR//
GO_0006108_8	ybiV//fur//iraM//holD//yneL//
GO_0006109_6	phoA//yagG//ydiP//ssuB//uhpB//nlpD//araC//mgtL//puuC//
GO_0006112_5	tdcR//nagE//atpF//zwf//yohC//ydcR//acrZ//citE//
GO_0006113_5	acrB//yceK//livK//mtn//prpR//yqiJ//sbp//caiF//lolA//ybdO//fucI//kdpB//frdC//
GO_0006115_6	ydfK//
GO_0006117_5	mqsR//
GO_0006124_6	ruvA//
