#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lldD//hypB//gstB//pabC//
GO_0001932_8	rpsH//acrF//
GO_0001934_9	yacG//
GO_0002047_6	yeeJ//ynbB//
GO_0002097_8	leuA//yebK//purR//rhlE//entA//dmlA//glnL//dcp//bamC//yjfP//nemA//allD//ybiO//yejB//nanA//ycfJ//pepT//nikE//yihV//
GO_0002098_9	nemA//alr//tsaC//trpA//dacB//arnA//ilvI//insI-2//smrA//slyD//rhaM//guaB//pntB//
GO_0002099_9	yrdA//dxr//
GO_0002100_9	ybbW//
GO_0002101_9	hisD//ompL//
GO_0002128_7	tmcA//yfiR//ldcA//yehT//
GO_0002130_8	erpA//
GO_0002131_9	cobT//
GO_0002132_9	ydaV//
GO_0002136_10	cmoB//
GO_0002143_9	yeaV//tsaB//higB//dinJ//dgoD//elaD//
GO_0002181_7	hprS//dgcZ//
GO_0002183_5	tpx//
GO_0002184_8	mrcB//
GO_0002188_6	nusG//
GO_0002190_6	mglC//
GO_0002192_8	ybaL//
GO_0002252_3	tdcR//gudP//mutT//yrfG//pth//yphC//yiaU//rpmH//gudX//lpxB//
GO_0002790_6	trmH//yjjU//rluE//tbpA//wzzE//waaO//seqA//
GO_0002937_9	sucB//
GO_0002938_8	yfeW//
GO_0002939_7	dhaL//
GO_0002943_8	yebK//
GO_0002949_8	gadX//astC//yafS//ycaO//
GO_0003333_7	dnaC//tnaA//xylR//nikA//gadC//sthA//uacT//casB//fruB//mepA//speE//nrfC//ybhD//livF//degQ//ibsA//ygaH//opgE//udk//ribD//lpp//msrB//yjhH//panF//malE//ybjC//wcaB//ygeV//secM//sgrT//cobU//ibsB//fimH//cbrC//mak//oxyR//mscK//arcA//pdeH//casA//pyrH//yiiE//metK//mug//cysH//pdxK//cobS//hyfF//xseB//
GO_0005975_4	mreB//ampE//panB//nanE//fabR//dsdA//elaD//yefM//lon//rutA//symE//purA//gatA//recC//yqeG//ftsZ//ybaK//allS//yejE//uxuB//rutF//sulA//uspE//rzpR//insA-2//rng//yhjC//ybdZ//rzoR//waaH//ompN//yqiJ//chpS//gluQ//sufC//alr//djlC//cbrA//yehP//ubiH//ydaC//xylH//rodZ//argI//adhE//agaB//yidH//ynbC//cueR//ygaH//tar//leuD//torS//opgE//hemG//pepA//yhjA//tdcE//hsdR//rffM//phoR//gltL//fdnH//moaD//ygjK//rihC//fadJ//phoA//surE//elfG//mdtJ//ybcM//metQ//ybjD//glxR//cdd//yidC//yqaE//yfhH//galU//ccmG//tnaC//cyoE//nemA//arnF//ydjJ//dhaR//rhaB//sgbH//arsB//rutB//waaC//slyA//nikD//speB//yrfG//ycdX//stpA//waaJ//rarA//folX//yajD//nuoE//lgoR//ycdX//add//nrfA//ribD//msbA//oppD//rbsR//garL//ascG//fhuF//entH//relB//garK//trpS//yijE//fbp//emrB//epmA//lldP//rspB//trkG//crfC//hisG//fabZ//ynbB//chbB//ygiW//mgtA//crp//psuG//frlA//yqcG//osmF//gutM//leuE//ldtC//tdcA//dnaG//ftsE//arnE//betT//gabP//ygiV//gstA//katG//grxD//dhaM//trmD//ycbV//uxaB//fadB//mppA//uof//rpmA//tauB//fliZ//tyrS//tmk//xanP//mnmA//yiaB//eptA//rpsG//csdE//bioD2//btuD//mtn//flgC//yjhB//fruB//yahK//hfq//xapB//mutT//ilvD//scpC//rayT//gpmA//yoeE//helD//metL//yidL//pagP//gnsB//kbaY//glmU//entA//queE//lptF//rplF//rutE//copA//argS//mfd//nrdB//nagB//insH-6//slt//purF//fdhF//rfbB//leuC//ygiS//basR//yjhG//eutN//pdeR//pgrR//pspD//rimK//yihU//dcuC//thiM//sgbU//intS//betT//rpoS//pheM//nanE//dgcQ//rutD//ygcR//feoB//ydjE//tabA//cysQ//yqiH//ribF//nemR//yraH//cecR//sufE//yadM//moaD//yrbG//yeaG//rpmA//polB//ascG//hcaR//suhB//zapE//putP//yqiI//clpP//rplP//csgG//uvrY//gcvT//kefF//
GO_0005976_5	alr//livM//cpdB//rluA//tag//murJ//yjiA//sgbE//mutM//rusA//glnS//mngA//trpR//gatA//ybcL//csgE//pdxY//uhpA//afuC//yfcR//lptD//purL//adeD//yihO//yajQ//flhA//glnH//hcaR//purD//codA//ykgA//nikA//mliC//selD//pbpG//slyA//yobF//yaiV//ilvA//casA//aroH//acrR//pgaA//bioF//fsr//nrfE//cysM//hyfF//frvA//sfsA//fhuC//frmB//fhuF//yebS//sulA//ydeT//waaZ//yohC//trpC//
GO_0005977_6	umpH//pspF//sanA//efeO//opgH//rplR//arcB//fpr//
GO_0005978_7	yibF//galU//kduD//yeaV//
GO_0005979_8	uof//
GO_0005980_7	moeA//eutR//yhdW//
GO_0005981_7	lsrK//
GO_0005984_5	nudF//torZ//cheB//birA//sufB//basS//ycjD//hycH//lasT//dsbA//trpB//
GO_0005985_6	atpA//
GO_0005986_7	rhaM//
GO_0005988_6	rcsD//abgR//
GO_0005990_7	ydbD//araD//
GO_0005991_6	cadC//sgcA//yidP//pepN//yehA//
GO_0005992_7	iscU//nrdR//
GO_0005993_7	yhdZ//infB//ybjI//
GO_0005994_6	cyoB//
GO_0005995_7	yqiI//
GO_0005996_4	truA//proW//hdeB//rpsT//zapE//rplC//paaD//rcdA//tgt//ddlA//argK//nhaB//araF//nuoL//arcC//rffT//thiP//adiY//yeaK//csgD//csgD//adeD//gadB//truB//ydhQ//glgX//yqhD//clpP//rpsM//ygdG//ldtC//xylH//sapF//cobC//dnaN//mngB//rpnA//acrF//iap//pntA//insI3//panB//nmpC//iscU//gmk//folD//prpD//prkB//prmC//rsuA//rutF//cytR//guaD//folM//yhdW//mdh//endA//modB//wzyE//rlmB//glsA1//cobC//araA//wecB//pyrG//ugpE//dauA//msrB//kefF//ftnB//plsC//malE//alsK//rsmD//rfaQ//hemN//hxpA//dgcM//insI3//yieK//arsB//nanT//
GO_0005997_6	waaP//
GO_0005998_7	yehX//
GO_0006000_6	frwB//dnaX//dtpD//
GO_0006001_7	nlpE//dtpA//
GO_0006002_5	ldtB//lpxK//hcaB//
GO_0006004_6	lacI//manA//tcyP//xanQ//diaA//yfgO//
GO_0006006_6	hexR//ybcC//tnaB//fnr//treF//uacT//rfaD//galE//ydiZ//potC//tar//rhaS//nmpC//uxuR//mraZ//dcp//malK//sfmD//torY//yeaD//yeiE//yhdJ//bepA//
GO_0006007_7	fliZ//bcsQ//dgoA//
GO_0006011_5	surE//
GO_0006012_6	csrD//yfhM//hupA//ydiO//proW//nuoB//exbB//recA//ybbY//
GO_0006013_6	argT//prmC//
GO_0006014_6	aaeR//eutR//queC//
GO_0006015_7	yphC//rpoD//
GO_0006020_5	tehA//
GO_0006022_5	ldrB//dnaA//tusC//fadR//ispA//yjiQ//adhE//yhhY//btuD//rpsK//tdh//asnA//btuF//yjiM//yehY//yaaA//yhaC//sgcC//dpiB//rnr//lolE//ada//opgB//ubiJ//menC//truA//pheM//nfuA//ybhS//yfbS//hemA//mltG//exuT//rpmG//dcd//glnH//dcd//pcnB//entS//zntA//fliK//puuD//modA//cfa//mngA//tus//ttdR//lnt//ydiF//gltD//ymdB//allC//sgbE//yraR//nirB//ybjI//murQ//lsrD//caiT//nfi//frwB//ibpB//ilvH//
GO_0006023_6	pck//ygaZ//ynfH//thiH//srlR//ubiG//prpB//uvrC//ilvC//rmuC//lpoA//rplW//yciA//nanC//cadC//ribA//hisG//yadV//bioH//cusC//dnaX//ppiC//ymgF//iscU//ycdY//waaF//metR//gltD//pspG//chbB//dpiB//ilvI//frmR//csgG//pppA//uof//mcrB//hslR//asnB//
GO_0006024_7	araF//ais//yiiM//rho//nrfA//yhaM//yihP//pepT//murQ//opgG//ivbL//sxy//yibF//lpp//ptsP//amiB//chpS//thrL//aroE//yiaO//yiaO//gudP//gutQ//ispF//pabB//yggT//yehD//hldE//yggE//maoP//arnT//ydhK//uraA//hprR//mlaF//hmp//thiC//flgF//btuC//
GO_0006026_6	mlaF//hpt//pta//ydjJ//argD//ybdG//thiD//agaW//ugpE//ssuE//
GO_0006027_7	radD//ydcZ//ybeF//rlpA//menA//asnB//yfcF//rhtB//asr//ycfL//
GO_0006040_5	srlD//ydcI//amiB//maeA//mdtM//pgaD//hybC//dxs//yagU//uspB//thiD//surE//elyC//hisI//prmA//cmtA//murJ//
GO_0006044_7	yqeA//pepD//cutA//mltB//yfbR//
GO_0006046_8	nrdB//csdE//rpmJ//frwC//
GO_0006047_5	mepH//narY//yjiR//pnp//folD//tehA//trmL//
GO_0006048_6	rutD//deaD//melR//rpnC//yehD//hcaB//
GO_0006050_6	der//
GO_0006051_7	topB//
GO_0006053_8	treC//
GO_0006054_6	tsaB//mepA//trmA//bglB//hflD//hxpA//xisE//
GO_0006056_6	nrfA//
GO_0006057_7	basR//
GO_0006059_6	gltI//intQ//adeD//waaQ//
GO_0006060_7	frlA//
GO_0006062_8	pdeF//
GO_0006063_5	fadB//proS//prpD//ibsE//yabI//rbsA//nlpI//gsiC//cvpA//
GO_0006064_6	entA//mscM//tusD//yciA//hybO//recJ//
GO_0006066_4	nudB//ydaN//treF//nlpE//gpp//bcr//gsiD//hcaD//ldhA//rnd//feoC//feaB//cyaA//ulaF//emrB//yibH//xthA//idnO//dcuB//pphB//pppA//srlA//treR//lexA//allB//glpT//gltK//phr//malI//rpmJ//rayT//pnp//
GO_0006067_6	qseB//ymgF//abgA//
GO_0006071_6	citX//yidZ//citT//fliA//sanA//zapB//ynhF//
GO_0006072_6	opgG//lit//lgoT//hycB//menE//
GO_0006073_6	gshA//orn//paoC//dfp//lpxM//murI//rplL//cobB//ychO//rlmJ//rlmD//phnH//qorA//tusD//yccS//sspA//bglX//thiQ//nrdE//yaaA//
GO_0006081_4	lplA//hipA//dfp//mdtF//yojI//fucA//dppA//selA//ygiW//rsmE//hycI//ompF//lpxM//mhpC//ycjD//ldcA//frlC//yaaJ//yafE//ubiC//xseA//gatD//ybbW//bioC//rsmH//thiH//puuB//pckA//yhiM//aaeB//argD//rcsC//xylG//glxR//glk//panE//xseA//pliG//narW//agaB//rpnD//nadB//adhP//priC//argS//mhpR//purR//hmp//nlpD//yjhB//ydcR//nfsB//rhoL//gnd//rspB//rna//mscK//sapA//nupG//ugpE//yjjV//yiiM//sbmC//rsmD//yeeO//ansB//tnaA//
GO_0006082_4	treF//eno//atoS//cusS//ycbX//ispH//tabA//appA//ycdX//nirC//copA//gadA//recG//dcuD//cobU//nfsB//fimE//torS//ftsE//rsmD//ligA//tus//ybbN//yjaA//cspB//hisF//fbaA//yjiY//sgbH//yfiF//flgD//cmtB//tldD//frvA//yiiD//otsA//pagP//ynfF//pspA//yjiX//hemE//ygjK//eutK//setB//lpxM//mdtK//pbpC//bioF//yjiM//fhuC//amiA//waaQ//sixA//tsf//patA//mscK//mscK//yegT//glyS//yfdK//mltB//ppiA//crfC//glcC//rpsJ//map//dusC//fumC//bipA//nudF//mlaE//frvR//nrdI//mlaB//exuR//icd//pdxA//hypC//cusR//pdeF//yadN//sixA//ldtA//phoA//cheZ//phoR//norV//sucB//fruK//rpmF//xthA//sufC//sbp//emrD//chaA//narH//yaaA//glpT//rcnR//rpsK//lolD//pphA//ydeM//aroH//decR//yibF//nuoN//ulaF//wzzB//ynfE//yjaZ//hcaC//aaeR//dsbB//ybhR//sgbU//ygiB//frvA//thiH//dfp//mtlA//serC//clpS//nuoH//dapD//hybE//rihC//bglH//tusB//malS//nagK//leuD//potD//hypD//fdhF//pncB//hybG//rfaD//yieL//recJ//ascF//yceK//lexA//plsX//cyoE//fepG//ydeI//cyaA//lptE//yqcG//ynjA//lgoR//emrE//pspC//fadH//hcaE//ibsD//corA//ftnA//pinR//nudB//pyrC//satP//chaC//cmoM//coaE//yidH//recC//cysD//yehW//ygeX//torI//garD//insH-5//lacI//cysH//mtlD//torZ//rzpD//paaD//rbsC//shoB//amtB//yheT//metG//ugpB//yejF//nepI//yohD//ndk//ybiV//elyC//sbmC//yahB//pgpB//rluD//glcF//prmA//uraA//fixA//focB//mrp//glsA1//zwf//yebG//ybeQ//focA//rclR//pgl//mfd//cpxR//bcr//yidC//ompG//dkgB//ibpA//yibA//yhdW//fliK//cysQ//cecR//fbaA//aldA//brnQ//ycgV//mioC//lapA//ynbD//fimZ//yibH//abpA//exbD//pheS//yehC//hybD//mutT//mzrA//metE//rplJ//mlaF//pgi//elfA//thiC//argH//yhaV//narU//erpA//msrQ//yoaA//rplP//ybiV//rbsC//sbmC//rzpD//iscA//waaA//cyaY//yfdR//wzb//hflK//ycbV//uhpC//ldtC//nhaA//gspE//rfaB//ychH//yneJ//mlaF//emrD//arnA//ompT//nemR//phoQ//fucK//ybhG//acpP//thiI//murD//uxuR//ilvD//mngB//intA//dacB//kdsD//galK//glxR//yeiE//borD//gpmM//ybiA//folX//rpmC//ubiD//phnM//rpmJ//btuR//htpG//mdtK//ispH//glpA//arfA//fadH//rusA//ydgA//waaC//uof//mdoG//nrdD//hipA//wecA//rfaQ//dosP//slmA//dhaM//tauD//garD//holE//yfiF//yqjH//mnmC//lplT//dtpA//rplO//gltX//yraN//viaA//pgaB//elaA//wzc//mntR//ybiS//ttdA//kbp//dusB//rcdA//gudX//rpoE//mreB//hyaC//gutM//yciV//chpB//entD//torA//rpiB//bioD//aldB//ftsB//dapA//ruvC//rppH//insI-2//recD//holB//glpX//yghB//dnaK//arfB//mreC//nusA//garP//yjbE//rpsT//ychO//wecA//aphA//alsE//treC//dgoA//glmM//norR//metN//eptA//ydiP//hda//acrD//ybiJ//elfC//zitB//asnC//selU//rpe//dppC//aslB//waaP//nrdF//ydeE//rsmH//trpL//rpoH//fliL//uspC//hprS//yibA//yfcS//rpsB//yejF//lpxL//adeQ//yagU//putP//rseC//metI//fabD//blr//waaO//yieE//exbB//pta//era//amiD//yciF//ycbB//yfcQ//yagI//rcsB//ppiD//lrp//yjbB//araF//map//msrB//fimF//ydjH//ilvH//infC//ycfS//yahF//nirC//abpA//priB//ycdY//shiA//frlC//cusR//coaD//ptsP//lysS//pepD//yqhD//fiu//pyrH//ygaH//trkG//pdeR//murJ//ybeY//dnaK//rpsQ//ribF//gloC//opgD//nanT//ybcJ//tdcF//rpmE//yqeA//rclB//ubiJ//
GO_0006083_6	pgi//trpL//sufB//fimZ//yhdX//btuR//
GO_0006084_6	lysP//ascB//
GO_0006085_7	modA//argI//
GO_0006086_8	smpB//
GO_0006089_5	uxaA//ynfK//rpsD//galS//cheW//cheY//ybjD//mazF//rplX//fruB//rpiB//hybG//pgpB//kdsD//metK//ynfH//ubiD//mprA//gpmM//dxr//endA//tdcD//lpoA//trkA//rplM//dapD//osmC//dgoK//psuG//
GO_0006090_8	ynhF//rph//nadD//ddpX//rimI//yihU//pdxB//dapD//nimR//epmA//tolR//uof//torR//ydgA//nrfE//gadE//nepI//yraN//sad//seqA//arcA//mutL//gpsA//ssuA//rplT//pepN//basS//suhB//glgA//cspD//purA//
GO_0006091_4	psuT//fimH//bglJ//ibsB//gutQ//tolQ//dmlR//xapA//dauA//dtpD//tdcA//agaB//bamA//cyoD//citX//rpmJ//glcE//proX//dinD//garL//hcaF//rsmH//kdpE//infC//ybaO//cspG//kduI//hemC//glpG//malE//ebgA//sgcR//prfB//zur//mtgA//tldD//rnt//cusR//panZ//adiC//narK//eptC//mdtO//leuB//glpD//ilvH//hemH//panC//rnlB//yadG//ggt//insH-6//yibA//cmtB//rhmD//ariR//fumC//phnN//rbsR//cdd//yiaU//ftsA//yiaF//chpB//fic//yggD//manY//ccmE//yhdX//hypT//mntP//fixA//yhgH//yhcF//betA//csgG//lgt//rfbB//rho//hypC//rplP//dgkA//rimJ//sgbE//recX//fklB//gcvP//pepD//gltL//ttdT//fmt//ybhJ//abgR//narX//ydiF//ypdA//elaB//ldhA//metB//uvrB//fimF//trmD//sbcC//dsbC//ydfG//yhbO//ybaO//trpB//cedA//agaR//eutK//lepA//
GO_0006094_7	gmhB//rseP//zntR//nuoL//fruK//yhjG//yigB//yohD//dusC//barA//
GO_0006096_6	rcsB//oxyR//moaA//ydfH//thiH//yeiG//ycfJ//pgpC//rfaG//prmA//ynbB//apaH//ftsQ//carA//argR//sgrT//chbC//tcyN//
GO_0006097_5	hofQ//dppB//ytfR//intZ//alsK//
GO_0006098_6	yajL//eutB//mdlA//ybiJ//yihO//
GO_0006099_4	yfeW//eptC//ybhR//arnT//aas//rlmD//relA//fepG//priC//mdtL//tabA//satP//ulaC//ppsA//hmp//dacA//appA//
GO_0006101_6	tamB//dapD//ldcA//ruvB//spoT//yhdX//minE//ydaV//menB//artJ//dsdC//ugpB//sulA//agaA//ubiD//chbA//ynfF//
GO_0006103_5	lgoT//ascG//mug//
GO_0006104_6	ydaC//ygeW//cheR//
GO_0006105_5	ldrB//yieE//araG//xthA//nrdF//yeaK//tatE//ulaC//
GO_0006106_8	yphF//
GO_0006107_8	yahN//
GO_0006108_8	metE//yfbS//chbA//yegV//kdpC//
GO_0006109_6	yjhB//eutK//rfaC//dcuB//rhtC//rmf//ndk//ssuE//yjjX//
GO_0006112_5	fdrA//ihfB//dtpC//nhaA//nfsB//fsr//sgbE//thiH//
GO_0006113_5	narZ//pgaA//ydeM//yieL//ftsW//insB-2//treC//hldE//ydcP//agaV//codA//rph//lptG//
GO_0006115_6	nadE//
GO_0006117_5	xanP//
GO_0006124_6	hrsA//
