#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	recA//speG//tpiA//dnaA//
GO_0001539_4	pbpG//gcvT//kduD//entF//pdeK//ybcF//yieH//fliZ//tdh//sgcE//glvC//torR//cirA//dhaK//folA//bglB//asnB//pcm//fnr//yfiF//gstB//serA//rfbB//pspF//mcrB//yiiM//avtA//kch//atpG//yjbG//focB//
GO_0001558_5	narH//carB//ibsC//yjjX//hupA//ruvC//ruvA//ppx//
GO_0001561_6	deoB//
GO_0001666_4	rfbC//
GO_0001676_6	zipA//rfaG//hyfA//
GO_0001680_11	ynfL//
GO_0001682_11	yjiQ//
GO_0001731_7	ydiF//
GO_0001762_6	alaE//
GO_0001887_4	mscM//ycjP//recQ//
GO_0001896_5	entH//yneE//mutH//oppB//
GO_0001907_5	csrD//xanP//pgaD//wecA//
GO_0001932_8	eptB//rpsK//
GO_0001934_9	ssuB//
GO_0002047_6	fadM//pheP//
GO_0002097_8	iscX//bssS//lysR//srmB//ykfI//entB//pepA//pth//ybjN//bcsA//coaE//yjbF//yigL//acrF//malP//iaaA//mrr//dcuC//ddpX//
GO_0002098_9	rffH//modC//garK//pdeR//hipB//argC//mraY//pdxB//cmoB//potI//metF//phnC//yfiR//
GO_0002099_9	ccmE//lysR//
GO_0002100_9	modB//
GO_0002101_9	ynhF//pgaB//
GO_0002128_7	seqA//curA//murI//sbcD//
GO_0002130_8	ecpR//
GO_0002131_9	fimD//
GO_0002132_9	nadE//
GO_0002136_10	argD//
GO_0002143_9	glcF//hemD//gspF//mhpT//mtnN//mltC//
GO_0002181_7	ycjY//ybgQ//
GO_0002183_5	rplP//
GO_0002184_8	glpG//
GO_0002188_6	mepM//
GO_0002190_6	tcyL//
GO_0002192_8	gntP//
GO_0002252_3	hslV//nadB//ygcR//tbpA//copA//rsmJ//flgA//gltX//kdsD//purR//
GO_0002790_6	ptsH//patD//fadR//alaS//fhlA//yhfS//mdtA//
GO_0002937_9	yggT//
GO_0002938_8	ogt//
GO_0002939_7	lgoT//
GO_0002943_8	mdtP//
GO_0002949_8	smpB//yiiD//menE//coaD//
GO_0003333_7	ybgI//yebQ//yhdW//infB//ybaO//lpoB//ribA//cysS//mntR//dinD//agaD//cysU//uidA//argD//nudB//ccmC//ypdC//pstC//dcuD//yaiP//carA//ftsN//metF//xylA//atpH//cfa//ilvC//rsmC//acnB//acnB//idnD//thiH//dicB//basR//dgcZ//marR//yfcU//degQ//xylR//codA//mqsA//srlA//gnd//xerC//serC//yafC//cpsB//bamD//zipA//
GO_0005975_4	holC//dinJ//umpG//yibT//nei//xthA//yihI//yegV//alkB//kbp//yjbB//leuD//secD//bglX//ykgM//yebQ//rseP//prmA//ddpA//ogrK//intQ//lnt//yaaJ//yjbE//rplN//ybiA//rimM//yajO//csgD//glcC//yihX//yidH//dapF//secM//exbD//frlR//murB//motA//trpL//kdpF//clcB//gpp//yjfF//mukB//blc//dcuR//cysZ//folX//yjiX//kduI//yoeB//dctA//ampH//yggE//ydiF//nikD//ycbV//narK//arnA//hcaD//insF-1//groL//rfaQ//insH-5//corA//cdsA//hisD//pdeD//rpsN//hrpA//purA//rplM//arsB//glmM//kefB//rpiB//glnA//ccmG//dcuC//tsx//ccmA//thrL//murE//yqgB//ascF//yraJ//sulA//yaaJ//murJ//alr//epmB//adeP//abgT//ppc//gspI//yadM//zupT//coaE//hprR//deaD//dsbB//topB//solA//rpsR//htrE//ydiZ//hisQ//yijE//narY//murP//gcvH//nuoL//glvB//rpoD//ibsD//ubiB//glrR//yfdS//glsA2//bfr//mgtA//iap//livM//minC//pphA//yraI//bepA//priA//ybaT//bioA//amiD//hlyE//ybjD//kduD//pgsA//cyaY//narQ//rof//araC//pflA//tauB//tcyN//rsmJ//lpxL//asnB//secY//qseC//murD//ftsZ//ytfE//rfe//rimL//yjhH//pyrB//cas1//hha//murG//nfsB//rfaF//chbF//fkpA//dnaG//rplQ//insF-1//hrpA//ycdY//allB//yddA//proS//rhtB//paaB//hlyE//gsiD//pinQ//rplF//ybhG//hisA//yiaA//yqaE//nrdB//yqjA//menF//rcsF//fadR//nhaR//diaA//uxaB//rpsK//hypD//alsC//rcsA//phnM//patZ//ptsH//umuC//uidA//msrQ//cysA//ftsA//yjhB//casD//nikB//mraY//glpA//menB//ygfA//yiaO//ydcR//citG//ypdF//trpE//ubiI//betT//tusC//yccA//yajR//rlmJ//mipA//pykA//greB//selU//rtcR//dps//cheR//rsgA//ttdR//yehU//afuB//rimL//lapB//uxaC//hfq//dinJ//ptsG//glpX//rihA//aceA//ybjC//ptsG//malE//trmL//raiA//pdeL//pdxB//maoP//hemN//btuC//glyS//hcaE//nirD//ybaE//wzyE//yfaL//ybiW//
GO_0005976_5	tcyP//zupT//murF//gloB//narX//thrA//ttcA//rbsK//potA//pntA//glpG//agaD//yiiE//trkA//queE//valS//glnE//rffT//folD//clsC//fetB//potB//hisI//fimZ//mnmG//mglC//dinD//trpS//xylG//prmA//puuC//uvrB//ibaG//purR//glsA//rnlA//dpiB//pmbA//yeeL//yoeB//waaU//purF//glpX//pspC//xseB//caiB//ykfI//ygeX//mltC//cpdB//ybiO//gltS//glpA//yhaC//glcE//yigL//rluB//yfiR//luxS//
GO_0005977_6	chbA//mdfA//yidH//paaH//yagU//flhE//yegS//cpoB//
GO_0005978_7	gudP//rpoA//topAI//rnb//
GO_0005979_8	tyrR//
GO_0005980_7	arfA//rpsM//yhdH//
GO_0005981_7	fcl//
GO_0005984_5	garR//rseC//rzpR//glgX//ulaB//hemF//glsA2//tas//psuG//mtnN//fabR//
GO_0005985_6	hcaD//
GO_0005986_7	ptsH//
GO_0005988_6	ydeI//ftsA//
GO_0005990_7	dmlR//yejA//
GO_0005991_6	mdtL//yhdJ//cmk//rutG//idnD//
GO_0005992_7	dcd//radA//
GO_0005993_7	rbfA//folP//nac//
GO_0005994_6	insI4//
GO_0005995_7	ydeT//
GO_0005996_4	hflK//dtpB//yejA//polA//lsrA//nuoM//rsmA//sucD//metF//bluF//frwB//ygfZ//idnO//mglA//proP//clcA//lacI//trmL//yeiL//deoR//macB//pdeH//rhaD//fruA//cirA//nadC//pcnB//proA//ybiY//gnd//ybaT//essD//yfcQ//tyrR//gltK//narP//yfjV//yieH//tolR//yggT//waaU//frvR//hflX//ahpC//rsfS//waaO//lyxK//ycjR//xylA//cydA//fadJ//cueO//priC//nimT//sodA//ilvM//speG//rnlB//mhpR//yegD//ssuD//rlmA//fruB//ybhF//yciV//fixC//yfeO//dinJ//pppA//rbsA//mltG//patA//hofQ//dacB//metQ//rlmH//ubiI//menH//fis//adhP//ydcR//rsmF//
GO_0005997_6	purL//
GO_0005998_7	cspG//
GO_0006000_6	mraZ//ybiA//rph//
GO_0006001_7	araD//lsrR//
GO_0006002_5	mipA//mtnN//erpA//
GO_0006004_6	plaP//dinQ//hiuH//fdoH//xanQ//yqjI//
GO_0006006_6	fcl//rluC//tusC//ykgF//aaeR//wzyE//focA//ygjR//bcsA//dnaQ//tolQ//ygjR//yfcU//bioD//xdhB//pdxY//allB//ycjP//rhmR//cfa//kdsC//yfhH//trpB//
GO_0006007_7	yfdR//dkgA//rfaD//
GO_0006011_5	mazF//
GO_0006012_6	aldA//ackA//wcaC//yjjV//argH//rplK//ansB//puuB//lolD//
GO_0006013_6	nanA//nrdD//
GO_0006014_6	clsB//ibpA//chaC//
GO_0006015_7	fabB//amiA//
GO_0006020_5	fpr//
GO_0006022_5	hisH//ycjY//zwf//hisG//mdfA//yegV//udk//trmA//pepN//lplA//yjjI//hybG//yehT//rihA//pdxH//dsbD//chbC//rsmH//ttdT//ygiB//fmt//mrcA//hybF//ycaO//ptsP//ompN//tauD//aceK//ydfD//ygjK//uvrD//sgcC//rcsD//ascB//cra//rpmC//yggE//fixB//secY//sdhC//insH-5//torI//asnA//fieF//envZ//smpB//narK//lyxK//cca//ygeV//ybcM//ldtC//sfmH//entF//rhaB//rseP//fimC//menI//tyrA//ygfX//bglH//ftsH//accB//
GO_0006023_6	yafC//glvB//murJ//udp//hycI//hslU//cirA//ydhJ//flgK//nrfD//dgt//mzrA//yeaD//exuR//yahD//thyA//ykfI//feaB//ykgM//aceB//treF//narY//dsbD//rpmE//adiC//yeaV//oppB//yigB//trmO//lhr//pgi//galK//afuB//insB-2//sgbU//mdfA//trmL//bioH//dnaN//
GO_0006024_7	ydcT//mhpT//serS//appY//ldcA//potF//mreB//nikA//kduI//iscA//manX//mtnN//ygaZ//dinI//rutB//chbG//mntR//frdD//yneL//yeiE//prc//yghW//wzzE//glgC//fryA//uxaB//amiA//ycdX//rplY//dapA//zur//allR//artP//ftsX//fadJ//acpP//dinQ//trpS//ribF//
GO_0006026_6	ybjX//gltS//yjtD//hofC//mepH//ddlA//erpA//galU//topB//narL//
GO_0006027_7	kbp//paaJ//fadK//tufB//rspB//lipA//rpoA//serS//fadH//rcsC//
GO_0006040_5	rcsC//torY//yqeG//mdlB//rfbD//yfaV//gfcE//ybdG//cnu//metQ//gatB//ybcM//argG//rclB//gltI//fic//wecE//
GO_0006044_7	nrdF//hemG//ybbN//ybeY//fecB//
GO_0006046_8	phnN//seqA//atpF//alkA//
GO_0006047_5	waaH//yhaC//rlmI//yihO//panE//gabT//mhpD//
GO_0006048_6	ppsA//baeS//moaA//cysM//trpC//ilvA//
GO_0006050_6	adiA//
GO_0006051_7	ycgR//
GO_0006053_8	ldtD//
GO_0006054_6	ribA//acrR//sucA//btuR//cydC//hisG//plsX//
GO_0006056_6	rsmG//
GO_0006057_7	tpiA//
GO_0006059_6	nepI//ibsB//sutR//ycgB//
GO_0006060_7	nudG//
GO_0006062_8	mntS//
GO_0006063_5	adhE//nikR//fepA//hybC//ymfK//cadA//ymjB//hicA//ycjY//
GO_0006064_6	kdpC//ddpA//lpxB//pinQ//yghB//nudF//
GO_0006066_4	dgcF//trkG//ccmE//pgl//pntA//hypB//narZ//lptE//msrA//potE//hypA//hchA//surA//gsiB//cusB//era//rpsB//argA//cvrA//rsmI//dedD//dsbB//flgD//chiP//rplX//fetA//fabZ//argR//yigL//frr//ydcI//pdeR//
GO_0006067_6	yiiE//tolR//dsbG//
GO_0006071_6	envZ//idi//mreD//rnc//folX//tyrR//acrR//
GO_0006072_6	ydbK//elfD//menH//holC//ahr//
GO_0006073_6	hxpB//csgE//sfmD//yhjB//nsrR//recR//lnt//frvA//rutB//ygiV//glsA2//ispH//yafO//mscL//phnG//cbl//cbeA//nusG//lpcA//menC//
GO_0006081_4	rplQ//acrR//baeS//ynaI//nikA//bioD//yjgX//fnr//metC//dinQ//pckA//yfbR//glsA//gapA//ymdB//bisC//yfdO//hscC//csiD//allS//nfuA//agaS//phoU//artQ//cbtA//yahK//elfA//gudX//ybiV//tcdA//ulaF//ssuE//nemR//astC//queF//glgS//galU//ybcM//yfhM//ykgM//glsA2//kduI//cysA//yjcO//rcsD//galR//mlaB//degQ//pstS//cas3//pepN//lolC//fadA//ubiB//argO//rcsA//manX//rfe//mak//artM//yjhG//rfbD//tsgA//mdtA//rclR//solA//chbA//
GO_0006082_4	rpiA//dgcF//ygfZ//bcr//lgoT//recC//fdhE//yieH//lysO//cadC//argC//insE-1//tadA//ydiB//feoC//lptB//leuC//cpxR//fepB//sapB//prlC//chbC//ycjW//pcm//tgt//marR//ilvE//sdhA//metF//nanK//insH-6//soxR//caiD//ariR//fimI//rluA//tatD//yaiV//thiI//paaE//gsiA//menD//fkpB//hdeA//cheY//rplR//appY//chaA//ycgR//rpsE//insI-2//cadC//iscA//thiP//panB//yiiE//rlmE//pth//hcaE//rfaC//uvrY//holA//dacB//yhhT//yqaB//gabD//sfsB//hofQ//phnM//gltI//nanK//zraS//sulA//rpiA//fucP//fhuB//fhuB//wzb//wzyE//ugpC//yehP//higB//baeS//phnO//bioA//yidD//ybdZ//kgtP//dinG//shoB//ydeP//tauC//ydfH//rhaM//prkB//cbrC//dinJ//lptA//yggF//dmsA//rcsC//ydiQ//prpD//recB//ibsE//abgB//crfC//pheT//yhdJ//nikA//cysH//sulA//galU//allB//hycI//msrC//deoC//yraR//tolR//glsA1//yagE//azoR//queA//rpsH//pabB//fadM//yeiL//mutY//hslR//rnb//amtB//sgbE//xanQ//hyfF//yggW//chbB//yagF//tomB//malI//patA//tynA//ubiX//hcaT//uvrC//yecS//rseP//artQ//yfhH//fur//ribD//hprS//dacD//ygiV//yghB//sgbU//glgX//mhpC//ybgQ//mmuP//hemH//mdtM//pnuC//hprR//nuoN//rplR//arcB//nanT//xdhB//aroD//purN//manX//gspI//grxD//rutA//soxS//glpC//yrdA//potE//apt//aroE//upp//priA//ybbN//yfcV//yadN//hycA//envR//fadL//gudX//yhjB//tynA//ybjX//yddA//manY//ispA//oppA//bssS//ribA//cysH//yahD//cutA//yjjI//osmE//sfsA//ahr//cysD//rpoD//argI//dps//lepB//deoB//epmB//cysP//dkgB//rpiR//uvrD//lysS//yajQ//pspF//fetB//fadJ//abpB//dcyD//thrB//yraJ//tisB//uspB//gltD//opgC//gntK//ybaK//ydbD//yfhM//glyA//proS//potD//pdxK//pliG//ilvC//nanA//hisA//bglX//queG//tcyL//coaA//mlaD//yehC//yaaJ//cedA//mdtF//ybiW//yiaU//yfjR//creC//murG//miaA//yjfP//ghxP//ulaA//cvpA//wza//torC//ugd//ynaE//ykfM//paaJ//cheZ//rzoR//lpxL//dgcM//rsmB//btuB//purU//ygiS//glcC//ykgO//adeQ//ybeF//eamA//pheT//yqiJ//ychF//yfjR//rng//idnO//betI//flhC//argA//rsmA//ogt//recJ//insI-2//yjhI//ompR//ybjN//prfC//alkB//yrdA//rbsR//hisS//aspA//speB//yejA//murP//rclB//nrfG//fliS//mdtJ//ydcS//bamC//proP//yafE//lamB//rluB//rpnB//trg//aroF//fumB//yfdS//ubiD//waaF//rnc//pcm//ushA//ybdM//mntS//nrdD//sapA//ybhS//yfbV//wcaC//ynfE//yhdH//glmM//ytfR//gudD//yacG//dhaK//phnP//dtpA//yqjI//nuoF//relA//wzb//yhbS//yfiF//pflC//nfo//ycfS//gltS//sufS//metL//hemD//ftnA//yccX//agaC//rna//ybaM//fepC//fliA//relA//fadB//ybjG//hybE//nrdF//yfeD//nusG//iscA//livM//ybdZ//ybiX//idnK//gatY//fryB//entC//ogrK//ushA//glcB//elfD//otsB//ybaM//aaeR//mscS//ygfI//leuA//astB//abgR//lasT//cbrA//thiI//bcr//gpmA//pstC//uvrC//glpT//lolA//puuE//allS//argI//tufA//perR//yfcF//dam//pdeH//ffh//atpG//dsbC//pstA//tdcC//ghxP//yafQ//curA//fadE//ypdI//agaV//yrbG//ybdG//appB//eptC//rayT//chaC//astC//hisH//ttcA//yqjI//yhaC//rhlB//tap//cobS//ligA//zitB//rseB//ydcP//ribF//sdiA//sdaC//yraI//yiaJ//nrfF//xapB//aspC//tatD//ygeA//epd//tyrR//puuR//dkgB//mrdA//ppc//xisR//caiT//trpS//yobF//elfC//mcrB//thrA//ybdG//hisA//rfaG//cbpM//
GO_0006083_6	yjiQ//sgrT//rfaD//pphB//garK//aaeA//
GO_0006084_6	hslU//setA//
GO_0006085_7	surE//trpL//
GO_0006086_8	tauB//
GO_0006089_5	yqjA//fhuF//rplJ//ybgP//cpsB//yhjR//insE-1//lacY//hisB//yehU//nuoB//pepB//hldE//rsuA//fabB//amyA//tdcE//yhdX//sbmC//yiaM//oppC//aroG//dppD//pdeL//yciV//sgcB//proA//tdk//nrdE//
GO_0006090_8	acrR//yjjV//melR//maoP//waaB//ydjH//ytfP//nanE//fruA//ydcZ//glpK//emrK//dicB//lnt//cheZ//gltK//fre//secA//tktB//pspD//cyaY//melR//rne//tsx//aroL//rpsT//elbB//ribF//rnd//asr//tsgA//
GO_0006091_4	wbbK//yfiR//rbsC//malX//ampE//thrL//queE//malZ//htpX//narP//yceD//lpxM//htrE//guaA//phnH//waaC//pcnB//pyrE//gapA//ompA//tusC//sgcA//yhbX//sspA//tdcE//polA//ydjK//cysD//rutA//treB//cbeA//ulaG//bioD1//fhlA//glyA//feaR//pheM//macB//alpA//kdgT//nepI//bglH//leuD//pabC//comR//chbC//sapF//sbcC//ydiO//kduD//clsC//phoR//iscS//flgI//ompW//dgoR//smrA//yqeF//flgI//csgG//bcr//tsaD//cheW//gsiC//gspE//arnF//yeeL//setB//tsr//mngB//hycA//nagA//tyrB//ghoT//bssR//fadI//entD//hexR//mglB//afuC//yafN//cpxP//appY//yeeL//ycfS//yajO//cmtA//ybjC//rplR//accC//ygcW//flgA//atoC//eamA//lplT//hybE//hicB//xisE//nrfB//nudC//mrcB//argT//cyoB//yphF//ydaC//osmF//yjgX//mdaB//trkH//sufA//nuoE//yfaE//
GO_0006094_7	sbcC//ykgO//fau//araA//gadC//kup//yedX//rfbD//yhjX//rpsO//
GO_0006096_6	elaA//rpmA//trpE//sdhC//yihV//slyA//glpB//pphB//narZ//yibH//ligB//ygeR//ybiH//ridA//nupX//ydeO//satP//lptF//
GO_0006097_5	ppc//alkA//bioD1//yedF//aspC//
GO_0006098_6	nudC//dmlA//ygbL//rhoL//sbcB//
GO_0006099_4	narZ//rcsC//bamE//cbtA//sapA//yjjB//pepA//rpiB//sufA//pyrD//rutC//mhpA//pgaD//tauC//hxpB//ompG//lptF//
GO_0006101_6	essD//tyrB//aslB//ynaI//yehC//clsA//rclB//aroH//exbD//feoB//xanQ//yggP//slt//potG//copA//yiiD//mdtK//
GO_0006103_5	rutC//rcsD//lepB//
GO_0006104_6	nepI//eptA//ttcA//
GO_0006105_5	yhaC//panB//xylR//murP//ybaK//flgH//ispG//sfmC//
GO_0006106_8	tatD//
GO_0006107_8	mlc//
GO_0006108_8	hypF//manZ//aslB//essD//yegT//
GO_0006109_6	clpS//lyxK//gpt//yegV//secY//focB//cysD//xylE//ycfH//
GO_0006112_5	oppC//cbeA//mraZ//feoB//ybiW//yejE//ykfM//ftsW//
GO_0006113_5	ghrB//rihB//rplX//bisC//frvR//katE//aaeB//rcsB//sugE//rfaF//uxuA//basR//glsA1//
GO_0006115_6	msrQ//
GO_0006117_5	hemL//
GO_0006124_6	proW//
