#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cbpM//dacD//murA//yrbG//
GO_0001539_4	argG//yidH//bioP//preA//thiC//pflC//ascB//cbeA//lrp//shoB//yjiM//rnd//glcD//yieL//ybhS//rplN//hisC//arnF//cspE//yciT//lpd//rplY//argG//fabD//narZ//entA//yciG//patA//rlmB//ygeX//lipB//
GO_0001558_5	pinR//allD//pstB//dppA//thiI//pinR//ydiF//ybhI//
GO_0001561_6	ftsZ//
GO_0001666_4	pstC//
GO_0001676_6	malG//arnE//allS//
GO_0001680_11	uidC//
GO_0001682_11	speA//
GO_0001731_7	ppsA//
GO_0001762_6	mntP//
GO_0001887_4	yihO//setC//trxA//
GO_0001896_5	ybjI//rnhB//rsfS//oppB//
GO_0001907_5	ebgR//ygfA//tehB//rpe//
GO_0001932_8	rpmH//yghW//
GO_0001934_9	xseB//
GO_0002047_6	flgH//nth//
GO_0002097_8	allC//glgA//tap//zapE//murD//proV//norR//rna//galE//bioF//yeeJ//ccmE//eutR//dhaM//kefG//gabP//lysA//ygaZ//rzpR//
GO_0002098_9	feaR//dsbD//nikE//eutD//yfiC//wecA//dpiB//flhE//yphF//rimM//potF//folC//pgpB//
GO_0002099_9	ymjB//paaF//
GO_0002100_9	wcaJ//
GO_0002101_9	bioA//cpdA//
GO_0002128_7	opgD//oppD//lplT//dicC//
GO_0002130_8	ybaT//
GO_0002131_9	appY//
GO_0002132_9	tcyP//
GO_0002136_10	ycfL//
GO_0002143_9	agaW//ileS//pyrD//kbaY//nikC//yafO//
GO_0002181_7	hrsA//ccmG//
GO_0002183_5	rpoH//
GO_0002184_8	plaP//
GO_0002188_6	eutB//
GO_0002190_6	napD//
GO_0002192_8	nuoM//
GO_0002252_3	phoA//galF//ompC//uxuR//hicA//bcr//adk//ybdM//qseC//tatE//
GO_0002790_6	frc//zinT//glgC//emrD//alsC//potF//dmsC//
GO_0002937_9	cstA//
GO_0002938_8	rlmH//
GO_0002939_7	yneE//
GO_0002943_8	cvrA//
GO_0002949_8	trmH//yfcF//bamD//lpd//
GO_0003333_7	leuO//csiR//tdk//ygeX//artM//dfp//ycaN//adeQ//clcA//rplM//yafE//rpmG//mutY//ybiO//ynfF//yqeG//fimG//srlB//crr//cysN//agaI//edd//pheP//ahr//rpmF//ydjL//atoS//gloB//ssuB//cobC//mcbA//betA//hyaC//yhjC//queE//purA//nimR//ppx//fliM//ppk//pykA//idnO//yijE//rluC//cmoA//prc//mlc//waaG//nagB//
GO_0005975_4	yccS//ygbI//amiA//gntP//yfcQ//gfcE//mglB//sxy//garK//mdtE//dapA//opgH//mreB//mhpC//nupC//sgcE//patZ//citX//oppF//ybhD//insI3//proS//ycbB//dicB//hemN//csgG//cpxR//hflX//yggW//hldE//rfaD//exuR//hemB//puuA//glpR//frlB//cspI//tnaC//folC//fur//ompR//aspC//ybcQ//ascG//talB//dcd//yobF//ompT//rcdA//yfbU//tisB//dedD//poxB//surE//hemG//preA//ypdI//betT//xseB//hokE//wza//cho//mdoG//kduD//yoeB//emrE//lpxC//nuoL//mdtQ//hxpA//ycfS//murP//nmpC//perR//cysC//ybgQ//mnmC//ybhJ//araB//hemA//pdxY//yeaD//csiR//flgE//ycgR//yddG//ttdA//holA//ddpA//rnb//dapA//ybiI//truC//hyi//agaA//dtd//yojI//agaB//fcl//ycjW//lipA//rpsO//tktB//ligA//lrp//frlB//artI//gnsB//rlmF//flhE//trmB//atpC//gntR//nmpC//atpH//yrdA//glyS//tsgA//pntA//tauD//ampH//hxpB//yehU//gyrA//rfaG//psuG//rpsR//ygiN//kdsD//hlyE//glrK//iraM//eutN//yehB//pheS//yahF//yiaU//nrdF//ibsE//ppiA//narU//yjjW//yjiY//cheB//fimC//yfjV//spy//epmA//nfuA//yihS//tar//trmL//lysR//bioD1//sucB//treC//ycdX//asd//trpD//yfaU//oppD//yjhG//ascG//fau//kefC//hmp//rnlA//mtlR//polB//tauA//tufA//ldrD//hokE//zwf//fetA//cheY//ugpB//allS//tamB//skp//ftsW//purA//eutR//rpoE//malG//glvC//hipA//secB//fdnH//purN//atpB//flgH//cydD//amiB//glcC//menC//ffh//ygfX//hybO//dcd//ydiB//lit//yaiV//potC//mscL//ubiE//fryC//mdtG//trmO//yfbR//phnN//rpsT//focA//ygeX//secA//treB//sugE//rrrD//slyD//ompT//tolR//pdxK//curA//dgcT//sthA//pphB//dgoD//dcuC//mrdB//bisC//yiaL//insI3//rcnA//psuT//napD//insI-1//dtd//yihX//slt//yeeY//yhjX//yiaN//mlaB//ykgA//lhr//atoS//cstA//yjjQ//ssuD//fecD//tatB//aphA//bssS//thiM//
GO_0005976_5	yhbO//lptG//gnsB//yehC//rpsQ//uhpB//rhoL//yjcO//tauD//ansA//etp//queC//yfbS//ycjP//motA//tyrS//paaC//ulaB//fecA//ppsA//nrdH//opgG//trkG//msbA//purT//ndh//clcA//uidA//aer//yfeO//trpGD//fepC//ydeM//alkA//topB//wzzE//iap//tyrS//cfa//corA//aroG//rcdA//rhlE//dapB//phr//bssS//yphB//prfC//glpA//ubiJ//rcsB//frlC//ydcR//iap//lptG//stpA//ydjM//narL//ybcC//
GO_0005977_6	rpoA//prpC//dtpB//ybaQ//rpoA//tabA//narJ//galP//
GO_0005978_7	gcvP//gstA//ytfR//paaZ//
GO_0005979_8	trpD//
GO_0005980_7	yneE//yceK//yfjR//
GO_0005981_7	rfaQ//
GO_0005984_5	dinJ//gor//codB//ugpA//envC//tusC//dld//sufA//yjjX//otsA//zapA//
GO_0005985_6	pdxJ//
GO_0005986_7	phoU//
GO_0005988_6	recE//topA//
GO_0005990_7	obgE//agp//
GO_0005991_6	lsrC//gltP//rnlB//mioC//mdh//
GO_0005992_7	ddpX//fis//
GO_0005993_7	rluF//yneE//rhmR//
GO_0005994_6	ftsI//
GO_0005995_7	rpnB//
GO_0005996_4	yahF//yeaK//ygeW//yoeB//spoT//ybdR//xthA//insI-1//yohD//ygfZ//yiaB//glnS//csrA//fecC//tdcF//nuoG//guaD//sufD//ydeP//murG//opgC//gsiD//gppA//nuoF//uhpB//oppF//ybbW//sucB//topA//yqiI//ygbI//ridA//paoC//yneJ//rhsD//sufC//trpE//fdnG//gnd//ydfH//paaD//glnA//lpxM//ygeR//nadB//cyoC//cdd//emrB//pck//kdsB//menB//thrB//ygeA//eamB//aroC//dgoR//yoaB//narJ//ung//yciF//rimO//hcaF//rpmA//dauA//ogt//dps//dsbD//fimB//ybgI//mak//hpf//dctR//dusC//ygaV//ygaZ//dacA//recN//fadL//lysR//menI//yjcE//sspB//
GO_0005997_6	galF//
GO_0005998_7	frc//
GO_0006000_6	gatA//rep//narK//
GO_0006001_7	gntK//cdh//
GO_0006002_5	ykgM//hflX//rfaF//
GO_0006004_6	yfeW//ruvB//yihW//xthA//iraP//ybiX//
GO_0006006_6	yhaV//prc//zntA//aes//ygeV//abgB//cmoM//rluB//rhtA//nei//paoC//upp//ydeO//waaU//mcrB//rhaM//yejB//cpsG//clsC//ygaH//yraK//frlA//insB-4//
GO_0006007_7	secB//creC//hxpB//
GO_0006011_5	nuoB//
GO_0006012_6	atpD//rbsD//sodB//pfkA//sxy//yjbG//cysP//malF//fdrA//
GO_0006013_6	agaI//arnB//
GO_0006014_6	nirB//hxpA//scpC//
GO_0006015_7	uxuB//pitA//
GO_0006020_5	mcbR//
GO_0006022_5	yhfS//opgC//msbA//ynbD//preA//hsdM//ansB//gudX//yfbU//agaD//rsuA//tyrS//sdaB//yghO//cynS//yddM//waaP//emrY//ybiS//dppA//yihT//yggW//yiaN//sthA//rlmJ//rsmC//yihP//mhpT//aroP//yagF//glnS//waaY//yggF//lptB//serA//relE//metI//mrr//sodB//ubiE//ompG//uspB//nac//ftsW//mdtI//mhpR//hisP//eutD//mhpA//mrcA//sfsA//yphF//ndh//sfmH//osmY//carA//fbp//fliZ//fadI//phnC//hipA//yccA//dinG//
GO_0006023_6	cysU//amiB//lipB//queA//yjiA//rpnA//yiaU//pgpA//dcuD//dsbA//udp//ygcW//paaB//ssuE//speG//abpB//ydeO//ilvD//osmE//yihQ//sbcD//fadD//pckA//malI//ampE//tufA//gatB//mug//argO//yihI//ydfD//mgtA//asnA//pspF//acnB//rpsR//ptsG//leuA//ribA//
GO_0006024_7	ycjY//btuF//yraJ//ldtC//nuoE//trpB//bamC//ldrB//tynA//dinI//pinR//yihV//pgaA//gltD//pflA//pinQ//nupX//gyrB//lapB//rlpA//ybcF//hycI//allS//insF-1//idnT//ybfE//ftp//rihA//asmA//hyfR//ilvM//lhr//tolC//rpsI//speB//phoP//yejA//yagE//argI//
GO_0006026_6	nudG//yijO//prfA//gldA//thiD//tusC//paaZ//nhaR//ridA//ispB//
GO_0006027_7	cysP//trpS//fucO//htpG//csgA//pnp//ygcR//gadB//glyS//umuC//
GO_0006040_5	csgE//mqsR//yhdZ//dtd//ibsC//fes//pabB//yafQ//yidL//glnP//yedA//panE//topB//ycdY//paaX//mnmG//gatD//
GO_0006044_7	phnP//cysN//ndk//ushA//argR//
GO_0006046_8	ynbB//pck//fucA//narY//
GO_0006047_5	cutA//argR//hemG//psuG//yegV//acrE//lon//
GO_0006048_6	bamE//araB//yadI//hisG//ftsZ//appA//
GO_0006050_6	nrdH//
GO_0006051_7	ugpE//
GO_0006053_8	waaU//
GO_0006054_6	galF//bcp//lptC//cusR//apaH//ynaI//nrdF//
GO_0006056_6	ldcA//
GO_0006057_7	fucK//
GO_0006059_6	acnA//feaR//aas//clpA//
GO_0006060_7	cytR//
GO_0006062_8	trpGD//
GO_0006063_5	yafQ//ansA//ftsP//pflB//dgoR//yphF//dppB//prmC//uvrD//
GO_0006064_6	phoB//setA//dhaR//tdcG//yfcF//yraK//
GO_0006066_4	diaA//pphB//gloC//infB//ubiG//ivbL//gmd//mtr//dut//yeaK//serC//yiiE//sapA//mcrB//mhpT//proX//ybaQ//yeeO//plsC//rfbD//cmoA//ridA//yafS//rdgB//coaE//acrD//yagJ//tdcF//gadB//ynaI//yqaB//srlR//
GO_0006067_6	tdcD//parC//waaB//
GO_0006071_6	sgcA//bepA//trpC//lapA//mdtA//ccmG//rplS//
GO_0006072_6	nfo//ybaT//atpF//ydjM//tatB//
GO_0006073_6	modB//araG//ppk//prkB//ratA//glpT//ycdY//potI//ascB//thrC//metI//sufD//phnP//yieH//malS//yefM//alaS//pdeR//prlC//entC//
GO_0006081_4	glsA2//casD//pinQ//yjbF//rpnD//trxA//galR//phoB//napF//ddpX//pdxK//gutQ//rffG//selD//pinR//mdtK//ygeW//caiF//eutD//phnL//gmd//hpt//hisC//rhsD//glsB//ftsB//dauA//hyfC//metG//potG//yfdC//ravA//gutM//blc//hypC//rne//skp//fruB//hyfA//pepB//alsK//entF//sdhC//ddpA//acrR//rssB//tolC//nadK//gpmA//ftsW//yoeE//uxuA//ftsN//hchA//rlmN//torS//cmoB//dmsA//stpA//cvpA//mrr//dnaB//rihA//yqjI//appC//insF-1//lptD//
GO_0006082_4	parC//sohB//mobA//ynfE//ccmG//glpB//rpoS//yqjA//yajL//yeiG//intZ//rpsG//etp//ychH//rpmB//ydcT//rhaB//cheY//hpf//ygbL//caiE//cas3//uxuB//yhdJ//lpxM//nusA//casD//hicA//holC//kdsB//asnB//galU//pepA//rplA//mrdB//fdoH//tufA//dut//maeA//ydiR//xisR//nirD//norV//frvR//ybhA//trmD//ssuA//polA//arnA//rpsN//mltA//rplB//yafO//holB//atoB//mdtF//ibsE//ybiT//ycfS//gcvH//wcaB//glrR//rrrD//nagC//rfbC//groL//aceB//livK//holC//wcaJ//iscA//sixA//uxaC//tap//yagU//sufE//paaX//rplT//wcaB//sufE//acrR//rutC//acnA//rplO//yraH//ansB//pyrD//lysA//exuT//glgS//kduI//hypB//ydiQ//setC//matP//yahO//rpsT//amiC//pgpB//acnA//recG//ybdO//fur//tdcE//pncB//cptB//waaB//cdd//narX//frdC//metE//ldtD//rstB//yjbG//gsiC//nfo//sapB//ydbD//bglH//fryB//ftsW//waaU//clcB//acnB//ycjQ//yeeL//yraN//rarA//yjeH//msrA//elfC//hypD//yidR//aroE//prfC//pitB//yfaU//yjfP//glsA2//kdgR//trkG//glmS//sufE//hcp//mrdB//polB//fabI//hcaB//tnaA//gapC//msrB//arfA//yiaN//glsA1//rzoR//rplR//ydcR//kbp//metG//bglF//bioD2//adhE//purB//narP//yibT//secB//flgJ//guaC//gltD//afuB//ompW//yfaU//mdtP//agaC//secF//msrP//ybiY//cspD//uxuA//gluQ//trpL//purF//sfmF//ynaI//panZ//xisR//mdlB//yhfK//yggN//idnK//ybiH//glrK//yebC//pgm//ydeO//purA//dppA//glcA//fucI//ggt//tatC//phnN//lasT//gadC//tadA//flhA//etp//yibH//zitB//truC//yqgF//dmlA//acs//opgB//cspE//csgB//yddG//thiP//umuC//ettA//glyS//arnB//rbsD//yfbU//torY//nadK//glnD//rluC//rsmI//yehZ//yoaA//glcF//fixA//gcvH//yfaU//cstA//rlmC//rfaB//pstS//yoeB//yeeO//puuA//tauB//paaG//scpB//yhhY//satP//paaD//cbtA//ydjL//ssuB//rlmE//frdB//pbpC//ribC//cpsB//ymfA//rpsM//pykF//tcyN//rpoA//rsmI//sfmH//rpsD//glpD//gloB//ydeP//ppk//plsC//rep//yidP//dsbB//artP//dinI//dmlA//ydaN//citT//rhaM//selB//btuR//holB//yhcH//holD//ppiA//ydeP//dcm//tisB//rpiR//cueO//yciA//ubiJ//ykgA//dsbG//bamB//cca//ompL//gnd//galU//yfdR//ddlA//dadA//zapB//yjaA//yiaN//pdxH//mngR//phoB//glgC//hcaE//rffG//fdoI//csgF//putA//aceB//bisC//mlc//tauB//hiuH//mntP//yceD//fumB//smpB//metC//pitB//patD//seqA//lldP//hns//rutB//sufE//fepB//cbrC//ydiZ//bioD2//nmpC//icd//mliC//rnpA//rpnD//ffh//casA//ydcR//lapB//ybaT//leuA//uxaA//cirA//fhlA//rplI//yihP//ggt//talB//malG//ycjP//kbaY//hcaB//emrK//mutS//ygiV//yfcS//mnmE//kdsB//pflB//narJ//trmA//ygfA//galE//tktA//cheY//yfdK//mtn//ribE//deoD//artI//baeS//rpsE//ybjG//ttdT//ygbM//ybhD//mdtN//mdlA//abgR//mhpB//ispA//rbsR//glcF//sstT//agaV//ydjL//ydjL//tgt//gadW//glcD//prc//ydbD//allR//fryB//trmB//rihB//leuO//tatD//narK//nupC//pstA//kdgR//etp//ynbC//hofP//baeS//sucB//fepC//cheR//srkA//yfdO//sad//opgC//mglC//dnaC//elyC//sbp//topB//fadA//fepE//yihW//lptB//rpsQ//cobU//yhaV//ribA//caiT//waaL//gpr//afuC//tpx//lgoD//mglB//tktB//ydfK//nrfG//dsbD//lsrB//arnE//ydiO//hisI//waaL//dgcT//hprS//cusC//fixB//cpsG//yddL//yjiX//ygjH//entD//uidA//yfcR//eutK//rplD//djlC//
GO_0006083_6	ygbI//ompW//ygdG//lexA//preT//ariR//
GO_0006084_6	aroF//puuP//
GO_0006085_7	ubiB//yjcO//
GO_0006086_8	galP//
GO_0006089_5	rseC//rcsC//murB//yoeB//panD//kefF//citT//rpsJ//gltL//gadB//glvB//rffM//mtn//fliM//znuB//mdtN//yejF//aaeR//sfsB//secG//trmA//yccA//yodD//ghrB//emrD//intE//rplQ//ybbW//ybjC//
GO_0006090_8	btuE//yadI//marA//der//argE//phoB//phoA//mtlR//livF//mdtI//frmA//glnH//sspB//yfbS//mltF//hslR//yhdX//ybcF//pabB//htpG//trkG//ydjL//lpcA//galE//rmuC//srlB//yidA//serC//bioD2//aroE//sdhE//
GO_0006091_4	chbB//der//phnN//phnP//aroF//rnpA//fkpA//mraZ//mrcB//nemR//rclB//aroE//insH-6//menA//ybaT//ispB//yfjR//gcvA//fruK//ssuA//yojI//yraH//def//zapC//pinR//nirD//gshB//rluC//ybeF//pta//uspC//amiB//htpX//metB//mlaD//rihB//seqA//tyrA//fic//cyoA//rnlB//rpsG//elaB//cyaY//fadE//pgpC//lysU//frlA//hslU//rhmR//rpsK//cpxP//hycA//flgH//ybiW//mngR//yjbB//trkG//argC//metN//gnd//dgcF//ftsN//groL//nepI//ppsA//skp//fimH//ppx//glnB//yhiM//dgoD//dkgA//iraP//yfaL//pinQ//yieL//dsbG//apt//alpA//yjcS//sapF//ecpR//solA//mdtB//trpC//cysK//lgt//rlmI//pflA//seqA//hexR//yebK//osmY//ygbL//cusF//mutH//intZ//ompW//adiA//rlmD//aceF//nrfC//rpsB//otsA//dnaT//efeO//moaD//ybjG//yccA//fimB//cheB//
GO_0006094_7	pdeD//nrfB//glk//rpmJ//hypC//kduD//metR//codB//oppC//tktB//
GO_0006096_6	nemR//puuD//yfaV//ytfQ//recC//sodA//yjjV//rpnA//cysH//prs//ybaE//gapC//pstA//rpoD//yadG//yibF//glcB//trmI//
GO_0006097_5	kbaY//ybgI//rcsC//umpG//ldcC//
GO_0006098_6	ibsA//pabB//gsiD//holB//paaD//
GO_0006099_4	tdcA//kdsD//radD//cytR//adiC//ftnB//oppD//murI//pphA//nuoB//rhtA//rluE//btuB//sfmA//hfq//fabR//nudC//
GO_0006101_6	casE//mdtL//hybD//yhdW//ubiC//ycjD//gpmA//cyoD//adeQ//kefF//tdcE//cysS//rcsD//yehC//yrfG//hypT//xylB//
GO_0006103_5	yaaU//mutH//ybcJ//
GO_0006104_6	ybiJ//lacI//yeeA//
GO_0006105_5	ais//gltD//yhfK//nlpA//uvrB//hypC//tyrA//mreD//
GO_0006106_8	yigB//
GO_0006107_8	araB//
GO_0006108_8	rfaD//ycbV//patD//ybiT//nudB//
GO_0006109_6	ccmG//yiiE//mnaT//yeiG//dnaN//waaF//fliM//dgkA//mlaB//
GO_0006112_5	hyfR//yagF//pstA//arnD//acpT//msrB//bioA//qseB//
GO_0006113_5	ppiA//mscM//hemH//hicA//rplI//hyaC//intE//tnaB//sbcD//metC//rfbB//iap//yfaE//
GO_0006115_6	lolA//
GO_0006117_5	paaG//
GO_0006124_6	hycA//
