#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lsrD//yjeI//yehY//nrdG//
GO_0000256_6	cueR//metQ//malP//yfcG//hofP//
GO_0000270_7	holE//diaA//yehT//ybcL//rseP//ydfG//ompC//fadD//rimL//ybbY//dapA//yfaU//prmA//aspC//araE//lptA//asr//nmpC//waaP//araB//moaA//pinE//yccS//pdeD//entF//ubiG//cobU//bglA//lit//csdE//selU//iap//panF//dcd//mrcB//ydiK//waaF//alsA//pdeD//dgoA//ubiB//rhaA//pntB//clpA//hyaD//flgK//dsdX//trpR//tisB//yiaO//appY//efp//hemA//zapB//ydaN//mdtE//ykgA//yjjU//satP//kdpD//fmt//hslR//ykgM//
GO_0000271_6	narV//yjhI//tsf//codA//pdeD//oppC//creC//rsmA//rpnA//hcaC//kgtP//rpsR//yqaB//ubiX//gutQ//ynfK//glpG//plaP//umpG//azoR//lptB//maeA//csgG//yadK//tdcG//dkgB//hemF//mgtL//phnH//recQ//ftsL//hybO//pta//nuoB//tolR//acrB//gpmA//ycgB//mmuM//trpE//selU//fdhD//greA//ygaZ//ispB//recR//argI//hsdR//insH-5//smpB//
GO_0000272_6	yfeO//betA//tgt//hypA//alsK//yggW//
GO_0000302_5	dapD//yfcV//hslJ//yphD//nrdI//ydiZ//srlA//ribA//rfbD//prfA//lplA//rpnB//rffH//tdcG//hybB//yjjU//zntR//nudF//gudP//hflX//hrsA//ygjH//paaJ//cysD//yfaE//glmS//kefF//xseA//glk//fhuC//ynfK//
GO_0000303_6	cycA//fepG//
GO_0000305_5	tcyL//ydhQ//yohC//
GO_0000372_11	tolC//
GO_0000375_9	yehZ//
GO_0000376_10	ybfE//
GO_0000413_9	moeB//napC//cysA//tamA//yhjR//yedP//hypE//rplF//
GO_0000451_7	asd//npr//tcyL//ygfI//mdtD//
GO_0000453_8	coaD//yghG//ttdB//amiB//purC//
GO_0000455_9	rluC//ugd//dgcF//rbsR//ybhJ//uxaC//phnI//
GO_0000462_11	yhdH//rplN//
GO_0000469_8	ypdB//
GO_0000470_10	torC//
GO_0000478_9	malK//
GO_0000715_6	cysD//
GO_0000716_7	ycaO//
GO_0000724_8	ykfI//
GO_0000725_7	rzpR//elfC//iap//narU//crl//rmf//
GO_0000726_7	entS//
GO_0000731_7	ftsA//yqcC//cyoE//zur//ogrK//rluE//dld//
GO_0000737_7	narZ//
GO_0000738_7	sufC//rpmH//ompW//
GO_0000746_4	tusA//
GO_0000820_7	nikR//
GO_0000902_5	rpmF//
GO_0000910_4	rcsB//plsX//ygaZ//yfgI//yibH//ftsN//rhaD//bluF//waaS//mnaT//purU//menC//acrF//agaI//yajL//fucO//aidB//lapB//
GO_0000917_6	glpF//adiY//tsaC//tap//elbB//
GO_0000918_6	pdxY//pliG//cspI//psd//
GO_0000920_3	shoB//msrB//pheT//yagU//mutY//
GO_0000921_6	valS//
GO_0000966_8	blc//nuoI//btuD//yggW//
GO_0000967_10	elfC//ivy//zur//
GO_0001101_4	yfcR//fbp//pgaC//rplQ//yeeO//xerC//yefM//pheP//ftnB//sfmF//recF//lolB//ugpA//crcB//rspB//garL//paaH//pyrF//aspS//rimO//fabA//mntP//sanA//cdsA//metR//ybiS//
GO_0001121_7	flgF//tdcF//
GO_0001123_8	waaJ//
GO_0001124_8	oppC//
GO_0001407_7	elfD//ybiT//bluR//pgaA//
GO_0001505_4	ubiC//mlaC//relA//pinR//menC//hemE//ompW//galU//purF//lptF//murC//mgrB//sohB//ccmH//ghxP//torR//
GO_0001510_5	ydgA//yefM//afuB//gltD//citT//ydcZ//ygiN//glsA1//frwD//fryB//ilvM//hisD//folP//rhtA//panC//mscS//agaR//lamB//ydiP//gadC//argC//yhjD//lipA//hslU//galS//rlmM//gloA//dnaA//paaF//ugpA//kduD//rlmM//yihT//frvB//thiG//ybgQ//hyaD//malY//glpX//nikA//
GO_0001514_8	ghoS//
GO_0001522_7	cysU//glcA//ybiX//yraK//nadA//ftsN//tcyL//gloB//miaB//dacA//tdcA//ydaN//selU//
GO_0001539_4	kdpB//ttdA//zupT//yebG//prmC//mscL//yqaB//yebK//hflC//nanK//lepB//aspC//dld//seqA//coaA//narZ//holC//yeiL//kdpB//mdtI//srkA//thiP//yfeW//ppsA//ribF//argI//hisB//priA//selD//yfhH//cysN//
GO_0001558_5	pgi//nrdI//mdtN//brnQ//sfmC//nusA//yhdZ//proQ//
GO_0001561_6	hybC//
GO_0001666_4	rfaH//
GO_0001676_6	yjhB//menC//ycjR//
GO_0001680_11	wzyE//
GO_0001682_11	ygeV//
GO_0001731_7	pdeR//
GO_0001762_6	oppA//
GO_0001887_4	citE//leuO//insI-1//
GO_0001896_5	pflB//yihX//ygcR//ybdM//
GO_0001907_5	yidZ//ybiI//slmA//cstA//
GO_0001932_8	prlC//yqgF//
GO_0001934_9	gabP//
GO_0002047_6	yidC//ileS//
GO_0002097_8	fsr//yhdH//hisA//chpS//deoA//rpsO//adiY//ibsA//gyrA//sanA//paaG//serC//cyoE//minE//pphB//pta//argD//coaA//fimI//
GO_0002098_9	yigB//bcp//intE//rmf//hisP//uhpB//ykgO//rrrD//tusE//murE//guaB//fecD//ycaO//
GO_0002099_9	nikC//alpA//
GO_0002100_9	mqsA//
GO_0002101_9	hicA//ndh//
GO_0002128_7	uxaA//tdcB//adeD//tus//
GO_0002130_8	mdtI//
GO_0002131_9	dusB//
GO_0002132_9	moeB//
GO_0002136_10	hflX//
GO_0002143_9	menF//adeQ//moaC//rhaR//ynfE//yihL//
GO_0002181_7	ddlA//hemG//
GO_0002183_5	yojI//
GO_0002184_8	aspA//
GO_0002188_6	tsaC//
GO_0002190_6	evgA//
GO_0002192_8	araA//
GO_0002252_3	ftnB//tusC//rhaM//ytfP//ydcZ//macA//opgB//rpsR//umpG//pdxA//
GO_0002790_6	panZ//pepT//agaR//yfbV//murE//flgI//insI-1//
GO_0002937_9	grxD//
GO_0002938_8	alsC//
GO_0002939_7	cobC//
GO_0002943_8	recB//
GO_0002949_8	adiA//yfeW//melA//yceK//
GO_0003333_7	fkpA//aldA//cvpA//grpE//kdpA//parE//gspI//yjcE//yjjQ//yjbB//rrrD//ssb//yqaE//ynfL//rplQ//pinR//agaW//sapD//ybiI//hybG//pbpC//alkB//glnA//hdfR//torZ//fadR//fau//yafS//sdhD//tauC//tsaE//lysP//lipA//queA//abgA//leuD//cpxA//rhtB//fdx//ybiY//tpiA//araA//yejA//hisH//yjhI//ftsZ//rraB//ribB//mscK//
GO_0005975_4	mdtA//yajL//alsB//atoS//ssuB//cpsB//ynfF//mdtF//yieE//ybhA//entB//yodD//ygeX//citX//tcyJ//fabZ//ompC//fepC//ydeI//ydiV//fixA//rlmF//yieL//acpS//iscU//wzzE//serA//dnaX//fabR//rplQ//scpC//ybgP//pgk//pgl//pykA//etk//betI//ynbD//treA//metK//eptC//dfp//carA//speF//bglF//appC//ydcS//ydbD//gatD//eamB//entH//frwC//ompA//chbF//araF//def//sseA//ppiC//iraD//yhaO//cysW//yraJ//dsdA//yjgX//cydD//cynT//lsrB//lptD//rfaF//rplK//thiQ//hemC//sxy//kdsC//dgoT//arnD//setB//sixA//tehA//yjcE//yahB//fadH//lysA//acrZ//tatA//cydD//hprR//cyaA//dinD//yjfP//paaK//adiC//atpF//hflK//ulaE//yhfK//ynbB//afuC//ydcP//pstA//relE//arcA//frdD//rssB//cytR//aldA//pyrG//ydcO//sdhC//mdoG//ybcJ//selU//yebQ//nagD//yehT//ilvE//mglC//ybbN//trmI//ycbB//aqpZ//ybiI//ygcO//ydiR//yciE//puuE//fic//mdh//cpdB//fabZ//citE//yjhP//yidK//fkpB//yadG//ymgF//araC//intS//ycjW//lpd//lysO//yfcU//malZ//perR//livM//ade//rbsD//waaL//msrB//mrcB//allR//ycfH//purU//appB//arnA//metH//purF//adiC//fliS//fimG//ycjU//ptsN//cydA//hypB//aroD//fepA//potC//phnL//rutB//yiiM//galM//sfmC//purB//yeaE//rpsB//treA//opgH//mngB//yfbV//yajD//napD//bisC//yhjD//mnmG//clcA//hemH//hfq//cstA//yqaE//mog//hicB//bcsA//gpmA//phnC//rfbC//hprS//rhlB//pdhR//mntS//norV//ydhC//hisA//yhaC//mglA//yidK//hfq//yaaJ//mog//opgE//hda//yddM//lsrC//rzpD//pldB//zwf//yhjC//hycA//dmlA//ybiH//fbaA//tnaB//ybcL//opgD//ybhA//fabG//miaB//dcd//sfmC//arcA//pth//fimF//wcaC//appA//metE//motA//hofM//djlC//yibT//pdxH//insA-2//yqiJ//pstA//opgE//bioC//nfo//fklB//rcsF//yjbH//argR//gppA//fadI//ycdY//ygbM//oppD//
GO_0005976_5	aroL//chiP//metF//yggN//yjaZ//glcB//comR//hpf//fdx//rpmF//lgoD//yfcS//yjeI//napA//fdoI//dinI//ybgP//parE//trmI//mazG//eno//yafS//gadB//iscR//yjjV//slyA//srlD//secG//rpoE//yehZ//ptsH//ileS//nupC//lsrC//treR//casD//rplI//mlaE//agaV//fucA//yjiM//pgpA//sgcA//priC//rodZ//znuA//yihO//napD//yjhC//dcuS//yihQ//grxD//argI//recQ//gatD//ptsG//ydcR//sseA//yeeO//
GO_0005977_6	tolC//rhaR//selD//thiQ//metG//rplR//eutR//gnsB//
GO_0005978_7	yfdO//rnpA//glcC//glvC//
GO_0005979_8	yidQ//
GO_0005980_7	ycfS//sbmC//recN//
GO_0005981_7	rutF//
GO_0005984_5	gldA//folE//pflB//nikA//infC//ftsW//rimI//mtgA//ybhR//glgS//ybeF//
GO_0005985_6	fumA//
GO_0005986_7	opgH//
GO_0005988_6	glcB//ycfL//
GO_0005990_7	chaA//gpsA//
GO_0005991_6	rhaR//dgt//narU//gltL//malZ//
GO_0005992_7	folP//baeS//
GO_0005993_7	sapF//mobA//bioP//
GO_0005994_6	stpA//
GO_0005995_7	yggE//
GO_0005996_4	crl//dnaB//ispH//ypdA//rarD//ydjK//pstA//flgI//mglC//mtlA//cheW//yiaT//nrdH//secF//yjbH//kefG//yjjU//recO//lldR//ybaQ//mgsA//dgoK//ybaO//dgcN//nudC//yihV//hsdR//fucI//yahD//ybjI//lapA//glmS//yecS//ftnA//mutT//nupG//ybcC//valS//yhdJ//yoeB//selD//yibA//dsdA//dusB//lsrB//xylF//rapA//fucK//talB//yihV//rrrQ//yegV//nanR//zupT//nei//ssuA//marA//yidK//fbp//borD//yifB//ybjC//yheT//adiA//dgcN//ydfG//ytfQ//ybhA//hprR//ybaL//dcuS//mreC//yceK//slmA//hisS//epmA//yneL//gadE//zntR//wecE//glnB//fetA//
GO_0005997_6	cfa//
GO_0005998_7	glgX//
GO_0006000_6	caiT//tusC//ydiV//
GO_0006001_7	osmC//pyrC//
GO_0006002_5	trpA//bioP//yaiV//
GO_0006004_6	sdaC//ilvM//mglB//cbrA//pdxB//dtd//
GO_0006006_6	kdpF//secF//cedA//zapB//atpF//sgbH//fruK//amyA//cobT//alkB//garP//dicC//rzoD//tcdA//uidA//ttdT//cysG//yijE//metI//sanA//zntR//yqiH//adhE//
GO_0006007_7	zupT//sfmF//garR//
GO_0006011_5	insI4//
GO_0006012_6	nth//coaD//dicC//corA//potD//ghxQ//feaB//mdlA//nanC//
GO_0006013_6	pncB//lplT//
GO_0006014_6	adk//rhaM//deoC//
GO_0006015_7	ftsL//recF//
GO_0006020_5	rng//
GO_0006022_5	yhbO//rbfA//rpsK//cvrA//xisR//moeA//glyA//thrS//mcrA//greB//gntP//gph//atpC//yiiD//gcd//aroD//yagI//eamB//yjhP//mmuM//yfeW//folM//tdcF//nikC//exoX//elyC//thiM//dinD//metH//degS//deoB//yahO//pheP//dcm//rstB//rluF//scpC//yefM//flgJ//livF//gutM//appB//ansA//grcA//xerD//betA//flhC//hscB//yhiM//flgJ//priC//pfkA//cysQ//ypdA//nadK//hcaT//dmsC//ynfF//elfA//uhpT//xylH//ydbD//fumC//
GO_0006023_6	ais//yfiC//tdcB//metH//hinT//rne//mltB//mug//aer//nrfA//tsaD//ubiX//potE//gcvR//yjiM//fucK//mcbA//yhdH//yjaA//proS//yiaM//rpsM//frvR//ppk//gldA//sfmH//clsA//fruK//argE//xseA//bcsQ//uhpT//dinB//spy//yqaA//narK//napB//arcB//panD//
GO_0006024_7	melR//ldrB//rhoL//modC//ilvI//fepA//lysA//hisH//fryC//phnH//yihV//aspA//mnmE//ypdI//pgaC//maeA//pphB//cpsB//yijO//lyxK//ycaN//yidA//tehA//rcnR//trpE//tdcB//yabI//yneE//hslR//rpsN//chbR//ycjR//yihP//insA-1//fliG//sufB//rffT//ampH//rnlB//
GO_0006026_6	ydaN//dxs//marR//aceK//sgcE//wzc//mug//yohC//yhjB//mdtG//
GO_0006027_7	envZ//ynaI//patZ//ortT//ytfR//oppD//yfeR//guaB//gltS//hycA//
GO_0006040_5	manA//pgrR//aaeA//paaF//glrK//rlmM//nagE//ybdO//yraR//macB//yhiM//murB//dkgB//gpmM//glk//fepD//yhcD//
GO_0006044_7	rsuA//dgoR//ribA//phnK//cdaR//
GO_0006046_8	chbA//matP//zitB//yhcH//
GO_0006047_5	zipA//prmB//mdoD//sufS//glnA//yeaD//rplX//
GO_0006048_6	nupC//rcsD//yfdS//rutR//lpoA//paaK//
GO_0006050_6	glgX//
GO_0006051_7	prpB//
GO_0006053_8	ibpA//
GO_0006054_6	rna//copA//pdeR//thiP//mdfA//hemL//aspC//
GO_0006056_6	nimR//
GO_0006057_7	yjgX//
GO_0006059_6	basR//tcyL//feoB//metB//
GO_0006060_7	gppA//
GO_0006062_8	maa//
GO_0006063_5	cdh//mdtL//frdC//cyoD//idnK//uvrC//gltS//bacA//rutD//
GO_0006064_6	pspF//bcr//pmbA//ydeE//recT//norW//
GO_0006066_4	umuC//sstT//menA//yhjG//yfdR//atpH//trpS//kup//mog//modA//hypF//yfiC//mltC//acrD//secB//ulaF//mhpA//greB//trpB//torC//rcsC//deoA//lsrA//dctA//tdcA//folC//fabH//dcuA//thrB//yhgH//flgB//betI//
GO_0006067_6	ubiD//fruK//udp//
GO_0006071_6	ihfA//rimO//tktB//rph//uxuA//cusA//uspB//
GO_0006072_6	csrD//bglF//ackA//nudF//gcl//
GO_0006073_6	pabB//iscU//yfbS//hdeA//yddM//sufD//dcm//aer//fabA//waaH//ybjI//sucA//amyA//maoP//yafN//alsK//hpt//emrE//tusB//pgl//
GO_0006081_4	arnB//nanT//argE//intF//tmk//lit//gspI//ybiX//surA//yidQ//minC//glcB//cspC//tsf//trkH//pitA//yhaO//lpxC//gshB//hofQ//rimM//mepA//nimR//moaE//ygiS//glnQ//wbbK//aroC//ypdA//yjfP//trmA//lgt//nrfA//rpoD//yjjI//ccmF//hslJ//rpoE//hemF//acnB//narK//topA//rplT//gyrA//uidA//tufA//dcuC//rlmE//xylA//ahr//fecA//ydjJ//rdgB//asnC//pgaA//ydfH//acpH//arnF//rpe//aslB//yobA//yihX//fabZ//yeeO//mhpA//rplK//recD//
GO_0006082_4	puuE//ftnA//zapB//alaS//cheY//degQ//pnp//ycbV//tnaC//fieF//yraH//bssS//glcE//fepG//rplA//cysP//ydjE//lolB//dinD//murP//yghB//ynbD//yajO//rhlB//cobC//glnD//xapR//pgpC//phnJ//aspS//acnA//yjjQ//spoT//asmA//dusB//yifB//murP//rplM//yihT//fucK//dpiA//ycjY//insB-2//uup//ebgR//alaC//fliZ//rne//nuoF//sdhA//yghU//cobC//yijO//panF//rpsD//ppiA//phnO//ulaC//panB//melA//ydiP//yhiM//yoeE//yafS//pstB//yddM//frmR//argK//sdiA//codB//ygiS//prpC//xylR//yiiE//dctR//yefM//pflA//rcnB//ruvA//ypdC//mgsA//borD//ydcO//mlaE//ftsA//cpoB//cyoD//lolA//ymgF//yhcD//nusA//clpP//mreC//ais//yadG//yfcS//ynbB//tsaC//rlmF//dld//napC//ilvL//yciV//mscK//dgoR//abgB//chpB//frwC//ytfP//fabB//mepH//yjjI//yggT//csgG//aroB//ydeI//ortT//tauB//yajO//hda//fpr//tdh//yadM//gabT//epmC//citT//wecC//yddM//garD//nadD//fabD//fhuB//aaeA//ilvD//uxaA//qorA//ppc//pgpA//yegV//srkA//sspB//gloA//rclC//ftsZ//znuA//rpoE//ariR//nadK//pitB//ruvA//rpsE//hofC//cysP//hokE//ybjG//eptB//yeaV//pgaD//gapC//ompC//rnd//ascF//nrdF//aroH//hisH//hyfC//ampD//narV//leuC//cysA//feaB//mdtC//arnE//ttdT//hprS//sbmC//hisF//treB//pitB//yhcN//rbn//ybaT//yhjX//rplK//ubiB//recA//yqeG//gcvH//fdhE//hypE//rpoA//frvR//yjbF//yhjG//ymfA//tcyN//yraR//lldD//dfp//hcaF//aroH//ymgA//glnB//tnaB//fliG//thiP//hemN//abgA//waaQ//rhaA//kdgK//fliM//aspC//pmbA//ppiC//msrA//trpA//fliL//yhbX//livF//murA//bioB//ybhA//dgcJ//sfsA//manX//yehT//ypdC//csiD//plsC//yciK//hda//fixA//yraK//allS//tyrA//lsrG//rpsQ//waaZ//znuC//paaB//elfG//mtn//prs//dacA//nac//yaaU//erpA//pstC//dnaG//elaD//galM//trmJ//recT//grpE//ymjB//folD//rclB//yhaM//orn//mutY//yfcV//cyoD//gluQ//cdaR//ybjD//lptE//livF//ygaV//phnM//menE//ftp//rhtA//lacI//treC//dnaJ//cstA//pncB//chbA//galR//trxA//garP//ydfG//mmuP//mreB//yjhB//pinQ//ubiG//entE//ybaM//ybaK//glpR//evgA//prc//lptB//fre//cdsA//glmM//flhC//fdhE//lolA//casA//soxR//ulaB//rbsD//tsaE//cecR//entB//emrK//rsuA//rsmB//gpp//fabB//topAI//hdhA//yehC//yqeF//lpoB//atoS//dnaG//idnO//psd//ttdB//narL//dnaT//glxR//greB//ompW//phnC//bssS//glyS//agaW//curA//yehU//fhuF//fepE//glgC//cynT//ybaM//rssA//nirC//ftsK//rpsE//acnA//yidP//ycgR//degS//marR//ppsA//folE//trmA//cpdA//mhpA//trkA//tolR//osmF//tdk//truA//basS//yeeO//hycA//uxaC//clpX//dppD//glnL//yedA//yfcU//hypT//ridA//uspE//mtlD//xapB//alsB//rhmR//tdcB//nemR//bhsA//araC//putA//htpG//rpsQ//cusF//yehA//tatA//rlmI//ygaH//rimM//glnS//cspE//yqcC//mepH//ribF//rplA//dkgB//tsgA//moaC//cobT//gppA//yahN//sgcA//agaI//potA//marA//rplS//hyfR//murD//cmtA//ydiB//yhdW//tatE//mtfA//alsC//fdoH//mhpT//srlD//fetA//ftsE//frvA//pdeH//efp//ycjW//rpsD//eco//entF//yabI//insF-1//sfsB//kdpC//acrR//narU//tktA//hybF//copA//yhjA//ynhG//yddA//pgpC//intF//leuB//ligA//lgoT//dicA//nlpE//thrA//fryA//mepM//yihI//yhcH//intA//kbp//kefF//sgcC//thrA//arnD//coaE//adhE//pdxH//ydhQ//serS//waaJ//
GO_0006083_6	ycbB//uof//panF//hiuH//cof//proA//
GO_0006084_6	ftsZ//hybG//
GO_0006085_7	arnB//glyS//
GO_0006086_8	modA//
GO_0006089_5	dtd//sgrT//bamE//amiD//livG//cdh//recE//kefB//ybdR//artJ//menD//symE//mutS//ompR//ynfL//rluC//tehA//emrE//malX//hyfF//puuP//yafQ//cca//ydcM//dnaX//ilvI//envY//ldtC//fes//
GO_0006090_8	hpt//yqaB//lsrR//rlmJ//mreD//yobF//btuR//dsbG//rng//ydiR//fadR//nsrR//garL//rluD//dkgB//dcm//ecpR//rimJ//glgX//putA//argH//kch//mrcA//narV//garP//fdnI//afuC//purR//tmk//ffh//mhpT//
GO_0006091_4	aes//galM//guaD//gutM//ldtC//miaA//hybO//arsR//yfaE//bacA//selB//yjaA//groL//fadL//hofM//raiA//ydjM//atpE//oppD//ynfH//envR//guaB//hdeB//hdeB//hybF//flhD//gcl//lrhA//adiC//btuF//sgbE//yidA//casB//rplP//norW//ilvI//ttcA//ddpA//araG//rfaC//zntR//alaE//fsr//yibH//trkH//yecS//pphB//rpmA//sdhB//ydiR//uxaA//ppiA//gyrA//metF//sseA//xapB//asd//rfaH//chbF//yihS//sfsB//yjjX//ridA//iap//pheP//cdaR//entF//yhiM//ybaQ//glrK//selA//gpsA//prpB//parE//bioA//mtn//wecC//rluC//cadB//glxR//pmbA//metH//dinJ//ybiI//orn//rbsD//zapB//rutC//rpsB//casD//cynX//puuB//purF//rfaG//bioA//aaeR//rseP//waaQ//fhlA//artM//argS//dtpD//slt//yehY//hyaC//pgaD//treR//basR//yaaA//lolD//btuD//xapA//
GO_0006094_7	lptD//yhcN//glgS//trkA//dps//hrsA//dsbD//hisD//malP//rpnB//
GO_0006096_6	cusC//hyfA//yhfS//fhuC//yggD//ffh//bcsA//ygfI//narL//rpiB//yahB//sufA//rcnB//yhbO//exbB//frc//xanQ//ibaG//
GO_0006097_5	waaA//gutM//tktB//tabA//ubiJ//
GO_0006098_6	mdtC//rraB//focB//ybeF//cdh//
GO_0006099_4	ybiX//rpsJ//mppA//opgD//btuD//eptC//mrr//murC//recF//ydcP//nudB//abgR//glcE//abgA//yiaT//rlmD//glmM//
GO_0006101_6	mltC//rpsO//arnF//pgl//rtcB//asmA//envY//yajO//manX//mdaB//kdpD//bioD1//dppD//soxS//acrE//waaS//glk//
GO_0006103_5	yneJ//paaZ//gloA//
GO_0006104_6	lplA//rhmR//rfaE//
GO_0006105_5	rsgA//citG//prfC//sgcA//baeS//galP//mhpT//cutA//
GO_0006106_8	yfcA//
GO_0006107_8	atpG//
GO_0006108_8	umpG//uvrY//cspI//deaD//yceK//
GO_0006109_6	frdC//pgrR//alsB//aaeB//zur//yqjI//hscA//flgM//ydhJ//
GO_0006112_5	cusF//cydC//bepA//dtpC//pflA//yraH//entA//manZ//
GO_0006113_5	npr//mlaC//ycjY//ecpR//arnD//hybC//nadK//yegV//gltS//gadB//paoC//fdnI//yfbV//
GO_0006115_6	nfsB//
GO_0006117_5	rhtA//
GO_0006124_6	narP//
