#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ybiV//dinQ//yfcA//alsA//
GO_0001539_4	deaD//serA//rfaC//gcl//ygiW//folD//umpH//azoR//frvA//rplW//rpsO//yhcH//hemG//ychO//dicB//lepB//hemD//metC//xylB//metK//yjaA//frdD//nuoI//murP//ppsA//agaD//ycgB//fepA//rutC//yeiE//thiL//
GO_0001558_5	hslO//entF//tas//xylR//fecA//msrC//hldE//citX//
GO_0001561_6	yedA//
GO_0001666_4	atoB//
GO_0001676_6	agaI//araB//flgM//
GO_0001680_11	dcp//
GO_0001682_11	garL//
GO_0001731_7	glpT//
GO_0001762_6	ligA//
GO_0001887_4	rcsA//yahK//yhjX//
GO_0001896_5	cbeA//clpS//cysE//tadA//
GO_0001907_5	ycjR//chaC//mutL//glxK//
GO_0001932_8	ccmF//ivy//
GO_0001934_9	yieK//
GO_0002047_6	yciA//rpoD//
GO_0002097_8	yfgO//ftsK//yodD//ghrB//yjbB//trpE//malI//ygaZ//yidD//dtd//rcdA//alsA//queC//idnT//gapC//cutA//kbaY//flhC//mepH//
GO_0002098_9	trpS//hcaF//glnQ//ycjP//tsgA//rffG//pyrH//lepA//waaA//trkA//bioA//yahO//ppiA//
GO_0002099_9	uhpA//marA//
GO_0002100_9	csgD//
GO_0002101_9	pfkA//dgcJ//
GO_0002128_7	katE//hns//yfeD//hcaF//
GO_0002130_8	rssA//
GO_0002131_9	hycB//
GO_0002132_9	opgD//
GO_0002136_10	narL//
GO_0002143_9	fucO//yhaV//cydB//hisP//nhaB//groL//
GO_0002181_7	atpE//mhpC//
GO_0002183_5	cheZ//
GO_0002184_8	moaB//
GO_0002188_6	galK//
GO_0002190_6	yfhM//
GO_0002192_8	lsrK//
GO_0002252_3	yciT//arnT//xylR//mnmA//yciH//yjjQ//nmpC//ubiC//rimI//uxuA//
GO_0002790_6	yghB//ycjR//mprA//opgH//mhpA//rcsD//manA//
GO_0002937_9	puuE//
GO_0002938_8	helD//
GO_0002939_7	ydiZ//
GO_0002943_8	rapZ//
GO_0002949_8	xanQ//kdpE//ybgI//yidE//
GO_0003333_7	yecS//ycfJ//eutR//phnC//puuB//erfK//livK//frlB//fliS//degQ//hda//ydfK//acrR//kgtP//gstA//cobU//moaB//mltA//caiB//tufB//yeaD//pta//yddG//udk//wbbK//tdcE//ybaK//rarD//brnQ//mepA//metH//yqaA//hemH//yjeH//recT//yajR//yphD//yafC//sfmF//gabT//yjbH//pphA//yjjU//ydeP//ycjW//nusG//lpxP//rspB//polB//
GO_0005975_4	paaB//acpH//metE//decR//dnaE//yefM//mdtQ//hisH//mcbR//proB//phnP//purA//nlpA//queC//sthA//rpsN//rpiA//msrC//hcaC//pdeF//rfaF//flgA//ftnA//fumA//aaeA//ldtE//yhjD//kdgT//xdhB//pnp//flgH//soxR//cbtA//zraR//holE//feoC//hrpA//prs//pdeD//cueO//lpxM//ybiA//glyA//insA-2//rclB//rutG//solA//emrY//panZ//tqsA//nuoN//dnaB//flhE//fadA//aer//ompF//cyoB//rarD//rcnA//ybhI//hemL//caiB//gudD//yhhY//yfcF//allR//copA//ybiO//ycbV//plaP//sanA//ssuE//rplY//waaY//uhpB//rplX//yqaE//dnaT//cbpM//gltS//holA//tap//flgI//sfmH//curA//bhsA//atpF//ompG//alsC//yjiY//hisD//tisB//dsdX//phnO//fliG//selA//ypdC//udp//gsiA//insF-1//asnB//rimI//yidE//rsmE//idnT//xisE//cnu//yiiE//yecS//copA//yegD//dsdA//gloB//sapB//zntA//casD//ileS//ttdA//nlpD//rcsA//rutE//truA//accD//carA//folX//ampH//talB//flgG//rutD//ybiT//lptA//nusA//yidK//btuE//zntR//yhdJ//hdeD//waaO//malK//yjjU//purN//paaJ//yaaJ//galE//dnaG//eptA//tatD//ybfA//ycjP//truC//arcB//pcm//pstC//sufD//rplL//umuD//pck//ynjD//rlmH//aroL//sixA//nagC//pgrR//garD//yghG//sgrT//citE//rpsJ//curA//nupG//nusG//ybeY//kdpA//baeR//ybhD//fetA//yeeL//dcuS//glnS//ugpC//ygbN//yjiM//yagF//artJ//araF//tmk//hdeA//epmC//pspC//metF//yhfS//rpsP//sapF//dgt//yfiE//yafE//cutC//yfbS//tcyJ//yahB//murR//mutM//ydcI//gadW//bluF//astB//yaaA//mhpC//pheP//agaV//rpoE//fhlA//msrC//tsaD//gluQ//moaA//hcaC//ymgC//yidR//edd//dadA//dacC//dcm//flgF//treB//cheR//ilvC//pgpB//rpmF//paaJ//ftsE//yhjX//dfp//gsiC//mglC//btuF//ykgM//speD//yifB//katE//ansB//ypdF//rhlE//aroC//yfeX//tusA//rlpA//yhjG//yadC//glrR//gldA//xylB//rnlA//glvC//
GO_0005976_5	yegD//atpA//yejB//hsdM//chpS//ygcR//flhA//ygjR//sdhC//mocA//ansB//ftsQ//acnA//mdtO//gudD//modC//bioA//malE//dmsC//yneJ//trpGD//ybjN//fabH//opgE//narJ//btuF//insK//ycjR//intE//cas3//rhaR//xanQ//acrE//wrbA//yiaO//tsgA//dgoT//caiD//ybjI//fliZ//mdaB//gadW//mltC//phr//yneL//glvB//aaeB//uspB//rarA//lasT//rpsD//btuE//lolA//yhcF//kdgT//ycgV//pspA//kdgR//yciF//
GO_0005977_6	gppA//uidC//rsmB//pgpB//amiD//fdoH//ybeF//gcl//
GO_0005978_7	creC//fimI//nupX//ddlA//
GO_0005979_8	msrA//
GO_0005980_7	mhpR//prpR//ugpE//
GO_0005981_7	cheW//
GO_0005984_5	yjtD//mlaF//citE//yfaL//creC//dnaG//lpp//caiE//glnH//betI//ygbL//
GO_0005985_6	proB//
GO_0005986_7	nac//
GO_0005988_6	tcyN//mglC//
GO_0005990_7	ompF//dusC//
GO_0005991_6	gltX//dgoK//trmD//dmsA//yoeB//
GO_0005992_7	hybG//fdhF//
GO_0005993_7	cysB//yfdC//soxS//
GO_0005994_6	tusC//
GO_0005995_7	lpxT//
GO_0005996_4	tus//yfiF//fdnG//opgH//psuG//pflC//fucI//rplO//feoB//ilvH//dinJ//pcnB//entE//exoX//arcA//insH-6//cydA//trg//rffT//rhlE//murQ//mtnN//hyfC//coaE//slt//sbmA//epmA//trmI//mutL//yjjV//argK//kdsB//yidC//tsaD//opgC//ybcC//setB//agaA//fadR//frlR//ldtD//insF-1//yneL//ubiG//wcaC//gdhA//vsr//ftsY//fucO//aroD//xseA//wzb//hslR//nuoL//speE//nrdR//uidC//pyrG//appB//ycfH//gppA//yehP//ccmA//motA//yjjB//phnK//focA//avtA//purU//yjfF//ynbD//agaC//pitA//opgC//argE//alsK//ybaT//manA//citC//ddlA//tcyP//groS//
GO_0005997_6	rhmR//
GO_0005998_7	ymjB//
GO_0006000_6	frwD//atpH//serC//
GO_0006001_7	ubiA//frwB//
GO_0006002_5	paaZ//ispU//rfaH//
GO_0006004_6	kbaY//ompF//yafO//paaH//pspG//ycjD//
GO_0006006_6	nagE//elfC//secD//yciK//miaB//ybiV//aroD//ppx//yhdW//phoB//mqsA//aroE//hofC//rbsK//yhdJ//raiA//ydiV//eno//sspA//dacA//gspI//radD//smpB//
GO_0006007_7	hcaD//speA//yfcU//
GO_0006011_5	ybhG//
GO_0006012_6	rraA//pgpC//alaA//yjcO//yfbV//yjhI//fixC//csdE//udk//
GO_0006013_6	ccmF//tehB//
GO_0006014_6	bipA//puuA//ugpB//
GO_0006015_7	rrrD//tusC//
GO_0006020_5	pdxH//
GO_0006022_5	wecA//yhjD//fdx//tusC//melB//lplT//nrdF//ybjN//rfaF//tatD//waaP//ybgI//galK//sgcX//pth//aspS//rpmF//htpX//ydfH//iraP//recG//fimH//gltI//thiI//macB//slyD//bssR//yrfG//thiQ//pdxK//asnC//fabH//flgF//ampG//selA//metG//rsmG//acrF//ynfE//ortT//sdiA//mtr//ndh//dnaG//bioD2//ygiS//lpxC//gadW//ybaQ//pgi//yciT//ypdF//ubiG//ygjH//hsdR//curA//hemE//fabR//gudX//frdD//gabP//tdcD//polB//
GO_0006023_6	gabT//fetB//fetB//pspG//rplK//bioC//pepQ//dsbG//aroF//adiC//phnP//abgR//rpoS//ltaE//rpmE//galS//ybfE//seqA//kdgK//yiaM//melA//mepH//opgG//ttcA//clpX//ynfH//fimI//sucD//recC//yhfK//sgbE//fetB//rbsA//hemD//cydB//chbC//valS//yagJ//lit//
GO_0006024_7	fcl//cutC//mrdB//betA//dauA//argD//ggt//gsiD//phnL//dcuB//lptC//ubiC//frwB//maeA//dcuD//glpK//uof//torS//gntP//purC//ybeY//clcB//nusA//adiA//rseP//srkA//hemE//yggN//rcsC//yiaU//relB//deoA//sdhB//tsf//paaJ//cstA//ychH//tynA//treB//
GO_0006026_6	yifB//rhoL//ynbD//secA//msrB//yraH//hemA//ligA//nuoB//csgB//
GO_0006027_7	prpC//rfaQ//pcm//dsdX//treC//amiD//ypdA//yhhT//hslJ//spy//
GO_0006040_5	waaL//lsrD//mdtG//serB//ssuA//modA//cdsA//yfcS//pitA//murE//gmd//rihC//folX//nsrR//yahN//waaB//ebgR//
GO_0006044_7	coaD//dppF//yehW//metQ//ompL//
GO_0006046_8	yciV//yeiG//hipA//ugpC//
GO_0006047_5	dbpA//yphD//recQ//corA//yidE//ispH//rpoE//
GO_0006048_6	narK//rlmM//narG//pspC//mzrA//yieF//
GO_0006050_6	elaD//
GO_0006051_7	dsbA//
GO_0006053_8	ydiV//
GO_0006054_6	ydcR//xseA//ivy//hybG//dsdC//zinT//paoC//
GO_0006056_6	surE//
GO_0006057_7	rmuC//
GO_0006059_6	argB//wcaC//yeaK//bglA//
GO_0006060_7	eutR//
GO_0006062_8	queC//
GO_0006063_5	yqaB//bamB//zntA//modC//hcaT//rnpA//zntR//cmk//cyaY//
GO_0006064_6	ogrK//mak//ddpX//fklB//insH-6//tauB//
GO_0006066_4	mmuM//dctA//malF//gshA//casE//araE//sucC//rpsM//artI//potE//tatC//yihO//ilvL//rph//gadE//leuS//bacA//flgC//cbtA//ynjA//rcsB//azoR//cmtB//nepI//ivy//ycdX//yneL//yebC//hslV//yieK//moeA//kduD//
GO_0006067_6	hfq//grcA//yhcF//
GO_0006071_6	ykfM//sugE//sdiA//nikD//secF//yraH//ynbC//
GO_0006072_6	yrfG//rnt//feoB//yidQ//minE//
GO_0006073_6	ubiX//frmR//parC//nrdD//ytfE//nuoH//frr//pnp//xylH//yggP//yqjA//fadJ//yqjA//rpoH//fdnG//recJ//gadB//mlaF//malS//yggF//
GO_0006081_4	waaA//yfcS//frlR//cedA//yadG//fimE//ydaV//dgcM//frmB//rffH//mpaA//mutS//topAI//hipB//cysC//rhaS//yobA//cadA//lipB//map//tpiA//topAI//eutA//pnp//yadC//nikR//aidB//aspS//potC//nupC//rsmB//lpcA//rlmM//elfA//gcd//waaL//mlaE//alsA//gadC//recQ//acrD//hypE//stpA//crr//yebK//rodZ//gspJ//arsC//mdtK//pgpA//pgaD//yfcF//lysS//ygeW//ruvB//sapA//tufB//rbsK//yibF//xdhB//mutL//yghW//nupX//polA//pabA//hslU//rdgB//
GO_0006082_4	rplQ//speA//zraR//pstB//rplD//livG//rpsH//ushA//aspA//thiD//yahO//adiC//fimC//fliD//secA//yciG//lpxK//efp//rfe//hcaT//yfdS//csgD//glnL//uidC//elbB//ulaF//etp//uvrD//solA//yhjC//speG//selB//yfaL//nfsB//hdeB//tus//fucP//infC//yihR//arnB//frmR//msrA//tsgA//araB//yhdX//yfaL//hisI//gntK//rapZ//dtpB//glcB//holC//uvrY//ddpX//caiB//yhdW//mscM//wzzE//msrP//glpD//bcsA//aspC//argP//ydiB//kefB//srlR//ygaV//prfB//cusB//mdtD//hcaR//mdlB//sapB//puuP//trkH//hemF//hypB//fcl//zapE//mtr//norR//skp//gspJ//rpmF//insI1//murR//cpxR//acrB//greA//aaeB//yfcQ//uxaA//kbaZ//focA//hcaB//rhlB//yfdK//gabP//ydaC//yiiE//ccmD//yggW//fabG//pppA//oppF//nuoM//mhpR//fadL//rlmI//gudX//yphB//ymgF//rplN//xylA//rluE//mdoG//xylF//mtlD//fadR//prmC//puuE//ftsX//ycaO//hexR//gspI//tatD//rluA//flgC//uidR//yfiF//panD//ugd//carA//ansB//radD//ybcC//hcaT//arnT//bcp//ileS//yiiE//mngB//sgcR//yihV//yjeH//rihB//cadC//selB//ligB//iraP//mutY//uxaA//dinQ//setB//dxr//adeP//torZ//ttcA//feoB//nagZ//ecpR//mdtP//ybjN//rclR//rhaS//mraZ//ygeW//deoR//rplD//dgcQ//ariR//hrpA//ibpA//shiA//ispA//truB//ybiW//pspA//acrD//ybhI//ycbX//appA//pgi//rtcR//ydhQ//sspB//amtB//csiR//fiu//mtr//insA-1//glpC//aroB//yrdA//nfi//pdeR//cadA//bioH//leuB//gcvT//yjhH//mrdB//moaC//menF//ychH//cobT//rcsB//rplY//cas2//metE//zntA//rfbB//yghB//yihR//glrR//rplW//menH//fiu//caiT//katG//cyoA//yhjA//pspA//dtpD//ybjC//yegD//dkgA//yciE//prmB//dxr//mgrB//fimD//sulA//yhhT//ilvB//paaH//cho//mtlR//cyoD//narW//mntS//yjhH//nrdF//flgB//gpr//intE//bfr//deoA//kdgK//cysQ//hycA//garP//ybjN//hsdM//bolA//kbaY//yfcU//cyaY//yqeF//metK//ydbD//holD//patA//talB//pitA//lexA//agaD//nlpI//borD//fieF//cynS//dcm//chbG//nuoM//rcsC//cpsB//tas//rng//phoE//envR//envR//flgI//uxuR//yiaF//hrpA//rnt//fimG//hdeD//rpsT//ibpA//hexR//recJ//ydeT//yciE//kdpB//hypD//argC//ubiF//dnaX//yejA//priB//rnhB//greA//cmtB//glgB//mntS//rarD//ypdA//znuA//ydfH//glsA1//aaeB//pgaB//yfjV//rplK//galM//trpA//dkgB//ccmC//epmA//queD//rpsG//ariR//bolA//baeS//hdeB//sfmF//ymfA//yghG//panF//tusD//tufA//patZ//yciT//tabA//ykgA//sfmF//pgk//rcnR//yjjV//proA//ydcT//sgcC//rraA//sufE//intZ//rcsA//dcp//nikC//rhaS//hscC//mlc//waaQ//opgC//sufC//nfsB//cspC//pgm//ccmA//hcp//hcaC//accA//mlaE//ldhA//ybdN//fkpB//radA//flgI//ulaA//ymdB//truD//rhlB//nirD//cpxP//agaD//rutD//kduD//bisC//ydfG//iscR//zapD//glcC//thrL//insF-1//apt//lysS//emrB//waaB//hslO//avtA//uspE//gsiC//yaaA//mdlB//yjbF//iaaA//xdhB//marR//ibsA//clpS//gadX//nrfC//thrA//gyrA//tatB//gspI//shoB//yhcF//rseC//mhpA//queE//mdtA//hchA//ravA//lolE//mdtP//zinT//potC//nanT//flhA//cadA//yqiI//nikA//dgcN//clpB//ispF//rna//clcA//hybD//frvR//narU//nemR//nagC//glgP//fhlA//yhiM//hipA//pdxA//yihO//gsiC//ybhI//rfaF//rpsS//yddG//maoP//yehY//idnT//thrC//pykF//yegV//rsmC//arnB//lgt//entC//zwf//hrpA//eno//scpC//yciH//fabB//
GO_0006083_6	pckA//minE//aidB//ybiW//rpmB//rplY//
GO_0006084_6	sutR//sixA//
GO_0006085_7	alsK//pykF//
GO_0006086_8	ygfA//
GO_0006089_5	lpxT//mlaC//bioD1//yjbB//exuT//nfi//ydbD//narQ//mrcB//map//selB//frvA//hdeD//bsmA//dam//ubiH//dicB//sucC//ybiT//rdgC//hicB//aroD//ftsN//rutD//dnaC//flhE//ldrD//ygcO//ybiV//
GO_0006090_8	intQ//trpS//yfhM//ulaG//cbrA//rpiR//flhE//sodA//ycbB//sad//preA//yhhT//mtr//endA//yfhH//amiD//frsA//yehA//sulA//amiB//yihW//mhpB//cyaY//creB//dgoD//opgD//asnS//fabI//narI//frvB//nrdE//
GO_0006091_4	talB//kdpD//arnA//thiM//entF//rsfS//aroC//rsmC//hexR//pspC//guaA//gpr//leuS//glmU//yccX//moeA//recD//pntB//yfaX//sgbU//plsX//yfcV//rzpR//narG//setC//dtpC//nrdG//tsr//rcsD//chbG//rlmA//glyS//yijE//ilvI//cyoE//waaS//chbC//relB//yoeE//ytfT//pphB//sgbH//acrB//ygcO//ptsG//metR//sbcC//ccmH//coaD//setA//trxA//glyS//preA//tolC//arfA//degP//prfA//argI//yiaU//rffM//purA//uhpC//asr//ydgA//dapD//bioH//gyrA//codB//ytfT//fdhD//ymgC//cusF//bepA//rnr//fepE//ydjK//hemN//sdhD//allR//fepE//recX//cusF//tolQ//eutK//eptB//narX//treR//lsrB//bioD//lldR//accA//ydhK//gudP//infB//rseB//cpdB//gor//ytfP//ldtD//grxD//ydcT//glpD//fimB//ubiX//tdcE//hmp//yjiX//tap//lepA//phr//cydA//pdxB//
GO_0006094_7	frsA//pflA//sseA//nfuA//ydjL//thiE//cydD//hisH//yedL//chpB//
GO_0006096_6	nemA//mlc//argF//tsaC//dapA//kdpD//cptB//nrfC//aroB//panC//mrr//znuA//tamB//aldA//slt//ydaC//ybdG//rpmF//
GO_0006097_5	umuD//rhlE//cyaA//mhpA//rnlA//
GO_0006098_6	dsbB//tolB//tatE//mnmG//cbl//
GO_0006099_4	rraB//tauD//rpsJ//glnL//hyfR//gcl//lapA//cysH//nrfD//dinG//phnI//radD//yeeO//ilvN//menC//feaR//mcbR//
GO_0006101_6	nepI//hofC//hfq//ycfS//allC//radA//mreD//tamA//yfbU//mdtC//bdcR//smpB//nuoH//hicA//rsmH//spy//secB//
GO_0006103_5	mrcB//srlE//rfbX//
GO_0006104_6	yihR//mtfA//mcrB//
GO_0006105_5	sdhA//dacA//osmY//yehZ//mhpC//moaB//rnlA//dinD//
GO_0006106_8	yjeH//
GO_0006107_8	secE//
GO_0006108_8	fetA//rbsK//phnL//ubiD//asnC//
GO_0006109_6	gatD//zapB//rbsR//yeeO//insH-5//rpnB//rlmA//gloB//purC//
GO_0006112_5	hflC//radD//ddpX//rzoR//uhpA//ycfH//bluF//seqA//
GO_0006113_5	frlC//yggX//gntK//pgl//yjeI//sixA//kdgK//hybG//acnB//napF//ppx//panZ//nusG//
GO_0006115_6	serS//
GO_0006117_5	uraA//
GO_0006124_6	bipA//
