#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	argS//fadR//secD//fadM//
GO_0005976_5	cpdB//yhcN//btuD//uvrB//envY//entD//acrE//cas2//yeiG//btuC//osmY//tatB//yjbB//nemA//srlE//ybfA//yfeR//bglF//rpiR//flgC//gltS//cadA//ulaG//purD//gudP//tar//glsB//fhuD//ftsK//ydjE//cydD//sufA//dcp//tufA//frmR//satP//ydjL//yqcC//yhaM//yfcF//rpsK//rluF//fadM//rstB//trpR//fucO//dhaK//kdpC//yfiC//elyC//cysS//scpB//fadE//emrB//gyrB//rpnD//dhaM//cysK//hyaA//
GO_0005977_6	hsdR//hscB//argS//qseB//yfcQ//ivbL//hisH//tauD//
GO_0005978_7	ygcO//fdhE//queG//metB//
GO_0005979_8	fadH//
GO_0005980_7	grcA//hrpA//bglA//
GO_0005981_7	cdsA//
GO_0005984_5	hipB//asnS//flhC//yajD//pitB//ydhJ//frlA//ydeO//cydA//ygbI//eutD//
GO_0005985_6	mdtQ//
GO_0005986_7	lptD//
GO_0005988_6	tgt//arcC//
GO_0005990_7	crl//trmD//
GO_0005991_6	rfaH//fruK//glsA2//secD//bioB//
GO_0005992_7	yhhT//ynjD//
GO_0005993_7	rraB//rssA//sodC//
GO_0005994_6	mrr//
GO_0005995_7	ybaM//
GO_0005996_4	phnM//ybhG//mscL//dcuR//dgcM//araA//dnaC//ygdG//dcyD//sgcX//plsC//queD//ybjD//pphA//xylA//abpB//frvR//ydiZ//nikA//potH//ddpA//napA//yccX//hemD//sdiA//ybdO//hprR//yhaJ//cspA//creB//recB//rspB//fryC//pdeR//ddpX//prc//afuC//murF//npr//cbrA//yhaV//matP//tufB//rutA//sapA//sapA//cbrA//dsdC//rng//sdhB//proC//yfdO//ydhK//glpD//potI//rcsF//nimR//yihI//yqeF//hdeA//acnA//ydiP//rnc//rseC//yqjA//leuC//yfdS//tatB//gcvP//pdxY//yojI//dpiA//cspD//norW//yfeX//ybaT//ybcJ//hisG//glvC//mdtQ//fadB//murJ//
GO_0005997_6	ibsA//
GO_0005998_7	hisD//
GO_0006000_6	surE//hupA//frdA//
GO_0006001_7	arsC//ybiI//
GO_0006002_5	rrrQ//elfC//ydjE//
GO_0006004_6	rhaB//zraR//fnr//hcaF//rpiB//xerD//
GO_0006006_6	ycdX//glpC//insB-2//ydfD//ydaN//actP//tolC//yciK//aceF//secM//glk//yedF//bsmA//mdtM//yahF//fimI//zur//uidA//ptsP//insH-6//cpdA//fepG//smrA//
GO_0006007_7	ptrA//polA//csiR//
GO_0006011_5	ung//
GO_0006012_6	bdcR//tbpA//metL//ybdZ//fadJ//glgS//nadD//bioD2//ybiH//
GO_0006013_6	ydjH//hflD//
GO_0006014_6	ygbI//msrQ//ortT//
GO_0006015_7	yjjI//waaC//
GO_0006020_5	norR//
GO_0006022_5	trpE//ssuE//ugpB//fdnG//serA//nupG//phoR//cmoB//fimG//pepQ//nrfD//aroE//proP//rssA//yegV//epmC//ydcM//ygaV//fimF//gadE//nusG//sdaC//rdgB//secA//nrdH//feaB//glnQ//kdsB//sodA//menC//btuR//acrD//galP//btuC//moaD//fbp//agp//talB//selD//gyrA//fdrA//cysE//dinJ//menF//mlc//gsiA//yhfS//phr//ybiV//glpT//yiaU//glmM//yeaG//nikE//gstA//ydeI//prmC//rutC//lysP//hemA//thiH//wecC//moaD//
GO_0006023_6	shiA//folE//idnD//dinQ//glcC//paaC//gspE//lacI//yhfS//ybbY//emrD//eutK//elaD//yegT//ybdN//phr//folP//hisB//pta//modC//hprS//gatB//uidC//ibpA//ybgQ//gcl//sstT//fdoI//opgB//pgm//speE//feaB//zntA//acnA//azoR//purR//cusA//ybgI//entH//
GO_0006024_7	yejE//pykF//adiC//gspE//clsB//ggt//ispG//mfd//cpdA//galE//cpxA//ralR//mukB//mraY//yjgX//yhbX//trxA//xthA//tktB//mtnN//iscU//proC//xylF//sodC//rrrQ//mtfA//mdoD//fucK//ynbB//yadV//hemD//caiD//hybD//msbA//prlF//lptF//yehA//leuS//yghU//
GO_0006026_6	trmL//sdaB//yggP//valS//allD//hipA//yciA//pabC//glgA//rnpA//
GO_0006027_7	rpsD//cheZ//aqpZ//rhmR//mntR//ileS//uspB//hslO//mnmA//flgF//
GO_0006040_5	msrQ//murQ//rapA//casD//bolA//aceB//yggX//treF//yccS//cysA//rlmJ//lsrR//ybdZ//yeaE//amiB//rrrD//alsC//
GO_0006044_7	hinT//glcE//narP//bioD2//nikB//
GO_0006046_8	gstA//cysE//lsrC//prfB//
GO_0006047_5	ybhP//ybbN//ttdA//afuC//pfkA//rof//hemE//
GO_0006048_6	acrA//yhaC//cspI//ttdT//rbsD//matP//
GO_0006050_6	hisM//
GO_0006051_7	pyrE//
GO_0006053_8	zapD//
GO_0006054_6	bcsQ//yhdW//hslV//gspJ//holB//gspF//mltB//
GO_0006056_6	cedA//
GO_0006057_7	amiB//
GO_0006059_6	ydeP//sugE//tusC//fliL//
GO_0006060_7	treC//
GO_0006062_8	pdxH//
GO_0006063_5	selB//priC//gadX//codA//galU//dgcQ//orn//asmA//intZ//
GO_0006064_6	tyrS//gntK//yhjX//rne//ilvC//rpoE//
GO_0006066_4	ccmF//mnaT//fimC//fucA//ydcI//etp//carA//rpsK//kup//hybG//yhbY//purL//fdoG//bglJ//blc//acnA//yegD//hyfF//nadB//cpxA//fimB//mltF//rclA//elfC//zur//fimF//paaB//cpsG//chbB//yfcU//clpX//flgH//
GO_0006067_6	yagI//dcuC//ygiS//
GO_0006071_6	maa//yjfP//cecR//wcaJ//metL//ydcM//ompT//
GO_0006072_6	ycbB//scpC//nupC//marR//napF//
GO_0006073_6	lsrB//oxyR//yfaU//surE//nagB//norR//hofN//aceK//yqiG//fieF//pth//alaA//dld//envC//yhdZ//dnaC//hslR//yeaK//ydeO//yiaA//
GO_0006081_4	insI-2//yjjV//paaC//groS//yfdC//yfcA//emrY//manY//serA//yoeE//fucK//ascG//era//ugd//tig//hofN//aceF//rffT//fimC//aphA//melA//dcd//infB//nirC//argR//hfq//glpF//evgA//acrF//arnT//puuR//patD//dtpB//lysR//hflD//lldD//hexR//ygjH//fliS//rimK//wza//dcuB//trpE//yieF//dcd//cecR//narV//rffC//spoT//higA//phoQ//lsrK//prpC//ldtC//garD//elaA//zapE//cysN//kdgR//yiiM//prfC//tcyJ//yadK//cheY//sodB//srlB//rplW//
GO_0006082_4	rpiR//hxpB//yidQ//rbfA//rzoD//pflC//yehU//dcuR//waaB//acrF//pgpA//queF//tyrB//gph//yggX//fimI//dgoD//fliT//yehX//tusC//rcdA//rfbD//yfcQ//nudG//fadI//era//ftsW//elaB//gyrA//surE//fruB//cvrA//codB//zapB//pgaD//elaB//rpmA//aldB//xisE//nupX//ybiX//mlaC//ybfA//eamA//rutC//dhaK//glmS//uvrY//xapR//ygaV//htpG//purL//alaS//ampD//ftnB//selD//cysK//metR//pmbA//ansB//yiaL//osmE//mltA//ftsQ//frdC//frlR//mreB//rluF//hycA//sfsB//yafQ//ompF//bepA//rpsP//deoB//yraH//ycdX//smrA//glxK//rlmI//lit//hofP//cspB//yagJ//rpmE//ynfK//wcaB//ftsQ//tsaC//tamA//radA//rbsK//yajL//hprS//ydaV//fliS//mdtF//edd//pgaA//iscX//htpG//glnA//ybfE//ybiI//exuT//rpsN//uxuR//dcuB//tgt//mngR//uspB//ispG//yidD//greA//nrdR//yhfK//ybhJ//satP//flgM//lsrC//paaF//mdlA//yeeO//dhaL//cmtB//iscU//tcyL//hchA//tdcA//ynbB//yfeR//ycjY//ycgB//frc//treA//sstT//arcC//ybaL//kefC//cysI//mltD//abgA//metH//otsB//atpB//fadH//thiM//cbrA//prmC//kefG//recC//gnd//fsr//mutH//yajR//yrbG//tatC//glcB//cyaY//fpr//sfmA//yiaU//ybjG//yedP//uvrY//ilvM//gadW//dam//valS//sutR//gspF//kdpE//tyrS//pgl//nfi//shiA//hemF//insI3//ycfH//speD//wecA//glpT//mcbR//yiaA//lipB//hcp//secE//pstA//mntR//rhaA//lsrC//lrhA//dnaX//argB//sohB//hemG//glyA//ndh//ybdG//hdeB//phoQ//gcvP//srlR//cpsB//leuE//tauD//malG//ydhQ//proS//trmO//yfhH//gcvP//envC//yfcV//kdgR//panC//acpP//adk//accA//secE//lon//otsA//frlB//ubiH//hypF//rpoH//ascF//menA//recD//proC//rpsA//ydiF//potI//hemB//uspF//yehP//yhaV//rhtC//rluC//uhpA//aspC//yhfS//avtA//tbpA//katG//nirD//yaaU//yhbO//ybdM//dicC//yfdO//helD//mutM//yfdC//purC//leuD//ybiX//ydjK//ydiV//mak//lgt//ycbU//prlC//flhE//ybcL//prpC//rplN//sucC//tynA//rbfA//phnH//tsaB//ydeM//dfp//treR//guaB//macA//mdtO//cusS//gmhB//pfkA//tpiA//aphA//mzrA//hdeA//csiR//insI3//cysQ//sdaB//yciA//rcnB//pgm//aroC//caiF//mocA//lolB//gcvR//ppiC//mglB//gph//mlc//mntS//yjjB//yheT//ung//gor//yihQ//glnK//grpE//rlmA//ispG//purF//glnH//yfeW//nrdD//hpt//mrr//yhjA//dsbG//trmI//nadK//prmA//opgB//cyoD//metE//yihU//uspB//pyrB//metR//gatD//potB//ihfB//rpoE//proB//asmA//insH-6//lolC//nfsB//ygiS//udp//opgH//tyrA//acrA//rluF//ygbL//gutM//mrr//ybeF//hda//speE//mdtM//fabZ//yqcG//yoaB//asnC//entB//artQ//gppA//trmB//actP//glpC//nrdD//murG//bolA//ompT//eco//nadC//uspG//cyoE//tynA//fliZ//caiD//thiM//nhaA//ybeQ//rbsB//ampE//rluC//narZ//moaD//fruB//lysO//ymjB//acnB//prc//glcC//gspF//nemA//yadM//kdpC//roxA//yfeW//fixC//gstA//hxpA//ykfI//nrdI//mngA//deoB//gudP//flgG//chbG//narU//crp//bamD//asnA//asmA//pabC//ykgA//yahF//glnP//emrD//pgpC//fepE//glmS//menD//lhr//truB//aroH//cysD//gadB//fumA//yebK//aroP//thrC//waaL//fimC//yfcR//xthA//ompN//dnaK//nanC//higB//rimK//adhE//mdtN//xylF//alaS//hdhA//glcF//stpA//uhpA//ebgR//guaC//dicB//ydeI//ascF//umuC//ampH//frdA//rsmG//gpsA//rpsI//ompF//btuR//mepA//lolA//wcaB//hycI//opgG//
GO_0006083_6	speB//glpF//norW//hisG//hpf//ompL//
GO_0006084_6	hflD//ynfF//
GO_0006085_7	ccmH//yiaL//
GO_0006086_8	cadB//
GO_0006089_5	yciG//dtd//frlR//bamE//rpsE//zapE//sdaA//mdtG//dtpC//lysO//ykgM//yddL//murD//plsB//dgkA//ycbX//ydiP//rpiR//tadA//yjjX//nrdG//psuG//sbmA//tsaB//ettA//yfhM//yhcN//acpP//ulaR//
GO_0006090_8	dgcM//yjiM//flhD//yahF//pspA//casA//srlD//lapB//ydjM//lptB//yehC//zraR//truD//lsrG//panE//dcuS//corA//maa//insK//gntP//groL//suhB//mcrA//bdcA//cpsG//macA//ydhQ//phoP//paaZ//yqiI//cmoB//
GO_0006091_4	rffG//paaC//yccX//gpmM//moaE//yagG//raiA//araE//ycfS//ydaN//phnK//trkG//mntH//topA//yqhC//pdeF//lpxM//sbcD//kdgK//frmA//ydcT//shiA//srlB//selA//torI//rclR//fdrA//prfA//rdgC//hokE//yebG//yhhZ//trkH//rfaH//decR//csiD//yheT//exbD//ftsK//priC//dctA//nmpC//ybhI//ung//mdtK//lysU//radD//rodZ//nusA//rpsS//ykfI//yhdZ//yddM//phoP//entF//codB//citT//mcbR//mdtF//glcF//gph//endA//uvrD//murF//rutE//pheM//menI//chiP//rimM//raiA//sgcC//zwf//putP//hchA//ycfL//astB//uhpB//ydfD//yadG//murF//allB//yneE//mtgA//yaaY//lamB//malS//pdxJ//ccmE//yfaL//rmuC//metH//gadB//radA//melR//yoaA//murF//aqpZ//dctR//cysD//fabR//epd//fliG//alkA//cysU//fadE//hcaT//hisI//mdfA//agaA//dmsB//iscU//speG//
GO_0006094_7	cysM//ymgA//hrsA//ispF//hslU//cytR//maa//nrdA//argO//argB//
GO_0006096_6	cheA//ilvL//soxS//hiuH//mgrB//evgS//kbp//fpr//ydcO//yggF//gpt//yhiM//glnP//prkB//tnaB//cnu//atpB//dinB//
GO_0006097_5	miaB//mrdA//bluR//ydjK//purU//
GO_0006098_6	fliM//hldE//pyrL//ybdG//manZ//
GO_0006099_4	xseB//djlC//cdh//panD//yahB//ascG//argE//glyA//yeiL//maa//phnI//ruvA//fadM//pstS//lepB//nrdA//yqcC//
GO_0006101_6	fadA//mutH//yiiD//mlaD//ycfL//atpC//waaH//yegV//aaeB//ydcS//ydeI//ycjW//nusA//rnlA//secY//chbF//tatC//
GO_0006103_5	mdtQ//flgK//citG//
GO_0006104_6	acrZ//pstC//zntA//
GO_0006105_5	rffH//rbsB//sgrR//idi//clsA//rnpA//glnD//mnmG//
GO_0006106_8	pitB//
GO_0006107_8	atpC//
GO_0006108_8	fimB//tyrR//kduD//hcaE//rhaM//
GO_0006109_6	dgt//hisF//cysS//livG//udk//znuA//nuoL//gsiC//ispB//
GO_0006112_5	agaA//icd//fic//sgcC//ftsK//puuE//pinE//mutM//
GO_0006113_5	rihA//hyi//rcnR//ung//livF//glcC//rpsD//npr//insI-1//tcyP//ydiF//atoS//pinR//
GO_0006115_6	flgK//
GO_0006117_5	frvA//
GO_0006124_6	argB//
