#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	adiY//ycgR//pheA//ypdA//
GO_0000271_6	agaV//ydeM//aroA//paaZ//msrB//recA//hsrA//puuE//gltS//feaR//rhaR//pcnB//ilvA//fumA//proA//rpnA//artI//ykgM//ydeI//pheM//yjhG//idnK//ispA//fiu//alsE//recD//argS//gyrA//trpE//hdeA//ftsA//hybD//uvrA//cptB//clsB//ispH//fhuF//yceK//rlmD//rutE//feoC//gltK//ubiE//coaE//epmA//glgA//rbn//tsx//alsB//dsbD//
GO_0000272_6	yqjH//ygeR//lsrC//clsB//mdtK//ldcA//
GO_0000302_5	dinG//arfA//ampH//rdgC//clpS//prmC//phoU//frdB//rpiA//yhfS//nrdB//rutD//yjbB//mprA//relB//cueO//pgsA//fryA//ompR//glpG//gltX//gsiC//paaX//tyrR//gldA//mdtA//dcuS//rlmA//murC//cycA//xisE//
GO_0000303_6	rlmJ//gltB//
GO_0000305_5	fklB//pstB//tomB//
GO_0000372_11	pcnB//
GO_0000375_9	cydB//
GO_0000376_10	ulaA//
GO_0000413_9	iscR//torR//glpC//ribE//ydjE//mepM//gutM//garR//
GO_0000451_7	gadA//gspF//rpsN//ytfR//garK//
GO_0000453_8	uhpB//trxA//ulaR//eutR//yjhH//
GO_0000455_9	casA//rutB//tdcB//rlmE//rpsD//casB//potD//
GO_0000462_11	phoP//murI//
GO_0000469_8	sulA//
GO_0000470_10	hybG//
GO_0000478_9	cyaY//
GO_0000715_6	gadX//
GO_0000716_7	uspB//
GO_0000724_8	hpf//
GO_0000725_7	gntT//dgoT//holC//potE//relE//dsbB//
GO_0000726_7	zraR//
GO_0000731_7	oppF//ilvI//rfbC//dinG//rsmF//yihU//ydjL//
GO_0000737_7	rusA//
GO_0000738_7	nimR//ygjR//dkgB//
GO_0000746_4	cysW//
GO_0000820_7	cadC//
GO_0000902_5	secY//
GO_0000910_4	ygjH//rhtB//ypjD//afuB//yqcG//sspB//lsrB//murG//hemD//ibsC//cpsG//nikA//yafN//proQ//sgbU//manZ//pyrF//frmA//
GO_0000917_6	ybeY//lapA//ppsR//yhjR//hofM//
GO_0000918_6	ybaE//ydiF//fecD//rclA//
GO_0000920_3	bdcA//yihR//fimH//rraB//narI//
GO_0000921_6	ilvH//
GO_0000966_8	srlB//mobA//cheZ//yfcV//
GO_0000967_10	ebgA//bglH//pyrD//
GO_0001101_4	eptB//wzc//nrdF//phnO//ycfH//thrA//speB//rhmR//sgcE//ydhJ//rlmD//nupC//polA//ygjK//nfo//holE//copA//mdoG//uof//nrfF//ynaE//minC//bdcA//cysN//yfeX//ydjL//
GO_0001121_7	cspG//ccmG//
GO_0001123_8	hisP//
GO_0001124_8	ftsY//
GO_0001407_7	clcA//ldtD//rpnB//epmA//
GO_0001505_4	gntU//ccmD//dcuD//yijE//gltL//xanQ//ompA//glsB//alaC//proC//ybaE//aaeA//moaC//uidA//nepI//fumA//
GO_0001510_5	perR//gpr//pgaC//dxr//betT//fhuF//gatB//yobA//fliM//speB//yhhZ//rpsL//ycfJ//setC//qseB//yphD//chbA//ribF//intS//crl//mfd//fhuF//yqgF//sodB//gcvH//creB//zapB//mzrA//yidE//pinQ//hycB//flgA//ydhQ//yceD//ibpA//ydiR//galK//iaaA//ytfQ//puuA//
GO_0001514_8	nupG//
GO_0001522_7	amiB//bacA//yggW//glnS//ygcW//flgM//rpsB//grcA//ogt//rplW//ycjW//cobT//cstA//
GO_0001539_4	baeR//mscS//yahK//fryC//nuoB//edd//rplB//mglC//bamB//yhcN//elbB//znuA//fucP//panE//fdx//ispG//narZ//dadA//sapF//acpT//glmU//ilvB//mltC//yiaF//cra//pfkA//hokB//manZ//speF//lptA//yhbX//
GO_0001558_5	thiC//udk//lysP//acnB//ybiH//fabG//paaF//mrdA//
GO_0001561_6	menE//
GO_0001666_4	yidE//
GO_0001676_6	dcuD//yeeA//feaR//
GO_0001680_11	intS//
GO_0001682_11	dfp//
GO_0001731_7	holD//
GO_0001762_6	ytfR//
GO_0001887_4	hypB//cspG//wzzB//
GO_0001896_5	leuA//fepD//yidC//btuB//
GO_0001907_5	ftsH//yoeB//ttcA//xanQ//
GO_0001932_8	elaA//poxB//
GO_0001934_9	dxr//
GO_0002047_6	potA//tehA//
GO_0002097_8	bcsA//yhjX//cusF//phoP//glk//yciT//mutT//aroP//sgbU//tsaC//metC//yddL//cobC//opgE//nei//oppC//yhaO//ratA//yccX//
GO_0002098_9	ybfA//tktA//ynfK//cusC//yahB//yjiM//trkG//rfaE//bcp//waaA//bfr//nikD//hexR//
GO_0002099_9	xanP//aslB//
GO_0002100_9	arfB//
GO_0002101_9	deaD//tauD//
GO_0002128_7	bamE//fadR//pdxY//frmB//
GO_0002130_8	gpmA//
GO_0002131_9	aroC//
GO_0002132_9	lpd//
GO_0002136_10	queF//
GO_0002143_9	hcaD//yabI//yciV//pitA//gltI//ubiD//
GO_0002181_7	glmU//ybgP//
GO_0002183_5	alsB//
GO_0002184_8	ygcW//
GO_0002188_6	gstA//
GO_0002190_6	yidP//
GO_0002192_8	rplR//
GO_0002252_3	flgB//elyC//hyfA//mhpA//yhfK//purF//mdoG//baeR//flgK//fimE//
GO_0002790_6	yhgH//galT//marA//apaH//nsrR//dsdX//nfo//
GO_0002937_9	glpK//
GO_0002938_8	mscS//
GO_0002939_7	mnmG//
GO_0002943_8	hybG//
GO_0002949_8	cspB//znuB//ubiI//btuE//
GO_0003333_7	ompL//yejA//pncB//pgm//cirA//mgtL//yajR//yccS//fucO//fadJ//cho//pspD//rplA//xanP//ispA//galE//srlE//nagE//feoB//menH//rluB//hrpA//paaC//zapD//treB//rplT//yqaE//tynA//modA//galF//guaD//lacI//clpS//pspD//ydfD//yihQ//rcsC//epmC//ulaD//nrdI//metC//fepB//hypC//ypdA//yjhH//xseA//waaA//yhhY//thiH//
GO_0005975_4	avtA//opgB//hda//yaaY//xdhB//nfo//csiD//allC//ompR//puuR//rhaA//ybaK//prmC//yafQ//aspC//yjcO//rpiR//rlmH//thrL//ydeE//trmO//mdtA//nuoG//msrQ//pdxY//insH-6//pykA//ralR//serA//waaS//fliM//gldA//lgoD//treC//nanR//hemC//minC//epmB//uraA//betB//rihB//hprR//yehC//cueO//mntR//treB//mngR//truB//allD//gpr//fliZ//rplJ//adiY//atoC//eamA//bioH//aceK//ybdZ//argT//rhtB//yjiQ//dsdA//thiL//gatY//nfi//murF//yfcG//envC//nagC//guaC//murQ//pstC//patD//purA//mntS//speA//dppD//yccX//dsbC//evgS//kup//katE//pgsA//argR//folA//mhpA//ygcO//ychF//mliC//crr//araE//ybjX//acs//rnlA//yagG//glpC//yjiY//sapC//rutE//trmO//yiaJ//fruA//polA//recO//lptD//ratA//dcp//dkgB//yidL//pcnB//yehA//ldcC//prpC//tnaA//ynfK//pdeH//ade//yahD//acnB//nemR//ascF//xylR//yfcF//xapA//citG//sugE//alsC//ispA//soxS//frwC//ackA//rpe//rutF//oppC//btuR//yeeL//gnd//mzrA//tag//glvB//ftp//yidC//mglC//putA//umpH//caiF//rzpR//speA//rluB//puuB//yhdZ//iscA//metF//oppA//yehC//uspC//secG//gstB//mdtI//sfmD//cyoE//higB//ihfA//ptsH//feaR//yebZ//acnA//hdeB//rcnR//ybiO//napA//nuoB//hupB//idi//dgt//relA//dgcE//rzoR//casB//phoU//yiiE//rsmD//ebgR//higA//dsdA//ivbL//eptB//bcsQ//phoP//galF//ileS//helD//fadA//cbpM//ydbK//waaH//hybF//lysR//tusC//pitB//ymgC//ftsA//pflB//uvrY//nanR//ybaL//yabI//tusA//ydiV//miaB//osmY//lysS//fliG//ascB//oppB//grpE//citC//hisD//lsrB//mntR//folA//ldrA//ykfI//yjbG//mfd//aceF//yjgX//rclR//yeaG//yihQ//hofC//umpH//gatZ//ascG//ydcR//gldA//murG//aceA//malG//yjiR//mutS//gltD//yceK//sbcB//msbA//narX//gcvA//hyaC//mtlA//rcsF//glnL//ygaH//cbrA//ynbB//
GO_0005976_5	yggW//ygeX//folC//dmsC//satP//nepI//dacB//yqeA//prfA//ppc//osmF//cnu//ybhP//mfd//yqcG//gltL//afuB//mgrB//iscA//kch//ghrB//lsrD//hypB//murE//eutR//tamB//agaR//lamB//argO//emrY//pflC//fecD//queE//kdsA//ydeT//yefM//prpB//ndh//ftsK//insI-1//adiC//yhfS//metR//ilvN//yfjR//waaJ//bdcR//flgJ//yccX//yhbO//yjhG//rpsG//iclR//mhpT//aslB//amiB//patD//rnlA//yfcQ//
GO_0005977_6	garL//hupA//rseC//narY//yeeY//nlpE//mraY//lasT//
GO_0005978_7	ymjB//yceK//uacT//ypdA//
GO_0005979_8	tatE//
GO_0005980_7	xanQ//fucK//mhpT//
GO_0005981_7	ymdB//
GO_0005984_5	hofP//rpnB//rlmD//qorA//lspA//eutK//metF//cusS//yidQ//mqsR//dadA//
GO_0005985_6	hyi//
GO_0005986_7	paaE//
GO_0005988_6	csdA//yqiG//
GO_0005990_7	thyA//umuC//
GO_0005991_6	pgsA//ttdA//recF//chbF//rraB//
GO_0005992_7	rlmJ//osmY//
GO_0005993_7	acpT//fieF//srlD//
GO_0005994_6	yrdA//
GO_0005995_7	glgC//
GO_0005996_4	phnI//argB//eutR//rbsB//fucI//ycaO//zntR//ahpC//yihX//yhbY//gltS//gpsA//mreC//fkpA//cpdB//gabD//hyfR//feoC//uspE//ebgR//dcyD//aroF//murQ//cedA//yjtD//glgS//ybiH//gyrA//tusD//fabH//alsB//hxpB//ilvD//codB//yeeL//yiiE//ygiS//minC//yjhB//wza//yqjH//fucA//zitB//htpG//ddlA//entB//dmlR//seqA//yibF//proV//livF//dinB//xseA//mdh//galP//rpoH//wecE//torI//lldR//ybjX//rnlB//btuD//appB//fliT//lysS//queA//dgcN//narL//cysN//gcvH//ddlA//ompG//yfgI//cyoE//yhaO//xseA//wzzE//yccA//glrR//aceK//fliG//rutA//
GO_0005997_6	dgoA//
GO_0005998_7	yceD//
GO_0006000_6	rplY//speA//yghO//
GO_0006001_7	minE//apaH//
GO_0006002_5	fabI//rimJ//chiP//
GO_0006004_6	rbn//abgR//topAI//eno//sbmA//rcsD//
GO_0006006_6	chbF//insB-4//nfi//dbpA//ibaG//mdlB//modB//ycbV//ygbI//ygfA//hcaR//mtr//pgk//hofC//borD//yjbH//efp//ypjD//hflX//nikB//ybjC//ygaV//ftsZ//
GO_0006007_7	thiC//mdtI//mltA//
GO_0006011_5	paaH//
GO_0006012_6	yfhH//ushA//livK//dedD//ygbI//pheT//mngR//zntA//pntA//
GO_0006013_6	nrdH//tcyJ//
GO_0006014_6	gltX//rep//sodA//
GO_0006015_7	rhaM//yijO//
GO_0006020_5	abgR//
GO_0006022_5	purF//paoC//frlR//gspI//bamC//cmoA//tusE//mnaT//rsfS//yjjU//hlyE//rfaB//purN//ycdY//recD//ibsD//hcaC//yjcO//cbpM//serA//purT//mfd//acrF//uxuB//cdgI//dnaN//cspA//era//trmL//rluB//pgaA//gabD//nagB//uvrC//recR//ibsE//fecD//yihS//rpe//sodA//uidA//pepQ//rhaR//yhbS//feoA//yciF//glsA//mngR//yahO//eutR//glmS//secG//cysP//pepA//dcuD//fliG//yihR//rhmR//fecC//dcm//trpR//argA//dbpA//
GO_0006023_6	fadD//sufD//ybiH//ykgA//hcaC//ybfA//secY//insE-1//citT//ilvH//setA//ptsI//opgC//ribB//treB//xerC//fumC//rrrD//uhpC//yihU//ybdR//frlA//mscM//glyS//ubiI//arnB//fumA//ogt//ilvM//sspA//rcnR//nuoB//tcdA//tatC//yqhD//dgcJ//nimR//rpmC//rhtB//
GO_0006024_7	ykfM//yaaY//ycgR//mglB//ndk//fdx//fkpA//menD//fnr//dacB//fau//rhaR//gcvR//qorA//argK//murC//mmuM//arsR//yciT//fabD//nirC//ydaC//narU//recX//yibF//nmpC//folE//xerC//ilvA//cysK//entB//livF//hslO//hsdR//pphA//yhdJ//fadE//folX//yicJ//
GO_0006026_6	frlR//fixA//flgA//aaeA//speE//umpG//borD//ispU//ygeA//rplL//
GO_0006027_7	lpxK//yfaL//mepM//evgA//bluR//hupA//alaS//infC//tktA//qorA//
GO_0006040_5	cpoB//yiaN//glsA1//tar//hybC//rodZ//tauC//katE//cmtB//ribB//phnK//lysU//lpxH//kefB//ttdA//nupG//kefB//
GO_0006044_7	purC//sulA//sugE//cheR//gspI//
GO_0006046_8	cobT//cynS//rpoD//nuoL//
GO_0006047_5	uvrD//bcsA//otsB//dtpA//ruvC//cysW//dapF//
GO_0006048_6	fabI//rplP//rplF//gshA//malF//yeaV//
GO_0006050_6	yohD//
GO_0006051_7	narZ//
GO_0006053_8	ulaG//
GO_0006054_6	secY//ypdA//araG//lpxC//gmd//yjcS//dusC//
GO_0006056_6	tbpA//
GO_0006057_7	acrZ//
GO_0006059_6	dhaL//oppC//ymjB//glpX//
GO_0006060_7	essD//
GO_0006062_8	kilR//
GO_0006063_5	ldtE//pliG//bioD1//rpe//mhpC//cusF//pbpG//murQ//ygfA//
GO_0006064_6	hexR//atpF//yhbS//yfeX//bamC//recA//
GO_0006066_4	holE//yidC//pyrE//alsB//acpT//mgsA//tsgA//pliG//citT//etk//cptB//rffC//dcuB//hybO//ybgP//sdhB//ydhK//dnaB//yciA//adhP//ydfD//dicA//ade//hcaB//pheS//fimB//yfiR//fabA//ydcI//pinE//lldR//mutT//
GO_0006067_6	fcl//tus//ppiA//
GO_0006071_6	upp//queA//nanR//thiQ//galU//ypjD//bdm//
GO_0006072_6	idnK//ghoS//rlmE//ybbN//oppD//
GO_0006073_6	apaH//hybF//yodD//argE//rlmM//yeiG//fklB//fdhF//baeS//ttdA//galS//bcp//yjjU//hchA//ynjD//potE//puuR//rlmF//cmoA//yjiR//
GO_0006081_4	lepA//dmsA//yceD//yceO//kdsD//lpxC//osmC//rpmF//pspD//mdtO//bamE//yabI//yraN//slyA//yeeA//cbrA//yfbU//yabI//aroK//bglF//ffh//yraH//trpGD//elaA//nupX//mtfA//ccmG//dcuC//ppiA//metG//tabA//thyA//yciH//yfcS//paaG//ftsB//baeS//tolB//nadK//ydeP//sfsB//mprA//era//soxS//ydiK//ybhR//ptsP//eptA//rnb//torA//fieF//glnK//entH//csrD//ilvL//frlR//rpmE//fimB//fur//yfdR//zapA//yeaG//serC//topAI//hiuH//cspG//queG//
GO_0006082_4	aroL//alaE//pldB//yadM//lpxM//sodB//pppA//sapC//atpC//trpC//ychO//yghW//rhaT//bamD//nemR//yhcN//hslU//rhlE//gstA//mrdA//entC//corA//ebgA//casE//mntH//alkA//ulaD//xapA//hemL//ralR//ascG//dapF//yqcG//cedA//purN//kbaZ//cysC//yafO//dnaN//barA//mhpB//umpH//ldrB//phoQ//rpsO//tqsA//mak//ftsP//yjeI//holA//adk//rimP//galM//hflK//mdtL//metQ//tolR//trkG//fhuF//frmB//bipA//yfeX//hemN//xapR//decR//rsmG//rutD//yfcQ//hybC//yhaM//holC//tauD//rseB//speC//ugpC//avtA//priC//entA//ilvE//mnmA//yggW//lepB//aceB//yhcH//ssb//greA//allD//frc//mutM//ybiV//nepI//sohB//cydB//kdsC//msbA//mlaC//rfbD//rsmB//ahr//hns//aidB//fadD//yjfP//ynaI//ascG//barA//evgA//hmp//cmoB//fliD//frvA//ymgF//mgrB//gntK//ykfM//alaC//betA//cadB//hha//yhdW//cyoD//yadG//hchA//tsgA//rpsS//yjeI//curA//fdoG//aspC//yhaC//dacB//leuB//glpK//sdhD//prmB//trkH//pdeR//bglA//macA//nlpI//ychF//alsA//rimP//ilvD//dapD//waaP//waaY//moaA//rihA//recQ//rpmB//cfa//nadE//ydhK//kdsA//ydjH//yjbE//rraB//fabI//rpmH//arnF//sodB//melA//ispF//mutM//narP//mrr//ydeT//pdeL//ynhG//nrfA//menC//nadC//yeiG//dhaK//ttdR//csgF//iap//ruvB//waaQ//uxaB//yjeH//prc//ygiW//hslR//bglF//lepA//ugd//yqcC//lysA//yedX//fimI//cobC//argT//ligA//csiD//dgoA//psd//arnT//pdhR//lsrK//ydeE//acrB//hybD//purU//ebgA//rspB//nrdR//cynS//acnA//yihV//secM//insA-1//tldD//yagI//hscC//zapC//topB//dsbG//speF//pntA//menD//metL//hslO//metL//entC//spoT//argB//yhbX//cbl//mdtN//yidR//motA//cutC//osmE//znuC//folD//glcD//truB//fliK//yiiM//argT//kdpF//hemB//frlC//cnu//rbbA//aaeB//sapC//rplR//clsC//mdtK//entF//idnO//paaH//sanA//mepH//fliT//ppc//sapC//dppC//csgB//cysN//fadL//fabZ//ybdM//rhaS//yhjA//pyrL//ycfS//nrdE//yihW//trmA//gutM//tldD//sxy//dut//nepI//glnE//yieE//pyrF//menI//eutR//dosP//gspE//nrdI//moaA//bamE//nrdD//mlaF//wrbA//hrpA//intQ//tehB//ulaG//bacA//yfiR//uup//higA//rhsD//gldA//kduI//ung//nuoI//yadV//ydjE//bdcA//glpT//cvpA//iscS//fucP//dinD//purL//yihU//fis//htrE//zupT//uvrC//narI//ffh//hisQ//dmsA//ccmG//uxaB//pyrG//bssR//pppA//feaB//paaZ//ompA//hisQ//yjhI//xapB//ygdG//sapC//rbsD//trkA//tgt//yfeR//murB//ycfS//atpC//ddlB//rbsA//trpD//sstT//glpR//nudC//frvB//lysU//yfiR//lgt//ydcP//panF//yaaY//dmlA//rarA//pgaC//ilvC//yiaT//ihfB//hisP//sucB//bioC//tatE//cspI//npr//ygbN//murA//ynaE//hybE//dnaB//qorA//pta//acrD//elfC//yeeL//tas//dgcJ//cspI//yagU//slmA//ycfJ//gloB//yhbO//mdtJ//miaA//mrdB//murE//cbrC//yfaE//hdeB//wza//cbrC//kilR//yehY//mnmA//rpsL//rihC//aroD//sfmH//tadA//rhmR//dgcJ//yadM//mcrB//yejE//ibpA//kdpF//ydjK//dhaM//tktA//allR//arfA//ilvB//eutK//hybO//gstA//ypjD//yciH//ltaE//yraI//rplY//aroF//pdxB//erpA//ygeV//holA//argF//sutR//yhdW//dgoA//nuoH//srlB//galK//mprA//uxaA//rnc//lldD//ybdN//fcl//rpsQ//dnaB//mdtG//fadR//yciA//yidP//srkA//oppB//cysP//sgrR//fadM//lysU//xdhB//yhcH//uxaA//folA//ugpB//accC//nikR//
GO_0006083_6	sdaA//maa//speC//casE//vsr//mtgA//
GO_0006084_6	hcaE//gudD//
GO_0006085_7	udk//glcB//
GO_0006086_8	ydiO//
GO_0006089_5	narK//lrhA//bsmA//cobU//manX//murJ//lpxD//eutD//mltA//ybhJ//epd//nanT//nuoG//sthA//nirC//yhcN//preT//hsdR//epd//ansB//wcaB//yghW//yraI//dppB//wbbK//kch//leuA//mreB//rnhB//
GO_0006090_8	yphF//gsiC//hflK//btuR//rpsN//ycfH//ygcO//hemL//rplD//ydeM//tus//perR//bamC//etk//zapC//rimP//sfmC//sanA//btuB//mqsR//ygiB//hfq//rclB//fklB//glrR//puuP//mgsA//hyfC//arcA//mhpR//serS//
GO_0006091_4	sbcD//mdtI//flgA//mdtA//ppiD//pgaC//ligA//ribB//yddA//yefM//fliL//rnd//sdhE//mdoD//yieK//hipA//speE//rpoD//ddpA//narJ//yqjH//ybhR//pmbA//livH//metK//idnT//cas1//rbfA//hyaA//pfkB//maoP//dnaQ//ygiS//yeaE//ynfE//mcbR//pdxB//mhpA//ftsQ//bdm//tig//yohD//frlB//alsB//ycbU//alaA//gltX//cyaA//ynfE//ydiF//dgoA//ygeX//ftsA//adiC//yjcS//hflC//nlpA//purR//nrdI//leuA//nfo//dppC//fabG//nadE//hdeB//lhr//recN//fimG//ratA//yahF//rarA//fimE//tnaA//yhbQ//fdhF//fepC//idnT//ybhS//argO//rzpD//panD//sapB//ssuB//kduD//yhjC//rlpA//tauC//cvpA//glgP//yfaV//abpA//yidD//tdh//dmlR//insI-1//tatB//ydcT//topB//yhbX//dgcF//ubiB//tdcF//intZ//garR//kdpC//ynfK//fimC//modB//pgpB//ydfH//glnA//yraK//
GO_0006094_7	rfaH//yqjI//bglF//eutR//ribA//araG//prpB//rng//dnaN//pgaC//
GO_0006096_6	ydfG//ymdB//dgcN//dsbC//yqgB//prmC//glvC//prs//cobC//cpdB//argE//srlB//opgD//glsA//dgoK//ais//rng//paaZ//
GO_0006097_5	yhdW//dctR//recC//slyD//wzzE//
GO_0006098_6	ynhF//opgD//abgA//mepA//zur//
GO_0006099_4	glcF//xthA//yfhM//murC//rbsC//tyrR//yjjG//yneL//lipA//yghG//viaA//murG//ligB//yeeO//treR//pspD//hyaA//
GO_0006101_6	rcnB//prlC//gpmA//psuG//yihV//narV//trmH//yjiA//purB//ybeF//thrA//pheM//cueR//citX//erpA//ycfJ//sdiA//
GO_0006103_5	ycgB//ftsI//yidP//
GO_0006104_6	abpB//hslV//gudP//
GO_0006105_5	rplB//mnaT//nadB//epd//marR//idnT//phnJ//mepM//
GO_0006106_8	tolQ//
GO_0006107_8	phnN//
GO_0006108_8	yadG//ydcT//metR//rcsF//setA//
GO_0006109_6	zapD//yiaA//sdhA//rcsA//iraD//rplJ//ynbC//uvrY//cnu//
GO_0006112_5	elaD//dpiA//yaiW//ycbX//yihL//adeD//motA//nfo//
GO_0006113_5	ralR//trkG//dtpD//gsiD//proV//potE//yfcQ//gltD//yihT//hyaA//udp//arsB//glvB//
GO_0006115_6	aceB//
GO_0006117_5	tusB//
GO_0006124_6	sgcC//
