#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hrsA//yedF//yjbF//lacZ//
GO_0000162_7	nrdH//ygdG//hyaC//rplT//dhaM//pspC//acrF//arsB//yjcS//
GO_0000255_5	dtpC//panD//nuoG//galU//casC//
GO_0000256_6	mltF//yafS//sgbU//ettA//btuC//
GO_0000270_7	yajQ//recR//kbp//borD//glnQ//ydiQ//narZ//livG//hcaB//yedP//lptC//murD//elaB//casE//chaA//bglJ//sgcE//serS//skp//insH-5//yfeD//lolC//rpoA//btuR//mdtN//clpS//cysW//metH//yihP//yeaG//sfmD//mdaB//nrfE//lipA//yjhI//xanP//yphC//pheA//truD//pyrB//rsmD//plsC//mnmA//yijE//yjiA//phr//sodB//narP//cysI//hybF//yfiC//mioC//dauA//ycaO//entF//yaaY//acpP//accB//rpsL//hxpB//yphF//moeB//wzyE//
GO_0000271_6	hdhA//fis//pgm//pdhR//lacY//ygdG//ykfM//pykA//znuA//ycjW//rpiB//fetA//nagZ//ddlA//mscK//waaQ//ydhJ//bioB//tyrA//waaJ//rng//pgm//prlC//rutD//glpD//phoB//menF//cysP//frmA//ybgQ//patZ//moaB//entE//rsmB//rhaT//lptE//rzoR//treA//zapD//glyS//yehA//intE//maa//yjjU//gfcE//frdC//hdeB//maoP//glpD//yoeE//
GO_0000272_6	pagP//gltD//trkA//mcrA//rcsA//ygcW//
GO_0000302_5	nikE//ybhA//rfaC//mltD//csgD//dgcM//ybhF//lacY//ppiA//nrdB//tnaB//msrQ//ttcA//elfG//caiF//accA//ycfS//xylE//ccmC//evgS//bacA//pgl//mmuM//menF//hcaR//lpoA//fliG//prfA//ampE//adeQ//narY//
GO_0000303_6	cpsB//malF//
GO_0000305_5	nupX//glgS//ilvM//
GO_0000372_11	hslV//
GO_0000375_9	dnaB//
GO_0000376_10	ldtC//
GO_0000413_9	dacD//ydiQ//btuE//folP//nirD//yqhC//tnaB//gcvH//
GO_0000451_7	waaO//afuC//malE//ihfA//kbp//
GO_0000453_8	satP//gmhB//dacB//erfK//surE//
GO_0000455_9	mdh//hemA//cvpA//narL//ftsN//pgsA//ybeQ//
GO_0000462_11	cbtA//emrD//
GO_0000469_8	tdk//
GO_0000470_10	soxR//
GO_0000478_9	rplN//
GO_0000715_6	htrE//
GO_0000716_7	mtn//
GO_0000724_8	glnB//
GO_0000725_7	cusB//rpnB//caiT//iscA//secB//phnL//
GO_0000726_7	thiC//
GO_0000731_7	rplO//folP//add//manA//cutA//rodZ//trpE//
GO_0000737_7	rfaH//
GO_0000738_7	hxpB//hicB//arnE//
GO_0000746_4	frlB//
GO_0000820_7	rplB//
GO_0000902_5	hslO//
GO_0000910_4	yiaM//metK//sdhA//ydcS//kdpC//ybiV//nuoB//cysM//glgS//tsaC//fabI//rsmC//osmE//gcvA//phnP//mdtI//rfbC//arnA//
GO_0000917_6	zapB//speF//raiA//pitA//queF//
GO_0000918_6	proQ//nanS//fsr//cutC//
GO_0000920_3	secA//dgoA//dcuD//hxpB//frdB//
GO_0000921_6	amiD//
GO_0000966_8	casD//ssuC//yeeY//asnA//
GO_0000967_10	fepC//flgE//epd//
GO_0001101_4	rfbD//curA//lysS//oppD//yciE//tyrA//hcaF//yihO//metE//talB//nuoL//yhbQ//ychF//kgtP//menB//ydhQ//yfgJ//nrdB//aceK//ygeA//gltP//yahF//rhaD//ygeW//yciA//tauD//
GO_0001121_7	gntP//bioD1//
GO_0001123_8	prpC//
GO_0001124_8	zraR//
GO_0001407_7	rpoH//sppA//waaO//truB//
GO_0001505_4	puuC//thrL//recE//mocA//yciG//yhjX//artM//dacA//yddM//arnD//rluB//csiD//flgD//narP//adiY//rpsM//
GO_0001510_5	bdcA//dsbG//tamA//ycjR//kdgR//codA//yfcU//potH//rdgC//xseA//rpsG//ygfX//pgaA//ligB//actP//mdlA//srkA//zntA//ndh//waaC//yobA//efeO//upp//xseA//tonB//purF//msrC//mgrB//galK//yoeB//mtnN//glpA//kdsA//dmsA//fis//hypC//ydjK//ycaO//ccmG//dacC//
GO_0001514_8	sufC//
GO_0001522_7	glpD//aaeB//ycgV//frwC//nirB//cpoB//ybaT//dps//frlA//yoaB//agaD//fdhD//topB//
GO_0001539_4	yiiE//yfbU//bioB//ydeI//yahI//rnhB//aes//sufS//norR//tyrS//bdcA//yieK//rplQ//hslJ//pnp//rpsB//gspJ//ydiP//btuD//luxS//nuoM//deoA//accD//hybC//ppiD//yciE//yiiD//groS//uidC//chbC//treF//
GO_0001558_5	thrA//torI//ybaT//sufA//glpB//yfaU//wzzE//nrfD//
GO_0001561_6	mrr//
GO_0001666_4	rimJ//
GO_0001676_6	citC//xylG//fcl//
GO_0001680_11	bglF//
GO_0001682_11	yghU//
GO_0001731_7	rluF//
GO_0001762_6	flgG//
GO_0001887_4	dhaL//cysN//yoeE//
GO_0001896_5	hsrA//opgG//yidR//gatA//
GO_0001907_5	ycdY//iscX//prfC//ynfH//
GO_0001932_8	plaP//tatB//
GO_0001934_9	kdgT//
GO_0002047_6	puuD//ompG//
GO_0002097_8	yggT//bglX//ompG//casB//envR//sapB//rnd//potF//degQ//menE//thrA//dnaE//holD//gntU//rcsF//aroP//fdhD//scpC//sohB//
GO_0002098_9	metG//yjbB//yhdW//trpA//mmuM//sseA//cheW//hcaD//gspJ//lgt//ybhS//folX//glpG//
GO_0002099_9	ldhA//yihX//
GO_0002100_9	yebZ//
GO_0002101_9	hyaC//mntH//
GO_0002128_7	alaC//aceB//napF//chaC//
GO_0002130_8	aspC//
GO_0002131_9	yajR//
GO_0002132_9	yhaC//
GO_0002136_10	srlB//
GO_0002143_9	yjbE//napC//mhpR//tcyP//rspB//pyrC//
GO_0002181_7	rnlA//glsA1//
GO_0002183_5	napB//
GO_0002184_8	recQ//
GO_0002188_6	tcyN//
GO_0002190_6	mutS//
GO_0002192_8	sgbU//
GO_0002252_3	dnaT//dpiB//fliK//kdpB//idnT//sufE//cysN//narW//phnH//fepC//
GO_0002790_6	rfaC//potC//dsbG//aes//galE//yceO//cadC//
GO_0002937_9	fliA//
GO_0002938_8	uidC//
GO_0002939_7	htpG//
GO_0002943_8	mqsA//
GO_0002949_8	osmF//gltL//pbpC//rusA//
GO_0003333_7	rseC//trxA//yfaE//tdcE//mltC//hflC//casB//mglA//lysA//matP//abgB//ybhD//nanS//phoE//yagU//yfdO//iscR//ybhA//pphB//gadW//eutN//dnaK//bioP//ldhA//epmC//flgD//osmF//rplM//serA//prc//pepQ//pdxA//gcvP//ompC//cysN//ssuE//insH-5//pgm//evgS//ulaA//mdtG//bepA//ybeQ//phnO//hslV//nanS//dcuB//hyfC//fixC//
GO_0005975_4	purF//malF//mtgA//arnT//mutL//rlmD//caiT//plsX//trpB//hisM//prmA//mnmC//yfcR//rbbA//endA//secE//nanT//cutC//ydiF//cpxP//sufC//ycjR//rhmR//ppx//uspB//hslO//aroD//hybF//kdpD//proX//rzpD//glgS//hxpA//ybjD//purD//zraR//xapR//hchA//ftsL//yggX//clpX//ycjW//rlmF//ybhS//nth//nepI//idnO//tauB//cbl//cmoB//hybG//dcuS//rsmG//narQ//tas//feaR//oxc//ydiR//grpE//cpxA//zapE//gdhA//potA//waaU//gadC//glnS//nudC//artM//fhuC//ubiF//dnaB//cspE//ybaE//cutA//ynhF//gloC//rplC//flgD//ldrB//rhaA//osmE//lpcA//phnP//mreD//tdcC//fepG//pgaC//rsmD//purT//fadJ//ybbW//csgA//glgX//gltP//rlmC//rbsK//hslR//apt//uspE//lgoT//hexR//sgcX//allS//chbR//proW//uvrD//fhuC//uhpA//tar//narP//lysA//allR//rraA//hisB//dauA//ydjL//treB//cmoB//ycbV//insH-5//hofC//rbsK//rpsB//yphF//bglJ//maeA//rluA//emrY//lapA//galK//yebS//yqeA//fieF//pppA//fimB//yfcF//recE//proX//yfdR//intA//ygiW//fimF//glgP//gshA//kefC//hemH//yieF//mdtQ//fhuD//ubiA//solA//atpA//argA//csrD//thiD//ridA//ttdB//ptsG//gudP//lsrR//pgsA//yihQ//cusA//nupC//ispA//yieH//rfaC//ispU//garR//rsmH//katG//ogt//rpiA//tauA//gcl//gmk//ydiO//yciF//ssuE//raiA//trpE//rpsM//ampD//fhuC//abpA//pgrR//ygaH//yjhG//ybaT//dnaJ//ldtB//sfmD//yjhP//xanQ//arnT//yggE//dapD//fiu//ydiF//sdhB//pstS//evgA//rplP//narV//cobB//gutM//hxpA//amtB//htpG//rpoH//xapB//opgH//lolD//dgcJ//ycgR//ygeX//tauB//tsx//ftsX//narU//betA//menC//malE//chbC//rplD//gntK//ydeI//alkA//folC//yfdC//modB//dsbC//xseA//hypE//ybbY//cysC//rho//yqiJ//ubiC//mscM//kgtP//bcsQ//nlpA//yagF//waaY//osmE//borD//cas3//lpd//psuT//prs//argH//thiL//proA//
GO_0005976_5	rcsF//chbA//rep//gspI//rpe//chbR//uspG//cpxR//exuR//ydeP//dmsC//ydhK//nudG//phnK//hslJ//sgcB//rpsB//cspI//tmcA//nudF//rutR//livJ//lldR//lpxK//moaC//cnu//cof//ybdR//ppiC//yibA//artM//ybdZ//sbcD//rodZ//agaC//pgi//ycjP//eptA//pck//alsK//srlR//ymfA//gadE//ilvB//carA//yheT//narJ//nemA//hdeA//hprR//ccmF//ruvB//queE//eutK//sbcD//paaD//yfhH//ratA//yecS//
GO_0005977_6	lysC//dinG//menC//hdeB//macA//yiaU//fliT//glnD//
GO_0005978_7	plsX//tdk//rpsA//glvB//
GO_0005979_8	yphF//
GO_0005980_7	bamE//ydiQ//waaP//
GO_0005981_7	narP//
GO_0005984_5	rimI//fadB//yqcC//ilvA//kup//waaZ//rpsG//hisA//etk//insK//paaA//
GO_0005985_6	ybdR//
GO_0005986_7	putA//
GO_0005988_6	sdhE//yihQ//
GO_0005990_7	rpnC//bamB//
GO_0005991_6	cpxP//fumB//rcnB//cmoM//dnaT//
GO_0005992_7	glcC//motA//
GO_0005993_7	dmsB//yegD//fliD//
GO_0005994_6	thiP//
GO_0005995_7	gabD//
GO_0005996_4	ftsI//birA//accA//rimP//hypD//tdcG//yehT//dsbG//modC//clcB//ptsH//frdC//slyD//arnB//rpmA//citC//kup//yagJ//maa//lexA//guaC//yehX//acrD//thiH//melA//aroC//ybcJ//srlA//ybaK//dnaC//yihO//ubiD//asnB//yfcR//nadE//ccmC//yibA//osmF//ddlB//csdE//surA//yfeR//araC//greB//yjaZ//yihT//ygfZ//sixA//menI//brnQ//yghB//dnaX//ygeW//ybhD//rpsE//rpsL//pdxJ//casE//katG//znuC//mdtD//cvpA//emrB//rpmG//yadN//aceF//yebZ//hupA//ghoS//cmtB//rpsT//prs//galU//yhjA//mreB//frvR//cysI//proC//yihW//paaX//ulaG//yfaX//
GO_0005997_6	mglC//
GO_0005998_7	speD//
GO_0006000_6	yegT//murC//ascF//
GO_0006001_7	kdpD//mreB//
GO_0006002_5	aaeB//ydhC//yqjA//
GO_0006004_6	dnaJ//lpxM//livG//znuC//rcsA//mmuM//
GO_0006006_6	uacT//pepB//casB//narL//plaP//intE//recF//holA//pgsA//birA//scpC//prs//thiM//rpsL//hdhA//recX//pdxK//nrdE//pstS//paaH//hflK//cspA//panC//
GO_0006007_7	ybiI//cca//ydiF//
GO_0006011_5	phnC//
GO_0006012_6	waaJ//yidZ//speG//htpG//feoC//cdsA//rarA//glpB//fadD//
GO_0006013_6	menH//ftsA//
GO_0006014_6	garR//viaA//hypC//
GO_0006015_7	yfcG//oppC//
GO_0006020_5	ycjP//
GO_0006022_5	sstT//tyrB//dcp//folD//dhaK//lhr//narG//xerD//cadB//rph//rluF//rmuC//gfcE//aceA//nuoM//cydA//yfdR//aaeB//waaF//panD//galP//yjjB//phnC//hslO//nanE//argD//ibsB//rpoE//gltB//fruB//oppA//ydhJ//yjaZ//mqsR//proQ//ybeF//yfdK//mdtA//pabA//trmH//panZ//ghxQ//cmtA//yidZ//appB//yghW//groL//uhpC//mdtO//tbpA//elyC//ybiV//rarA//ompT//yfdS//frvR//ynhG//cbrA//yhcD//tehB//msrP//rluD//rhlB//
GO_0006023_6	lplA//yghO//rfaG//waaS//plsB//flhC//ydiV//yajO//cirA//gph//phoE//ebgR//yajD//phnJ//fruK//glmU//adiY//murJ//norW//zipA//yhaO//mntS//lptF//efp//ygcO//fliZ//caiF//manX//osmC//yfjV//hdeB//rnr//radD//lgoR//rho//rcsA//ecpR//flgE//csrD//
GO_0006024_7	barA//srlD//rpmG//vsr//aroB//bssS//torD//rlmF//hyfF//aroL//paaJ//yibH//ybdH//pckA//yqgB//rutD//evgS//hypE//trmA//mtfA//pepA//putP//csgF//avtA//rfaG//narG//dinQ//glnD//scpC//fadH//mliC//rimK//livF//dgcN//helD//yqiJ//ydiF//rbsR//mfd//
GO_0006026_6	modA//glpD//ilvC//glxK//mlaF//yahB//yeeA//pagP//yjfF//narK//
GO_0006027_7	lysO//dtpB//rihC//fecB//xylR//narP//rlmF//bamD//dut//ychF//
GO_0006040_5	queD//yaiV//yaaU//sufD//degP//ybhJ//surA//yadM//sdiA//rpiR//ygeA//casB//mngB//rayT//scpC//torC//livM//
GO_0006044_7	ygfA//ghoS//rnlB//feoC//cheW//
GO_0006046_8	suhB//yfcP//ymfK//lptD//
GO_0006047_5	nrdB//ydcP//tsaE//rplS//rhlE//yihV//yjeH//
GO_0006048_6	ydiR//yfaX//rzoD//rhmR//pspD//iraM//
GO_0006050_6	ldrA//
GO_0006051_7	dgcN//
GO_0006053_8	rpmJ//
GO_0006054_6	narV//ilvH//aroK//yraK//rclR//nrfC//yjeH//
GO_0006056_6	yjjW//
GO_0006057_7	fabB//
GO_0006059_6	rhtC//ygjR//nrfF//mrdA//
GO_0006060_7	fixB//
GO_0006062_8	yjjQ//
GO_0006063_5	hyfF//nanR//ulaD//yafC//glpA//ybdG//frwB//yeiL//mreB//
GO_0006064_6	lrp//spoT//intQ//fbaA//ydcZ//treC//
GO_0006066_4	atpD//pheS//dsdA//ynaE//bhsA//trpS//artQ//gadA//fliL//cas1//frdD//hcp//dsbG//ldrA//soxR//tufB//elaA//def//era//nagZ//agp//gntT//srlE//dauA//rayT//rpsO//tusC//yiiM//yfaU//nikB//yddG//aspC//
GO_0006067_6	cysE//acnB//agaC//
GO_0006071_6	yjcS//pta//ddlB//yraH//rlmL//dcuD//lptD//
GO_0006072_6	norR//puuC//dacD//ribC//livK//
GO_0006073_6	bioB//yhcF//rnc//nikB//gadE//yihI//cspC//secF//ymgA//ybjL//diaA//guaD//yjtD//ppx//cheB//ynhF//yedP//waaA//hokB//lipB//
GO_0006081_4	cyaA//yagU//intF//murQ//mscM//yqjI//gcl//insH-6//yfcR//yrdA//cobC//coaD//dgcM//rihA//gltL//rseC//lipA//rlmD//ulaF//ygbM//frsA//kdpA//rssB//sspB//rffH//fsr//yahK//ulaB//astB//hisD//trmB//cynT//fdoG//kdpE//radA//mdtE//hofQ//flhE//alsK//dicC//nadC//gdhA//cpsG//dinI//mdtJ//rhoL//mepH//gudD//fucO//ppiC//dnaK//rpoS//gspI//degS//ibpB//yeaE//sohB//ushA//ampD//ftsI//yibF//rffC//wzb//rbn//sucD//fdoH//hisH//
GO_0006082_4	fumB//thrA//yeaK//pspA//soxR//iscU//crcB//mdtI//fecB//ffh//allC//ldtA//ugpB//zitB//nadA//ibsD//nanC//tdcE//hcaB//nagA//rpsI//rsmC//hflK//trkG//yfbR//kdpB//hemL//uof//dkgA//ptsP//hemB//yfgI//srlR//lgoD//ybaE//ydjJ//mazF//rng//mdlB//phnH//prfC//sodB//apt//dcuA//pdeF//bluF//adiA//hslV//rcnB//yadK//mutL//acpH//flgC//yagI//speF//lgoD//yeiE//fliA//gltD//hcaF//hfq//ulaG//plsX//nirD//ralR//aldB//cheY//hyi//paaH//rihC//pinQ//ydcS//zraR//sutR//btuC//ybhG//fdnH//yebZ//rutR//zntR//bglH//mobA//yehT//ybgI//nhaR//insB-4//yjeI//yadI//tehA//eamB//crcB//dkgA//cas2//dnaN//barA//frwC//iap//emrY//pgk//yqgB//nanR//ydcS//ortT//hypC//relA//gpmA//fnr//yfcS//minE//mtnN//potC//aqpZ//rbn//mmuP//yabI//glgB//cmk//nikR//argO//mglA//kbaZ//tdcA//ackA//pgpB//potI//xylE//torS//ykgO//hflX//glsB//rutD//ybjN//mcbA//thyA//nrfB//fdnG//cheA//radD//ynfF//galE//kdpC//apaH//ytfR//rffG//bisC//ibsA//lhr//cspC//secG//intQ//yfcP//pheS//thiI//trpD//glcC//lpxT//trpL//lipA//bhsA//yehD//trpD//citX//curA//entD//uxaC//agaB//gntK//tdcA//ilvE//decR//kdpA//aceB//ycbU//oxc//ydiF//puuE//yeeA//hypB//frvB//rfaC//ybfE//putA//dbpA//pdeH//ftsI//yraI//ybiY//nudC//rpsH//fliM//lyxK//ldtE//cyoA//gloC//epmB//hisS//pgpB//hemN//trmD//yjjI//opgH//opgC//ais//glrR//hupB//bioD2//yjcE//rnlB//osmE//asnC//ampD//ptsN//fdhE//hofQ//gadX//tsaD//glnB//dcd//uidC//hupA//nanR//yihU//blr//cmoA//der//uvrC//rodZ//fixA//dacA//narY//thiH//yciH//nhaB//clsB//argT//rraB//metL//rfaD//rutB//epmC//hchA//entD//modC//frwC//sodB//bfr//zapC//rfbB//yihL//yidK//ptrA//gntK//lldP//arnB//flgC//scpC//menC//uxaC//mntP//sspA//ldhA//chaA//hycH//osmF//bioA//recR//xseA//narZ//ribE//aaeA//lgoR//nirB//stpA//yabI//mdtE//prkB//hicB//ahr//dgt//paoC//ompG//yhcF//secD//rimM//ortT//ycgR//glcE//cvpA//opgC//rpnC//lpxK//mmuP//yggX//ulaA//yafC//arcA//pck//yheT//glpA//mtnN//thrL//murG//insH-5//rhtC//yahI//lsrB//glnP//hemC//pflB//wzb//hybB//ymgC//yciK//pepD//rlmE//iap//cutA//fucO//greA//hypC//citC//pinQ//ompW//hipA//hybF//ygiW//yebK//gfcE//umpG//ompL//secF//groL//agaS//rpsA//ycjQ//ubiD//yijE//cspB//dgcN//gmd//mutL//dinD//dut//queD//nuoI//wecE//gcvR//rpmG//yhjB//bioB//leuC//yhdH//bcr//yjbG//uof//pphB//fkpB//ais//fliL//srmB//yghW//cspC//rplN//bepA//lexA//hflX//hfq//wecA//rcnR//yghU//ppsA//allR//glpG//gmk//dadA//rarA//yqiH//pncB//nimR//nudC//envZ//yqiG//malK//gmd//mcrA//lepA//sufE//garP//cobB//mdtN//yqcC//borD//yjcS//dgoT//tsaD//yojI//yibA//ibsB//adhE//kdsB//sgcR//dcm//ygcO//glgB//argG//fklB//ybiJ//rcsB//nadD//glpG//amiB//cyoD//ilvH//priB//ycjQ//rplR//iscU//evgS//fucK//ydcT//abgB//dps//ddlA//ytfE//cpoB//phnH//fis//slyA//ldtA//nikE//yehZ//menH//tcyN//zupT//proA//cspI//gnsB//znuB//gpmM//fdhE//umuC//ygeX//frsA//mglB//uspG//ldtE//fepA//hldE//mhpB//yefM//ybdR//ssuB//pstB//rimK//acnA//flgJ//orn//yehP//mutH//garR//
GO_0006083_6	csiR//guaB//ybbN//galM//cpsG//rpsL//
GO_0006084_6	lysO//pabA//
GO_0006085_7	yjjX//pdeD//
GO_0006086_8	cecR//
GO_0006089_5	cpsG//fre//ulaC//rpsD//rhaS//evgS//umpG//serB//mazG//yhbO//kdpD//tauD//rplM//purN//rlmL//ydiQ//yqiJ//envR//mcbA//yccA//pgm//yqgB//hyfA//bamC//lysP//frlA//rihB//napD//mnmG//
GO_0006090_8	malG//folC//atpD//yicJ//symE//fucA//emrB//phnK//hscC//acrR//hdeB//waaU//yphC//yafN//speF//ebgA//pgpB//kch//yqgB//yqcC//speD//pbpC//yfhH//xylG//yedL//ebgR//ddlB//uxuB//casC//grxD//pnuC//
GO_0006091_4	gloA//cspE//hokB//iscX//mpaA//mzrA//pntA//ycjR//fadM//rluF//cof//cbeA//malI//cheY//rlmE//rmuC//wecA//rsmG//lamB//mdoG//artM//modB//kdgK//kefF//zinT//emrE//pabA//ynfE//iscX//ruvC//kbaZ//proX//fklB//purT//cusF//potC//fhlA//acrE//argO//cmtB//puuC//sapA//minC//ygjK//csgF//paaK//rhlB//artQ//tolA//flhD//mdlB//phnG//selU//murG//mlaC//ubiD//phnH//entE//lacY//flgA//yjaA//ftsY//msrA//rlmE//fruK//tbpA//insI4//araD//nagB//infC//alaE//sgrT//waaY//symE//yqiG//pdxK//mdtE//ydeT//hipA//hslU//ugd//prc//ivbL//ilvB//adeQ//glgX//idnK//srlR//secF//yihS//sdiA//aceA//queG//yqeA//ugpB//rhaM//malG//rcsF//ybcM//dsbB//proC//ispB//thiP//ilvH//phoP//frlC//menI//trmO//nadB//kch//mnmE//yqjA//
GO_0006094_7	puuD//gatA//rplB//rcsD//ftsW//yfcF//nudF//hcaB//hofP//hycB//
GO_0006096_6	glnK//pepT//rplB//mcbA//ydeE//rseB//truA//yehD//livK//apt//ompN//bdcA//ilvB//ydiV//rplL//yagE//frdB//nac//
GO_0006097_5	lpxT//nikE//ttdR//yadC//cspA//
GO_0006098_6	hcaE//lysU//ydiO//elbB//rpsA//
GO_0006099_4	fic//eutN//btuF//ytfE//tnaA//fimF//yafS//deoA//galK//tehB//hypF//hybE//dcuS//patD//sufC//trkH//lpxB//
GO_0006101_6	ompL//ypdA//caiF//fes//dctA//thrL//yiaL//phoE//ulaG//rbfA//sgcR//rpsI//yqiJ//ubiB//ykgM//rfaD//mscM//
GO_0006103_5	yejE//elfA//ygbI//
GO_0006104_6	fadK//sanA//sbcD//
GO_0006105_5	ribA//feaR//etk//mug//yedF//gadE//thyA//xylF//
GO_0006106_8	nuoN//
GO_0006107_8	glxR//
GO_0006108_8	asnB//tdcC//ogt//mngB//hisC//
GO_0006109_6	yeiG//yggT//nirD//proB//recX//fur//dgcN//rpmC//maa//
GO_0006112_5	gltB//garK//mngB//gltD//rfaQ//galF//gnsB//fucI//
GO_0006113_5	purC//hprS//bglF//gmd//selU//alaC//fklB//uvrY//yajL//dgcE//yggN//ispG//dinJ//
GO_0006115_6	yfdO//
GO_0006117_5	marA//
GO_0006124_6	cpxR//
