#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xthA//rfbC//ygiN//hyfA//
GO_0000160_5	fixB//yhbS//gshA//alsK//hyaA//potA//degQ//ssuB//fixB//yeaD//pspF//aceK//mntH//yccX//lptB//frwC//yjiR//ibpB//rplT//emrB//setA//nrdD//insK//mtnN//csgD//nikA//alaE//sbmC//tusC//cusC//speB//phoQ//rpsB//macA//malS//folE//ybiY//cysD//apaH//cbrA//yhdX//menC//motA//
GO_0000162_7	nupX//ynhF//nirC//gnsB//bdcR//sbmC//flgD//acpT//manX//
GO_0000255_5	ompW//rhtA//dnaG//pdxH//yaiV//
GO_0000256_6	yqiI//atpD//paaC//frdB//slmA//
GO_0000270_7	rpiR//mdtF//ftsQ//yiaL//xylR//ptsI//elfC//hsrA//hisM//dnaE//nupG//sulA//recE//mdlA//murP//cueR//kup//rsuA//lysS//ybcJ//asnB//fdhF//yaaJ//pbpG//fepC//bhsA//yfiE//ompT//rclC//mdtE//cheW//nanS//hslR//dsbD//cspE//livG//yhdH//ettA//hinT//dctA//accA//nadC//acnA//glpX//rpsH//entS//putP//ybbY//ogt//sdhE//kduD//frdB//queE//yrbG//xseB//artI//ttcA//trmA//chbR//rihC//hycH//ecpR//tilS//
GO_0000271_6	iscU//bamE//rclC//ibsC//folA//pphA//atpG//rzoR//tufA//cbrA//opgH//rpsE//arsC//murQ//rpmB//tsx//basS//ccmF//cysZ//zraS//potG//pgl//recJ//efp//mgtL//alsB//ccmF//arnT//speA//atoB//hscB//yhcD//fdnG//fimF//frlC//ybdM//ackA//murB//lacY//wecE//npr//pcm//rlmC//recA//epmB//dctR//iaaA//evgA//sbcC//proX//
GO_0000272_6	pheT//cynS//dcuA//dam//rpsJ//folA//
GO_0000302_5	agaR//zapB//ccmE//yijE//pdeL//pntA//hcaB//yajL//sgcA//eamA//torY//gatA//citC//adiA//ynfH//mnmA//ebgA//zraR//yjjB//eutN//ypdC//rapZ//dinB//dppB//ccmE//hyaD//casB//greB//rpsE//prpR//acrF//
GO_0000303_6	xylA//tatE//
GO_0000305_5	gloA//hipB//hofO//
GO_0000372_11	trmL//
GO_0000375_9	menC//
GO_0000376_10	rplB//
GO_0000413_9	yeaG//potE//yaaA//casE//lgt//ibsE//yieL//ybhP//
GO_0000451_7	sufA//ttdT//flhE//glsA//yjiX//
GO_0000453_8	deoB//dcuB//leuS//aspS//lgoR//
GO_0000455_9	asmA//uvrC//creB//ypdC//apt//ycbB//rarA//
GO_0000462_11	ydcR//sdhD//
GO_0000469_8	mntS//
GO_0000470_10	nagA//
GO_0000478_9	basR//
GO_0000715_6	pgaA//
GO_0000716_7	yfeO//
GO_0000724_8	gntK//
GO_0000725_7	acrR//oppB//nadC//yjjV//dnaE//yiaF//
GO_0000726_7	tolC//
GO_0000731_7	rlpA//evgS//frmR//sfmF//udp//yfgO//glnL//
GO_0000737_7	rep//
GO_0000738_7	yqiJ//cydB//mhpA//
GO_0000746_4	greB//
GO_0000820_7	tauA//
GO_0000902_5	yiiE//
GO_0000910_4	gltP//rzpD//ansB//tatC//malE//pyrG//yhaC//aaeB//casE//ttcA//aspC//cadA//fepA//yicJ//ydhJ//tpiA//rseP//xanQ//
GO_0000917_6	azoR//yheT//ydfG//cspB//ydeP//
GO_0000918_6	tbpA//nuoL//ygbI//yhbQ//
GO_0000920_3	sgbE//ymfK//yfaE//tsaC//hcaC//
GO_0000921_6	waaB//
GO_0000966_8	hsrA//fruA//aldB//pdxY//
GO_0000967_10	mlaC//rclA//lapA//
GO_0001101_4	deoC//sseA//yfdK//rluF//dppC//narY//panF//otsB//yggD//gfcE//rep//yfcS//rihB//dosP//emrY//ampG//ygeV//uvrY//cyaA//yqaB//rhmR//argI//uup//ubiJ//allD//amyA//
GO_0001121_7	rsmF//ridA//
GO_0001123_8	ydeO//
GO_0001124_8	ypdC//
GO_0001407_7	chiP//ribB//glsA1//yrfG//
GO_0001505_4	argG//rlmF//ghxQ//yihX//ychO//insB-2//trmB//waaO//cobC//glyS//fucK//tatE//hprS//yciV//cadC//murD//
GO_0001510_5	ligB//potG//xylG//hsdR//dapA//pspG//tmk//rihB//zitB//tus//treA//ybcM//flhC//hycB//glyS//aceF//purA//dcuD//yegS//dapA//ybcQ//fdoH//aspC//ilvN//yfgO//rsmD//proA//ybaM//zur//basS//gapC//rnlA//fepE//asnB//glnK//aqpZ//emrD//murE//argG//bioH//
GO_0001514_8	mdtF//
GO_0001522_7	hypB//ydcS//rpmB//zipA//holE//ssb//casC//ydjJ//yrdA//ygaV//rnhB//secB//uhpA//
GO_0001539_4	rclC//ycfL//yfcG//guaC//fixB//aroH//mgtL//yadK//fepB//yddL//rcnB//waaF//rplS//yciF//rpsG//yceK//decR//tbpA//yehP//nanS//trpL//hofQ//napA//dnaC//yciA//glpK//yccA//waaC//zupT//arnE//allB//
GO_0001558_5	sapC//yhfK//motA//murE//yggX//ycfH//lon//htrE//
GO_0001561_6	insI4//
GO_0001666_4	fabR//
GO_0001676_6	trmH//fdoH//ydaN//
GO_0001680_11	lpxC//
GO_0001682_11	pstS//
GO_0001731_7	chpB//
GO_0001762_6	gsiB//
GO_0001887_4	dhaK//xseB//insK//
GO_0001896_5	yhfS//bioA//lsrD//ypdI//
GO_0001907_5	phr//ygeX//trmO//yahF//
GO_0001932_8	serS//paaX//
GO_0001934_9	glnB//
GO_0002047_6	puuR//hofP//
GO_0002097_8	rapZ//slt//ygiV//tnaA//yebG//mscL//glrR//ugpB//leuO//glpG//bglF//pheS//yihU//rlmN//maa//tdcB//znuC//ppx//csrD//
GO_0002098_9	mrdA//yhdX//araH//pbpG//dinD//hda//wza//gabP//ybcL//ftsP//acrF//hyfA//actP//
GO_0002099_9	fruA//roxA//
GO_0002100_9	ldtB//
GO_0002101_9	frwC//yjaZ//
GO_0002128_7	dacD//ydhK//fabI//galK//
GO_0002130_8	yfcP//
GO_0002131_9	insH-6//
GO_0002132_9	amiA//
GO_0002136_10	frlC//
GO_0002143_9	sohB//carA//alaS//ggt//dsbA//ptsP//
GO_0002181_7	potG//ydcM//
GO_0002183_5	pflB//
GO_0002184_8	znuC//
GO_0002188_6	ulaA//
GO_0002190_6	accC//
GO_0002192_8	yciA//
GO_0002252_3	lepA//lit//ymfK//ybcF//yfbS//mppA//paaX//mnmA//ibsE//thiE//
GO_0002790_6	ycdX//solA//hipA//hxpA//yhdX//mtlD//xylE//
GO_0002937_9	phnJ//
GO_0002938_8	hexR//
GO_0002939_7	rpsT//
GO_0002943_8	ddpA//
GO_0002949_8	hrpA//yihX//hscA//rusA//
GO_0003333_7	pth//frwC//ygjH//cspG//yfiC//atpC//dcp//narQ//acs//mtlD//rluA//yfgI//puuE//envC//nikB//yegV//yiaT//tonB//sufA//yjjX//ydiQ//folM//mgtA//mdtQ//ybhD//ynhG//zipA//asmA//rpoH//setA//glgA//hexR//hsdM//sbp//kdpC//clcA//holD//rhsD//poxB//fecB//paaH//sdhC//argO//ybiA//araF//tcdA//cspI//cusF//xisR//
GO_0005975_4	cysH//insH-6//yjbE//norR//uvrC//rpiA//pgaD//ftsB//mcbR//mraY//nrfF//mhpC//wcaJ//nagB//garK//efp//argP//glpD//gstA//rcsF//murR//ibsE//chpB//fepD//rseP//dgkA//yneJ//mlaF//tauD//asnA//glgB//fabB//lasT//putA//fixC//ssuA//dcd//pdeK//yghO//lysP//mprA//allB//ispH//cof//ihfB//bioD1//poxB//rnr//cheY//ynaI//glxK//mdtO//ypjD//ftnB//yneJ//fabZ//citX//ftsA//entA//murP//arnT//oppC//pdxK//gabT//dapF//rnc//rseB//lplT//ispG//glnL//mdtL//actP//yihS//copA//bfr//sufA//waaF//aphA//hisB//ybiA//rplC//hsdM//aidB//hyaC//ygbL//yciH//ymgA//rhmR//yihL//mltF//paaZ//clpX//ydiV//dgcJ//ibsE//entH//higA//lpxH//yaiW//mdtG//gspF//mepH//ltaE//betT//kduD//ruvB//yhjD//folA//glpB//thiP//intQ//cysK//yrbG//gapA//rpnD//thiM//rph//htrE//ptsN//allS//flhD//opgH//cobB//ribB//leuS//idnK//relB//macB//pth//yidD//rsmA//fhuF//exuR//leuE//gltK//uvrD//sugE//panC//bioB//ydaV//mukB//allS//rapZ//mnmA//yadM//rffG//srlR//rpsP//fetB//flgF//cstA//aceF//proS//ydcZ//fadJ//nfuA//pcm//sutR//livM//treR//tolQ//yohC//yfcP//cysH//argI//ralR//ssuC//ompG//aldB//rfaQ//coaE//tsaE//fryC//ymgC//ldtD//yjiM//rpiB//sbcB//ytfT//hcaD//flgG//mreD//argH//mipA//ltaE//prmA//relB//yjiA//relA//tap//dgcJ//rhlB//astC//trmA//sodC//pepA//clcA//rutA//potG//yidC//livM//srlD//dnaG//tsaE//cysK//ycaO//fruB//ybhD//ycfL//zraS//nimT//sohB//gadB//upp//tmk//cueO//gmk//ynfH//yjaZ//zapE//yqeA//pagP//ygfX//ftsH//yciG//hcaF//entB//ygeX//mhpD//uvrC//torR//ptrA//ybiT//sodC//surE//dnaA//pgaC//prlC//cas1//arnA//wzzB//ubiH//gatC//waaU//recA//gldA//insI1//rbsC//minD//flgE//ppx//dut//csrD//hxpA//
GO_0005976_5	yibA//yraJ//ydiO//allD//tsaB//ubiX//rhaT//rimI//torS//argF//lacI//rhaM//nagK//ulaB//ycbX//trpA//cyoB//epd//flhE//entA//feaR//alr//atpA//truB//ycfL//metN//hcaT//ydiR//cydD//gmk//ycfJ//trkH//yedA//tsaD//codA//hprR//nmpC//yciV//trpA//ubiF//ybeF//yfeR//gabP//rcsF//lgoT//garR//zntR//leuO//ccmH//aas//artI//insI4//thiM//lpd//purC//tap//lpxC//nagA//ptsI//
GO_0005977_6	pyrH//ynfE//grpE//ybcQ//slt//dppF//glcE//fdoI//
GO_0005978_7	priC//tusC//gsiC//pliG//
GO_0005979_8	yhhT//
GO_0005980_7	cdsA//yfaL//fieF//
GO_0005981_7	leuO//
GO_0005984_5	mtlA//gatD//radA//lsrB//degQ//gfcE//nemR//lepB//folA//psd//rplR//
GO_0005985_6	recX//
GO_0005986_7	rpoS//
GO_0005988_6	scpC//zraS//
GO_0005990_7	argG//rimO//
GO_0005991_6	bluR//hybO//yeaD//wcaJ//yddG//
GO_0005992_7	shiA//folC//
GO_0005993_7	gntK//glgA//fliG//
GO_0005994_6	lsrK//
GO_0005995_7	cecR//
GO_0005996_4	yjhB//ftsP//pphA//arsC//glvB//ymjB//gltI//ubiI//folM//acrF//yfdR//polA//bisC//gadC//eutR//abgB//malX//sfsB//argD//sapD//hsdM//phoU//yaaJ//rlmH//sxy//galF//ybjD//dsdC//ppk//yqiH//narQ//dacB//artQ//acrE//rsmH//corA//dsbG//qorA//pdeD//menA//topA//wzzB//symE//araG//nadB//yphF//yggD//dnaN//murE//flgM//uof//rstB//bioB//obgE//dauA//corA//mtlA//secA//garR//yjgX//ybiH//ynfK//araE//glcB//cadC//puuB//leuA//ybeQ//yhhT//ydcZ//dam//yajO//emrE//tusC//yqgB//torY//ycfS//fliS//ldtD//murG//fucI//dnaE//
GO_0005997_6	dnaG//
GO_0005998_7	leuO//
GO_0006000_6	ulaR//poxB//mdtN//
GO_0006001_7	ynbD//ssuC//
GO_0006002_5	garP//dtpC//trpC//
GO_0006004_6	torD//acpH//cobT//ilvB//frvB//dmsA//
GO_0006006_6	mpaA//yeiG//chbG//ydjK//frlA//ydjL//clsA//ybiX//cysA//fucP//hyfC//dctR//fucA//flgJ//relB//afuB//recG//ydaV//rhaB//rhlE//garD//dhaR//pabC//
GO_0006007_7	surA//dgcQ//rpnD//
GO_0006011_5	gltD//
GO_0006012_6	gshB//gloC//ogrK//garD//cobT//tolQ//sapF//gutM//ybfA//
GO_0006013_6	yadK//dsbD//
GO_0006014_6	fliK//opgB//xylE//
GO_0006015_7	ynjA//pinR//
GO_0006020_5	rppH//
GO_0006022_5	sgcX//ugpB//fadD//adk//argA//mqsA//cspG//ycjR//flgI//lsrD//modB//iscU//nusG//ybcL//yebS//gadX//aroL//rlmM//flhD//cpoB//dsdX//menI//sbp//nirB//atoC//malQ//cyoD//glsB//yfhM//yraH//cysK//ymgA//pckA//rsmD//galE//fadA//phnK//puuB//rzoR//lolD//yadN//ariR//alsA//uidR//dhaR//yfdO//rayT//lgt//kdpF//pdeK//metQ//chbR//malG//sthA//corA//yjhB//trmO//gadE//mqsR//essD//menE//relB//ppc//
GO_0006023_6	malI//rfaC//frdD//cutC//kefF//rcdA//bioD//elyC//ypdI//sdhB//fadI//glnP//uvrY//accD//coaA//ampG//ftp//ftsL//yiiE//dnaG//ascF//nupC//yijE//flgG//ybdO//cpsG//rseP//rpoS//chbC//dgcN//fecC//yeeJ//soxR//rutC//cytR//phoR//sseA//mglC//yneL//
GO_0006024_7	cspD//trpD//uxuA//ackA//hipA//nrfG//ynbD//yaaA//yggD//csdE//thiQ//avtA//secE//rnlB//srlD//deoR//lysR//chpB//sutR//argE//atpD//kch//dcm//yihO//yjtD//rcsA//yehC//yqeF//ribA//fau//barA//torR//caiE//glnS//fdnG//yidR//truC//uidC//mrcA//
GO_0006026_6	rstB//eamB//gnd//mprA//rof//holD//lpxP//yidK//waaZ//mobA//
GO_0006027_7	ratA//tsaB//torZ//proS//wcaJ//aroC//malF//trkA//ychH//rpnC//
GO_0006040_5	manA//rapA//ydbD//insH-5//rfaC//rraB//araC//rbsC//pepQ//kdgK//pspC//entS//btuB//gltP//kdpB//tynA//trmJ//
GO_0006044_7	yaaY//pitA//prlC//sbmA//yodD//
GO_0006046_8	mmuM//alr//wecC//gadC//
GO_0006047_5	gabP//upp//coaE//coaA//pgaA//dusC//gfcE//
GO_0006048_6	pgpA//hypD//srmB//mgrB//ydjM//phoQ//
GO_0006050_6	ccmG//
GO_0006051_7	mltF//
GO_0006053_8	hxpB//
GO_0006054_6	yehA//mdtM//ftsK//tusE//gatZ//narQ//yhhT//
GO_0006056_6	wzyE//
GO_0006057_7	fryC//
GO_0006059_6	cueR//astB//roxA//yeaG//
GO_0006060_7	nadA//
GO_0006062_8	bamD//
GO_0006063_5	rsgA//ibpA//ghxP//phnL//uxuA//opgG//alsA//ruvA//exbB//
GO_0006064_6	waaH//cas2//rfe//pstS//cytR//plsB//
GO_0006066_4	pflA//rplX//ybhS//purC//ykgO//ppiA//rpsB//yfaV//asnS//nuoG//wcaC//yjhG//hybB//fieF//pldB//deaD//yhcN//uidA//bcp//recG//hemC//cutC//cdgI//yrfG//yebK//nac//leuE//ugpB//sbcD//cmoA//ftsK//adiA//
GO_0006067_6	slt//folX//cysU//
GO_0006071_6	fliT//glnA//trmI//crcB//yihW//evgS//casA//
GO_0006072_6	argC//mazF//mdtD//yfiF//rrrD//
GO_0006073_6	yobA//yieL//paaB//ariR//flgC//ugpE//ygaZ//ydiB//csdA//yphD//yphB//yehX//sanA//yihS//cueO//rnhB//mlc//rpnA//glrR//rhsD//
GO_0006081_4	yciF//rppH//waaU//ccmC//ydjE//rsmI//ygfX//bglX//torI//rluB//nikR//ftsN//nrfB//nrfB//efp//ecpR//fliM//trpB//ygeW//yjfF//hyfR//ydiP//ydhQ//phnM//fliZ//rpsP//btuC//ygcR//ybjD//yehD//cysD//frlB//umpG//yhaV//mreD//puuE//amiA//pheM//gabD//phr//nrdB//cysE//murG//ftsL//narQ//tsaD//setA//ybaQ//ybjX//dtpA//narZ//mdtP//essD//roxA//bglX//purT//ulaE//xseA//ybhJ//pstB//rnb//scpC//secA//lsrA//cbtA//srlR//ybcM//
GO_0006082_4	dusB//putP//yqiG//mglA//arcA//lpp//gltK//ydeM//ilvC//ubiJ//icd//sapC//mhpT//nfuA//ybdZ//pstB//livG//arcA//flhA//yiaO//yefM//mdtD//acpS//yieL//alpA//fepD//mtnN//ghoT//citC//dgt//nanA//flgI//efeO//rnlB//matP//yfaL//cpdB//ompA//truB//yciG//hipA//entA//adiY//dnaQ//tusE//btuC//yahN//rsfS//tktA//ecpR//dsdA//gudX//nadA//kdsB//ymgA//yhdZ//yqjI//greB//casC//tmcA//cysZ//ccmD//kdgK//idnK//nusA//arnB//ygiS//mltG//ulaE//insA-2//gapA//yfcR//hinT//mdtF//proA//gadB//eutN//mdoG//maeA//asnA//cysE//cspD//hyfC//mmuP//nupC//mdtB//aroH//betI//lsrD//torR//norR//sodB//umuD//prfC//atoS//hprS//mocA//yejF//yjeI//dmsC//hofO//rhoL//ddlA//alsC//dnaT//dgoD//ghxP//entD//rbsK//yajL//mdtF//ydcT//bamB//dnaE//fiu//ypdB//tdcD//pmbA//ldhA//surA//rplE//ubiJ//fklB//ycdX//gspE//deoD//tag//feoC//glpG//xylB//rppH//relA//rcsD//ddlB//radA//xisE//fimH//rplI//csrA//ydjH//rnhB//mdtN//degQ//yceD//icd//mntS//hdhA//araE//ypjD//alaA//appB//lrp//rhmR//ratA//tnaC//talB//proV//torY//yiaM//rsuA//ycjY//codB//cfa//tsaC//yjjW//dinI//dcuC//paaD//ccmF//putA//kduI//sgrR//ftsK//tqsA//ybcJ//cysN//basR//dbpA//rhaT//gltX//rlmD//intA//rpsL//cobU//yhcF//nanC//idnO//glnB//maoP//yiaB//artQ//minC//hslR//ade//gpt//gppA//dcuR//moaE//yebZ//asnB//yeeY//fdnG//waaQ//ugd//narJ//argC//agaI//ymfK//ahr//phnL//yfiC//yihO//sapF//rimI//ilvC//motA//cobC//gloC//hypC//cdaR//malP//murA//tatA//lysS//tcyP//ampD//ampD//glvB//tsr//nrfC//menI//appB//yqhC//yddM//dnaC//dacA//yieL//thrA//wzb//aceB//dinB//yqhD//pitB//mltA//nikB//hyaB//lpxT//gcvR//lgoR//flhD//hcaD//malS//map//cbeA//cysU//adeD//nanT//nusA//mprA//pgrR//ybcQ//asnS//pyrB//mqsA//rayT//glpR//bhsA//mioC//uidC//birA//sapC//flgH//glpK//hdeD//cheW//ydcS//dgcE//fadI//coaA//prmC//pagP//mdh//lpxL//yehA//yejE//yeiL//mdtL//raiA//caiE//frvR//mgtA//dkgB//ubiA//idi//basR//ptsH//rpsL//rrrQ//yghG//citX//dnaE//queG//bglH//mutS//dgkA//nrfA//tusD//ybdR//glsA1//yfaX//ccmH//xylE//dcyD//fadL//upp//tolA//nrfF//gpp//ibsC//fabG//truB//ugpA//gpt//ydhJ//umpH//trmI//ttdA//cheB//cycA//mdtA//arsC//rmf//potF//ybeQ//cspE//aspS//ymgA//yggP//groS//fepG//dinB//ppiA//efp//uvrA//narV//trmB//maeA//hxpB//katE//phnI//ribF//zwf//folA//yddM//bepA//yihL//tauD//lysP//ybjI//glgB//ygjK//mdoG//dctR//narU//casC//lapB//acs//hyfC//glgP//tpiA//secA//ftsY//galK//ynfL//fsr//aaeA//nagB//mtr//fabH//uidR//malG//citG//aspA//menI//speE//glcE//bglH//hemG//yhgF//yfiR//yegS//atpA//cydD//hemD//yccS//otsB//ymgC//nfuA//uxaA//prmB//pflC//argP//chbG//baeS//bioF//ykgM//kdsC//speD//hyaC//pck//yhaV//bioD2//paaH//hslO//gldA//ybcM//paaF//priB//narU//pgm//yahK//ruvC//rplJ//pstC//yhaM//tcdA//pdeH//mutL//appA//yfaX//frlC//nuoI//zapC//yehX//purR//yagU//dicA//ade//fabZ//uxaC//cmtB//gcvP//yiaT//epd//ygjK//mrr//osmE//helD//deoD//hha//mtr//torZ//fhuB//ibsC//insH-6//yghG//ybiX//araA//ybjI//marR//
GO_0006083_6	trmH//ybaO//lysA//yahF//iaaA//yjeI//
GO_0006084_6	panB//cyaY//
GO_0006085_7	roxA//sbmC//
GO_0006086_8	hypC//
GO_0006089_5	yafQ//lptD//rapZ//yidA//pyrG//yagI//yedL//rutF//nuoE//mocA//hslJ//ptsH//serS//cueO//xylR//ygbL//borD//ybcC//rimP//sfmC//udk//higB//rpsA//ompG//thiI//nfi//ybhI//envZ//bamD//
GO_0006090_8	paoC//murA//casC//sgcB//bluF//rhmR//lepA//deaD//garD//codA//marA//fdoH//eutN//pepD//lsrB//recG//ppx//mtnN//hisQ//yrbG//pmbA//rbsD//yagE//fhuC//nuoH//gltL//sgcR//waaJ//napC//hslO//rpsM//
GO_0006091_4	ydeO//treC//ccmC//lptC//ycgV//wzzE//ptsG//hha//ybcJ//opgB//manY//uvrA//casD//yeeO//lit//ybhS//hcaD//wcaB//thiQ//yqaA//tqsA//cyaA//lpoB//gdhA//waaG//secF//csgD//casC//relA//mlaE//hcaD//yccS//etk//metL//rhaD//folD//yfdG//nuoH//appB//phoQ//uhpB//katG//fryA//fepB//trpD//uraA//phnO//crcB//purC//feaB//ilvE//fieF//ytfT//nagK//recC//waaQ//araD//thiP//btuD//yfeW//dbpA//dam//yehU//rutA//aaeA//lptF//astB//pdxA//etp//entB//rsmJ//glnH//torS//rep//gltI//symE//speF//marA//xylE//tnaC//iscS//argC//fepE//hldE//rhtB//hisS//hycA//uhpC//pbpG//cspE//ascB//astB//umuC//mntS//hchA//gshB//yafO//yjiQ//rplN//yfcP//rpsK//recJ//dicB//ldtD//ttdT//malZ//pgsA//speD//rimK//mlaE//rbn//yadC//
GO_0006094_7	gpmM//yigL//yihS//rstB//lysO//nikE//waaA//insH-5//yacG//xylR//
GO_0006096_6	ligA//kdgT//hisI//sfsA//lsrR//nrdI//der//tcyJ//manZ//murI//prpD//pepA//mcbA//thrC//selD//mnmC//fepE//gpmA//
GO_0006097_5	yieF//ybhS//aphA//gatA//mhpA//
GO_0006098_6	ychF//gatZ//yneJ//galE//eutR//
GO_0006099_4	rrrD//iclR//yhjV//yhaJ//mdtM//lysU//lasT//hypE//yadC//asnB//rfbC//acnB//acpP//pyrL//evgS//trpE//hemA//
GO_0006101_6	ybjL//atpB//waaB//tbpA//dppC//rplM//raiA//menF//preT//ynbC//proW//htrE//glgB//pdxH//insH-6//argF//ackA//
GO_0006103_5	ymfK//dkgB//fdoH//
GO_0006104_6	pabC//chaA//scpC//
GO_0006105_5	glpG//rpiB//fklB//thiC//zipA//osmF//apt//yjcS//
GO_0006106_8	ykfM//
GO_0006107_8	cspE//
GO_0006108_8	bioA//fruA//acpS//aroC//hdeB//
GO_0006109_6	rraA//ybaE//ulaR//hypC//tatE//prpB//ilvL//rne//btuD//
GO_0006112_5	setC//artP//hsdM//kdpF//yejA//malP//arnD//ymdB//
GO_0006113_5	rdgB//tusB//ddlA//potG//ribA//hypB//nfsB//fbp//casA//mtnN//ygfA//argA//hicB//
GO_0006115_6	leuD//
GO_0006117_5	pepN//
GO_0006124_6	rpsJ//
