#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xylB//bdm//fliZ//ybiH//
GO_0000271_6	trmA//zapD//potC//mdtQ//ribF//sbp//hisS//glrR//glnQ//rpoD//rapA//rhaS//essD//ispB//glk//thrA//panE//rpmF//pheT//orn//gltS//rpmH//ydcM//yadN//dnaK//nrdD//mglC//yacG//yeeL//waaQ//recE//acrF//dcuS//rusA//yqeG//bdm//mioC//murJ//lnt//yadC//ompA//smpB//mdtJ//uvrY//ilvH//araH//ugpC//yeeJ//rpmB//rplC//
GO_0000272_6	rpsA//glsA//fimB//frvB//ldtB//sgcB//
GO_0000302_5	dusB//uacT//higA//glnB//yjjG//ftsL//fpr//rpsD//hslV//ivbL//csiR//zapE//sfmH//lpd//sucA//ompL//clpS//gudD//rpiR//thiC//spoT//agaC//oppF//frwD//psuG//torZ//secA//mcbA//eutD//murC//ygiV//
GO_0000303_6	hicB//allC//
GO_0000305_5	aqpZ//gdhA//recX//
GO_0000372_11	mdtE//
GO_0000375_9	ynhF//
GO_0000376_10	sgcB//
GO_0000413_9	gloA//rnr//plsC//dacB//kdgR//cysD//uspB//gnsB//
GO_0000451_7	menA//gpp//sfmC//ybiT//ynfK//
GO_0000453_8	recN//metF//ftsP//yejE//aldA//
GO_0000455_9	flgK//yihP//nudG//kdgK//trkA//iraD//ddlB//
GO_0000462_11	cecR//dgcM//
GO_0000469_8	ygeV//
GO_0000470_10	rihC//
GO_0000478_9	yadI//
GO_0000715_6	glgA//
GO_0000716_7	leuS//
GO_0000724_8	dgcJ//
GO_0000725_7	cyoD//rlmJ//cyaA//mlc//flhD//nrdI//
GO_0000726_7	modA//
GO_0000731_7	garR//cspD//dhaL//pal//yfbU//yfcR//pepB//
GO_0000737_7	hcaC//
GO_0000738_7	yajQ//yfcR//yhaJ//
GO_0000746_4	yddA//
GO_0000820_7	ulaA//
GO_0000902_5	puuE//
GO_0000910_4	rfaF//arnF//gspE//rpsA//afuB//srlE//ygfA//speF//proQ//fre//elbB//yajO//yfcF//add//yfhH//rhaD//ispB//kch//
GO_0000917_6	satP//raiA//argI//ygjK//ynjD//
GO_0000918_6	waaQ//yadG//spy//icd//
GO_0000920_3	frmB//nikA//ybbW//yejE//alaS//
GO_0000921_6	lpoB//
GO_0000966_8	nuoE//paaC//yhbS//atoC//
GO_0000967_10	btuE//adiY//prfC//
GO_0001101_4	gudD//ggt//flhD//clpP//yrbG//ttdA//pspA//ybaO//ftp//cdh//cof//rnt//eptC//bacA//ytfR//purD//recE//rpmH//ltaE//melA//ccmH//dinB//infB//cheW//fimD//modC//
GO_0001121_7	yciF//alaE//
GO_0001123_8	hisQ//
GO_0001124_8	stpA//
GO_0001407_7	yciA//btuB//nudF//roxA//
GO_0001505_4	dtd//trpR//dsbB//recN//yfcA//yjiY//rihA//lolE//ubiG//bsmA//ybiO//znuB//gstA//bcsQ//ibpB//lysC//
GO_0001510_5	lsrR//ycdY//lptG//dinB//araF//pliG//maoP//fucA//mtn//proW//cobC//cyoC//folP//creB//pgaA//gltX//ftp//yhaJ//yebQ//bfr//torD//ynhF//argE//ygaZ//yajR//ydhC//tolR//hflC//fklB//mutM//sapD//guaC//nrfB//rlmM//mtfA//cyoA//mglC//zraR//glpF//glpC//
GO_0001514_8	rsfS//
GO_0001522_7	yhdX//yafE//mrcB//nrfF//hyaA//yaaY//ybiO//csdE//rplI//holB//ldrD//rfaQ//narX//
GO_0001539_4	idnO//rpmG//amiC//glnH//ybcM//lapB//yjjG//hokE//norW//mdtM//yahI//narQ//cbl//ydaV//pcm//mgrB//mglA//yiaF//rfe//rlmE//metK//sdhA//prfC//hflC//slmA//hofM//lldR//dtpC//ycdY//glcF//yhfS//
GO_0001558_5	cspD//yfjV//ddlB//dauA//cutA//ydeE//etp//lsrB//
GO_0001561_6	glsB//
GO_0001666_4	pepT//
GO_0001676_6	yedF//yjiQ//phnP//
GO_0001680_11	menA//
GO_0001682_11	wza//
GO_0001731_7	hemE//
GO_0001762_6	sfmF//
GO_0001887_4	ccmG//mhpA//agaW//
GO_0001896_5	murF//panB//dsbC//guaC//
GO_0001907_5	rpsD//brnQ//ydcZ//fimB//
GO_0001932_8	ydiP//truD//
GO_0001934_9	frwC//
GO_0002047_6	rffT//dtpC//
GO_0002097_8	phnG//thyA//leuA//mgsA//tauD//yjiM//clcB//rffH//yihS//yehC//ligA//idnT//tehA//yfbV//alkB//cedA//aroP//ulaG//secG//
GO_0002098_9	waaZ//insE-1//agaD//cmk//rimK//yieK//folM//yigL//mdtJ//ugd//rclC//fhuB//nupC//
GO_0002099_9	mepM//mrr//
GO_0002100_9	csgA//
GO_0002101_9	dacC//ttdR//
GO_0002128_7	tsaE//rutR//yoaA//dgkA//
GO_0002130_8	truC//
GO_0002131_9	yfcQ//
GO_0002132_9	pheM//
GO_0002136_10	glmS//
GO_0002143_9	tap//adiC//znuC//yehT//narL//sufS//
GO_0002181_7	recE//hokE//
GO_0002183_5	insH-6//
GO_0002184_8	paaE//
GO_0002188_6	ybhI//
GO_0002190_6	cydC//
GO_0002192_8	erfK//
GO_0002252_3	trpD//nuoL//gntT//lacI//ydjK//yajD//yjfF//dppF//mdtP//hyi//
GO_0002790_6	ampG//vsr//sbcB//ftnB//rsmB//glpC//proA//
GO_0002937_9	ykfM//
GO_0002938_8	tolC//
GO_0002939_7	yodD//
GO_0002943_8	ydeO//
GO_0002949_8	ydfK//thiE//cpsG//livH//
GO_0003333_7	fimE//plsC//paaK//lptF//nagA//glcF//gudD//cysE//hypB//envY//gltX//yohC//rlmE//glpB//rplC//ibpA//xylR//msrP//opgH//uacT//ydiZ//secD//tatE//thiI//fecD//acnA//rapA//sodB//mnmC//hsdR//rfbX//ykfM//setA//treF//tehA//ycjU//gapA//znuC//greA//aer//dhaM//lpoA//mhpA//mnmA//patZ//yjbB//entF//idnT//yigB//
GO_0005975_4	yjeI//yhaC//rfaQ//pdxY//cof//pdxB//lepB//yrfG//talB//epd//fliK//rpmH//speG//aroF//fixB//rlmE//frdC//ibsB//talB//rnhA//cueR//ibpB//wza//yiiE//gshB//elfD//rdgC//adhE//dcyD//lldR//yihR//baeS//fabI//gltD//fhuB//thiG//envR//pgsA//umuC//cdsA//rpsE//rsmD//mtr//paaZ//ypdF//nikB//rpmF//thiC//pntB//yadK//yjjW//mhpA//pmbA//rsmE//minC//lacI//umpH//ribB//creB//rdgB//yjjU//kduI//nagZ//rplO//potE//dctA//ydcM//elaA//mgtA//lysC//ghoT//yaiW//yqeF//preA//fsr//lgoR//opgB//entD//sbmA//ubiF//hofO//ybcM//pfkA//waaZ//mobA//yraR//intS//nrdD//yehZ//hokE//rplE//yihO//yehZ//menI//yjbH//glpC//tcyJ//yafQ//mepA//ariR//ynfH//malZ//umuD//ugpE//hycI//secD//paaA//ydjL//rpnB//menD//ubiG//rtcB//pnp//ynhG//yeiL//argS//wzzB//fumB//mgrB//osmE//cheB//mutH//rhlE//yjjQ//nuoG//rsmD//ribB//rihC//raiA//argD//tpiA//mazF//focA//cusS//nepI//rrrQ//yghU//sgcC//tdcR//rfbC//lamB//ybcC//crl//gltP//envY//bamE//rzpR//gloA//lgt//otsA//chbR//torC//yfiE//speD//uacT//cydB//oppC//ibsC//yhjB//rihC//hsrA//gcvT//hofO//rihA//psuG//hofO//kefC//yrbG//yjiA//yadC//hyi//patD//ssuD//cycA//rplQ//allC//uhpA//atpE//abpA//nagB//dhaK//fecD//menA//hyi//yidP//hisA//pspA//yfjV//yicJ//xapA//aroL//pyrF//tnaA//trkH//insI1//ynhG//mprA//mppA//maeA//dinI//srkA//tcyN//nanE//ampE//acpS//greB//hiuH//accC//mipA//mppA//ldrA//fkpA//thiI//rssB//dnaE//holE//rhaA//frdC//znuB//hybE//yjaA//priC//sdaC//ycbB//pitA//dld//secE//frc//mprA//aslB//argC//yqcC//gudX//mhpR//etk//dctR//rhaD//pyrG//yqjA//yjbB//leuC//mrcA//pldB//higA//citC//narV//gpsA//lpp//gloC//bioB//kdgR//kdsD//lrhA//adhP//
GO_0005976_5	yoaA//lysS//pspC//btuD//gloC//cas3//mepS//ldrB//ansA//arcB//priB//icd//yecS//mtn//cysC//priC//rutC//glpK//dps//ftsW//cas2//mutY//ydjE//gapC//nupX//bdm//creB//lsrG//dcm//ycjQ//metC//iscS//nanT//chpS//yahK//araH//hslV//csiD//ycbV//yidD//uxaA//emrB//gatC//arsB//yijO//dgkA//bioA//sbcD//ribB//cof//queC//nikB//pdxK//sspA//waaS//fdrA//metH//tcyP//hcp//
GO_0005977_6	rfbB//ycaO//efeO//nuoE//obgE//tauC//ybiX//pspF//
GO_0005978_7	ubiD//hipB//nfo//ycjD//
GO_0005979_8	tehA//
GO_0005980_7	thiC//lepA//dcuB//
GO_0005981_7	fdhE//
GO_0005984_5	smrA//ybjN//lysA//yiaA//agaS//yihX//mrcA//dacC//yajD//proA//fieF//
GO_0005985_6	trmH//
GO_0005986_7	allD//
GO_0005988_6	rlmD//mtlD//
GO_0005990_7	fdnH//yciA//
GO_0005991_6	tauC//rplR//ytfR//ada//ibsE//
GO_0005992_7	lpcA//yfbS//
GO_0005993_7	deaD//aaeR//rclB//
GO_0005994_6	rplX//
GO_0005995_7	ybdM//
GO_0005996_4	bamE//yaaU//ybdZ//ybfA//fadB//ypdA//radA//mnmE//zraS//uhpT//lplT//yedP//sppA//puuB//hofC//ydiR//mreB//yfbS//yjiM//uxaA//ychF//flgD//ulaE//rhaS//dtd//uup//mdtP//hyaA//kdsA//pinE//deaD//fumB//rnpA//cyaY//gltI//cbpM//lptB//rpmE//folX//zapB//mazG//lysR//znuA//yiaT//icd//pepN//ggt//yghO//ybjL//ptsH//hemF//gadA//ispB//selU//aspC//dhaR//yehX//dgkA//yabI//mdtF//elfA//glpD//glvC//flhA//lptD//gsiD//slt//flhD//cobB//glnP//asr//pheA//mrcA//grpE//aslB//hdeB//crcB//ribA//ybiV//elfC//pspC//mraY//
GO_0005997_6	gspE//
GO_0005998_7	caiD//
GO_0006000_6	allC//galM//asnS//
GO_0006001_7	aldB//fkpB//
GO_0006002_5	yfeW//yifB//msrQ//
GO_0006004_6	mdtC//xylR//yedL//cysE//cbrC//yjcS//
GO_0006006_6	dgoT//dgcF//idnT//prlC//mdtD//yehT//pflC//cpsG//caiF//appA//lolA//ompT//patZ//wecE//insA-1//eutB//aes//melB//cspA//emrB//pspC//yejF//mreC//
GO_0006007_7	yhbO//adiC//pfkB//
GO_0006011_5	qseC//
GO_0006012_6	rplF//nadB//dpiB//rffT//htrE//mhpT//pckA//lpp//opgH//
GO_0006013_6	ravA//aspS//
GO_0006014_6	aceK//yqcC//cecR//
GO_0006015_7	skp//ybiA//
GO_0006020_5	mqsA//
GO_0006022_5	rcnA//fimG//melR//ydeT//yieH//aceF//yqaE//rdgB//yadV//rhtA//hofP//fre//qseB//ubiI//dsdC//rplS//fliZ//bioP//hemC//ascF//metR//eptA//thrL//alaC//degS//ftsY//fimD//chiP//murR//orn//nrdA//hisD//yfiF//tolQ//pbpG//yggN//recQ//slmA//thrS//ybeQ//pphA//betA//ftsH//eptB//sdhD//tsgA//tonB//pth//ftp//ydiF//gyrA//rihA//phoR//arsB//ilvC//nhaA//plsX//ycjY//yiaU//tmk//nhaA//metC//tar//
GO_0006023_6	dsbG//tdk//fiu//eutA//yjcO//cueO//frwD//ubiE//fadB//ygaH//nirC//yghG//dctR//zapC//rfaE//yjjG//entB//flgA//ldrD//pntA//yfcG//ygaH//ribF//pgaB//ygiV//yacG//rcdA//rssA//ydjJ//pflA//ybjL//leuC//narZ//tyrS//yjjW//arnE//gyrB//citX//atoC//
GO_0006024_7	purF//gpt//ruvC//dgoK//fryB//rfbC//ulaD//glvC//xanQ//speD//uspB//cusA//yjiX//gcvH//ssuA//nanT//prlC//hdeB//oppA//aroP//sbmC//selA//xapA//ybiO//lpxH//fur//sufD//mscL//bamC//cbl//nuoH//fkpB//queE//yebK//malI//citT//recF//kdgT//dgcN//
GO_0006026_6	clsA//insI4//yhaM//fliD//yehD//agaR//yjcE//modA//fadM//abgR//
GO_0006027_7	potI//viaA//yeiG//kilR//lysC//mnmE//mntR//ybaE//mdtE//yehD//
GO_0006040_5	adiC//thiI//flgB//yfcG//rimI//aroL//yjtD//fis//pdeF//rluE//pheS//garR//ydiR//rlmA//fadJ//xylH//mtgA//
GO_0006044_7	bamB//uvrD//ibsA//yhdW//yihI//
GO_0006046_8	araE//proA//phnI//luxS//
GO_0006047_5	aqpZ//dadA//ribC//plsC//rpmG//dgcZ//ssuB//
GO_0006048_6	mpaA//osmF//cydB//chbC//rnlB//mltB//
GO_0006050_6	tufB//
GO_0006051_7	cysM//
GO_0006053_8	ssuC//
GO_0006054_6	wecB//cusA//btuR//nuoB//hmp//ycjQ//recX//
GO_0006056_6	sucD//
GO_0006057_7	proW//
GO_0006059_6	cbrC//azoR//zraS//xisE//
GO_0006060_7	ygbM//
GO_0006062_8	nrdF//
GO_0006063_5	hmp//evgA//mdtA//casD//evgS//radA//cydD//csgA//yegS//
GO_0006064_6	bioP//yegD//exuT//uxaA//lldP//rzoR//
GO_0006066_4	secA//narJ//cadC//yaiW//acpS//xisR//mdtK//dgcZ//ybbN//ugpB//gatB//gltB//opgC//rapA//yfdR//bssS//priB//higB//rseP//yajR//rluA//xisR//yghW//fliK//gmk//xylR//torA//rutB//uidC//yqiH//yjhP//mltA//
GO_0006067_6	zapA//gltL//appY//
GO_0006071_6	recB//bioD2//kefF//eutN//fecB//accC//yhhT//
GO_0006072_6	purC//casC//dcp//wzb//flgK//
GO_0006073_6	bglA//ybdM//fiu//ppiD//yacG//fabD//rffC//holA//glmU//yqiH//yejE//yehW//pgpB//hipA//kdgT//rplJ//envC//waaJ//cdaR//cyoB//
GO_0006081_4	yfdK//pabB//rmuC//nrdE//rpsQ//yjhG//yeeO//rlmM//xapB//lapB//iscS//tcyL//yjhC//yfiE//yejF//nrdF//rodZ//yhhZ//phnO//mhpT//rseP//ivy//ibpA//alsK//aroB//fepB//dinG//dhaR//ppiD//ggt//setB//yraN//tomB//nuoL//aroE//yijE//yghB//rpsN//bolA//adiY//acrB//envZ//cadB//ynhF//maeA//actP//mdoG//narH//mscS//cusA//ghxQ//nuoL//yqhD//csgB//tdk//sfsA//artP//yiaM//fetA//guaD//nrfB//yahB//fruB//gspI//ydcS//nac//ebgA//
GO_0006082_4	dgcE//yhhZ//yggE//menE//pdhR//pinE//folD//rhaS//bglJ//tsaB//blr//ydfD//rluE//iscA//yfaV//pdeF//amiA//cyoC//proW//gloA//dgoT//rsmC//yhbY//fliS//sfmC//cdh//tktB//mdtA//yhjA//aphA//ulaB//argG//umuC//yfcG//menF//rplJ//ygcO//gabP//actP//thiG//mscK//potC//grcA//serS//nikD//alaE//slyA//uxaA//adhP//umpH//yggE//rep//dhaK//recJ//rpsR//pyrF//gapA//ykgF//sfmH//ybdH//mlaC//rzpD//fadK//ais//lepB//ydfK//hprS//cobU//rplS//sucD//phoR//betA//dld//tnaC//modC//tnaA//glcE//gpt//agaA//fadE//pstC//sulA//mutH//sbcD//ldcC//prmA//cedA//sufA//kdpE//frvA//gadC//rdgB//tdcE//fau//dnaJ//pykF//mtnN//dam//tcyL//mnmG//mqsR//yciF//dctA//glnP//ycaN//pspF//ydaC//atpB//paaJ//hcaT//ydbD//bioH//malX//pgk//rdgC//araC//mhpA//rbsB//yieE//sanA//hcaT//glnE//gadB//rpsL//panZ//ygeV//pal//yfcQ//yaaA//def//elaD//lacI//yraJ//ybiH//lptB//ygiN//rnc//eutR//narI//elaB//ydcS//alpA//ybdZ//ebgA//aroP//thrB//gph//yjtD//ykgM//hyfC//fiu//cmtA//rhsD//ulaC//cas2//purL//edd//ytfE//nadD//ycjQ//ushA//nanK//yfcR//tcyN//rutG//yihI//lysU//yneL//yidA//tcyJ//yfhH//yaiW//cobU//ibaG//ais//eptB//nusA//umuD//trmH//lpxT//yjjI//agaS//yfcR//btuC//ydcO//ptsN//yajR//oppC//ygbN//yajL//hemF//yfcQ//ugpA//lptG//rpmF//uxaA//gatZ//rimP//guaA//artP//nanS//yqcC//panE//mntR//cobB//degS//yjaA//yceK//bcsQ//yafQ//cysW//tnaB//yhiM//ghrB//tatB//pncB//cysQ//uhpB//mug//rsmD//yhhZ//mltD//fbaA//yfeX//gapC//flgC//gldA//gudP//pheM//treB//agaS//sfmC//trkA//rhaR//yghB//rpsG//dicC//znuB//shiA//yhjC//fdnH//yfcP//lysA//rplP//yeaE//ssuC//ubiB//priC//fcl//xapR//rhaM//yhdW//ygiN//ubiB//asr//dpiB//gudP//pitB//argI//ybdM//mltB//trpD//lacY//aroF//hemA//infB//hns//uraA//seqA//pyrF//allC//flgA//gpmA//thrB//lptE//ygfZ//ynfE//yfeX//caiD//fabZ//allB//rlpA//lpd//yfcG//asr//yidL//rlmG//rnt//modC//arcC//yeiG//dhaL//flgD//rpiB//artQ//cydC//yfbU//yajO//maoP//argE//cmoB//mfd//bluR//fhlA//rpmA//mrcA//rspB//yfaL//ldrA//uidR//atpA//caiD//torZ//insA-1//bipA//ybcJ//rpiA//fiu//hofN//yiiD//tas//speG//gabD//malQ//yafE//tsx//rsmE//rpmF//paaJ//ybbY//gnd//mukB//gudD//csgF//eamB//narY//yciA//trkH//galU//malS//brnQ//rhaR//serS//ugpE//cspG//glvB//nlpD//idnK//alaC//rbbA//relA//uvrC//dtd//arcB//glcB//ccmC//entH//glpF//glgS//soxS//mdtL//ynhF//insB-4//ybaL//sapD//glpG//eno//galS//npr//ypdF//kbaY//ygiB//cdd//dnaN//trkG//yggW//uxaB//ybjG//clpS//yhjG//chpS//yfdK//fdoH//upp//lrp//ptsG//chaA//citG//yhaC//aroK//dnaK//xisE//yadV//rutE//artJ//rhaR//oppD//rpe//ariR//ibsD//otsA//kdpF//rspB//eutA//umuD//cysP//yadN//yebC//soxR//mazG//sgbH//rcdA//obgE//yeiG//rssA//ais//zupT//pyrE//ptsH//norW//hofM//aaeB//dctR//norR//menE//mrdB//hpf//allS//gabD//fliT//nuoB//modA//yqgB//yfiE//bamB//satP//hdeA//acpS//yceD//setB//sufE//yojI//pyrG//gmd//lrhA//mnmE//mraY//rapZ//yhjX//gltI//melA//artM//hyaB//dsdA//perR//mcrA//dapA//ynaI//insI4//frlC//
GO_0006083_6	dctA//dapD//frwB//ttdA//tbpA//mrcA//
GO_0006084_6	phnJ//frdC//
GO_0006085_7	xapA//adiC//
GO_0006086_8	borD//
GO_0006089_5	msbA//gloC//bluR//eamA//dsbC//pbpG//glrR//rplI//yeeO//nupX//murP//yfeR//sdaC//dcuA//yobA//mocA//lipA//murP//yjjI//gldA//cmoM//qseC//hrsA//rlmD//yahD//cueO//rffM//hyfF//ykgA//
GO_0006090_8	ydiO//elbB//rplO//srmB//dgt//cyoE//ybcQ//nagC//flgA//fur//yfiR//dnaG//chaA//glnB//sucD//cobC//hslV//acrE//ugpC//yibH//modA//hslO//trkG//parC//sgbE//yjjV//curA//sspA//rhaR//ulaC//lolB//
GO_0006091_4	nsrR//rpoH//uspC//ygeX//yfbR//ydfD//cas2//cyaY//wecA//fdoG//agaC//nlpE//thrL//gltB//htrE//gadB//xylF//ygaH//hybF//bglX//ettA//aes//mscS//yigL//ykgO//lgoT//pgaA//paaH//dgoA//glnA//nanC//phoB//insH-6//asr//ddlB//yfaL//insI1//mraZ//mdtI//ilvB//gudP//yhcF//araF//clsB//pepN//lsrG//livG//tyrA//pyrL//yfdG//ydiR//glnE//fre//ybeY//fabA//yghB//aroD//yigL//pyrL//ygiB//nudG//yciT//yneJ//sfmD//ypdC//yaaJ//fdnI//ydeM//lpxB//appB//yajQ//fdoH//zupT//ada//acpP//nuoI//yojI//yagI//glnP//cobU//ygeV//kdgK//caiF//epmB//ibsA//yciA//fic//csiD//casE//ccmG//sapB//yqcC//paaK//arfA//glmM//envZ//pyrF//rfaF//arnE//paaD//serB//tmk//lysS//hflD//sad//sbp//nlpE//tauD//prpC//basS//appY//rpoA//
GO_0006094_7	bioB//sdiA//yiaJ//arfB//hipA//murF//mtr//fsr//hyaB//rimI//
GO_0006096_6	dsbG//clpX//lspA//dgcT//hybD//agaS//yjhP//sfmD//tehB//ppk//carB//rplT//gltB//nusG//yehU//rutB//nrdR//ydiF//
GO_0006097_5	yafC//iscA//sgbE//thiQ//ycgV//
GO_0006098_6	yadM//cedA//tnaC//ruvC//bamE//
GO_0006099_4	folX//gppA//gcvA//tynA//speD//fecA//rclB//maa//ompN//adiA//insH-5//udk//dsbC//tdcD//hypC//hldE//sucA//
GO_0006101_6	ycgB//ahr//barA//frvB//ycjP//lit//amiC//mdlA//ubiI//abgA//ykgA//yeeO//ybdH//lpoB//kdpE//phnL//brnQ//
GO_0006103_5	cmoA//dgoR//betI//
GO_0006104_6	yghB//fucA//hybG//
GO_0006105_5	yegD//yjbE//infB//truD//cspG//entF//hokE//sspA//
GO_0006106_8	xanP//
GO_0006107_8	ybaE//
GO_0006108_8	pckA//sfmH//aceB//hicB//yhbQ//
GO_0006109_6	narP//rlmG//rutB//ftsY//mak//blc//gatA//ugpE//betI//
GO_0006112_5	ycfH//phoU//bluF//ygiB//ybaM//seqA//lsrA//ymgC//
GO_0006113_5	aspS//ybiI//prfB//ydbK//pdeR//ompT//kdpC//yrdA//citX//lysP//yafS//mtlR//rpsD//
GO_0006115_6	cas2//
GO_0006117_5	xanP//
GO_0006124_6	ppk//
