#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	puuC//rplY//artM//fadB//
GO_0002097_8	alaS//trpB//flgH//aer//ydcR//dgcT//ghxP//yfeW//gnsB//ugpE//tktB//upp//baeS//holB//cecR//cusC//murB//fis//ppiA//
GO_0002098_9	casC//allD//pinE//cas2//yjhG//sapB//ushA//seqA//manY//mdaB//gutQ//tmcA//nadB//
GO_0002099_9	adhP//gltP//
GO_0002100_9	sohB//
GO_0002101_9	ttdR//ycjD//
GO_0002128_7	rhlB//gadA//yfaX//flgB//
GO_0002130_8	sbcB//
GO_0002131_9	rnhB//
GO_0002132_9	zntA//
GO_0002136_10	tdk//
GO_0002143_9	hscA//sdaA//atoC//yjaZ//rpsN//sdhA//
GO_0002181_7	tsr//ytfT//
GO_0002183_5	yddL//
GO_0002184_8	argE//
GO_0002188_6	bioD2//
GO_0002190_6	osmE//
GO_0002192_8	pgpA//
GO_0002252_3	rcsC//yjtD//yiaN//bioC//topAI//flgA//ybdG//ileS//ykfM//yciG//
GO_0002790_6	uidR//puuA//cpsG//acrE//torD//lpxM//nmpC//
GO_0002937_9	aldB//
GO_0002938_8	amtB//
GO_0002939_7	nuoH//
GO_0002943_8	secE//
GO_0002949_8	djlC//polA//ftsW//patD//
GO_0003333_7	yqgB//cysQ//rnhA//bioH//rlmD//hisH//trmB//gsiA//cysC//purR//dgcM//clpA//sufD//htpG//cof//mlaD//yfdC//pspF//yraR//sufS//ygbM//araG//nagZ//sugE//rimP//yjiA//sulA//ptsP//glpG//hpf//pabB//eco//bioD2//pphA//fliM//sapA//yahO//dapB//artQ//rutD//pyrC//torA//gsiD//cusA//fimI//ydgA//yjbH//cobB//ynfK//
GO_0005975_4	yghW//gltP//fpr//gloA//tisB//yeeJ//cynS//yehB//alaA//dctR//rsmA//ftsQ//mreC//rclB//yfeX//ydcM//ychO//roxA//insE-1//tamB//glnP//rpmH//guaB//gntR//garR//mgsA//hypE//yjcO//dinG//tauB//spoT//dapB//moeA//caiB//hypD//atpF//recX//araG//pgi//tusC//cbpM//ivy//dhaR//paaG//ykgA//ascB//hofN//ftsI//allD//yahI//rhaA//tusC//pykF//yciK//lon//feoA//ptsI//rsgA//recG//ispF//pspD//hofC//cutC//udk//trmD//yegS//rbsK//nrfD//lptF//livM//gltK//fimE//entS//yigL//puuC//cedA//dgcE//ybeQ//kdsC//hchA//lpoA//mutY//dcyD//otsA//mlaE//adk//serB//dmlR//fimE//arnF//galT//yeaV//etk//glpC//dppC//trkH//yggF//yqiG//orn//kduI//ygcO//fepE//grcA//prfB//tyrB//epmA//fkpB//ymgA//tcyP//acpH//trkA//yjcO//hemG//yfeW//paaC//endA//ybiO//argC//chbC//pgl//yaiW//ybcQ//pdxB//yhaC//mhpT//osmF//fimB//syd//ydjM//glnB//nrfF//oxyR//arnB//ygcR//appA//mlaE//hemN//entB//cspI//tus//entS//cas1//kdpE//rhaD//mdh//rraB//yddG//yhjX//uxaC//ilvI//elaB//hyfA//argO//yjeH//tdcF//yibA//yehP//ansB//yagE//nirC//hybF//ydeM//metC//glnH//ligB//ulaD//srlR//elaD//yfiR//metQ//bluR//yagJ//cspD//iraD//ybhS//fimF//hpf//ccmD//yadI//nrfG//fimB//gldA//waaG//murJ//xerC//obgE//gltS//ldtC//ydcR//glsA2//gor//yeaK//trpGD//nuoB//yfcQ//rihB//yceK//hha//maeA//ais//lgoT//cysG//map//sfmF//ybeY//tbpA//aroA//sgbH//ettA//asnS//fadK//betI//ettA//phnL//yjgX//maa//tmk//yddL//ycbB//nadD//fliL//add//srlE//wzb//tnaC//yhhZ//aes//kduD//yjcO//ppiA//ccmC//insI4//nmpC//slyD//sapD//cspD//ansA//norW//galK//ygcW//rfe//hxpA//rpmC//cdh//atpH//ubiE//ygjR//yaaJ//rzpD//pspG//fucI//proW//yggX//fdhF//
GO_0005976_5	rimP//ispA//dcuR//emrD//leuA//rfbD//spoT//ansA//nikD//gspE//treF//rfbB//hprR//ybjI//btuE//xerC//cheR//napD//bssR//trmD//xylH//gspJ//idnD//pabC//yjjV//rpsE//iaaA//azoR//mutM//rplE//sgbE//ribD//lolB//trmJ//yaaJ//ydcZ//slyD//mutS//zitB//amiC//entB//prfB//dgoD//uxuA//tauD//uraA//rcnA//pppA//mobA//rbn//minC//ttdT//kefG//entS//nfsB//elfC//srlB//glpA//tomB//
GO_0005977_6	pnp//citX//ebgR//radA//yjbH//dcuS//rpnB//fdhD//
GO_0005978_7	mngR//torS//yjhC//tesB//
GO_0005979_8	opgC//
GO_0005980_7	galK//fimG//yeaE//
GO_0005981_7	pcnB//
GO_0005984_5	pspG//nuoF//ybaK//mak//zntR//ampE//narP//hexR//rfaH//mdtN//ghoS//
GO_0005985_6	priC//
GO_0005986_7	dcyD//
GO_0005988_6	grpE//queC//
GO_0005990_7	deoD//cusF//
GO_0005991_6	preT//btuC//yjhG//modB//glcE//
GO_0005992_7	pdxA//uhpB//
GO_0005993_7	malY//hypB//npr//
GO_0005994_6	yggD//
GO_0005995_7	yhbS//
GO_0005996_4	ompL//fryC//kdpC//mlaE//rbsA//glxK//valS//pgk//ybhG//idi//tmcA//potG//ubiD//valS//ppiA//ybcQ//eutB//ppx//acrF//fimD//argF//fimG//tauA//hrpA//yehZ//trpS//ulaE//yahF//adhP//mppA//ybfA//tusD//pspA//rclR//bglJ//mhpC//plsC//waaA//rplY//uvrC//rpmF//idnD//narV//ldtE//aroA//tar//nadB//torI//aroD//ftsH//fimZ//nemR//sapC//murE//mntP//hprS//ogrK//fmt//dtpD//dapF//yfcU//ghoT//hofM//pstC//nupC//gmk//yjjB//diaA//rlmA//paaD//yfcF//lysU//dacA//hchA//ybiS//degQ//ydiB//waaY//ybaE//relA//ftp//ymgC//
GO_0005997_6	cedA//
GO_0005998_7	pth//
GO_0006000_6	sbcC//ftsL//asmA//
GO_0006001_7	ycfL//selB//
GO_0006002_5	dcuR//abgA//pepB//
GO_0006004_6	hyfC//fimC//chpS//ymfK//dcuA//gadA//
GO_0006006_6	gltP//adeP//thiG//nanC//tatA//srlR//nikE//solA//rbsR//fre//pnuC//mglC//rclC//tcyJ//lptF//rhlE//lptB//pgsA//alsK//citE//hypB//polB//fimI//
GO_0006007_7	cdh//speA//cyaA//
GO_0006011_5	holD//
GO_0006012_6	casC//cysU//ghoT//tynA//sgbE//casB//menH//fecA//lnt//
GO_0006013_6	gatC//torI//
GO_0006014_6	ghoS//nadD//ompT//
GO_0006015_7	tsx//yfaE//
GO_0006020_5	hlyE//
GO_0006022_5	lpxB//frwD//dgcJ//ldcC//gshB//rhsD//artM//adiA//yciF//malY//yfdG//ydeT//elbB//hisM//gcvR//umpG//leuB//zraS//ybdG//degQ//fimH//bssS//holE//rstB//tyrB//yieE//livK//mntP//rpsP//slyD//nfi//srlD//ubiD//cheZ//parC//cra//aroP//uvrY//thrA//yggX//malG//dkgB//pepN//alaA//zupT//folA//yajO//arcB//csgB//cysD//katE//yfgJ//arnB//rplR//ampG//mdtC//gatZ//sufD//nrfF//gatD//ykfI//tmk//ydcR//
GO_0006023_6	mtn//cspE//pfkA//yeaD//gltI//waaQ//yeeJ//solA//rraB//selD//recG//dgoA//yraK//ydfK//narY//rrrD//yhjD//sdaB//cysS//envY//ybeQ//narG//carA//aroB//uvrA//uvrA//mltG//nirD//ybiW//tdcB//yjbF//diaA//rrrD//aldA//waaY//mntR//pdxK//insH-6//aceA//
GO_0006024_7	narU//intQ//tusE//rlmJ//nudC//ydcR//argI//insI-1//yjjV//glgB//cydA//ybcC//hybE//cysI//ygeR//ynfK//dgcZ//nlpA//malS//tnaA//yadK//uvrB//yieL//nanE//ghxQ//setB//rfaE//yibF//lsrC//ymgA//tpiA//yraI//rrrQ//rpiB//pgm//glpC//asnC//metF//potA//
GO_0006026_6	dgt//pyrC//mutT//cueO//nuoL//mliC//xseB//secA//ccmA//hipB//
GO_0006027_7	slt//rluB//yheT//tas//elbB//ybjG//sfmF//elaB//yjiQ//fadJ//
GO_0006040_5	ychO//ychF//aroH//prmC//dtpB//mhpT//kch//arfA//yodD//yjaZ//sufS//menB//yjeI//rsmE//flgF//yaaU//trpE//
GO_0006044_7	xerC//nuoL//map//yieF//rcnR//
GO_0006046_8	rpoE//tldD//zwf//lit//
GO_0006047_5	lacI//phr//pphB//yfgI//yhdX//fabZ//proB//
GO_0006048_6	lpp//mltB//wcaB//ftsL//ribA//hofP//
GO_0006050_6	argE//
GO_0006051_7	ygdG//
GO_0006053_8	umpG//
GO_0006054_6	trkA//thrC//lrhA//lspA//zipA//acrD//leuE//
GO_0006056_6	grxD//
GO_0006057_7	aroC//
GO_0006059_6	aqpZ//copA//ybdG//yjeH//
GO_0006060_7	malE//
GO_0006062_8	eptB//
GO_0006063_5	cpxR//cas1//ydhJ//pbpG//feoA//torY//fsr//uacT//queA//
GO_0006064_6	guaB//ppiC//ybaM//edd//pliG//pphA//
GO_0006066_4	cra//yeeJ//appA//mutL//nemA//ybcQ//helD//mdaB//ompF//pykF//fryC//satP//rhaB//rimI//yhcF//trmA//rimI//miaA//prs//hha//ibsB//pykF//caiB//arnA//yjiM//idnK//fabR//yhhY//yihR//yobF//yehY//yddG//
GO_0006067_6	mliC//dmsA//rimJ//
GO_0006071_6	dgcE//metF//yfiF//adhE//ybaO//yghB//rclA//
GO_0006072_6	frvR//yjhP//rpsM//mdtD//fdhD//
GO_0006073_6	ghxP//ssb//ybeQ//chiP//rapZ//acrD//csgF//ykgM//pepD//rplK//pykF//ftnA//lolB//insI-2//hyaD//rluB//sgbU//tdcB//tdcC//ybhS//
GO_0006081_4	gor//hycH//atpD//purD//mngB//endA//preA//ybbN//yfeR//ybiI//panD//torZ//alr//xthA//pck//erfK//cysW//yfbR//ypjD//yfcQ//betI//motA//xylF//glgB//ghxQ//nimT//ynfK//trkH//cca//uspF//rseC//apaH//nmpC//oppB//glpB//yegV//ccmD//trpC//nadB//yeaE//dmsC//folD//yejF//insK//ycjR//pabC//lolD//shiA//sucC//truA//dctR//rcnR//mrcA//upp//argO//hyfA//artJ//cho//lasT//ariR//tolA//erpA//thrS//sufB//bamC//cusF//recE//
GO_0006082_4	speB//intF//cmk//xthA//kup//cmoA//lptE//lsrK//hicA//kdsD//adiA//hdfR//hypD//accB//setC//dmsC//wrbA//nrdI//acrA//mrcB//ycjW//priC//rng//parE//zapA//nirC//purN//rcsC//recC//dmsA//rfaG//gshB//yqcG//ychF//srlE//yjbH//csgF//yeiG//gltS//relE//metE//nuoG//fadB//dhaR//yceD//yijO//ulaG//pflB//dinI//tcyL//rlmE//rpmG//ydfD//rppH//hyfA//ddpA//ppiA//nrdB//alaS//fabB//tmk//xthA//ascG//yqeA//decR//rcnR//yahI//scpB//fhuD//cusA//treB//rpmB//ychF//relA//dnaX//waaL//kilR//pck//yfeD//atpG//rplS//yajQ//potB//dnaG//cspD//galT//tpx//menF//clcA//torD//yafE//lpxH//ydiB//cra//dnaT//yhjD//frmA//pheA//ycbU//ygiB//artQ//trg//tmk//yqcG//yeeY//mlaD//idnD//yfeR//hycI//ligB//ybhP//rbsB//ubiB//cbpM//lsrG//rppH//rsmI//bdm//araE//thiM//sdhE//glpA//oppB//hflX//rcnR//nagK//rrrD//dppF//truB//ddlB//cysU//yajO//cysK//yejB//gntK//rcnR//aldB//lpoB//essD//eutD//yehY//tusA//ftsZ//lsrR//ibsC//potB//fryB//yebG//yfbS//rluC//pnp//torC//cheZ//pdxB//mepH//yebC//tar//yahK//ybcL//ghrB//uhpA//mltA//katG//hicA//frdD//fryB//aqpZ//ybaT//yhjB//lsrA//cspI//aroD//rplW//tusA//mltF//hisS//mazG//tdcE//ruvB//frmB//atpF//deoD//ydhJ//ebgR//nrdA//helD//ybiO//dppA//fepG//tktA//pppA//adeD//livG//ydiV//ybiO//rpmB//cydC//pgk//ilvN//rcnR//uidR//pykF//iraM//prmB//dinB//dsbB//yhaJ//mdaB//yedF//spoT//fabI//purU//aceA//rssB//rdgC//rsmG//ydbK//lptB//yfgJ//ykgO//gltK//rrrQ//solA//tsgA//yeeJ//lon//hmp//puuE//hicB//srlD//alaA//rapZ//yciV//rsuA//gntT//rlmN//glnD//yggF//yhjG//fmt//gabP//fumC//ampE//yjbE//folP//mgrB//menC//arnE//yfcU//macA//yjjB//gntR//yihW//wza//ccmG//elfC//cyoE//gloC//relE//yjbF//nimR//yhaV//cusF//fliT//rlmA//hha//arcA//fepB//gatB//leuE//gnd//yehU//narQ//yafS//tdcD//yohD//mhpD//pstC//accC//dnaN//clpA//nadA//pstA//potC//secY//hybO//tynA//cyoD//nagA//glpD//fliT//bdcR//narW//iraD//thiC//glnK//dsbA//yaaA//tcdA//recD//rimJ//flgD//pgi//nadE//btuB//cutC//fruK//murF//arsB//narU//malE//casD//djlC//fdnG//napA//sdhB//holD//gabD//trmD//yjjQ//narH//yciV//rsmH//arnA//rpsG//rpsK//hcaT//yqjA//uxuA//rayT//yghB//lpxT//metE//pphA//nfi//glgP//lrhA//ssb//mreC//cpxA//ydjL//flhA//csrA//tdcC//metQ//agaR//hybB//pldB//glyS//wecB//dnaG//gshB//hemN//cyoA//nanS//kdpC//bluR//agaS//fucA//pflC//ssb//folA//pgi//rlmM//fdhD//ygiS//ymfK//ybhG//tktB//atpF//sapA//pntB//yqjA//ptsH//rzoR//phoU//elfG//treF//cmtB//proW//dnaK//yfdR//dgcT//degQ//arcB//moeB//rhaS//sanA//comR//yjiY//hisI//yijE//ftsL//lpoB//ftsP//msrC//rluC//nirD//fucK//fimI//spy//glsB//glrR//xapA//yobF//yejB//insF-1//purL//zntA//yeiG//glpX//pdxH//srlE//puuP//adiA//yaiV//queG//lgoD//sfmH//cas1//mdoG//flhC//dtpC//spy//chbR//entA//gcvR//glcB//yigL//alpA//rapA//yrfG//napF//yhdX//rhtC//hflC//mtr//yggF//dhaR//entF//dgoR//recE//lyxK//yijO//fimD//lolD//nudG//napD//emrK//proC//yieH//kdpC//sufB//ftsA//cmtB//hldE//yfcF//ycgR//ompR//flgH//
GO_0006083_6	ygeW//rpoE//insA-1//recJ//yjgX//hslR//
GO_0006084_6	hsdM//minD//
GO_0006085_7	yfhH//cvrA//
GO_0006086_8	fieF//
GO_0006089_5	fadD//ydeO//purR//gudP//mutM//yqhC//nikB//ibsD//waaY//ybhS//mcbA//yqjI//betB//glvC//ldhA//dhaL//cptB//pmbA//ycjR//proX//katG//purU//focA//brnQ//hyaC//tsx//nuoN//ygaV//rcsA//
GO_0006090_8	atpE//wzzE//tbpA//mdoG//mgrB//ygjK//fecD//flgC//rfaF//intE//yeiG//yhjB//surE//yciF//sfmA//apaH//kdpD//yojI//rfbC//cysG//yagF//yoeB//bdcA//zapB//hofP//kdsA//yfcF//flgF//moaE//adk//pyrB//
GO_0006091_4	tpiA//artQ//yedX//glnK//rimP//yghO//yegS//yfbS//surA//yqeA//yfdC//mgtA//rpmH//zraS//dinI//ybhR//uhpC//dnaA//rzpR//metK//gatA//ybfE//gcvA//rfaC//eamA//mliC//cydD//mzrA//truA//nrdA//fumB//treC//mngB//kdpB//yigL//cbeA//ubiE//ligB//fkpA//srlA//ynfF//mzrA//dcuA//lpxK//pagP//dicB//yidE//argB//ftsP//pyrF//araF//clsB//poxB//rcsD//yedX//aceF//bcsA//yceD//tnaA//hycI//yhaO//cspD//waaQ//efp//rsuA//relA//dnaJ//gltI//ycaO//dinD//tabA//hdhA//bioA//yghB//yfgO//apt//hofN//lgoR//artI//glpB//cysS//fecC//mltD//yebZ//ybdM//ompL//ftnA//minD//ackA//asnB//rpsN//decR//flgE//umuD//trg//puuB//endA//oppB//ndk//cbrC//murQ//hupB//yfgO//lysA//mraZ//livF//cusS//nupX//fnr//ybiY//arsC//mhpD//
GO_0006094_7	melA//thiI//ygcO//chbF//puuD//pspD//nupX//dapA//thiM//serB//
GO_0006096_6	dicB//nagC//tyrA//nrfG//rhlB//fadR//fiu//kbaZ//patA//ycjD//nikR//arnT//ubiD//recF//znuC//ybcQ//chbF//speD//
GO_0006097_5	yihR//ynhF//recC//mreD//glpR//
GO_0006098_6	pepA//yaiV//sapC//rpsS//proW//
GO_0006099_4	yhjV//gadE//yobF//fruB//pntB//frlC//lysP//epmB//cspC//fixB//fbaA//cutC//dcyD//sgbE//nikB//opgG//ybdZ//
GO_0006101_6	tdcF//proB//hlyE//fadA//yciK//fepE//glnS//glrK//solA//ytfE//paaE//dcuR//yfjV//nupC//mgtL//ybiY//fepD//
GO_0006103_5	crr//folP//yahD//
GO_0006104_6	xdhB//mreC//lrhA//
GO_0006105_5	ymfA//hslV//hofP//ilvE//puuD//secA//cueO//glpG//
GO_0006106_8	gatZ//
GO_0006107_8	bamC//
GO_0006108_8	artI//prpB//dsbB//deoB//radA//
GO_0006109_6	rpsH//abgB//ssb//ycfL//lolA//dcuB//yijE//cho//rluA//
GO_0006112_5	fliG//nfi//bamE//uxaA//fdnI//btuD//edd//dcuC//
GO_0006113_5	glnE//entF//purN//yfaE//patZ//yhaC//mpaA//yfcU//fimH//yafO//ydjE//hisF//cynS//
GO_0006115_6	pgl//
GO_0006117_5	alaC//
GO_0006124_6	ykgA//
