#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	map//yihV//trpR//yqjI//
GO_0005976_5	gyrA//betA//pinE//sseA//pdeL//ftsH//leuE//clpB//nagZ//rhaA//hcaD//ydhC//yhbS//ddpA//appA//ycfL//ydiO//slt//djlC//metL//dgcF//yehY//ascF//yohC//gcvA//nrfE//yfcP//fepG//ybaT//pepD//serA//moaB//melR//lamB//rhmD//insA-2//ansB//mcrB//araF//ybhS//cueO//yceO//garD//uvrD//yjaA//fiu//yagU//rpiA//dppC//fucA//rhmR//lhr//speA//ycfH//yfcU//hflX//cheW//tyrA//cyaY//
GO_0005977_6	rzoD//yegD//entA//ilvA//ymgA//yedL//yjaZ//cysI//
GO_0005978_7	pfkA//yjhP//dauA//yghG//
GO_0005979_8	waaA//
GO_0005980_7	insB-2//gudP//yeiG//
GO_0005981_7	yeaV//
GO_0005984_5	hscC//phnG//yafO//dusB//uxaC//hemL//folX//cysQ//exbB//prpR//ymfK//
GO_0005985_6	def//
GO_0005986_7	speE//
GO_0005988_6	rplI//btuD//
GO_0005990_7	adiY//yfcQ//
GO_0005991_6	ydeO//sapA//yphD//dsdC//dtd//
GO_0005992_7	sgcX//yiaU//
GO_0005993_7	oxc//xylH//ynfF//
GO_0005994_6	yfhM//
GO_0005995_7	sucD//
GO_0005996_4	marA//nmpC//galM//entF//entA//narJ//osmF//hokE//argB//fadM//adk//ygcO//lsrG//pepD//entD//frwD//rpsJ//ydcM//lapB//evgA//yefM//ybcL//clpB//cysZ//adiA//rnhA//rplN//rfaG//comR//rcnB//pyrG//ydjE//pfkB//tamA//ubiG//bdcA//yiaL//yjgX//insB-2//astC//tsgA//menB//bolA//msrC//entD//insA-1//sfmA//ybjN//glnK//proS//leuB//ydeO//slyD//yrbG//iscU//hpf//mglB//fucP//gutM//artM//ybdR//rhtB//yghW//agp//kdsD//intQ//bcsA//yraN//fhuF//rluB//kdsA//pgaA//caiF//cydC//ghrB//rplT//ytfQ//slmA//fliZ//fdhF//zapB//yfbS//
GO_0005997_6	mreB//
GO_0005998_7	yjiQ//
GO_0006000_6	cspD//yeeJ//lpxP//
GO_0006001_7	hycH//gabT//
GO_0006002_5	rhlE//sad//ynfH//
GO_0006004_6	speF//cmtB//rseB//gsiA//rsmI//pdeD//
GO_0006006_6	clcB//elfA//waaB//yggF//amiC//ubiJ//topAI//ilvM//nagB//thiI//hns//dkgA//clsC//tatB//cas1//cspA//iscX//sgrR//pdeF//fau//deoR//dmlA//sodC//
GO_0006007_7	trmA//fepC//chbF//
GO_0006011_5	rffM//
GO_0006012_6	dcuB//yphC//puuC//helD//cpdA//chaA//yjjQ//znuB//ebgA//
GO_0006013_6	ydaC//glrR//
GO_0006014_6	pyrL//rpoH//mhpB//
GO_0006015_7	malP//mhpD//
GO_0006020_5	afuB//
GO_0006022_5	ribF//mcbA//glpR//caiB//tcyJ//cheA//amiD//cmoA//glpR//asr//nuoE//avtA//ytfR//dld//sbmC//yfeX//yeiG//gfcE//actP//lon//glcB//aceB//lplA//rlmB//yeeY//rssA//waaJ//parC//mutT//mgsA//cpxP//cspE//guaB//mgtL//yceD//rlmJ//elfC//melB//yqcC//ydcP//glpB//mipA//msrC//purC//hyfF//parE//glmU//dapA//rluE//dmsA//ydhQ//pgi//rhaD//gadA//garR//norV//yajD//ydaV//ybaT//eamA//ackA//artM//purF//
GO_0006023_6	prmB//yraJ//ydjJ//hfq//phnO//garL//fimA//priA//glvB//cbpM//casB//infC//thiC//rimK//rne//bluR//marR//kefB//rfbX//skp//ftsL//ypdB//hisP//fdx//purN//apt//perR//ldrA//yjcS//rtcR//glgP//paoC//ytfE//hdfR//menF//tusD//yjtD//ydeE//dinQ//
GO_0006024_7	rbbA//amiB//ptsI//glmU//yaiP//lsrR//yeaK//tamB//codA//melR//agaA//rplW//pgm//crcB//leuE//surE//hybE//fdhE//cysD//brnQ//nimR//rsmG//aroK//gatB//nth//mntP//dedD//yfjV//yhdW//ybdH//tsf//shoB//rplN//dgcJ//citG//ynjA//groL//essD//wecC//
GO_0006026_6	pyrE//psd//hlyE//trmH//yfcG//cydA//argI//arcB//udk//fecD//
GO_0006027_7	cspI//mzrA//lysO//hofQ//cheA//pbpG//wecC//yfaU//exuR//uvrC//
GO_0006040_5	elfA//rhtB//ykfM//amtB//glvC//eno//araA//lgt//hslJ//proV//topB//rihA//basR//ybgQ//napB//opgE//fadJ//
GO_0006044_7	uxuR//pncB//fliS//ybhG//ydeO//
GO_0006046_8	hofP//yfhH//mglB//cbrA//
GO_0006047_5	yfeR//arnB//hlyE//entD//glpT//pabA//yifB//
GO_0006048_6	rsmI//paaB//fhuC//ydiP//pntA//deoR//
GO_0006050_6	sodB//
GO_0006051_7	ybhP//
GO_0006053_8	ygeV//
GO_0006054_6	recR//cysA//zapD//nadC//kbaY//aphA//hybB//
GO_0006056_6	ygfZ//
GO_0006057_7	tatE//
GO_0006059_6	nirD//ydjK//yneL//lpxL//
GO_0006060_7	yegV//
GO_0006062_8	pepD//
GO_0006063_5	rhtA//ybiX//dctR//arnA//sppA//yjfF//cspG//insI3//gmd//
GO_0006064_6	appY//artQ//cyoC//murD//ykfM//hofN//
GO_0006066_4	hisB//frwB//yqjA//rbsD//rpsK//mnaT//uidR//cynS//yieL//edd//yggT//degQ//wzzE//rutF//yodD//waaO//rpsE//fetA//ybgP//bioH//fdx//trmJ//yhfK//prs//tus//phoQ//hldE//srmB//cyaA//yihO//pspG//yghB//
GO_0006067_6	yedX//alaA//waaF//
GO_0006071_6	galP//dinI//paaD//argR//flhD//rplR//qseC//
GO_0006072_6	phnP//yegS//sufA//mdtA//lsrC//
GO_0006073_6	opgE//dcd//insI-1//recO//pgm//cspA//cysC//ykgO//pykF//cynX//uspB//tdh//chpS//recB//ruvC//rrrQ//livM//speC//bioD//insF-1//
GO_0006081_4	thrL//cusR//cspI//manX//ahr//potG//priA//tap//ymgA//gloC//moaC//hflC//hycI//galR//sfmA//wza//flgC//gabT//glrR//dgoR//hycB//era//murJ//sdhC//speE//dsdC//mqsA//yjhC//lgoT//cspB//htrE//mdtC//cysK//yidZ//narU//yciG//argH//tauA//proS//ypdB//nagA//ymdB//xylE//yhaO//proW//malZ//yjiM//phoA//putA//yjfP//rbbA//yedP//bdcA//nac//xanQ//yhjC//yieF//wecE//hisH//hisI//yihR//gspJ//hybB//clsA//agaS//arcC//nagD//
GO_0006082_4	livK//yraH//ybjX//aroB//rplO//fucI//ddpX//gyrA//csgG//hybE//clpP//atpF//dnaT//ldtA//nrdH//rpsM//pyrF//agaW//adk//hofC//parE//ribE//ybgP//helD//narG//glpD//purL//lasT//rluB//ybbY//paaX//ycgB//bsmA//ygaH//rcsA//symE//rplR//ybhA//gadB//glnL//fucK//fepB//greA//cdd//pdeD//cydA//ugpC//amiD//tolR//mraZ//fimB//kdpB//nuoE//yehC//yfgI//basR//holE//msrB//hcaD//yhaJ//leuC//rhmR//tpx//ypjD//ybaL//rplE//iscU//yjeI//dicA//yhgH//pgaA//gltL//gspI//maeA//bamB//panZ//potF//dnaE//glpT//arsC//ykgF//uvrA//rihA//sdaA//rffM//lolC//macB//dgoD//ompC//ftsP//rpsP//cusS//dtd//pbpC//yciK//fucP//sapF//arcB//yfdK//bluR//hyaB//ydiK//yfcV//sspA//cspG//dhaM//patZ//slyA//zur//aroE//ftsN//gatY//ebgR//tauD//rplK//yebS//galP//yecS//ynbC//pspG//ariR//hslR//yoeB//pspC//yqaE//paoC//ppsA//emrK//plsC//zur//glcD//narX//alsA//atpE//waaY//yrfG//dgoD//rng//rffH//bolA//pgm//ydbD//fryC//yfiF//cpxP//upp//mdaB//hybC//fruA//dadA//dinB//slyD//rpsM//maa//ppk//otsA//mntR//btuR//yhgH//yhdX//rutD//cho//rutE//greA//dppB//ydfK//rpoD//hslO//sixA//uhpT//aes//xapA//waaB//mqsA//soxR//malE//ldrB//fliS//ppk//barA//ubiA//yibF//purD//ssuB//yhaM//hypB//htrE//elaD//rfaH//manA//insF-1//ravA//uxaB//ynfE//murC//cyaA//codA//kdgT//rtcR//narK//ulaA//allC//yneL//ybeF//secM//rnt//rhaR//perR//livK//sad//yafQ//glrR//ccmC//yhaM//grcA//csgA//rcsD//agaA//mngR//cysN//yieE//yiaU//dsbG//glpB//mmuM//potC//tamB//sgcR//selU//ybcF//yggP//mreD//dsdA//prs//thiC//fhlA//ymjB//sbcC//ulaD//ybdZ//cyaY//rppH//recB//yigL//cspI//yebC//flgF//nlpD//aaeR//slyD//dgcF//tehA//rhsD//nfo//pdeD//fecC//rnhB//ariR//iraP//glsA1//mrcB//rimM//slt//acrB//mngA//fucI//glnD//sgcC//mglB//patA//dauA//mngA//xapA//pgaD//malY//frc//mdtM//argC//csdE//dusB//hprR//bcp//ydhC//mdtB//phnH//yihX//cpdB//hycH//ligB//cyoD//uvrB//secM//tusB//bamE//rclA//paaZ//htrE//codB//dinG//pgsA//frlC//dmlA//iap//yghG//ybcF//frmA//yfdG//yraK//chbR//ompT//btuF//rusA//ydeI//uhpT//gnd//atpH//glgC//mdtA//dgcM//leuS//otsA//betA//mgtL//soxS//rraB//ycfH//narH//ydgA//ydfG//mutM//kch//yoaA//elfC//deoB//sdiA//waaJ//poxB//frdB//clcB//hlyE//yhbS//yjbF//gcd//yddM//frwB//phnH//paaE//purF//yihQ//ulaR//ynbD//pinE//trkA//yigB//mmuM//nrfE//yihT//zraR//murR//aroF//ibpB//gatY//ycjY//argA//rlmN//cysP//ldtD//hyaD//hdhA//flgM//yoaA//mprA//amtB//rhaM//ybjG//yfdG//wecB//dhaM//kup//cysZ//iscR//cysP//astB//tas//trkA//xanP//ccmC//mnaT//nuoG//wzyE//deaD//ybgP//mgtL//waaQ//fepG//queF//sgrR//focB//mgsA//leuB//fabZ//minD//yehW//rplE//entD//pldB//ptsN//mocA//nlpD//yjhI//accA//nikE//glcC//mraZ//dsbG//yeaE//pspD//ilvL//epd//ldrA//pflA//mntP//glnE//ddlA//sdhA//yneL//ydjH//dctR//cadB//kdsA//mutM//mepM//fdoG//ydhC//tmk//yfgJ//ftsE//dcuC//livH//fepC//yjiY//tusD//gabD//csiD//ttdT//pdeD//yjhP//ybaQ//ygiS//yohD//ykfI//yagE//dgoR//yhjB//pphB//hybE//ybeQ//lamB//pabA//bsmA//
GO_0006083_6	rzoR//ygjR//hcaB//paaE//infC//tdcF//
GO_0006084_6	ydcI//yfbS//
GO_0006085_7	yhdX//galE//
GO_0006086_8	rpsQ//
GO_0006089_5	glpD//arfB//ispG//wcaJ//rpsP//mrp//cdsA//leuC//hflD//rpiB//rsuA//ybhG//pnuC//acrA//ybiH//paoC//glvB//preA//nupG//adk//cfa//hycH//livJ//pdeL//hns//rarA//hofP//nfsB//ybdR//
GO_0006090_8	purA//ybcL//mdtK//gcvP//csgA//atoS//uacT//ftsZ//gcvP//proQ//ynfE//dhaM//ybgI//dtpA//ndh//uxuR//yodD//fadM//ydeT//phoB//pphB//zraS//puuC//tomB//pflA//hemF//ydeP//rhaR//rplR//ydcP//thiL//
GO_0006091_4	eutN//trmB//kdpB//tdcB//gadC//cydA//upp//yfcV//yghW//fabH//tpiA//yoeE//ygaZ//glpF//dgoA//ypdB//envC//fadL//glpX//sulA//metH//cas2//hdeA//tktA//btuF//yjiM//rtcB//galM//ykfI//cspC//ftsK//ydjH//ompT//arcB//rsmI//mtfA//ybiA//ygaV//hsdM//srlE//insI-2//yggN//fryC//cueO//eutK//rplO//nirD//asd//fimA//bcr//ugpE//yjcO//hemF//lpd//yphB//nrdE//livM//hipA//psuT//rng//tehB//glmM//murB//paaB//melB//trpGD//cbrA//pdeL//amyA//ushA//acrD//exuR//ydcS//gnd//lexA//truD//napF//ugpE//rpiB//hexR//fmt//pflC//cspI//accD//speE//yhjB//lit//osmC//dcp//yraI//fepB//glpT//prpD//ymgA//sthA//puuB//yfaL//ddlB//dinJ//oxyR//prkB//yrbG//gpmM//bdm//thiQ//decR//yhhY//rhaB//ldcC//yhfK//ydeE//curA//
GO_0006094_7	garL//ravA//mmuM//kduI//mcbR//mutM//arsR//mhpA//yqhD//arfA//
GO_0006096_6	iraP//rpsA//recC//yfgI//moaD//ldrB//rdgC//gapC//yphD//nirB//sgcE//nhaA//ada//ynjD//mipA//sohB//ynfH//aceK//
GO_0006097_5	pnp//tatC//sdaB//yeiL//glnA//
GO_0006098_6	emrK//ilvN//melB//yidP//rpiB//
GO_0006099_4	cynX//dgcJ//dsbA//menA//sapC//fliG//mzrA//pabB//tmk//rpnB//nudF//gdhA//ugpE//polA//csgG//yghO//ybdN//
GO_0006101_6	fliD//lpd//yfaU//rsfS//nusG//zntR//elfA//mngB//tsaE//melR//nanT//parE//acrE//yraN//marR//nagD//eptA//
GO_0006103_5	rimL//thiD//deoD//
GO_0006104_6	rutE//yqcG//mlaE//
GO_0006105_5	yhjC//rutF//lpxP//yahB//yojI//csgD//lpd//gltI//
GO_0006106_8	alkA//
GO_0006107_8	bolA//
GO_0006108_8	mhpC//hxpA//napC//phnO//flgF//
GO_0006109_6	ycjD//nadD//ytfR//eutR//yejA//prmB//yieL//ybiT//secB//
GO_0006112_5	nrfB//yejA//msrA//yjgX//ddpX//fecA//dhaR//gabP//
GO_0006113_5	yjjX//hisB//caiB//mlaB//nrfG//ytfE//frmR//yggT//htrE//lsrG//rbfA//nrdH//arcA//
GO_0006115_6	era//
GO_0006117_5	priC//
GO_0006124_6	metG//
