#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	araH//thiH//idnT//garR//
GO_0002184_8	dacB//
GO_0002188_6	ispB//
GO_0002190_6	dicA//
GO_0002192_8	yahI//
GO_0002252_3	lexA//lpxP//feaR//agaR//paaA//ybaM//exoX//hiuH//rffM//sdaB//
GO_0002790_6	cobU//oxc//yjjU//gpmM//yqaE//ycjD//argT//
GO_0002937_9	opgH//
GO_0002938_8	ibsB//
GO_0002939_7	pgk//
GO_0002943_8	xylH//
GO_0002949_8	rlmL//alsE//djlC//glrK//
GO_0003333_7	argP//envZ//selD//hybD//tauD//ybbY//yejF//hypA//rsmH//yhcF//hemD//rsmI//gloB//mltB//yafQ//ruvB//ybcL//tolB//plsX//srlE//gudP//yafQ//dtd//gspF//artM//accC//napA//hyaC//bhsA//bioP//livJ//yihW//arnE//yrbG//srlR//garD//cobS//pcnB//recO//dgcM//dicC//yhaJ//glvB//ccmH//hisF//pheS//metH//ygiB//ibsD//
GO_0005975_4	fliG//intF//lysO//pspG//hupA//bhsA//fetB//nanT//acrF//thrS//gshB//ubiJ//yqgF//ihfB//fepD//nanA//nadB//ivy//metC//gstB//rhaB//secB//sanA//ykgA//acnB//hda//tufA//ffh//thiD//nuoH//rbsA//ftsP//gntP//lpxK//slyA//cfa//asnS//folE//tauD//minC//intS//rtcB//uvrA//ulaA//queG//mntH//infC//hisQ//aceK//flhA//paaG//mtlA//higB//glyA//yidK//elbB//hisA//ddlA//pal//cydC//cydA//dsbC//yjbG//ynjA//hyi//era//gatY//gspF//hokE//puuP//ispG//opgH//thiG//rpsE//insI-1//smrA//nikE//ybeQ//potD//puuR//intS//ygeV//yqiJ//tcyN//elaA//hrsA//umuC//dapF//glpR//lptB//dcp//tdcC//selU//hcaE//pheT//modC//yneE//yfaX//ilvL//ydcS//phnO//paaB//ccmC//rpsL//ydcM//dgcF//hicA//folM//plsX//cpsG//nrfB//kdsA//csgE//hofQ//elaA//flgC//fucP//codA//cmoM//lepB//msrB//mdlA//ascF//efeO//aspC//folA//yeiL//pyrE//ppk//talB//gltK//nanK//napA//yggE//glnD//yafS//mgsA//alkA//pflA//aceF//ushA//galM//rluF//emrE//mdtG//rsmI//agaD//ycjP//macB//yjjU//uacT//yhhT//gloA//cpxP//cyaY//yfdC//dcuR//prc//dhaM//mlaD//alaA//fdrA//macB//hflC//ygeA//ybcJ//ycaN//pinR//rpmC//ybiW//ompG//opgD//lplA//astB//frvB//yacG//eutB//preA//arnF//nrfF//trmL//hpf//lapA//yccS//ruvA//galT//elfD//polB//purR//nlpD//pgaA//tdh//gcvP//yidE//relA//tag//rplK//hupA//ascB//sgbU//pspG//rzpR//cydB//mlaC//ccmE//atpA//kdgK//rapA//arnT//ampD//miaA//yggT//ydiO//stpA//proP//purD//cadB//gabD//uhpC//ettA//mug//phoB//nlpE//ssuB//mgtA//tauD//cadC//mtgA//cpsB//greB//artI//rfaD//zupT//ycfS//yaaA//yjeH//sufE//mak//rplT//yidA//uidC//yedX//pcnB//yfdK//fucA//nagE//tldD//yiiM//tag//fdhD//oppA//bioA//sfsA//ydeI//
GO_0005976_5	plsB//mqsR//nanK//idnO//yafE//rplA//betT//dapF//yjcO//yoaA//srlA//nrfE//rdgC//betT//cydD//oppC//aroC//trg//hicB//hybD//yagJ//radA//lacZ//arsR//yiaJ//nikR//nuoG//sfmC//yihP//ldcC//abgA//ada//ampE//guaC//ugpB//creB//dgoK//rpiB//rho//yafO//seqA//mgrB//ybhR//ydaV//yqcC//ddpX//lacY//ilvE//ygfZ//ydeE//intF//yafO//erfK//ppiA//flgD//cpxR//argD//ttdT//ispB//
GO_0005977_6	priA//ribF//nudG//nfsB//scpC//rbsA//sbcD//yfiE//
GO_0005978_7	gcl//sufC//ybcF//potH//
GO_0005979_8	yedL//
GO_0005980_7	murI//ybaQ//rsuA//
GO_0005981_7	uxuB//
GO_0005984_5	dhaL//chpS//smpB//ruvC//yhcD//adiA//puuC//mhpB//lsrC//ffh//yegD//
GO_0005985_6	yddL//
GO_0005986_7	ytfP//
GO_0005988_6	yebZ//sdhC//
GO_0005990_7	ycbV//yahD//
GO_0005991_6	uvrC//hicA//galP//tbpA//yghU//
GO_0005992_7	hdeB//rlpA//
GO_0005993_7	dsbB//talB//thrS//
GO_0005994_6	alsE//
GO_0005995_7	mocA//
GO_0005996_4	opgD//nuoG//yadG//purC//sbmC//livG//envC//btuD//ais//glnQ//yibF//ygdG//ydhK//ilvA//yiaM//gapA//pdeD//yihT//recF//hybO//ydiQ//ulaG//hexR//yihO//glnP//ubiD//cdh//ybhG//pepB//moaD//dcd//nikR//yqeG//pgm//fdnH//agaS//rplM//ybiW//yagI//livM//msrA//thiQ//coaA//dgcQ//sgcB//agaW//tcyP//rbn//queD//pabA//purC//ydcZ//malS//xylA//yqcG//rfbX//rpsH//afuB//yfjV//citX//waaL//yggP//nadA//ssuD//hupA//yafS//dcuD//gltK//fucI//msrB//rfbB//adeP//creB//dcd//patA//relB//ppsA//ptsI//agaW//trmL//murA//yjbH//
GO_0005997_6	paoC//
GO_0005998_7	lamB//
GO_0006000_6	fadI//gltK//pbpC//
GO_0006001_7	ygcO//ebgA//
GO_0006002_5	dsdC//torY//flgD//
GO_0006004_6	ygbM//btuC//dmsB//uxuR//aceB//hypD//
GO_0006006_6	yihW//nuoH//adeQ//cdsA//raiA//yeeJ//slyD//citG//yciG//fryA//insA-1//rbsB//bcp//dnaJ//citE//cho//yagU//alsK//abpB//ribA//fdhE//kdgT//fadD//
GO_0006007_7	hyaA//menE//tolQ//
GO_0006011_5	feaR//
GO_0006012_6	adeP//ydjK//ettA//ydcR//cmtB//metL//hslV//osmF//frvB//
GO_0006013_6	dnaK//dsbD//
GO_0006014_6	exuT//afuC//feaB//
GO_0006015_7	yqiG//hupA//
GO_0006020_5	rseB//
GO_0006022_5	yciE//cueO//slt//lsrG//yehW//argT//mcrB//glnD//nanA//gmk//yphB//umpG//yjhB//pepA//ycdY//hcp//bioC//rhtA//yejE//apaH//pgpB//dcuC//dgcQ//lptA//fdrA//yrdA//katG//mpaA//dsbC//wcaJ//melB//pdxK//dcuA//hprR//hokB//dmlR//ptsH//kdsB//yciE//oppB//wecB//wecA//lgoR//nsrR//prpR//yceO//ahr//rluA//arnD//yadK//speC//recJ//ccmH//narY//phnL//yidK//nudB//feoB//nagD//hisI//rfaC//lysS//hycH//
GO_0006023_6	sapD//frlR//rplK//degP//fruA//cobC//gpt//hemB//npr//yeeY//htrE//gltP//yfaE//yiaO//yafC//glpD//insF-1//rihA//bluR//trpA//ung//fucA//mglC//pgaB//mukB//dcuD//bacA//ynfF//exbD//thiH//lysA//ypdI//glsA//rutB//ycbB//hmp//iscR//hlyE//mepH//
GO_0006024_7	yqiH//flhE//fetB//ybeQ//yhaV//hybA//rpsM//rhaA//mepH//atoB//yajL//plsB//ycbU//ybcC//bsmA//cheA//yadM//glnQ//ybiA//yeiL//mnmC//pyrB//xylG//cpxR//ackA//dcuA//ybiO//yjhH//fepA//intS//ihfB//cyoB//galU//ftsW//pyrH//frvB//osmF//poxB//mazF//
GO_0006026_6	moaE//rodZ//sdhE//rpmE//adiA//higA//tcyN//groL//idnT//baeS//
GO_0006027_7	gnsB//yaiW//ushA//rutD//lolA//betI//ung//fixC//flgH//nagD//
GO_0006040_5	glcD//ansA//iclR//ypjD//pyrE//yfjR//groL//yieK//dgcE//prlF//ghoS//ftsP//tdcC//birA//yafO//yfcR//scpB//
GO_0006044_7	ldtD//nrdE//gatD//yieL//leuS//
GO_0006046_8	glgA//rpoE//atpH//potF//
GO_0006047_5	epmB//mutS//arnD//gntT//ibsE//rlmB//metN//
GO_0006048_6	ompT//shoB//yfdO//gadB//borD//mltA//
GO_0006050_6	lacZ//
GO_0006051_7	curA//
GO_0006053_8	hycA//
GO_0006054_6	znuC//rlpA//cpoB//galK//surA//paaJ//pgsA//
GO_0006056_6	treF//
GO_0006057_7	tmk//
GO_0006059_6	yadG//yqhD//yfaE//ydjK//
GO_0006060_7	lpcA//
GO_0006062_8	mtlR//
GO_0006063_5	uhpT//btuF//recO//lpcA//tesB//katG//ynfK//speE//groS//
GO_0006064_6	yjbH//tyrB//malI//cirA//yidE//rpoH//
GO_0006066_4	dosP//cysM//rffM//btuC//yahO//slmA//fucA//uhpT//rmuC//yhhZ//trpA//rna//pspD//hxpB//lpoA//pspC//proB//fepD//yhhT//ppc//dmsC//ybdN//yadM//rssA//ligA//ccmE//lolB//sapC//yebS//yjjQ//lrhA//mipA//
GO_0006067_6	yajO//fabD//mlc//
GO_0006071_6	potA//ebgR//yfjR//glgB//rihA//sodC//yfeD//
GO_0006072_6	cas1//narI//caiT//yadM//appB//
GO_0006073_6	ygjH//yciG//mmuP//gntT//yjcS//yfbR//ftsN//yddA//wcaC//nrdD//deoB//potH//ndk//nusA//fliA//acrR//glsA2//pspG//slyD//ynhF//
GO_0006081_4	bglA//hisD//ygbI//prmC//secB//satP//yoaA//gnsB//cpsB//yfeO//sucA//kdpD//ubiD//fepD//citC//lldP//yjfF//ompW//rfaE//dnaT//gstA//yaaU//znuB//potF//frwC//yihT//ydgA//ccmF//basR//yeeJ//recJ//rsgA//yehX//pntB//lysS//cysI//ftnB//ycgR//crfC//yaaY//lolA//cobB//dppA//gnd//yhaO//higB//chbA//yecS//yjiY//gadE//rpnA//mntS//rpmA//appC//sthA//proQ//nagD//yggF//gatZ//yaaU//yiaT//sfsB//cutA//nrfA//tauD//ppiA//htpG//
GO_0006082_4	phnH//gabP//sufD//yfbU//dgcM//cspI//trmO//uvrD//nac//narY//aroL//rplL//dinI//rplB//curA//yfdO//bglJ//ubiD//atpH//lpoA//cptB//ybaQ//rbsK//recG//garP//pfkA//argT//ulaR//ais//rpmB//phnC//hofQ//tdcF//ccmH//yegD//ulaB//higA//casC//yjjG//acpH//yegV//cmk//glpB//entA//acrF//hyfA//dnaN//nusA//insI3//phoR//holB//yqaB//ihfA//rpsQ//argA//seqA//yjfF//amiB//osmE//rph//gutQ//marA//zur//idnK//eptC//ybeQ//ykgO//dadA//pabC//iaaA//yadC//psuG//fhuD//yraR//sufC//tpiA//appA//glnP//hflX//sucC//lolD//udk//lysC//ivbL//frc//atpC//hupB//nrdF//zapD//blc//aroA//paaC//tnaA//araF//gcvH//mqsR//flgI//rclC//lepB//glgB//asnB//rplP//lptB//ilvD//yiaB//yfaL//rfaD//yfjV//deoB//entA//zapC//minC//dmlR//yoeE//frlC//elaA//wbbK//fixA//entF//insH-6//rffH//chbA//lolB//yijE//perR//ibsE//sbcD//intS//dapD//ygfX//yfcG//hprS//dnaJ//clpA//csrD//elfC//aaeR//ftsP//bssR//dadA//narG//dbpA//pyrE//leuA//alaE//apt//ybdM//uhpC//allD//ribB//dsbG//hycH//frdD//grxD//entB//sdaB//malF//murA//gatC//gph//map//rsmA//ftp//thiI//preT//pgaC//leuC//pnp//ydfK//hcaD//udp//pncB//murJ//yifB//recA//cynX//nanR//nadE//uvrB//tusE//ssuA//gabP//rpoD//gatY//glnP//sufS//paaX//fadH//nlpA//nfo//mhpD//nrfA//yadM//torI//yihO//purD//preA//fdhF//norW//rpiR//tmcA//thyA//ygaZ//fepB//ybiH//nanE//fdhE//prlC//dsbA//purL//zapB//feoB//ydjK//htpG//insB-2//murQ//yfbV//frc//csiR//proS//treA//sgcA//cpxR//frvR//arnB//lgoD//yehA//glnP//sufD//ftnB//rcnR//dedD//uxaA//yoeE//yfbR//luxS//yqaE//lolA//cbl//cptB//thiM//nikB//rodZ//gnd//rarA//ilvL//bioD2//truD//rsmG//rpsE//tmk//rarD//panZ//trpC//scpC//entH//sfmH//rrrD//ansA//yjhC//ftsN//recX//sspB//mhpB//purD//tar//lysA//yadM//ulaE//leuD//yefM//kdsC//fadE//paaE//rsmA//flhE//ycjU//menD//deoC//yfhH//yfhH//mdtK//fadE//purL//ccmH//rlmM//ygfX//waaS//paaE//mltB//trpL//tdcA//shiA//dhaM//yfdK//zntA//fimC//basR//galK//yrfG//dppB//ratA//cmoM//mtnN//allB//nikA//topAI//prlC//asd//pyrL//focA//yhdX//skp//gcl//rimI//eutN//insI-1//dgcJ//dps//blr//rpsT//ykfI//macB//sbmA//alkA//rpnC//xerD//moaD//rcsD//flgD//ybiY//yahB//tig//galE//rplL//rplR//pphB//iscR//otsA//ltaE//ybiA//menF//pnuC//wecA//pstA//glmM//sgrT//tabA//hypF//xdhB//ydaV//zwf//rimJ//folC//bssR//galT//mhpD//waaC//fadB//cbpM//rhmR//rbsR//yidZ//ppsR//suhB//yneJ//trpL//coaD//cyoD//lpxB//pfkB//erpA//trmA//kefC//gcvT//gpmA//speC//phoP//ybhF//livG//malQ//exuT//amiB//narW//csrD//tdcA//creB//uup//rsmI//cpdB//ogt//mglA//glcC//abgB//yidP//ybiT//birA//baeS//yejB//lptC//hrpA//nrdG//dusB//nanS//potH//lepA//xerD//flhD//aroD//ompT//tufA//fau//stpA//modC//zntR//uspF//yfaU//yefM//chpS//rclA//udk//yjiR//yajL//fabA//htrE//menC//rne//ybcL//fepG//holE//flgB//rutB//otsB//lipA//hicB//mdh//pgm//adhE//waaJ//ynaE//asr//nepI//rusA//alkA//ygeA//dppA//lsrA//murC//yafE//rutA//bluR//leuD//ldtD//narW//wcaC//yjbE//waaO//mngA//deoD//csdA//
GO_0006083_6	tatC//ydcZ//hmp//adeD//hisS//pta//
GO_0006084_6	eptC//dinD//
GO_0006085_7	uhpC//serC//
GO_0006086_8	spy//
GO_0006089_5	yqiG//insA-1//alpA//fucI//hybC//coaD//rbsC//bcsQ//yahF//ilvM//hldE//gor//ydhC//phr//yfeW//ilvH//flgM//yiaU//tsgA//pldB//yicJ//obgE//cusS//ycjR//thiD//sufS//ynfE//ydiV//xerC//
GO_0006090_8	rcnB//atoB//scpC//ydjJ//srlE//idnD//puuC//hisH//ybaE//thiI//osmE//yjiX//yjbH//yfaU//emrY//etp//qseB//gadE//rpmF//frvA//ytfQ//mdtG//sfmA//asr//sgbU//cvrA//hflX//bcsA//pspF//menI//yhjX//
GO_0006091_4	pgk//sucA//casB//dsdX//yohD//opgD//pta//yafO//cyaA//rna//hslV//acrB//hsdM//tpx//artP//murA//mdoD//dgcZ//dcuC//rna//fur//rnhB//yahO//dtpA//trpL//yodD//yqjH//csiR//pstA//caiE//queD//recA//paaJ//cspB//rppH//dgcJ//epd//cusC//yfdG//fhuD//fumB//glcE//gltL//ybiT//sgcE//dinJ//lpxK//pckA//asd//cadC//yajO//dppB//cobT//casE//bhsA//tap//aer//glpB//pphA//ppiA//ynjD//tadA//mlaF//hinT//rpnD//mmuM//fadJ//mscK//flgB//def//tilS//insB-2//galU//fhuD//mioC//iscU//fdoH//hchA//aroK//insI1//erpA//hcaE//araA//proC//ccmG//mzrA//bamA//yfcA//htpX//fepG//ygbN//argO//yrdA//mreB//menE//lspA//atoB//basS//manZ//sohB//cysK//fliK//rlmL//dxr//rng//lapB//ddpA//rna//glcE//nudG//mscK//entB//
GO_0006094_7	serS//ygiN//iscS//trpA//insF-1//atpB//insK//nac//ybdZ//nrfD//
GO_0006096_6	pbpG//csgA//waaL//mdtM//gudX//ygcR//ccmH//yadM//zntR//ansB//fadB//mnaT//rusA//cmtB//ybbN//aas//rhsD//ldtA//
GO_0006097_5	bacA//nusG//speB//pflC//purT//
GO_0006098_6	yhjD//pphB//panF//yehP//fadL//
GO_0006099_4	iscX//sspB//ychF//flhA//ygjH//malG//yneE//yodD//nrdB//gshB//iraD//thrL//pdeK//potH//satP//glpC//potH//
GO_0006101_6	cnu//groS//afuB//dmlR//ybiA//ymgC//mlaC//bfr//yeiE//prlC//rplT//argS//ypjD//bamA//yajD//rpsR//kch//
GO_0006103_5	hybF//ycjQ//btuC//
GO_0006104_6	pspD//yjjV//cysZ//
GO_0006105_5	thyA//yihV//rpmF//tauC//skp//tyrR//yggP//trpC//
GO_0006106_8	yfiF//
GO_0006107_8	minD//
GO_0006108_8	cpsG//pheS//ygiS//pgm//hchA//
GO_0006109_6	ybhF//ycfL//dcuD//ygbI//ypdI//eptB//uhpB//suhB//rfaD//
GO_0006112_5	amtB//nagB//prs//cysC//ygaZ//yieH//tyrB//ybdZ//
GO_0006113_5	nagZ//yfdS//rffM//osmC//rsmB//gstB//ydcS//queE//kefG//ralR//mazG//ytfP//gshB//
GO_0006115_6	rraA//
GO_0006117_5	ybjL//
GO_0006124_6	znuC//
