#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	nupC//yciG//hisH//pta//
GO_0001505_4	citC//cmk//slmA//rzoD//yidH//yigL//rplQ//atpG//rhaS//rhaR//rrrD//mrdA//fimA//ydaN//ydbD//pepN//
GO_0001510_5	ldcC//fimD//pgl//yehY//gpmA//metN//nagA//frlA//rlmI//hisQ//yfdR//nimR//deoC//ycjQ//araG//acpS//ppk//galM//mrp//yhjC//yfdK//yidZ//diaA//yafS//yedF//gcvP//tag//entH//trpS//mnmC//adhP//kilR//insA-2//ompL//lsrK//flhD//ybjC//idnT//frlR//bioB//
GO_0001514_8	ynfF//
GO_0001522_7	ybiO//pdeH//yahK//yjjB//blc//pphA//acrE//queE//sfmA//rseP//ydbK//bioD//yjfP//
GO_0001539_4	yphD//rutC//rpmF//fhlA//torC//pgpB//nanK//ompG//csgB//otsB//ompF//tsx//yehB//umuC//dtpD//fimD//insI4//cpoB//rpsT//proA//acrB//wza//lldR//btuE//uidC//acpT//prlC//fixB//yjaZ//cueO//tar//
GO_0001558_5	cusR//flgA//argD//sgcA//yggN//mntH//yahF//dcuA//
GO_0001561_6	aroF//
GO_0001666_4	kefF//
GO_0001676_6	upp//mazG//rutA//
GO_0001680_11	hiuH//
GO_0001682_11	ybiY//
GO_0001731_7	gpsA//
GO_0001762_6	motA//
GO_0001887_4	yghB//malI//xisE//
GO_0001896_5	csgA//rplS//alsA//rayT//
GO_0001907_5	glpB//fhlA//cpsG//aaeA//
GO_0001932_8	fliG//dicA//
GO_0001934_9	mocA//
GO_0002047_6	gshA//pheS//
GO_0002097_8	pyrL//rpsL//adiC//atpC//acrF//gltK//speF//ydbK//rplL//maoP//idnO//yiaN//lsrC//ymfA//sfmC//uhpT//bioF//ribB//ydiF//
GO_0002098_9	prlF//araB//nikE//cadC//cpoB//hemB//ygeA//rpmB//entD//yiaU//yidD//ybdR//zapB//
GO_0002099_9	flgB//acrZ//
GO_0002100_9	bioD2//
GO_0002101_9	cho//ushA//
GO_0002128_7	eptA//hipA//manX//topB//
GO_0002130_8	waaG//
GO_0002131_9	rhmD//
GO_0002132_9	nlpA//
GO_0002136_10	cobU//
GO_0002143_9	manA//iscX//rdgB//sdaB//proX//fhuD//
GO_0002181_7	lrhA//poxB//
GO_0002183_5	rimI//
GO_0002184_8	hybC//
GO_0002188_6	nrfB//
GO_0002190_6	alkA//
GO_0002192_8	casC//
GO_0002252_3	yeeY//adiC//flgC//frmA//asnS//rhaT//pth//queG//fadL//paaC//
GO_0002790_6	ulaD//grxD//nfuA//envY//manY//ynaE//yggN//
GO_0002937_9	nanS//
GO_0002938_8	hemA//
GO_0002939_7	metR//
GO_0002943_8	rhtB//
GO_0002949_8	ttdR//gloA//adhP//pliG//
GO_0003333_7	prkB//ccmD//surA//yihP//yraJ//mdtC//yahI//ydiZ//mtlA//etp//rhaD//rep//ynjA//iscR//glpA//yjaZ//rffM//trpD//allD//yjcO//phnK//wcaB//ibsD//uhpT//ispG//ycbV//ybdN//fimE//trpE//norR//mreD//prpC//metH//dsbD//cas1//ycjQ//fbp//nemA//eutD//gpr//sixA//dnaC//rlmB//sgcB//yidD//motA//yjiA//insK//pckA//
GO_0005975_4	hicA//pdxJ//psuT//gabD//dicA//phnK//galS//alsE//tatA//copA//glgB//nikR//uhpB//grxD//yfbR//hisF//rplE//epd//cysP//ynfL//lhr//ybjD//scpC//arnT//dsbB//hyfA//ydhK//gmhB//nuoI//yehP//ygaZ//yceD//nfuA//yjjQ//wzyE//trmA//ybjX//chiP//ydfH//gstB//fbaA//trpC//gloA//tauD//rcnR//fadD//mipA//atpE//diaA//fmt//torY//pinQ//msbA//moaE//bsmA//dnaC//rssB//ariR//dtpB//hsrA//flgM//tsaE//cra//pgaB//aspC//yqiI//fhuD//araD//mglB//proV//uhpT//cyoB//eamB//pdhR//rsmJ//btuR//hyfC//yhdW//ytfT//chaA//yagG//phnC//insI1//yehW//lexA//folP//murR//ydiQ//murP//mntR//glmM//ccmD//ibsE//dgoT//gor//hldE//ushA//queG//yehT//radD//maoP//yjiY//rfbB//setC//dedD//putP//srlD//lysP//paaF//gatA//higA//alsC//umpH//ydjM//rraA//cycA//rbsA//yneL//lipA//ybiW//panF//rpsA//eptA//rplT//ybaK//tehA//metB//pinR//lepA//artP//thiD//yfcF//pabC//manZ//rpiB//allB//pepN//crr//guaC//ravA//yhdW//appY//rodZ//rplE//elyC//narP//pinR//mgtA//iclR//recT//smpB//hofP//mcbA//yajQ//mak//xapA//frmA//glk//hipB//uxuR//dnaT//cysK//yebC//borD//trg//insA-2//rplQ//insA-1//glxK//yedL//yhjG//murG//ycbX//fis//yeeA//mltC//lacI//ubiX//aaeA//eutR//ybdG//glnD//yijO//pykF//yciH//rpoS//rffH//yddA//nikA//nsrR//intE//tolA//yraI//rbsA//yhjR//aas//lolC//pdeR//modA//ldcC//iscR//ykgO//ispF//rdgB//yhcF//eutK//yfeR//atoC//mutM//ybjN//trmL//nimR//xanQ//srlB//frc//dapB//dauA//lysS//selB//der//rhlB//csrD//narZ//wecE//flgI//rimJ//sdhB//grcA//argP//ybbW//erpA//mdtB//yahD//hns//ssuE//csrA//baeS//yegV//ygeX//fdoH//bamA//rhsD//rsmH//tmk//putA//yadN//degS//hisM//dtpA//ligB//hemD//ynbD//bglF//scpC//
GO_0005976_5	dnaN//eamA//aaeB//yphB//dusC//dnaT//qorA//pdxH//mngR//sucA//fixA//rffH//rhoL//rnlA//tilS//truA//yoeE//malQ//rpsN//fdoH//lsrA//dgcE//frlR//rcsC//lptC//flgG//umuD//cueR//narW//galS//pflB//tomB//yqjH//glpG//cysN//yphB//yibT//pgaB//lgt//hycI//alsB//wecE//yghU//selU//cysS//serS//aceK//spoT//ydiQ//elbB//erfK//rlmI//eptB//proP//corA//arsC//pepB//prmC//hscC//
GO_0005977_6	ybfE//ybjC//dapB//iscU//yddL//yidK//fimZ//hybD//
GO_0005978_7	arcA//ftsA//yhfK//sapF//
GO_0005979_8	cmoA//
GO_0005980_7	pcnB//suhB//dnaJ//
GO_0005981_7	queD//
GO_0005984_5	mrcA//ibsA//prpB//pflB//hycH//prfB//pspG//polB//dnaK//yedL//frwB//
GO_0005985_6	hycA//
GO_0005986_7	xisE//
GO_0005988_6	fdoG//ibpB//
GO_0005990_7	dacB//rph//
GO_0005991_6	clsA//mlaF//ymjB//ilvE//lpoB//
GO_0005992_7	yciF//mnmA//
GO_0005993_7	proA//sgbU//cvrA//
GO_0005994_6	topA//
GO_0005995_7	yfiF//
GO_0005996_4	tisB//ynbC//ydhK//narY//yhbO//fepE//mgsA//gutQ//wecA//ygcR//cydC//citE//yeaE//gor//umpH//setA//ygjK//hypT//ybhA//mdaB//caiD//symE//polB//insI4//hprS//glpG//nmpC//grxD//narI//mnmG//nanR//ybcQ//hybC//nupX//yneE//cho//yeiG//yidH//yadC//afuC//stpA//hdfR//nanR//thiI//mglA//soxR//plsB//metK//groS//spy//yabI//opgC//grxD//gudD//purC//sapA//ybiO//pdxA//iraP//pflC//nanK//ccmA//ymgC//dppD//yihR//waaG//putA//pppA//ymgC//fliG//menB//lgt//yacG//ftsQ//cecR//dinB//iscU//csgF//ptsH//ffh//selA//ycjQ//
GO_0005997_6	pncB//
GO_0005998_7	ppc//
GO_0006000_6	ugpA//parC//nlpI//
GO_0006001_7	arcC//rseB//
GO_0006002_5	ccmD//ftsL//gadA//
GO_0006004_6	ubiD//thiL//yraJ//mdaB//yhjC//dmlA//
GO_0006006_6	puuB//bsmA//rapA//ldrD//ygeR//yehB//rhaB//tcdA//fre//rhlE//elaB//fabR//allR//agaV//ttdA//eutD//garP//ivy//yfdS//yrfG//ptsP//tusE//ruvB//
GO_0006007_7	rfaC//yfeD//yjcS//
GO_0006011_5	scpC//
GO_0006012_6	gadX//yfhH//nfo//mscK//feoB//galM//intF//cysQ//dmsC//
GO_0006013_6	lolC//ampG//
GO_0006014_6	oppF//mnmC//frc//
GO_0006015_7	ydjL//sufC//
GO_0006020_5	cheR//
GO_0006022_5	ispB//cmoA//yeiE//mlaD//leuS//yhjR//rhaD//rhaB//agaR//modB//rimL//hscA//idnT//cysE//arcA//csgG//alsC//cadA//prmB//ansB//katG//ftnB//dacD//pdeF//yqjI//yfiF//yidE//appA//trkG//fadK//asmA//rluD//hisI//rzoD//bglF//galR//pdxK//qseB//feaR//infB//ygiB//leuB//mhpA//speF//mdtL//bglJ//pepT//metI//nuoE//rpmC//rsgA//cspD//maoP//glpG//dcm//glrR//bacA//cadA//ycjW//eutR//rsmG//solA//ydjH//
GO_0006023_6	uraA//lon//frmA//yaiP//lptD//ansA//selA//fadA//zapA//hha//trpC//sapA//zraS//btuB//betA//rsmE//nmpC//lacY//deoD//tonB//gntU//pck//xylF//caiT//sucD//cbpM//fecA//exbD//rclC//mlaE//ansB//cydC//mdtE//ygaZ//yfeX//pgm//cyaA//dnaA//hflD//
GO_0006024_7	lplT//prpB//rclR//hypE//pheS//torY//qseB//cydB//bglB//yciK//leuE//hisD//ydeI//rseC//ydjK//rutA//lsrK//yfcA//agp//gdhA//menE//gpr//btuE//rpsO//dkgB//tolC//ebgA//ybjL//waaC//cbl//psd//fryB//lpxP//priC//yegD//oppF//mepS//iraD//lysS//
GO_0006026_6	paaE//yihU//ppc//prpB//pdeF//nadC//sucC//yjaZ//metL//yjhG//
GO_0006027_7	chbR//btuD//hflD//ydiQ//hfq//yfbS//garP//yadM//recD//recJ//
GO_0006040_5	cysC//lyxK//dcd//rplL//yieH//allB//mdtC//prpC//atoS//cmk//selB//hcaC//rsmF//yidA//fdhE//ampH//hslJ//
GO_0006044_7	minD//mepA//nrfB//pyrL//modA//
GO_0006046_8	yieF//cheB//trpS//ileS//
GO_0006047_5	pgaB//udp//cobB//hlyE//ecpR//ratA//hemB//
GO_0006048_6	prkB//opgE//flgB//fruB//yahN//creC//
GO_0006050_6	astB//
GO_0006051_7	kch//
GO_0006053_8	acpS//
GO_0006054_6	tesB//otsB//afuB//panB//gntR//ccmF//cpsB//
GO_0006056_6	hofN//
GO_0006057_7	yggN//
GO_0006059_6	ftsH//frmR//rbsD//rnb//
GO_0006060_7	tcyJ//
GO_0006062_8	pspG//
GO_0006063_5	ispA//gfcE//mnmC//elyC//hyi//suhB//hldE//elfC//hemF//
GO_0006064_6	fimF//yhdJ//maa//gshA//deoD//sucD//
GO_0006066_4	menF//perR//zupT//hycH//fliK//yqiI//cadC//intQ//yedP//trmO//hofC//tatA//gyrB//ydeT//rtcR//panB//lpxK//fimI//puuB//ybiA//queD//tyrB//fliL//dnaK//rfaE//hdeA//chiP//murD//accC//frc//malF//selB//
GO_0006067_6	queA//yfaE//exbB//
GO_0006071_6	sad//pdxB//mtnN//clpP//rclC//cspG//pgm//
GO_0006072_6	yceO//ttdB//cspE//mutM//glsA1//
GO_0006073_6	mgsA//mzrA//nupX//hcaT//tolC//treA//recJ//yhdX//rhaS//ydiP//ariR//ybdZ//etk//elaB//rbsB//ydcO//yadK//argA//rfaB//ccmH//
GO_0006081_4	yehB//narV//gutQ//kdsD//ytfR//yehB//rhaS//speA//era//ulaD//agp//cheW//sfmF//gatC//tcyL//yedX//prlF//rzoR//ilvC//cysI//yihR//yahF//ydfD//betB//pncB//fbp//gor//ubiC//fimA//efeO//arcC//murI//bcsQ//ybdG//yqjH//yiaO//thrS//pyrG//dgcT//rnlB//pntB//lolE//ompN//yihQ//yfaX//acpS//hyi//yojI//holE//bioF//trkH//dbpA//cusF//smpB//gloA//flgK//hsrA//nusA//obgE//opgB//pheT//sufC//moeA//pgpC//glsA1//cysD//prlC//
GO_0006082_4	pdeF//ppsR//arsB//yihQ//ldhA//cysW//minD//lpp//rplY//phnM//sdaC//hybE//flgG//hslJ//znuB//znuA//ybbN//ssb//glpR//cpsG//hflC//hyaD//envC//rplP//gfcE//glpB//ftsL//rzoD//yqjA//topAI//sdaC//upp//ptrA//recA//pheP//cysW//nhaR//opgC//dtpB//ralR//emrD//sapA//yddL//yjbB//yidL//yhhZ//rclA//slt//ybiO//phnG//sugE//hpf//cdd//yahK//rpoA//rplF//rbsD//lapB//speF//recT//znuB//puuD//secA//yhbY//zur//abgT//ftp//torD//yedF//insI-1//holB//decR//pdxJ//ypjD//yhjV//yiaF//insH-5//mdaB//mlaC//yejF//ddpX//ndh//yqhC//tatE//srmB//luxS//yeeJ//ade//ftsA//ydbK//rpoS//glgA//degS//lpxH//ttdT//ymgF//yraR//galU//opgC//ybgI//zur//rluB//cynX//recE//rluD//insA-1//potI//opgB//mhpR//ccmF//rplW//metC//glnH//secM//yahD//panF//pdxJ//hycI//coaD//radD//dinQ//bolA//kbaY//kbaZ//iscA//yfcG//ivy//leuA//yaiV//pgrR//ycjY//agaI//artM//rihB//guaD//uspG//phoE//sapD//pphA//ychO//napB//envR//proV//dps//gspJ//malG//sodA//ydjH//yijO//rsmA//dbpA//rtcB//blc//dmsC//mdtN//pgaD//pgk//uspE//purF//acrE//tsaC//tnaB//yagU//intF//fdnG//xapA//lolA//hemG//trmA//rzoR//yjhB//yjfP//speF//yohC//yagF//aroC//add//aceK//sbmC//chpS//glsA//aceF//malE//ycbB//yjaA//mqsA//nrfE//prpR//solA//pphA//marR//yjjW//mscL//uxaB//sapB//kdsD//aceB//argS//etk//hprR//degQ//yggN//glsA1//torC//torA//pgi//slmA//ttdA//cynS//dauA//fadB//arnA//ccmA//ydfD//dkgA//bdm//hyaD//cspD//wecB//trmA//pflB//ispF//phnI//ycfJ//ubiE//ychH//ydiZ//udk//ftsI//yfaV//maa//ygiB//ppiD//spy//rhlE//chaC//hsrA//ybiA//abpA//chbB//prlC//maa//caiF//rsmE//leuS//alsE//ykgA//dnaC//appY//chaC//galF//rfbB//tauD//cheB//kdsA//yoaB//insF-1//tdcG//iclR//ycjY//yahN//rpmB//selD//cdaR//tcyJ//tamB//nanA//hprR//bioD//nuoL//yobA//mrdB//ygeV//slyA//garP//ppiD//yehZ//xisR//fucK//entS//livK//nhaB//stpA//pfkB//glmM//araB//sufA//ycjW//ydiZ//malK//lrp//melR//nanR//baeS//ushA//rutD//ftnA//luxS//ppsA//cydD//yrdA//ftsX//artQ//prkB//galU//rraB//artM//phoB//manA//dnaT//frvA//bamE//selU//murG//torY//ldtB//rlmB//yfbR//cpxA//tynA//ttdT//yajL//yidD//citG//frmA//parC//yehD//narH//ivbL//yehX//ynjD//gudX//frc//pdeF//paaH//phoQ//phnI//crl//otsA//xapR//trmI//tsx//yfdK//suhB//putP//yhjG//rpoD//sodA//tauD//pyrG//alsC//metI//nuoF//rbbA//rutB//abpA//yadI//insE-1//gpmA//hemL//ybiO//potA//otsB//gpp//hyfA//ulaA//rplF//fadA//waaZ//srlE//fucA//citT//yggN//panB//dacC//tsaD//ybjX//rimL//ymjB//glgC//yciH//uspB//frdD//polB//yddM//rlmE//slt//ackA//queE//arnB//rlmM//sgbE//yidE//leuO//ychO//ftsW//dgoR//ssb//yhjC//hdeA//waaU//rsmH//sfmH//zapD//mltF//aes//pfkB//ypdF//gatD//asnA//roxA//trpD//ybjD//ygeR//intS//opgE//fabA//atpE//fadA//rimL//phnP//yrfG//ruvA//agaD//ttdA//hybC//wcaC//yiaL//nudG//fabG//moaE//potH//rplT//ribE//nadA//mdtA//umuD//ftsK//setC//argG//gsiD//ypdI//yrfG//yadV//mutL//uidA//mtlA//cspI//purD//ribE//csiD//rzoR//yjiM//eco//arcC//bglH//sgbE//copA//gcvR//pgk//
GO_0006083_6	nadB//ribA//bioD2//pck//ttdA//asnS//
GO_0006084_6	speC//ispB//
GO_0006085_7	yceO//fadB//
GO_0006086_8	eptA//
GO_0006089_5	kdgR//crl//elfA//dicA//psd//yhcF//purT//waaZ//sppA//umuD//aceA//asd//yehX//ydaC//rfbB//mdoD//asmA//tdh//yggN//ymgC//yeaD//ftsX//osmE//decR//fbaA//hfq//frlR//glcC//trmJ//
GO_0006090_8	recE//rdgB//bluF//ldrD//dinJ//hisM//acpS//recE//mrdB//ptrA//copA//ymfA//fdoG//hcaE//luxS//ycjW//yajD//argD//bdcA//araH//rplO//secA//cysB//glnL//sdaC//yhaJ//arnF//mtnN//sgrT//rpsO//aas//
GO_0006091_4	bglA//fucP//potI//cynS//clpX//gatZ//ynbD//garP//fhuD//yqaA//mrdB//hybD//yagJ//codA//rhaB//xapB//uhpB//pstC//groS//allB//prpR//nikR//ribE//napB//baeR//sufS//phoE//moeA//fpr//yraH//stpA//hybG//yfcR//priB//ybgQ//lacZ//bamD//yieH//flgH//opgC//glgC//tdcA//yjcO//wzyE//pflB//tauA//dctA//dhaK//trmB//dmsA//ybcC//yqeA//thiQ//yeiE//ebgR//cyoD//trmO//sxy//garP//cheY//solA//araD//cbpM//hchA//tatB//rlmJ//rhlB//pstA//tadA//queF//rfaD//lapB//asd//treR//hycH//umpG//lpxH//insA-1//ybhA//alpA//sstT//umuC//yggX//hyfF//focB//mdoD//potD//malZ//pepA//recD//ftp//pstA//yedF//pmbA//ycbV//ygjH//gpsA//htpX//ybbW//ssuE//yaaY//pdhR//setB//nrdE//greA//ppiD//dmlA//rutB//rlmJ//rsmF//ybdG//matP//
GO_0006094_7	garP//eco//prmA//cysH//ogt//glpK//trxC//fepC//trmH//ybhD//
GO_0006096_6	gltL//rbbA//ygcW//pepB//ygjR//oppA//dmlR//pheA//bamB//yegD//hipB//glvC//kilR//sapD//xdhB//ydjE//fliA//alkA//
GO_0006097_5	tbpA//pgsA//elfD//yeeO//ypdI//
GO_0006098_6	gudX//gudP//bssR//ybdH//wzzB//
GO_0006099_4	hycB//uxuB//frwC//ghrB//ansA//lamB//rpoS//hycI//trg//ygaV//slmA//torZ//mtlD//rlpA//rcdA//hypA//rnb//
GO_0006101_6	fbp//pdxA//nuoB//fimB//hdfR//ybcL//recN//yjcE//yebK//malX//gcd//hrpA//nlpD//hofQ//kdpE//fhuF//speB//
GO_0006103_5	yeiL//ttdR//nanR//
GO_0006104_6	bglF//fadJ//envY//
GO_0006105_5	mtnN//elfD//glpA//ascB//ybfE//yjhP//ybdG//bioD2//
GO_0006106_8	yibH//
GO_0006107_8	ilvM//
GO_0006108_8	ygfA//melB//flgA//fiu//hflK//
GO_0006109_6	livH//frsA//ygiB//menF//eutK//malX//gcvT//cbrC//creB//
GO_0006112_5	fliK//argO//mliC//tar//bfr//yafC//aroA//yhdX//
GO_0006113_5	yidE//hda//pepB//astC//ftsA//pyrG//setB//hybB//yfbS//waaJ//sppA//hemB//lysS//
GO_0006115_6	envR//
GO_0006117_5	cheY//
GO_0006124_6	fabH//
