#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mgrB//mdtB//icd//yqgB//
GO_0000271_6	ydcP//yjiR//osmF//yehA//frwB//sfmC//lacY//pal//paaK//fruK//ugpC//dgcQ//proB//cusA//hiuH//mutT//ydeP//marR//dicB//nrfG//chbF//ghxQ//mglA//livG//uxaB//aslB//uvrD//ribE//sspB//setA//fadA//plsB//zapA//ydaN//mdfA//rffH//ahr//tcyJ//cadB//dam//ybjD//ygbL//ypjD//pdxJ//lacI//mltG//bcsA//yrfG//recX//ynbD//
GO_0000272_6	fliS//ybiY//hofO//yijO//rsmH//cvrA//
GO_0000302_5	recX//recD//agaA//ydaN//cbpM//gpt//metQ//yihU//lepB//helD//yedP//ycjU//lolA//polA//dtpA//ynhF//entA//fimB//yobF//yhjR//yohD//lgoT//higB//ibsE//nlpD//xylA//yddM//gadC//pspA//mltC//hyfF//
GO_0000303_6	yraJ//proC//
GO_0000305_5	gpmM//elfC//rsuA//
GO_0000372_11	xisR//
GO_0000375_9	serC//
GO_0000376_10	lasT//
GO_0000413_9	nei//pspD//bamE//prc//ypdF//insH-6//waaO//recG//
GO_0000451_7	dcuR//fecC//arsB//macA//yihI//
GO_0000453_8	ivy//hemC//narW//sapC//kdgR//
GO_0000455_9	pinE//rzoD//pnp//phnO//bluF//livM//rpsJ//
GO_0000462_11	sufA//aroP//
GO_0000469_8	fabI//
GO_0000470_10	yihU//
GO_0000478_9	hfq//
GO_0000715_6	pncB//
GO_0000716_7	tyrA//
GO_0000724_8	dgt//
GO_0000725_7	trmJ//araC//dsbG//dsbB//yadV//yhjR//
GO_0000726_7	pflA//
GO_0000731_7	hslU//yfdS//elaA//rutB//mdtE//prfA//ygbM//
GO_0000737_7	yfgJ//
GO_0000738_7	nlpE//treC//rimM//
GO_0000746_4	kdgR//
GO_0000820_7	sgbE//
GO_0000902_5	ydiO//
GO_0000910_4	dapF//exbB//fdnI//ydjE//xdhB//pabA//rluE//rluD//yfbS//hflC//iraP//thiL//tehA//phnG//obgE//cysU//yfaX//ymfK//
GO_0000917_6	fimF//wza//yccS//ygiB//cyoE//
GO_0000918_6	rlmF//ada//ilvD//argK//
GO_0000920_3	yehU//putP//mhpD//rimK//tauA//
GO_0000921_6	grpE//
GO_0000966_8	cfa//lplT//atpH//fabZ//
GO_0000967_10	gspF//rpmJ//glcF//
GO_0001101_4	yhjV//paaB//yicJ//lolE//allB//skp//msrQ//mepA//entD//nudF//dgt//eptA//cspB//gatA//alsE//ydaN//gpt//eutR//ykgM//tatE//metK//yqiJ//fimA//mscS//rffG//yfdG//
GO_0001121_7	narZ//hcp//
GO_0001123_8	maoP//
GO_0001124_8	ydeP//
GO_0001407_7	tdcF//leuE//sufC//coaD//
GO_0001505_4	pdeL//ydcI//hflX//mltC//ybdR//degQ//garP//cdsA//bglH//yphC//rhaA//ispH//bdcA//araA//waaU//lpoB//
GO_0001510_5	aes//minD//nagZ//mutS//trpE//der//slyD//nudC//fdoG//hofP//yhjX//patA//pbpG//oppC//rnb//nagC//flgD//caiF//slt//dfp//fimB//glpK//cpdB//pnuC//hprS//sgbH//yfhM//gmk//perR//yobA//lacZ//ybeF//mngB//glnK//cdh//uspF//fliG//norW//mscK//ycaO//
GO_0001514_8	murR//
GO_0001522_7	rplB//aaeA//clpS//glcF//yphD//ybiS//dnaG//sgbU//alsA//srlA//mhpT//ppc//yhbS//
GO_0001539_4	ubiF//lolC//tisB//tufA//gatD//paaJ//gloC//tcyJ//speE//yhfK//serA//oppA//rffM//yciK//prpR//hyfC//yagJ//rlmC//narX//ydiB//ybcC//insI1//tdcR//glsA1//gcvA//relB//prlF//srlE//proA//srlE//btuF//
GO_0001558_5	infB//ygfX//clpA//yrdA//gcd//rzoR//yedP//prpC//
GO_0001561_6	phnI//
GO_0001666_4	astC//
GO_0001676_6	yieH//yieH//nfo//
GO_0001680_11	panD//
GO_0001682_11	ulaA//
GO_0001731_7	mreB//
GO_0001762_6	ispG//
GO_0001887_4	sdhC//hda//argP//
GO_0001896_5	mtn//rpsA//ydiV//pyrF//
GO_0001907_5	paaZ//gapA//dnaN//phnO//
GO_0001932_8	deaD//cmoM//
GO_0001934_9	ydiF//
GO_0002047_6	nsrR//rfaG//
GO_0002097_8	hybA//ratA//yoeE//sapC//atoC//yfaL//lsrD//nuoL//aas//sodA//cspC//glgB//appB//ygeX//fkpB//nei//gloC//dcd//yegD//
GO_0002098_9	pphB//lpp//corA//lsrR//malS//secA//argF//ubiD//plsX//torI//exuT//rclC//ydcS//
GO_0002099_9	fadI//puuC//
GO_0002100_9	yciA//
GO_0002101_9	radA//gdhA//
GO_0002128_7	ybhR//rimJ//nrfD//manZ//
GO_0002130_8	yecS//
GO_0002131_9	aroB//
GO_0002132_9	wcaB//
GO_0002136_10	allS//
GO_0002143_9	rcnA//recF//mltC//apt//yiaL//orn//
GO_0002181_7	gph//metI//
GO_0002183_5	ada//
GO_0002184_8	wecB//
GO_0002188_6	ruvA//
GO_0002190_6	eutN//
GO_0002192_8	ilvD//
GO_0002252_3	potB//yhbX//pepT//yigL//cyoE//argF//cyoE//dinQ//glpF//flgH//
GO_0002790_6	yhdJ//setB//ftsN//ldtC//rplE//ynjD//tilS//
GO_0002937_9	epmA//
GO_0002938_8	eno//
GO_0002939_7	ldcC//
GO_0002943_8	tauA//
GO_0002949_8	paaK//nagA//grpE//glcA//
GO_0003333_7	rhaM//roxA//ispB//torD//mrdB//asr//menE//iraP//agaD//ycbU//dcuR//envZ//shoB//gpmM//yraJ//sbmA//gntP//glnH//cyaA//ugd//kduD//yfaX//ydjE//rlmI//mdtM//holC//cas3//trmA//yagF//ybcF//helD//fadB//ssuD//ytfR//kup//mscM//gluQ//pgpC//yodD//ydcP//hypF//opgB//pfkA//cydB//fryA//coaA//mhpA//fryA//yfcF//
GO_0005975_4	crp//katE//yehA//ogt//ftsW//ydhC//yieE//alsC//cspB//allS//glnA//rihB//rfaQ//aidB//rpsD//cspC//sspB//tynA//yccX//yceK//basS//nlpA//viaA//tehA//aidB//frr//mmuP//exbB//trpE//rsmJ//flgE//tap//alaS//nuoN//yidL//yahB//matP//cysZ//purR//yajR//katG//ibpB//ypdA//ftnA//topAI//elfD//ydiO//ytfR//yjcS//puuP//glnA//kdpC//syd//sdhB//potD//ydfH//feaB//recN//mqsA//ortT//aroP//fixC//tonB//eutR//rluE//pstB//rhaD//cutC//htpX//malI//osmF//pgaC//ybiO//nusA//nupX//wzb//nagB//ftsE//znuB//mnmE//phnI//sufS//cobU//ygbM//metH//etk//ugpC//yadI//moaD//ybhF//intZ//serB//mutY//baeS//ybbN//rplJ//yqeG//shiA//rpnB//stpA//fabB//murC//yhjB//thrA//yibT//yghG//thiM//tusB//flgM//sad//betA//gshA//pfkA//tyrR//tusD//adeQ//rlmJ//greA//sapA//dhaK//mepS//hemA//tdcR//waaQ//rffT//fes//yabI//narZ//yjtD//cra//gntR//evgA//hcaC//csgE//sufD//yiiE//uidR//arnB//ugd//rsmI//mhpT//rplJ//recX//hybO//hycB//ybdN//cca//mscM//shoB//lsrD//gspJ//yhdX//tag//opgD//mlaB//insF-1//zupT//ompG//ptsI//mrdA//pbpG//allB//fabA//yihO//queC//mntP//dnaE//tdk//nuoH//acrB//sppA//ldtD//tdcR//macB//bamA//cirA//zntA//nrfE//tilS//bfr//rihA//cysK//nlpE//treF//yphD//fliL//tus//gatC//uup//metN//murR//rpsO//argA//degP//tdh//yihP//glvC//uacT//sxy//frwB//mhpT//lysS//ybaL//rhlB//ilvI//paaE//ptsH//glcC//frdB//yccS//ibpB//yjjG//yciF//acrE//alkA//agaW//hemN//atpH//dgoR//deoR//pdxB//rnb//frvR//argG//ubiE//ycaN//mrcB//deoC//rsuA//dcd//yohC//pdeD//ispH//hdeD//rcdA//dgkA//yfdC//sdhC//gatD//yfiE//hofO//sgcR//betI//sgcA//ygiW//fimA//artP//aroB//ilvE//map//purT//rppH//proQ//rpnB//
GO_0005976_5	rtcB//sufD//caiD//lptB//yebK//rpoD//yieF//afuB//selB//pcnB//narW//yibT//glnQ//adiY//yibT//xapB//ycgB//ung//rbsR//ilvC//ydaC//mutM//lldR//pepQ//intF//proB//yehD//hicB//yfhM//ihfB//idi//dsbG//ebgR//yeaD//dapB//rlmJ//rnhB//rlmH//hisI//epmC//degS//aroP//yeiE//yjhP//nrdE//rssA//bcsA//basS//dxr//dgoK//ybiX//edd//ybgP//bglJ//ybiA//moaB//fryB//dppC//gutM//
GO_0005977_6	sseA//mreB//livG//trmH//ibsD//narL//glsA1//flgC//
GO_0005978_7	hpf//uvrD//ybjC//fecD//
GO_0005979_8	yidR//
GO_0005980_7	waaU//chbA//skp//
GO_0005981_7	apaH//
GO_0005984_5	uvrB//agaW//mngB//tdcE//glgP//hflC//rfaQ//yiaA//ubiX//rutB//narJ//
GO_0005985_6	gsiC//
GO_0005986_7	lpoA//
GO_0005988_6	ydeI//manY//
GO_0005990_7	ddlB//glpX//
GO_0005991_6	yfiC//opgC//ddlA//hsrA//glnA//
GO_0005992_7	ydeE//priA//
GO_0005993_7	ftsZ//csrA//ftsQ//
GO_0005994_6	ghoT//
GO_0005995_7	yghB//
GO_0005996_4	insI1//diaA//gatZ//lspA//uxuA//gltL//cyaA//metE//yfdC//phoE//nikE//yoaA//phoA//rpsK//ftsW//ychO//rlmB//hslU//ynjA//frr//ygiN//gsiC//rdgB//waaY//dkgA//fumB//waaP//mepH//iraP//yeaV//yhbY//nudB//puuC//dppC//mglB//dam//efp//frlR//ybdG//napD//sapC//pflA//rpsP//cysA//ispG//menF//gpr//xerC//ghrB//rbsD//manX//ilvM//frmA//rcsA//hha//hemN//oppA//gadW//roxA//fic//yfhM//yaaU//waaF//nrfF//arnA//hisG//ybbW//argP//yeaV//wzb//acnA//clsC//dnaG//ilvL//agaD//hybA//yidR//ydbD//mliC//dsdA//mscK//pyrE//
GO_0005997_6	ycjW//
GO_0005998_7	gsiD//
GO_0006000_6	intE//lrhA//nikR//
GO_0006001_7	yafQ//aroA//
GO_0006002_5	puuE//purB//pgpA//
GO_0006004_6	bglB//sulA//rutA//cusC//yrdA//cdd//
GO_0006006_6	yfcQ//npr//dacD//sgrR//cpdB//mqsR//groL//ydjM//frmR//fepD//mdtJ//gstA//sbcC//adiY//arnB//adhE//bglF//uidA//tusD//rcnR//cheR//truB//frvR//
GO_0006007_7	tmk//relA//gltL//
GO_0006011_5	glyS//
GO_0006012_6	ampD//ortT//frr//rarA//gspF//yaaU//nadC//ydjE//nusA//
GO_0006013_6	elaD//eamB//
GO_0006014_6	pykF//fimB//ariR//
GO_0006015_7	groS//basS//
GO_0006020_5	dxr//
GO_0006022_5	yqeF//osmF//hcp//kilR//yhfS//murD//mmuM//eamB//gpmM//ydeP//panE//lit//mlc//msbA//fadK//gspF//nanA//icd//ypdA//ghrB//tgt//mdtA//gatY//truA//iaaA//rlmC//thiP//iscX//hofP//zapD//sseA//ftsY//dmlR//pbpG//cheR//uxaB//ybhA//ydjE//pheP//waaS//fimB//fepG//leuO//cycA//ydiO//crr//fepD//sgcX//cpxP//uvrC//araA//yjhI//tap//mglB//sugE//feaB//def//focA//scpC//tilS//lpxK//fepD//sbcB//
GO_0006023_6	rluD//glpX//envC//zupT//atpA//hslO//entE//ybeF//sgcA//exbB//gloC//yfgJ//yhiM//dinG//hpt//yhdH//ldtC//ydcR//iraM//arnB//seqA//ugpA//modC//rrrQ//dkgA//leuE//fliG//queF//srlB//gph//gnsB//wza//nsrR//hemG//uspC//entC//galR//uxuA//uhpC//
GO_0006024_7	proB//frc//uof//hcp//ptsP//sodA//ycbX//dps//fadH//mhpB//murD//metK//rpsB//dgkA//dmlR//codB//waaJ//yahN//xapR//mdh//ilvB//lpxM//ldcC//ndk//yqiJ//alpA//cheB//tusB//entS//tatA//nanK//aceA//lsrA//yaiP//fimD//aspA//proW//opgE//sohB//
GO_0006026_6	ldtC//ygbL//dgoT//rnt//ydcZ//yhiM//ulaR//sucC//yaaU//mltA//
GO_0006027_7	ppsR//yhjV//ychH//yfcV//zapD//holE//sfmF//potC//cspG//sgcB//
GO_0006040_5	lacI//yfdC//ycaO//hpt//ytfQ//cbpM//ldtC//yqgB//agaV//caiF//dsdA//recA//metC//manX//ebgA//hisG//puuR//
GO_0006044_7	minC//rutR//prfA//gloA//bioD2//
GO_0006046_8	rfaH//hiuH//ttcA//motA//
GO_0006047_5	rcsA//proW//rsmA//phnC//phnH//csrA//tnaB//
GO_0006048_6	cysU//hrpA//xdhB//fbp//argF//tdcD//
GO_0006050_6	manZ//
GO_0006051_7	hisA//
GO_0006053_8	hfq//
GO_0006054_6	mdtM//pgpA//cueR//xisE//cadC//tag//yggN//
GO_0006056_6	yaaA//
GO_0006057_7	btuF//
GO_0006059_6	rpsB//frc//rluC//envR//
GO_0006060_7	rutB//
GO_0006062_8	yggD//
GO_0006063_5	glpA//helD//ccmA//gpmM//sucA//allR//pdeR//tsaE//purR//
GO_0006064_6	acpH//fucI//proX//pepD//rcnB//yagJ//
GO_0006066_4	yfcR//wecC//elfC//rpsH//greA//hemN//sbcB//tcyN//holE//moaD//cysM//nadK//hybD//napC//ascF//ycfL//ung//caiT//rffT//argG//ftsX//rcdA//frmA//ftsE//cecR//uxaB//dcuR//ybaQ//gadE//grxD//raiA//trmJ//
GO_0006067_6	codB//kdsD//nrfC//
GO_0006071_6	casD//yjeH//oppA//cysB//trpL//ugpC//ycjQ//
GO_0006072_6	osmF//sbmA//rclC//pntA//rplE//
GO_0006073_6	chiP//yjhG//msrC//yfgJ//ffh//mraZ//metB//ynbD//ortT//eptB//puuB//waaY//yiiD//trmL//idi//rsmB//ydfK//mraZ//yfiE//mdtN//
GO_0006081_4	malE//insA-2//blr//speF//yieL//crp//glgC//ypjD//nuoL//ygeR//tig//recX//yahK//nrdB//gabT//trpE//hemA//mgrB//ttdT//yhjG//puuB//pspF//rnr//entF//ygcR//dnaJ//cysN//gatA//ftsQ//purN//evgS//ybjL//sufS//rssB//dgcF//iraD//ydgA//ccmC//patD//metB//fabA//prmC//entS//groS//hcaT//entF//dcuB//ybbW//garP//panB//rplI//dgoD//fabI//yhbY//ybjI//dgoT//yfgJ//yceK//ttdA//ybaO//argI//cutC//galR//hipA//bipA//sbmA//pyrL//
GO_0006082_4	cysB//rcnA//gyrA//appC//atpD//btuR//ldhA//argB//gntR//deoD//yeiL//serC//epd//cspG//gntR//pdeF//ybjL//yfeR//dapF//yfcF//emrE//opgH//rlpA//uspF//ybaK//ttdB//oppD//guaD//mscK//lpxM//nrdH//menB//ybeY//lsrK//livM//acpP//tmk//rpsL//ssuB//psuG//tdcB//mltB//purN//frdA//rsmG//ynjA//csgF//dhaM//yejA//purL//yehU//cysP//rmf//bisC//menE//yjtD//cysH//yjjV//glrR//dinD//gyrB//hokB//fabZ//udk//puuB//spy//tolA//mhpB//yadI//hisF//metN//ttcA//nemR//rplC//zapB//fhuC//yneE//potB//selD//ybgQ//waaA//ulaE//lpxK//abpB//purD//higB//apt//ppiC//glnD//hypT//yihV//uspG//yahK//nrdB//yfiF//ygcO//ybbY//thiD//rclR//betA//sfsA//waaU//katG//fiu//gpt//tilS//fepE//rpsA//rlmJ//gshA//kilR//yadM//arnE//yjiY//rppH//yejF//recB//crr//mnaT//setA//blr//ftnB//tyrB//ssuA//fimI//yqhD//mutL//lpxH//lysU//fepE//ibsE//mazG//psuT//bcsQ//eutK//yraK//feoC//focA//yhjC//cysM//trmH//yhaV//eutD//ydbK//patD//argC//ydfK//ccmG//ortT//gltD//cysQ//elaB//yfjR//pth//rimP//ybiW//mdtP//gstB//gpmA//lasT//lapA//fabI//gntK//rfaE//acnB//hemA//mhpC//fre//ynbB//fdnG//ycfL//nuoI//sad//rimP//mgtA//rpoE//rfbX//pcm//cadC//insI3//eptA//uxuB//kdpE//lpd//opgH//fnr//pntB//pepD//glvC//dsdX//gloC//lnt//potG//lapB//roxA//menC//osmC//ydeE//norV//tdcA//ymdB//hyaD//tap//msrP//yajO//rof//hrpA//yidH//ynfH//ilvN//bluR//moaD//pgpC//dapF//pflB//rplE//mdoD//tatC//rplM//rnhB//zitB//insI-2//rpoH//ycdY//tauD//lpxM//tmcA//ghrB//rlmC//nanR//sgbE//entF//dsbC//rzpR//rlmB//cspC//yfcG//dkgA//tag//yieE//tyrA//tdcA//frlA//fixB//nikE//hcaB//betB//yfaL//metI//atpF//wzzB//lptC//tag//bcp//rplQ//map//rseC//holD//xisR//sodC//ycjR//ogt//rplC//eutD//ybhF//yeaE//ubiJ//mltA//ftnA//ygiW//yehA//allB//livK//yjbH//clpX//ytfQ//dtpA//yrbG//manX//glnP//rnhA//minE//yibA//yphB//dnaG//ydeI//yghO//tufB//nuoB//pitB//mdtP//dnaE//yebS//cusR//entE//greB//rlmH//bcsQ//plsB//sfmH//ynfL//fhuD//frmR//allB//flgA//chaA//agaD//csgA//waaA//ortT//lepB//speA//phoP//leuA//yiaO//waaJ//mqsR//hyaC//yagJ//lolD//yehT//ycjD//sfsA//glyS//preA//ycjU//nanC//sfmA//mscL//fixB//ugpC//glsA1//ppc//oppA//thrA//yjaA//uhpC//folE//murQ//ftsN//deoC//truD//frmB//glvC//puuC//iraP//pnp//leuC//yieF//yfbS//hslO//rof//leuA//nuoI//cusB//malF//ompL//pyrD//ydcZ//creC//yidC//galM//rrrD//yohC//tyrR//ddpA//mrr//mtfA//kdsC//thiE//eptA//recD//agaC//smrA//ygcO//aldB//lepB//nadB//tnaC//rpmE//csgB//ybgP//leuD//malE//yfbU//gabD//nirD//nepI//exoX//yhcD//gshA//hflK//uxuR//leuD//mazF//narV//ymdB//appY//yehX//feoC//napA//citE//fdx//agaC//chbG//oppB//wcaJ//yodD//yqiJ//clsB//tatB//kbaY//ampH//ygeX//cysQ//ppk//trpR//yhhT//cpxP//truC//kbp//rluF//betT//exbB//aaeB//mdoG//mdfA//parC//rng//radD//nikD//tusA//mcrB//mrcB//frvB//essD//rutC//chbA//mtn//yiaB//ykgA//iclR//nanT//agaC//pgm//tolC//kefG//gor//dctR//ymdB//ldtA//pykF//dgcN//betB//gadC//ygeA//yehB//hcaF//rlmI//mraY//
GO_0006083_6	cueR//rpoH//ydaN//rnd//glxR//phoR//
GO_0006084_6	sad//ybaL//
GO_0006085_7	yggE//ppk//
GO_0006086_8	cedA//
GO_0006089_5	ydjK//panE//ynjD//ptrA//rplR//ybaM//fruB//napC//bluF//folE//secM//cpoB//ycbV//ccmC//mltG//mutM//atpB//hda//pppA//dppD//umpH//dcp//dmsC//fur//mliC//rutB//gltI//ttcA//recC//
GO_0006090_8	rzpR//pckA//idnD//miaA//yegT//ycbU//ybiI//glpT//ndk//ghxQ//baeS//galU//secY//entH//yihI//cedA//blc//lysC//gltP//ftsH//narW//rssA//nrdI//yjhH//glsA//oppB//fliS//pstA//ygbN//csdE//gshB//
GO_0006091_4	aroB//ghrB//melA//hslO//groL//truC//mcbR//pntA//lptC//rplF//wrbA//rimI//elfG//frlC//yoeB//etp//cra//mak//clpX//ilvE//ftsY//hemC//elfD//fdhE//slyA//torD//gntR//ubiF//lrhA//rfaD//torI//tcyP//ydiO//zur//alaE//glpC//yiaT//btuF//cydB//hycB//yecS//zapC//higB//rusA//menD//yjeI//yidK//yfeX//mscS//hpt//torI//fadJ//envZ//ynaI//yiiM//yjbE//yccS//otsA//fic//fimC//grpE//frdC//patZ//wecB//serS//nagB//csiD//torI//pdeK//brnQ//infB//ftnA//iclR//rpoD//flhC//ydjJ//fhuC//yeeJ//rmf//fimD//insA-1//rbsC//pckA//proC//garD//ypdA//glpR//erpA//qseC//mdfA//mscS//xylF//hexR//tatB//pnuC//mltC//yjcO//yddG//pspC//rhsD//ftsB//hcp//fimF//yeeO//yneJ//lit//fadA//lplT//hypB//dapA//udk//aspA//
GO_0006094_7	narK//ssuC//eutR//thrL//fadL//lrhA//uraA//yahB//zapB//insE-1//
GO_0006096_6	lptG//ibpB//rlmD//fmt//argH//hcaC//ycfS//dtpA//hycA//narZ//iap//aqpZ//thrL//mppA//pstA//fimB//pmbA//iscU//
GO_0006097_5	rapZ//gnd//tldD//rcsD//hycB//
GO_0006098_6	glk//yhaV//tatE//yjiX//pagP//
GO_0006099_4	yjbB//ssuE//hflX//holE//xthA//cra//ycbU//wrbA//rpsT//fadH//pepB//prpC//ydhQ//acrR//bioD2//nagZ//aroE//
GO_0006101_6	tpx//pphA//hcaR//gsiA//treA//tatA//rpmB//ycfJ//rlmH//lacI//yihT//narK//torC//ccmA//mioC//hisP//glyA//
GO_0006103_5	yqiJ//topAI//yedA//
GO_0006104_6	umuD//insF-1//tomB//
GO_0006105_5	yajR//glsA1//rnt//pdxH//yahF//cmoA//rssB//yihR//
GO_0006106_8	dtpD//
GO_0006107_8	gltD//
GO_0006108_8	slyD//tdcC//crp//cobT//ydaN//
GO_0006109_6	argB//secY//allD//ybdO//kdpA//dxs//betI//ycjP//shoB//
GO_0006112_5	lpxK//pykA//zapA//iap//slyA//crp//ybcL//lplA//
GO_0006113_5	menE//adhP//dppC//yeaG//yefM//carB//insB-2//csiR//pgm//treR//rfaH//slt//prfA//
GO_0006115_6	frlC//
GO_0006117_5	fimC//
GO_0006124_6	ghxP//
