#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gcd//nadA//dnaA//hypA//
GO_0000376_10	lplT//
GO_0000413_9	edd//yidH//yibH//lysC//fdnI//hcaD//ynjD//dnaT//
GO_0000451_7	ybhJ//uspG//ybaL//patA//glgA//
GO_0000453_8	borD//ftsQ//yiaT//kdpF//hybA//
GO_0000455_9	csgD//glcE//araH//epd//luxS//accA//thiG//
GO_0000462_11	rhaD//bssS//
GO_0000469_8	phnK//
GO_0000470_10	ldtA//
GO_0000478_9	ppiD//
GO_0000715_6	yfdS//
GO_0000716_7	fimH//
GO_0000724_8	rimK//
GO_0000725_7	yfaE//ccmH//psd//yhhT//rtcB//ariR//
GO_0000726_7	sgbE//
GO_0000731_7	flgH//hypC//holA//ycjY//mntS//rutR//yajR//
GO_0000737_7	puuA//
GO_0000738_7	yfcU//agaW//bluR//
GO_0000746_4	uvrC//
GO_0000820_7	cmk//
GO_0000902_5	fecD//
GO_0000910_4	bglH//tcyN//artP//yjiA//rplN//prfA//pgl//prfA//feaR//pflB//glsB//hslR//aphA//mnmE//torZ//eutK//malK//pyrD//
GO_0000917_6	dnaB//napF//arnF//mhpA//folM//
GO_0000918_6	flhD//yheT//srlR//sdaC//
GO_0000920_3	pyrG//yqeA//emrE//rpsI//rbsK//
GO_0000921_6	paaK//
GO_0000966_8	fecD//fklB//fecD//amiB//
GO_0000967_10	cof//dhaM//hisI//
GO_0001101_4	accB//groS//acs//yphC//ydcM//msrP//ydjM//patD//yddA//pta//rimM//ppiC//zwf//trmB//chbR//relA//hybE//setC//fepA//hpt//melB//flgF//torA//yfjV//sodC//yhdJ//
GO_0001121_7	gcvP//leuO//
GO_0001123_8	adeP//
GO_0001124_8	yahI//
GO_0001407_7	ykgM//hofM//dtpC//ilvI//
GO_0001505_4	argF//preA//lysO//yoeE//pcm//garL//agaD//yidD//mhpA//yigL//dhaK//sgrR//acrE//ulaB//pyrH//pabC//
GO_0001510_5	uhpA//rluC//pflC//dnaT//gntP//nuoH//fbaA//rlmH//truB//sapC//glpC//rhaT//slyD//nagA//acrE//citX//hupA//leuD//osmE//mutS//sulA//mdtB//ynfK//waaF//hemG//hemA//yneJ//ybiI//aaeA//rcdA//rffH//rlmC//nlpD//rutC//yadG//rplA//raiA//hcaD//rarA//intF//
GO_0001514_8	pepA//
GO_0001522_7	frdC//ynfF//mog//mscS//preT//lhr//flgA//yoeB//nfo//aroK//hyi//rhmR//lipB//
GO_0001539_4	bdm//kefF//rihC//lptD//ssuE//glvC//pncB//ybcM//crcB//gldA//purU//elaD//cpxP//rssA//ubiD//argG//ilvB//lepB//treC//fepB//prmB//mdfA//lpxB//yiaT//maeA//rnd//lon//yohC//hpt//mreC//yfbR//
GO_0001558_5	fetB//ribE//garP//yciK//dgoA//rpoD//hyfA//aer//
GO_0001561_6	frdB//
GO_0001666_4	hcaB//
GO_0001676_6	thiI//pflB//hofP//
GO_0001680_11	cheW//
GO_0001682_11	ileS//
GO_0001731_7	uspC//
GO_0001762_6	dhaK//
GO_0001887_4	nfi//glpD//yraI//
GO_0001896_5	ymjB//yahF//phnJ//ybcL//
GO_0001907_5	thiQ//dinI//xseB//mhpA//
GO_0001932_8	sbcB//atpH//
GO_0001934_9	arcA//
GO_0002047_6	yiaU//dcuD//
GO_0002097_8	hslJ//cas1//lolD//phoU//yadG//insH-6//rbsR//dhaR//ygeW//ydcM//fliZ//mreB//ybcF//glcD//tisB//htpG//ahpC//hisA//mnaT//
GO_0002098_9	cusS//wzb//panD//glpF//gmhB//sbp//tatB//dacD//cyoE//gadB//nanK//yfdS//gcvA//
GO_0002099_9	ycfJ//sodC//
GO_0002100_9	gcvP//
GO_0002101_9	alsC//cusA//
GO_0002128_7	tufB//dedD//rho//sgrT//
GO_0002130_8	hexR//
GO_0002131_9	lsrK//
GO_0002132_9	rpsQ//
GO_0002136_10	ftsQ//
GO_0002143_9	mhpD//yehU//nrdR//trpE//elaA//relE//
GO_0002181_7	guaB//ybhF//
GO_0002183_5	adeD//
GO_0002184_8	dhaL//
GO_0002188_6	folX//
GO_0002190_6	garR//
GO_0002192_8	lptC//
GO_0002252_3	ymfK//priA//xerD//gapA//gsiA//agaS//ugpA//rsmB//mtr//argT//
GO_0002790_6	recB//hslV//hypD//mtfA//yphF//ybdG//argC//
GO_0002937_9	ymfK//
GO_0002938_8	ybcL//
GO_0002939_7	gstB//
GO_0002943_8	cyoA//
GO_0002949_8	rimL//glpG//yqiG//xapR//
GO_0003333_7	yafN//recR//mutL//cpxA//ycjP//yadC//yjhP//ynfL//selD//aas//ycaN//nimT//fucA//lsrC//mhpA//dgoT//yjcO//xylG//comR//lptA//aroE//nuoH//osmF//thiQ//yjfF//yidA//ghrB//murB//garD//ycgB//ivbL//qseC//nuoH//ilvD//intQ//ptsN//waaP//ygfI//deoR//ttdA//nrdF//pgpC//araA//orn//yieK//pgsA//artJ//fadE//hprS//
GO_0005975_4	dhaR//glpC//rpiA//dps//lrhA//rhlE//gyrA//aas//epmA//phoP//obgE//uvrB//yeeL//dmlR//rfaF//ygaV//rfe//fadB//rplM//fes//opgB//skp//wzc//rpe//sdaC//adhP//npr//ispF//ydeE//phoA//pgsA//glnE//obgE//tusC//yfaE//yqiH//hdfR//ilvC//yadI//ybcQ//yjbF//mepM//acrR//mzrA//entF//wbbK//cheW//phr//glgS//rbfA//eutN//fetB//csgD//focB//ybjX//ydiF//ydjM//polA//lgoD//yeaE//glnS//yfbS//cecR//ybiV//csdE//hisP//cbl//dgoR//cirA//pepB//panD//xylE//sfmH//appB//narL//cadA//gspE//ycaN//kdpA//csgA//ppk//rlmG//xanQ//mutH//nanE//hisQ//lpxB//obgE//ccmC//mraZ//holD//yjjI//uidC//rseC//ybdZ//hisC//msrQ//dgcJ//alaE//glcB//alkB//trmJ//pnp//rnr//mhpB//eptC//nudG//gpt//gshB//glrR//lpxL//yciE//ribB//yebZ//chbR//argD//ygfA//frsA//treA//rdgB//xanP//gloB//alkA//sbp//paoC//rne//chpS//phnH//rraA//cheZ//rng//yahK//gor//serA//ligB//kdpF//lptF//pcm//yebC//ogrK//prlF//pgaB//glpB//prfA//yadM//emrE//rfaC//ybdH//mdtJ//secF//hisC//ydjE//yqeG//hscB//mscM//hypE//yihX//ubiF//ybhS//fadJ//chpS//pheA//yjhC//cusS//focB//ybiY//purR//paaG//prs//gatY//argH//yidP//yicJ//tamA//kdpD//lldR//hupA//wecE//rfe//rfaH//yfgJ//mobA//gltB//insH-6//pyrH//rplD//chbR//potE//tadA//fklB//fabI//ymfA//csgA//mltD//yebC//eamB//hybA//nudG//argG//ulaD//malE//fes//hypC//kefC//bisC//recR//cyoA//narZ//tdcD//trmA//pgaC//nrfG//ydiP//copA//pgpC//fdrA//asnB//fucI//rnc//yafN//ycgR//yiaF//cyoC//norV//dnaQ//rpnA//asd//acnB//ydfG//eco//alsK//cynX//melR//sucC//hslR//nikE//hipA//rutA//entD//ruvB//uraA//nlpD//rbsK//flgG//rsmI//lsrD//ulaC//fucP//priA//yfcF//exuT//yebZ//glgP//dhaL//
GO_0005976_5	ampD//nrfF//cueR//argA//hupA//ybhA//gfcE//relA//rssB//gfcE//citC//yajR//pspA//dgcQ//nlpI//kdpC//srmB//lamB//fadL//fhuC//ybiI//paaZ//lepA//ybiS//rssB//tsx//ybdR//tadA//pepB//paaE//nlpD//rnhA//cfa//yidZ//dut//mhpT//mepM//ddpX//yddA//glmM//hycI//wzyE//ttdR//gdhA//pdxA//hcaE//malP//ydcP//rpsR//hupA//bioH//hisF//insK//secF//speC//yfcA//rfaE//malK//rlmJ//
GO_0005977_6	cpdA//mepH//ssb//fadK//pflB//mdlB//fcl//dppD//
GO_0005978_7	arnD//yhdX//alsC//ftsI//
GO_0005979_8	yfeX//
GO_0005980_7	cyaA//rph//rayT//
GO_0005981_7	ydhK//
GO_0005984_5	rimO//iraP//rsmH//ugd//gmk//yceD//rne//rpmF//wzyE//csgG//pflB//
GO_0005985_6	ispG//
GO_0005986_7	hdeD//
GO_0005988_6	eutN//lit//
GO_0005990_7	ravA//puuB//
GO_0005991_6	rnt//ydcO//ftsY//pepN//gadB//
GO_0005992_7	frc//dmlR//
GO_0005993_7	ydjE//yihR//yiaJ//
GO_0005994_6	ygjH//
GO_0005995_7	yjiQ//
GO_0005996_4	entC//oxyR//sbmC//tehA//tsr//cobB//kefB//gpmM//mutH//lsrD//hflK//hisC//dxs//glpR//hypE//hdeA//umuD//phnO//yccS//yiaU//yciK//lysU//thyA//fdoI//bipA//yhdZ//yneJ//glmS//miaB//ftsA//pabB//hycH//degP//yeeL//gltB//ttdR//yahO//ybfA//pckA//hprR//ubiF//manY//glgP//iscU//ompA//lexA//atoS//yeeO//polB//sbcB//speF//yibH//yihO//fadR//rcsB//cho//ybhR//pdxB//yehC//yiiM//rluB//lgt//yfjR//ligA//acrE//yagI//feaR//gsiB//arfB//nuoF//glpF//sdiA//glgX//yeeA//pyrD//ftp//ygfI//csdA//yggN//ispG//pfkA//frvR//
GO_0005997_6	thrS//
GO_0005998_7	yiaN//
GO_0006000_6	wecC//yjgX//ypjD//
GO_0006001_7	yihW//cheZ//
GO_0006002_5	yeeY//tig//rbsD//
GO_0006004_6	hokB//nuoN//malE//hyaD//modA//chiP//
GO_0006006_6	wecC//mlaF//oppD//elfG//proW//ydcS//lipA//yihR//intE//fic//mscK//nhaA//garL//murJ//yhaO//rpnD//argP//ldtC//recF//parC//mtlD//alpA//rpoS//
GO_0006007_7	thrB//pgrR//gcvH//
GO_0006011_5	purR//
GO_0006012_6	fadL//rimK//ymgF//tpiA//tsr//cpsB//ycgB//fimF//rfaC//
GO_0006013_6	proP//waaC//
GO_0006014_6	atpE//satP//scpB//
GO_0006015_7	rbfA//glpX//
GO_0006020_5	nagC//
GO_0006022_5	emrB//xylE//fixC//mlc//thiI//dusB//asnC//ydiR//thiP//btuD//fucO//panE//tktB//phnO//cof//fixB//yoaB//pck//ahpC//bepA//csrA//hxpB//ybaE//thrA//selU//argF//mtn//leuB//topAI//puuD//prlF//hyaA//soxS//gshB//emrD//ttdA//ynfE//lpxH//htpX//icd//ettA//ridA//ybhR//pspC//asnB//chbF//hchA//hflX//acrD//ydeP//yqhD//zapD//iaaA//mioC//proQ//hsrA//yfdO//hypC//yidC//gapA//apt//lipA//ykfI//
GO_0006023_6	artQ//mnmA//garR//ftsI//ymfA//yhaO//recQ//yigB//ybaT//ydcT//arnA//ykgA//crp//hypT//speG//cas3//phnJ//ulaC//emrB//entS//phnK//rbbA//yhjV//dcyD//pabC//garD//yhgH//intZ//otsB//glsA1//treA//nikE//tdh//fdoH//ldrB//yneL//agaI//tktA//yddG//
GO_0006024_7	trpC//ftsQ//rfaD//panE//rpsJ//ugpB//hdeD//radA//rfaE//rlmF//rusA//lexA//nfuA//cheA//nth//livK//priA//tdcG//mdtL//thiC//manY//fimH//thrB//ibsD//alsE//wzzB//chbB//sstT//csgA//nrdH//mnmA//murD//fepB//pheM//murF//nanS//nuoH//rpiR//waaZ//
GO_0006026_6	yidA//yhaV//yqeF//napA//coaA//amiC//lnt//ddlA//rpsE//ttdA//
GO_0006027_7	macA//ibpA//adk//ygaZ//ratA//yegD//fixB//dcuA//leuA//dcm//
GO_0006040_5	icd//malK//torY//cpxR//rpmH//yqgF//bioD1//minD//mnmE//murQ//rzoD//abgR//csrA//arnF//relE//chbF//rsmI//
GO_0006044_7	tsf//cydA//rihB//gudP//yqhD//
GO_0006046_8	lpxL//ada//cysZ//pgaC//
GO_0006047_5	topB//glnD//ccmD//glpD//tauB//prpB//mutH//
GO_0006048_6	glpB//queF//mgtA//ygaV//agaC//clsB//
GO_0006050_6	ugpB//
GO_0006051_7	yceO//
GO_0006053_8	ygaZ//
GO_0006054_6	yfaU//cusS//yiaM//mngR//fabH//sgrR//zapD//
GO_0006056_6	fic//
GO_0006057_7	ansB//
GO_0006059_6	fdhE//dctA//ubiD//csrD//
GO_0006060_7	csgD//
GO_0006062_8	sapB//
GO_0006063_5	yggT//pfkA//betA//feaB//dcuD//fryC//xylG//uhpA//wrbA//
GO_0006064_6	uof//ugd//ynjD//tsx//hyi//gutM//
GO_0006066_4	lpxP//glvB//smpB//atpG//emrY//mcrA//ompA//sseA//ugd//dnaE//btuR//mngA//mdtQ//clpP//folP//znuA//ampG//ccmD//ycbX//mhpC//ybdO//kdgT//glpK//recN//ycjW//prmB//ansA//yiaA//otsA//ubiC//hicA//ompC//
GO_0006067_6	alaC//yhaC//rfaF//
GO_0006071_6	cysM//fmt//menF//thiI//chbG//garL//ynbC//
GO_0006072_6	fieF//mhpC//entB//araH//yjhI//
GO_0006073_6	rfbD//panE//ulaA//mreB//uspG//maoP//acrA//yciK//rseB//yafC//fecA//yhjC//yjfF//mak//yjtD//recR//cvrA//alr//fucA//iap//
GO_0006081_4	fhlA//cho//ykgF//frmA//lldR//yahI//ackA//nuoM//trpB//secF//frlR//lrhA//pliG//idnD//tnaC//recB//hofC//ygcR//pgaC//phnM//umuD//murP//puuR//leuC//lysS//secA//rpsE//potF//eco//rodZ//rpsG//osmE//ttdT//rcsD//waaG//ygfI//fumA//phnO//tolA//nrfC//yhcN//glgB//rsmE//yagU//casC//bhsA//lysO//lrp//panB//rffT//lpxK//cyoD//yajO//yfcU//ybbW//pheM//eutN//hofM//guaD//hsdR//phnG//pgaC//envC//puuA//mtlA//clcB//pinR//
GO_0006082_4	minD//fadH//yfiF//radA//hipB//acpP//araG//ada//fdnI//yieL//nrfD//phoA//zwf//rfaF//glpB//sucC//otsB//yfcQ//moaC//ligB//livG//dcm//ilvC//lpoB//mraY//fadK//yobA//recC//arnF//ydhK//fadH//yjcS//fadM//murA//ghxQ//casE//pflC//flgE//tolB//tesB//btuF//cpdA//fliL//zwf//yceK//yajQ//alkB//ompW//luxS//pyrL//guaB//ydeO//yehU//yggN//ycaO//oppC//tauC//trxC//recE//phoB//potA//smrA//phnN//frvB//casA//yiaO//ymjB//gpt//cysK//frmR//yicJ//arnF//epmB//waaO//mreD//priC//prfB//holD//patA//rsmG//setA//yibA//hscA//sanA//astB//yajL//ycfH//tldD//rutC//ygjH//pgpC//psuT//nlpE//cusB//yjhP//yehC//ssuE//hybO//yjgX//nanE//aspA//etk//ybfA//maoP//ilvM//dgkA//truC//xylG//yiaF//yggD//galS//lldR//tcyL//prfA//psd//treA//mdlA//treR//arcC//ttdB//yjeI//purB//pcm//fecC//flgJ//phnL//hdfR//flgA//gcvP//argS//yhhY//sapA//rsmG//nagC//ybiX//ccmH//livM//phnL//gatA//lrp//ybdM//dinI//cydD//setB//phnC//lolE//torY//malS//ortT//rbsB//tusE//tsr//trmJ//hyaC//frdA//yagI//hchA//clsC//queA//dcuS//ycaN//sfmF//sfmC//lapB//zraR//folC//ttdR//paaD//lplA//citT//ybhG//gltI//mug//ftsX//wecA//lolD//tyrA//galF//elaA//prc//yhhZ//fepA//xylR//ygfZ//yhdH//fadD//nuoH//yrfG//wecE//agaI//murI//queA//cspA//solA//rhaM//btuD//melA//ycjP//ybdZ//ychO//kdsB//acs//paaC//xapR//uhpT//relA//fixC//intS//recC//aceB//pck//yifB//adeQ//rof//icd//sstT//rseC//nrdA//galM//hyfF//fpr//borD//dnaK//lasT//yobF//recC//dsbD//feoB//yaiW//argA//norW//pabA//yhjB//alaS//livJ//yieL//nagZ//fadI//yhgH//sanA//sodB//arnD//cydB//glnL//caiF//trpC//xisR//miaA//rseC//cspC//aas//nagZ//xerC//artP//yjjW//hyfC//ybdH//insK//ybiY//ybiA//aidB//rplO//nemA//ppsR//yciF//paaK//ulaG//glcA//ptrA//yjiR//znuA//iclR//aspA//lsrB//def//ldrB//paaB//tdcE//btuF//mioC//mutH//ydiF//rutF//xdhB//yqhD//yahD//garD//hchA//mppA//yhjB//ykgF//yqaE//insE-1//ybdM//amiA//narX//mdtN//sfsB//rsuA//dppC//flhE//ugd//glsB//casB//dauA//dcuR//pgl//cdgI//rusA//focB//yqcG//manZ//rbfA//tynA//yeeA//kefC//fepB//cmoA//fumB//ubiJ//bacA//insI1//yhaC//gmk//artJ//fecD//alkB//yiaM//pdxH//sodB//kdgR//dsbB//allD//recD//yfaE//ygcW//fepC//pgpB//priB//yoeB//fbaA//phoR//recQ//napC//cysZ//ydbD//nrfE//ydeT//menB//flgK//fucI//yhjD//rcsC//sgcX//rfaG//ubiJ//manY//ydiF//hemB//ogrK//appA//bioP//uxaA//lptD//shoB//ugpA//bioF//pitB//vsr//tsx//rsmG//dsdX//hypF//mglA//lon//hisF//tmk//ycjY//ilvH//torA//yedP//fliS//gltI//yfgO//dapB//rutG//mdfA//pdxB//pspG//tar//nadE//rhaT//ralR//nuoI//nadK//hisM//gsiD//lolE//dinI//lptB//ispU//radA//yjbH//lolE//dgt//frvB//gadB//hycI//leuB//pdxB//nanT//deoB//dsbC//folA//ycjR//ribD//yphF//mcbR//garP//abgB//fdhD//glnK//plaP//fliD//dld//tatC//ptsH//clcA//lptG//ftsZ//gcvR//xylE//dauA//mscS//hybE//lpxB//fixB//rtcB//dnaE//folD//yraI//yadV//elfA//rpsP//dsbC//tdcB//ybeY//elfG//ychF//elfC//hicA//ynfE//ygiW//ybiI//mlaE//atpF//purA//caiT//ushA//ydiO//
GO_0006083_6	rep//waaA//yjfP//mltD//sgrR//phoQ//
GO_0006084_6	nagA//rffC//
GO_0006085_7	ycaO//sfmD//
GO_0006086_8	aroD//
GO_0006089_5	zinT//yghB//epd//frlB//fabA//cynS//yadM//nrfG//flgK//yjjB//arsB//yiiE//crr//ykgA//lon//argB//bioF//ynbC//modB//maa//rbfA//rpsP//feoB//proX//msrQ//rutA//yfgI//entC//fecC//
GO_0006090_8	pdeR//clpA//dsbC//uhpB//rtcR//ybcC//opgB//ada//tdh//ycgR//nudC//ilvI//argA//trxC//lolB//sstT//glgB//proV//garL//yoeE//ydfK//cstA//sbmA//rpsQ//yaaA//nrfE//iclR//ydbD//hyfF//hybA//sfmH//
GO_0006091_4	fimC//gdhA//hofQ//yedL//modC//cvpA//pgpB//cysQ//cueR//ybhD//nsrR//cdgI//yejF//ybaM//evgS//argA//hdhA//rlmC//hokE//ypdC//insI-2//caiD//nudG//acrF//ulaB//rimI//bluR//prs//ygjH//borD//aspC//pepB//gutM//cdsA//tktA//ybcL//narV//intE//yeeO//ispA//yfiC//dgkA//ydiB//rfaB//fabI//arcC//dnaC//ygbM//ygfI//puuB//gatA//yfgI//rzpR//sgcE//mpaA//glmM//nagZ//yhjX//yhdJ//lldP//rpoD//fadM//gntT//idi//adk//yidE//ais//ispH//glpX//mlc//cysW//gatZ//tdcR//menE//narQ//queE//sodB//mhpD//ebgA//gyrB//yfiC//pdxA//pgrR//ssuA//ymgC//cdaR//hisH//preT//yciH//otsB//livH//fhuF//sgrR//hslV//dgcZ//flgG//sxy//ybiH//pyrC//ydcT//dkgB//bioD1//hypF//kdpF//pflB//cmoA//hxpB//mdh//cca//nikC//intF//ampE//
GO_0006094_7	pflB//dtpA//bcr//mpaA//paaH//ybhP//ddpA//rzpR//ykgF//rhmD//
GO_0006096_6	tsx//ulaE//fimZ//fepE//yjjQ//btuD//rnhA//rplF//sapF//rlmJ//cobU//tsaE//recN//envR//metQ//yceO//eptC//rcnA//
GO_0006097_5	yfbV//cheB//ybjN//rluF//yafO//
GO_0006098_6	yihL//ybiO//yiaB//patA//fryB//
GO_0006099_4	glpT//psuT//nikA//hybA//atpF//rnb//manX//acpP//tisB//suhB//fimE//katE//acpS//pgk//thiC//upp//yfcV//
GO_0006101_6	ldrD//yfdG//bioP//ubiC//proV//csdE//yfeX//aidB//btuR//matP//hybE//gor//yqgB//lpxC//rhaM//tehA//sfmD//
GO_0006103_5	ynaI//relA//rdgB//
GO_0006104_6	corA//ybiJ//fepD//
GO_0006105_5	hypF//narU//galP//torD//hybF//soxR//fadM//fepG//
GO_0006106_8	rpsR//
GO_0006107_8	hcaB//
GO_0006108_8	pppA//soxR//sgcB//acrZ//yahF//
GO_0006109_6	thiP//menC//yeiL//yjhC//ypdF//glsB//mdlB//yecS//rsmA//
GO_0006112_5	amiD//opgC//creB//yieF//miaA//rpiB//tatD//secD//
GO_0006113_5	rplI//adiC//sgcC//astC//wecE//fetB//gcd//blr//uxuR//metE//focA//hns//ompG//
GO_0006115_6	rnlA//
GO_0006117_5	ribC//
GO_0006124_6	proA//
