#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgrR//ygeW//metI//ilvD//
GO_0005975_4	pgrR//csgE//rimM//rffH//cyoD//yaaJ//tamB//mnmE//yciV//fadR//mobA//putA//rnhB//astC//cdd//yjbG//mhpT//fecB//ybgI//ttcA//allR//ygjR//sbmC//fryC//rplI//glpC//mngR//thiI//prmA//yfhH//emrE//hemN//citC//dhaK//trmH//rph//dgcM//rlmM//mdoD//rclR//crfC//ydfH//lacI//fimE//exbB//yihV//curA//ybhI//ddpX//sufC//paaD//cdsA//ubiG//mtnN//ydcT//yicJ//mepM//rhaM//ynaI//rutR//glgB//ygcR//patA//tdk//yjfF//folD//ybaM//tdk//setB//clsB//brnQ//groL//rfaD//setC//sucB//creB//proV//yahN//dam//wecE//yahO//ssuD//maeA//intQ//nanK//pstS//murF//metN//pck//galT//arcC//kbaZ//rlmL//trpR//yjhC//ybbW//mepH//cmtA//nhaA//narV//ompW//fdnG//tabA//ypdF//prmC//fliT//frsA//rcsB//glnP//rfaQ//yehA//dapD//nsrR//arnA//yhhT//yigL//lrhA//hscA//fiu//dnaJ//yqjH//yqhD//hflK//chbR//edd//yegV//pabC//prlC//uhpB//nrfG//chbG//yfdO//ftsN//yqgB//mtnN//wbbK//cpoB//dsdX//ybiW//cdsA//srlA//fklB//aspC//proQ//znuB//proX//adk//chbA//fliL//murJ//glyA//prpC//ibsD//gcd//dhaM//gspJ//proQ//ushA//rluC//smrA//ihfB//dctA//fabG//hycI//yfcV//rhtC//yghB//amiD//ldcA//cspB//moaD//fkpB//msrA//gspI//uspC//waaA//gatC//fumA//acpS//lon//lysR//sfmC//rpmG//ydjH//truD//motA//rimO//yeeL//yhbS//cobB//bglA//znuC//ygaZ//waaH//pldB//ytfR//eutR//frdC//yiaM//glpC//insH-6//dhaM//rhaS//aspC//erfK//ivy//ushA//rffH//nfsB//pinQ//uspE//dhaK//aldA//thiE//amiD//ompG//gapC//insE-1//glmU//pstS//lptE//sucA//moeB//fimF//lolC//gstA//epmB//argT//glyS//ompR//nagD//ybbN//gcvA//yiiM//slmA//tyrB//lpxK//ytfP//gapC//focA//speE//gadB//waaB//tonB//ttdA//fadI//gatA//fiu//narQ//nimT//yaiW//hisG//yedP//gatY//
GO_0005976_5	pbpC//ycfL//ybcF//fixA//atoB//ybcL//hemD//pspG//ubiE//adiC//phoB//polB//idi//preT//cspB//yfaE//insH-5//ispB//yghO//mdtE//ompR//insH-5//fliS//symE//lpxC//tolA//dpiB//ldrA//mtlD//metK//ydeT//hyfR//exuR//hfq//malX//rmf//bcsA//ptsH//sucB//degP//kefB//radA//murQ//truC//rfbX//ybhJ//cydD//ygeA//pfkA//zapE//gldA//tdcR//dtpA//ydiP//insK//umpG//feoB//waaA//fur//
GO_0005977_6	mscL//hypA//prlF//ivbL//prlC//dicC//lpxD//argE//
GO_0005978_7	pdhR//glyA//znuC//rseB//
GO_0005979_8	rsmD//
GO_0005980_7	pfkA//malY//rpnA//
GO_0005981_7	iaaA//
GO_0005984_5	osmF//deoR//yccS//malE//nagA//thrA//hybA//rpiR//tmk//pcm//cspB//
GO_0005985_6	holB//
GO_0005986_7	yccX//
GO_0005988_6	hybB//eutK//
GO_0005990_7	xerC//priA//
GO_0005991_6	tsx//fdhE//tatC//glgC//fruB//
GO_0005992_7	hypB//ydiP//
GO_0005993_7	nupG//dapD//argB//
GO_0005994_6	birA//
GO_0005995_7	yceD//
GO_0005996_4	xapR//yijO//glcC//ydbK//dgcM//pepN//gutM//bdcR//argG//ung//agaW//dgoK//ulaE//yjhG//lptD//groL//atpH//hcaT//xanP//glcE//trpC//gstA//yebQ//nagD//nagE//mdtD//azoR//tauB//tolR//ldrA//fetA//glgP//araH//alpA//ybiO//cedA//ugpC//torS//ccmA//tehA//malE//yejE//yggP//idnK//cheA//dgcT//tsf//tdcG//yidZ//ypdI//sgcC//ompG//scpB//gph//yieL//rimO//pdeK//flhD//asd//luxS//frdB//rclC//yjjQ//ortT//truD//tolB//wcaC//yciH//yqaE//ulaD//eutA//lptF//gadE//mrdA//yccS//ulaF//cytR//ydfH//iscR//fumA//groL//glgS//
GO_0005997_6	pepD//
GO_0005998_7	yciK//
GO_0006000_6	garR//dgoR//hemD//
GO_0006001_7	rutB//tamA//
GO_0006002_5	mnmA//fpr//fepC//
GO_0006004_6	modB//chaA//yjhB//tdcB//clsA//lolB//
GO_0006006_6	uidA//uvrB//yehZ//dosP//sgrT//aaeB//aceA//kbp//ppiC//hcaD//gcvT//ushA//rayT//uvrB//hofN//atpF//fadD//lsrB//fetA//tdk//mtlD//mdoG//nhaR//
GO_0006007_7	wzzB//grcA//paaX//
GO_0006011_5	rlmJ//
GO_0006012_6	rsuA//abgB//opgB//lacY//lpp//yfiE//cueR//pspD//glvB//
GO_0006013_6	fhuC//malZ//
GO_0006014_6	hokE//lon//manA//
GO_0006015_7	cyoD//tusB//
GO_0006020_5	ortT//
GO_0006022_5	manZ//lsrD//pgsA//cdaR//yjcS//mntP//glcE//gltS//fdoI//glpB//yoaA//ilvC//insH-5//mtlR//glyS//cas2//yqaA//fucO//lsrG//rutE//metR//yphB//norV//yceK//rplK//ygeV//frdD//glxR//yedL//cobB//xanQ//xseA//ilvB//glgS//entC//sbcB//melA//dusB//mak//osmY//cpdA//atpC//prkB//nlpA//sbp//ubiA//fis//wecC//flgF//uidA//kdgR//gntT//paoC//cysP//mug//ade//npr//yqcC//paaZ//ydjE//ybaM//uspF//sufD//
GO_0006023_6	epd//yqeA//djlC//ghoT//mdtL//mmuP//ansA//sdhC//lldR//dhaM//ppiA//glpA//dinJ//yhaJ//yfdO//yfhM//rhtA//yfeW//insH-6//torC//yidH//grxD//treR//galF//cysZ//cnu//bamD//ybaM//nadK//sufB//gppA//recB//ybaT//citT//ftsK//ydiF//ybbN//gpsA//allS//
GO_0006024_7	mmuP//ybcL//ygbI//fdoH//gabT//nuoG//ycjY//truC//rhlB//csgG//ibsB//fhuC//blc//otsB//cspE//rarD//ydeO//wzb//nrdA//yghO//queC//fimC//metF//nimR//rpsI//nemR//lplA//ppiA//ymdB//appY//slt//msbA//opgH//rluB//dnaG//trmD//malQ//paaH//napF//
GO_0006026_6	ydcI//ibpB//murQ//bssS//tabA//sfsB//stpA//garR//sulA//adhP//
GO_0006027_7	hisS//oppF//yfdC//glnD//mfd//waaB//garL//yqiH//speD//radA//
GO_0006040_5	tcyJ//cheA//wzb//yfeD//yhcD//fhuF//ispB//argH//ttdB//rluF//cysN//hycB//uspB//ygiV//kefC//iscS//yceK//
GO_0006044_7	hisC//nepI//cynT//epd//tbpA//
GO_0006046_8	lipB//sdiA//narU//mdtQ//
GO_0006047_5	gspJ//ytfR//fumC//yigB//maoP//citG//yhbS//
GO_0006048_6	puuA//pyrL//fabR//nrdA//ulaR//iraM//
GO_0006050_6	pyrD//
GO_0006051_7	yhdH//
GO_0006053_8	hycB//
GO_0006054_6	yjhC//ycjD//clpX//yfgJ//glxR//thiM//mepS//
GO_0006056_6	prmB//
GO_0006057_7	ubiI//
GO_0006059_6	cysG//gdhA//rluB//ybeF//
GO_0006060_7	fimA//
GO_0006062_8	afuB//
GO_0006063_5	polA//hisA//amyA//yebK//yeeO//lpxL//ldtA//glpD//rhaT//
GO_0006064_6	rhtC//recE//serB//fabH//degQ//moeA//
GO_0006066_4	gmd//hemA//hisG//ppsA//dgoT//fdoG//zapA//bsmA//ydhQ//sucA//ptrA//ribF//murC//ghoT//fdoH//dfp//nikA//hemH//mzrA//sixA//fdhD//sxy//yiiE//ydiV//dnaJ//mscS//glyS//dsdA//yahO//yihI//ligB//ybiX//
GO_0006067_6	rimO//lolB//uvrA//
GO_0006071_6	yjjV//glcF//hcaD//fabI//mltD//rimL//holA//
GO_0006072_6	dnaC//gmhB//cirA//rihC//acs//
GO_0006073_6	mnmA//malY//ycbX//mltF//caiE//ilvD//rhmR//abgT//ymdB//zupT//mutH//slyA//pinR//deoA//mrr//tusD//ubiI//yqaA//ratA//kdpF//
GO_0006081_4	chbR//htpX//mcbR//pflC//agaA//selD//dhaR//proS//phnK//yedL//yehZ//rbsA//mfd//yjjQ//ynfK//nimT//mraY//bhsA//yfcS//cca//ybiA//ccmG//murR//ycgV//sxy//folX//manA//dosP//ttcA//rnpA//mdtB//ydbK//prkB//yihO//mdtL//comR//malS//rssB//pabA//yihT//ftsB//cusB//pck//dcyD//ynbD//kgtP//sfmH//insI4//uxaA//cpoB//fpr//cirA//atoS//yfbR//nanK//uspE//yiaA//yciE//yoeE//rfaD//artQ//chpB//patZ//ydcO//etk//yebG//cytR//
GO_0006082_4	deaD//lpcA//envR//deoA//mdtC//hcaC//galK//dfp//yebS//cof//yobF//yagE//fabH//yejB//thrS//ribA//puuD//yhcH//ravA//arnE//sbcB//ogt//gspI//mnmG//yadM//thiC//frvR//agaI//lapA//recT//dinD//ybaT//narI//wbbK//ulaD//ynbB//otsA//dppB//rbsD//ydjK//csgE//tesB//rplM//nagA//panF//gsiC//ihfB//allD//ldrA//yhjR//baeS//arnD//yadV//flgB//gnd//tusE//glnL//yidA//dmsB//yjbB//ptsG//narX//pgaD//sohB//aceA//rfaG//yiaF//yfdK//mdlB//sdiA//ybaE//nirD//fhuB//nlpE//dapA//kup//yiiE//ybhJ//rhaM//prmC//nadK//kefG//nikD//caiT//malE//dbpA//murA//aidB//gntU//sgcB//glyA//selD//argB//yiaN//arsR//cyoB//pflB//adhE//intZ//hflC//iraD//insB-2//mprA//nirB//kgtP//hemN//dkgA//hcaD//ftsK//pspG//yciG//acrA//bioA//mnaT//focA//pphB//ygcO//chiP//rplW//lpoB//yghB//bhsA//pagP//cycA//cspG//narZ//rimI//insH-6//artI//cas1//arcC//hflK//glxK//rnd//lgoD//ymfK//htpX//nrfC//ybiJ//scpC//glsB//gcl//pth//trmI//adk//gsiC//yciE//menH//ggt//tsaD//fumB//mraY//ddpA//fsr//osmY//hslJ//yagI//melB//putP//dgoR//pinR//fdnH//glvB//rlmE//dsbC//mdtB//glnE//yihP//mnmE//yqaE//yehY//cspG//garK//rzoD//manY//thiG//dmsC//araE//wbbK//lepA//citG//dxr//topB//iraD//mglA//dgcJ//ilvM//priA//yeiG//yidD//rcsB//ykgF//hcaT//secM//tatD//rcdA//rplQ//cutA//pgaD//nagZ//rpsK//mglA//acpT//ldtC//ivbL//phoU//tap//kdsA//ftsL//rpsR//nimR//fkpA//lolA//hupB//ybiY//waaQ//tdcG//pdeK//cysS//nrfD//pbpC//napB//motA//tig//pabC//yeiG//cusF//sugE//malY//mtlR//dicB//fliZ//kbaZ//clpA//mpaA//plsB//trpR//rsmF//djlC//yajL//fdrA//ydfD//ibsC//araA//apaH//minC//glnE//alaE//bssR//nsrR//yedL//fimZ//fepD//ribD//yfeD//malZ//ycaN//ybiO//lpcA//sdiA//menF//mpaA//ycbX//glpR//coaA//opgH//yieH//betB//feaB//rho//rcsA//zapD//yaaY//mrcB//map//pmbA//mhpC//rstB//lysA//proA//opgB//opgD//artI//allS//tsf//yhaC//gltB//yddL//ycbB//umpH//lpoB//ypdA//entA//yiaN//epmC//putP//casA//degQ//leuS//rlmE//ydcS//yceK//rbbA//nagD//yddA//ymgC//chbR//opgD//casC//soxR//ycbB//abgR//def//rplN//lpxP//yibT//fieF//dnaB//yciV//chaC//hflC//hslO//gshA//lysS//flhD//glxK//yhfS//zapA//manZ//wzc//cdd//dnaA//rfbX//ihfA//rfaC//kilR//glnB//sdhE//frwB//yoaA//dapD//nirC//polB//mlaB//azoR//kefF//ydiQ//ileS//ftsZ//priA//hemL//betI//adhP//hcaC//ubiH//nrfB//yiaM//rplW//zinT//otsA//fnr//gcvH//btuR//ychO//pdxB//mgsA//rffT//tdcR//mngR//atpD//hprS//trmD//acnA//rpsH//ppiD//ydeE//hofN//trkG//nrfD//gcl//rimI//glnH//serS//yahD//gatA//cusR//gcvP//lldR//ubiJ//yqjH//aaeR//rluE//ybjI//eutA//pgaA//sdhD//ybgP//hdeA//narP//pheP//cra//uxaB//gatB//lpoB//bisC//erfK//rpmF//pitA//uidC//bcsA//adiC//ispB//exbD//rmuC//ampD//bacA//yfhM//ykgA//tdk//rcnB//yehC//yobF//arsR//panC//betA//proW//mgtL//cobC//metL//yraI//prpR//dam//fliS//ddlA//lptA//emrD//rne//tauA//leuS//flgM//ycgR//napC//pdxA//csrD//malE//rclR//ydjJ//lpd//rbbA//cysI//trpS//marR//mtn//kilR//smrA//mcrB//pgaA//ydiQ//uspE//ybcL//
GO_0006083_6	pfkA//yhhY//kdpE//eco//glgX//yhjA//
GO_0006084_6	hicA//lsrA//
GO_0006085_7	dacB//adk//
GO_0006086_8	fimF//
GO_0006089_5	sufS//ybhF//hdhA//lrp//psd//ugpE//csdE//mhpC//yqcC//argH//kdpF//mutS//glnK//bhsA//tsgA//tdcF//murI//tag//surA//thiG//preT//treR//mtnN//gapA//ispF//ybdM//queF//flgH//phnH//
GO_0006090_8	rfaG//flgE//ubiH//iclR//ybhF//oxc//afuC//xisE//lysC//secY//alsB//katE//dkgA//topB//ppk//ade//yeeO//yfbV//thrS//hemB//ttdB//ypdA//ycbB//gntR//infB//flgA//sulA//dpiA//eno//fbaA//aldA//
GO_0006091_4	glnS//gadB//ugpB//nrfA//tnaC//cmtB//glpA//tbpA//cstA//uxaB//nuoB//leuD//moaA//fimI//yhgH//ynjD//cpoB//yciE//rhaA//lsrC//yjjX//rpmB//surA//arnB//yggW//dmlR//csgF//katG//nagZ//rpoE//add//mlaB//trpA//panB//rpoS//nudC//motA//accC//pyrD//rhaD//ydhC//yebC//ybhG//yfcG//nanC//rsfS//yqgF//emrY//yihU//cvrA//nuoL//atoS//agaW//rbsK//kdpA//yieE//emrY//mtr//rihA//gpt//sgbH//flgM//idnD//cbrC//yagU//gltD//pdxH//gor//dppD//purL//kgtP//yeaE//sbmC//rbfA//fdnH//aidB//gsiA//yagI//insE-1//sgcA//gmd//ydhC//csiD//rsmC//yggW//ftsE//argF//folD//trmB//epmA//araA//tsx//yddA//aceA//rnr//soxR//nirD//thiD//ibpA//rplT//luxS//cvrA//gatB//cytR//ushA//sad//rsuA//ampH//cspB//bhsA//yejA//yqjA//
GO_0006094_7	menC//sapA//gpp//ldrD//yjiR//hisB//ettA//abgR//insI4//yneL//
GO_0006096_6	yahF//queE//kefB//fabA//betA//betT//fsr//wecA//aroA//dusB//entB//ptrA//aslB//pbpC//ssuE//nanE//gfcE//rbbA//
GO_0006097_5	yajR//narX//yciA//yeeA//eutB//
GO_0006098_6	sgbU//ulaF//yicJ//rclR//lgoD//
GO_0006099_4	srmB//cysD//pdxA//gyrB//yjhB//nudG//ynhF//pdhR//pstA//trmB//ssuD//hycB//elbB//chbA//ydiZ//cynX//cyoD//
GO_0006101_6	clcB//dinB//rpnD//pncB//rlmB//nrdB//der//pinE//pgsA//tldD//hemH//ispF//yjiA//yebK//oxc//hisF//iap//
GO_0006103_5	cstA//ppiA//rnc//
GO_0006104_6	asr//waaY//wza//
GO_0006105_5	sucA//hypF//rnlA//nagD//ldtA//cobC//dacA//lptA//
GO_0006106_8	yfeR//
GO_0006107_8	rusA//
GO_0006108_8	clpS//mutH//ruvB//prs//yfiE//
GO_0006109_6	yefM//oppB//torD//tonB//nagK//nrdH//rhaR//frvB//ydiK//
GO_0006112_5	fiu//bioD2//recB//ompG//yibT//puuD//xthA//yadG//
GO_0006113_5	bioB//uxuR//glnL//insB-4//ybgI//rplE//yojI//ycjP//pyrG//dkgA//abgA//sfmF//nuoH//
GO_0006115_6	ycaN//
GO_0006117_5	mtlD//
GO_0006124_6	ybiW//
