#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tar//glk//dgoR//sapD//
GO_0000453_8	mdtB//gspI//yehB//waaY//casA//
GO_0000455_9	modA//ttdT//ykfI//hfq//ybjC//opgC//tap//
GO_0000462_11	relB//pinQ//
GO_0000469_8	ydiF//
GO_0000470_10	atpA//
GO_0000478_9	glvC//
GO_0000715_6	csgF//
GO_0000716_7	fdhE//
GO_0000724_8	ttdT//
GO_0000725_7	iap//ybbY//dgcE//tdcR//tabA//ulaF//
GO_0000726_7	hchA//
GO_0000731_7	hybD//speD//lptE//cynX//ftsI//gsiB//ydiF//
GO_0000737_7	wecC//
GO_0000738_7	ompL//prc//ygeX//
GO_0000746_4	ygjR//
GO_0000820_7	yidC//
GO_0000902_5	clcA//
GO_0000910_4	arnA//tonB//arnA//rapA//ddlA//yjhI//purL//tdcC//cspI//ddlB//frr//yefM//rpsK//yraR//nuoM//mtlR//hypB//nfo//
GO_0000917_6	tpx//sodC//clpA//yfcR//acrD//
GO_0000918_6	cusB//prfB//yraN//queD//
GO_0000920_3	trmJ//ttdA//alpA//rluD//gsiD//
GO_0000921_6	leuO//
GO_0000966_8	ada//ycaN//yahN//aaeA//
GO_0000967_10	ispB//crp//yciH//
GO_0001101_4	prpD//nei//ubiC//ulaG//dgcQ//csgB//torR//paaG//lsrA//ybbN//mtlA//dtpA//mdtQ//nhaA//yfbU//zupT//rlmG//rplD//mdtA//yqeG//insI-1//flgC//cra//ssuD//secG//ydcT//
GO_0001121_7	yfeD//sufE//
GO_0001123_8	fdhF//
GO_0001124_8	cbrA//
GO_0001407_7	ftnA//ccmF//talB//maa//
GO_0001505_4	feoA//cbl//ybjI//ybfE//yggX//ypdI//oppF//pyrE//adiA//csrA//modA//lolB//radA//patA//proQ//gcvR//
GO_0001510_5	infC//gntT//rpmE//cca//pdeK//caiD//yaaJ//yajQ//hcaR//menF//yneJ//yegV//cueR//metN//mscL//idnO//yhhZ//thiH//yddL//hxpA//uof//nanS//bdcR//pgaA//argA//glnK//abgB//yggW//patZ//xdhB//thiL//modB//napC//ftsY//ulaC//frr//ftsA//yehP//bglA//paaD//
GO_0001514_8	gpmA//
GO_0001522_7	truA//napC//menI//seqA//purC//sbcC//uvrY//pyrL//epmC//lpoA//hybC//umpH//preT//
GO_0001539_4	citE//leuA//thrB//ybjG//wcaB//mdlA//ptsH//eamB//xylF//yghW//fliS//cspG//yfaU//rhaT//elfG//rdgB//ybiV//tyrA//ubiF//dapF//lysR//folX//yoeE//ygfI//ytfQ//lgoR//psuG//ftsB//lgt//yfiR//pnp//
GO_0001558_5	ftnA//prlC//atoS//ycaN//ygbI//fliT//cheA//ddpX//
GO_0001561_6	ynbD//
GO_0001666_4	uxaA//
GO_0001676_6	mlaC//ldtE//cutC//
GO_0001680_11	yoaA//
GO_0001682_11	rzoR//
GO_0001731_7	hcaF//
GO_0001762_6	yqhD//
GO_0001887_4	cpdB//chbF//lldD//
GO_0001896_5	ompR//lpp//surA//dctR//
GO_0001907_5	fryC//ompG//insK//tar//
GO_0001932_8	ptrA//frlR//
GO_0001934_9	tauA//
GO_0002047_6	phoR//hscA//
GO_0002097_8	dctR//fetB//cfa//selU//recO//ybjI//yqaE//yfcQ//ampE//mhpB//appY//yadC//rpmC//srkA//mepM//phnL//ampE//mobA//glcC//
GO_0002098_9	acnA//ybjX//rbsB//exbB//mtlD//pfkB//ykgA//waaG//bamD//dnaG//glyS//yhjG//alsB//
GO_0002099_9	pdxA//zipA//
GO_0002100_9	lpd//
GO_0002101_9	fimA//agaW//
GO_0002128_7	ravA//dicC//mtnN//moaE//
GO_0002130_8	nuoB//
GO_0002131_9	paaX//
GO_0002132_9	ygaZ//
GO_0002136_10	mdtP//
GO_0002143_9	sfsA//ackA//yjcO//yhjB//rpoA//pldB//
GO_0002181_7	purC//ybcF//
GO_0002183_5	adeP//
GO_0002184_8	aspC//
GO_0002188_6	ybdR//
GO_0002190_6	folX//
GO_0002192_8	gsiD//
GO_0002252_3	cspB//cysK//frvA//mrcA//dacA//kch//menH//yidZ//cspG//fabB//
GO_0002790_6	yjjG//flgD//yhbY//yqjA//tsaE//ybdO//lspA//
GO_0002937_9	ascF//
GO_0002938_8	ssuB//
GO_0002939_7	yqeA//
GO_0002943_8	guaA//
GO_0002949_8	gatZ//sapF//ribF//arfB//
GO_0003333_7	nadD//recG//fecD//rpmA//mdtJ//yghO//evgS//gmhB//gdhA//ypdB//rplI//yghB//mntP//cpdB//stpA//ompA//yahK//kefF//dgt//ubiI//cusR//smpB//fpr//azoR//insI1//gpr//plaP//glvC//bcsA//yggT//flgM//fdhD//djlC//mdtN//pdhR//minC//flgF//fepB//waaZ//yadV//ygfX//fruA//soxR//relA//yiaB//ratA//clpP//ligA//xanP//
GO_0005975_4	minE//sucD//kdgR//napC//msrA//cyoB//wcaJ//kilR//yfhM//agaA//ynbB//feoC//dtpB//priA//gatD//mhpD//ydaC//frwB//arnA//rzpR//intS//ubiJ//cyoC//ilvC//fliS//hcaE//yieF//pdeF//yhjX//zntR//cdh//glcB//yqiJ//mutS//proV//yfeX//dtd//murJ//epmA//mngB//yibT//mdtC//atoS//yagI//uxaB//yjhC//wcaJ//yraR//yahD//gltP//menB//treF//aspS//recO//sdhC//gltI//putP//artP//lpoA//macA//aroA//cheZ//paaX//creB//yfdG//murG//thrS//shiA//cusA//fhlA//nuoF//plsC//mngB//yddL//murJ//tdcC//btuC//yraR//ybcM//accD//fliM//asd//lgt//cfa//bioD//umuC//tufB//ssuD//yebZ//leuO//fes//queG//mdtA//artI//lpoB//ygjK//tcyP//dhaK//frmR//fadR//yiaF//hfq//paaZ//ghxP//gntP//mngB//tonB//bssR//waaG//tolC//cecR//glyA//fadL//phnH//yefM//bcr//yidH//atoC//yhjB//adiY//chbG//yicJ//slmA//prmA//aroA//grcA//ghxQ//ecpR//ybiA//sucD//pphB//cysB//narU//malP//argF//mutS//yhcN//insB-2//hofO//tyrS//yqhC//rffG//sppA//gadA//garK//metF//accD//ileS//mutT//pdeL//wzyE//yrfG//rseB//aroE//thrA//wzzB//sad//purL//trmJ//yqgF//yddM//xylB//adeD//torI//moeB//yggF//secB//cpsG//ybhJ//yrfG//zapE//xylR//cvpA//dnaA//ampE//folE//yjiM//mlaE//rarD//borD//aphA//lysP//rplK//kdpB//cra//bglH//rfaH//ykgF//pgk//eutA//mmuP//yaaY//malZ//yedF//ynaI//mscS//emrY//ybaK//yfhM//pabA//ybiA//yggX//torA//thiC//cynX//ubiF//trpR//ilvE//fdx//tgt//gltS//kup//soxS//idnK//prfC//potE//yehZ//frlC//folD//rseP//rclC//yahF//ccmA//yfaL//dgcZ//uvrA//kbp//hslR//thyA//lrp//rutF//prs//ybiH//carB//nrdR//dinI//znuA//yrfG//sbcD//dnaC//lplA//maoP//holB//arnA//luxS//ybgQ//rpoE//mtgA//wecB//yfcV//gsiC//nuoH//paaZ//ebgR//
GO_0005976_5	ygeW//lgoT//btuR//bioC//dcuB//xylH//cdaR//secD//srlE//tmcA//lptD//otsA//hdfR//wbbK//rhtB//yggF//rnb//yajD//waaS//frwB//ybaL//pepD//sgcA//gudP//gatD//mhpR//yijE//mukB//cmoA//fliZ//cusR//cvrA//kdsB//recQ//hscC//dhaL//opgC//epmC//araB//yfdG//uxuA//kdsA//ssuE//ydeI//mmuP//frwC//rfe//narI//potE//fucP//fadA//gltI//leuS//bepA//fadI//ydaN//rcsF//dbpA//sapA//
GO_0005977_6	sgbH//ybiX//yeeA//grcA//gatB//yaiP//uvrA//selA//
GO_0005978_7	yjjQ//scpB//agaV//wzzB//
GO_0005979_8	agp//
GO_0005980_7	glcB//narG//ymfA//
GO_0005981_7	rpsJ//
GO_0005984_5	chbA//lnt//dnaC//dacC//yddL//sxy//hrsA//nrfE//xapA//aceK//tktB//
GO_0005985_6	symE//
GO_0005986_7	msrA//
GO_0005988_6	yieF//rffT//
GO_0005990_7	mpaA//fruK//
GO_0005991_6	pitB//ykgO//lsrC//mhpB//yghU//
GO_0005992_7	idi//yqeG//
GO_0005993_7	sgbH//tmcA//dadA//
GO_0005994_6	cobT//
GO_0005995_7	csgD//
GO_0005996_4	dgcF//eutN//rnc//fur//aspA//rplO//minC//melA//pnp//hxpB//recA//tolA//csiD//comR//ftsZ//opgD//folP//fis//alaS//rplN//slmA//purU//atpA//uspF//nadE//glnD//ccmF//selU//yehW//entF//xerD//phnL//ssb//fruB//opgB//nrfA//phoA//ubiG//pinQ//aroC//bioA//solA//ftsN//accA//apt//puuA//patD//yhjD//sfmH//insA-1//sseA//yebQ//rof//dsbG//ccmG//yejE//rplY//alsE//galU//hslR//fimC//pck//cpxA//deaD//ykfM//rnhA//waaZ//tusE//ftsZ//flgF//hflD//rutE//idnT//agaR//fadL//hinT//torY//cyoB//yjtD//kefF//phoP//clpB//
GO_0005997_6	ttdT//
GO_0005998_7	alsA//
GO_0006000_6	umuC//dicA//phoR//
GO_0006001_7	greA//gstA//
GO_0006002_5	ydfD//hypD//btuF//
GO_0006004_6	mngA//solA//yejE//cheA//puuE//rraA//
GO_0006006_6	napA//rpsI//skp//secE//flgC//lptG//mhpT//ycaN//wecA//yqjH//nagE//bioB//fadD//waaY//hokB//rpsD//proA//srlB//eptC//ppsR//gntU//rpsJ//cobS//
GO_0006007_7	rplC//fimI//gppA//
GO_0006011_5	gloB//
GO_0006012_6	yidE//gyrA//hisG//yfhH//mgtA//cbtA//dcuS//malQ//dicB//
GO_0006013_6	kefC//mdh//
GO_0006014_6	rutB//htrE//ygeX//
GO_0006015_7	kdsD//ligB//
GO_0006020_5	rnpA//
GO_0006022_5	nrfA//yhdH//gatZ//metF//galU//thiC//mdlB//iaaA//frvB//rpsI//rpnC//groS//flhE//aroE//yfcR//yghO//tehA//bglB//fryA//baeR//glnS//seqA//fimZ//nrfB//pepB//bglH//atoC//yadI//yceO//prpB//frlR//insH-6//sapA//yhjR//ogt//exbB//gspF//iscX//hypE//citC//cedA//dtpD//wecC//ybhD//ahpC//panC//nudC//gcvT//evgA//cynS//bioF//atpC//murG//araF//ulaR//dadA//rssB//phnM//dam//fbaA//yahI//yidR//nth//
GO_0006023_6	yciT//rluC//rutA//alr//sfmD//arcC//glpT//lexA//abpA//galF//dnaN//secD//ddpX//atpC//gatD//alsA//appA//lpd//trpS//arcC//cbeA//bdm//yggF//copA//msrA//hscA//yfdS//pncB//murP//pabB//norV//mdfA//nagC//dsdC//yigB//ldrA//gyrA//sstT//queF//
GO_0006024_7	cydB//frr//xerD//prpC//glsA//murJ//dapA//glxK//arfA//narK//lasT//yjjB//zapE//sdiA//fucA//nikR//ada//ymgA//rimK//ybjN//ygdG//tadA//potE//atpF//pbpG//tolB//cobB//ydiK//ybgI//pgaB//pabC//ydiR//hisF//yadG//fliG//sbmA//speE//ssuE//yaiW//
GO_0006026_6	ruvB//rpiR//hfq//yhjB//entD//lgoD//yifB//gcvH//aroE//sbcB//
GO_0006027_7	rfaF//lysU//sdhD//ypjD//rnhB//hexR//sdaB//pyrB//epd//casB//
GO_0006040_5	sulA//rhtA//waaZ//trpC//nimR//fadA//sugE//gcvA//recD//fliS//ssb//thiE//nikC//mntH//ygjH//nrdI//ydcP//
GO_0006044_7	hsdM//fadR//prfA//ibpB//yjeI//
GO_0006046_8	yahO//gadB//waaO//insB-4//
GO_0006047_5	ydjK//hemB//yebQ//yfaX//yagJ//ilvL//ybeQ//
GO_0006048_6	atpB//hsdR//cbrC//tomB//ebgR//lpxC//
GO_0006050_6	glnH//
GO_0006051_7	eamA//
GO_0006053_8	ccmE//
GO_0006054_6	elaA//dgcF//arcA//ppiA//frlA//luxS//slmA//
GO_0006056_6	dtpB//
GO_0006057_7	ecpR//
GO_0006059_6	dusC//ybcC//yahF//pyrC//
GO_0006060_7	leuO//
GO_0006062_8	nagA//
GO_0006063_5	yjiY//tamB//ydiP//ptsH//rplL//alsA//purA//holB//yfiC//
GO_0006064_6	prc//cra//aldA//ptsI//asnB//dgcZ//
GO_0006066_4	ychO//marR//kdpF//ldrD//rtcB//yaiW//bfr//rpsP//ubiE//caiE//yjjU//aaeA//ybhP//srlD//ispG//yadK//nanC//cydA//ccmE//bioH//ypjD//btuD//nhaR//xapA//pdxA//ygaZ//araG//tdcG//alaE//yohC//lapA//essD//
GO_0006067_6	adiC//ftsW//purU//
GO_0006071_6	aaeA//yiaO//yhcF//lhr//ccmC//nadA//mlaC//
GO_0006072_6	gadE//gadE//dinB//intZ//mrp//
GO_0006073_6	chiP//wzzE//yeaD//yqiI//csrD//dinJ//rbsD//yihR//yadG//purR//vsr//rpoS//aldA//emrB//ydiK//valS//yfbR//plaP//djlC//nikA//
GO_0006081_4	ybhG//yhcH//fadE//folA//nadC//rsfS//treR//efeO//bioD2//fiu//hsrA//yehD//rimP//fliA//yibT//yfcR//ygeV//metF//proW//lsrG//frlR//yehW//dnaB//slmA//bluR//nuoI//ddlB//mrcA//lsrG//cmoM//clpB//mraZ//yfdC//poxB//gcvA//ykgO//glgS//yigL//pepT//clpA//bioD//aidB//nhaB//ydiR//rbsD//pgaB//potA//fmt//degQ//rcsF//prpB//gspE//rseC//mhpC//ompG//cvpA//rpmG//yfiC//artI//tdcF//cydB//pdeF//nfuA//yjbH//fepE//yfaL//yqeA//
GO_0006082_4	murG//eamB//citC//sucC//patA//torD//cpsG//nikC//puuR//lysO//iscR//ybaL//abpA//fimE//hycB//groS//psd//flgD//torC//lepA//atpB//xylB//infC//glsA1//fadR//rlpA//purB//fiu//yciT//opgG//yojI//bioD2//serB//yqiH//cpdA//ydfK//ibaG//lsrD//tatA//yidR//modB//hofN//yfaL//deoR//phnL//uvrC//ydcO//yhhY//pyrE//torI//yhjB//narV//iscR//insK//dgoD//bglA//yihV//sgbH//yobA//nudC//eutB//argA//oxyR//dam//insH-5//ydhK//mhpR//ybdR//mnmG//kdsA//gcvP//yohC//metB//yhaM//ibsA//yrbG//sdiA//fmt//katE//pyrL//rlmD//bioF//dcuD//amtB//ynjA//yfiE//scpC//recA//yhfK//ulaC//waaZ//ykgA//yidE//tdcG//ycgR//gsiC//ybcF//pepA//livK//ubiH//ycjD//allR//sapF//glpT//ppk//def//icd//nuoF//lgoR//mdtP//yidQ//xylA//proV//mlaE//yahD//yggE//arcC//mcrA//hisH//nrfG//priA//nhaA//ribC//trmO//ghoT//ydiB//yafC//sbmC//mhpC//lgoD//yadI//cho//mutM//ydcO//hcaD//nrdD//ybjX//tatC//glpR//cpxR//paaK//pstA//kduI//trpS//agaB//ydjE//marA//cueR//gadX//aceA//cspD//bioD2//yeaG//torS//gfcE//gph//map//ygbM//paaH//plaP//iraP//ydiF//cueO//selU//dusC//fadE//tsr//guaB//feaB//rlmA//ubiA//djlC//ccmH//ompT//yjeH//aidB//nrdA//yfiE//tolR//ddpA//macA//phoA//wzzB//ybhA//dsbA//azoR//gntU//eamB//menC//narW//pdxJ//rpiB//ynjA//gyrB//sxy//elfD//dgoA//elyC//fabD//mdlA//ydcR//acrB//slyD//mcrA//eutN//glcF//entD//cyoA//agaI//thiI//ygaH//ybiY//yphC//ssuB//mdtC//idi//ompT//iaaA//hscA//rpmC//lptF//yggW//cusA//envZ//pgi//mrp//amiD//hslJ//ymfK//tcyL//dsbG//hemD//dut//yobA//mmuP//hcaT//yqaE//rcsF//fiu//yihR//rbn//yigL//allR//yqiI//modB//holB//gltD//miaB//eptA//ihfB//ugpC//manY//araE//hyaA//fkpA//rlmH//entC//rsmD//dnaG//rutD//acrE//gatA//hemA//fabH//cysK//tig//fadM//mhpC//cra//manZ//atoB//zipA//iap//hslJ//rplC//rcnB//aroF//yfbS//ribB//yadM//sodC//rlmA//btuE//btuE//hyaA//tatB//murQ//epmA//rpnD//mngB//bcp//glcF//ttcA//ynaI//hcaR//crr//hdfR//napC//malF//orn//murE//mdtN//ybiH//fliZ//yqaA//ydjJ//bioP//hxpA//flgF//shoB//trmO//rluD//ftsL//ldhA//abpA//gstA//fadL//insK//yidL//deoC//prlC//ydaV//metH//yebS//yjiM//caiF//yjhI//asd//ybcF//mdtK//sugE//cheA//yeiL//sugE//hda//cysG//parE//insK//yjeI//sutR//talB//atoB//glgA//ilvA//rpoA//cheA//oppA//cysE//hisA//sppA//rplY//yraR//sucD//yfeO//proQ//fepB//norW//gyrA//kbp//hicA//yaaA//ibsE//rpsJ//truC//insF-1//mtr//argA//mdoG//yebK//proV//ubiG//ydjE//frlA//ybiH//metF//rdgB//ycjY//rzpR//mcrB//proX//aroK//glmM//polA//acs//rpiB//ygfZ//yahD//manZ//adiA//tpx//gdhA//cfa//yhgH//agaW//ydfK//yaaU//rnb//hfq//araH//zitB//astB//rpsQ//yajR//rhaM//hpf//efeO//ygfI//ybjD//purD//ompL//cvrA//dgcQ//nuoH//ribC//rho//caiD//oppF//nfuA//pbpG//tusE//nikD//bioH//prfC//fadB//yggW//ybiT//sodC//mdtM//dinJ//yneL//ydjE//yfeD//feoC//hipB//rsmH//mepH//aroF//ldhA//rlmM//fabZ//fucI//cbtA//tcyP//iclR//rne//ybdG//yhcN//kefB//yajL//cobT//yrfG//narW//ynhG//yjjQ//hyaD//yehU//evgS//rbn//agaB//hpf//
GO_0006083_6	cheR//cysA//frvA//arcC//pnuC//gcl//
GO_0006084_6	yphB//hisM//
GO_0006085_7	glrR//ompW//
GO_0006086_8	insA-1//
GO_0006089_5	idnK//ybhD//aroE//minC//mraY//parE//secM//sdhE//hcaT//ygjH//mnaT//yifB//hybG//fieF//ygcR//sapB//ftsQ//ldtC//amyA//emrB//cspG//uof//lptG//symE//fbaA//lon//yfiC//livJ//murC//
GO_0006090_8	rplK//yfeD//citT//hpt//nrdA//fnr//fumB//yodD//nrdG//cysM//cca//tauB//mraY//smpB//dnaJ//chpB//dhaL//macA//yfcP//trmL//insB-2//cpxP//hflC//narP//trmH//nfsB//aldB//dcp//dgt//emrB//acrA//
GO_0006091_4	cysE//panC//dadA//xerC//citX//ybaE//cynT//yieK//mtlD//frmB//glpG//pppA//frdC//relA//ccmF//casA//yjjU//mnaT//glgB//udp//clpS//ycaN//yhbX//yjhB//basR//mnmE//rhtB//yebS//nagC//uhpC//gluQ//araC//scpC//yoaA//queA//dhaK//rhaD//yqeF//rnlA//yhjG//osmF//nikD//ybaO//dgcM//argC//zraR//ruvC//yfbU//abpB//uof//abpB//yoaA//iaaA//tilS//yidD//bcsQ//araC//dnaT//csgD//groS//hofN//pdxH//yidK//ppiA//rffT//tbpA//ynbC//iscR//araC//mltF//ykfI//prfC//csdE//entE//iscR//caiT//mutT//pitB//fruK//purD//trmD//sgbE//yraR//potH//degQ//dppB//phnH//pnp//rclA//codB//gcvP//dppB//sfmD//ulaD//arfB//yeaG//dppC//minE//ppk//mnmC//ppk//dbpA//yjcE//ascB//yghB//ravA//mgtL//frvB//rsmF//yceO//dgkA//secB//
GO_0006094_7	citG//yihO//aspC//fryA//rrrQ//tdh//speG//hdeD//rutG//rutA//
GO_0006096_6	msrA//wecB//oxc//dtpC//pabA//zipA//thrB//arnE//mdtM//yfdK//nikA//gltK//gnsB//yjaA//uraA//rzpR//coaA//yebZ//
GO_0006097_5	yqiI//flhD//glcC//alaS//galT//
GO_0006098_6	ispH//paaB//rep//nrfE//dgcT//
GO_0006099_4	ppsR//oxyR//ymfK//roxA//hupB//fimH//hcaR//truD//argK//waaQ//focA//ada//yfcG//metI//rraA//shiA//mscL//
GO_0006101_6	fabZ//accC//mdtO//flgM//envR//ygcO//bglA//glcF//fdrA//glpK//iraM//sfmA//secD//cmk//metR//potI//oppB//
GO_0006103_5	hflK//elaA//trg//
GO_0006104_6	mprA//udp//proV//
GO_0006105_5	mrr//rayT//recB//hipA//uvrB//clpS//gabP//focA//
GO_0006106_8	cusF//
GO_0006107_8	rpsD//
GO_0006108_8	abgT//tolQ//aaeR//yghO//yfeD//
GO_0006109_6	mlaB//yfbU//fdhE//waaS//ratA//atpE//mntP//cadC//folA//
GO_0006112_5	pbpG//uxuR//icd//rbsB//cmtA//mreB//ugd//speF//
GO_0006113_5	yjfP//adiC//rna//paaK//ilvA//fepE//speB//hrpA//eptB//ubiH//gppA//yeeY//yajQ//
GO_0006115_6	ftnB//
GO_0006117_5	mhpD//
GO_0006124_6	yqaA//
