#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	eutR//fnr//cbrC//aroD//
GO_0006023_6	rdgB//rplS//yigL//glyS//ndk//rluD//exoX//mdtE//ddlB//fucP//yghG//leuD//fryB//kduD//gltP//yggN//era//amiD//cecR//rhtA//murR//fau//yihR//fetA//sucA//yaaA//glgS//dsdC//fliZ//tauC//allR//menA//narQ//rsmB//yhdJ//tcyP//gltS//mgsA//dps//
GO_0006024_7	tusE//rplS//dgoR//fabH//mlaB//glnH//pinQ//trmL//ykgA//recJ//mcbA//borD//rpsD//yfiF//elaD//aes//ihfB//pncB//ygiS//ugd//lsrK//aroH//ftsL//dhaK//cytR//yjhH//gabT//lptE//xdhB//rpsO//yjjV//uspE//dsbB//yggN//cysB//fucA//pphA//carB//yjaZ//
GO_0006026_6	sbmC//ccmD//qseB//ydjH//artJ//ttcA//speC//fdnH//yfaL//folP//
GO_0006027_7	rnhA//cheR//hemG//rlmL//narZ//asnS//oxyR//cdsA//fimC//accB//
GO_0006040_5	yfdK//norV//etk//mdfA//aroD//sstT//ghoS//rlmB//yiaT//nfsB//yhbY//pdeR//tnaC//envZ//glnE//yobA//osmE//
GO_0006044_7	insI-2//yjeH//fabZ//gatY//arnB//
GO_0006046_8	iscR//fur//rpiR//fepG//
GO_0006047_5	hdeA//yhaC//mtn//dgoD//cusS//yebQ//ptsP//
GO_0006048_6	tdcA//iraP//ftsI//fepA//wbbK//radD//
GO_0006050_6	yggP//
GO_0006051_7	yecS//
GO_0006053_8	yaiV//
GO_0006054_6	ybjN//waaC//hyaB//ccmD//hisS//xerD//hisD//
GO_0006056_6	gcd//
GO_0006057_7	aqpZ//
GO_0006059_6	ynhF//cho//ycdX//serC//
GO_0006060_7	ybhS//
GO_0006062_8	rplM//
GO_0006063_5	argF//agaI//metE//rpsR//yjtD//fepD//argA//acrE//mutM//
GO_0006064_6	polA//fixA//sdhA//uxuR//syd//caiE//
GO_0006066_4	pepB//dkgB//rbsC//ibsB//roxA//ilvM//lpoA//maeA//mzrA//acrA//hypE//yghO//nanA//polA//ruvB//mukB//queF//patA//yraI//csdE//rffM//gstB//waaZ//srmB//cusR//rlmJ//hsdR//coaA//ybhS//polB//gatZ//setA//
GO_0006067_6	umpH//caiF//ubiB//
GO_0006071_6	ydgA//paaD//rseP//murP//ampD//hofQ//ghoS//
GO_0006072_6	aspA//ugd//dhaL//sgrR//frlA//
GO_0006073_6	ytfE//ibaG//rclC//dnaJ//kilR//lptC//kbaZ//rfbX//nanT//tsaB//tufB//folC//mipA//yqjI//ydaN//menI//hypT//qorA//dmlR//cydC//
GO_0006081_4	adhP//tusE//ibpB//thrB//ldtA//yiaF//rfaD//mepA//uxuR//rcsF//zraR//pgaB//thiH//ybhG//trmI//lysR//nfsB//citE//opgG//rihC//lldR//ybiI//hofN//ycbU//yihT//rna//yneL//arcA//eamB//yifB//uxaA//narI//waaH//agaB//mdtP//murF//skp//mdtK//xylG//glvB//ybiH//ybhF//nikD//raiA//tusB//nadE//aroD//aroD//tdcR//yfiE//btuD//metB//yphC//glnP//artP//yaiW//frdC//ydiZ//hmp//dcyD//bcsA//yehC//acs//cas1//lsrG//fmt//yeiE//
GO_0006082_4	ydeO//secA//kdsB//tolA//hcaR//ygeA//metK//dgt//sufD//livG//zupT//hybO//insF-1//xylF//lpxL//ybjC//ilvD//cusA//bioC//gapA//yeaD//purR//cydD//truA//brnQ//ispF//yraJ//ybjI//yadK//flgG//cycA//fumB//trmA//pyrL//pheM//oppD//hsrA//yfeX//ftsB//menE//mhpC//ghoT//ccmG//sspA//apaH//gnsB//rpmJ//speA//hemB//argE//yciV//seqA//fabA//dppF//dut//yajO//glpF//yagI//menI//ccmD//rpoS//ybdO//leuA//murJ//paoC//yeaD//cheB//ynfK//gadB//xylB//aaeB//ycjW//mdtP//yneJ//yhbO//rcsF//ydiB//sgcA//yabI//btuB//yiaN//gspJ//yjbH//ycbX//yodD//narW//agaS//pal//bioP//dtpB//tehA//prmA//purT//ybgQ//tilS//dut//sbcD//phnG//yeaE//fruB//sfmH//gudD//cheR//ybaK//menC//iraP//fixB//truB//groS//rbsR//ydeI//trmB//gcvR//yohC//rplC//mnmE//putA//nuoI//actP//yfjV//uhpB//yhcD//yfgJ//ampD//rlmA//rhoL//fucO//sufS//ddpA//yidP//ycaN//amiB//rsmI//fucP//frdD//gstA//mzrA//nrdE//xylH//tsaC//acpS//yfcV//hexR//uof//insI-1//ycjQ//purN//cysD//yifB//gldA//uspB//mrr//atoC//pphB//glrR//yihW//ymjB//dsbA//rlmG//ompA//rrrD//gmhB//wzb//yfbS//yjhG//ecpR//dinD//ivbL//torA//mmuP//abgR//nemA//pbpC//ynfK//tufB//rapA//yicJ//yccA//prc//rcsA//yfcA//cedA//uspE//cnu//yqjH//mltD//pitA//rrrD//chbG//yafS//yceK//fsr//mscK//uup//zraR//atoS//fliA//uhpT//xapB//xylG//speG//sucB//ulaB//yeeL//dmlA//yggE//lpxT//yihO//araF//yijE//narY//tdcA//rhaT//nanE//torS//yfcR//gcvR//yebS//sgrT//dinJ//elfD//dcp//efeO//miaB//bolA//yhaJ//potI//ygjK//nirC//ybdG//ftp//narI//rclR//gloB//ydcP//tolB//uspF//apaH//yfeX//elbB//tufA//idnT//malK//gltI//ompT//dppF//cusR//ydhC//rapA//treC//aqpZ//gcd//purC//hflD//yobA//ypdF//fimZ//mdoG//rffH//puuB//rsmE//preA//ssb//gutM//scpB//glgS//argC//rluC//paaE//tnaB//metR//yeeJ//frdA//cyoA//ppiD//hycB//narJ//apaH//folC//dcuC//narQ//yadI//ppx//ulaF//metB//dnaK//ydaC//dcm//iraD//mioC//garP//hicA//adhP//hexR//curA//chbA//apaH//pgaB//acs//rpmG//pgpA//lon//tdcA//ybjI//gadA//lldP//elfC//tqsA//dacA//aroK//yafE//rplK//rplL//yajO//glmM//yhjR//cysS//rpsG//hypF//csgA//sgbH//htpG//ybhG//speB//trkG//mhpR//rihA//mliC//hypE//ychO//appB//yfbU//modC//yehZ//truA//agaS//ydaN//yihP//rutR//yafN//mutM//menE//dppC//hisM//rplQ//guaD//yraI//yjjV//sodC//moaB//btuR//dam//lamB//ugpA//macB//ubiJ//fliK//yhaV//tqsA//ynbD//dcuS//rpsE//mntR//cysQ//hsdM//malF//sufA//tyrB//yhbS//glnL//panD//flgG//ytfQ//tufB//erpA//crr//hisG//glnD//deoR//zntA//tdcG//yfdC//hcaF//dicA//clpS//crr//lsrD//hyaB//ecpR//pyrB//cptB//ybcJ//mglB//pykF//fliA//yehW//lpxP//bglB//glcA//rpmA//yhdX//patZ//oxc//lasT//ispH//kdsA//asmA//nadB//csiD//hrpA//hypF//ynfH//nimT//ydiQ//rpmJ//higB//topB//mrcA//yidR//thiM//eptB//sgrR//dnaK//ydcS//ompW//rseC//prs//potB//gadX//deoA//eutA//ybdO//essD//hokE//prlF//ygiS//yhjV//zwf//fabG//yqcC//dkgB//sfmA//gdhA//yfaU//yfcR//cusB//proS//sapA//yebC//arnB//sufA//ung//mppA//envC//ybfA//adeD//ldtA//ybhR//pth//yciA//
GO_0006083_6	ydjL//zapA//rhtA//hcaB//dcuC//map//
GO_0006084_6	pheS//yfjR//
GO_0006085_7	argT//aspC//
GO_0006086_8	kup//
GO_0006089_5	uxuA//rhlE//ydcR//nemR//cusS//dsdC//uspB//treF//gsiB//rseC//hdeB//rpsJ//fabI//insE-1//uraA//trpL//rluA//pbpG//gspI//trmA//rsmD//zapD//caiD//kdgT//rhtB//ynjD//yigL//tesB//rpnB//
GO_0006090_8	rhaA//lspA//ycfL//ydeE//metE//menH//citG//cspB//dacB//pspC//tcyP//recA//pgpC//cydA//dsbA//frmB//yefM//waaU//tyrS//ubiD//wecA//rnhA//artM//ppiA//pdxK//acrB//nagA//caiB//tolC//betT//lptD//
GO_0006091_4	csgG//yfaL//relA//melA//ykfI//glnH//rutA//pdeR//ygfZ//kefC//yjiM//gatY//zupT//ybeQ//ychF//cobC//rffG//mug//yjiX//arsB//hsrA//pinR//yehD//napD//gpt//yjfP//ascB//glnQ//yihV//pinQ//yfaL//cspD//xylE//ybdM//yfeO//bglJ//narQ//pgk//yfcR//phoR//yciT//trpS//setA//ampH//rpe//abpA//lepB//cbpM//waaH//rpoS//waaL//rbsD//ampG//yjjW//dacD//glxR//ddlA//dsdX//hofM//parC//lptC//phoR//recR//ibsC//caiE//intE//paaK//cysG//phoU//ghrB//ulaC//gudP//ybcJ//osmE//tcdA//gpmM//paoC//lacZ//frr//mngR//xapR//baeR//torC//yabI//pyrC//artQ//paaA//eamB//acrB//torZ//dctA//yegS//slyD//avtA//msrP//garK//mngB//glyA//mutT//rplF//cydB//prfA//yiaJ//maeA//psuG//manA//msrQ//dcuC//yedP//rlmJ//decR//secG//
GO_0006094_7	lgoR//menF//fmt//ygeR//ribB//purC//yiaF//rho//nlpE//ftsQ//
GO_0006096_6	oxc//solA//gloC//ymfK//proX//tusC//gnd//epd//ompC//malZ//glgA//nagC//rpmB//truA//fkpB//cusF//nepI//basS//
GO_0006097_5	mltA//topAI//xapA//ycjW//tap//
GO_0006098_6	ulaE//dcuR//potE//yibF//yraI//
GO_0006099_4	glxK//glnA//yfeX//cmoM//dnaA//garL//dhaL//ccmE//hisD//elfD//mprA//thrA//csrA//frvA//yedA//clsC//eptC//
GO_0006101_6	gyrB//psuG//yhbX//ypdI//lolE//bioD2//phnL//glcA//rpoS//sbp//secY//proC//surA//kdsA//cydD//glnK//rnlB//
GO_0006103_5	mtfA//ubiB//idnD//
GO_0006104_6	ilvL//leuS//prmB//
GO_0006105_5	pmbA//arsC//mepM//yiaU//sixA//idnD//tusD//fklB//
GO_0006106_8	htpX//
GO_0006107_8	truA//
GO_0006108_8	fdrA//yebK//kdpC//phnG//csgA//
GO_0006109_6	rutA//nhaB//ispH//cobU//nfuA//narQ//yjiM//garK//dppA//
GO_0006112_5	mobA//yfbR//holB//add//glpB//galF//mak//tgt//
GO_0006113_5	nuoF//yneE//alaC//alsA//apaH//ascF//appC//elfD//potC//brnQ//rsmD//rpmG//rpe//
GO_0006115_6	glpX//
GO_0006117_5	fdhE//
GO_0006124_6	hflK//
