#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	diaA//sapD//lsrK//ralR//
GO_0005975_4	mntR//ptrA//serS//ydiV//elfA//kdsA//gpr//yieH//rpsB//proC//ftsH//pyrL//ytfR//ydfH//pflC//dgcM//pstA//cheR//mdtI//ybgQ//prpR//truD//putP//yhcH//sgbU//phnK//rraA//metI//fadM//ccmE//tomB//gatA//idnT//waaC//barA//rnc//araH//edd//tdcR//mutS//yihT//ptsN//dgt//yiaT//ymjB//malY//tar//cydD//ygeW//ybhS//rpsE//nth//ppk//ydeE//opgC//leuA//tamB//dgcQ//phoU//yidC//paaB//nuoH//rbn//sanA//slt//cydC//prkB//ygdG//ydbD//rzoD//mak//phnH//sdaA//rfaB//ruvB//ettA//metF//ybaM//malY//mlaD//waaJ//thrL//ygeV//yehY//rbsD//tar//rplY//phnL//argF//lipB//rutB//pdeH//fucK//dfp//ihfB//nupC//atoC//uspB//rclA//panC//ratA//fucO//thrB//tyrR//nudG//yiiD//trpS//yfbR//pspA//astB//argS//livK//cadA//yibF//ratA//rluB//pykA//murB//ydeM//pyrD//ykgM//ulaR//mepM//recE//cheR//hypE//copA//napF//idnO//lpxD//galR//tdcB//ribC//hscA//aceB//hybA//ygaZ//gatY//yqcC//ydgA//yahK//treF//patA//ribB//polB//yfgO//yqeF//yagG//iscX//artJ//ppiA//ribF//hcaF//allR//mcbA//vsr//fbaA//rhsD//gloA//nusA//plaP//moaB//aldA//spoT//yfaV//phoR//narJ//yigB//malF//glpC//yrdA//adeQ//mdlB//hemA//glrK//arnE//waaL//tisB//rsmD//lpp//arsC//pflC//uxuA//cysA//pgaD//cyoC//elfG//napA//appC//gadA//holE//miaB//opgB//ybfA//cpdB//slt//vsr//metC//mgtA//sspA//eamA//rbsD//puuP//gcvH//surA//ptsN//gloB//caiB//phoR//kbaY//xseA//flgB//pinE//amiA//recN//thiI//lepA//hicA//ibsB//mreD//tufA//rtcR//relB//rstB//lldP//gspI//ynhG//cbeA//ccmG//bglJ//tdk//mutL//phnN//ybjL//metQ//ybiT//ybiH//clsB//ygcO//agaR//hisM//sapC//mcbR//gcvP//yadM//aaeR//pykF//mreB//ldtD//yihO//ldcC//tcyP//csdE//torZ//
GO_0005976_5	gsiB//ynhG//yhiM//tynA//yqaA//oppB//amiA//ybjG//afuC//cfa//tmcA//dgoK//yibH//yqiJ//cutC//yccX//ybdO//potB//manZ//selB//deoC//trpD//phnO//slyA//waaF//rraB//murA//flhD//rnr//lipA//recN//truC//ytfT//tolB//proS//yjhP//rrrD//cysB//agaD//nfsB//mraZ//helD//fimI//napF//arfA//cysN//treB//rpsJ//rlmG//wzzB//ybfE//tcyJ//sfmC//ghxQ//yohD//preT//ghxQ//ybbW//waaJ//
GO_0005977_6	otsB//xanQ//aes//ygjR//rayT//yiiD//yohD//zupT//
GO_0005978_7	sdaB//yihS//nuoI//gsiD//
GO_0005979_8	glnD//
GO_0005980_7	recX//yciA//waaU//
GO_0005981_7	yaiP//
GO_0005984_5	mqsA//csgF//yjiX//cysB//ppx//kduD//tamA//ybcL//upp//hyaC//rfaD//
GO_0005985_6	ycjY//
GO_0005986_7	mutL//
GO_0005988_6	rbsR//fadR//
GO_0005990_7	potG//ychO//
GO_0005991_6	add//pyrF//caiT//argF//nupX//
GO_0005992_7	carB//xseB//
GO_0005993_7	dgcN//gutQ//fucI//
GO_0005994_6	fetA//
GO_0005995_7	ydcR//
GO_0005996_4	tehA//tnaA//fes//fieF//dkgA//bglB//kefG//cpxA//yieF//rlmB//rfaQ//napA//ykfI//mscS//casB//sspB//epmA//tdh//cnu//waaL//speA//torS//fsr//ybhI//truB//fepE//yehX//pphA//menA//kduD//clpS//dkgA//osmF//nudB//evgA//ung//tmk//cbrC//secM//zapA//yhgH//tolB//endA//sfmF//cysH//lpxK//ykfM//ybhA//csrA//clsB//galE//acrF//rsmG//rlmB//cysB//infB//ompL//nupX//rlmB//trxA//ybgI//arsC//gapC//yajO//fadR//lpxH//hldE//hokB//cadA//yedF//nrdD//rpsK//citC//hcaC//mnmC//citG//leuS//endA//cdh//pspD//yegS//yjtD//
GO_0005997_6	abgT//
GO_0005998_7	kdgT//
GO_0006000_6	allR//dinI//hscC//
GO_0006001_7	fadR//recN//
GO_0006002_5	talB//yjaA//rpe//
GO_0006004_6	ygdG//btuC//cysB//hdfR//prmB//ynjD//
GO_0006006_6	yehX//citG//ampD//tdcC//hicB//hlyE//rsmA//mlaD//nmpC//hslO//rrrD//melR//torA//ptsN//mntP//yceD//ypjD//emrY//yraI//yjaA//kdpB//grxD//yneL//
GO_0006007_7	rplC//yihP//rpoS//
GO_0006011_5	pepQ//
GO_0006012_6	pcm//ccmG//tmk//aroP//atpF//ssuE//kdpE//mlaF//uvrB//
GO_0006013_6	ynhG//yafC//
GO_0006014_6	rplN//fetA//tgt//
GO_0006015_7	yihX//ftsK//
GO_0006020_5	gspE//
GO_0006022_5	deoA//artM//aldB//amiB//mutM//csgE//puuA//mepS//insA-2//ydeE//wcaB//zapD//fruK//uhpC//cyoB//mmuP//ompN//yjbG//yidH//mglC//kdpA//ispG//ssb//cusA//ihfA//ydiK//yiiE//lpp//ldrB//plaP//proA//tauC//rutG//alaS//ybiT//focA//raiA//tag//torY//holD//intQ//nudB//gltB//yaiW//lpxT//srlD//shoB//eutD//tolB//entF//purL//accA//ftsA//treC//yfaL//fliZ//fhuC//ftsK//nadE//ruvB//tilS//ybiV//yggN//
GO_0006023_6	ppiD//ybiI//yaaY//rfaE//speE//bluR//ilvE//narL//otsB//nudF//mhpR//hybB//paaD//sad//glnA//gyrA//polA//paaH//mdtC//citT//rpmB//ybcF//mntH//leuB//nuoB//livJ//lysS//aroK//dnaC//hyfC//fixA//rclC//bglX//nanR//ybgP//opgD//xapR//rffT//srlA//
GO_0006024_7	wzc//motA//cyaY//fucO//hscA//fixB//atpB//yfeX//eutA//fadE//ygbM//glnD//ppc//dosP//nadD//ybiW//fimI//ybfE//ybbW//trmH//fimF//mak//ompC//ybaQ//dcuR//rplJ//aaeR//livM//ftsZ//ygcW//idnD//rplM//sad//rpsN//yafN//insB-4//asnS//flgJ//gstB//
GO_0006026_6	zur//narU//mnaT//ssb//dosP//dusC//yraN//bioP//adiC//hybG//
GO_0006027_7	betB//tolC//bglA//panE//ybiV//tdh//hisH//lacI//adiA//xerC//
GO_0006040_5	fadL//ccmC//lptA//yebS//dapF//manX//uspG//lptC//thyA//nikE//yagJ//arnF//ptsH//ybaM//tyrA//ligB//rnc//
GO_0006044_7	metR//dgoT//gstB//der//slyD//
GO_0006046_8	yafC//tcyL//coaE//ilvI//
GO_0006047_5	cspG//opgE//nadD//proQ//mcrB//ybdH//groS//
GO_0006048_6	murC//mltD//tesB//rpoE//flgM//arfA//
GO_0006050_6	exbB//
GO_0006051_7	yifB//
GO_0006053_8	ychF//
GO_0006054_6	yaiV//lipA//ruvA//lgoD//yidZ//tdk//nei//
GO_0006056_6	nrfF//
GO_0006057_7	mreD//
GO_0006059_6	thiC//speA//treC//hdhA//
GO_0006060_7	amiB//
GO_0006062_8	wbbK//
GO_0006063_5	glcF//cyaY//tufB//mqsA//pinQ//aroE//rbsK//relA//thiE//
GO_0006064_6	mntP//yggP//argE//bamB//rspB//rep//
GO_0006066_4	holA//cpsG//tatE//arnB//yjhP//pmbA//nfi//entS//opgB//acpT//bioP//accB//glpB//ybjX//deoA//moaD//ybeF//nei//trmH//metG//yjbG//yiaT//tdcB//hrpA//lspA//rffM//fadD//leuC//glvB//chpS//folP//insK//
GO_0006067_6	potH//ldrB//dcp//
GO_0006071_6	plsB//arcC//ompL//dhaK//paaG//dgkA//chbB//
GO_0006072_6	sgbE//queC//iraD//rplN//murD//
GO_0006073_6	zraR//mcrB//sbmA//tauA//rhaR//hrsA//ygbM//rpiR//chbF//rplS//artM//dapB//ribA//tsaD//lgoD//yddL//citG//yhhZ//rpsA//flgF//
GO_0006081_4	uspC//gsiA//cysC//yagJ//ybiT//dcd//yjjX//uvrY//moaB//aroP//curA//atpB//fpr//rhtA//ydeO//envZ//proS//fieF//yccA//sodB//paaF//lapB//fadD//fklB//entD//gatY//ftsA//bhsA//fabR//dhaK//flgD//aceF//gabD//intQ//tomB//artQ//hisG//pcnB//rlmD//glsB//entD//uspF//gmd//aroE//ccmE//frwD//rzpD//ybiY//yeiG//iscS//yedP//ldtE//ydcI//rpoS//dcd//nhaR//astC//hemG//rluB//cysQ//ruvA//ybiO//norW//yahK//ompA//arnD//yehP//
GO_0006082_4	gloA//fimA//rhsD//acrB//yfdR//mdh//ycjQ//hinT//dnaK//galS//murP//fdoH//mlaE//acrF//yfcV//dinQ//sgcR//cdsA//yjfP//nagB//tsx//ydjE//nuoM//phnK//nanK//flgI//rsmC//hypT//tsgA//rfaE//yqjI//hprS//pitB//nemA//yhbS//yjjV//mdtC//mntR//thiC//hfq//ybiA//coaE//evgA//cbl//amiC//ybaK//phoQ//yaaU//nrfF//gatZ//torR//cyoD//yecS//nirC//ytfQ//melR//yfjR//ilvI//lepB//nrfD//cspA//higB//yqiG//murQ//mepM//aes//ridA//decR//hisF//degS//cheY//cydD//hupB//hokE//elfC//cusB//lysS//panZ//tdcG//ftsA//yccS//citE//sutR//yebC//ampH//intZ//rpmE//yqiI//alsB//nhaR//ugpC//hokB//pdxY//tusC//mdtF//sppA//tldD//yjbG//fre//fadJ//galF//envY//torI//yeaD//amiC//sapC//gntR//yhjA//frvB//rseP//mhpR//cutC//ybiS//emrB//eutN//opgC//rssA//rimJ//gpmM//waaP//ycbU//ubiC//yhcN//adeD//rutR//pckA//yneE//rffC//treB//proW//flgG//fecA//uhpC//hypC//yfcS//rplC//tap//ydfK//paaZ//yahK//tsaC//yahK//bluF//ldtC//malI//sixA//hybO//ykgO//pal//feoC//fliK//rtcB//prmA//speF//ldhA//greA//wzc//nhaA//dcuD//recQ//abpB//ygbN//potE//preA//fcl//yihI//glnB//tatA//ogrK//ycfJ//yjjW//gmhB//arnT//ibsD//nei//yhhZ//cobC//betB//elfG//gspF//pta//purR//yoaB//lplT//fbp//aas//nagZ//argS//sgcR//gudP//lsrK//pbpC//yhjA//sspA//clpP//ftnA//yihX//cspG//cadA//murE//fabD//uspF//ychH//rihC//yjbB//ribC//envR//ypdB//proX//asnB//torR//crl//miaA//yfbR//trmA//selU//frvA//dpiB//folA//tmk//ivbL//atoB//sfmH//fabH//wcaJ//insH-5//btuR//rffT//dcd//mmuP//sdhC//arsC//dcd//kdsB//ydjH//flgA//yqjH//rsmE//ghxP//ybaQ//hisB//dmsC//ugpC//ascF//icd//mhpR//ilvA//secB//pnuC//lpxL//lpxB//rplM//lipB//nanK//yieL//asnB//panF//cra//ttcA//yiiM//rmf//fiu//yjiX//betA//dnaE//trpR//puuE//intS//waaZ//ahr//iclR//nsrR//rcnB//pspA//greA//intA//torR//iscX//mtr//uhpB//srlD//hycA//gluQ//ycjQ//trpS//dcp//cmtB//intF//ahpC//hicA//yajQ//nfi//bepA//flgE//pstB//tcyJ//btuE//cynT//cysH//wcaJ//cbrA//narW//cyoB//ygfI//ibpB//recC//ompC//yhfS//cdd//sucD//puuA//ygiN//tcyL//mglA//ybdN//ynhF//basR//cmoB//ugpB//yaaY//yadG//pspF//ynjA//eptC//tbpA//tar//lpp//idi//hofO//ybbY//kch//katE//glk//gatA//yidD//hyfR//yejF//narU//mngB//modC//yddM//pgl//trpA//dsdX//recE//ycjP//srkA//rffH//yeiG//kdsB//cysE//mutM//uhpA//fimB//sgcR//cdsA//flgJ//yiiD//ybeQ//potE//nrdF//rfaB//metE//rimO//sthA//mlaF//torI//yoeB//deoA//trpB//ldtE//uidC//dacD//yfbR//hyaC//acrB//ydcR//ypdB//glsA1//potI//abpA//rlmM//ccmH//dppD//guaC//fkpA//dnaC//ygiB//dgcF//dnaQ//yeiG//pdeH//zapC//dnaA//thyA//phnJ//lsrK//hupA//dapB//dgcF//lit//ybhI//tilS//ivy//glnK//ybdH//pgrR//ppiA//tsaB//gloA//ynbC//yidR//ybhG//yihR//rhtC//uof//manZ//yehZ//infB//adiA//ilvI//borD//nagA//deoD//leuA//sbcC//hisG//sgcR//tatA//dsdX//yphF//rusA//mazF//pgrR//nrdD//ynfH//ybbN//hcaE//yraR//mreC//yjiQ//degP//appA//ycgB//phnI//ubiF//fucK//rlmH//glxR//cbrA//nuoE//pspG//hcaR//yegV//mnmC//tpiA//mazF//rhaA//adk//macA//
GO_0006083_6	yajO//bioD//ssuE//arnF//ydiP//fruK//
GO_0006084_6	clsC//yhbQ//
GO_0006085_7	rdgB//kbaY//
GO_0006086_8	sfmH//
GO_0006089_5	rpsQ//frvR//envZ//surA//gmhB//plsC//csrD//queC//perR//pepN//galM//efp//rssB//ansB//thrB//nrfF//ynbC//sugE//yghU//tauC//rpsD//ubiG//yraK//fimI//manY//mrdB//add//pgrR//yihO//
GO_0006090_8	aroP//fdhF//psuG//sspB//dfp//apt//ulaF//pmbA//speC//rplY//valS//ubiJ//nanS//atpF//yhjX//ybaO//thiL//chiP//panF//manZ//ccmD//pal//rpsJ//rfaC//cra//waaZ//wecA//ynjA//tolB//hisH//ycbX//
GO_0006091_4	yciK//ygaZ//apaH//eptA//purL//kefF//insI4//rpiR//yahN//prs//rpmB//secA//artM//ffh//chbB//ybcL//kdgK//ubiG//fepD//ydjH//yraJ//ydiP//prpC//araE//htpG//rpiA//yqjA//metQ//yhbS//truB//ravA//ilvB//insA-2//thrL//hisH//ygiB//yhbX//intS//rclB//cho//mipA//mfd//rssA//atoC//rnlA//secG//glxK//ulaD//yoaB//ppk//yebZ//thrA//hicA//cydD//ybiT//btuR//pntA//uhpC//tktB//flhC//ybbW//wcaB//yehB//garL//lit//lpd//holC//smpB//mglA//nrfG//yieE//glsA1//yghG//puuA//gpp//ubiH//rhlB//ybjI//citX//pykA//folA//cbrA//purR//cyaY//nusA//nudF//ulaR//yjbG//hybC//flhD//rfbB//aas//intZ//polA//frwD//yfgO//yhcH//opgD//yphD//tsf//rbsR//ulaF//sdhD//ccmH//guaB//caiB//setB//narX//topA//barA//gnsB//rpsR//
GO_0006094_7	patZ//ivy//rmf//dnaJ//prpD//gabT//fliD//fliS//yehC//flgI//
GO_0006096_6	nupX//lolB//murA//nanT//msrB//ftsN//cysI//nrfC//ybjG//frlA//malZ//paaJ//dcp//acrD//waaA//ada//yqgB//yphC//
GO_0006097_5	murQ//dnaB//acrR//trpGD//bglF//
GO_0006098_6	pepQ//hicA//thiC//pdxB//puuA//
GO_0006099_4	mglC//dacC//dmsA//yieE//speC//srlR//cmtA//dadA//frvA//yehU//gabP//cpxR//mtfA//radA//yggW//chbG//xylE//
GO_0006101_6	panF//hofO//uidR//dnaX//ribF//gsiA//yfeW//yijO//ldtD//rcsD//ydeO//baeS//metN//lasT//zupT//yfeX//glgS//
GO_0006103_5	mdtG//eutB//frmA//
GO_0006104_6	xseA//rpsE//yfdO//
GO_0006105_5	ribF//rcsA//hisQ//crl//elfG//mioC//yhbX//agaI//
GO_0006106_8	bsmA//
GO_0006107_8	flgG//
GO_0006108_8	tmk//tesB//rhlB//ogrK//phnO//
GO_0006109_6	rcnR//pncB//yeiE//cspB//mtfA//opgE//metF//ydiF//mdtN//
GO_0006112_5	gmk//kilR//ypdC//lepB//hfq//gspE//ribF//hslV//
GO_0006113_5	creC//ilvB//bolA//nuoN//mglB//yjiA//rpsN//yajQ//yhdJ//mdtO//flhA//mglA//rsmC//
GO_0006115_6	hyfC//
GO_0006117_5	cyoB//
GO_0006124_6	uvrC//
