#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rbsD//cobS//cysQ//ascB//
GO_0005976_5	amtB//rapZ//clpA//mutT//mdh//sugE//gutM//xylG//fabD//fepG//ppiC//ileS//modB//pabB//kbp//cadC//pagP//patZ//yjaA//slyA//narX//murA//eutB//dapD//yigB//nanR//casC//rffC//tauA//ydbK//arnD//clsC//luxS//pflB//yehW//folA//fryA//araB//relA//deoR//icd//tpiA//minE//ompR//elyC//ybjG//potI//yjiA//ibsC//insI3//cmk//ada//elfC//rcsC//npr//gltP//lplT//gpt//yieE//
GO_0005977_6	glpD//yedP//fimE//fdnI//rplC//yoaA//hokE//lasT//
GO_0005978_7	yqjI//flgE//ycjY//argT//
GO_0005979_8	lolE//
GO_0005980_7	ycgV//argC//rclR//
GO_0005981_7	rfbC//
GO_0005984_5	msrA//glnA//yfdC//nikC//mtgA//ilvL//mraZ//yafQ//trmH//araA//ypdA//
GO_0005985_6	yafO//
GO_0005986_7	pstB//
GO_0005988_6	thrL//waaB//
GO_0005990_7	lacI//mlaC//
GO_0005991_6	exbD//fiu//potE//hisB//holD//
GO_0005992_7	purL//parC//
GO_0005993_7	paaJ//serS//rlmF//
GO_0005994_6	fecC//
GO_0005995_7	mraY//
GO_0005996_4	insH-6//speC//ycdY//rhsD//cmoA//yadV//yjiR//murP//yidD//tnaC//pgm//artP//tauC//sbcC//bfr//panC//exbD//blc//glpC//wza//rluA//hybC//eptB//xerD//pntB//rlmD//araH//coaA//eno//yfcG//rplS//acrE//acrR//fhuD//yhjB//nth//yhhZ//yaaU//feaR//yfaU//thiH//hcaD//gdhA//arsR//qorA//hslJ//ygeW//yfhH//ribF//ompN//tolB//ybiA//rpnC//hfq//yqiI//flgC//pheS//ascB//suhB//rimM//yidK//cspI//galK//galU//lolB//argR//rplI//ybfE//ubiI//yieF//rna//purR//clpX//recA//aslB//glpA//ydiP//tap//ydiP//yoaB//malF//ycjQ//
GO_0005997_6	yhfS//
GO_0005998_7	topA//
GO_0006000_6	yeeJ//hcaR//fdhE//
GO_0006001_7	topA//rapZ//
GO_0006002_5	btuB//pyrH//ribA//
GO_0006004_6	glmU//afuC//rof//ilvB//marA//mnmG//
GO_0006006_6	uxuB//prfA//sdhC//hns//fkpA//fliL//xylB//ynaI//menA//yihP//eno//yneL//bluF//pflB//msrP//ybhA//lpxT//paaF//yegD//rsuA//rsmD//yjbH//glyA//
GO_0006007_7	eptC//sdhE//rplI//
GO_0006011_5	ycjU//
GO_0006012_6	rplS//casE//hypE//gadB//tonB//dgcQ//sfmC//serB//lysA//
GO_0006013_6	bioH//menI//
GO_0006014_6	cobU//yfdO//mug//
GO_0006015_7	yigB//lsrD//
GO_0006020_5	nhaA//
GO_0006022_5	puuD//ydcO//ybdM//insI3//dusB//aroK//yeiE//htrE//cysQ//hsdR//ftsH//atpC//nanC//deaD//asd//trmJ//gatY//yehB//cbtA//feaB//nikR//caiT//rcsC//astC//rplJ//hcaR//rrrQ//purD//glnD//mazG//clcB//ugpE//casD//rph//argI//yiiD//folP//yagJ//kefB//rho//nanK//fucA//fadJ//menH//pyrE//citE//yfcF//ttdB//cspI//ahpC//yfaV//betT//ghrB//ribA//waaS//sodB//glnS//fabB//sdhB//moaE//yrbG//tcdA//dinD//
GO_0006023_6	cysH//waaC//yjcS//yeeL//nei//ykfI//glnB//trmH//sdhC//uvrB//endA//nemA//ybiW//speF//mepS//araC//ygeV//ppx//fpr//ymgC//sufC//ldcA//allR//yheT//potA//waaP//hycA//copA//greB//csgF//ldcC//ydhQ//cbrC//nagA//mfd//mipA//lpxH//tyrS//pbpG//
GO_0006024_7	ybhI//yqiJ//waaS//rraB//narJ//lgoT//cadB//ybbW//frlR//fabH//fkpB//ybcQ//ymgF//ddpA//csgF//pykF//bolA//ralR//yhdH//ralR//pepT//dapD//pyrE//ycjY//galP//fis//cheZ//yhbO//ruvB//yfiE//csgD//ymdB//ymdB//atpH//acpS//napB//yhjB//waaF//nrdF//
GO_0006026_6	queA//ulaF//chiP//rutA//dpiB//mntH//rlmE//phoR//frlB//clpS//
GO_0006027_7	tauA//lolA//iscR//ispG//treB//yjeI//recT//yjhP//ychO//alr//
GO_0006040_5	yciA//mnaT//nagC//caiE//rluA//paaZ//nuoN//dgoK//ybgP//uxaB//psd//yafC//rimI//frwC//pabB//yddA//tatB//
GO_0006044_7	tldD//yiiM//ychO//potG//ftsB//
GO_0006046_8	cpdB//glxR//yjtD//recQ//
GO_0006047_5	wzyE//mtfA//iraP//agp//hybE//hybD//pheA//
GO_0006048_6	ytfP//dcp//clpA//prlC//pdhR//dut//
GO_0006050_6	atoB//
GO_0006051_7	aspS//
GO_0006053_8	alsE//
GO_0006054_6	fimD//folP//ralR//cbrC//yfbS//fixC//gppA//
GO_0006056_6	fhuC//
GO_0006057_7	tamA//
GO_0006059_6	trmI//clpB//rseP//cysA//
GO_0006060_7	csgD//
GO_0006062_8	narH//
GO_0006063_5	ftsY//rhlE//yjcO//hflX//fruA//tktB//dinQ//fetB//yidP//
GO_0006064_6	ychF//tcyN//insA-1//arcA//yqgF//adiA//
GO_0006066_4	apaH//fabA//chaA//glcF//clsB//guaA//rapA//fimG//yfeW//torY//xapA//frmR//puuC//ycdX//pgrR//agaB//srlD//rfaC//uup//zraS//tsgA//wcaC//miaA//ybcM//roxA//nanT//insF-1//rutB//fliA//yiiE//mutM//alsC//
GO_0006067_6	hslR//pntB//yagI//
GO_0006071_6	fumC//recR//ykgM//prs//secF//acrA//polB//
GO_0006072_6	zupT//clcA//glmM//ybcC//glnP//
GO_0006073_6	gadB//ydfK//bepA//ais//actP//ilvL//fliA//kdpC//agaW//degP//tyrB//ycfH//eptC//rnc//ydeO//rplM//rnhB//puuC//wbbK//yghW//
GO_0006081_4	narW//yahO//otsB//dtpB//rffG//manA//rpmC//tatA//dmsC//lrp//cysQ//elyC//malY//acpH//bisC//tilS//ycjU//ansA//flgH//melR//yjiA//yqaE//prmC//fadA//mntP//holE//dxs//prmC//adhE//glxK//tdcF//fliA//lpxC//yhaO//arnB//ybaE//queG//gudX//yojI//yrfG//dgcE//mglA//mraZ//yahD//eutR//hcaF//pflC//nudG//dcd//abpB//yhdH//yqjA//lipB//opgH//hslO//dcuC//modB//bcr//cbrA//arnT//rpiB//phoA//ilvH//nuoB//cspE//curA//mdtM//
GO_0006082_4	mdtG//yiaT//umpG//yieK//yrdA//recQ//yeaG//prmA//ybfE//dcuA//ydaC//fur//rplJ//rcdA//adhP//insH-6//purT//elfD//nimR//dctA//casD//rpmG//pepT//dapA//grxD//melB//yneE//nmpC//gadB//ndk//frdB//seqA//frmR//ybaM//kup//dacC//hpf//tcdA//torR//zinT//envZ//dhaM//mdtL//potH//insB-4//leuD//mdtD//iraD//ybaQ//ydbD//hemN//rssA//ssuE//rihC//gntK//nadC//rlmN//ilvN//rbsD//wecA//secE//yihP//citC//murC//endA//ahpC//lipA//nuoG//yjjW//yhgH//ybaK//exoX//clpB//yfcU//ygiN//sugE//yjiY//rplS//rihC//ugpA//fixC//ilvA//chbB//ybhR//proV//uhpT//pykF//tolB//mepH//ugpB//paoC//bglB//ycgR//xdhB//hyaC//rspB//cpxP//mgtA//yeiG//lldR//ackA//fruA//tolA//yhfK//yfcQ//scpB//gcvP//araC//ynhG//abpB//allS//ribD//glcC//ybiO//gltD//lasT//rnc//lepA//ybiI//nrdH//plsB//dtd//tdcD//glpA//opgD//ybaQ//mglA//rfbC//yhhY//ypdF//ydgA//yeaV//deoA//atoS//nuoB//rzoR//dicA//tnaC//ydiP//cas3//slyA//gloC//glgB//ynjD//secA//fau//kdsD//rlmJ//moaE//yciE//phnN//carA//ybaO//yajD//cvpA//ebgA//cvpA//leuE//ftsK//cysQ//fucO//citC//rimO//msrQ//slyA//ybcQ//iraM//yagU//flgE//sgbH//malQ//ftsN//miaB//ybjC//mhpB//betA//gppA//yqjI//fepD//nrfE//paaA//surE//ibsE//cydC//tsaD//gppA//yieK//gadB//lptD//mraZ//asnA//ynjD//crp//ymfA//rsmE//ahr//ftsZ//mdtC//dgoR//argF//ansA//rcnB//ydhJ//yegS//radD//rplR//srlD//arsR//hemF//ugpC//elfC//uup//shoB//ibsA//sdiA//rsmE//hipB//yfaL//mlaE//tag//malP//bglB//arsC//ilvM//pppA//rpsB//yehD//cfa//mltG//ygcO//ghoT//lexA//yeeL//ycjY//ibpB//guaA//obgE//lptB//aroB//mtlR//yiiM//yjfF//ptrA//sdiA//nadE//gapA//moeB//potB//bamC//tatE//galF//tag//recT//diaA//tomB//intF//cyoA//xseB//rplA//cbrA//zapB//nadE//kefG//trxC//cysK//sfmH//srlR//yeiG//yigB//exbB//yhjC//ymfA//copA//ydcI//glpA//eptC//ptsG//bdcR//hdeA//ynbD//yiaO//nrdE//zraS//htrE//lptG//intE//shiA//rpmA//uacT//etp//dusC//ampG//zupT//ccmF//matP//lsrR//hemL//secD//rcnA//nth//srlA//nuoH//gudD//recD//nrdH//nrdR//dhaK//zraS//mltG//mscM//secA//ycjP//rbsB//hyfF//uidC//ydfG//waaY//cspG//sfmA//rcsB//gudP//ptsI//yhbO//yghB//fadE//ygjR//agaS//nikR//puuA//yfcF//argE//eno//mreB//yehW//mreB//ompL//syd//yebZ//cbrA//rpmA//rfbC//cecR//sdhE//yjbE//yadK//ibsB//cstA//yiaN//yafC//hcaC//ydaV//ribD//yegT//uxaB//ykgF//ampD//yfbS//cydD//slyA//btuB//kdgK//accB//ydeM//ivbL//waaY//trmB//bacA//sucA//gldA//ispG//phnI//evgA//bcr//lyxK//mak//nadE//emrK//tusB//intE//rfaG//phnP//hisC//araA//pliG//etk//fadI//yadM//yqgF//rtcB//artP//iaaA//rpoA//kbaY//afuB//fumA//gspF//yoaA//hcaD//ybiX//bacA//yhaC//flgH//dcuR//ytfE//yfdG//prmC//yebK//casC//nemA//dacB//ybiA//opgB//lepB//rpmJ//ftsI//tpiA//narG//btuB//folM//mliC//fliT//elaA//yhcF//eutR//argE//mocA//exoX//cysH//mfd//recE//hemG//torR//folX//dgcM//yeaD//yiaO//adeQ//uspE//ispH//nikD//secF//frvR//prmB//feoA//mscL//hisG//cspD//acrA//ydiF//pdxA//yfbS//ompA//bioP//yagU//glyA//ydcP//fumA//entB//lamB//mprA//
GO_0006083_6	proQ//cstA//crcB//pspF//pgsA//oppF//
GO_0006084_6	rrrD//yrbG//
GO_0006085_7	poxB//ynbC//
GO_0006086_8	dsbC//
GO_0006089_5	argK//lspA//epmB//bglB//accA//yidL//yddL//ompN//fmt//rcsC//amiC//caiB//nlpA//yggD//yiaL//leuA//yqjI//tcyP//tdcD//mhpA//ycjU//ccmE//fkpA//fepB//minC//sfsB//ldtE//ygbI//hybA//
GO_0006090_8	fepA//gldA//ykgF//yhaC//uxaC//ldtA//pnp//ubiD//ftnB//nsrR//flgH//dppD//pgsA//ompN//xylR//lrhA//mglA//mrp//lolB//atpE//iscX//lolC//yhcF//hha//ridA//hokB//ygiS//mntH//nimR//flhA//yjiQ//
GO_0006091_4	ftsB//purF//dtpB//cdaR//yjhH//kbp//yihU//yoaA//pdxB//mltA//ftsX//nikB//alkA//proS//rsmG//puuD//yjiR//glrK//bfr//aroL//arnE//malE//rseB//tnaC//thyA//opgB//wcaB//murB//hpt//trpC//moeB//rlmL//tehA//narQ//bluR//pspF//mltC//glyS//purT//cysC//eutK//hokB//narU//ynfF//cydA//pgpA//ybjN//glpA//pepT//infB//kdpE//narZ//lipB//idnO//baeR//fimG//hybO//hupB//djlC//glcE//yehX//yqiJ//yqcG//tdk//ybiW//yiaF//ulaC//mutM//ompN//treB//ulaE//cvrA//gudP//nrdD//prs//iraP//iscX//glgP//hofN//ycaN//hypB//csdE//rhaT//hisA//purD//focA//yihS//yfaE//ecpR//nanA//araA//bcp//sxy//pheT//cra//pal//araG//phoE//yaiW//tig//hrsA//ugpB//rsfS//relA//fliL//ttcA//osmY//elaD//puuD//endA//ispU//nirD//
GO_0006094_7	garP//modB//livJ//yehC//ilvB//kdpB//gmk//mhpD//gcd//tdcE//
GO_0006096_6	gapC//asnB//hflD//emrE//dacD//gcl//clcA//gntT//grpE//ypdB//recX//ybjN//hyaC//kup//yejE//feoA//yjcO//yggX//
GO_0006097_5	yfdK//ubiJ//ttdR//murJ//cstA//
GO_0006098_6	ompL//uhpC//narI//cheW//ddlB//
GO_0006099_4	plsX//rpmA//cyoD//cspB//gshA//nikE//ybhG//lgoR//recX//bssR//fetA//nagK//rmf//serC//cdaR//glpF//tig//
GO_0006101_6	fliD//uvrC//atpG//ftsK//rmuC//yfgJ//fryC//mreB//nadD//mdtD//sulA//ytfR//ydeI//umpG//rffM//epmC//ubiC//
GO_0006103_5	gph//pheT//znuC//
GO_0006104_6	thiH//dacD//bamA//
GO_0006105_5	hcp//ygaZ//yciG//lacZ//rplT//nlpI//yqaE//ascB//
GO_0006106_8	holD//
GO_0006107_8	tabA//
GO_0006108_8	rseC//yciV//azoR//rlmB//ruvC//
GO_0006109_6	rhlE//rfaE//ydjH//pgrR//bcp//yciH//mglB//dapB//rfaD//
GO_0006112_5	ynbB//ycjR//mscS//rplC//nagE//pppA//eamA//lapB//
GO_0006113_5	ushA//phnI//pnuC//yihV//oppB//rutB//glnL//bluR//msrP//cheY//baeS//bioP//lacY//
GO_0006115_6	fbaA//
GO_0006117_5	cdsA//
GO_0006124_6	fkpA//
