# Copied from: /Users/Daniela/Documents/CCG/colaboraciones/Misha/TUs/datasets/tus_2_as_regulons.txt. Only TUs with 2 or more genes were considered.
# From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Tue Feb 27 11:02:06 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
# Only TUs of 2 or more genes.
# Repetitions were omitted using: 
aaeXAB	aaeX//aaeA//aaeB//
deoCABD	deoC//deoA//deoB//deoD//
dgoRKADT	dgoR//dgoK//dgoA//dgoD//dgoT//
dhaKLM	dhaK//dhaL//dhaM//
dicB-ydfDE-insD-intQ	dicB//ydfD//ydfE//insD//intQ//
dicC-ydfXW	dicC//ydfX//ydfW//
dinB-yafNOP	dinB//yafN//yafO//yafP//
dinJ-yafQ	dinJ//yafQ//
dksA-gluQ	dksA//gluQ//
dmsABC	dmsA//dmsB//dmsC//
dnaAN-recF	dnaA//dnaN//recF//
dnaK-tpke11-dnaJ	dnaK//tpke11//dnaJ//
dnaN-recF	dnaN//recF//
dnaTC	dnaT//dnaC//
dnaTC-yjjA	dnaT//dnaC//yjjA//
dosCP	dosC//dosP//
dpiBA	dpiB//dpiA//
dppABCDF	dppA//dppB//dppC//dppD//dppF//
dsbC-recJ-prfB	dsbC//recJ//prfB//
dsbD-yjdC	dsbD//yjdC//
dsdXA	dsdX//dsdA//
dusB-fis	dusB//fis//
dut-slmA	dut//slmA//
eaeH-insEF-1E-1F-1	eaeH//insEF-1//insE-1//insF-1//
ebgAC	ebgA//ebgC//
ecnAB	ecnA//ecnB//
ecpBCDE	ecpB//ecpC//ecpD//ecpE//
edd-eda	edd//eda//
efeOB	efeO//efeB//
efeU_1U_2	efeU_1//efeU_2//
elbB-mtgA	elbB//mtgA//
elfDCG-ycbUVF	elfD//elfC//elfG//ycbU//ycbV//ycbF//
emrKY	emrK//emrY//
entCEBAH	entC//entE//entB//entA//entH//
envY-ompT	envY//ompT//
epd-pgk	epd//pgk//
epd-pgk-fbaA	epd//pgk//fbaA//
essD-rrrD-rzpD	essD//rrrD//rzpD//
essQ-ydfR-rrrQ-rzpQ	essQ//ydfR//rrrQ//rzpQ//
eutBCLKR	eutB//eutC//eutL//eutK//eutR//
eutHA	eutH//eutA//
eutNEJG	eutN//eutE//eutJ//eutG//
eutSPQTDM	eutS//eutP//eutQ//eutT//eutD//eutM//
evgAS	evgA//evgS//
exbBD	exbB//exbD//
fabDG-acpP	fabD//fabG//acpP//
fabG-acpP	fabG//acpP//
fabHDG	fabH//fabD//fabG//
fabR-yijD	fabR//yijD//
fadBA	fadB//fadA//
fadD-sroD	fadD//sroD//
fadIJ	fadI//fadJ//
fdnGHI	fdnG//fdnH//fdnI//
fdoGHI-fdhE	fdoG//fdoH//fdoI//fdhE//
fdrA-ylbEF-ybcF	fdrA//ylbE//ylbF//ybcF//
fecABCDE	fecA//fecB//fecC//fecD//fecE//
fecIR	fecI//fecR//
feoABC	feoA//feoB//feoC//
fepA-entD	fepA//entD//
fepDGC	fepD//fepG//fepC//
fes-ybdZ-entF-fepE	fes//ybdZ//entF//fepE//
fetAB	fetA//fetB//
fhuACDB	fhuA//fhuC//fhuD//fhuB//
ficA-fic-pabA	ficA//fic//pabA//
fimAICDFGH	fimA//fimI//fimC//fimD//fimF//fimG//fimH//
fixABCX	fixA//fixB//fixC//fixX//
fldA-uof-fur	fldA//uof//fur//
flgAMN	flgA//flgM//flgN//
flgBCDEFGHIJ	flgB//flgC//flgD//flgE//flgF//flgG//flgH//flgI//flgJ//
flgKL	flgK//flgL//
flgMN	flgM//flgN//
flhBAE	flhB//flhA//flhE//
flhDC	flhD//flhC//
fliAZ-tcyJ	fliA//fliZ//tcyJ//
fliDST	fliD//fliS//fliT//
fliFGHIJK	fliF//fliG//fliH//fliI//fliJ//fliK//
fliLMNOPQR	fliL//fliM//fliN//fliO//fliP//fliQ//fliR//
focA-pflB	focA//pflB//
folC-dedD	folC//dedD//
folD-ybcJ	folD//ybcJ//
folE-yeiB	folE//yeiB//
folP-glmM	folP//glmM//
folX-yfcH	folX//yfcH//
frdABCD	frdA//frdB//frdC//frdD//
frlABCDR	frlA//frlB//frlC//frlD//frlR//
frmRAB	frmR//frmA//frmB//
fruBKA	fruB//fruK//fruA//
frvABXR	frvA//frvB//frvX//frvR//
frwCB	frwC//frwB//
fryBC-ypdFE-fryA	fryB//fryC//ypdF//ypdE//fryA//
ftsAZ	ftsA//ftsZ//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsL//ftsI//murE//murF//mraY//murD//ftsW//murG//murC//ddlB//ftsQ//ftsA//ftsZ//lpxC//
ftsQAZ	ftsQ//ftsA//ftsZ//
ftsYEX	ftsY//ftsE//ftsX//
fucAO	fucA//fucO//
fucPIKUR	fucP//fucI//fucK//fucU//fucR//
fumAC	fumA//fumC//
fusA-tufA	fusA//tufA//
gabDTP	gabD//gabT//gabP//
gadAX	gadA//gadX//
gadBC	gadB//gadC//
gadEF	gadE//gadF//
gadEF-mdtEF	gadE//gadF//mdtE//mdtF//
gadXW	gadX//gadW//
galET	galE//galT//
galETK	galE//galT//galK//
galETKM	galE//galT//galK//galM//
gapA-yeaD	gapA//yeaD//
gapC_1C_2	gapC_1//gapC_2//
garPLRK-rnpB	garP//garL//garR//garK//rnpB//
gatYZABCD	gatY//gatZ//gatA//gatB//gatC//gatD//
gatZABCD	gatZ//gatA//gatB//gatC//gatD//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gcl//hyi//glxR//ybbW//allB//ybbY//glxK//
gcvTHP	gcvT//gcvH//gcvP//
gfcBCD	gfcB//gfcC//gfcD//
gfcE-etp-etk	gfcE//etp//etk//
ghoST	ghoS//ghoT//
glcBA	glcB//glcA//
glcDEFGBA	glcD//glcE//glcF//glcG//glcB//glcA//
glf-wbbH	glf//wbbH//
glgAP	glgA//glgP//
glgBXCAP	glgB//glgX//glgC//glgA//glgP//
glgCAP	glgC//glgA//glgP//
glmUS	glmU//glmS//
glnALG	glnA//glnL//glnG//
glnHPQ	glnH//glnP//glnQ//
glnK-amtB	glnK//amtB//
glnLG	glnL//glnG//
glnW-metU-glnVX	glnW//metU//glnV//glnX//
glpABC	glpA//glpB//glpC//
glpEGR	glpE//glpG//glpR//
glpFKX	glpF//glpK//glpX//
glpGR	glpG//glpR//
glpTQ	glpT//glpQ//
glrR-glnB	glrR//glnB//
gltBDF	gltB//gltD//gltF//
gltI-sroC-gltJKL	gltI//sroC//gltJ//gltK//gltL//
glvCBG-ysdC	glvC//glvB//glvG//ysdC//
glyQS	glyQ//glyS//
glyVXY	glyV//glyX//glyY//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	glyW//cysT//leuZ//3'ETS<sup><i>leuZ</i></sup>//
gntKU	gntK//gntU//
gntRKU	gntR//gntK//gntU//
gntX-nfuA	gntX//nfuA//
gpmM-envC-yibQ	gpmM//envC//yibQ//
groSL	groS//groL//
gspAB	gspA//gspB//
gspCDEFGHIJKLMO	gspC//gspD//gspE//gspF//gspG//gspH//gspI//gspJ//gspK//gspL//gspM//gspO//
guaBA	guaB//guaA//
gudPXD	gudP//gudX//gudD//
hcaEFCBD	hcaE//hcaF//hcaC//hcaB//hcaD//
hcp-hcr	hcp//hcr//
hdeAB-yhiD	hdeA//hdeB//yhiD//
hemA-prfA-prmC	hemA//prfA//prmC//
hemCDXY	hemC//hemD//hemX//hemY//
hflD-purB	hflD//purB//
hfq-hflXKC	hfq//hflX//hflK//hflC//
hicAB	hicA//hicB//
higBA	higB//higA//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT//ycfL//lpoB//thiK//nagZ//ycfP//
hipBA	hipB//hipA//
hisBHAFI	hisB//hisH//hisA//hisF//hisI//
hisJQMP	hisJ//hisQ//hisM//hisP//
hisLGDCBHAFI	hisL//hisG//hisD//hisC//hisB//hisH//hisA//hisF//hisI//
hofMNOP	hofM//hofN//hofO//hofP//
holC-valS	holC//valS//
holD-rimI-yjjG	holD//rimI//yjjG//
hscBA-fdx-iscX	hscB//hscA//fdx//iscX//
hsdMS	hsdM//hsdS//
hsdRMS	hsdR//hsdM//hsdS//
hslRO	hslR//hslO//
hslVU	hslV//hslU//
hyaABCDEF	hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//
hybOABCDEFG	hybO//hybA//hybB//hybC//hybD//hybE//hybF//hybG//
hycABCDEFGHI	hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//
hydN-hypF	hydN//hypF//
hyfABCDEFGHIJR-focB	hyfA//hyfB//hyfC//hyfD//hyfE//hyfF//hyfG//hyfH//hyfI//hyfJ//hyfR//focB//
hypABCDE	hypA//hypB//hypC//hypD//hypE//
hypABCDE-fhlA	hypA//hypB//hypC//hypD//hypE//fhlA//
hypBCDE	hypB//hypC//hypD//hypE//
hypBCDE-fhlA	hypB//hypC//hypD//hypE//fhlA//
iaaA-gsiABCD	iaaA//gsiA//gsiB//gsiC//gsiD//
ibaG-murA	ibaG//murA//
ibpAB	ibpA//ibpB//
idnDOTR	idnD//idnO//idnT//idnR//
ileS-lspA-fkpB-ispH	ileS//lspA//fkpB//ispH//
ilvEDA	ilvE//ilvD//ilvA//
ilvIH	ilvI//ilvH//
ilvLXG_1G_2MEDA	ilvL//ilvX//ilvG_1//ilvG_2//ilvM//ilvE//ilvD//ilvA//
infC-rpmI-rplT	infC//rpmI//rplT//
insA-1AB-1B-1	insA-1//insAB-1//insB-1//
insA-2AB-2B-2-afuBC	insA-2//insAB-2//insB-2//afuB//afuC//
insA-3AB-3B-3	insA-3//insAB-3//insB-3//
insA-4AB-4B-4	insA-4//insAB-4//insB-4//
insA-5AB-5B-5	insA-5//insAB-5//insB-5//
insB-7_1B-7_2	insB-7_1//insB-7_2//
insC-1CD-1D-1	insC-1//insCD-1//insD-1//
insC-2CD-2D-2	insC-2//insCD-2//insD-2//
insC-3CD-3D-3	insC-3//insCD-3//insD-3//
insC-4CD-4D-4-ygeONM	insC-4//insCD-4//insD-4//ygeO//ygeN//ygeM//
insC-5CD-5D-5-yqiGHI	insC-5//insCD-5//insD-5//yqiG//yqiH//yqiI//
insC-6CD-6D-6	insC-6//insCD-6//insD-6//
insE-2EF-2F-2	insE-2//insEF-2//insF-2//
insE-3EF-3F-3	insE-3//insEF-3//insF-3//
insE-4EF-4F-4	insE-4//insEF-4//insF-4//
insE-5EF-5F-5	insE-5//insEF-5//insF-5//
insMI-3	insM//insI-3//
insN-1I-1O-1	insN-1//insI-1//insO-1//
insO-2-yjhWV	insO-2//yjhW//yjhV//
iscRSUA	iscR//iscS//iscU//iscA//
ispDF	ispD//ispF//
ispG-sroE	ispG//sroE//
isrC-flu	isrC//flu//
ivbL-ilvBN	ivbL//ilvB//ilvN//
ivbL-ilvBN-uhpABC	ivbL//ilvB//ilvN//uhpA//uhpB//uhpC//
kbaZ-agaVWA	kbaZ//agaV//agaW//agaA//
kbl-tdh	kbl//tdh//
kdpDE	kdpD//kdpE//
kdpFABC	kdpF//kdpA//kdpB//kdpC//
kdsC-lptCAB	kdsC//lptC//lptA//lptB//
kefFC	kefF//kefC//
kefGB-yheV	kefG//kefB//yheV//
kilR-ydaE	kilR//ydaE//
lacYA	lacY//lacA//
lacZYA	lacZ//lacY//lacA//
lapAB	lapA//lapB//
lapAB-pyrF-yciH	lapA//lapB//pyrF//yciH//
lepAB	lepA//lepB//
leuLABCD	leuL//leuA//leuB//leuC//leuD//
leuQPV	leuQ//leuP//leuV//
leuS-lptE-holA-nadD-cobC	leuS//lptE//holA//nadD//cobC//
lexA-dinF	lexA//dinF//
lgt-thyA	lgt//thyA//
ligA-ypeB	ligA//ypeB//
livKHMGF	livK//livH//livM//livG//livF//
lldPRD	lldP//lldR//lldD//
lolA-rarA	lolA//rarA//
lolB-ispE-prs	lolB//ispE//prs//
lolCDE	lolC//lolD//lolE//
lomR_2-stfR-tfaR	lomR_2//stfR//tfaR//
lptAB	lptA//lptB//
lptB-rpoN-hpf-ptsN-rapZ	lptB//rpoN//hpf//ptsN//rapZ//
lptD-surA-pdxA	lptD//surA//pdxA//
lptFG	lptF//lptG//
lspA-fkpB-ispH	lspA//fkpB//ispH//
lsrACDBFG-tam	lsrA//lsrC//lsrD//lsrB//lsrF//lsrG//tam//
lsrRK	lsrR//lsrK//
ltaE-ybjT	ltaE//ybjT//
lysT-valT-lysW	lysT//valT//lysW//
macAB	macA//macB//
malEFG	malE//malF//malG//
malK-lamB-malM	malK//lamB//malM//
malPQ	malP//malQ//
malXY	malX//malY//
manXYZ	manX//manY//manZ//
map-glnD-dapD	map//glnD//dapD//
marRAB	marR//marA//marB//
mazEFG	mazE//mazF//mazG//
mcrBC	mcrB//mcrC//
mdlAB	mdlA//mdlB//
mdtABCD-baeSR	mdtA//mdtB//mdtC//mdtD//baeS//baeR//
mdtEF	mdtE//mdtF//
mdtJI	mdtJ//mdtI//
mdtM-yjiN	mdtM//yjiN//
mdtNOP	mdtN//mdtO//mdtP//
melAB	melA//melB//
menA-rraA	menA//rraA//
menBCE	menB//menC//menE//
menDHBCE	menD//menH//menB//menC//menE//
menFDHBCE	menF//menD//menH//menB//menC//menE//
metBL	metB//metL//
metNIQ	metN//metI//metQ//
metT-leuW-glnUW-metU-glnVX	metT//leuW//glnU//glnW//metU//glnV//glnX//
metY-rimP-nusA-infB	metY//rimP//nusA//infB//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	metY//rimP//nusA//infB//rbfA//truB//rpsO//pnp//
metZWV	metZ//metW//metV//
mglAC	mglA//mglC//
mglBAC	mglB//mglA//mglC//
mgtLA	mgtL//mgtA//
mhpABCDFE	mhpA//mhpB//mhpC//mhpD//mhpF//mhpE//
mhpR-lacI	mhpR//lacI//
miaA-hfq-hflXKC	miaA//hfq//hflX//hflK//hflC//
minCDE	minC//minD//minE//
mlaFEDCB	mlaF//mlaE//mlaD//mlaC//mlaB//
mlc-ynfK	mlc//ynfK//
mmuPM	mmuP//mmuM//
mnaT-ydcZ	mnaT//ydcZ//
mngAB	mngA//mngB//
mnmG-rsmG	mnmG//rsmG//
mntR-ybiR	mntR//ybiR//
moaABCDE	moaA//moaB//moaC//moaD//moaE//
moaBCDE	moaB//moaC//moaD//moaE//
mobAB	mobA//mobB//
modABC	modA//modB//modC//
modEF	modE//modF//
moeAB	moeA//moeB//
mokC-hokC	mokC//hokC//
molR_3-yehI	molR_3//yehI//
motAB-cheAW	motA//motB//cheA//cheW//
mprA-emrAB	mprA//emrA//emrB//
mqsRA	mqsR//mqsA//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	mraZ//rsmH//ftsL//ftsI//murE//murF//mraY//murD//ftsW//murG//murC//ddlB//ftsQ//ftsA//ftsZ//lpxC//
mreBCD	mreB//mreC//mreD//
mreCD	mreC//mreD//
msrPQ	msrP//msrQ//
mtlADR	mtlA//mtlD//mtlR//
mtn-btuF-yadS	mtn//btuF//yadS//
murB-birA	murB//birA//
murQP	murQ//murP//
murQP-yfeW	murQ//murP//yfeW//
mutL-miaA-hfq-hflXKC	mutL//miaA//hfq//hflX//hflK//hflC//
mutY-yggX	mutY//yggX//
mutY-yggX-mltC	mutY//yggX//mltC//
mutY-yggX-mltC-nupG	mutY//yggX//mltC//nupG//
nadA-pnuC	nadA//pnuC//
nagBAC-umpH	nagB//nagA//nagC//umpH//
nagK-cobB	nagK//cobB//
nanATEK-yhcH	nanA//nanT//nanE//nanK//yhcH//
nanCM	nanC//nanM//
nanCMS	nanC//nanM//nanS//
napFDAGHBC	napF//napD//napA//napG//napH//napB//napC//
napFDAGHBC-ccmABCDEFGH	napF//napD//napA//napG//napH//napB//napC//ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//
narGHJI	narG//narH//narJ//narI//
narWV	narW//narV//
narXL	narX//narL//
narZYWV	narZ//narY//narW//narV//
nemRA	nemR//nemA//
nemRA-gloA	nemR//nemA//gloA//
nfrBA	nfrB//nfrA//
nhaAR	nhaA//nhaR//
nikABCDER	nikA//nikB//nikC//nikD//nikE//nikR//
nirBDC-cysG	nirB//nirD//nirC//cysG//
nlpD-rpoS	nlpD//rpoS//
nohA-ydfN-tfaQ	nohA//ydfN//tfaQ//
norVW	norV//norW//
nrdAB-yfaE	nrdA//nrdB//yfaE//
nrdDG	nrdD//nrdG//
nrdHIEF	nrdH//nrdI//nrdE//nrdF//
nrdR-ribDE-nusB-thiL-pgpA	nrdR//ribD//ribE//nusB//thiL//pgpA//
nrfABCDEFG	nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//
nsrR-rnr-rlmB-yjfI	nsrR//rnr//rlmB//yjfI//
nudB-yebC-ruvC	nudB//yebC//ruvC//
nudC-hemE-nfi	nudC//hemE//nfi//
nudF-yqiB-cpdA-yqiA-parE	nudF//yqiB//cpdA//yqiA//parE//
nuoABCEFGHIJKLMN	nuoA//nuoB//nuoC//nuoE//nuoF//nuoG//nuoH//nuoI//nuoJ//nuoK//nuoL//nuoM//nuoN//
nuoMN	nuoM//nuoN//
ompR-envZ	ompR//envZ//
opgGH	opgG//opgH//
oppABCDF	oppA//oppB//oppC//oppD//oppF//
osmF-yehYXW	osmF//yehY//yehX//yehW//
otsBA	otsB//otsA//
paaABCDEFGHIJK	paaA//paaB//paaC//paaD//paaE//paaF//paaG//paaH//paaI//paaJ//paaK//
paaXY	paaX//paaY//
pabB-nudL	pabB//nudL//
pabC-mltG-tmk-holB-ycfH	pabC//mltG//tmk//holB//ycfH//
panBC	panB//panC//
panE-yajL	panE//yajL//
paoABCD	paoA//paoB//paoC//paoD//
pcnB-folK	pcnB//folK//
pdeI-dgcI	pdeI//dgcI//
pdhR-aceEF-lpd	pdhR//aceE//aceF//lpd//
pdxA-rsmA	pdxA//rsmA//
pdxA-rsmA-apaGH	pdxA//rsmA//apaG//apaH//
pdxB-usg-truA-dedA	pdxB//usg//truA//dedA//
pdxH-tyrS-pdxY	pdxH//tyrS//pdxY//
pdxJ-acpS	pdxJ//acpS//
pepQ-yigZ-trkH-hemG	pepQ//yigZ//trkH//hemG//
pflDC	pflD//pflC//
pgaABCD	pgaA//pgaB//pgaC//pgaD//
pgk-fbaA	pgk//fbaA//
pgpC-tadA	pgpC//tadA//
pheLA	pheL//pheA//
pheMST-ihfA	pheM//pheS//pheT//ihfA//
phnCDE_1E_2FGHIJKLMNOP	phnC//phnD//phnE_1//phnE_2//phnF//phnG//phnH//phnI//phnJ//phnK//phnL//phnM//phnN//phnO//phnP//
phnLMNOP	phnL//phnM//phnN//phnO//phnP//
phoA-psiF	phoA//psiF//
phoBR	phoB//phoR//
phoPQ	phoP//phoQ//
pldB-yigL	pldB//yigL//
plsX-fabHDG	plsX//fabH//fabD//fabG//
pntAB	pntA//pntB//
potABCD	potA//potB//potC//potD//
potFGHI	potF//potG//potH//potI//
poxB-ltaE-ybjT	poxB//ltaE//ybjT//
ppdAB-ygdB-ppdC-recC	ppdA//ppdB//ygdB//ppdC//recC//
ppdD-hofBC	ppdD//hofB//hofC//
ppiB-lpxH	ppiB//lpxH//
ppk-ppx	ppk//ppx//
pqiAB	pqiA//pqiB//
preTA	preT//preA//
prfB-lysS	prfB//lysS//
priC-ybaM	priC//ybaM//
prlC-rsmJ	prlC//rsmJ//
prlF-yhaV	prlF//yhaV//
prmB-aroC-mepA-yfcA-epmC-yfcL	prmB//aroC//mepA//yfcA//epmC//yfcL//
proBA	proB//proA//
proQ-prc	proQ//prc//
proVWX	proV//proW//proX//
prpBCDE	prpB//prpC//prpD//prpE//
psd-mscM	psd//mscM//
pspABCDE	pspA//pspB//pspC//pspD//pspE//
pspBCDE	pspB//pspC//pspD//pspE//
pstB-phoU	pstB//phoU//
pstCAB-phoU	pstC//pstA//pstB//phoU//
pstSCA	pstS//pstC//pstA//
pstSCAB-phoU	pstS//pstC//pstA//pstB//phoU//
psuKG	psuK//psuG//
pth-ychF	pth//ychF//
ptrA-recBD	ptrA//recB//recD//
ptsA-fsaB-gldA	ptsA//fsaB//gldA//
ptsHI-crr	ptsH//ptsI//crr//
purEK	purE//purK//
purHD	purH//purD//
purMN	purM//purN//
puuAP	puuA//puuP//
puuCBE	puuC//puuB//puuE//
puuDRCBE	puuD//puuR//puuC//puuB//puuE//
pyrF-yciH	pyrF//yciH//
pyrG-eno	pyrG//eno//
pyrLBI	pyrL//pyrB//pyrI//
qmcA-ybbJ	qmcA//ybbJ//
qseBC	qseB//qseC//
radA-nadR	radA//nadR//
rapA-rluA	rapA//rluA//
ratAB	ratA//ratB//
ravA-viaA	ravA//viaA//
rbsDACBKR	rbsD//rbsA//rbsC//rbsB//rbsK//rbsR//
rclABC	rclA//rclB//rclC//
rclBC	rclB//rclC//
rcnAB	rcnA//rcnB//
rcsDB	rcsD//rcsB//
rcsF-trmO	rcsF//trmO//
rdgB-yggW	rdgB//yggW//
rdoA-dsbA	rdoA//dsbA//
recAX	recA//recX//
recET-ralR-ydaC-xisR-intR	recE//recT//ralR//ydaC//xisR//intR//
relA-mazEF	relA//mazE//mazF//
relBE	relB//relE//
relBE-hokD	relB//relE//hokD//
renD-emrE	renD//emrE//
rfaD-waaFCL	rfaD//waaF//waaC//waaL//
rfbACX	rfbA//rfbC//rfbX//
rfbBDACX	rfbB//rfbD//rfbA//rfbC//rfbX//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	rfe//wzzE//wecB//wecC//rffG//rffH//rffC//wecE//wzxE//rffT//wzyE//rffM//
rhaBAD	rhaB//rhaA//rhaD//
rhaSR	rhaS//rhaR//
rhoL-rho	rhoL//rho//
rhsA-yibA	rhsA//yibA//
rhsC-ybfB	rhsC//ybfB//
rhsD-ybbC-ylbH-ybbD	rhsD//ybbC//ylbH//ybbD//
rhsE-ydcD	rhsE//ydcD//
ribE-nusB-thiL-pgpA	ribE//nusB//thiL//pgpA//
ribF-ileS-lspA-fkpB-ispH	ribF//ileS//lspA//fkpB//ispH//
rimK-ybjN	rimK//ybjN//
